,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,943.12,942.29,886.38,843.21,828.98,803.61,791.63,765.74,727.14,686.52,631.56,572.2,561.1,539.15,537.42,542.57,522.01,497.45,505.43,505.72,500.16,458.21,489.29,466.25,438.69,456.12,434.91,417.21,415.98,399.72,369.06,362.86,345.47,361.98,331.73,352.58,353.36,350.36,303.37,303.48,296.68,290.33,283.99,278.14,272.55,266.97,261.87,257.11,252.61,248.37,244.05,239.8,236.03,232.46,228.86,225.55,222.44,219.34,216.6,213.87,211.11,208.51,206.16,203.72,201.24,198.86,196.38,194.25,191.91,189.46,187.3,184.92,182.61,180.66,178.56,176.28,174.16,172.06,169.99,168.11,165.94,163.85,162.01,160.12,158.35,156.56,154.44,152.5
1,67.39,64.57,66.52,77.51,68.1,66.03,58.34,57.0,58.31,58.15,49.97,45.12,48.96,46.06,42.99,38.54,42.59,38.31,31.2,34.36,36.43,39.11,36.44,38.2,40.65,32.34,31.97,24.0,30.78,30.79,26.23,29.83,20.94,26.38,27.25,17.0,24.23,30.05,30.07,29.64,28.92,28.38,27.96,27.6,26.97,26.2,25.89,25.44,24.81,24.4,24.16,23.95,23.61,23.22,22.95,22.25,21.78,21.49,21.28,21.2,20.92,20.68,20.63,20.21,19.87,19.93,19.71,19.61,19.33,18.98,18.4,17.78,17.84,17.91,17.68,17.62,17.48,17.28,16.97,16.68,16.61,16.43,16.23,15.97,15.71,15.54,15.31,14.98
2,41.87,36.45,37.0,37.7,38.22,38.71,36.43,25.76,34.63,31.69,27.17,28.28,22.65,28.87,24.42,25.28,30.58,16.93,21.3,18.93,23.67,18.76,16.78,20.76,17.95,20.25,19.98,13.76,15.92,11.18,14.34,13.89,12.34,15.46,14.19,8.02,14.55,14.46,14.15,13.84,13.6,13.3,12.9,12.62,12.41,12.19,12.05,11.83,11.53,11.36,11.18,10.98,10.85,10.71,10.64,10.48,10.24,10.01,9.85,9.78,9.71,9.6,9.5,9.41,9.28,9.16,9.11,9.08,8.91,8.82,8.72,8.56,8.46,8.35,8.24,8.12,7.99,7.86,7.79,7.71,7.63,7.61,7.51,7.35,7.25,7.23,7.13,7.03
3,26.21,30.11,26.76,28.42,31.83,28.65,27.11,21.03,22.26,22.68,18.02,18.77,16.23,17.29,16.87,18.18,19.51,18.46,12.69,16.99,15.42,12.67,14.59,15.93,17.04,15.63,13.58,11.03,11.8,11.65,11.65,10.72,9.88,9.26,10.89,8.12,7.99,7.73,7.6,7.43,7.24,7.06,6.94,6.8,6.66,6.66,6.52,6.37,6.3,6.07,5.91,5.88,5.85,5.82,5.63,5.38,5.26,5.21,5.17,5.13,5.09,5.07,5.05,4.97,4.9,4.84,4.79,4.73,4.69,4.71,4.66,4.55,4.5,4.52,4.53,4.41,4.28,4.28,4.28,4.27,4.27,4.19,4.04,3.96,3.94,3.93,3.91,3.89
4,19.38,25.79,21.37,22.49,25.48,17.84,21.47,14.76,17.05,13.11,13.99,12.78,12.87,10.5,11.04,14.64,14.58,15.97,14.72,13.84,8.76,12.33,10.54,12.92,12.92,9.64,10.22,9.11,9.08,7.36,7.71,9.37,8.01,4.73,7.24,7.13,6.85,6.77,6.63,6.46,6.34,6.23,6.03,5.82,5.75,5.68,5.54,5.4,5.25,5.1,5.01,4.99,4.96,4.86,4.76,4.72,4.68,4.57,4.46,4.43,4.4,4.37,4.36,4.35,4.28,4.22,4.16,4.11,4.13,4.08,4.03,3.98,3.93,3.95,3.89,3.83,3.84,3.77,3.7,3.7,3.69,3.62,3.54,3.53,3.51,3.5,3.48,3.4
5,16.96,19.24,16.02,20.09,14.01,17.23,12.56,16.96,14.02,16.12,15.33,12.79,12.6,11.64,11.64,12.57,11.9,12.94,10.15,8.27,10.61,9.14,9.29,11.1,8.49,7.35,10.73,8.27,6.9,6.53,6.38,7.8,9.76,6.84,6.8,6.63,6.54,6.38,6.17,6.0,5.88,5.69,5.5,5.36,5.29,5.22,5.08,5.01,4.93,4.85,4.77,4.68,4.65,4.63,4.6,4.56,4.45,4.34,4.3,4.27,4.24,4.22,4.2,4.13,4.06,4.0,3.94,3.96,3.91,3.86,3.81,3.76,3.77,3.79,3.73,3.68,3.61,3.55,3.48,3.41,3.4,3.33,3.25,3.24,3.23,3.21,3.13,3.05
6,16.64,16.86,16.27,15.62,15.68,15.54,14.22,12.85,12.63,13.1,11.84,13.88,11.74,9.1,13.09,11.64,10.09,11.4,9.52,11.0,9.31,8.81,8.03,8.38,7.91,9.01,7.4,8.23,6.6,6.76,7.12,7.76,6.51,6.42,6.18,6.08,5.92,5.74,5.59,5.48,5.36,5.24,5.12,4.98,4.98,4.84,4.7,4.7,4.7,4.55,4.39,4.37,4.35,4.33,4.3,4.26,4.23,4.19,4.15,4.12,4.09,4.07,3.99,3.85,3.78,3.79,3.8,3.74,3.63,3.51,3.46,3.48,3.49,3.44,3.38,3.32,3.26,3.19,3.12,3.12,3.05,2.97,2.96,2.95,2.88,2.8,2.79,2.78
7,16.62,13.88,12.71,15.88,12.83,11.87,9.2,10.93,8.51,11.19,11.57,9.24,8.4,11.38,8.98,8.39,8.03,9.91,6.23,7.89,8.65,7.52,8.01,4.5,8.17,6.73,9.0,7.92,5.51,6.73,5.82,5.96,5.91,5.68,5.51,5.4,5.3,5.17,5.08,4.97,4.91,4.8,4.67,4.68,4.54,4.4,4.4,4.4,4.32,4.1,3.95,3.94,3.92,3.89,3.87,3.84,3.8,3.77,3.73,3.71,3.68,3.66,3.58,3.45,3.38,3.38,3.39,3.34,3.22,3.17,3.11,3.06,3.01,2.95,2.9,2.83,2.77,2.71,2.71,2.7,2.7,2.69,2.68,2.61,2.53,2.52,2.51,2.5
8,12.51,13.26,14.15,12.93,10.54,9.88,8.91,9.02,9.89,8.73,10.48,10.07,13.7,9.63,9.5,8.34,6.86,10.75,6.19,8.45,6.46,10.62,6.17,6.87,6.97,6.42,7.33,3.68,7.06,6.69,5.41,5.43,5.31,5.14,5.04,4.99,4.88,4.75,4.57,4.46,4.41,4.29,4.23,4.17,4.03,3.96,3.96,3.96,3.81,3.67,3.58,3.5,3.48,3.46,3.44,3.41,3.38,3.35,3.32,3.3,3.28,3.26,3.12,2.98,2.98,2.92,2.86,2.87,2.88,2.83,2.77,2.72,2.6,2.54,2.55,2.49,2.42,2.43,2.43,2.42,2.35,2.28,2.27,2.27,2.26,2.25,2.24,2.17
9,13.36,15.29,14.15,10.87,11.38,8.75,11.97,11.75,11.53,8.71,8.33,10.06,8.08,10.14,7.16,8.03,5.12,7.51,9.96,10.51,7.34,5.93,6.45,6.24,6.94,6.39,7.29,4.71,7.03,5.12,5.15,5.04,4.92,4.8,4.76,4.72,4.6,4.39,4.28,4.24,4.11,4.06,4.0,3.8,3.66,3.66,3.66,3.59,3.52,3.44,3.36,3.35,3.33,3.31,3.29,3.26,3.24,3.21,3.18,3.15,3.13,3.05,2.91,2.84,2.78,2.71,2.72,2.73,2.67,2.62,2.57,2.45,2.39,2.4,2.41,2.41,2.42,2.35,2.28,2.21,2.14,2.14,2.13,2.13,2.12,2.11,2.1,2.09
