,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1152.43,1234.88,1011.68,957.72,847.71,925.93,771.51,816.49,627.03,683.38,644.12,555.75,627.83,554.35,657.36,486.16,578.75,511.33,589.85,458.33,518.58,458.06,393.19,538.95,536.23,455.7,447.21,487.06,501.88,566.97,360.77,332.38,406.54,354.64,461.3,496.99,380.11,436.54,382.89,382.91,374.31,366.11,358.3,350.86,343.76,336.99,330.54,324.39,318.53,312.93,307.6,302.51,297.65,293.01,288.59,284.36,280.32,276.46,272.77,269.24,265.85,262.59,259.42,256.31,253.24,250.21,247.21,244.24,241.31,238.42,235.56,232.74,229.95,227.19,224.47,221.78,219.12,216.49,213.9,211.33,208.8,206.29,203.82,201.38,198.96,196.58,194.22,191.89
1,67.52,91.72,77.08,76.64,38.0,37.63,22.52,75.93,117.45,63.33,71.2,32.12,16.53,33.44,25.67,60.67,33.7,60.8,62.16,27.88,38.34,38.47,38.58,28.04,36.3,44.41,42.54,56.75,16.16,24.26,32.06,24.13,24.66,16.72,8.38,8.44,17.22,27.28,27.29,26.68,26.09,25.54,25.01,24.51,24.03,23.57,23.13,22.72,22.32,21.94,21.58,21.23,20.9,20.59,20.29,20.0,19.72,19.46,19.21,18.97,18.73,18.51,18.29,18.07,17.85,17.63,17.42,17.21,17.01,16.8,16.6,16.4,16.21,16.01,15.82,15.63,15.44,15.26,15.07,14.89,14.71,14.54,14.36,14.19,14.02,13.85,13.69,13.52
2,22.59,38.37,46.45,69.17,30.64,53.18,22.74,45.96,54.73,23.79,31.56,40.11,16.53,24.87,34.21,43.27,8.46,8.7,8.87,18.51,9.56,28.73,0.0,9.28,0.0,8.81,16.92,16.12,0.0,8.06,15.98,8.0,8.14,8.3,24.98,16.74,8.07,8.05,7.86,7.67,7.5,7.33,7.17,7.02,6.88,6.75,6.62,6.5,6.38,6.27,6.17,6.07,5.97,5.88,5.8,5.71,5.64,5.56,5.49,5.42,5.36,5.29,5.23,5.17,5.11,5.04,4.98,4.92,4.87,4.81,4.75,4.69,4.64,4.58,4.53,4.47,4.42,4.36,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96,3.92,3.87
3,15.08,15.39,46.54,30.86,54.06,45.96,7.64,15.37,31.21,55.34,31.54,24.05,16.41,8.3,17.08,8.64,0.0,8.72,8.82,18.45,9.52,28.56,37.93,0.0,26.98,8.79,8.44,8.06,8.03,0.0,0.0,0.0,8.09,0.0,0.0,6.08,6.05,5.89,5.74,5.59,5.46,5.33,5.21,5.09,4.98,4.88,4.78,4.69,4.61,4.52,4.45,4.37,4.31,4.24,4.18,4.12,4.07,4.01,3.96,3.92,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.56,3.51,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.11,3.08,3.04,3.0,2.97,2.93,2.9,2.86,2.83,2.79
4,30.18,0.0,31.14,31.0,31.11,7.71,15.31,15.34,15.57,47.45,15.75,23.85,8.18,8.31,25.59,25.89,16.98,8.66,0.0,9.2,9.45,9.44,0.0,0.0,27.12,17.59,8.43,8.06,24.07,8.03,15.85,0.0,8.07,8.23,8.93,8.87,8.61,8.37,8.14,7.93,7.73,7.54,7.36,7.19,7.04,6.89,6.75,6.62,6.5,6.38,6.27,6.17,6.07,5.98,5.9,5.82,5.74,5.67,5.6,5.54,5.47,5.4,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.56,4.51,4.45,4.4,4.35,4.3,4.24,4.19,4.14,4.09,4.04,4.0,3.95
5,37.78,7.75,31.31,0.0,31.3,7.73,15.26,15.32,15.58,7.9,7.83,31.82,8.18,16.64,34.13,8.76,0.0,0.0,8.78,9.15,0.0,0.0,9.35,18.46,0.0,26.47,16.88,0.0,16.0,0.0,15.81,7.89,16.09,10.2,10.12,9.81,9.53,9.26,9.01,8.78,8.56,8.35,8.15,7.97,7.8,7.64,7.49,7.34,7.21,7.09,6.97,6.86,6.76,6.66,6.57,6.48,6.4,6.32,6.25,6.17,6.1,6.03,5.95,5.88,5.81,5.74,5.67,5.6,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57,4.51,4.46,4.4
6,0.0,0.0,15.79,7.83,15.74,23.07,30.47,7.67,23.37,23.58,7.84,15.94,24.52,25.02,8.56,17.49,16.96,17.31,34.97,0.0,9.34,9.35,0.0,9.23,0.0,0.0,8.44,8.03,15.99,15.99,31.47,0.0,10.88,10.8,10.47,10.17,9.89,9.62,9.37,9.13,8.91,8.71,8.51,8.33,8.16,7.99,7.84,7.7,7.57,7.44,7.33,7.22,7.11,7.01,6.92,6.84,6.75,6.67,6.59,6.51,6.44,6.36,6.28,6.21,6.13,6.06,5.99,5.91,5.84,5.77,5.7,5.64,5.57,5.5,5.44,5.37,5.31,5.24,5.18,5.12,5.06,4.99,4.93,4.88,4.82,4.76,4.7,4.65
7,15.27,7.86,31.67,15.66,15.64,15.34,15.22,15.33,7.76,15.7,15.67,16.0,8.18,8.31,17.09,0.0,8.46,17.24,17.39,9.05,37.09,0.0,9.36,0.0,9.11,8.81,0.0,16.02,0.0,7.95,7.85,9.06,9.0,8.74,8.49,8.26,8.04,7.84,7.65,7.47,7.3,7.14,6.99,6.84,6.71,6.59,6.47,6.36,6.25,6.16,6.07,5.98,5.9,5.82,5.75,5.68,5.61,5.54,5.48,5.41,5.35,5.28,5.22,5.16,5.09,5.03,4.97,4.91,4.85,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.35,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.91,3.86
8,15.32,15.78,15.83,23.4,0.0,15.32,15.22,7.63,15.51,7.84,0.0,8.01,0.0,8.3,8.53,0.0,0.0,17.15,17.29,18.02,18.52,0.0,18.72,18.48,0.0,17.56,16.75,7.99,7.93,15.84,7.02,6.98,6.79,6.6,6.43,6.27,6.11,5.97,5.83,5.7,5.58,5.47,5.36,5.26,5.16,5.07,4.99,4.91,4.83,4.76,4.69,4.63,4.57,4.51,4.46,4.41,4.35,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.9,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.54,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.1,3.07,3.03,2.99
9,15.35,23.68,15.77,23.31,0.0,30.53,15.15,7.64,15.51,0.0,15.73,8.01,8.22,16.58,8.5,8.61,8.42,8.52,17.23,27.01,18.52,0.0,0.0,18.45,9.07,0.0,8.34,0.0,0.0,5.57,5.55,5.4,5.26,5.12,5.0,4.88,4.77,4.66,4.56,4.47,4.38,4.29,4.21,4.14,4.07,4.0,3.94,3.88,3.82,3.77,3.72,3.67,3.62,3.58,3.54,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.78,2.75,2.71,2.68,2.65,2.62,2.58,2.55,2.52,2.49,2.46,2.43,2.4,2.37
10,0.0,7.85,0.0,15.49,23.14,0.0,7.58,7.62,0.0,0.0,7.88,8.02,0.0,8.27,0.0,17.12,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.19,9.04,8.73,0.0,15.85,5.16,5.14,5.0,4.87,4.75,4.64,4.53,4.43,4.33,4.24,4.15,4.07,3.99,3.92,3.85,3.79,3.73,3.67,3.61,3.56,3.51,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.1,3.07,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.68,2.65,2.62,2.59,2.56,2.53,2.5,2.47,2.44,2.41,2.38,2.35,2.32,2.29,2.27,2.24,2.21,2.19
11,0.0,23.41,0.0,7.72,15.34,0.0,15.16,15.25,0.0,7.82,0.0,8.04,8.21,8.24,8.41,0.0,16.66,0.0,17.18,0.0,9.25,9.31,9.29,0.0,9.02,17.41,8.29,5.39,5.36,5.22,5.09,4.96,4.84,4.73,4.63,4.52,4.43,4.34,4.25,4.17,4.1,4.03,3.96,3.89,3.83,3.78,3.72,3.67,3.62,3.57,3.53,3.49,3.45,3.4,3.36,3.32,3.28,3.24,3.2,3.17,3.13,3.09,3.05,3.02,2.98,2.94,2.91,2.87,2.84,2.81,2.77,2.74,2.71,2.67,2.64,2.61,2.58,2.55,2.52,2.49,2.46,2.43,2.4,2.37,2.34,2.31,2.29,2.26
12,22.93,15.56,15.52,7.69,0.0,7.59,7.58,7.61,15.6,7.83,23.69,0.0,16.36,24.62,8.37,0.0,8.3,8.42,0.0,0.0,9.22,0.0,0.0,9.13,17.96,0.0,6.57,6.54,6.37,6.2,6.05,5.9,5.76,5.63,5.51,5.39,5.28,5.18,5.08,4.99,4.9,4.82,4.74,4.67,4.6,4.53,4.47,4.41,4.35,4.3,4.24,4.19,4.14,4.09,4.04,4.0,3.95,3.9,3.85,3.81,3.76,3.72,3.67,3.63,3.58,3.54,3.5,3.46,3.42,3.37,3.33,3.29,3.25,3.22,3.18,3.14,3.1,3.06,3.03,2.99,2.95,2.92,2.88,2.85,2.82,2.78,2.75,2.72
13,0.0,38.77,7.72,23.0,7.61,30.33,7.58,15.22,23.39,0.0,15.81,8.06,32.59,24.5,0.0,16.82,0.0,25.22,0.0,0.0,27.51,0.0,9.21,9.09,0.0,7.92,7.88,7.67,7.47,7.29,7.11,6.94,6.78,6.63,6.49,6.36,6.23,6.11,6.0,5.89,5.79,5.7,5.61,5.52,5.44,5.37,5.3,5.23,5.16,5.1,5.04,4.98,4.92,4.86,4.8,4.75,4.69,4.63,4.58,4.52,4.47,4.41,4.36,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96,3.91,3.87,3.82,3.77,3.73,3.68,3.64,3.6,3.55,3.51,3.47,3.43,3.38,3.34,3.3,3.26,3.22
14,22.94,23.1,38.42,15.28,7.59,7.57,15.13,0.0,31.19,15.68,39.5,40.22,16.21,8.14,8.3,33.52,0.0,8.39,17.07,8.94,0.0,9.2,9.17,0.0,9.62,9.57,9.32,9.07,8.84,8.63,8.42,8.23,8.04,7.87,7.71,7.56,7.41,7.27,7.14,7.02,6.91,6.8,6.69,6.6,6.5,6.42,6.34,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75,5.68,5.61,5.54,5.48,5.41,5.35,5.28,5.22,5.16,5.1,5.03,4.97,4.91,4.86,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.91,3.86
15,15.25,7.67,22.94,53.42,30.26,22.62,30.27,15.24,15.61,7.85,23.69,24.08,8.09,24.31,16.55,8.35,24.79,16.76,17.02,17.86,18.27,9.19,27.39,11.52,11.47,11.16,10.86,10.59,10.33,10.08,9.85,9.63,9.43,9.23,9.05,8.87,8.71,8.55,8.41,8.27,8.14,8.01,7.9,7.79,7.68,7.59,7.49,7.4,7.31,7.22,7.14,7.05,6.97,6.88,6.8,6.72,6.64,6.56,6.48,6.4,6.33,6.25,6.17,6.1,6.03,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57
16,30.56,30.59,30.52,15.28,30.19,7.54,45.42,38.12,23.41,31.35,39.45,40.11,40.38,32.38,33.02,8.34,0.0,25.08,25.47,17.82,27.37,54.85,13.5,13.44,13.08,12.74,12.42,12.11,11.83,11.56,11.3,11.06,10.83,10.62,10.41,10.22,10.04,9.87,9.71,9.55,9.41,9.27,9.14,9.02,8.91,8.8,8.69,8.59,8.48,8.38,8.28,8.18,8.08,7.99,7.89,7.79,7.7,7.61,7.52,7.43,7.34,7.25,7.16,7.08,6.99,6.91,6.83,6.74,6.66,6.58,6.5,6.43,6.35,6.27,6.2,6.12,6.05,5.98,5.91,5.83,5.76,5.7,5.63,5.56,5.49,5.43,5.36,5.3
17,30.97,0.0,46.11,15.36,7.56,7.56,30.3,45.79,31.18,23.46,55.22,32.07,24.18,8.06,16.5,41.71,24.69,16.67,8.48,8.91,0.0,15.46,15.39,14.98,14.6,14.24,13.89,13.57,13.26,12.97,12.7,12.44,12.19,11.96,11.74,11.54,11.34,11.16,10.98,10.82,10.66,10.51,10.37,10.24,10.11,9.99,9.87,9.75,9.64,9.52,9.41,9.29,9.18,9.07,8.96,8.85,8.75,8.64,8.54,8.44,8.34,8.24,8.14,8.04,7.94,7.85,7.75,7.66,7.57,7.48,7.39,7.3,7.21,7.12,7.04,6.96,6.87,6.79,6.71,6.63,6.55,6.47,6.39,6.31,6.24,6.16,6.09,6.02
18,49.86,24.47,23.77,7.77,23.01,30.33,30.39,15.29,23.37,54.78,23.63,24.06,24.07,32.34,41.61,33.55,8.26,25.28,25.65,53.7,17.93,17.86,17.4,16.96,16.54,16.15,15.78,15.43,15.1,14.78,14.49,14.2,13.94,13.69,13.45,13.22,13.01,12.81,12.61,12.43,12.26,12.1,11.94,11.8,11.65,11.51,11.38,11.24,11.1,10.97,10.84,10.71,10.58,10.45,10.33,10.2,10.08,9.96,9.84,9.72,9.61,9.49,9.38,9.27,9.15,9.04,8.94,8.83,8.72,8.62,8.51,8.41,8.31,8.21,8.11,8.02,7.92,7.82,7.73,7.64,7.55,7.46,7.37,7.28,7.19,7.1,7.02,6.93
19,34.74,17.36,0.0,16.11,23.56,15.57,23.46,15.64,31.81,87.96,48.39,16.32,0.0,8.5,35.01,35.25,8.67,17.92,17.93,21.11,21.05,20.51,20.01,19.53,19.08,18.65,18.24,17.85,17.49,17.14,16.82,16.5,16.21,15.93,15.67,15.42,15.18,14.96,14.74,14.54,14.35,14.16,13.99,13.82,13.65,13.49,13.33,13.17,13.01,12.85,12.7,12.55,12.4,12.25,12.1,11.96,11.81,11.67,11.53,11.39,11.26,11.12,10.99,10.86,10.73,10.6,10.47,10.34,10.22,10.1,9.98,9.86,9.74,9.62,9.51,9.39,9.28,9.17,9.06,8.95,8.84,8.74,8.63,8.53,8.42,8.32,8.22,8.12
20,26.7,79.32,41.76,49.69,48.71,16.06,16.05,24.04,49.07,65.94,24.76,16.93,34.46,17.34,26.82,17.94,54.38,9.17,24.99,24.93,24.32,23.73,23.18,22.65,22.15,21.68,21.23,20.81,20.4,20.02,19.66,19.31,18.98,18.67,18.38,18.1,17.83,17.58,17.34,17.11,16.89,16.69,16.48,16.29,16.09,15.9,15.71,15.52,15.33,15.15,14.97,14.79,14.61,14.43,14.26,14.09,13.92,13.75,13.59,13.43,13.26,13.11,12.95,12.79,12.64,12.49,12.34,12.19,12.04,11.9,11.76,11.62,11.48,11.34,11.2,11.07,10.94,10.8,10.67,10.55,10.42,10.29,10.17,10.05,9.93,9.81,9.69,9.58
21,17.82,8.85,42.22,33.31,48.8,24.03,23.94,8.04,81.71,16.51,16.69,33.37,8.59,34.74,26.95,9.1,27.15,28.65,28.6,27.92,27.26,26.64,26.06,25.5,24.97,24.46,23.98,23.53,23.1,22.68,22.29,21.92,21.57,21.23,20.91,20.61,20.32,20.05,19.78,19.53,19.29,19.06,18.83,18.6,18.38,18.16,17.94,17.73,17.51,17.3,17.1,16.89,16.69,16.49,16.29,16.09,15.9,15.71,15.52,15.34,15.15,14.97,14.79,14.61,14.44,14.26,14.09,13.92,13.76,13.59,13.43,13.27,13.11,12.95,12.8,12.64,12.49,12.34,12.19,12.05,11.9,11.76,11.62,11.48,11.34,11.2,11.07,10.94
22,35.54,17.64,33.56,24.73,31.94,47.26,15.77,23.9,32.62,0.0,41.03,16.55,16.97,69.27,26.87,18.04,30.25,30.23,29.53,28.87,28.23,27.63,27.06,26.51,25.99,25.49,25.02,24.58,24.15,23.74,23.35,22.98,22.63,22.3,21.98,21.67,21.38,21.1,20.83,20.58,20.33,20.09,19.84,19.61,19.37,19.14,18.91,18.68,18.46,18.24,18.02,17.8,17.59,17.38,17.17,16.96,16.76,16.56,16.36,16.16,15.97,15.78,15.59,15.4,15.22,15.03,14.85,14.68,14.5,14.32,14.15,13.98,13.82,13.65,13.49,13.32,13.16,13.01,12.85,12.7,12.54,12.39,12.24,12.1,11.95,11.81,11.67,11.53
