,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1021.52,974.35,841.47,889.18,868.22,771.75,718.83,679.37,715.32,668.21,536.57,569.01,552.11,559.11,603.71,553.32,448.29,489.8,424.17,506.44,523.86,411.78,467.36,406.02,474.9,379.88,421.75,386.05,321.52,342.14,347.04,295.22,322.5,352.06,283.38,330.03,287.1,322.59,264.92,263.44,257.52,251.88,246.51,241.39,236.51,231.85,227.41,223.18,219.15,215.3,211.63,208.12,204.78,201.59,198.55,195.64,192.86,190.21,187.67,185.24,182.9,180.66,178.48,176.34,174.23,172.14,170.08,168.04,166.02,164.03,162.07,160.12,158.2,156.31,154.43,152.58,150.75,148.95,147.16,145.4,143.65,141.93,140.23,138.55,136.89,135.24,133.62,132.02
1,57.7,55.73,69.61,74.03,75.27,59.13,31.47,65.75,38.28,80.12,59.33,49.47,44.59,32.81,27.35,34.98,31.37,32.19,29.53,31.04,42.82,39.61,27.44,53.59,52.73,51.53,21.43,17.22,24.02,31.5,30.72,24.52,10.7,21.76,29.11,11.16,26.86,25.91,25.77,25.19,24.65,24.12,23.62,23.15,22.69,22.26,21.85,21.45,21.08,20.72,20.38,20.05,19.74,19.44,19.16,18.89,18.63,18.38,18.14,17.91,17.69,17.48,17.27,17.06,16.86,16.66,16.46,16.26,16.06,15.87,15.68,15.49,15.31,15.12,14.94,14.76,14.58,14.41,14.24,14.07,13.9,13.73,13.57,13.4,13.24,13.08,12.93,12.77
2,36.63,59.01,38.27,38.83,41.04,31.38,56.48,25.01,28.75,61.03,34.34,18.57,15.95,16.49,17.16,24.51,21.01,21.56,14.85,38.56,19.38,3.94,11.71,22.95,14.97,18.35,32.15,27.64,10.33,10.48,20.41,10.44,10.62,10.78,10.88,0.0,9.53,9.46,9.23,9.02,8.81,8.62,8.43,8.25,8.09,7.93,7.78,7.63,7.5,7.37,7.24,7.13,7.02,6.91,6.81,6.71,6.62,6.54,6.45,6.37,6.3,6.22,6.15,6.07,6.0,5.93,5.86,5.79,5.72,5.65,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.55
3,24.49,46.9,35.26,22.8,25.49,34.46,28.18,34.41,25.61,25.67,18.72,18.61,22.43,13.24,24.1,24.55,7.04,10.82,18.46,19.17,26.97,7.84,11.69,15.22,18.67,18.32,10.74,10.37,10.29,6.96,3.39,3.46,17.56,10.74,18.05,8.3,8.21,8.0,7.79,7.59,7.41,7.23,7.07,6.91,6.77,6.63,6.5,6.37,6.25,6.14,6.04,5.94,5.85,5.76,5.68,5.6,5.52,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.55,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.89,3.84,3.79
4,15.4,9.4,16.08,16.4,19.1,9.38,28.19,12.53,32.03,9.61,15.63,12.46,12.88,9.97,13.8,14.07,17.67,21.53,14.7,15.22,30.59,11.72,15.5,3.8,3.72,3.66,10.75,6.9,13.71,3.47,13.48,10.31,3.5,3.57,7.7,7.61,7.39,7.18,6.98,6.8,6.63,6.47,6.31,6.17,6.04,5.91,5.79,5.68,5.57,5.47,5.38,5.29,5.21,5.13,5.06,4.99,4.93,4.87,4.81,4.75,4.69,4.64,4.58,4.52,4.47,4.42,4.36,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96,3.91,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.55,3.51,3.47,3.43,3.39
5,12.36,22.03,19.4,13.11,19.05,12.5,21.95,43.84,9.6,12.82,59.47,25.03,9.7,16.67,10.38,10.56,10.56,14.33,10.97,15.13,11.44,7.78,3.87,7.59,11.15,7.31,17.89,0.0,6.83,3.45,16.74,17.12,3.49,6.78,6.69,6.49,6.3,6.12,5.96,5.8,5.66,5.52,5.39,5.27,5.16,5.05,4.95,4.85,4.77,4.68,4.61,4.53,4.47,4.4,4.34,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.94,3.89,3.84,3.8,3.75,3.7,3.66,3.62,3.57,3.53,3.49,3.45,3.4,3.36,3.32,3.28,3.24,3.2,3.17,3.13,3.09,3.05,3.02,2.98,2.95,2.91
6,12.41,18.98,9.68,9.81,12.71,15.64,15.67,15.64,16.0,3.21,25.12,28.2,12.96,13.39,10.4,21.09,3.5,10.67,0.0,18.82,11.36,3.87,7.73,3.79,7.43,3.65,0.0,6.85,3.4,3.43,3.34,20.46,5.74,5.67,5.5,5.34,5.19,5.05,4.92,4.79,4.68,4.57,4.47,4.37,4.28,4.2,4.12,4.04,3.97,3.91,3.84,3.79,3.73,3.68,3.63,3.59,3.54,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.1,3.07,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.69,2.65,2.62,2.59,2.56,2.53,2.5,2.47,2.44
7,6.23,9.45,6.44,16.36,19.04,15.63,3.13,3.13,6.42,12.87,12.58,18.83,3.25,13.41,3.46,7.0,0.0,7.07,0.0,3.73,18.81,11.59,0.0,0.0,11.14,14.55,3.56,3.41,3.38,0.0,3.33,4.86,4.8,4.66,4.53,4.41,4.29,4.18,4.08,3.98,3.89,3.81,3.73,3.65,3.58,3.51,3.45,3.39,3.34,3.28,3.23,3.19,3.15,3.1,3.07,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.68,2.65,2.62,2.59,2.56,2.53,2.5,2.47,2.44,2.41,2.38,2.35,2.32,2.29,2.27,2.24,2.21,2.19,2.16,2.13,2.11,2.08,2.06
8,18.64,12.58,16.11,9.81,12.66,0.0,6.26,12.57,12.87,12.88,9.44,3.15,9.78,10.03,17.21,13.92,10.38,3.52,7.18,7.42,7.5,0.0,19.3,11.36,0.0,3.63,0.0,3.4,3.37,10.22,3.26,3.22,3.13,3.05,2.97,2.89,2.82,2.75,2.69,2.63,2.58,2.52,2.47,2.43,2.38,2.34,2.3,2.26,2.23,2.2,2.17,2.14,2.11,2.08,2.06,2.03,2.01,1.98,1.96,1.94,1.91,1.89,1.87,1.85,1.82,1.8,1.78,1.76,1.74,1.72,1.7,1.68,1.66,1.64,1.62,1.6,1.58,1.56,1.54,1.52,1.5,1.49,1.47,1.45,1.43,1.42,1.4,1.38
9,3.1,12.58,6.45,19.59,6.3,12.47,15.67,12.59,25.78,6.44,3.15,9.46,6.49,20.0,17.14,6.92,6.88,10.48,7.14,7.38,7.47,3.85,3.86,3.78,3.69,0.0,7.05,10.16,3.36,3.57,3.53,3.43,3.34,3.26,3.18,3.1,3.03,2.97,2.9,2.84,2.79,2.73,2.68,2.63,2.59,2.55,2.51,2.47,2.43,2.4,2.37,2.34,2.31,2.28,2.25,2.22,2.2,2.17,2.14,2.12,2.09,2.07,2.04,2.02,1.99,1.97,1.95,1.92,1.9,1.88,1.86,1.83,1.81,1.79,1.77,1.75,1.73,1.71,1.68,1.66,1.64,1.62,1.61,1.59,1.57,1.55,1.53,1.51
