,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113
0,2616.89,2526.01,2437.67,2273.19,2266.9,2133.19,2138.39,2059.22,2051.8,2034.55,1972.55,1959.07,1931.62,1844.25,1707.42,1714.86,1667.98,1618.15,1575.7,1614.77,1542.42,1492.02,1458.33,1438.12,1385.92,1227.44,1243.94,1215.03,1159.72,1076.04,951.01,953.39,891.08,847.51,829.68,808.11,790.89,767.52,723.75,686.43,631.97,571.65,563.3,539.63,541.28,540.7,523.91,497.92,508.2,504.22,500.78,458.21,486.28,468.5,441.73,456.12,435.31,419.44,418.69,404.99,368.8,361.9,347.36,361.76,335.74,357.04,354.19,353.07,305.91,305.94,299.13,292.73,286.33,280.38,274.68,268.99,263.76,259.03,254.52,250.26,245.9,241.6,237.75,234.09,230.55,227.27,224.18,221.09,218.21,215.34,212.62,210.06,207.76,205.23,202.69,200.24,197.71,195.68,193.31,190.82,188.62,186.2,183.85,181.84,179.83,177.49,175.31,173.29,171.13,169.15,167.05,165.01,163.22,161.22,159.33,157.57,155.49,153.59,152.02,150.19,148.11,146.41,144.79,143.11,141.51,139.54,137.65,136.29,134.85,133.29,131.63,129.83,128.34,127.0,125.33,123.63,122.21,120.9,119.54,117.97,116.52,115.02,113.64,112.54,111.25,109.95,108.47,107.0,105.83,104.67,103.52,102.23,100.82,99.59,98.38,97.2,96.05,94.92,93.97,92.88,91.82,90.62,89.29
1,201.64,208.46,170.04,184.38,161.83,163.69,150.69,158.39,149.92,130.14,135.09,136.83,120.88,122.48,126.45,121.34,117.1,118.57,106.01,110.35,108.17,101.3,100.15,97.39,87.04,80.27,91.53,81.86,77.74,72.62,67.4,65.59,66.92,77.48,67.01,64.99,57.05,57.65,60.32,58.32,50.67,44.7,47.9,45.65,42.42,39.26,42.29,39.05,32.22,34.15,36.49,39.09,36.51,37.88,40.52,32.71,32.31,25.05,30.3,30.58,26.41,29.65,21.05,26.08,26.67,16.73,24.02,29.96,30.07,29.48,28.6,28.2,27.9,27.66,26.87,25.94,25.71,25.33,24.78,24.43,24.25,24.11,23.55,22.89,22.63,21.95,21.5,21.26,21.09,21.01,20.73,20.49,20.49,20.12,19.84,19.94,19.72,19.68,19.46,18.9,18.12,17.57,17.68,17.75,17.58,17.57,17.45,17.3,17.05,16.78,16.71,16.53,16.39,16.19,15.93,15.49,15.0,14.68,14.46,14.59,14.62,14.14,13.71,13.55,13.54,13.53,13.4,13.32,13.3,13.33,13.16,12.9,12.86,12.92,12.97,12.68,12.33,12.24,11.94,11.32,10.95,10.8,10.55,10.61,10.66,10.49,10.31,10.3,10.3,10.03,10.06,10.14,9.92,9.7,9.48,9.26,9.31,9.31,9.1,8.9,9.0,9.15,8.95
2,109.72,85.89,94.95,88.72,92.88,84.13,86.86,83.42,83.53,73.14,76.21,73.02,74.97,70.93,70.29,70.69,67.05,64.12,58.8,74.23,60.36,59.15,47.83,49.42,52.31,50.73,42.81,43.63,44.44,46.03,41.14,36.52,37.35,38.87,37.94,39.24,35.94,26.46,35.31,31.43,27.31,28.67,22.45,28.74,24.75,25.87,29.84,16.66,20.88,18.92,23.22,19.08,16.25,20.4,17.38,19.89,19.89,13.84,15.4,11.08,14.39,13.7,12.2,15.23,14.53,8.29,14.49,14.42,14.13,13.83,13.6,13.32,12.93,12.66,12.46,12.25,12.12,11.84,11.47,11.31,11.14,10.95,10.82,10.68,10.61,10.45,10.22,9.99,9.84,9.76,9.7,9.52,9.36,9.28,9.15,9.03,8.99,8.95,8.8,8.71,8.62,8.46,8.36,8.26,8.15,8.04,7.91,7.78,7.72,7.64,7.56,7.54,7.45,7.29,7.2,7.17,7.07,6.98,6.95,6.92,6.83,6.68,6.6,6.58,6.51,6.44,6.43,6.37,6.31,6.18,6.0,5.94,5.89,5.83,5.84,5.65,5.46,5.47,5.4,5.34,5.34,5.27,5.2,5.12,5.05,4.98,4.9,4.89,4.88,4.8,4.73,4.72,4.71,4.64,4.5,4.43,4.36,4.3,4.23,4.17,4.17,4.17,4.1
3,58.54,67.86,65.63,70.11,60.54,63.98,64.26,65.59,64.47,60.39,55.24,54.66,54.43,44.84,56.92,46.02,46.03,49.99,57.9,53.84,46.72,43.43,34.55,45.17,42.09,35.51,33.09,32.85,25.51,27.72,25.79,29.56,27.49,28.51,32.62,29.27,26.42,20.84,22.56,23.77,18.47,18.94,16.23,16.99,16.88,17.86,18.86,18.14,12.56,17.04,15.23,13.18,15.33,15.43,17.36,15.41,13.42,10.94,11.68,11.28,11.28,10.38,9.83,8.97,10.55,8.12,8.0,7.75,7.64,7.48,7.29,7.12,7.01,6.88,6.74,6.74,6.61,6.47,6.39,6.17,6.02,5.99,5.96,5.92,5.75,5.5,5.38,5.33,5.28,5.24,5.14,5.05,5.03,4.89,4.76,4.71,4.65,4.6,4.56,4.58,4.53,4.42,4.38,4.4,4.41,4.29,4.16,4.16,4.16,4.16,4.15,4.08,3.93,3.85,3.84,3.82,3.81,3.79,3.78,3.76,3.68,3.61,3.6,3.59,3.52,3.45,3.38,3.32,3.26,3.13,3.07,3.08,3.02,2.96,2.9,2.84,2.84,2.84,2.84,2.84,2.84,2.78,2.64,2.58,2.57,2.57,2.56,2.55,2.55,2.54,2.54,2.53,2.4,2.27,2.2,2.14,2.14,2.13,2.13,2.13,2.13,2.13,2.01
4,50.83,49.63,52.93,47.62,51.61,49.23,47.75,46.4,54.87,46.7,52.45,50.93,43.51,48.33,44.55,42.78,37.58,43.7,35.02,36.69,36.25,32.45,31.78,33.87,31.24,26.08,26.81,22.93,28.21,24.32,19.79,24.84,21.73,22.8,25.68,17.48,21.25,14.78,17.0,14.26,14.04,13.15,12.72,10.43,11.52,15.01,14.66,15.73,14.23,13.69,8.78,12.24,10.2,12.51,13.36,9.88,10.17,9.08,9.56,7.39,7.97,9.08,8.01,4.84,7.27,7.17,6.9,6.82,6.7,6.54,6.42,6.31,6.13,5.93,5.86,5.79,5.66,5.52,5.38,5.23,5.14,5.12,5.1,5.0,4.9,4.86,4.82,4.71,4.6,4.56,4.53,4.51,4.43,4.35,4.29,4.23,4.17,4.12,4.14,4.09,4.05,4.0,3.95,3.97,3.85,3.73,3.73,3.67,3.6,3.6,3.6,3.52,3.44,3.43,3.42,3.41,3.39,3.31,3.24,3.22,3.21,3.14,3.07,2.99,2.93,2.86,2.79,2.79,2.73,2.67,2.67,2.61,2.55,2.56,2.56,2.56,2.5,2.44,2.44,2.44,2.38,2.31,2.31,2.24,2.17,2.17,2.16,2.16,2.09,2.02,2.02,1.95,1.88,1.82,1.75,1.75,1.75,1.75,1.75,1.74,1.74,1.74,1.68
5,45.07,46.39,40.87,44.59,45.09,41.71,50.27,41.79,41.29,41.67,36.73,32.8,35.79,35.61,38.58,35.52,33.77,37.11,29.7,27.54,31.24,25.85,26.54,26.52,26.88,22.14,21.11,22.64,21.73,18.89,17.74,18.82,16.58,19.36,14.62,16.9,12.65,16.9,14.08,15.84,15.08,13.42,12.45,11.8,12.39,12.45,11.51,12.51,10.11,8.3,10.27,8.84,9.29,11.33,8.23,7.94,10.93,8.01,7.19,6.33,6.68,7.81,9.96,6.88,6.85,6.68,6.6,6.45,6.25,6.09,5.97,5.8,5.61,5.48,5.41,5.34,5.21,5.14,5.07,4.99,4.91,4.82,4.8,4.77,4.74,4.7,4.59,4.48,4.44,4.41,4.38,4.36,4.34,4.27,4.2,4.14,4.09,4.1,4.05,4.01,3.96,3.92,3.93,3.88,3.76,3.71,3.65,3.58,3.52,3.38,3.31,3.24,3.16,3.15,3.14,3.13,3.05,2.97,2.96,2.95,2.88,2.8,2.8,2.73,2.66,2.65,2.65,2.59,2.53,2.53,2.53,2.53,2.48,2.35,2.29,2.23,2.17,2.17,2.17,2.17,2.17,2.17,2.1,1.97,1.91,1.9,1.9,1.83,1.76,1.76,1.76,1.75,1.75,1.75,1.74,1.74,1.74,1.74,1.67,1.61,1.61,1.55,1.53
6,42.21,36.93,38.48,41.83,30.56,35.08,32.96,31.04,33.43,32.0,29.71,30.81,24.19,31.51,29.87,32.27,30.13,26.64,24.56,25.21,18.92,22.43,24.99,24.41,22.48,19.42,23.06,19.79,20.51,18.83,16.03,16.25,16.26,15.34,15.69,15.8,14.8,12.67,13.0,13.45,11.7,13.94,12.16,9.63,12.94,11.83,10.32,11.6,10.36,10.64,9.31,8.82,7.78,8.41,7.66,8.73,7.43,8.22,6.9,7.05,7.88,7.53,6.56,6.47,6.24,6.14,5.99,5.83,5.68,5.58,5.47,5.36,5.24,5.11,5.11,4.97,4.84,4.84,4.84,4.69,4.54,4.52,4.5,4.47,4.44,4.41,4.37,4.33,4.29,4.26,4.23,4.21,4.13,4.0,3.93,3.94,3.94,3.89,3.78,3.67,3.62,3.64,3.66,3.61,3.55,3.49,3.37,3.24,3.11,3.04,2.97,2.89,2.89,2.88,2.8,2.73,2.72,2.7,2.69,2.68,2.61,2.54,2.47,2.4,2.39,2.39,2.39,2.33,2.27,2.27,2.27,2.21,2.09,2.03,2.03,2.03,2.03,1.97,1.91,1.91,1.91,1.91,1.84,1.78,1.77,1.77,1.77,1.76,1.76,1.75,1.69,1.62,1.62,1.62,1.61,1.61,1.61,1.55,1.48,1.48,1.48,1.46,1.45
7,32.5,34.5,36.39,32.27,30.53,30.1,31.49,29.89,27.7,28.69,28.55,22.72,27.1,26.76,24.28,25.25,27.17,25.14,22.34,21.41,24.54,18.23,17.56,21.04,17.49,16.96,19.51,15.35,15.2,13.75,16.57,13.66,13.39,15.88,12.93,11.99,9.41,11.08,8.49,11.34,11.7,9.46,8.39,11.28,9.25,8.12,8.04,10.15,6.59,7.93,9.57,7.28,8.06,4.35,8.2,6.8,8.72,8.18,5.34,6.77,5.88,6.02,5.97,5.75,5.59,5.49,5.39,5.28,5.19,5.09,5.04,4.93,4.81,4.81,4.68,4.54,4.54,4.55,4.47,4.26,4.11,4.1,4.08,4.05,4.02,3.99,3.96,3.92,3.89,3.86,3.83,3.81,3.74,3.6,3.54,3.48,3.42,3.37,3.26,3.21,3.16,3.11,3.06,3.0,2.95,2.82,2.7,2.63,2.63,2.63,2.63,2.62,2.61,2.54,2.47,2.46,2.45,2.44,2.36,2.23,2.16,2.15,2.14,2.14,2.13,2.13,2.07,2.0,2.01,2.01,1.95,1.89,1.89,1.89,1.89,1.9,1.84,1.77,1.77,1.77,1.77,1.77,1.71,1.64,1.64,1.64,1.63,1.63,1.63,1.56,1.49,1.49,1.49,1.49,1.48,1.48,1.48,1.48,1.42,1.35,1.34,1.32,1.31
8,30.54,35.41,30.47,25.58,29.75,28.84,23.36,27.02,28.48,31.55,25.17,23.02,23.89,28.71,22.76,25.29,21.56,20.89,19.18,19.97,20.13,23.97,16.26,19.37,18.08,14.47,16.59,14.06,11.96,15.7,12.61,13.35,14.21,13.31,10.17,10.08,9.13,8.97,10.08,8.7,10.13,10.0,13.25,9.59,9.47,8.07,6.63,10.96,6.55,8.76,6.84,10.28,6.57,7.23,6.76,6.76,7.62,3.82,7.09,6.98,5.49,5.51,5.4,5.23,5.13,5.09,4.99,4.86,4.7,4.6,4.54,4.43,4.38,4.31,4.18,4.05,3.98,3.98,3.84,3.7,3.62,3.54,3.52,3.5,3.47,3.45,3.42,3.39,3.36,3.33,3.31,3.29,3.16,3.02,2.96,2.84,2.78,2.79,2.8,2.75,2.7,2.65,2.53,2.47,2.48,2.42,2.36,2.36,2.36,2.36,2.29,2.22,2.21,2.21,2.2,2.19,2.18,2.11,2.04,2.03,2.02,2.02,2.01,2.01,2.0,1.94,1.87,1.87,1.87,1.81,1.75,1.75,1.76,1.76,1.76,1.76,1.7,1.64,1.64,1.64,1.64,1.58,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.49,1.49,1.49,1.42,1.36,1.35,1.35,1.35,1.29,1.23,1.21,1.2,1.18,1.17
9,28.89,26.06,20.47,21.34,24.39,23.08,24.22,26.84,25.77,20.6,20.42,25.97,25.89,18.55,20.0,23.6,18.98,16.36,23.08,19.5,16.55,17.25,12.81,16.53,17.47,23.35,15.27,16.22,9.91,14.85,13.44,15.59,14.21,11.32,10.98,9.53,12.08,11.61,11.66,8.41,8.58,9.99,8.08,10.35,7.21,8.05,5.23,7.54,10.2,11.04,7.7,5.74,6.24,6.62,7.01,6.19,7.33,4.56,6.8,5.21,5.23,5.12,5.01,4.9,4.87,4.82,4.72,4.52,4.41,4.31,4.12,4.07,4.02,3.82,3.62,3.55,3.55,3.49,3.42,3.34,3.27,3.25,3.24,3.22,3.2,3.17,3.15,3.12,3.09,3.07,3.05,2.97,2.83,2.76,2.7,2.64,2.64,2.65,2.6,2.55,2.5,2.38,2.33,2.33,2.34,2.35,2.35,2.29,2.22,2.16,2.09,2.08,2.08,2.07,2.06,2.06,2.05,2.04,2.03,2.02,2.02,1.95,1.88,1.87,1.81,1.74,1.74,1.74,1.74,1.74,1.75,1.75,1.75,1.75,1.69,1.57,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.49,1.49,1.43,1.36,1.3,1.23,1.23,1.23,1.23,1.22,1.22,1.21,1.19,1.18,1.17,1.15
