age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1259.45,1217.86,1130.81,1059.73,1044.46,1102.18,1047.13,1027.39,957.29,891.7,825.29,732.97,700.09,685.9,684.96,688.42,652.39,630.45,649.79,611.9,594.76,600.25,576.62,553.88,568.21,546.52,536.05,529.41,514.0,465.36,496.57,461.84,438.41,408.91,442.63,420.81,434.66,425.11,382.39,377.55,368.99,360.8,352.79,345.17,337.99,331.16,324.62,318.39,312.52,306.84,301.38,296.45,291.62,286.96,282.58,278.45,274.52,270.61,267.13,263.72,260.37,257.09,253.84,250.91,247.85,244.78,241.99,239.27,236.38,233.38,230.68,227.91,225.04,222.34,219.78,217.17,214.52,212.03,209.53,206.85,204.35,202.08,199.71,197.27,194.78,192.43,190.08,187.75
1,89.14,72.38,81.22,78.03,67.55,69.79,73.62,70.39,68.93,66.12,53.91,57.92,51.93,45.22,52.45,54.23,50.86,53.07,44.94,43.98,47.26,38.17,41.89,40.69,40.6,41.75,35.62,31.28,32.98,35.14,34.1,33.32,35.88,29.85,27.4,24.61,25.66,35.7,35.5,34.34,33.32,32.72,32.2,31.65,30.72,29.99,29.76,29.33,28.7,28.19,27.69,27.33,26.81,26.44,26.2,25.8,25.33,24.74,24.52,24.43,24.19,23.82,23.55,23.51,23.06,22.37,22.05,21.86,21.77,21.61,21.47,21.33,20.81,20.47,20.36,20.17,19.85,19.47,19.36,19.12,18.76,18.67,18.56,18.44,17.98,17.51,17.31,17.06
2,47.91,44.03,52.04,44.91,46.43,43.54,45.93,43.99,38.06,33.8,37.01,31.84,29.46,30.58,31.07,32.27,33.28,27.52,26.48,27.08,25.65,22.98,23.36,22.41,28.94,18.32,18.67,18.41,20.41,18.43,18.02,16.13,15.89,13.14,14.0,12.05,16.65,16.56,16.3,15.93,15.47,15.03,14.69,14.4,14.03,13.74,13.51,13.28,13.04,12.78,12.66,12.45,12.23,12.08,11.91,11.81,11.69,11.51,11.26,11.1,11.02,10.89,10.78,10.7,10.56,10.43,10.25,10.07,9.98,9.88,9.79,9.63,9.46,9.42,9.31,9.19,9.13,8.99,8.84,8.76,8.67,8.58,8.55,8.45,8.34,8.24,8.06,7.96
3,41.95,39.51,37.77,30.46,33.97,35.08,33.19,33.24,25.94,27.5,21.46,24.72,23.61,21.19,23.22,21.57,18.47,17.33,15.08,20.51,20.93,18.68,15.37,17.4,17.05,10.91,14.6,11.41,11.12,10.94,13.61,12.33,13.35,11.68,10.62,9.34,9.15,8.92,8.68,8.3,8.03,7.85,7.66,7.51,7.37,7.22,7.07,6.92,6.84,6.75,6.58,6.48,6.37,6.25,6.2,6.15,6.02,5.89,5.84,5.79,5.75,5.72,5.69,5.55,5.41,5.41,5.42,5.37,5.26,5.21,5.17,5.05,5.0,4.95,4.9,4.91,4.84,4.71,4.63,4.63,4.62,4.61,4.52,4.44,4.35,4.26,4.24,4.22
4,29.73,26.19,28.66,24.22,26.13,26.13,21.98,25.24,22.2,21.18,15.79,21.85,19.82,18.85,16.57,15.77,16.06,16.63,16.23,12.1,11.72,12.77,15.03,13.06,9.44,10.57,10.55,11.08,9.95,7.33,11.4,8.08,9.82,11.05,8.44,8.12,7.84,7.64,7.39,7.23,7.03,6.84,6.72,6.51,6.36,6.21,6.07,6.07,5.91,5.75,5.73,5.63,5.45,5.35,5.31,5.26,5.21,5.16,5.11,5.07,5.04,5.01,4.92,4.77,4.7,4.71,4.72,4.66,4.54,4.5,4.45,4.4,4.35,4.3,4.31,4.25,4.19,4.12,4.05,4.04,4.03,3.96,3.87,3.86,3.78,3.69,3.67,3.66
5,24.36,23.97,22.72,27.61,23.1,23.72,21.11,18.64,12.39,16.86,15.19,17.31,15.14,13.54,10.85,12.73,12.35,13.78,8.38,11.43,12.67,12.09,14.7,12.12,10.64,11.7,10.5,9.92,8.78,7.55,10.54,9.85,8.17,8.09,7.78,7.6,7.39,7.18,6.99,6.75,6.63,6.44,6.24,6.1,5.96,5.88,5.81,5.66,5.51,5.43,5.41,5.31,5.21,5.17,5.06,4.95,4.91,4.86,4.81,4.77,4.74,4.71,4.63,4.55,4.55,4.48,4.42,4.37,4.32,4.27,4.22,4.17,4.12,4.14,4.08,4.02,3.96,3.89,3.89,3.88,3.81,3.73,3.72,3.63,3.55,3.54,3.52,3.5
6,22.47,22.08,22.36,23.84,19.16,17.8,17.89,16.91,16.97,12.83,16.02,14.75,11.92,18.29,13.27,12.35,14.07,11.27,14.23,9.18,11.96,10.1,8.93,9.63,9.11,9.03,7.35,10.69,8.46,6.17,7.35,8.51,7.67,7.45,7.28,7.1,6.88,6.65,6.52,6.36,6.16,6.05,5.92,5.78,5.71,5.56,5.42,5.34,5.19,5.11,5.09,5.07,5.04,4.94,4.76,4.65,4.6,4.56,4.52,4.48,4.45,4.42,4.41,4.4,4.33,4.26,4.21,4.15,4.1,4.05,4.0,3.95,3.97,3.91,3.86,3.8,3.73,3.73,3.73,3.66,3.58,3.57,3.49,3.34,3.26,3.25,3.24,3.15
7,22.75,26.4,15.83,20.7,20.34,14.54,16.12,14.32,10.91,11.68,17.13,13.32,12.81,12.72,11.7,9.88,10.12,8.81,9.25,9.45,10.62,7.15,6.69,8.38,7.26,11.6,8.43,9.54,7.06,8.28,7.84,7.1,6.98,6.75,6.58,6.4,6.24,6.14,6.0,5.83,5.7,5.59,5.46,5.32,5.18,5.1,5.03,4.89,4.81,4.8,4.78,4.69,4.59,4.49,4.38,4.35,4.31,4.27,4.23,4.19,4.16,4.14,4.12,4.12,4.05,3.92,3.86,3.87,3.88,3.83,3.71,3.66,3.68,3.69,3.63,3.44,3.3,3.31,3.3,3.3,3.29,3.22,3.07,2.92,2.84,2.83,2.82,2.81
8,19.64,20.47,19.82,15.44,16.14,19.58,15.81,12.58,17.79,13.08,11.49,12.48,10.78,9.42,11.05,11.61,8.32,12.71,12.57,11.6,10.57,11.02,9.87,9.89,7.53,6.92,6.71,5.69,7.83,6.91,6.56,6.43,6.23,6.07,5.89,5.78,5.68,5.56,5.41,5.3,5.18,5.06,4.93,4.79,4.79,4.65,4.5,4.5,4.5,4.49,4.33,4.17,4.14,4.12,4.09,4.05,4.01,3.98,3.94,3.91,3.88,3.86,3.84,3.77,3.63,3.57,3.58,3.59,3.6,3.48,3.3,3.24,3.26,3.27,3.14,3.01,2.95,2.88,2.88,2.88,2.87,2.86,2.79,2.71,2.7,2.69,2.61,2.53
9,19.02,20.43,16.12,13.89,15.22,16.6,16.37,13.43,12.33,13.06,11.48,7.38,13.07,12.01,11.0,8.01,13.91,11.14,10.07,7.79,11.47,10.99,7.61,7.39,11.09,8.32,7.51,8.9,4.57,6.21,6.08,5.95,5.82,5.65,5.47,5.36,5.25,5.12,5.03,4.93,4.87,4.75,4.62,4.63,4.48,4.34,4.34,4.34,4.26,4.11,4.02,4.01,3.98,3.96,3.93,3.9,3.86,3.83,3.79,3.76,3.73,3.71,3.63,3.49,3.42,3.43,3.43,3.38,3.19,3.0,2.95,2.96,2.97,2.99,2.93,2.8,2.73,2.73,2.73,2.73,2.72,2.72,2.71,2.63,2.55,2.48,2.4,2.39
