,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1256.05,1223.84,1130.24,1070.39,1041.11,1091.54,1040.54,1020.36,961.92,890.9,829.32,737.63,703.21,684.72,681.01,687.66,648.63,629.31,642.88,613.5,593.46,603.24,574.08,555.73,568.07,543.68,534.92,524.07,510.54,460.37,493.9,460.6,431.04,406.7,435.72,414.25,430.21,416.72,377.22,372.29,363.92,355.91,348.0,340.46,333.35,326.59,320.11,314.08,308.37,302.69,297.19,292.35,287.74,283.29,278.91,274.75,270.91,267.08,263.66,260.32,257.04,253.84,250.68,247.85,244.75,241.66,238.99,236.39,233.48,230.47,227.89,225.23,222.31,219.7,217.2,214.5,211.91,209.45,206.98,204.34,201.87,199.76,197.4,194.98,192.51,190.16,187.97,185.64
1,91.38,72.82,84.94,77.35,68.8,69.11,72.67,70.17,70.86,67.83,54.93,56.5,52.47,45.12,52.42,52.19,50.47,52.34,44.13,41.59,46.79,39.08,43.02,39.75,40.48,39.87,35.75,31.67,31.95,35.54,33.49,32.82,34.74,29.67,27.41,24.08,25.89,35.94,35.72,34.72,33.65,32.99,32.38,31.73,31.01,30.21,29.82,29.53,29.1,28.5,27.86,27.58,27.16,26.64,26.24,25.91,25.52,25.01,24.84,24.8,24.35,23.79,23.58,23.63,23.3,22.71,22.2,21.87,21.89,21.8,21.72,21.43,20.74,20.49,20.48,20.36,20.12,19.81,19.49,19.06,18.72,18.68,18.63,18.57,18.18,17.74,17.6,17.41
2,47.47,44.94,50.59,44.47,45.53,43.67,45.85,44.01,38.19,33.81,37.69,30.88,29.57,31.74,30.66,32.35,32.15,28.08,25.46,27.24,25.4,23.27,26.23,22.06,28.04,18.8,18.54,18.52,19.85,18.05,17.88,16.65,15.97,15.2,14.24,11.93,16.75,16.71,16.49,16.08,15.58,15.18,14.8,14.46,14.12,13.85,13.58,13.3,13.07,12.84,12.73,12.53,12.33,12.18,12.03,11.93,11.82,11.65,11.41,11.26,11.12,10.94,10.83,10.75,10.63,10.51,10.34,10.19,10.1,10.02,9.94,9.79,9.57,9.48,9.31,9.13,9.08,8.95,8.81,8.74,8.65,8.57,8.54,8.45,8.35,8.25,8.08,7.99
3,42.39,38.32,37.39,29.96,35.6,35.7,32.9,33.17,26.6,27.78,22.45,24.9,22.63,21.55,23.2,21.72,17.76,17.32,15.57,21.78,19.84,19.0,14.75,19.45,16.53,10.6,15.59,11.04,10.77,10.62,13.32,12.64,12.62,11.57,10.34,9.42,9.26,9.0,8.73,8.38,8.13,7.9,7.65,7.52,7.38,7.25,7.11,6.98,6.9,6.82,6.66,6.56,6.46,6.36,6.31,6.26,6.14,6.02,5.96,5.92,5.88,5.85,5.76,5.56,5.43,5.44,5.45,5.4,5.3,5.26,5.22,5.05,4.94,4.89,4.85,4.86,4.8,4.67,4.6,4.6,4.59,4.58,4.5,4.42,4.34,4.26,4.24,4.22
4,30.52,27.96,29.7,25.15,26.53,25.66,21.9,24.84,23.18,20.68,15.46,21.77,19.98,18.87,16.55,17.24,17.21,17.8,16.61,12.58,11.67,12.65,14.72,12.3,9.53,10.57,10.01,11.76,10.71,7.28,11.52,7.96,10.32,10.74,8.57,8.28,7.98,7.68,7.39,7.25,7.06,6.89,6.78,6.58,6.45,6.31,6.18,6.18,6.03,5.89,5.87,5.78,5.61,5.51,5.47,5.43,5.38,5.27,5.16,5.12,5.08,4.99,4.85,4.71,4.65,4.65,4.66,4.61,4.5,4.46,4.42,4.37,4.33,4.28,4.3,4.24,4.18,4.12,4.05,4.05,4.04,3.97,3.89,3.88,3.8,3.72,3.7,3.69
5,25.66,24.55,23.47,26.25,23.23,23.74,21.64,17.78,13.16,17.0,15.95,16.33,15.97,13.75,12.42,13.62,12.7,13.48,9.11,11.37,12.24,12.02,14.12,11.72,10.64,11.88,11.01,9.16,9.38,7.49,10.96,9.12,7.82,8.23,7.96,7.8,7.49,7.18,7.02,6.8,6.69,6.52,6.33,6.2,6.07,6.0,5.94,5.8,5.66,5.58,5.57,5.48,5.38,5.28,5.11,5.01,4.9,4.79,4.75,4.71,4.68,4.65,4.57,4.5,4.5,4.44,4.39,4.34,4.29,4.25,4.21,4.16,4.11,4.13,4.08,4.02,3.96,3.9,3.9,3.9,3.83,3.75,3.74,3.67,3.59,3.57,3.56,3.54
6,23.96,21.71,21.17,24.23,19.9,18.08,17.37,16.98,17.61,13.3,15.16,14.77,13.03,17.83,13.54,11.88,14.28,10.9,14.2,10.46,11.59,10.79,9.69,10.0,10.07,9.14,7.31,10.88,8.82,6.95,7.27,9.31,7.83,7.58,7.36,7.14,6.89,6.7,6.59,6.44,6.25,6.15,6.03,5.9,5.84,5.71,5.57,5.5,5.3,5.15,5.14,5.11,5.02,4.86,4.69,4.59,4.55,4.51,4.47,4.43,4.41,4.38,4.37,4.36,4.29,4.23,4.18,4.13,4.09,4.04,4.0,3.95,3.97,3.92,3.87,3.81,3.75,3.76,3.76,3.69,3.62,3.61,3.53,3.39,3.32,3.3,3.29,3.21
7,23.67,25.63,16.07,21.37,19.62,15.39,15.75,13.57,10.23,12.51,17.46,13.47,12.25,13.01,11.55,9.61,10.1,8.64,9.34,9.54,11.24,7.17,7.34,8.57,7.24,10.98,8.57,9.31,7.77,8.15,7.72,7.17,7.01,6.75,6.59,6.43,6.3,6.22,6.1,5.94,5.83,5.65,5.47,5.34,5.21,5.14,5.08,4.87,4.73,4.72,4.71,4.63,4.53,4.44,4.35,4.31,4.27,4.24,4.2,4.17,4.14,4.12,4.1,4.09,4.03,3.91,3.86,3.87,3.88,3.84,3.73,3.68,3.7,3.71,3.66,3.48,3.35,3.35,3.35,3.35,3.34,3.27,3.14,3.0,2.92,2.91,2.9,2.89
8,19.18,19.69,20.54,15.46,17.15,19.15,16.0,12.0,17.84,13.53,11.28,11.67,11.19,9.17,10.4,12.28,8.98,12.49,12.66,11.79,10.89,11.03,9.68,10.25,7.76,6.93,6.72,5.76,7.98,6.89,6.55,6.43,6.26,6.11,5.95,5.85,5.71,5.55,5.42,5.32,5.14,4.96,4.84,4.71,4.71,4.58,4.45,4.45,4.45,4.44,4.29,4.14,4.12,4.09,4.07,4.03,4.0,3.96,3.93,3.9,3.87,3.85,3.84,3.77,3.64,3.59,3.59,3.6,3.62,3.51,3.34,3.29,3.3,3.32,3.2,3.08,3.02,2.96,2.96,2.95,2.95,2.94,2.87,2.8,2.79,2.77,2.7,2.63
9,18.33,20.49,15.5,16.85,15.22,17.26,16.51,13.56,13.37,12.47,12.55,8.04,13.29,12.07,11.44,8.7,13.56,10.5,10.08,7.44,11.72,10.71,8.47,7.65,10.76,8.22,7.45,8.22,4.22,6.24,6.1,5.99,5.87,5.66,5.44,5.28,5.12,5.01,4.93,4.84,4.78,4.67,4.56,4.56,4.43,4.3,4.3,4.3,4.23,4.09,4.01,3.99,3.97,3.95,3.92,3.89,3.86,3.82,3.79,3.76,3.73,3.71,3.64,3.51,3.45,3.45,3.46,3.41,3.23,3.06,3.01,3.02,3.04,3.05,3.0,2.87,2.81,2.82,2.82,2.81,2.81,2.8,2.79,2.72,2.65,2.58,2.5,2.49
