,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113
0,3389.45,3200.46,3056.82,2927.91,2894.82,2770.88,2712.53,2625.8,2553.07,2602.76,2540.39,2588.17,2494.36,2378.96,2237.95,2233.15,2080.75,2161.25,2079.79,2118.51,2009.66,1916.02,1885.73,1881.21,1745.17,1627.29,1599.65,1541.0,1482.73,1344.48,1263.9,1233.77,1140.72,1073.48,1041.89,1092.64,1037.56,1018.5,954.6,888.54,829.53,734.39,706.03,683.74,683.37,687.49,645.43,628.65,644.34,611.24,597.0,599.3,576.86,555.8,572.45,545.0,535.82,522.7,511.37,464.45,494.26,457.99,433.67,413.01,439.6,414.86,428.53,416.57,378.16,373.18,364.71,356.73,348.84,341.28,334.14,327.34,320.79,314.68,309.02,303.37,297.89,293.02,288.37,283.86,279.41,275.31,271.5,267.71,264.17,260.72,257.49,254.34,251.26,248.37,245.23,242.1,239.4,236.92,234.0,230.98,228.39,225.71,222.78,220.14,217.61,214.86,212.38,209.87,207.33,204.78,202.23,200.03,197.74,195.37,192.96,190.51,188.22,185.94,183.84,181.79,179.53,177.35,175.27,173.15,170.98,169.07,167.11,164.95,163.01,160.98,159.0,157.19,155.39,153.58,151.74,149.87,148.11,146.29,144.56,142.92,141.08,139.33,137.68,136.14,134.57,132.83,131.22,129.74,128.13,126.52,125.22,123.95,122.26,120.46,119.13,117.97,116.56,115.04,113.69,112.37,110.78,109.35,108.22
1,246.69,236.22,211.92,208.07,194.43,196.31,184.55,189.65,185.57,175.57,155.84,163.62,140.14,135.05,145.16,132.75,132.14,137.12,126.21,118.01,121.37,120.91,121.88,107.0,107.47,90.73,102.19,79.17,88.13,83.0,90.4,73.39,85.31,76.63,67.31,68.91,72.6,69.48,69.45,67.56,54.36,55.9,53.35,46.01,51.22,51.53,50.94,51.97,43.51,41.08,47.03,39.01,42.82,39.6,39.75,40.73,36.92,31.65,32.15,35.4,32.43,32.28,34.64,29.49,27.55,24.31,25.33,36.3,35.96,34.87,33.95,33.15,32.39,31.87,31.28,30.61,30.06,29.56,29.21,28.68,28.11,27.89,27.53,27.07,26.42,25.83,25.45,24.99,24.86,24.81,24.37,23.81,23.65,23.74,23.46,22.93,22.44,22.17,21.98,21.69,21.67,21.44,20.82,20.62,20.66,20.55,20.37,20.13,19.82,19.18,18.64,18.61,18.56,18.5,18.17,17.78,17.65,17.46,17.02,16.67,16.57,16.48,16.43,16.44,16.42,16.2,16.08,16.17,15.58,15.0,14.63,14.27,14.17,14.06,14.21,14.07,13.92,13.97,13.98,13.52,13.02,12.96,12.86,12.75,12.92,13.05,12.63,12.25,12.12,11.9,11.68,11.83,12.03,11.62,10.92,10.55,10.47,10.36,10.24,10.22,10.16,10.25,10.4
2,137.32,120.12,112.79,109.11,115.87,107.26,111.9,105.96,110.46,94.61,93.67,84.77,83.68,94.8,87.32,90.05,93.24,84.46,79.83,79.64,79.95,72.25,67.55,64.95,65.4,56.21,56.94,57.45,53.75,47.56,46.24,45.19,50.89,43.08,45.17,43.91,47.03,44.25,38.66,34.18,39.43,31.36,29.64,31.23,30.71,32.35,31.62,27.96,25.45,27.77,25.45,23.11,25.69,23.58,28.24,18.47,18.72,19.17,20.2,18.21,17.8,17.08,16.2,15.71,14.29,11.8,16.92,16.77,16.51,16.11,15.64,15.25,14.89,14.56,14.24,13.98,13.71,13.38,13.1,12.87,12.76,12.57,12.37,12.23,12.08,11.98,11.87,11.7,11.47,11.32,11.18,11.0,10.9,10.82,10.7,10.59,10.42,10.27,10.19,10.12,10.04,9.9,9.69,9.6,9.44,9.27,9.22,9.09,8.96,8.89,8.81,8.73,8.64,8.48,8.38,8.29,8.13,8.03,8.0,7.9,7.81,7.79,7.7,7.56,7.49,7.42,7.35,7.29,7.24,7.12,6.88,6.71,6.59,6.54,6.43,6.31,6.32,6.26,6.2,6.14,6.08,5.95,5.82,5.75,5.68,5.66,5.59,5.52,5.5,5.43,5.3,5.22,5.21,5.2,5.13,5.07,5.06,5.0,4.87,4.81,4.81,4.75,4.69
3,82.24,82.93,76.82,83.53,79.26,81.9,76.09,71.37,68.33,72.43,62.05,74.05,72.09,68.63,76.62,63.96,64.98,59.14,66.42,66.42,65.71,59.53,53.87,48.6,50.76,43.23,39.5,40.65,39.75,36.88,41.89,40.19,37.91,31.56,35.62,36.49,32.5,33.29,26.7,27.34,21.95,25.09,21.9,21.11,22.43,22.61,18.51,17.02,16.16,21.92,20.36,19.27,15.14,19.38,16.28,11.06,15.6,11.43,10.42,11.01,13.38,12.48,12.23,11.46,10.51,9.49,9.28,8.98,8.72,8.39,8.15,7.92,7.68,7.56,7.43,7.3,7.17,7.04,6.97,6.89,6.73,6.64,6.54,6.44,6.39,6.34,6.22,6.1,6.05,6.0,5.96,5.93,5.84,5.65,5.52,5.53,5.54,5.5,5.4,5.36,5.32,5.16,5.06,5.02,4.97,4.98,4.92,4.8,4.74,4.73,4.72,4.71,4.64,4.56,4.42,4.27,4.26,4.24,4.22,4.2,4.19,4.17,4.04,3.91,3.9,3.84,3.77,3.77,3.71,3.66,3.54,3.42,3.43,3.37,3.31,3.32,3.32,3.26,3.2,3.2,3.08,2.95,2.95,2.95,2.94,2.93,2.87,2.8,2.73,2.67,2.66,2.65,2.65,2.64,2.64,2.64,2.63,2.51,2.39,2.39,2.39,2.39,2.39
4,69.86,65.89,66.96,65.85,66.01,67.46,63.27,59.98,67.55,58.62,60.32,63.89,54.81,58.42,61.51,53.36,52.58,50.43,54.8,45.29,46.0,44.03,46.86,40.87,40.77,43.05,39.24,31.26,33.17,25.03,30.73,27.48,28.88,26.12,26.89,26.05,21.89,25.49,23.15,21.5,15.45,21.8,20.1,18.52,17.87,16.94,16.64,18.3,16.34,13.01,11.58,12.83,14.53,12.46,9.22,10.23,10.2,11.38,10.86,7.3,11.63,7.95,11.2,10.65,8.54,8.26,7.98,7.7,7.42,7.28,7.11,6.95,6.84,6.65,6.52,6.39,6.26,6.26,6.12,5.98,5.96,5.88,5.71,5.62,5.58,5.53,5.48,5.37,5.26,5.22,5.18,5.1,4.95,4.82,4.76,4.76,4.78,4.73,4.63,4.59,4.55,4.5,4.46,4.42,4.43,4.38,4.32,4.26,4.2,4.13,4.06,3.99,3.92,3.84,3.7,3.62,3.61,3.59,3.58,3.57,3.55,3.42,3.29,3.28,3.21,3.09,3.03,3.03,3.03,2.97,2.91,2.91,2.86,2.8,2.81,2.81,2.75,2.69,2.69,2.69,2.63,2.57,2.57,2.56,2.56,2.49,2.43,2.42,2.42,2.41,2.4,2.34,2.27,2.27,2.27,2.26,2.2,2.14,2.14,2.14,2.14,2.14,2.14
5,60.55,65.34,64.51,64.16,66.32,55.12,52.28,54.62,56.25,57.26,55.7,52.84,53.64,53.9,44.4,51.78,46.63,50.38,46.2,43.86,42.57,39.26,39.01,36.09,36.11,30.88,26.93,29.81,26.18,25.5,25.52,25.01,23.98,26.91,23.45,23.41,21.9,17.41,13.72,17.68,16.41,16.54,15.97,14.34,12.81,13.17,12.81,14.13,9.91,11.28,12.41,11.63,14.24,11.35,10.3,11.51,11.17,8.86,9.56,7.49,10.62,9.54,7.81,8.22,7.95,7.8,7.5,7.21,7.06,6.85,6.74,6.58,6.41,6.28,6.15,6.09,6.03,5.9,5.76,5.69,5.67,5.58,5.49,5.39,5.23,5.12,5.01,4.9,4.86,4.82,4.79,4.76,4.69,4.62,4.62,4.56,4.51,4.46,4.42,4.38,4.34,4.29,4.25,4.27,4.16,4.04,3.99,3.92,3.86,3.79,3.73,3.65,3.64,3.57,3.49,3.48,3.47,3.45,3.38,3.3,3.17,3.04,3.03,3.02,2.96,2.89,2.89,2.89,2.89,2.83,2.78,2.72,2.66,2.67,2.67,2.67,2.68,2.62,2.56,2.5,2.44,2.43,2.43,2.43,2.42,2.42,2.41,2.35,2.28,2.28,2.21,2.15,2.14,2.14,2.14,2.13,2.13,2.13,2.13,2.07,1.95,1.89,1.87
6,61.92,57.55,56.86,61.19,53.76,50.24,53.54,45.58,52.49,45.75,45.99,48.57,42.39,49.28,44.82,48.99,46.34,40.51,35.92,38.27,38.24,35.81,35.81,30.38,32.53,26.27,29.38,25.92,20.01,20.35,23.62,22.83,21.22,24.43,20.25,18.48,17.0,16.9,17.26,13.1,14.91,14.53,13.64,17.25,13.62,11.49,14.07,11.35,14.27,10.12,11.21,12.18,10.52,10.79,9.75,9.38,7.33,11.27,8.78,7.21,7.28,9.49,7.83,7.58,7.37,7.16,6.92,6.74,6.64,6.5,6.32,6.22,6.11,5.99,5.93,5.8,5.67,5.61,5.41,5.26,5.25,5.23,5.14,4.98,4.82,4.72,4.67,4.63,4.59,4.56,4.53,4.5,4.49,4.48,4.41,4.36,4.31,4.26,4.22,4.11,4.01,3.97,3.99,3.88,3.76,3.71,3.65,3.66,3.66,3.59,3.52,3.51,3.44,3.31,3.23,3.22,3.21,3.13,3.06,2.98,2.91,2.9,2.9,2.89,2.82,2.76,2.76,2.76,2.7,2.64,2.64,2.65,2.59,2.54,2.54,2.54,2.48,2.43,2.43,2.43,2.43,2.36,2.3,2.3,2.29,2.29,2.22,2.16,2.15,2.15,2.14,2.14,2.14,2.07,1.95,1.89,1.89,1.89,1.83,1.71,1.65,1.63,1.61
7,50.47,49.99,53.74,49.06,48.1,50.75,44.85,47.08,37.6,41.84,42.56,45.28,43.47,42.7,42.58,37.72,37.14,36.33,34.05,29.51,31.21,32.31,32.16,26.12,24.18,27.47,23.91,27.65,24.96,17.12,24.41,26.06,16.03,20.86,19.45,15.1,16.22,14.11,10.14,12.59,17.63,13.53,12.62,13.37,11.43,10.36,10.04,8.62,9.3,9.5,10.87,7.52,7.39,8.3,7.28,11.16,8.55,9.5,7.52,7.9,7.72,7.18,7.03,6.78,6.63,6.47,6.34,6.28,6.17,6.02,5.91,5.74,5.57,5.44,5.31,5.25,5.19,4.99,4.86,4.85,4.84,4.75,4.66,4.57,4.48,4.44,4.41,4.37,4.33,4.29,4.26,4.24,4.23,4.16,4.04,3.92,3.87,3.88,3.84,3.73,3.63,3.58,3.6,3.61,3.56,3.38,3.26,3.27,3.27,3.26,3.26,3.19,3.05,2.92,2.85,2.84,2.82,2.81,2.8,2.79,2.78,2.77,2.76,2.7,2.63,2.57,2.51,2.51,2.51,2.51,2.51,2.46,2.4,2.41,2.35,2.29,2.29,2.3,2.3,2.3,2.24,2.17,2.17,2.11,2.04,1.98,1.92,1.91,1.91,1.9,1.9,1.9,1.83,1.71,1.65,1.65,1.65,1.64,1.64,1.58,1.56,1.55,1.53
8,46.52,49.98,41.39,37.56,46.49,40.28,43.9,45.18,44.17,34.6,36.29,31.69,40.35,38.38,35.18,29.36,31.84,29.31,31.06,28.17,33.86,29.05,24.92,26.72,23.92,24.53,20.23,19.87,20.5,25.67,19.29,19.53,20.35,15.7,17.32,18.99,16.2,11.83,17.73,13.58,12.14,11.78,11.34,9.65,10.32,12.41,8.95,12.35,12.51,11.96,10.53,10.96,9.65,10.75,7.52,6.71,7.25,5.82,7.97,7.39,6.58,6.46,6.3,6.16,6.01,5.91,5.77,5.63,5.5,5.42,5.24,5.07,4.96,4.83,4.84,4.71,4.58,4.58,4.58,4.57,4.36,4.15,4.13,4.11,4.08,4.05,4.01,3.98,3.94,3.91,3.89,3.86,3.79,3.66,3.54,3.49,3.49,3.5,3.52,3.41,3.25,3.2,3.21,3.23,3.11,2.99,2.94,2.88,2.88,2.87,2.87,2.86,2.79,2.72,2.71,2.7,2.63,2.56,2.55,2.54,2.53,2.52,2.52,2.51,2.45,2.38,2.38,2.38,2.32,2.26,2.27,2.27,2.27,2.16,2.04,2.04,2.05,2.05,1.99,1.93,1.93,1.93,1.86,1.8,1.74,1.67,1.67,1.67,1.66,1.66,1.66,1.65,1.59,1.53,1.53,1.52,1.52,1.52,1.46,1.44,1.43,1.41,1.39
9,45.61,45.84,38.65,43.9,41.09,42.01,40.84,38.73,44.13,33.45,35.33,39.86,35.08,33.63,27.68,30.62,29.62,28.06,33.05,31.75,25.95,23.44,23.22,25.12,22.21,19.23,16.87,17.48,20.49,18.44,17.67,20.57,15.75,17.32,15.2,17.16,16.18,13.84,13.16,12.3,13.12,8.78,13.63,11.68,11.33,9.47,14.17,10.95,10.29,8.02,11.34,10.65,8.77,7.69,10.42,7.96,7.21,8.2,4.09,6.28,6.15,6.03,5.93,5.72,5.51,5.35,5.21,5.11,5.04,4.95,4.9,4.79,4.68,4.68,4.56,4.43,4.43,4.43,4.3,4.03,3.89,3.88,3.86,3.84,3.81,3.78,3.75,3.71,3.68,3.65,3.63,3.61,3.54,3.41,3.35,3.35,3.36,3.31,3.14,2.98,2.93,2.94,2.95,2.97,2.91,2.8,2.74,2.74,2.74,2.74,2.74,2.73,2.72,2.65,2.58,2.51,2.44,2.43,2.42,2.41,2.4,2.39,2.39,2.38,2.38,2.32,2.2,2.08,2.02,2.02,2.02,2.02,1.97,1.91,1.91,1.92,1.86,1.74,1.68,1.68,1.68,1.68,1.68,1.67,1.67,1.67,1.66,1.66,1.66,1.59,1.53,1.47,1.41,1.41,1.4,1.4,1.4,1.4,1.38,1.37,1.35,1.33,1.32
10,33.9,36.47,43.22,34.67,39.0,34.79,44.88,33.31,35.64,38.27,37.69,31.47,26.85,29.93,32.11,28.71,25.28,31.97,25.23,23.03,24.25,23.03,20.97,25.39,23.57,19.49,16.25,21.33,20.75,18.95,18.18,17.08,17.14,12.7,19.61,12.46,16.93,14.34,13.14,13.79,15.34,10.01,9.22,11.89,11.53,12.04,7.05,11.7,7.8,8.8,8.75,9.45,7.89,10.93,10.1,7.41,5.94,9.37,6.39,6.25,6.12,6.01,5.78,5.58,5.43,5.27,5.18,5.08,5.01,4.93,4.81,4.77,4.72,4.6,4.54,4.54,4.48,4.28,4.09,4.02,4.01,3.99,3.91,3.82,3.8,3.77,3.73,3.7,3.67,3.64,3.62,3.54,3.46,3.46,3.46,3.4,3.29,3.18,3.13,3.08,3.04,2.99,2.94,2.89,2.84,2.85,2.85,2.79,2.73,2.73,2.73,2.72,2.65,2.58,2.57,2.56,2.55,2.54,2.47,2.4,2.39,2.38,2.38,2.37,2.31,2.19,2.07,2.01,2.01,1.95,1.9,1.9,1.9,1.9,1.91,1.85,1.79,1.79,1.79,1.73,1.67,1.67,1.67,1.67,1.67,1.66,1.66,1.66,1.59,1.53,1.53,1.52,1.52,1.46,1.4,1.4,1.4,1.38,1.36,1.35,1.33,1.31,1.3
11,40.03,33.7,36.38,36.21,39.22,33.7,38.22,32.57,33.54,33.12,35.1,35.47,31.43,30.3,26.4,25.95,29.69,28.29,27.3,26.18,26.61,26.87,25.26,29.92,21.27,20.33,22.86,20.99,21.0,17.85,17.38,19.8,17.94,14.83,16.94,15.82,17.16,14.31,11.86,13.76,16.04,12.48,9.7,13.87,13.84,11.97,9.09,10.31,9.63,8.21,11.51,6.56,10.09,11.41,8.46,7.62,9.6,6.91,6.72,6.58,6.45,6.27,6.11,5.91,5.76,5.67,5.52,5.37,5.18,5.1,5.05,4.95,4.9,4.84,4.78,4.72,4.65,4.53,4.39,4.39,4.38,4.29,4.15,4.06,4.03,4.0,3.91,3.81,3.78,3.75,3.72,3.7,3.69,3.68,3.62,3.57,3.51,3.47,3.42,3.37,3.33,3.22,3.18,3.13,3.08,3.08,3.03,2.91,2.84,2.84,2.84,2.83,2.82,2.82,2.81,2.79,2.72,2.59,2.52,2.51,2.5,2.49,2.49,2.48,2.48,2.42,2.36,2.3,2.18,2.12,2.12,2.13,2.13,2.13,2.14,2.14,2.08,1.96,1.85,1.79,1.79,1.78,1.78,1.78,1.78,1.77,1.77,1.71,1.65,1.64,1.64,1.63,1.57,1.51,1.51,1.51,1.49,1.47,1.45,1.44,1.42,1.4,1.39
12,37.96,40.37,41.56,41.05,38.06,38.31,35.7,35.36,31.61,32.22,31.58,31.16,34.73,31.1,25.34,26.1,24.89,25.2,26.86,25.15,27.61,27.13,24.48,20.18,22.93,22.06,22.54,18.61,18.21,22.39,20.59,24.14,19.84,19.37,19.52,16.07,17.9,16.05,19.16,11.76,15.51,15.22,16.8,11.78,13.52,9.85,10.07,11.04,10.64,11.18,10.91,10.5,8.36,9.72,10.25,9.85,8.09,7.84,7.57,7.25,7.05,6.87,6.66,6.53,6.39,6.23,6.04,5.9,5.85,5.71,5.6,5.56,5.46,5.4,5.34,5.28,5.21,5.09,4.96,4.88,4.87,4.79,4.7,4.67,4.64,4.55,4.45,4.41,4.31,4.21,4.19,4.17,4.15,4.14,4.14,4.08,3.97,3.87,3.82,3.84,3.74,3.63,3.59,3.54,3.55,3.5,3.38,3.33,3.33,3.32,3.32,3.25,3.18,3.11,3.04,2.97,2.89,2.88,2.87,2.86,2.85,2.84,2.77,2.71,2.7,2.7,2.64,2.58,2.58,2.58,2.53,2.47,2.48,2.48,2.48,2.43,2.31,2.25,2.19,2.14,2.13,2.13,2.13,2.13,2.13,2.12,2.06,1.99,1.93,1.87,1.87,1.86,1.86,1.85,1.79,1.77,1.75,1.73,1.71,1.69,1.67,1.65,1.63
13,42.1,47.58,43.79,44.88,36.67,44.1,35.86,41.94,36.71,34.43,37.43,37.56,34.48,32.68,28.92,29.15,27.07,32.08,29.36,28.84,25.42,30.44,24.69,33.88,33.27,22.05,27.0,27.71,21.8,24.0,21.12,21.97,22.0,19.87,20.77,16.82,16.09,20.29,20.97,18.75,14.04,17.7,19.33,16.32,11.65,13.64,9.76,8.63,10.07,13.57,10.85,10.72,8.58,12.35,12.02,9.84,9.51,9.17,8.72,8.45,8.23,7.97,7.77,7.55,7.35,7.2,7.02,6.86,6.77,6.64,6.53,6.43,6.39,6.27,6.15,6.09,5.96,5.83,5.77,5.69,5.62,5.59,5.57,5.54,5.5,5.46,5.41,5.3,5.2,5.16,5.06,4.98,4.96,4.95,4.95,4.89,4.67,4.5,4.52,4.42,4.32,4.34,4.36,4.32,4.21,4.16,4.17,4.11,3.99,3.92,3.86,3.79,3.71,3.64,3.57,3.5,3.48,3.47,3.45,3.44,3.43,3.36,3.29,3.23,3.16,3.1,3.04,3.04,3.04,2.98,2.87,2.81,2.82,2.82,2.83,2.83,2.77,2.66,2.6,2.6,2.6,2.6,2.59,2.59,2.53,2.47,2.46,2.4,2.33,2.33,2.32,2.32,2.31,2.25,2.22,2.2,2.17,2.14,2.12,2.09,2.07,2.04,2.02
14,44.97,50.43,51.83,52.7,45.99,39.03,47.98,44.99,45.71,35.98,41.98,39.21,35.67,34.66,40.54,38.3,35.4,36.93,35.81,36.13,37.03,30.41,34.76,31.45,28.22,30.68,32.63,25.37,27.61,29.85,25.65,27.91,24.44,25.47,23.05,19.65,24.21,23.16,21.24,20.02,18.95,19.45,20.54,14.22,14.42,12.79,12.76,13.02,12.93,13.22,9.67,14.56,11.0,14.4,12.2,11.8,11.35,10.91,10.56,10.27,9.96,9.69,9.45,9.14,8.83,8.57,8.36,8.22,8.05,7.86,7.76,7.67,7.51,7.39,7.33,7.21,7.08,7.02,6.89,6.75,6.73,6.71,6.61,6.51,6.47,6.42,6.37,6.31,6.26,6.15,6.05,6.02,5.94,5.87,5.87,5.75,5.59,5.55,5.51,5.42,5.38,5.41,5.31,5.21,5.23,5.18,5.06,4.95,4.88,4.82,4.75,4.68,4.61,4.53,4.46,4.44,4.36,4.29,4.27,4.25,4.24,4.23,4.16,4.03,3.91,3.84,3.84,3.84,3.84,3.73,3.56,3.5,3.51,3.51,3.46,3.35,3.29,3.29,3.24,3.12,3.06,3.06,3.05,2.99,2.93,2.92,2.92,2.85,2.79,2.78,2.78,2.77,2.76,2.73,2.7,2.67,2.63,2.6,2.57,2.54,2.51,2.48,2.45
