,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1402.18,1129.87,1086.57,971.66,1190.87,1130.36,1097.67,905.12,868.5,817.73,762.04,623.38,646.71,677.88,676.94,607.12,659.6,606.04,716.18,590.94,612.05,508.15,466.61,545.27,500.24,447.7,649.64,474.52,514.48,435.46,466.66,481.15,343.55,451.54,458.27,362.71,406.3,392.52,366.09,358.53,350.21,342.29,334.77,327.6,320.79,314.3,308.13,302.25,296.65,291.33,286.26,281.43,276.83,272.44,268.27,264.29,260.5,256.88,253.43,250.13,246.97,243.93,240.99,238.11,235.25,232.43,229.65,226.89,224.17,221.49,218.83,216.21,213.62,211.06,208.53,206.03,203.56,201.12,198.71,196.32,193.97,191.65,189.35,187.08,184.84,182.62,180.43,178.27
1,120.58,67.15,55.47,83.11,48.28,57.74,62.06,65.92,71.52,72.24,66.42,67.74,32.01,49.19,62.03,33.86,50.03,46.08,53.47,54.53,49.03,50.41,43.37,30.49,29.83,28.89,22.67,38.55,11.01,21.79,37.6,43.76,22.48,40.07,40.44,23.28,23.86,40.02,39.22,38.34,37.5,36.7,35.94,35.21,34.52,33.86,33.23,32.63,32.05,31.51,30.99,30.49,30.01,29.56,29.13,28.71,28.32,27.94,27.58,27.23,26.89,26.57,26.25,25.94,25.63,25.32,25.01,24.71,24.42,24.12,23.83,23.55,23.27,22.99,22.71,22.44,22.17,21.9,21.64,21.38,21.12,20.87,20.62,20.37,20.13,19.89,19.65,19.41
2,32.91,55.97,49.65,66.06,53.26,41.53,35.92,55.65,56.68,30.98,45.9,41.56,21.36,32.75,39.3,5.6,33.16,28.6,17.62,36.02,18.17,6.23,30.9,24.38,17.75,5.75,16.95,5.47,21.86,27.15,21.37,16.3,11.16,28.28,11.43,5.74,12.04,11.77,11.48,11.2,10.94,10.69,10.45,10.23,10.02,9.82,9.63,9.45,9.27,9.11,8.96,8.81,8.67,8.54,8.41,8.29,8.18,8.07,7.97,7.87,7.78,7.68,7.59,7.5,7.41,7.32,7.23,7.15,7.06,6.98,6.89,6.81,6.73,6.65,6.57,6.49,6.41,6.33,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75,5.68,5.61
3,43.83,39.11,71.36,32.88,26.43,51.65,35.9,30.13,41.14,46.33,25.42,25.93,42.59,21.75,27.91,27.7,16.49,17.02,11.67,11.86,23.98,43.47,24.67,18.15,17.67,5.73,5.62,10.88,10.89,5.4,5.31,5.41,11.07,5.61,22.6,8.8,8.57,8.33,8.1,7.88,7.68,7.49,7.31,7.14,6.98,6.83,6.69,6.55,6.43,6.31,6.2,6.09,6.0,5.9,5.82,5.73,5.66,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.54,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.88
4,32.83,22.25,27.34,27.21,26.32,36.11,10.17,30.13,15.33,25.61,10.13,20.62,42.3,10.8,33.23,27.44,16.42,11.27,11.53,0.0,0.0,6.18,18.39,12.05,0.0,5.71,5.57,5.42,0.0,0.0,5.29,10.74,16.47,11.1,8.64,8.38,8.12,7.87,7.64,7.42,7.22,7.03,6.85,6.68,6.53,6.38,6.24,6.12,6.0,5.88,5.78,5.68,5.59,5.5,5.42,5.35,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.56,4.51,4.46,4.4,4.35,4.3,4.25,4.19,4.14,4.09,4.05,4.0,3.95,3.9,3.85,3.81,3.76,3.72,3.67,3.63
5,5.48,16.7,32.69,21.68,31.42,20.36,20.29,39.99,25.41,20.41,10.08,5.13,5.25,26.86,16.48,5.44,10.86,0.0,11.42,11.73,23.76,6.14,0.0,6.01,23.49,17.02,5.55,16.19,0.0,10.68,15.77,0.0,10.88,8.41,8.15,7.88,7.63,7.4,7.18,6.97,6.78,6.6,6.43,6.28,6.13,6.0,5.87,5.75,5.64,5.54,5.44,5.35,5.27,5.19,5.12,5.05,4.99,4.93,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.47,4.42,4.37,4.32,4.26,4.21,4.16,4.11,4.06,4.01,3.97,3.92,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.56,3.51,3.47,3.43
6,10.89,16.52,43.14,26.87,10.3,35.63,20.24,24.96,20.23,10.14,20.02,10.18,10.46,16.02,10.91,16.19,21.53,16.6,0.0,11.66,5.91,18.33,6.1,18.03,5.87,5.65,5.54,5.38,0.0,10.63,20.91,26.42,8.11,7.86,7.6,7.35,7.13,6.92,6.72,6.54,6.37,6.2,6.05,5.91,5.78,5.66,5.55,5.44,5.34,5.25,5.16,5.08,5.01,4.94,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.48,4.42,4.37,4.32,4.26,4.21,4.16,4.11,4.06,4.01,3.97,3.92,3.87,3.83,3.78,3.73,3.69,3.64,3.6,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.27
7,21.47,21.75,16.02,21.28,15.39,15.24,10.08,19.91,5.02,20.15,24.84,5.08,10.41,0.0,5.42,10.71,10.67,16.51,11.29,5.8,5.88,0.0,0.0,6.01,5.84,28.15,5.52,10.71,5.35,5.28,5.19,7.38,7.16,6.93,6.72,6.52,6.33,6.16,5.99,5.84,5.69,5.56,5.43,5.32,5.21,5.1,5.01,4.92,4.83,4.76,4.68,4.61,4.55,4.49,4.43,4.38,4.33,4.28,4.23,4.17,4.12,4.08,4.03,3.98,3.93,3.88,3.84,3.79,3.74,3.7,3.66,3.61,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.09,3.05,3.01,2.98
8,15.95,10.79,21.35,15.95,10.23,15.22,20.15,9.96,20.01,15.05,4.96,0.0,0.0,5.27,0.0,15.95,5.31,16.43,11.22,11.55,0.0,24.3,12.19,5.99,29.14,5.61,10.98,10.66,5.32,15.78,6.59,6.4,6.21,6.02,5.85,5.69,5.54,5.39,5.26,5.14,5.02,4.91,4.81,4.71,4.62,4.53,4.45,4.38,4.31,4.24,4.18,4.13,4.07,4.02,3.97,3.92,3.88,3.83,3.78,3.74,3.69,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.35,3.31,3.27,3.24,3.2,3.16,3.12,3.08,3.05,3.01,2.97,2.94,2.9,2.87,2.83,2.8,2.77,2.73,2.7,2.67
9,10.57,31.98,32.06,10.61,10.22,10.17,10.07,9.95,9.97,5.0,24.67,0.0,5.16,0.0,21.31,0.0,0.0,10.9,27.99,22.99,17.56,6.06,6.07,5.99,11.63,11.18,5.46,0.0,5.28,6.12,5.95,5.78,5.61,5.45,5.31,5.17,5.04,4.92,4.8,4.7,4.6,4.5,4.41,4.33,4.25,4.18,4.11,4.04,3.98,3.93,3.87,3.82,3.77,3.73,3.68,3.64,3.6,3.55,3.51,3.47,3.43,3.39,3.34,3.3,3.27,3.23,3.19,3.15,3.11,3.07,3.04,3.0,2.96,2.93,2.89,2.86,2.82,2.79,2.76,2.72,2.69,2.66,2.63,2.6,2.56,2.53,2.5,2.47
