,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205
0,1256.05,1223.84,1130.24,1070.39,1041.11,1091.54,1040.54,1020.36,961.92,890.9,829.32,737.63,703.21,684.72,681.01,687.66,648.63,629.31,642.88,613.5,593.46,603.24,574.08,555.73,568.07,543.68,529.76,529.07,541.27,532.59,530.1,527.22,524.27,521.16,517.97,514.68,511.21,507.42,503.65,499.87,495.82,491.8,487.67,483.45,479.16,474.86,470.51,465.89,461.52,457.29,452.82,448.19,443.64,439.16,434.84,430.65,426.25,421.94,417.84,413.76,409.63,405.47,401.3,397.26,393.33,389.33,385.51,381.71,377.91,374.22,370.47,366.79,363.15,359.69,356.1,352.23,348.62,345.24,341.81,338.45,335.3,331.93,328.49,325.12,321.81,318.86,315.74,312.45,309.29,306.15,303.16,300.22,297.19,294.23,291.34,288.38,285.37,282.55,279.92,277.09,274.17,271.43,268.83,266.13,263.45,260.89,258.21,255.65,253.2,250.62,248.14,245.66,243.16,240.77,238.25,235.84,233.56,231.4,229.0,226.6,224.46,222.21,219.98,217.77,215.46,213.29,211.27,209.16,207.07,205.0,202.96,200.93,198.92,196.93,194.97,193.02,191.09,189.18,187.29,185.42,183.57,181.74,179.92,178.12,176.34,174.58,172.84,171.11,169.4,167.71,166.03,164.38,162.73,161.11,159.5,157.91,156.33,154.77,153.22,151.69,150.17,148.67,147.19,145.72,144.26,142.82,141.4,139.98,138.58,137.2,135.83,134.47,133.13,131.8,130.48,129.18,127.89,126.61,125.35,124.09,122.85,121.63,120.41,119.21,118.02,116.84,115.67,114.52,113.37,112.24,111.12,110.01,108.91,107.82,106.75,105.68,104.62,103.58,102.54,101.52,100.51,99.5,98.51,97.52,96.55,95.58,94.63,93.68,92.75,91.82,90.9,90.0,89.1,88.21,87.33,86.45,85.59,84.74,83.89,83.05,82.22,81.4,80.59,79.78,78.98
1,81.82,91.38,72.82,84.94,77.35,68.8,69.11,72.67,70.17,70.86,67.83,54.93,56.5,52.47,45.12,52.42,52.19,50.47,52.34,44.13,41.59,46.99,39.19,43.04,39.74,40.53,40.13,35.9,36.37,34.73,33.69,33.05,32.33,31.83,31.22,30.75,30.25,29.8,29.34,28.91,28.31,27.67,27.24,26.94,26.99,26.57,25.91,25.81,25.6,25.27,25.17,24.72,24.34,24.26,24.21,23.97,23.67,23.53,23.31,23.1,22.72,22.19,21.99,21.86,21.54,21.57,21.39,21.02,20.95,20.89,20.65,20.19,19.97,19.71,19.51,19.39,19.2,19.16,18.89,18.58,18.18,18.06,18.17,18.0,18.01,17.9,17.59,17.31,17.22,16.89,16.51,16.59,16.48,16.15,15.82,15.75,15.73,15.67,15.58,15.57,15.38,14.72,14.47,14.48,14.49,14.47,14.26,14.02,13.75,13.73,13.67,13.61,13.55,13.23,13.17,12.85,12.5,12.53,12.43,12.32,12.35,12.42,12.27,12.13,12.02,11.87,11.69,11.58,11.46,11.35,11.23,11.12,11.01,10.9,10.79,10.68,10.58,10.47,10.37,10.26,10.16,10.06,9.96,9.86,9.76,9.66,9.56,9.47,9.37,9.28,9.19,9.1,9.0,8.91,8.83,8.74,8.65,8.56,8.48,8.39,8.31,8.23,8.14,8.06,7.98,7.9,7.82,7.74,7.67,7.59,7.51,7.44,7.37,7.29,7.22,7.15,7.08,7.0,6.93,6.86,6.8,6.73,6.66,6.59,6.53,6.46,6.4,6.33,6.27,6.21,6.15,6.08,6.02,5.96,5.9,5.85,5.79,5.73,5.67,5.61,5.56,5.5,5.45,5.39,5.34,5.29,5.23,5.18,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.78,4.73,4.69,4.64,4.59,4.55,4.5,4.46,4.41,4.37
2,52.7,46.64,47.47,44.94,50.59,44.47,45.53,43.67,45.85,44.01,38.19,33.81,37.69,30.88,29.57,31.74,30.66,32.35,32.15,28.08,25.46,27.36,25.59,23.38,26.25,22.05,28.12,18.97,24.39,23.4,22.7,22.12,21.54,20.97,20.49,20.09,19.66,19.21,18.89,18.55,18.16,17.87,17.6,17.35,17.18,17.01,16.79,16.57,16.34,16.05,15.82,15.7,15.51,15.37,15.34,15.22,15.03,14.89,14.74,14.58,14.49,14.4,14.19,14.0,13.93,13.82,13.71,13.61,13.46,13.31,13.17,13.03,12.9,12.82,12.69,12.51,12.44,12.31,12.12,11.99,11.86,11.79,11.65,11.52,11.38,11.17,11.09,11.0,10.85,10.7,10.55,10.46,10.37,10.22,10.14,10.05,9.97,9.94,9.81,9.67,9.65,9.58,9.45,9.33,9.26,9.24,9.12,9.0,8.93,8.86,8.8,8.67,8.6,8.59,8.52,8.39,8.32,8.25,8.18,8.16,7.98,7.8,7.78,7.71,7.59,7.47,7.4,7.33,7.25,7.18,7.11,7.04,6.97,6.9,6.83,6.76,6.69,6.62,6.56,6.49,6.43,6.36,6.3,6.24,6.17,6.11,6.05,5.99,5.93,5.87,5.81,5.76,5.7,5.64,5.58,5.53,5.47,5.42,5.36,5.31,5.26,5.21,5.15,5.1,5.05,5.0,4.95,4.9,4.85,4.8,4.76,4.71,4.66,4.61,4.57,4.52,4.48,4.43,4.39,4.34,4.3,4.26,4.21,4.17,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.77,3.74,3.7,3.66,3.62,3.59,3.55,3.52,3.48,3.45,3.41,3.38,3.34,3.31,3.28,3.25,3.21,3.18,3.15,3.12,3.09,3.06,3.03,2.99,2.96,2.94,2.91,2.88,2.85,2.82,2.79,2.76
3,37.98,39.29,36.65,42.39,38.32,37.39,29.96,35.6,35.7,32.9,33.17,26.6,27.78,22.45,24.9,22.63,21.55,23.2,21.72,17.76,17.32,15.64,21.97,20.07,19.12,14.76,19.45,16.58,17.27,16.45,15.84,15.4,15.04,14.64,14.32,14.04,13.67,13.28,13.0,12.72,12.4,12.23,12.08,11.88,11.75,11.64,11.46,11.36,11.25,11.08,10.97,10.86,10.74,10.68,10.6,10.52,10.42,10.31,10.13,9.88,9.76,9.7,9.58,9.46,9.41,9.37,9.27,9.12,9.03,9.01,8.99,8.86,8.72,8.71,8.64,8.52,8.45,8.39,8.26,8.14,8.01,7.94,7.93,7.92,7.79,7.6,7.52,7.51,7.43,7.29,7.21,7.19,7.16,7.08,7.0,6.92,6.85,6.83,6.76,6.68,6.67,6.6,6.48,6.41,6.34,6.28,6.16,6.04,6.03,6.03,5.96,5.9,5.83,5.77,5.76,5.69,5.63,5.62,5.55,5.49,5.42,5.35,5.34,5.33,5.21,5.04,4.98,4.93,4.88,4.83,4.78,4.73,4.69,4.64,4.59,4.55,4.5,4.46,4.41,4.37,4.32,4.28,4.24,4.2,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.76,3.72,3.68,3.64,3.61,3.57,3.54,3.5,3.47,3.43,3.4,3.36,3.33,3.3,3.26,3.23,3.2,3.17,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.84,2.81,2.78,2.75,2.72,2.7,2.67,2.64,2.62,2.59,2.56,2.54,2.51,2.49,2.46,2.44,2.41,2.39,2.37,2.34,2.32,2.3,2.27,2.25,2.23,2.21,2.18,2.16,2.14,2.12,2.1,2.08,2.06,2.03,2.01,1.99,1.97,1.95,1.94,1.92,1.9,1.88,1.86
4,38.31,30.97,33.31,24.89,30.52,27.96,29.7,25.15,26.53,25.66,21.9,24.84,23.18,20.68,15.46,21.77,19.98,18.87,16.55,17.24,17.21,17.88,16.76,12.74,11.85,12.76,14.75,12.3,14.09,13.43,13.0,12.67,12.42,12.11,11.83,11.58,11.37,11.14,10.89,10.75,10.56,10.37,10.27,10.12,9.99,9.92,9.81,9.69,9.58,9.47,9.49,9.32,9.08,9.02,8.89,8.76,8.74,8.71,8.55,8.25,8.08,8.03,7.98,7.93,7.88,7.84,7.74,7.65,7.57,7.48,7.46,7.39,7.32,7.25,7.18,7.11,7.05,6.98,6.92,6.85,6.79,6.78,6.71,6.65,6.58,6.51,6.5,6.42,6.35,6.27,6.2,6.18,6.16,6.14,6.06,5.93,5.85,5.84,5.76,5.69,5.62,5.5,5.43,5.42,5.36,5.29,5.18,5.06,5.05,5.04,5.04,5.03,4.91,4.8,4.79,4.78,4.77,4.76,4.7,4.58,4.52,4.51,4.5,4.49,4.42,4.36,4.3,4.25,4.21,4.17,4.13,4.09,4.05,4.0,3.96,3.92,3.89,3.85,3.81,3.77,3.73,3.7,3.66,3.62,3.59,3.55,3.51,3.48,3.44,3.41,3.38,3.34,3.31,3.28,3.24,3.21,3.18,3.15,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.85,2.82,2.79,2.76,2.73,2.71,2.68,2.65,2.63,2.6,2.57,2.55,2.52,2.5,2.47,2.45,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.24,2.21,2.19,2.17,2.15,2.13,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.87,1.85,1.83,1.81,1.79,1.77,1.76,1.74,1.72,1.7,1.69,1.67,1.65,1.64,1.62,1.6
5,30.88,27.39,28.53,26.05,26.22,25.66,24.55,23.47,26.25,23.23,23.74,21.64,17.78,13.16,17.0,15.95,16.33,15.97,13.75,12.42,13.62,12.76,13.6,9.23,11.57,12.47,12.14,14.16,12.39,11.92,11.65,11.42,11.19,10.95,10.76,10.54,10.35,10.21,10.11,9.99,9.8,9.67,9.62,9.46,9.31,9.3,9.11,8.93,8.88,8.77,8.66,8.48,8.24,8.13,8.07,7.94,7.87,7.85,7.83,7.73,7.63,7.58,7.48,7.37,7.32,7.28,7.24,7.21,7.12,7.03,6.95,6.87,6.86,6.79,6.72,6.65,6.58,6.52,6.45,6.45,6.39,6.32,6.26,6.19,6.18,6.11,6.05,5.97,5.9,5.89,5.87,5.8,5.72,5.7,5.63,5.49,5.42,5.4,5.33,5.2,5.08,5.01,5.0,4.99,4.98,4.92,4.8,4.74,4.73,4.72,4.72,4.71,4.59,4.48,4.47,4.46,4.45,4.45,4.44,4.32,4.2,4.19,4.19,4.18,4.17,4.16,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.77,3.73,3.69,3.65,3.62,3.58,3.55,3.51,3.48,3.44,3.41,3.37,3.34,3.31,3.27,3.24,3.21,3.18,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.79,2.76,2.73,2.7,2.68,2.65,2.62,2.6,2.57,2.55,2.52,2.49,2.47,2.44,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.23,2.21,2.19,2.17,2.15,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.85,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.69,1.67,1.65,1.64,1.62,1.6,1.59,1.57,1.56,1.54,1.52,1.51
6,32.62,26.39,28.04,24.17,19.34,20.02,23.96,21.71,21.17,24.23,19.9,18.08,17.37,16.98,17.61,13.3,15.16,14.77,13.03,17.83,13.54,11.94,14.4,11.04,14.45,10.69,11.86,10.92,11.13,10.67,10.53,10.36,10.09,9.96,9.86,9.66,9.5,9.38,9.3,9.14,9.03,8.97,8.85,8.67,8.58,8.56,8.3,8.05,8.05,8.0,7.83,7.71,7.66,7.55,7.5,7.44,7.37,7.3,7.23,7.2,7.17,7.13,7.03,6.92,6.88,6.84,6.74,6.64,6.61,6.58,6.5,6.42,6.4,6.33,6.26,6.19,6.12,6.12,6.11,6.05,5.93,5.86,5.86,5.85,5.79,5.66,5.59,5.53,5.46,5.44,5.43,5.3,5.17,5.15,5.13,5.06,4.99,4.97,4.96,4.83,4.7,4.69,4.68,4.67,4.66,4.6,4.48,4.41,4.41,4.4,4.4,4.39,4.33,4.21,4.15,4.14,4.14,4.13,4.12,4.06,4.0,3.94,3.87,3.87,3.86,3.85,3.79,3.75,3.71,3.67,3.64,3.6,3.56,3.53,3.49,3.46,3.42,3.39,3.36,3.32,3.29,3.26,3.22,3.19,3.16,3.13,3.1,3.07,3.03,3.0,2.97,2.94,2.92,2.89,2.86,2.83,2.8,2.77,2.74,2.72,2.69,2.66,2.64,2.61,2.58,2.56,2.53,2.51,2.48,2.46,2.43,2.41,2.38,2.36,2.34,2.31,2.29,2.27,2.24,2.22,2.2,2.18,2.16,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.84,1.82,1.8,1.78,1.76,1.75,1.73,1.71,1.69,1.68,1.66,1.64,1.63,1.61,1.6,1.58,1.56,1.55,1.53,1.52,1.5,1.49,1.47,1.46,1.44,1.43,1.41
7,26.29,24.52,27.32,23.93,28.13,25.34,16.39,23.67,25.63,16.07,21.37,19.62,15.39,15.75,13.57,10.23,12.51,17.46,13.47,12.25,13.01,11.59,9.71,10.24,8.79,9.54,9.79,11.55,9.76,9.36,9.17,8.98,8.78,8.7,8.54,8.38,8.24,8.07,7.95,7.81,7.78,7.74,7.56,7.39,7.35,7.32,7.18,7.04,6.98,6.92,6.87,6.82,6.77,6.65,6.6,6.61,6.55,6.42,6.35,6.34,6.32,6.29,6.26,6.22,6.12,6.02,5.92,5.83,5.8,5.77,5.75,5.73,5.71,5.63,5.5,5.38,5.31,5.3,5.3,5.23,5.17,5.11,5.04,5.04,4.97,4.91,4.9,4.84,4.71,4.64,4.63,4.56,4.49,4.48,4.47,4.45,4.44,4.37,4.29,4.23,4.16,4.14,4.13,4.12,4.11,4.11,3.99,3.87,3.86,3.86,3.85,3.85,3.84,3.78,3.72,3.66,3.6,3.54,3.48,3.47,3.47,3.41,3.34,3.34,3.33,3.27,3.21,3.18,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.79,2.76,2.73,2.7,2.68,2.65,2.62,2.6,2.57,2.55,2.52,2.49,2.47,2.44,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.23,2.21,2.19,2.17,2.15,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.85,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.69,1.67,1.65,1.64,1.62,1.6,1.59,1.57,1.56,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.44,1.42,1.41,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.29,1.27,1.26,1.25,1.23,1.22,1.21,1.2
8,24.28,27.18,24.25,24.57,20.1,20.04,19.56,26.37,19.18,19.69,20.54,15.46,17.15,19.15,16.0,12.0,17.84,13.53,11.28,11.67,11.19,9.2,10.47,12.46,9.15,12.77,13.0,12.16,9.01,8.69,8.48,8.32,8.14,8.03,7.84,7.7,7.54,7.26,7.09,6.97,6.9,6.87,6.77,6.6,6.49,6.46,6.43,6.42,6.35,6.22,6.17,6.17,6.12,6.01,5.95,5.96,5.91,5.85,5.78,5.72,5.7,5.69,5.66,5.63,5.54,5.44,5.4,5.37,5.28,5.19,5.17,5.15,5.13,5.11,4.98,4.79,4.72,4.66,4.59,4.59,4.58,4.52,4.46,4.45,4.39,4.33,4.32,4.32,4.25,4.19,4.18,4.11,4.04,4.03,4.02,4.01,3.99,3.92,3.85,3.84,3.83,3.76,3.7,3.69,3.68,3.67,3.61,3.54,3.48,3.42,3.42,3.36,3.3,3.29,3.29,3.23,3.17,3.11,3.05,3.04,2.98,2.92,2.92,2.91,2.91,2.85,2.79,2.76,2.73,2.7,2.68,2.65,2.62,2.6,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.4,2.37,2.35,2.32,2.3,2.28,2.26,2.23,2.21,2.19,2.17,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.59,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.41,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.25,1.23,1.22,1.21,1.2,1.19,1.17,1.16,1.15,1.14,1.13,1.12,1.1,1.09,1.08,1.07,1.06,1.05,1.04
9,23.54,23.29,25.24,22.18,18.47,16.29,16.94,20.98,18.59,18.33,20.49,15.5,16.85,15.22,17.26,16.51,13.56,13.37,12.47,12.55,8.04,13.3,12.16,11.56,8.87,13.87,10.77,10.4,8.89,8.62,8.53,8.39,8.16,7.99,7.74,7.56,7.5,7.27,7.06,6.89,6.76,6.76,6.67,6.51,6.4,6.36,6.32,6.3,6.28,6.15,6.03,6.03,6.04,5.92,5.81,5.82,5.83,5.84,5.71,5.59,5.58,5.57,5.55,5.53,5.5,5.4,5.31,5.27,5.18,5.09,5.06,5.04,5.02,5.0,4.93,4.86,4.73,4.54,4.48,4.47,4.46,4.46,4.46,4.39,4.27,4.21,4.21,4.2,4.2,4.19,4.18,4.06,3.93,3.92,3.91,3.9,3.89,3.87,3.86,3.85,3.84,3.71,3.59,3.58,3.57,3.56,3.55,3.55,3.48,3.37,3.25,3.14,3.08,3.07,3.07,3.06,3.06,3.06,3.05,2.99,2.88,2.82,2.81,2.81,2.8,2.79,2.79,2.76,2.73,2.71,2.68,2.65,2.62,2.6,2.57,2.55,2.52,2.5,2.47,2.45,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.23,2.21,2.19,2.17,2.15,2.13,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.87,1.85,1.83,1.81,1.79,1.77,1.76,1.74,1.72,1.7,1.69,1.67,1.65,1.64,1.62,1.6,1.59,1.57,1.56,1.54,1.53,1.51,1.5,1.48,1.47,1.45,1.44,1.42,1.41,1.39,1.38,1.37,1.35,1.34,1.33,1.31,1.3,1.29,1.27,1.26,1.25,1.24,1.22,1.21,1.2,1.19,1.17,1.16,1.15,1.14,1.13,1.12,1.11,1.09,1.08,1.07,1.06,1.05,1.04
