,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205
0,1467.78,1489.82,1409.77,1151.6,1063.39,1121.35,958.25,967.02,745.37,819.9,835.64,637.91,791.54,654.3,752.65,682.71,551.54,609.46,686.42,543.64,700.6,479.6,662.54,558.07,711.29,585.17,563.01,481.16,617.9,604.61,601.64,598.48,595.14,591.63,587.95,584.11,580.12,575.99,571.72,567.34,562.84,558.23,553.53,548.75,543.89,538.96,533.97,528.94,523.87,518.78,513.68,508.59,503.52,498.5,493.52,488.6,483.72,478.89,474.12,469.38,464.7,460.06,455.47,450.93,446.43,441.97,437.56,433.19,428.87,424.59,420.35,416.15,412.0,407.89,403.82,399.78,395.79,391.84,387.93,384.06,380.22,376.43,372.67,368.95,365.27,361.62,358.01,354.43,350.9,347.39,343.92,340.49,337.09,333.72,330.39,327.09,323.83,320.59,317.39,314.22,311.08,307.98,304.9,301.86,298.84,295.86,292.9,289.98,287.08,284.21,281.38,278.56,275.78,273.03,270.3,267.6,264.93,262.28,259.66,257.07,254.5,251.96,249.44,246.95,244.48,242.04,239.62,237.23,234.86,232.51,230.19,227.89,225.62,223.36,221.13,218.92,216.73,214.57,212.43,210.3,208.2,206.12,204.06,202.03,200.01,198.01,196.03,194.07,192.13,190.22,188.32,186.43,184.57,182.73,180.9,179.1,177.31,175.54,173.78,172.05,170.33,168.63,166.94,165.27,163.62,161.99,160.37,158.77,157.18,155.61,154.06,152.52,150.99,149.49,147.99,146.51,145.05,143.6,142.17,140.75,139.34,137.95,136.57,135.21,133.86,132.52,131.2,129.89,128.59,127.3,126.03,124.77,123.53,122.29,121.07,119.86,118.66,117.48,116.3,115.14,113.99,112.85,111.73,110.61,109.51,108.41,107.33,106.26,105.2,104.14,103.1,102.07,101.05,100.05,99.05,98.06,97.08,96.11,95.15,94.2,93.26,92.32,91.4,90.49,89.58
1,112.82,65.11,88.14,94.79,58.02,28.49,63.79,70.75,50.51,29.65,59.79,37.57,38.13,79.52,72.79,16.2,32.41,64.63,41.22,25.33,26.12,53.57,36.34,36.18,34.99,17.11,66.76,71.51,43.65,41.89,40.94,40.04,39.2,38.41,37.66,36.96,36.3,35.67,35.09,34.53,34.01,33.52,33.05,32.61,32.19,31.8,31.42,31.06,30.72,30.39,30.08,29.77,29.47,29.18,28.89,28.6,28.31,28.03,27.75,27.47,27.2,26.93,26.66,26.39,26.13,25.86,25.61,25.35,25.1,24.85,24.6,24.35,24.11,23.87,23.63,23.39,23.16,22.93,22.7,22.47,22.25,22.02,21.8,21.58,21.37,21.16,20.94,20.73,20.53,20.32,20.12,19.92,19.72,19.52,19.33,19.13,18.94,18.75,18.56,18.38,18.2,18.01,17.83,17.65,17.48,17.3,17.13,16.96,16.79,16.62,16.46,16.29,16.13,15.97,15.81,15.65,15.49,15.34,15.18,15.03,14.88,14.73,14.59,14.44,14.3,14.15,14.01,13.87,13.73,13.6,13.46,13.32,13.19,13.06,12.93,12.8,12.67,12.54,12.42,12.3,12.17,12.05,11.93,11.81,11.69,11.58,11.46,11.35,11.23,11.12,11.01,10.9,10.79,10.68,10.57,10.47,10.36,10.26,10.16,10.06,9.96,9.86,9.76,9.66,9.56,9.47,9.37,9.28,9.19,9.09,9.0,8.91,8.82,8.74,8.65,8.56,8.48,8.39,8.31,8.23,8.14,8.06,7.98,7.9,7.82,7.74,7.67,7.59,7.51,7.44,7.36,7.29,7.22,7.15,7.07,7.0,6.93,6.86,6.8,6.73,6.66,6.59,6.53,6.46,6.4,6.33,6.27,6.21,6.15,6.08,6.02,5.96,5.9,5.84,5.79,5.73,5.67,5.61,5.56,5.5,5.45,5.39,5.34,5.29,5.23
2,80.31,70.92,14.48,51.54,58.54,7.26,35.83,50.06,78.48,50.78,51.86,44.7,89.8,45.61,31.73,16.07,32.23,32.32,16.16,24.69,25.38,43.22,26.68,18.19,8.95,69.19,33.83,8.32,28.17,26.89,26.15,25.47,24.83,24.24,23.68,23.17,22.69,22.24,21.82,21.43,21.07,20.73,20.41,20.11,19.84,19.58,19.33,19.1,18.89,18.68,18.48,18.3,18.11,17.93,17.75,17.57,17.4,17.22,17.05,16.88,16.71,16.55,16.38,16.22,16.05,15.89,15.73,15.58,15.42,15.27,15.11,14.96,14.81,14.67,14.52,14.37,14.23,14.09,13.95,13.81,13.67,13.53,13.4,13.26,13.13,13.0,12.87,12.74,12.61,12.49,12.36,12.24,12.12,12.0,11.88,11.76,11.64,11.52,11.41,11.29,11.18,11.07,10.96,10.85,10.74,10.63,10.53,10.42,10.32,10.21,10.11,10.01,9.91,9.81,9.71,9.62,9.52,9.42,9.33,9.24,9.14,9.05,8.96,8.87,8.78,8.7,8.61,8.52,8.44,8.35,8.27,8.19,8.11,8.02,7.94,7.87,7.79,7.71,7.63,7.56,7.48,7.4,7.33,7.26,7.18,7.11,7.04,6.97,6.9,6.83,6.76,6.7,6.63,6.56,6.5,6.43,6.37,6.31,6.24,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.7,5.65,5.59,5.53,5.48,5.42,5.37,5.31,5.26,5.21,5.16,5.11,5.05,5.0,4.95,4.9,4.86,4.81,4.76,4.71,4.66,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.3,4.26,4.22,4.18,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.78,3.74,3.7,3.66,3.63,3.59,3.56,3.52,3.48,3.45,3.42,3.38,3.35,3.31,3.28,3.25,3.22
3,106.19,51.58,42.73,29.01,88.73,51.44,72.99,36.18,57.79,21.61,36.4,29.53,14.89,7.48,30.45,0.0,8.02,0.0,48.43,40.32,8.23,33.63,25.83,35.59,27.01,26.62,17.13,8.42,18.75,17.82,17.26,16.75,16.27,15.84,15.43,15.05,14.7,14.38,14.08,13.81,13.55,13.32,13.1,12.89,12.7,12.53,12.37,12.21,12.07,11.94,11.81,11.69,11.57,11.46,11.34,11.23,11.12,11.0,10.89,10.79,10.68,10.57,10.47,10.36,10.26,10.15,10.05,9.95,9.85,9.75,9.66,9.56,9.46,9.37,9.28,9.18,9.09,9.0,8.91,8.82,8.73,8.65,8.56,8.47,8.39,8.31,8.22,8.14,8.06,7.98,7.9,7.82,7.74,7.66,7.59,7.51,7.44,7.36,7.29,7.22,7.14,7.07,7.0,6.93,6.86,6.79,6.73,6.66,6.59,6.53,6.46,6.4,6.33,6.27,6.21,6.14,6.08,6.02,5.96,5.9,5.84,5.78,5.73,5.67,5.61,5.56,5.5,5.45,5.39,5.34,5.28,5.23,5.18,5.13,5.08,5.02,4.97,4.92,4.88,4.83,4.78,4.73,4.68,4.64,4.59,4.54,4.5,4.45,4.41,4.37,4.32,4.28,4.24,4.19,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.75,3.72,3.68,3.64,3.61,3.57,3.53,3.5,3.46,3.43,3.4,3.36,3.33,3.29,3.26,3.23,3.2,3.16,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.83,2.81,2.78,2.75,2.72,2.69,2.67,2.64,2.61,2.59,2.56,2.54,2.51,2.49,2.46,2.44,2.41,2.39,2.36,2.34,2.32,2.29,2.27,2.25,2.23,2.2,2.18,2.16,2.14,2.12,2.1,2.08,2.05
4,62.01,38.29,29.67,28.59,36.36,14.86,7.4,51.47,36.51,36.47,21.73,43.58,22.1,44.69,14.98,22.74,23.65,8.02,56.36,8.06,0.0,32.73,8.38,25.84,8.82,17.87,8.81,17.08,14.03,13.38,13.01,12.66,12.33,12.03,11.75,11.49,11.25,11.02,10.81,10.61,10.43,10.26,10.1,9.95,9.81,9.68,9.56,9.45,9.34,9.24,9.14,9.05,8.96,8.87,8.78,8.69,8.6,8.52,8.43,8.35,8.27,8.18,8.1,8.02,7.94,7.86,7.78,7.7,7.63,7.55,7.48,7.4,7.33,7.25,7.18,7.11,7.04,6.97,6.9,6.83,6.76,6.69,6.63,6.56,6.49,6.43,6.36,6.3,6.24,6.18,6.11,6.05,5.99,5.93,5.87,5.81,5.76,5.7,5.64,5.59,5.53,5.47,5.42,5.37,5.31,5.26,5.21,5.15,5.1,5.05,5.0,4.95,4.9,4.85,4.8,4.76,4.71,4.66,4.61,4.57,4.52,4.48,4.43,4.39,4.34,4.3,4.26,4.22,4.17,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.77,3.74,3.7,3.66,3.63,3.59,3.55,3.52,3.48,3.45,3.41,3.38,3.35,3.31,3.28,3.25,3.21,3.18,3.15,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.79,2.76,2.74,2.71,2.68,2.65,2.63,2.6,2.58,2.55,2.52,2.5,2.47,2.45,2.43,2.4,2.38,2.35,2.33,2.31,2.28,2.26,2.24,2.22,2.19,2.17,2.15,2.13,2.11,2.09,2.07,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.91,1.89,1.87,1.85,1.83,1.81,1.79,1.78,1.76,1.74,1.72,1.71,1.69,1.67,1.66,1.64,1.62,1.61,1.59
5,31.02,15.59,61.43,29.75,7.17,21.83,37.31,37.21,44.31,29.38,14.63,28.94,7.26,29.49,37.29,29.89,22.74,15.76,32.12,24.19,0.0,16.04,32.6,33.52,8.56,17.53,0.0,17.56,11.15,10.7,10.45,10.22,10.01,9.81,9.62,9.44,9.27,9.11,8.96,8.82,8.68,8.56,8.44,8.32,8.22,8.12,8.02,7.93,7.84,7.76,7.68,7.6,7.52,7.45,7.37,7.3,7.23,7.16,7.08,7.01,6.94,6.87,6.8,6.74,6.67,6.6,6.54,6.47,6.41,6.34,6.28,6.22,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.74,5.68,5.62,5.57,5.51,5.46,5.4,5.35,5.29,5.24,5.19,5.14,5.08,5.03,4.98,4.93,4.88,4.84,4.79,4.74,4.69,4.64,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.29,4.24,4.2,4.16,4.12,4.08,4.04,3.99,3.95,3.92,3.88,3.84,3.8,3.76,3.72,3.69,3.65,3.61,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.33,3.3,3.27,3.23,3.2,3.17,3.14,3.11,3.08,3.05,3.01,2.98,2.95,2.93,2.9,2.87,2.84,2.81,2.78,2.75,2.73,2.7,2.67,2.65,2.62,2.59,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.39,2.37,2.35,2.32,2.3,2.28,2.25,2.23,2.21,2.19,2.16,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.82,1.81,1.79,1.77,1.75,1.73,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.58,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.4,1.39,1.38,1.36,1.35,1.34
6,30.29,23.38,62.54,69.37,37.35,28.75,14.61,52.58,22.48,29.68,29.49,29.15,7.21,14.53,7.37,7.44,7.46,7.57,31.52,0.0,16.13,0.0,7.99,24.46,16.65,0.0,0.0,53.05,9.92,9.54,9.35,9.17,8.99,8.83,8.68,8.53,8.39,8.26,8.13,8.01,7.9,7.79,7.69,7.59,7.5,7.41,7.33,7.25,7.17,7.09,7.02,6.95,6.88,6.81,6.74,6.68,6.61,6.54,6.48,6.41,6.35,6.28,6.22,6.16,6.1,6.04,5.98,5.92,5.86,5.8,5.74,5.68,5.63,5.57,5.51,5.46,5.41,5.35,5.3,5.24,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.84,4.79,4.74,4.7,4.65,4.6,4.56,4.51,4.47,4.42,4.38,4.33,4.29,4.25,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.73,3.69,3.65,3.62,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.34,3.3,3.27,3.24,3.21,3.17,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.78,2.76,2.73,2.7,2.67,2.65,2.62,2.6,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.39,2.37,2.35,2.32,2.3,2.28,2.25,2.23,2.21,2.19,2.17,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.59,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.41,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.25,1.23,1.22
7,21.79,15.23,31.23,23.51,15.47,15.0,36.07,44.0,37.77,15.06,7.43,14.71,7.28,28.85,29.04,7.36,14.89,22.41,15.17,23.67,24.18,8.03,31.85,7.97,8.12,8.3,8.46,0.0,9.52,9.17,8.99,8.82,8.65,8.5,8.35,8.21,8.08,7.95,7.84,7.72,7.61,7.51,7.41,7.32,7.23,7.15,7.07,6.99,6.91,6.84,6.77,6.7,6.63,6.57,6.5,6.44,6.37,6.31,6.25,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.71,5.65,5.59,5.54,5.48,5.43,5.37,5.32,5.26,5.21,5.16,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.76,4.71,4.67,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.31,4.26,4.22,4.18,4.14,4.1,4.05,4.01,3.97,3.93,3.89,3.86,3.82,3.78,3.74,3.7,3.67,3.63,3.59,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.32,3.28,3.25,3.22,3.19,3.15,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.8,2.77,2.74,2.71,2.69,2.66,2.63,2.61,2.58,2.55,2.53,2.5,2.48,2.45,2.43,2.4,2.38,2.36,2.33,2.31,2.29,2.26,2.24,2.22,2.2,2.17,2.15,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.83,1.81,1.8,1.78,1.76,1.74,1.73,1.71,1.69,1.67,1.66,1.64,1.62,1.61,1.59,1.58,1.56,1.54,1.53,1.51,1.5,1.48,1.47,1.45,1.44,1.43,1.41,1.4,1.38,1.37,1.36,1.34,1.33,1.32,1.3,1.29,1.28,1.26,1.25,1.24,1.23,1.21,1.2,1.19,1.18
8,42.04,14.62,15.27,23.45,23.56,15.52,45.2,7.25,22.08,15.17,15.09,22.27,22.01,14.55,21.6,7.25,14.72,14.89,37.35,15.21,15.79,24.09,8.01,15.91,7.95,8.08,8.26,16.87,9.91,9.51,9.29,9.08,8.89,8.71,8.54,8.38,8.23,8.09,7.96,7.83,7.71,7.6,7.5,7.4,7.3,7.21,7.13,7.04,6.97,6.89,6.82,6.75,6.68,6.62,6.55,6.49,6.42,6.36,6.29,6.23,6.17,6.11,6.05,5.98,5.92,5.87,5.81,5.75,5.69,5.63,5.58,5.52,5.47,5.41,5.36,5.3,5.25,5.2,5.15,5.1,5.04,4.99,4.94,4.89,4.85,4.8,4.75,4.7,4.65,4.61,4.56,4.52,4.47,4.43,4.38,4.34,4.3,4.25,4.21,4.17,4.13,4.08,4.04,4.0,3.96,3.92,3.88,3.85,3.81,3.77,3.73,3.69,3.66,3.62,3.58,3.55,3.51,3.48,3.44,3.41,3.37,3.34,3.31,3.27,3.24,3.21,3.18,3.15,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.82,2.79,2.76,2.73,2.71,2.68,2.65,2.62,2.6,2.57,2.55,2.52,2.5,2.47,2.45,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.24,2.21,2.19,2.17,2.15,2.13,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.87,1.85,1.83,1.81,1.79,1.77,1.76,1.74,1.72,1.7,1.69,1.67,1.65,1.64,1.62,1.6,1.59,1.57,1.56,1.54,1.53,1.51,1.5,1.48,1.47,1.45,1.44,1.42,1.41,1.39,1.38,1.37,1.35,1.34,1.33,1.31,1.3,1.29,1.27,1.26,1.25,1.24,1.22,1.21,1.2,1.19
9,20.44,21.16,21.99,22.92,39.06,31.41,31.11,7.57,14.54,0.0,22.76,22.56,29.71,14.67,14.52,7.19,21.77,7.35,7.47,29.91,30.41,23.62,0.0,8.0,31.75,31.59,24.15,16.44,10.85,10.39,10.14,9.9,9.68,9.47,9.27,9.09,8.92,8.76,8.61,8.46,8.33,8.2,8.09,7.97,7.87,7.77,7.68,7.59,7.5,7.42,7.35,7.27,7.2,7.13,7.05,6.98,6.91,6.85,6.78,6.71,6.64,6.58,6.51,6.44,6.38,6.32,6.25,6.19,6.13,6.07,6.01,5.95,5.89,5.83,5.77,5.71,5.66,5.6,5.54,5.49,5.43,5.38,5.32,5.27,5.22,5.17,5.11,5.06,5.01,4.96,4.91,4.86,4.82,4.77,4.72,4.67,4.63,4.58,4.53,4.49,4.44,4.4,4.35,4.31,4.27,4.23,4.18,4.14,4.1,4.06,4.02,3.98,3.94,3.9,3.86,3.82,3.78,3.75,3.71,3.67,3.63,3.6,3.56,3.53,3.49,3.46,3.42,3.39,3.35,3.32,3.29,3.25,3.22,3.19,3.16,3.13,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.86,2.83,2.8,2.77,2.74,2.72,2.69,2.66,2.63,2.61,2.58,2.56,2.53,2.51,2.48,2.46,2.43,2.41,2.38,2.36,2.34,2.31,2.29,2.27,2.24,2.22,2.2,2.18,2.16,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.83,1.82,1.8,1.78,1.76,1.74,1.73,1.71,1.69,1.68,1.66,1.64,1.63,1.61,1.59,1.58,1.56,1.55,1.53,1.52,1.5,1.49,1.47,1.46,1.44,1.43,1.41,1.4,1.38,1.37,1.36,1.34,1.33,1.32,1.3,1.29,1.28
