age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,924.8,935.62,881.95,841.87,828.19,809.25,798.63,784.16,728.28,695.61,646.61,572.79,567.13,540.15,530.87,542.93,529.88,497.19,510.02,509.05,498.86,463.85,498.44,470.73,440.31,467.54,437.47,423.69,423.39,406.41,373.75,369.68,345.83,367.13,338.58,359.67,362.5,355.17,354.85,346.83,360.38,348.06,366.03,389.52,296.73,269.8,262.94,256.49,250.44,244.76,239.44,234.47,229.82,225.46,221.39,217.57,214.0,210.64,207.49,204.52,201.72,199.07,196.56,194.16,191.86,189.66,187.52,185.44,183.4,181.4,179.41,177.45,175.51,173.59,171.7,169.82,167.96,166.13,164.31,162.52,160.74,158.98,157.24,155.53,153.83,152.14,150.48,148.84,147.21,145.6,144.01,142.43,140.88,139.34
1,67.72,63.83,64.6,76.97,65.73,66.39,61.71,54.43,61.22,56.22,47.59,45.42,48.67,47.72,43.62,38.35,43.74,38.67,32.41,35.15,36.06,39.72,36.37,38.17,39.41,31.05,33.03,24.96,31.47,30.53,26.4,30.32,22.79,27.53,28.59,17.7,23.53,24.16,16.72,20.14,25.45,21.56,15.88,17.7,18.31,17.78,17.29,16.84,16.41,16.01,15.64,15.3,14.99,14.69,14.42,14.16,13.92,13.7,13.5,13.3,13.12,12.95,12.79,12.63,12.49,12.35,12.21,12.07,11.94,11.81,11.68,11.55,11.43,11.3,11.18,11.06,10.94,10.82,10.7,10.58,10.47,10.35,10.24,10.13,10.01,9.91,9.8,9.69,9.58,9.48,9.37,9.27,9.17,9.07
2,42.9,33.98,36.66,36.72,37.88,40.17,35.58,26.44,35.03,28.13,26.48,29.67,23.36,28.49,24.86,26.12,31.57,16.43,21.36,17.47,24.68,20.43,17.44,21.68,17.84,21.18,19.03,13.26,16.34,11.24,13.15,14.52,12.13,16.37,14.31,8.71,15.61,10.81,14.03,13.35,15.35,13.11,11.56,11.13,10.81,10.51,10.24,9.98,9.74,9.52,9.31,9.12,8.94,8.78,8.62,8.48,8.35,8.22,8.1,7.99,7.89,7.79,7.7,7.61,7.52,7.44,7.36,7.28,7.2,7.12,7.04,6.96,6.89,6.81,6.74,6.66,6.59,6.52,6.45,6.38,6.31,6.24,6.17,6.1,6.04,5.97,5.9,5.84,5.78,5.71,5.65,5.59,5.53,5.47
3,25.56,27.59,25.37,29.0,32.42,27.13,26.04,19.36,22.6,22.76,18.07,17.99,15.9,17.38,16.46,17.92,21.82,19.91,12.18,17.75,15.21,13.09,15.29,16.51,16.82,15.58,13.3,10.77,11.97,12.71,12.51,11.83,9.69,9.59,10.29,10.6,8.0,8.86,9.48,11.02,9.43,8.47,8.16,7.92,7.71,7.51,7.32,7.15,6.99,6.84,6.7,6.57,6.45,6.34,6.23,6.13,6.04,5.96,5.88,5.8,5.73,5.66,5.59,5.53,5.47,5.41,5.35,5.29,5.23,5.18,5.12,5.06,5.01,4.95,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.29,4.25,4.2,4.15,4.11,4.06,4.02,3.97
4,20.64,27.76,22.54,23.1,25.04,18.49,20.46,14.29,15.61,13.59,14.33,12.62,12.0,10.83,10.4,13.85,14.47,15.69,13.49,13.08,7.2,12.34,9.24,12.73,14.12,10.04,10.41,9.2,9.17,8.15,7.73,9.16,8.48,4.34,7.18,7.5,4.16,7.72,8.58,7.9,6.92,6.63,6.43,6.26,6.1,5.95,5.81,5.68,5.56,5.45,5.34,5.25,5.16,5.07,4.99,4.92,4.85,4.78,4.72,4.66,4.61,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.78,3.73,3.69,3.65,3.61,3.57,3.53,3.5,3.46,3.42,3.38,3.34,3.31,3.27,3.24,3.2
5,17.11,19.05,15.94,21.01,14.0,18.13,12.02,13.35,14.66,16.12,11.21,10.74,12.66,10.84,12.11,12.48,12.39,12.88,9.28,8.11,10.78,9.05,9.58,11.34,7.71,7.75,10.07,9.16,6.7,6.92,5.04,6.5,10.92,9.3,4.38,5.32,10.99,5.01,5.28,5.75,5.91,5.74,5.58,5.44,5.31,5.18,5.07,4.96,4.86,4.77,4.69,4.61,4.53,4.46,4.4,4.33,4.28,4.22,4.17,4.12,4.07,4.02,3.98,3.94,3.89,3.85,3.81,3.77,3.73,3.68,3.64,3.6,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.92,2.89,2.86,2.83
6,17.08,15.91,16.94,14.78,14.64,14.83,13.32,13.34,13.05,14.2,10.59,12.94,11.01,8.89,14.13,10.08,10.65,11.8,10.63,10.19,8.93,8.67,8.15,9.25,8.05,9.34,7.85,8.53,7.29,6.9,7.41,7.4,9.71,4.66,6.26,7.06,7.35,8.28,6.23,5.58,5.42,5.27,5.13,5.01,4.89,4.79,4.69,4.6,4.51,4.43,4.36,4.29,4.22,4.16,4.1,4.05,3.99,3.95,3.9,3.85,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.27,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.93,2.89,2.86,2.83,2.8,2.77,2.74,2.71,2.68,2.65
7,17.75,14.86,13.47,16.81,12.98,12.2,9.74,11.75,8.91,11.68,11.84,8.83,8.11,10.87,9.71,8.35,8.6,10.42,6.49,8.38,7.83,6.84,8.83,4.8,8.01,6.43,10.03,8.5,6.05,7.49,5.63,5.62,4.55,6.21,5.84,5.7,8.1,6.0,5.34,5.19,5.05,4.92,4.8,4.69,4.59,4.5,4.41,4.33,4.26,4.19,4.12,4.06,4.0,3.94,3.89,3.84,3.79,3.75,3.71,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.25,3.21,3.17,3.14,3.11,3.07,3.04,3.0,2.97,2.94,2.91,2.88,2.84,2.81,2.78,2.75,2.72,2.69,2.66,2.63,2.6,2.58,2.55,2.52
8,12.26,13.46,14.13,14.06,9.31,10.54,9.08,8.89,10.18,8.52,10.57,10.42,14.26,9.18,8.99,7.97,6.6,11.73,6.45,9.03,6.72,11.84,4.95,6.14,7.63,6.42,8.13,3.63,7.85,6.29,5.32,4.74,7.28,5.19,6.61,7.65,5.8,5.24,5.09,4.96,4.83,4.71,4.61,4.51,4.42,4.34,4.26,4.18,4.11,4.05,3.99,3.93,3.88,3.83,3.78,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.92,2.89,2.86,2.83,2.8,2.77,2.74,2.71,2.68,2.65,2.62,2.59,2.56,2.53,2.51,2.48,2.45
9,14.29,15.5,14.82,9.25,12.63,8.89,11.99,11.43,9.86,9.13,8.71,10.1,8.39,9.45,6.63,8.27,4.27,7.66,10.13,11.06,7.74,6.45,7.02,6.78,7.59,7.04,7.49,4.23,7.54,5.38,4.14,5.62,7.46,5.38,5.6,5.38,5.32,5.17,5.04,4.91,4.79,4.69,4.59,4.5,4.41,4.33,4.26,4.19,4.13,4.07,4.01,3.95,3.9,3.85,3.81,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02,2.98,2.95,2.92,2.89,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.59,2.56,2.53,2.5,2.47
10,14.96,11.38,15.17,11.3,13.28,9.55,14.58,8.57,13.97,10.4,6.85,11.62,11.26,8.46,8.26,6.91,12.07,6.3,8.07,7.21,4.21,8.2,9.07,6.73,5.91,6.39,4.36,7.84,7.22,4.78,5.02,5.25,9.36,8.81,6.33,5.55,5.4,5.26,5.13,5.02,4.9,4.8,4.71,4.62,4.54,4.46,4.39,4.33,4.26,4.2,4.15,4.09,4.04,3.99,3.95,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.23,3.2,3.16,3.13,3.1,3.06,3.03,2.99,2.96,2.93,2.9,2.87,2.83,2.8,2.77,2.74,2.71,2.68,2.65,2.62,2.6,2.57
11,9.84,9.99,10.33,13.33,7.95,9.21,11.97,12.66,11.44,12.29,6.82,10.95,6.75,9.08,9.85,8.83,8.12,9.92,6.68,8.21,5.59,7.44,4.16,5.02,8.49,7.65,6.22,5.11,5.71,8.93,6.11,7.73,5.76,5.85,5.9,5.74,5.6,5.46,5.34,5.22,5.12,5.02,4.92,4.84,4.76,4.69,4.62,4.55,4.49,4.43,4.37,4.32,4.27,4.22,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.23,3.2,3.16,3.13,3.1,3.06,3.03,2.99,2.96,2.93,2.9,2.87,2.83,2.8,2.77,2.74,2.71
12,13.23,13.76,13.08,8.87,12.58,16.11,14.2,9.51,11.13,11.33,15.76,13.45,12.18,9.03,13.05,7.17,9.06,9.2,8.99,9.9,6.62,5.28,6.88,6.64,8.45,4.77,4.03,7.5,6.59,5.58,7.73,7.05,6.59,6.48,6.31,6.16,6.02,5.88,5.76,5.64,5.53,5.43,5.34,5.25,5.17,5.1,5.03,4.96,4.89,4.83,4.77,4.72,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.31,4.26,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.91,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31,3.28,3.24,3.2,3.17,3.13,3.1,3.07,3.03,3.0,2.97
13,15.58,15.8,14.42,14.99,14.22,11.47,10.65,8.87,12.07,9.42,12.68,12.17,12.45,10.89,11.37,10.39,8.36,7.2,7.97,7.83,10.05,12.93,7.85,6.6,7.76,9.52,9.3,9.27,9.75,11.57,7.06,7.34,7.47,7.29,7.11,6.95,6.8,6.66,6.53,6.41,6.3,6.19,6.09,6.0,5.91,5.83,5.75,5.68,5.61,5.54,5.47,5.41,5.35,5.29,5.23,5.17,5.12,5.06,5.0,4.95,4.9,4.84,4.79,4.74,4.69,4.63,4.58,4.53,4.48,4.43,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.41
14,18.59,20.59,15.11,13.95,13.86,14.44,11.94,18.99,15.2,11.65,13.27,12.12,12.06,8.29,12.94,14.84,9.28,9.47,11.26,12.89,11.04,10.4,8.13,8.52,10.6,9.18,6.48,10.92,8.44,11.13,9.36,8.84,8.64,8.45,8.26,8.09,7.92,7.77,7.63,7.5,7.37,7.26,7.15,7.05,6.95,6.86,6.77,6.69,6.61,6.53,6.46,6.38,6.31,6.24,6.17,6.11,6.04,5.97,5.91,5.84,5.78,5.72,5.65,5.59,5.53,5.47,5.41,5.35,5.29,5.23,5.18,5.12,5.06,5.01,4.95,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.29,4.25,4.2,4.15,4.11,4.06,4.02
15,22.61,26.02,15.44,19.71,13.9,18.0,12.58,14.79,16.1,12.85,16.91,11.42,14.48,14.54,15.42,9.28,11.19,11.08,13.2,16.2,12.0,8.59,11.42,9.1,9.9,12.92,13.72,12.52,9.19,10.25,10.66,10.43,10.21,10.0,9.79,9.6,9.42,9.25,9.1,8.95,8.81,8.68,8.56,8.44,8.33,8.23,8.13,8.03,7.94,7.85,7.76,7.67,7.59,7.5,7.42,7.34,7.26,7.18,7.1,7.02,6.95,6.87,6.8,6.72,6.65,6.58,6.5,6.43,6.36,6.29,6.22,6.16,6.09,6.02,5.96,5.89,5.83,5.76,5.7,5.64,5.58,5.51,5.45,5.39,5.34,5.28,5.22,5.16,5.11,5.05,4.99,4.94,4.89,4.83
16,23.57,32.14,20.55,21.1,24.99,25.52,19.84,22.52,21.94,19.06,17.99,13.75,17.76,16.92,11.12,11.5,12.74,18.81,15.09,13.07,16.67,13.95,13.3,10.98,13.01,9.03,12.63,13.79,13.46,13.48,13.21,12.95,12.69,12.45,12.21,11.99,11.78,11.58,11.4,11.23,11.06,10.91,10.76,10.62,10.49,10.37,10.24,10.12,10.01,9.9,9.79,9.68,9.57,9.47,9.36,9.26,9.16,9.06,8.96,8.86,8.77,8.67,8.58,8.48,8.39,8.3,8.21,8.12,8.03,7.94,7.85,7.77,7.68,7.6,7.52,7.43,7.35,7.27,7.19,7.11,7.04,6.96,6.88,6.81,6.73,6.66,6.59,6.51,6.44,6.37,6.3,6.23,6.17,6.1
