,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105
0,934.54,938.92,891.07,838.46,825.01,806.83,798.73,773.96,728.25,688.23,640.57,572.51,561.96,537.28,531.25,541.57,528.77,498.15,512.69,505.65,498.06,462.2,491.16,471.33,435.65,462.48,436.01,420.15,448.67,441.78,437.17,432.6,428.09,423.57,419.16,414.9,410.42,406.03,401.94,397.92,393.74,389.44,385.58,381.72,377.76,373.8,369.96,366.37,362.62,358.98,355.38,351.75,348.4,344.82,341.23,338.07,334.75,331.23,327.92,324.74,321.58,318.3,315.08,312.07,308.78,305.66,302.84,299.67,296.61,293.8,290.74,287.89,285.08,282.14,279.36,276.59,273.8,270.99,268.29,265.69,263.05,260.5,257.89,255.23,252.67,250.23,247.76,245.12,242.62,240.29,237.98,235.55,233.17,230.98,228.7,226.33,224.01,221.89,219.82,217.51,215.23,213.12,211.04,208.83,206.78,204.87,202.68,200.62,198.71,196.78,194.7,192.61,190.8,188.97,187.14,185.16,183.33,181.63,179.79,177.96,176.14,174.34,172.68,171.04,169.15
1,68.44,65.51,66.2,77.87,67.38,66.72,60.96,56.16,60.2,56.1,49.09,44.7,49.38,47.31,44.44,38.86,43.61,38.86,31.35,34.65,35.97,39.13,37.24,36.89,39.7,30.97,33.06,29.78,28.83,28.06,27.28,26.47,25.97,25.43,24.8,24.47,23.98,23.33,22.6,22.13,21.87,21.33,21.17,21.1,20.48,19.82,19.65,19.49,19.24,19.19,19.04,18.69,18.26,17.99,17.75,17.48,17.5,17.43,17.07,16.75,16.8,16.91,16.48,16.21,16.23,16.21,16.08,15.96,15.81,15.5,15.14,14.8,14.77,14.7,14.63,14.57,14.51,14.41,14.26,14.11,13.92,13.98,13.52,13.01,12.96,12.92,12.91,12.85,12.74,12.63,12.56,12.49,12.38,12.31,12.28,12.01,11.7,11.65,11.68,11.72,11.71,11.22,10.78,10.79,10.75,10.81,10.57,10.3,10.27,10.28,10.29,10.21,10.14,10.06,10.03,9.95,9.82,9.74,9.66,9.58,9.5,9.37,9.01,8.74,8.66
2,42.43,34.05,36.87,37.59,37.93,39.44,34.46,25.84,35.19,28.97,26.49,29.22,23.3,30.04,25.1,25.35,31.45,16.52,21.87,17.28,24.2,20.12,17.24,20.58,18.25,20.66,18.8,18.33,17.9,17.48,17.09,16.8,16.48,16.05,15.81,15.55,15.23,14.86,14.51,14.25,14.02,13.8,13.6,13.4,13.13,12.86,12.74,12.61,12.41,12.27,12.12,12.03,12.0,11.82,11.62,11.55,11.48,11.41,11.33,11.19,11.06,10.93,10.81,10.69,10.58,10.55,10.39,10.23,10.21,10.12,9.98,9.9,9.82,9.74,9.66,9.52,9.45,9.43,9.36,9.14,9.0,8.91,8.83,8.74,8.59,8.5,8.47,8.44,8.35,8.19,8.1,8.07,7.98,7.89,7.87,7.79,7.64,7.56,7.54,7.53,7.39,7.26,7.24,7.17,7.1,7.09,7.01,6.88,6.81,6.79,6.78,6.65,6.51,6.5,6.49,6.41,6.34,6.26,6.19,6.11,6.04,6.02,6.01,6.0,5.86
3,26.39,28.34,25.89,28.98,32.45,28.07,27.0,19.75,21.94,22.4,17.95,18.78,15.63,17.67,16.2,17.6,20.63,19.15,12.23,16.93,14.53,13.16,14.87,16.0,16.98,13.74,13.38,13.09,12.88,12.66,12.48,12.26,12.02,11.91,11.7,11.47,11.32,11.04,10.78,10.68,10.52,10.37,10.31,10.1,9.9,9.77,9.64,9.58,9.45,9.31,9.31,9.23,9.06,8.96,8.92,8.87,8.81,8.75,8.63,8.5,8.38,8.27,8.23,8.19,8.16,8.0,7.85,7.83,7.81,7.73,7.59,7.51,7.5,7.43,7.29,7.21,7.21,7.2,7.12,6.98,6.9,6.89,6.81,6.72,6.64,6.56,6.54,6.51,6.43,6.34,6.32,6.24,6.15,6.13,6.05,5.97,5.96,5.88,5.81,5.73,5.66,5.65,5.64,5.57,5.5,5.43,5.36,5.35,5.34,5.27,5.14,5.07,5.06,5.05,5.04,5.03,4.9,4.76,4.75,4.74,4.73,4.72,4.71,4.58,4.53
4,19.8,27.51,21.91,23.09,26.11,18.68,20.81,14.98,15.64,13.44,13.83,12.81,12.87,10.55,10.78,14.69,14.31,15.53,14.85,13.88,6.91,12.46,10.14,13.72,11.66,11.38,11.16,11.16,11.04,10.73,10.55,10.48,10.39,10.2,10.07,10.0,9.79,9.59,9.48,9.31,9.23,9.22,9.08,8.95,8.89,8.76,8.7,8.64,8.51,8.44,8.37,8.28,8.19,8.09,8.06,8.01,7.96,7.84,7.72,7.67,7.56,7.45,7.41,7.38,7.28,7.19,7.17,7.09,7.01,6.93,6.85,6.84,6.77,6.63,6.56,6.55,6.54,6.47,6.33,6.25,6.24,6.23,6.15,6.01,5.92,5.91,5.89,5.87,5.85,5.76,5.62,5.54,5.52,5.5,5.48,5.47,5.39,5.26,5.18,5.17,5.16,5.15,5.08,4.95,4.88,4.87,4.87,4.86,4.79,4.72,4.65,4.58,4.57,4.56,4.55,4.48,4.41,4.34,4.27,4.26,4.25,4.24,4.17,4.13,4.09
5,17.44,18.95,15.68,20.78,13.51,17.7,11.64,14.39,14.44,16.42,11.18,11.63,12.87,11.17,11.76,12.75,12.07,12.91,10.21,7.79,10.72,9.34,9.8,10.14,9.9,9.81,9.8,9.62,9.42,9.33,9.29,9.22,9.13,9.02,8.9,8.84,8.78,8.66,8.55,8.52,8.44,8.29,8.23,8.24,8.1,7.97,7.98,7.85,7.72,7.72,7.72,7.64,7.48,7.38,7.34,7.3,7.26,7.21,7.16,7.05,6.94,6.83,6.73,6.7,6.68,6.66,6.57,6.49,6.41,6.33,6.32,6.25,6.17,6.1,6.03,6.02,5.95,5.88,5.87,5.79,5.72,5.64,5.56,5.55,5.53,5.45,5.37,5.35,5.27,5.19,5.17,5.16,5.14,5.06,4.98,4.97,4.89,4.82,4.81,4.8,4.73,4.66,4.59,4.52,4.51,4.51,4.5,4.49,4.42,4.29,4.23,4.22,4.21,4.2,4.19,4.12,3.99,3.92,3.91,3.9,3.9,3.89,3.85,3.81,3.77
6,17.08,16.64,16.94,16.2,15.98,15.53,14.08,12.58,12.32,14.01,10.59,12.51,11.62,8.71,13.34,10.83,10.77,11.61,10.56,10.51,9.33,9.34,9.44,9.24,9.17,9.03,8.9,8.88,8.76,8.66,8.69,8.62,8.46,8.36,8.31,8.25,8.2,8.15,8.12,7.95,7.8,7.79,7.8,7.66,7.53,7.54,7.48,7.35,7.28,7.29,7.28,7.13,6.97,6.95,6.92,6.88,6.84,6.79,6.75,6.7,6.53,6.36,6.32,6.3,6.27,6.25,6.24,6.15,6.01,5.93,5.92,5.92,5.84,5.7,5.63,5.63,5.62,5.61,5.54,5.4,5.33,5.31,5.3,5.29,5.21,5.13,5.05,4.97,4.95,4.93,4.92,4.9,4.82,4.74,4.67,4.59,4.58,4.57,4.56,4.49,4.42,4.41,4.34,4.27,4.27,4.26,4.25,4.19,4.12,4.11,4.04,3.97,3.97,3.96,3.89,3.82,3.81,3.8,3.73,3.67,3.66,3.62,3.58,3.55,3.51
7,17.7,14.33,13.34,15.84,12.22,11.49,9.79,11.68,8.71,11.03,11.47,8.33,8.88,11.2,9.52,8.58,8.86,10.33,6.94,8.47,7.94,8.95,8.84,8.74,8.61,8.56,8.52,8.36,8.32,8.29,8.17,8.1,8.09,8.06,8.02,7.89,7.76,7.72,7.61,7.52,7.51,7.51,7.37,7.23,7.24,7.25,7.12,6.99,7.0,7.0,6.85,6.7,6.69,6.66,6.63,6.6,6.56,6.51,6.4,6.22,6.12,6.08,6.05,6.03,6.0,5.98,5.97,5.82,5.68,5.67,5.66,5.65,5.58,5.44,5.37,5.36,5.36,5.35,5.28,5.14,5.06,5.05,5.04,5.03,5.02,4.94,4.79,4.71,4.7,4.68,4.66,4.65,4.63,4.56,4.48,4.41,4.33,4.32,4.31,4.3,4.29,4.23,4.16,4.09,4.02,4.02,4.01,4.0,4.0,3.93,3.86,3.79,3.72,3.72,3.71,3.7,3.69,3.62,3.56,3.55,3.51,3.48,3.44,3.41,3.37
8,11.88,13.33,13.96,13.24,10.33,10.87,9.17,8.68,9.61,8.34,10.57,10.72,14.07,9.63,8.87,7.93,6.65,11.63,6.27,8.8,8.52,8.44,8.34,8.25,8.21,8.17,8.07,8.0,7.95,7.85,7.81,7.81,7.72,7.62,7.51,7.38,7.33,7.29,7.26,7.24,7.23,7.08,6.94,6.95,6.96,6.83,6.7,6.7,6.71,6.57,6.43,6.42,6.4,6.38,6.35,6.25,6.14,6.03,5.92,5.88,5.85,5.81,5.79,5.76,5.74,5.72,5.57,5.43,5.41,5.4,5.4,5.39,5.32,5.18,5.11,5.1,5.1,5.09,5.02,4.88,4.81,4.8,4.78,4.77,4.76,4.68,4.6,4.52,4.44,4.43,4.41,4.4,4.38,4.37,4.29,4.22,4.15,4.07,4.07,4.06,4.05,4.04,3.97,3.91,3.84,3.77,3.77,3.76,3.75,3.75,3.68,3.61,3.61,3.54,3.47,3.46,3.45,3.45,3.44,3.4,3.37,3.34,3.3,3.27,3.24
9,14.43,15.57,14.92,10.0,11.89,8.38,11.6,11.67,10.2,8.91,8.81,10.12,8.25,9.31,6.33,8.26,5.07,7.43,10.56,8.37,8.18,8.09,8.0,7.93,7.9,7.87,7.77,7.71,7.66,7.56,7.51,7.44,7.29,7.19,7.15,7.1,7.05,7.01,6.98,6.96,6.81,6.66,6.66,6.67,6.61,6.48,6.41,6.42,6.36,6.22,6.14,6.14,6.12,6.1,6.0,5.9,5.79,5.68,5.65,5.61,5.58,5.55,5.52,5.49,5.47,5.39,5.31,5.23,5.15,5.14,5.13,5.13,5.06,4.98,4.91,4.84,4.84,4.83,4.76,4.69,4.61,4.54,4.53,4.52,4.5,4.49,4.41,4.33,4.32,4.24,4.16,4.15,4.13,4.12,4.11,4.03,3.96,3.95,3.94,3.87,3.81,3.8,3.79,3.72,3.66,3.65,3.65,3.58,3.51,3.51,3.5,3.49,3.43,3.36,3.35,3.34,3.34,3.27,3.24,3.2,3.17,3.14,3.11,3.08,3.05
