,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105
0,1157.18,1241.35,1020.66,965.56,854.06,932.83,776.86,824.52,633.37,690.06,650.36,560.67,632.19,558.38,661.73,490.28,583.81,515.72,590.69,458.33,518.58,458.06,393.19,538.95,536.23,455.7,447.21,487.06,493.19,476.3,471.27,466.31,461.41,456.57,451.78,447.06,442.39,437.78,433.23,428.74,424.3,419.91,415.58,411.31,407.09,402.92,398.8,394.74,390.73,386.78,382.88,379.03,375.24,371.5,367.79,364.11,360.48,356.88,353.32,349.79,346.3,342.84,339.42,336.03,332.67,329.35,326.06,322.81,319.58,316.39,313.23,310.11,307.01,303.94,300.91,297.9,294.93,291.98,289.07,286.18,283.32,280.49,277.69,274.92,272.17,269.45,266.76,264.1,261.46,258.85,256.26,253.7,251.17,248.66,246.18,243.72,241.28,238.87,236.49,234.13,231.79,229.47,227.18,224.91,222.66,220.44,218.24,216.06,213.9,211.76,209.65,207.55,205.48,203.42,201.39,199.38,197.39,195.42,193.46,191.53,189.62,187.72,185.85,183.99,182.15
1,67.52,91.72,77.08,76.64,38.0,37.63,22.52,75.93,117.45,63.33,71.2,32.12,16.53,33.44,25.67,60.67,33.7,60.8,62.16,27.83,38.05,37.79,38.15,27.85,35.87,43.72,42.11,27.31,25.96,25.3,24.67,24.06,23.48,22.93,22.41,21.9,21.42,20.97,20.53,20.12,19.73,19.35,19.0,18.66,18.35,18.05,17.77,17.51,17.27,17.04,16.85,16.67,16.5,16.34,16.17,16.01,15.85,15.69,15.54,15.38,15.23,15.08,14.93,14.78,14.63,14.48,14.34,14.19,14.05,13.91,13.77,13.63,13.5,13.36,13.23,13.1,12.97,12.84,12.71,12.58,12.46,12.33,12.21,12.09,11.96,11.84,11.73,11.61,11.49,11.38,11.26,11.15,11.04,10.93,10.82,10.71,10.61,10.5,10.39,10.29,10.19,10.09,9.98,9.88,9.79,9.69,9.59,9.5,9.4,9.31,9.21,9.12,9.03,8.94,8.85,8.76,8.67,8.59,8.5,8.42,8.33,8.25,8.17,8.09,8.0
2,22.59,38.37,46.45,69.17,30.64,53.18,22.74,45.96,54.73,23.79,31.56,40.11,16.53,24.87,34.21,43.27,8.46,8.7,8.9,18.49,9.47,28.37,0.0,9.18,0.0,8.68,16.14,15.39,15.04,14.71,14.38,14.08,13.78,13.5,13.23,12.97,12.72,12.48,12.25,12.03,11.83,11.63,11.44,11.26,11.09,10.93,10.78,10.64,10.51,10.39,10.28,10.18,10.08,9.98,9.88,9.78,9.68,9.58,9.49,9.39,9.3,9.21,9.11,9.02,8.93,8.84,8.75,8.67,8.58,8.49,8.41,8.33,8.24,8.16,8.08,8.0,7.92,7.84,7.76,7.68,7.61,7.53,7.45,7.38,7.31,7.23,7.16,7.09,7.02,6.95,6.88,6.81,6.74,6.67,6.61,6.54,6.48,6.41,6.35,6.28,6.22,6.16,6.1,6.04,5.98,5.92,5.86,5.8,5.74,5.68,5.63,5.57,5.51,5.46,5.4,5.35,5.3,5.24,5.19,5.14,5.09,5.04,4.99,4.94,4.89
3,15.08,15.39,46.54,30.86,54.06,45.96,7.64,15.37,31.21,55.34,31.54,24.05,16.41,8.3,17.08,8.64,0.0,8.75,8.85,18.42,9.48,28.1,37.46,0.0,26.5,11.46,10.98,10.78,10.59,10.41,10.23,10.06,9.89,9.73,9.58,9.43,9.28,9.14,9.01,8.88,8.75,8.63,8.51,8.4,8.29,8.19,8.09,8.0,7.91,7.83,7.76,7.68,7.6,7.52,7.45,7.38,7.3,7.23,7.16,7.08,7.01,6.94,6.87,6.81,6.74,6.67,6.6,6.54,6.47,6.41,6.34,6.28,6.22,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.74,5.68,5.62,5.57,5.51,5.46,5.4,5.35,5.29,5.24,5.19,5.14,5.08,5.03,4.98,4.93,4.88,4.84,4.79,4.74,4.69,4.65,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.29,4.24,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.72,3.69
4,30.18,0.0,31.14,31.0,31.11,7.71,15.31,15.34,15.57,47.45,15.75,23.85,8.18,8.31,25.59,25.89,17.05,8.69,0.0,9.21,9.4,9.3,0.0,0.0,10.63,10.24,10.1,9.96,9.83,9.7,9.57,9.45,9.32,9.21,9.09,8.98,8.87,8.76,8.65,8.55,8.45,8.35,8.26,8.16,8.07,7.99,7.9,7.82,7.74,7.66,7.59,7.51,7.43,7.36,7.29,7.21,7.14,7.07,7.0,6.93,6.86,6.79,6.72,6.66,6.59,6.52,6.46,6.39,6.33,6.27,6.2,6.14,6.08,6.02,5.96,5.9,5.84,5.78,5.73,5.67,5.61,5.56,5.5,5.44,5.39,5.34,5.28,5.23,5.18,5.13,5.07,5.02,4.97,4.92,4.87,4.83,4.78,4.73,4.68,4.64,4.59,4.54,4.5,4.45,4.41,4.36,4.32,4.28,4.23,4.19,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.75,3.72,3.68,3.64,3.61
5,37.78,7.75,31.31,0.0,31.3,7.73,15.26,15.32,15.58,7.9,7.83,31.82,8.18,16.64,34.13,8.63,0.0,0.0,8.81,9.15,0.0,0.0,9.25,10.32,9.97,9.87,9.76,9.66,9.56,9.46,9.36,9.26,9.16,9.07,8.97,8.88,8.79,8.7,8.61,8.52,8.43,8.35,8.26,8.18,8.09,8.01,7.93,7.85,7.77,7.7,7.62,7.54,7.47,7.39,7.32,7.25,7.17,7.1,7.03,6.96,6.89,6.82,6.75,6.69,6.62,6.55,6.49,6.42,6.36,6.3,6.23,6.17,6.11,6.05,5.99,5.93,5.87,5.81,5.75,5.69,5.64,5.58,5.52,5.47,5.41,5.36,5.31,5.25,5.2,5.15,5.1,5.05,5.0,4.95,4.9,4.85,4.8,4.75,4.7,4.66,4.61,4.56,4.52,4.47,4.43,4.38,4.34,4.3,4.25,4.21,4.17,4.13,4.09,4.05,4.0,3.96,3.93,3.89,3.85,3.81,3.77,3.73,3.7,3.66,3.62
6,0.0,0.0,15.79,7.83,15.74,23.07,30.47,7.67,23.37,23.58,7.84,15.94,24.52,25.02,8.56,17.19,16.9,17.29,35.05,0.0,9.27,9.18,10.22,9.89,9.8,9.71,9.62,9.53,9.44,9.36,9.27,9.18,9.1,9.01,8.93,8.84,8.76,8.68,8.59,8.51,8.43,8.35,8.27,8.19,8.11,8.03,7.95,7.87,7.79,7.71,7.63,7.56,7.48,7.41,7.33,7.26,7.19,7.11,7.04,6.97,6.9,6.83,6.77,6.7,6.63,6.56,6.5,6.43,6.37,6.31,6.24,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.7,5.65,5.59,5.53,5.48,5.42,5.37,5.32,5.26,5.21,5.16,5.11,5.05,5.0,4.95,4.9,4.86,4.81,4.76,4.71,4.66,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.3,4.26,4.22,4.18,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.78,3.74,3.7,3.66,3.63
7,15.27,7.86,31.67,15.66,15.64,15.34,15.22,15.33,7.76,15.7,15.67,16.0,8.18,8.36,17.05,0.0,8.4,17.25,17.42,9.05,36.95,10.2,9.87,9.79,9.7,9.62,9.54,9.46,9.37,9.29,9.21,9.13,9.05,8.97,8.89,8.81,8.73,8.65,8.56,8.48,8.4,8.32,8.24,8.16,8.08,8.0,7.92,7.84,7.77,7.69,7.61,7.54,7.46,7.39,7.31,7.24,7.17,7.09,7.02,6.95,6.88,6.82,6.75,6.68,6.61,6.55,6.48,6.42,6.35,6.29,6.23,6.16,6.1,6.04,5.98,5.92,5.86,5.8,5.74,5.69,5.63,5.57,5.52,5.46,5.41,5.35,5.3,5.25,5.2,5.14,5.09,5.04,4.99,4.94,4.89,4.84,4.79,4.75,4.7,4.65,4.61,4.56,4.51,4.47,4.42,4.38,4.34,4.29,4.25,4.21,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.77,3.73,3.69,3.65,3.62
8,15.32,15.78,15.83,23.4,0.0,15.32,15.22,7.63,15.51,7.84,0.0,8.01,0.0,8.32,8.5,0.0,0.0,17.16,17.32,18.03,10.21,9.88,9.8,9.72,9.64,9.55,9.47,9.39,9.31,9.23,9.14,9.06,8.98,8.9,8.82,8.74,8.66,8.58,8.5,8.42,8.34,8.26,8.18,8.1,8.02,7.94,7.86,7.78,7.7,7.62,7.55,7.47,7.4,7.32,7.25,7.18,7.11,7.03,6.96,6.89,6.83,6.76,6.69,6.62,6.56,6.49,6.43,6.36,6.3,6.24,6.17,6.11,6.05,5.99,5.93,5.87,5.81,5.75,5.7,5.64,5.58,5.53,5.47,5.42,5.36,5.31,5.26,5.2,5.15,5.1,5.05,5.0,4.95,4.9,4.85,4.8,4.75,4.71,4.66,4.61,4.57,4.52,4.48,4.43,4.39,4.34,4.3,4.26,4.21,4.17,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.77,3.73,3.7,3.66,3.62,3.59
9,15.35,23.68,15.77,23.31,0.0,30.53,15.15,7.64,15.51,0.0,15.73,8.02,8.16,16.61,8.49,8.52,8.34,8.54,17.23,10.36,10.02,9.93,9.84,9.76,9.67,9.58,9.49,9.4,9.32,9.23,9.14,9.06,8.97,8.89,8.81,8.72,8.64,8.56,8.47,8.39,8.31,8.23,8.15,8.07,7.98,7.9,7.83,7.75,7.67,7.59,7.52,7.44,7.37,7.29,7.22,7.15,7.08,7.01,6.94,6.87,6.8,6.73,6.66,6.6,6.53,6.47,6.4,6.34,6.27,6.21,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.73,5.67,5.62,5.56,5.51,5.45,5.4,5.34,5.29,5.24,5.18,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.78,4.73,4.69,4.64,4.59,4.55,4.5,4.46,4.41,4.37,4.33,4.28,4.24,4.2,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.8,3.76,3.72,3.68,3.65,3.61,3.57
