age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1171.36,1248.72,1020.75,970.83,855.97,934.06,779.77,828.43,630.74,689.86,651.38,562.54,631.44,557.63,661.23,490.59,583.64,515.53,591.7,457.58,519.33,458.36,392.72,537.21,535.73,454.09,446.27,488.96,501.37,563.68,361.72,333.01,405.25,354.64,461.3,496.99,380.11,436.44,463.21,403.75,434.07,394.86,319.03,403.41,282.44,248.7,242.38,236.43,230.85,225.62,220.72,216.13,211.84,207.83,204.07,200.56,197.26,194.17,191.26,188.53,185.95,183.51,181.19,178.98,176.86,174.82,172.85,170.94,169.06,167.21,165.38,163.57,161.79,160.02,158.27,156.54,154.83,153.14,151.46,149.81,148.17,146.55,144.95,143.36,141.8,140.25,138.71,137.2,135.7,134.21,132.75,131.29,129.86,128.44
1,67.52,91.72,77.08,76.64,38.0,37.63,22.52,75.93,117.45,63.33,71.2,32.12,16.53,33.44,25.67,60.67,33.7,60.8,62.16,27.88,38.34,38.47,38.58,28.04,36.3,44.41,42.54,56.75,16.16,24.26,32.12,24.26,24.78,16.8,8.42,8.49,17.34,8.84,9.1,18.77,0.0,0.0,20.03,14.9,13.22,12.84,12.49,12.16,11.85,11.56,11.3,11.05,10.82,10.61,10.41,10.23,10.06,9.9,9.75,9.61,9.48,9.35,9.24,9.12,9.02,8.92,8.82,8.72,8.62,8.53,8.44,8.34,8.25,8.16,8.07,7.98,7.9,7.81,7.73,7.64,7.56,7.47,7.39,7.31,7.23,7.15,7.07,7.0,6.92,6.84,6.77,6.7,6.62,6.55
2,22.59,38.37,46.45,69.17,30.64,53.18,22.74,45.96,54.73,23.79,31.56,40.11,16.53,24.87,34.21,43.27,8.46,8.7,8.87,18.51,9.56,28.73,0.0,9.28,0.0,8.81,16.92,16.12,0.0,8.07,16.05,8.06,8.2,8.37,25.15,16.88,8.61,0.0,18.08,18.5,0.0,0.0,5.27,6.97,6.77,6.58,6.41,6.25,6.1,5.96,5.83,5.71,5.6,5.5,5.4,5.31,5.23,5.15,5.08,5.01,4.94,4.88,4.82,4.77,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.31,4.27,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.91,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42
3,15.08,15.39,46.54,30.86,54.06,45.96,7.64,15.37,31.21,55.34,31.54,24.05,16.41,8.3,17.08,8.64,0.0,8.72,8.82,18.45,9.52,28.56,37.93,0.0,26.98,8.79,8.44,8.06,8.05,0.0,0.0,0.0,8.17,0.0,0.0,8.41,8.61,0.0,0.0,0.0,9.33,6.12,5.07,4.93,4.79,4.67,4.55,4.44,4.34,4.25,4.16,4.08,4.01,3.94,3.87,3.81,3.76,3.7,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.36,3.32,3.29,3.25,3.22,3.18,3.15,3.11,3.08,3.04,3.01,2.98,2.95,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.53,2.5,2.47
4,30.18,0.0,31.14,31.0,31.11,7.71,15.31,15.34,15.57,47.45,15.75,23.85,8.18,8.31,25.59,25.89,16.98,8.66,0.0,9.2,9.45,9.44,0.0,0.0,27.12,17.59,8.43,8.08,24.17,8.08,15.97,0.0,8.17,8.33,8.32,0.0,17.23,8.69,0.0,0.0,4.33,5.72,5.55,5.4,5.26,5.13,5.01,4.9,4.8,4.7,4.61,4.53,4.45,4.38,4.31,4.24,4.18,4.13,4.07,4.02,3.98,3.93,3.88,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02,2.98,2.95,2.92,2.89,2.85,2.82,2.79,2.76
5,37.78,7.75,31.31,0.0,31.3,7.73,15.26,15.32,15.58,7.9,7.83,31.82,8.18,16.64,34.13,8.76,0.0,0.0,8.78,9.15,0.0,0.0,9.35,18.46,0.0,26.47,16.91,0.0,16.09,0.0,15.95,8.01,16.32,0.0,8.33,0.0,25.6,8.6,0.0,5.3,7.0,6.8,6.61,6.44,6.29,6.14,6.01,5.88,5.76,5.65,5.55,5.46,5.37,5.29,5.21,5.13,5.07,5.0,4.94,4.88,4.82,4.77,4.72,4.66,4.61,4.56,4.51,4.46,4.41,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35
6,0.0,0.0,15.79,7.83,15.74,23.07,30.47,7.67,23.37,23.58,7.84,15.94,24.52,25.02,8.56,17.49,16.96,17.31,34.97,0.0,9.34,9.35,0.0,9.23,0.0,0.0,8.48,8.08,16.11,16.14,31.81,0.0,8.15,8.32,8.32,8.33,8.47,8.55,7.62,7.34,7.13,6.93,6.75,6.59,6.44,6.3,6.17,6.05,5.93,5.83,5.73,5.64,5.55,5.47,5.39,5.32,5.25,5.19,5.13,5.07,5.01,4.96,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48
7,15.27,7.86,31.67,15.66,15.64,15.34,15.22,15.33,7.76,15.7,15.67,16.0,8.18,8.31,17.09,0.0,8.46,17.24,17.39,9.05,37.09,0.0,9.36,0.0,9.1,8.84,0.0,16.15,0.0,8.04,7.94,7.98,0.0,8.32,0.0,0.0,16.81,8.81,6.24,6.06,5.9,5.75,5.61,5.48,5.36,5.25,5.15,5.06,4.97,4.89,4.81,4.74,4.67,4.6,4.54,4.48,4.43,4.38,4.33,4.28,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47,3.43,3.39,3.36,3.32,3.28,3.25,3.21,3.18,3.14,3.11,3.07,3.04,3.01,2.97,2.94
8,15.32,15.78,15.83,23.4,0.0,15.32,15.22,7.63,15.51,7.84,0.0,8.01,0.0,8.3,8.53,0.0,0.0,17.15,17.29,18.02,18.52,0.0,18.72,18.44,0.0,17.61,16.9,8.07,8.02,16.04,7.91,7.98,0.0,0.0,0.0,8.2,5.6,4.78,4.64,4.52,4.41,4.3,4.2,4.11,4.03,3.95,3.88,3.82,3.75,3.69,3.64,3.59,3.54,3.49,3.45,3.4,3.36,3.33,3.29,3.25,3.22,3.18,3.15,3.11,3.08,3.04,3.01,2.98,2.94,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.52,2.5,2.47,2.44,2.42,2.39,2.36,2.34,2.31,2.29,2.26,2.24
9,15.35,23.68,15.77,23.31,0.0,30.53,15.15,7.64,15.51,0.0,15.73,8.01,8.22,16.58,8.5,8.61,8.42,8.52,17.23,27.01,18.52,0.0,0.0,18.37,9.02,0.0,8.43,0.0,0.0,0.0,0.0,0.0,8.09,0.0,0.0,2.54,3.36,3.27,3.18,3.1,3.03,2.96,2.9,2.84,2.79,2.74,2.69,2.65,2.61,2.57,2.53,2.5,2.46,2.43,2.4,2.38,2.35,2.32,2.3,2.27,2.25,2.22,2.2,2.17,2.15,2.13,2.1,2.08,2.06,2.03,2.01,1.99,1.97,1.95,1.93,1.9,1.88,1.86,1.84,1.82,1.8,1.78,1.76,1.74,1.72,1.71,1.69,1.67,1.65,1.63,1.61,1.6,1.58,1.56
