,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105
0,1021.52,974.35,841.47,889.18,868.22,771.75,718.83,679.37,715.32,668.21,536.57,569.01,552.11,559.11,603.71,553.32,448.29,489.8,424.17,506.44,523.86,411.78,467.36,406.02,474.9,379.88,421.75,386.05,426.25,418.97,414.55,410.18,405.87,401.61,397.4,393.25,389.14,385.09,381.08,377.13,373.22,369.37,365.56,361.8,358.08,354.42,350.8,347.23,343.7,340.22,336.79,333.41,330.07,326.78,323.52,320.29,317.09,313.92,310.79,307.69,304.61,301.57,298.56,295.58,292.63,289.71,286.82,283.95,281.12,278.31,275.53,272.78,270.05,267.36,264.69,262.04,259.43,256.84,254.27,251.73,249.22,246.73,244.27,241.83,239.41,237.02,234.65,232.31,229.99,227.69,225.42,223.17,220.94,218.73,216.55,214.38,212.24,210.12,208.02,205.94,203.89,201.85,199.83,197.84,195.86,193.9,191.97,190.05,188.15,186.27,184.41,182.57,180.74,178.94,177.15,175.38,173.63,171.89,170.18,168.48,166.79,165.13,163.48,161.84,160.23
1,57.7,55.73,69.61,74.03,75.27,59.13,31.47,65.75,38.28,80.12,59.33,49.47,44.59,32.81,27.35,34.98,31.37,32.19,29.53,31.04,43.02,39.67,27.37,53.55,52.61,51.42,21.35,32.8,31.73,30.92,30.15,29.41,28.7,28.03,27.38,26.77,26.19,25.63,25.1,24.59,24.11,23.65,23.22,22.81,22.42,22.06,21.72,21.4,21.1,20.83,20.59,20.37,20.17,19.97,19.77,19.57,19.38,19.18,18.99,18.8,18.61,18.43,18.24,18.06,17.88,17.7,17.52,17.35,17.17,17.0,16.83,16.66,16.5,16.33,16.17,16.01,15.85,15.69,15.53,15.38,15.22,15.07,14.92,14.77,14.62,14.48,14.33,14.19,14.05,13.91,13.77,13.63,13.49,13.36,13.23,13.09,12.96,12.83,12.7,12.58,12.45,12.33,12.2,12.08,11.96,11.84,11.72,11.61,11.49,11.37,11.26,11.15,11.04,10.93,10.82,10.71,10.6,10.5,10.39,10.29,10.18,10.08,9.98,9.88,9.78
2,36.63,59.01,38.27,38.83,41.04,31.38,56.48,25.01,28.75,61.03,34.34,18.57,15.95,16.49,17.16,24.51,21.01,21.56,14.85,38.8,19.49,3.94,11.67,22.86,14.92,18.3,21.9,21.26,20.78,20.32,19.88,19.46,19.06,18.67,18.3,17.94,17.6,17.28,16.96,16.67,16.38,16.11,15.85,15.6,15.37,15.15,14.94,14.75,14.57,14.4,14.25,14.11,13.97,13.83,13.69,13.55,13.42,13.28,13.15,13.02,12.89,12.76,12.63,12.51,12.38,12.26,12.14,12.01,11.89,11.78,11.66,11.54,11.43,11.31,11.2,11.09,10.98,10.87,10.76,10.65,10.54,10.44,10.33,10.23,10.13,10.03,9.93,9.83,9.73,9.63,9.53,9.44,9.35,9.25,9.16,9.07,8.98,8.89,8.8,8.71,8.62,8.54,8.45,8.37,8.28,8.2,8.12,8.04,7.96,7.88,7.8,7.72,7.64,7.57,7.49,7.42,7.34,7.27,7.2,7.12,7.05,6.98,6.91,6.84,6.78
3,24.49,46.9,35.26,22.8,25.49,34.46,28.18,34.41,25.61,25.67,18.72,18.61,22.43,13.24,24.1,24.55,7.04,10.82,18.55,19.33,27.08,7.84,11.63,15.14,18.62,16.52,16.12,15.82,15.54,15.27,15.01,14.75,14.51,14.27,14.04,13.82,13.6,13.4,13.2,13.01,12.82,12.64,12.47,12.31,12.15,12.0,11.86,11.72,11.59,11.47,11.36,11.25,11.13,11.02,10.91,10.8,10.69,10.59,10.48,10.38,10.27,10.17,10.07,9.97,9.87,9.77,9.67,9.58,9.48,9.38,9.29,9.2,9.11,9.01,8.92,8.84,8.75,8.66,8.57,8.49,8.4,8.32,8.24,8.15,8.07,7.99,7.91,7.83,7.75,7.68,7.6,7.52,7.45,7.37,7.3,7.23,7.15,7.08,7.01,6.94,6.87,6.8,6.74,6.67,6.6,6.54,6.47,6.41,6.34,6.28,6.22,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.74,5.68,5.62,5.56,5.51,5.45,5.4
4,15.4,9.4,16.08,16.4,19.1,9.38,28.19,12.53,32.03,9.61,15.63,12.46,12.88,9.97,13.8,14.07,17.67,21.64,14.82,15.37,30.82,11.71,15.4,3.77,13.65,13.37,13.18,13.0,12.82,12.65,12.48,12.31,12.15,11.99,11.84,11.69,11.54,11.4,11.26,11.12,10.99,10.86,10.74,10.61,10.5,10.38,10.27,10.16,10.06,9.96,9.86,9.76,9.66,9.57,9.47,9.38,9.28,9.19,9.1,9.01,8.92,8.83,8.74,8.65,8.57,8.48,8.39,8.31,8.23,8.15,8.06,7.98,7.9,7.82,7.75,7.67,7.59,7.52,7.44,7.37,7.29,7.22,7.15,7.08,7.01,6.94,6.87,6.8,6.73,6.66,6.6,6.53,6.46,6.4,6.34,6.27,6.21,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.73,5.67,5.62,5.56,5.5,5.45,5.39,5.34,5.29,5.23,5.18,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.78,4.73,4.69
5,12.36,22.03,19.4,13.11,19.05,12.5,21.95,43.84,9.6,12.82,59.47,25.03,9.7,16.67,10.38,10.56,10.61,14.42,11.05,15.33,11.54,7.77,3.84,11.3,11.11,10.99,10.87,10.75,10.64,10.53,10.41,10.3,10.2,10.09,9.98,9.88,9.77,9.67,9.57,9.47,9.38,9.28,9.18,9.09,9.0,8.91,8.82,8.73,8.64,8.56,8.47,8.39,8.3,8.22,8.14,8.05,7.97,7.89,7.82,7.74,7.66,7.58,7.51,7.43,7.36,7.28,7.21,7.14,7.07,7.0,6.93,6.86,6.79,6.72,6.65,6.59,6.52,6.46,6.39,6.33,6.27,6.2,6.14,6.08,6.02,5.96,5.9,5.84,5.78,5.72,5.67,5.61,5.55,5.5,5.44,5.39,5.33,5.28,5.23,5.18,5.12,5.07,5.02,4.97,4.92,4.87,4.82,4.78,4.73,4.68,4.63,4.59,4.54,4.5,4.45,4.41,4.36,4.32,4.28,4.23,4.19,4.15,4.11,4.07,4.03
6,12.41,18.98,9.68,9.81,12.71,15.64,15.67,15.64,16.0,3.21,25.12,28.2,12.96,13.39,10.4,21.17,3.53,10.74,0.0,19.14,11.48,3.87,10.09,9.93,9.84,9.75,9.66,9.57,9.48,9.39,9.31,9.22,9.13,9.05,8.96,8.88,8.79,8.71,8.63,8.54,8.46,8.38,8.3,8.22,8.14,8.05,7.97,7.89,7.82,7.74,7.66,7.58,7.51,7.43,7.36,7.28,7.21,7.14,7.07,7.0,6.93,6.86,6.79,6.72,6.65,6.59,6.52,6.46,6.39,6.33,6.27,6.2,6.14,6.08,6.02,5.96,5.9,5.84,5.78,5.72,5.67,5.61,5.55,5.5,5.44,5.39,5.33,5.28,5.23,5.18,5.12,5.07,5.02,4.97,4.92,4.87,4.82,4.78,4.73,4.68,4.63,4.59,4.54,4.5,4.45,4.41,4.36,4.32,4.28,4.23,4.19,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.75,3.72,3.68,3.64
7,6.23,9.45,6.44,16.36,19.04,15.63,3.13,3.13,6.42,12.87,12.58,18.83,3.25,13.41,3.47,7.03,0.0,7.13,0.0,3.81,19.06,9.42,9.28,9.2,9.12,9.04,8.97,8.89,8.81,8.73,8.66,8.58,8.5,8.43,8.35,8.28,8.2,8.13,8.05,7.97,7.9,7.82,7.75,7.67,7.6,7.52,7.45,7.37,7.3,7.23,7.15,7.08,7.01,6.94,6.87,6.8,6.74,6.67,6.6,6.54,6.47,6.41,6.34,6.28,6.21,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.73,5.68,5.62,5.56,5.51,5.45,5.4,5.35,5.29,5.24,5.19,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.79,4.74,4.69,4.64,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.28,4.24,4.2,4.16,4.12,4.07,4.03,3.99,3.95,3.91,3.88,3.84,3.8,3.76,3.72,3.69,3.65,3.61,3.58,3.54,3.5,3.47,3.43,3.4
8,18.64,12.58,16.11,9.81,12.66,0.0,6.26,12.57,12.87,12.88,9.44,3.15,9.78,10.06,17.29,14.0,10.5,3.56,7.29,7.6,8.91,8.78,8.7,8.63,8.55,8.48,8.41,8.34,8.26,8.19,8.12,8.05,7.97,7.9,7.83,7.76,7.69,7.62,7.55,7.47,7.4,7.33,7.26,7.19,7.12,7.05,6.98,6.91,6.84,6.77,6.7,6.63,6.57,6.5,6.44,6.37,6.31,6.25,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.71,5.65,5.59,5.54,5.48,5.43,5.37,5.32,5.27,5.21,5.16,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.76,4.71,4.67,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.31,4.26,4.22,4.18,4.14,4.1,4.05,4.01,3.97,3.93,3.89,3.86,3.82,3.78,3.74,3.7,3.67,3.63,3.59,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.32,3.28,3.25,3.22,3.19
9,3.1,12.58,6.45,19.59,6.3,12.47,15.67,12.59,25.78,6.44,3.15,9.46,6.52,20.09,17.22,6.98,6.99,10.64,7.27,8.6,8.46,8.39,8.31,8.24,8.16,8.09,8.01,7.94,7.87,7.79,7.72,7.65,7.58,7.51,7.43,7.36,7.29,7.22,7.15,7.09,7.02,6.95,6.88,6.81,6.74,6.67,6.61,6.54,6.48,6.41,6.35,6.28,6.22,6.16,6.1,6.04,5.98,5.92,5.86,5.8,5.74,5.68,5.63,5.57,5.51,5.46,5.4,5.35,5.3,5.24,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.84,4.79,4.74,4.7,4.65,4.6,4.56,4.51,4.47,4.42,4.38,4.33,4.29,4.25,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.73,3.69,3.65,3.62,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.34,3.3,3.27,3.24,3.2,3.17,3.14,3.11,3.08,3.05,3.02
