age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1021.96,975.93,841.75,888.91,868.16,771.09,719.51,678.65,715.01,667.78,536.58,569.97,553.16,558.73,603.83,553.99,448.78,490.37,424.64,506.36,525.0,411.65,467.25,405.21,474.77,379.64,421.29,386.5,321.02,342.14,347.04,295.94,322.61,351.76,283.2,330.13,286.78,323.1,251.99,286.74,412.29,329.88,308.99,297.98,261.76,251.09,244.57,238.44,232.69,227.32,222.29,217.58,213.19,209.09,205.25,201.66,198.31,195.16,192.21,189.44,186.82,184.35,182.01,179.78,177.65,175.6,173.62,171.69,169.81,167.95,166.11,164.3,162.5,160.73,158.97,157.23,155.51,153.81,152.13,150.47,148.82,147.2,145.59,144.0,142.42,140.86,139.32,137.8,136.29,134.8,133.33,131.87,130.43,129.01
1,57.7,55.73,69.61,74.03,75.27,59.13,31.47,65.75,38.28,80.12,59.33,49.47,44.59,32.81,27.35,34.98,31.37,32.19,29.53,31.04,42.82,39.61,27.44,53.59,52.73,51.53,21.43,17.22,24.02,31.03,31.35,24.81,10.81,22.07,29.55,11.3,27.27,27.76,28.47,25.33,12.91,34.07,17.18,18.09,18.3,17.81,17.35,16.92,16.52,16.14,15.79,15.47,15.16,14.88,14.61,14.36,14.13,13.92,13.71,13.52,13.34,13.17,13.01,12.85,12.7,12.56,12.42,12.28,12.15,12.02,11.88,11.75,11.63,11.5,11.37,11.25,11.12,11.0,10.88,10.76,10.65,10.53,10.41,10.3,10.19,10.08,9.97,9.86,9.75,9.64,9.54,9.43,9.33,9.23
2,36.63,59.01,38.27,38.83,41.04,31.38,56.48,25.01,28.75,61.03,34.34,18.57,15.95,16.49,17.16,24.51,21.01,21.56,14.85,38.56,19.38,3.94,11.71,22.95,14.97,18.35,32.15,27.64,10.29,10.36,20.9,10.6,10.77,10.95,11.07,0.0,23.26,15.91,8.08,8.33,16.68,29.11,17.02,13.09,12.75,12.43,12.13,11.85,11.59,11.34,11.11,10.9,10.7,10.51,10.33,10.17,10.02,9.87,9.73,9.61,9.48,9.37,9.26,9.15,9.05,8.94,8.85,8.75,8.65,8.56,8.47,8.37,8.28,8.19,8.1,8.01,7.92,7.84,7.75,7.67,7.58,7.5,7.42,7.34,7.26,7.18,7.1,7.02,6.94,6.87,6.79,6.72,6.65,6.57
3,24.49,46.9,35.26,22.8,25.49,34.46,28.18,34.41,25.61,25.67,18.72,18.61,22.43,13.24,24.1,24.55,7.04,10.82,18.46,19.17,26.97,7.84,11.69,15.22,18.67,18.32,10.74,10.37,10.3,6.91,3.48,3.53,17.84,10.95,18.45,14.97,7.77,3.98,3.99,24.24,8.15,9.48,9.94,9.72,9.48,9.26,9.05,8.85,8.67,8.5,8.34,8.19,8.05,7.92,7.79,7.68,7.57,7.46,7.37,7.27,7.18,7.1,7.02,6.94,6.86,6.79,6.71,6.64,6.56,6.49,6.42,6.35,6.28,6.21,6.15,6.08,6.01,5.95,5.88,5.82,5.75,5.69,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.21,5.15,5.1,5.04,4.99
4,15.4,9.4,16.08,16.4,19.1,9.38,28.19,12.53,32.03,9.61,15.63,12.46,12.88,9.97,13.8,14.07,17.67,21.53,14.7,15.22,30.59,11.72,15.5,3.8,3.72,3.66,10.75,6.92,13.79,3.45,13.9,10.53,3.56,3.65,3.68,3.75,7.76,19.78,15.5,3.96,7.0,8.03,7.91,7.74,7.57,7.4,7.25,7.1,6.96,6.83,6.71,6.6,6.5,6.4,6.3,6.21,6.13,6.05,5.97,5.9,5.83,5.76,5.7,5.64,5.57,5.51,5.45,5.39,5.33,5.28,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.73,4.67,4.62,4.57,4.52,4.47,4.42,4.38,4.33,4.28,4.23,4.19,4.14,4.1,4.05
5,12.36,22.03,19.4,13.11,19.05,12.5,21.95,43.84,9.6,12.82,59.47,25.03,9.7,16.67,10.38,10.56,10.56,14.33,10.97,15.13,11.44,7.78,3.87,7.59,11.15,7.31,17.95,0.0,6.9,3.45,17.31,17.52,3.56,3.64,3.68,3.74,3.85,7.7,7.61,6.97,6.82,6.74,6.65,6.52,6.38,6.25,6.13,6.01,5.9,5.8,5.71,5.62,5.53,5.45,5.38,5.3,5.24,5.17,5.11,5.05,4.99,4.93,4.88,4.83,4.77,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.32,4.28,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47
6,12.41,18.98,9.68,9.81,12.71,15.64,15.67,15.64,16.0,3.21,25.12,28.2,12.96,13.39,10.4,21.09,3.5,10.67,0.0,18.82,11.36,3.87,7.73,3.79,7.43,3.66,0.0,6.92,3.45,3.44,3.46,21.0,10.63,3.64,3.67,3.7,3.75,11.34,7.35,6.09,6.02,5.95,5.87,5.77,5.65,5.54,5.44,5.35,5.26,5.17,5.09,5.02,4.95,4.88,4.81,4.75,4.69,4.64,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12
7,6.23,9.45,6.44,16.36,19.04,15.63,3.13,3.13,6.42,12.87,12.58,18.83,3.25,13.41,3.46,7.0,0.0,7.07,0.0,3.73,18.81,11.59,0.0,0.0,11.18,14.63,3.59,3.46,3.44,0.0,3.45,10.45,10.63,3.63,3.63,3.61,3.68,5.17,5.69,5.63,5.58,5.52,5.45,5.36,5.26,5.17,5.08,4.99,4.92,4.84,4.77,4.7,4.64,4.58,4.52,4.47,4.41,4.36,4.31,4.26,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.9,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.38,3.35,3.31,3.27,3.24,3.2,3.17,3.13,3.1,3.07,3.03,3.0,2.97,2.93
8,18.64,12.58,16.11,9.81,12.66,0.0,6.26,12.57,12.87,12.88,9.44,3.15,9.78,10.03,17.21,13.92,10.38,3.52,7.18,7.42,7.5,0.0,19.3,11.36,0.0,3.65,0.0,3.44,3.43,10.27,3.43,17.4,7.06,3.58,3.54,3.55,5.07,5.61,5.55,5.5,5.44,5.39,5.33,5.24,5.15,5.07,4.99,4.91,4.84,4.77,4.7,4.64,4.58,4.52,4.47,4.42,4.37,4.32,4.27,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31,3.28,3.24,3.21,3.17,3.14,3.1,3.07,3.03,3.0,2.97,2.94,2.9
9,3.1,12.58,6.45,19.59,6.3,12.47,15.67,12.59,25.78,6.44,3.15,9.46,6.49,20.0,17.14,6.92,6.88,10.48,7.14,7.38,7.47,3.85,3.84,3.79,3.73,0.0,7.13,10.3,3.43,0.0,6.86,0.0,3.49,7.01,3.49,5.21,5.81,5.75,5.69,5.64,5.59,5.54,5.48,5.4,5.31,5.23,5.15,5.08,5.01,4.94,4.88,4.81,4.76,4.7,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.29,4.25,4.2,4.15,4.11,4.06,4.02,3.98,3.93,3.89,3.85,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.45,3.41,3.37,3.33,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.05,3.02
10,18.56,9.47,16.14,13.02,22.01,9.37,12.55,3.15,9.68,19.32,3.15,12.53,12.95,6.64,13.64,13.76,6.84,17.39,10.67,7.35,11.18,3.83,0.0,3.77,3.73,0.0,7.11,6.86,10.23,3.4,3.41,3.43,10.27,10.36,7.2,6.21,6.15,6.09,6.04,5.98,5.93,5.88,5.82,5.74,5.66,5.57,5.5,5.42,5.35,5.28,5.21,5.15,5.09,5.03,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.24
