age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,951.6,953.93,891.41,847.91,829.97,808.33,791.25,767.84,723.87,686.61,632.2,571.97,563.5,539.7,541.39,540.93,524.09,498.1,508.3,504.19,500.89,458.21,486.25,468.39,441.7,456.04,435.24,419.53,418.63,404.91,368.83,361.99,347.34,361.73,335.72,357.05,354.16,353.11,354.02,344.75,364.56,346.77,361.26,381.8,292.96,266.72,259.84,253.85,248.19,242.33,236.95,231.97,227.34,223.18,219.25,215.19,211.48,208.36,205.35,202.35,199.61,197.0,194.59,192.12,189.62,187.57,185.52,183.66,181.51,179.33,177.55,175.68,173.69,171.94,170.11,168.13,166.18,164.28,162.6,160.93,159.03,157.35,155.74,153.98,152.49,150.63,148.65,147.22,145.74,144.2,142.85,141.48,139.7,137.72
1,67.4,65.59,66.92,77.48,67.01,64.99,57.05,57.65,60.32,58.32,50.67,44.7,47.9,45.65,42.42,39.26,42.29,39.05,32.22,34.15,36.49,39.09,36.51,37.88,40.52,32.71,32.31,25.05,30.3,30.55,26.52,29.92,21.25,26.4,27.05,16.99,24.48,24.01,16.88,19.89,23.63,22.01,16.33,17.52,18.29,17.76,17.35,16.47,15.88,15.65,15.52,15.56,15.04,14.03,13.91,13.9,13.62,13.58,13.5,13.03,12.54,12.68,12.91,12.94,12.64,12.44,12.57,12.54,12.3,11.41,10.62,10.87,11.09,11.02,10.96,10.84,10.65,10.68,10.64,10.6,10.77,10.85,10.92,10.86,10.48,10.09,9.85,9.96,9.69,8.99,9.01,9.15,8.99,9.06
2,41.14,36.52,37.35,38.87,37.94,39.24,35.94,26.46,35.31,31.43,27.31,28.67,22.45,28.74,24.75,25.87,29.84,16.66,20.88,18.92,23.22,19.08,16.25,20.4,17.38,19.89,19.89,13.84,15.4,11.09,14.49,13.9,12.41,15.54,14.86,8.51,15.8,11.19,13.14,12.89,14.92,13.54,12.44,12.17,11.92,11.61,11.19,10.79,10.46,10.2,10.08,9.95,9.74,9.59,9.43,9.34,9.15,8.96,8.92,8.8,8.61,8.42,8.31,8.3,8.22,8.15,8.17,8.04,7.92,7.9,7.81,7.72,7.64,7.39,7.22,7.22,7.12,7.02,7.0,7.05,6.92,6.79,6.82,6.76,6.69,6.62,6.44,6.27,6.09,6.0,6.0,5.99,5.9,5.72
3,25.79,29.56,27.49,28.51,32.62,29.27,26.42,20.84,22.56,23.77,18.47,18.94,16.23,16.99,16.88,17.86,18.86,18.14,12.56,17.04,15.23,13.18,15.33,15.43,17.36,15.41,13.42,10.94,11.7,11.3,11.4,10.6,10.06,9.23,10.9,10.38,8.19,7.85,8.39,11.68,9.51,8.93,8.58,8.48,8.17,7.84,7.56,7.38,7.26,7.14,7.01,6.87,6.81,6.66,6.58,6.49,6.4,6.3,6.11,6.0,5.9,5.8,5.78,5.77,5.77,5.78,5.63,5.5,5.52,5.48,5.45,5.34,5.15,5.13,5.18,4.99,4.78,4.83,4.88,4.74,4.6,4.62,4.65,4.67,4.59,4.33,4.16,4.16,4.16,4.16,4.16,4.16,4.07,3.97
4,19.79,24.84,21.73,22.8,25.68,17.48,21.25,14.78,17.0,14.26,14.04,13.15,12.72,10.43,11.52,15.01,14.66,15.73,14.23,13.69,8.78,12.24,10.2,12.51,13.36,9.88,10.17,9.09,9.59,7.43,8.09,9.32,8.26,5.02,7.71,7.2,4.92,8.52,8.71,7.06,7.09,7.0,6.87,6.71,6.53,6.42,6.29,6.02,5.75,5.62,5.56,5.5,5.35,5.28,5.28,5.2,5.02,4.85,4.75,4.73,4.71,4.69,4.67,4.66,4.66,4.51,4.37,4.38,4.41,4.44,4.31,4.11,4.08,4.12,4.0,3.79,3.75,3.78,3.73,3.67,3.7,3.63,3.56,3.58,3.5,3.42,3.42,3.42,3.43,3.43,3.42,3.33,3.24,3.24
5,17.74,18.82,16.58,19.36,14.62,16.9,12.65,16.9,14.08,15.84,15.08,13.42,12.45,11.8,12.39,12.45,11.51,12.51,10.11,8.3,10.27,8.84,9.29,11.33,8.23,7.94,10.95,8.03,7.23,6.39,6.81,8.06,10.33,8.45,4.26,5.07,10.46,5.09,5.59,6.46,6.31,6.14,6.05,5.87,5.75,5.63,5.42,5.15,5.02,5.05,4.91,4.69,4.62,4.63,4.47,4.3,4.29,4.28,4.26,4.24,4.22,4.21,4.19,4.11,3.95,3.8,3.73,3.75,3.77,3.71,3.58,3.46,3.41,3.45,3.4,3.36,3.31,3.26,3.29,3.31,3.25,3.18,3.19,3.12,3.04,3.05,3.05,3.05,3.05,3.05,2.96,2.87,2.87,2.87
6,16.03,16.25,16.26,15.34,15.69,15.8,14.8,12.67,13.0,13.45,11.7,13.94,12.16,9.63,12.94,11.83,10.32,11.6,10.36,10.64,9.31,8.82,7.78,8.41,7.66,8.75,7.47,8.26,6.95,7.13,8.06,7.81,9.56,4.76,6.39,6.55,7.07,8.92,6.38,5.83,5.6,5.49,5.37,5.25,5.12,5.08,5.02,4.9,4.77,4.64,4.5,4.36,4.21,4.06,3.98,3.97,3.96,3.87,3.78,3.76,3.74,3.73,3.64,3.55,3.48,3.4,3.41,3.42,3.36,3.31,3.25,3.2,3.24,3.27,3.23,3.1,3.04,3.07,3.1,3.13,3.06,2.99,2.92,2.84,2.85,2.86,2.86,2.86,2.86,2.87,2.86,2.77,2.68,2.68
7,16.57,13.66,13.39,15.88,12.93,11.99,9.41,11.08,8.49,11.34,11.7,9.46,8.39,11.28,9.25,8.12,8.04,10.15,6.59,7.93,9.57,7.28,8.06,4.35,8.2,6.82,8.78,8.24,5.39,6.87,6.04,6.3,4.65,6.08,5.76,5.12,7.7,6.15,5.64,5.34,5.17,5.12,4.99,4.79,4.72,4.68,4.54,4.34,4.21,4.15,4.01,3.87,3.8,3.81,3.73,3.64,3.56,3.46,3.45,3.44,3.42,3.41,3.4,3.39,3.39,3.32,3.25,3.18,3.12,3.14,3.16,3.19,3.15,3.02,2.97,3.0,3.03,3.06,3.0,2.86,2.79,2.81,2.82,2.83,2.84,2.85,2.85,2.76,2.68,2.68,2.59,2.5,2.5,2.49
8,12.61,13.35,14.21,13.31,10.17,10.08,9.13,8.97,10.08,8.7,10.13,10.0,13.25,9.59,9.47,8.07,6.63,10.96,6.55,8.76,6.84,10.28,6.57,7.22,6.75,6.81,7.7,3.85,7.18,7.11,5.28,5.54,6.71,4.94,5.89,7.29,5.7,5.48,5.23,4.99,4.88,4.76,4.62,4.55,4.4,4.2,4.07,4.02,3.89,3.75,3.77,3.78,3.79,3.64,3.48,3.47,3.47,3.45,3.44,3.42,3.41,3.4,3.39,3.38,3.3,3.15,3.08,3.09,3.11,3.13,3.15,3.1,2.97,2.93,2.96,2.99,3.02,2.97,2.82,2.76,2.78,2.8,2.81,2.82,2.83,2.84,2.75,2.58,2.49,2.49,2.49,2.49,2.49,2.49
9,13.44,15.59,14.21,11.32,10.98,9.53,12.08,11.61,11.66,8.41,8.58,9.99,8.08,10.35,7.21,8.05,5.23,7.54,10.2,11.04,7.7,5.74,6.23,6.6,7.0,6.25,7.41,4.61,6.91,4.56,4.27,5.03,7.11,5.35,5.54,5.6,5.36,5.21,5.08,4.98,4.8,4.67,4.6,4.46,4.31,4.19,4.06,3.93,3.87,3.82,3.75,3.77,3.7,3.62,3.62,3.54,3.45,3.44,3.43,3.41,3.4,3.39,3.38,3.37,3.29,3.22,3.23,3.16,3.1,3.12,3.14,3.09,3.05,3.0,2.95,2.98,3.01,2.96,2.9,2.84,2.77,2.79,2.8,2.81,2.82,2.83,2.74,2.66,2.66,2.57,2.48,2.48,2.48,2.48
