,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1096.69,993.54,1041.97,781.23,771.61,765.87,800.61,601.82,728.29,561.64,536.03,567.84,471.61,486.81,537.57,517.36,509.2,515.28,561.41,442.7,483.22,431.3,354.59,482.77,347.68,366.9,408.18,347.24,434.25,367.54,315.15,340.48,376.45,277.02,275.36,247.56,278.67,300.11,237.52,235.87,230.57,225.52,220.71,216.13,211.76,207.59,203.62,199.83,196.21,192.77,189.48,186.34,183.35,180.49,177.77,175.17,172.68,170.3,168.03,165.85,163.76,161.75,159.81,157.89,156.0,154.13,152.28,150.45,148.65,146.87,145.11,143.37,141.65,139.95,138.27,136.61,134.98,133.36,131.76,130.18,128.62,127.08,125.55,124.05,122.56,121.09,119.64,118.2
1,80.36,93.66,92.87,92.98,94.89,72.26,48.68,84.94,43.02,54.02,74.87,32.42,61.55,40.05,58.9,48.06,41.39,42.21,12.42,25.61,32.51,26.87,52.9,12.85,43.67,24.45,29.73,17.31,29.19,34.46,16.9,34.42,5.92,18.14,6.06,18.18,43.38,27.47,27.29,26.68,26.09,25.54,25.01,24.51,24.03,23.57,23.13,22.72,22.32,21.94,21.58,21.23,20.9,20.59,20.29,20.0,19.72,19.46,19.21,18.97,18.73,18.51,18.29,18.07,17.85,17.63,17.42,17.21,17.01,16.8,16.6,16.4,16.21,16.01,15.82,15.63,15.44,15.26,15.07,14.89,14.71,14.54,14.36,14.19,14.02,13.85,13.69,13.52
2,34.6,35.12,40.39,52.08,38.77,27.45,16.08,15.86,37.78,43.14,26.67,21.52,22.3,56.87,29.26,11.92,29.34,17.95,30.79,12.65,12.9,13.32,13.17,0.0,24.83,6.06,17.73,0.0,17.46,11.43,28.01,11.39,23.47,12.0,23.95,11.97,9.65,9.56,9.33,9.11,8.91,8.71,8.52,8.34,8.17,8.01,7.86,7.71,7.58,7.45,7.32,7.2,7.09,6.98,6.88,6.79,6.69,6.61,6.52,6.44,6.36,6.29,6.21,6.14,6.06,5.99,5.92,5.85,5.78,5.71,5.64,5.57,5.51,5.44,5.37,5.31,5.25,5.18,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.71,4.65,4.59
3,40.32,40.89,34.5,28.77,32.94,43.64,42.79,26.24,10.79,16.19,16.0,32.23,11.11,22.72,11.66,11.84,0.0,5.94,12.19,0.0,0.0,13.27,6.55,6.35,18.53,12.04,23.5,17.14,11.56,0.0,11.14,5.65,5.82,5.94,17.76,8.69,8.59,8.36,8.14,7.94,7.75,7.56,7.39,7.23,7.07,6.93,6.79,6.66,6.54,6.42,6.31,6.21,6.11,6.02,5.93,5.85,5.77,5.7,5.63,5.56,5.49,5.43,5.36,5.3,5.23,5.17,5.11,5.05,4.99,4.93,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.47,4.42,4.37,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96
4,5.75,23.22,11.45,22.83,43.7,21.77,26.53,26.28,16.16,10.78,5.33,16.03,27.65,5.66,17.33,29.26,11.56,11.76,36.17,24.81,0.0,13.15,26.1,31.7,6.16,11.97,5.86,11.36,0.0,0.0,0.0,16.8,11.52,17.63,9.18,9.05,8.79,8.55,8.31,8.1,7.89,7.7,7.52,7.35,7.19,7.04,6.89,6.76,6.63,6.52,6.4,6.3,6.2,6.11,6.02,5.94,5.86,5.79,5.72,5.65,5.59,5.52,5.45,5.39,5.32,5.26,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.72,4.66,4.6,4.55,4.49,4.44,4.39,4.33,4.28,4.23,4.18,4.13,4.08,4.03
5,22.97,17.41,11.4,17.05,5.44,10.8,5.32,31.56,10.76,21.58,10.62,26.64,16.54,16.87,5.72,17.32,5.73,11.66,23.91,0.0,6.34,13.07,13.02,12.65,18.43,0.0,11.66,5.66,11.43,5.61,16.51,22.25,5.72,7.86,7.74,7.51,7.29,7.09,6.9,6.72,6.55,6.39,6.24,6.1,5.97,5.85,5.73,5.62,5.52,5.42,5.33,5.25,5.17,5.1,5.03,4.96,4.9,4.84,4.78,4.72,4.67,4.61,4.56,4.5,4.45,4.39,4.34,4.29,4.24,4.19,4.14,4.09,4.04,3.99,3.94,3.89,3.85,3.8,3.76,3.71,3.67,3.62,3.58,3.54,3.49,3.45,3.41,3.37
6,17.11,28.69,16.91,39.44,37.41,26.98,26.58,0.0,0.0,10.75,10.6,5.31,21.91,5.59,0.0,22.95,11.36,5.79,5.95,12.28,12.6,19.49,6.5,0.0,6.13,11.89,11.62,5.62,0.0,11.17,10.96,0.0,6.77,6.67,6.47,6.28,6.1,5.94,5.78,5.64,5.5,5.37,5.25,5.14,5.04,4.94,4.84,4.75,4.67,4.6,4.52,4.45,4.39,4.33,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.93,3.88,3.83,3.79,3.74,3.7,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.08,3.05,3.01,2.97,2.94,2.9,2.87
7,16.87,5.67,11.16,0.0,0.0,0.0,10.62,10.5,5.34,0.0,5.28,0.0,21.79,16.72,5.64,11.4,11.26,5.77,11.81,6.11,6.29,12.96,6.49,6.31,6.11,0.0,0.0,5.6,0.0,5.55,16.34,5.78,5.7,5.53,5.38,5.23,5.09,4.97,4.84,4.73,4.62,4.52,4.42,4.33,4.25,4.17,4.1,4.03,3.96,3.9,3.84,3.79,3.74,3.69,3.64,3.6,3.55,3.51,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.11,3.07,3.04,3.0,2.97,2.93,2.89,2.86,2.83,2.79,2.76,2.72,2.69,2.66,2.63,2.6,2.57,2.53,2.5,2.47,2.44
8,5.57,11.25,11.12,0.0,26.66,16.14,10.61,5.23,0.0,5.34,10.54,15.76,10.84,16.58,5.61,5.65,5.6,5.74,0.0,0.0,0.0,6.47,6.48,12.58,6.08,11.81,5.76,5.58,0.0,11.02,3.81,3.76,3.65,3.56,3.46,3.37,3.29,3.21,3.14,3.07,3.01,2.94,2.89,2.83,2.78,2.73,2.69,2.64,2.6,2.56,2.53,2.49,2.46,2.43,2.4,2.37,2.34,2.32,2.29,2.26,2.23,2.21,2.18,2.15,2.13,2.1,2.08,2.05,2.03,2.0,1.98,1.96,1.93,1.91,1.89,1.86,1.84,1.82,1.8,1.78,1.75,1.73,1.71,1.69,1.67,1.65,1.63,1.61
9,16.61,16.62,16.64,22.2,0.0,0.0,5.29,15.68,15.93,5.34,10.5,10.44,5.39,5.48,0.0,5.64,16.72,0.0,11.68,6.05,0.0,0.0,0.0,0.0,0.0,5.88,5.75,5.56,5.6,4.08,4.03,3.93,3.82,3.73,3.63,3.55,3.47,3.39,3.32,3.25,3.18,3.12,3.06,3.01,2.96,2.91,2.86,2.82,2.78,2.74,2.7,2.67,2.64,2.6,2.57,2.54,2.51,2.48,2.45,2.42,2.39,2.36,2.34,2.31,2.28,2.25,2.23,2.2,2.17,2.15,2.12,2.1,2.07,2.05,2.02,2.0,1.97,1.95,1.93,1.9,1.88,1.86,1.83,1.81,1.79,1.77,1.75,1.73
