age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1096.69,993.54,1041.97,781.23,771.61,765.87,800.61,601.82,728.29,561.64,536.03,567.84,471.61,486.81,537.57,517.36,509.2,515.28,561.41,442.7,483.22,431.3,354.59,482.77,347.68,366.9,408.18,347.24,434.25,367.54,315.15,340.48,376.45,277.02,275.36,247.56,278.67,300.11,425.59,355.15,318.07,312.4,381.22,346.63,271.1,246.78,240.51,234.6,229.06,223.87,219.01,214.46,210.2,206.22,202.49,199.0,195.73,192.67,189.78,187.07,184.51,182.09,179.78,177.59,175.49,173.47,171.52,169.61,167.75,165.92,164.1,162.31,160.53,158.78,157.04,155.33,153.63,151.95,150.29,148.65,147.02,145.41,143.83,142.25,140.7,139.16,137.64,136.13,134.65,133.17,131.72,130.28,128.85,127.45
1,80.36,93.66,92.87,92.98,94.89,72.26,48.68,84.94,43.02,54.02,74.87,32.42,61.55,40.05,58.9,48.06,41.39,42.21,12.42,25.61,32.51,26.87,52.9,12.85,43.67,24.45,29.73,17.31,29.19,34.46,16.96,34.61,5.95,18.28,6.11,18.31,43.94,25.89,6.74,6.91,21.42,27.89,21.66,18.28,16.98,16.49,16.03,15.61,15.21,14.85,14.51,14.19,13.89,13.62,13.37,13.13,12.91,12.7,12.51,12.33,12.17,12.01,11.86,11.71,11.58,11.45,11.32,11.19,11.07,10.95,10.83,10.71,10.6,10.48,10.36,10.25,10.14,10.03,9.92,9.81,9.7,9.6,9.49,9.39,9.29,9.18,9.08,8.98,8.89,8.79,8.69,8.6,8.5,8.41
2,34.6,35.12,40.39,52.08,38.77,27.45,16.08,15.86,37.78,43.14,26.67,21.52,22.3,56.87,29.26,11.92,29.34,17.95,30.79,12.65,12.9,13.32,13.17,0.0,24.83,6.06,17.73,0.0,17.46,11.45,28.25,11.47,23.63,12.13,24.28,12.14,12.54,19.27,0.0,6.75,13.88,6.83,9.76,10.64,10.34,10.05,9.79,9.54,9.32,9.1,8.91,8.72,8.55,8.39,8.25,8.11,7.98,7.86,7.75,7.64,7.55,7.45,7.36,7.28,7.19,7.11,7.03,6.96,6.88,6.81,6.73,6.66,6.59,6.51,6.44,6.37,6.3,6.23,6.16,6.1,6.03,5.96,5.9,5.84,5.77,5.71,5.65,5.58,5.52,5.46,5.4,5.34,5.29,5.23
3,40.32,40.89,34.5,28.77,32.94,43.64,42.79,26.24,10.79,16.19,16.0,32.23,11.11,22.72,11.66,11.84,0.0,5.94,12.19,0.0,0.0,13.27,6.55,6.35,18.53,12.04,23.5,17.14,11.58,0.0,11.27,5.7,5.88,6.03,18.16,0.0,12.45,0.0,0.0,13.15,13.62,9.63,8.18,7.95,7.74,7.54,7.35,7.18,7.01,6.86,6.72,6.59,6.47,6.36,6.25,6.16,6.06,5.98,5.9,5.82,5.75,5.68,5.61,5.55,5.49,5.43,5.37,5.31,5.25,5.19,5.14,5.08,5.02,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99
4,5.75,23.22,11.45,22.83,43.7,21.77,26.53,26.28,16.16,10.78,5.33,16.03,27.65,5.66,17.33,29.26,11.56,11.76,36.17,24.81,0.0,13.15,26.1,31.7,6.16,11.97,5.86,11.37,0.0,0.0,0.0,17.05,11.69,18.01,24.15,12.0,6.19,6.27,6.38,0.0,5.31,6.97,6.77,6.59,6.42,6.26,6.12,5.98,5.85,5.74,5.63,5.52,5.43,5.34,5.25,5.18,5.1,5.03,4.97,4.91,4.85,4.79,4.74,4.69,4.63,4.58,4.53,4.48,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.41,3.37
5,22.97,17.41,11.4,17.05,5.44,10.8,5.32,31.56,10.76,21.58,10.62,26.64,16.54,16.87,5.72,17.32,5.73,11.66,23.91,0.0,6.34,13.07,13.02,12.65,18.43,0.0,11.69,5.68,11.5,5.67,16.85,22.64,5.83,5.99,0.0,5.97,0.0,0.0,12.57,7.84,6.2,6.02,5.86,5.71,5.57,5.44,5.32,5.21,5.11,5.01,4.92,4.83,4.76,4.68,4.61,4.55,4.49,4.43,4.38,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.43,3.39,3.35,3.32,3.28,3.24,3.21,3.17,3.14,3.1,3.07,3.04,3.0,2.97
6,17.11,28.69,16.91,39.44,37.41,26.98,26.58,0.0,0.0,10.75,10.6,5.31,21.91,5.59,0.0,22.95,11.36,5.79,5.95,12.28,12.6,19.49,6.5,0.0,6.13,11.92,11.69,5.65,0.0,11.32,11.21,0.0,5.82,5.96,11.99,0.0,5.98,18.07,8.62,5.5,5.34,5.2,5.06,4.94,4.83,4.72,4.63,4.53,4.45,4.37,4.3,4.23,4.16,4.1,4.04,3.99,3.94,3.89,3.85,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.01,2.98,2.95,2.92,2.89,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61
7,16.87,5.67,11.16,0.0,0.0,0.0,10.62,10.5,5.34,0.0,5.28,0.0,21.79,16.72,5.64,11.4,11.26,5.77,11.81,6.11,6.29,12.96,6.49,6.31,6.11,0.0,0.0,5.65,0.0,5.64,16.79,11.27,0.0,5.94,11.8,0.0,0.0,3.68,4.83,4.7,4.57,4.45,4.34,4.24,4.15,4.07,3.99,3.92,3.85,3.78,3.72,3.67,3.61,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.28,3.24,3.2,3.17,3.13,3.1,3.07,3.03,3.0,2.97,2.93,2.9,2.87,2.84,2.81,2.78,2.75,2.72,2.69,2.66,2.63,2.6,2.57,2.54,2.52,2.49,2.46,2.43,2.41,2.38,2.35,2.33,2.3,2.28
8,5.57,11.25,11.12,0.0,26.66,16.14,10.61,5.23,0.0,5.34,10.54,15.76,10.84,16.58,5.61,5.65,5.6,5.74,0.0,0.0,0.0,6.47,6.48,12.56,6.09,11.95,5.84,5.63,0.0,11.25,5.59,0.0,0.0,5.85,0.0,5.68,4.77,4.44,4.31,4.2,4.09,3.99,3.9,3.82,3.74,3.67,3.61,3.55,3.49,3.43,3.38,3.33,3.29,3.24,3.2,3.16,3.13,3.09,3.05,3.02,2.99,2.96,2.92,2.89,2.86,2.83,2.8,2.77,2.74,2.71,2.68,2.65,2.62,2.59,2.56,2.53,2.51,2.48,2.45,2.42,2.4,2.37,2.35,2.32,2.29,2.27,2.24,2.22,2.2,2.17,2.15,2.12,2.1,2.08
9,16.61,16.62,16.64,22.2,0.0,0.0,5.29,15.68,15.93,5.34,10.5,10.44,5.39,5.48,0.0,5.64,16.72,0.0,11.68,6.05,0.0,0.0,0.0,0.0,0.0,5.97,5.85,5.61,5.68,0.0,5.56,5.58,5.67,5.75,11.44,6.18,4.4,4.28,4.17,4.07,3.97,3.88,3.8,3.72,3.65,3.59,3.53,3.47,3.42,3.37,3.32,3.27,3.23,3.19,3.15,3.12,3.08,3.04,3.01,2.98,2.95,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.52,2.5,2.47,2.44,2.42,2.39,2.36,2.34,2.31,2.29,2.26,2.24,2.21,2.19,2.16,2.14,2.12,2.09,2.07,2.05
