age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1250.92,1223.08,1133.52,1064.97,1035.76,1100.49,1044.12,1034.61,962.52,896.01,828.98,739.24,703.15,686.34,685.41,693.06,651.97,631.77,646.16,613.06,593.81,605.19,582.5,554.33,571.84,551.76,530.09,532.32,513.96,466.92,498.1,460.87,443.24,406.75,441.86,423.68,436.07,426.73,383.32,378.69,369.91,361.55,353.6,346.03,338.83,331.98,325.46,319.25,313.34,307.72,302.36,297.26,292.4,287.77,283.36,279.16,275.15,271.33,267.68,264.2,260.86,257.66,254.55,251.5,248.48,245.51,242.56,239.66,236.78,233.95,231.14,228.37,225.63,222.93,220.26,217.62,215.01,212.43,209.88,207.37,204.88,202.43,200.0,197.6,195.23,192.89,190.58,188.29
1,87.25,72.69,82.77,77.73,68.69,70.51,74.31,70.65,68.78,65.77,53.18,57.36,53.08,45.0,51.91,55.39,50.91,53.47,44.47,43.39,47.16,37.5,41.81,41.24,41.18,42.44,36.31,30.89,34.15,35.86,33.92,32.78,36.56,29.33,26.75,24.68,25.75,35.25,34.86,34.07,33.33,32.62,31.94,31.29,30.68,30.09,29.53,28.99,28.48,28.0,27.54,27.09,26.67,26.27,25.88,25.51,25.16,24.83,24.51,24.2,23.9,23.61,23.33,23.05,22.77,22.5,22.23,21.96,21.7,21.44,21.18,20.93,20.68,20.43,20.18,19.94,19.7,19.46,19.23,19.0,18.77,18.55,18.32,18.1,17.89,17.67,17.46,17.25
2,48.81,43.32,52.18,43.64,46.02,43.67,46.54,43.29,36.95,33.97,36.49,31.28,29.93,30.45,30.6,33.8,33.29,27.46,26.99,26.57,26.07,23.91,22.95,22.31,29.54,19.0,18.76,19.11,20.33,17.96,17.84,16.12,16.13,12.37,14.13,12.37,11.47,11.31,11.03,10.76,10.51,10.27,10.05,9.83,9.63,9.43,9.25,9.08,8.91,8.75,8.61,8.47,8.33,8.2,8.08,7.97,7.86,7.76,7.66,7.56,7.47,7.38,7.29,7.21,7.12,7.03,6.95,6.87,6.78,6.7,6.62,6.54,6.46,6.39,6.31,6.23,6.16,6.09,6.01,5.94,5.87,5.8,5.73,5.66,5.59,5.53,5.46,5.39
3,41.84,39.54,35.75,30.32,34.43,34.07,33.03,33.42,25.03,26.39,21.23,24.65,22.51,21.16,22.96,21.21,18.59,17.35,15.27,21.0,20.75,17.3,14.86,17.36,17.02,11.19,15.08,11.44,11.13,11.23,14.05,12.69,13.47,11.99,10.01,8.59,8.44,8.2,7.98,7.76,7.56,7.38,7.2,7.03,6.87,6.73,6.59,6.46,6.33,6.22,6.11,6.0,5.91,5.81,5.73,5.65,5.57,5.5,5.43,5.37,5.3,5.24,5.17,5.11,5.05,4.99,4.93,4.87,4.81,4.76,4.7,4.64,4.59,4.53,4.48,4.42,4.37,4.32,4.27,4.21,4.16,4.11,4.06,4.02,3.97,3.92,3.87,3.83
4,29.54,26.42,28.74,24.04,26.12,25.52,22.71,24.94,22.61,20.92,16.13,21.92,18.51,19.32,15.61,15.09,16.04,16.94,16.49,12.79,12.4,13.14,14.84,13.11,9.95,10.83,10.82,11.38,10.48,7.72,11.73,7.94,9.48,11.05,8.31,8.14,7.88,7.64,7.41,7.2,7.01,6.82,6.65,6.49,6.33,6.19,6.06,5.93,5.82,5.71,5.61,5.51,5.42,5.34,5.26,5.19,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.7,4.65,4.59,4.54,4.48,4.43,4.38,4.32,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.92,3.88,3.83,3.79,3.74,3.69,3.65,3.61,3.56,3.52
5,25.48,24.4,22.12,27.97,22.6,23.92,21.16,17.34,11.6,16.65,15.5,18.02,15.72,12.77,10.52,13.17,12.43,14.58,8.2,11.41,12.02,12.42,15.51,12.45,9.94,11.41,10.77,9.58,9.25,7.39,10.27,10.35,8.03,8.15,7.97,7.71,7.46,7.23,7.02,6.82,6.63,6.45,6.29,6.14,6.0,5.86,5.74,5.62,5.51,5.41,5.32,5.23,5.15,5.08,5.0,4.94,4.88,4.82,4.76,4.7,4.65,4.59,4.54,4.48,4.43,4.37,4.32,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.92,3.88,3.83,3.78,3.74,3.69,3.65,3.61,3.56,3.52,3.48,3.44,3.39,3.35
6,23.16,22.41,21.09,23.66,19.7,16.69,17.75,16.42,16.77,12.99,15.79,15.02,12.01,18.42,13.41,12.13,13.63,10.96,15.05,9.04,12.31,9.64,9.09,9.17,9.29,9.21,7.44,10.97,8.91,5.93,6.63,7.59,7.91,7.74,7.48,7.24,7.02,6.81,6.62,6.44,6.27,6.11,5.96,5.83,5.7,5.58,5.46,5.36,5.26,5.17,5.09,5.01,4.93,4.86,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.91,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.55,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22
7,22.83,26.68,15.82,20.67,20.65,14.5,16.49,13.97,11.27,11.17,16.67,13.81,12.95,13.47,12.07,9.83,10.09,8.36,9.13,9.66,10.9,7.55,7.06,8.51,7.34,10.7,8.59,9.47,7.15,8.44,7.98,7.28,7.12,6.9,6.68,6.48,6.3,6.12,5.96,5.81,5.67,5.53,5.41,5.29,5.18,5.08,4.98,4.89,4.81,4.73,4.66,4.59,4.53,4.47,4.41,4.36,4.31,4.26,4.2,4.15,4.1,4.05,4.01,3.96,3.91,3.86,3.82,3.77,3.73,3.68,3.64,3.59,3.55,3.51,3.47,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.15,3.11,3.07,3.03,3.0,2.96
8,19.87,21.06,19.73,15.41,16.51,19.85,15.54,12.74,17.66,12.96,11.88,13.22,11.42,9.67,11.7,11.35,8.49,12.5,12.65,11.6,11.18,10.27,9.74,10.11,6.35,7.0,6.48,5.43,7.97,6.44,6.57,6.43,6.24,6.05,5.88,5.72,5.56,5.42,5.29,5.16,5.04,4.93,4.83,4.73,4.64,4.56,4.48,4.4,4.33,4.27,4.2,4.15,4.09,4.04,3.99,3.94,3.9,3.85,3.8,3.76,3.71,3.67,3.62,3.58,3.54,3.5,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.14,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.78,2.75,2.71,2.68
9,19.54,19.71,15.14,14.09,15.53,17.0,16.75,13.65,12.47,13.54,10.68,7.82,13.54,12.72,10.39,8.48,14.73,11.16,9.04,6.92,11.12,11.27,7.69,7.47,11.06,8.17,7.61,9.38,4.53,6.19,6.08,5.89,5.72,5.57,5.42,5.27,5.14,5.02,4.9,4.79,4.69,4.59,4.5,4.42,4.34,4.26,4.19,4.13,4.06,4.01,3.95,3.9,3.85,3.8,3.76,3.71,3.67,3.63,3.58,3.54,3.5,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.14,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.78,2.75,2.71,2.68,2.65,2.62,2.59,2.55,2.52
