age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1250.92,1223.08,1133.52,1064.97,1035.76,1100.49,1044.12,1034.61,962.52,896.01,828.98,739.24,703.15,686.34,685.41,693.06,651.97,631.77,646.16,613.06,593.81,605.19,582.5,554.33,571.84,551.76,530.09,532.32,513.96,466.92,498.1,460.87,443.24,406.75,441.86,423.68,436.07,426.73,437.02,417.78,442.81,443.79,478.49,473.58,369.64,341.06,332.82,325.04,317.72,310.84,304.38,298.32,292.63,287.29,282.27,277.56,273.13,268.96,265.04,261.32,257.81,254.47,251.29,248.26,245.34,242.53,239.8,237.15,234.55,231.98,229.45,226.94,224.46,222.01,219.58,217.18,214.81,212.46,210.14,207.84,205.57,203.32,201.1,198.9,196.73,194.58,192.45,190.35,188.27,186.21,184.18,182.16,180.17,178.2
1,87.25,72.69,82.77,77.73,68.69,70.51,74.31,70.65,68.78,65.77,53.18,57.36,53.08,45.0,51.91,55.39,50.91,53.47,44.47,43.39,47.16,37.5,41.81,41.24,41.18,42.44,36.31,30.89,34.15,35.86,33.96,33.06,36.88,29.65,27.09,25.04,26.26,22.92,21.58,21.82,24.31,27.31,23.63,23.56,23.73,23.17,22.63,22.13,21.66,21.22,20.8,20.41,20.04,19.7,19.37,19.06,18.78,18.5,18.25,18.0,17.77,17.55,17.34,17.13,16.94,16.75,16.56,16.38,16.2,16.02,15.85,15.67,15.5,15.33,15.17,15.0,14.84,14.67,14.51,14.35,14.2,14.04,13.89,13.74,13.59,13.44,13.29,13.15,13.0,12.86,12.72,12.58,12.44,12.31
2,48.81,43.32,52.18,43.64,46.02,43.67,46.54,43.29,36.95,33.97,36.49,31.28,29.93,30.45,30.6,33.8,33.29,27.46,26.99,26.57,26.07,23.91,22.95,22.31,29.54,19.0,18.76,19.11,20.33,17.98,17.91,16.34,16.38,12.6,14.46,12.7,13.63,13.39,13.68,16.89,21.04,17.21,14.47,13.75,13.4,13.07,12.76,12.47,12.2,11.95,11.71,11.49,11.28,11.08,10.9,10.73,10.57,10.42,10.28,10.14,10.01,9.89,9.77,9.66,9.55,9.45,9.34,9.24,9.14,9.04,8.94,8.84,8.75,8.65,8.55,8.46,8.37,8.28,8.19,8.1,8.01,7.92,7.83,7.75,7.66,7.58,7.5,7.41,7.33,7.25,7.17,7.1,7.02,6.94
3,41.84,39.54,35.75,30.32,34.43,34.07,33.03,33.42,25.03,26.39,21.23,24.65,22.51,21.16,22.96,21.21,18.59,17.35,15.27,21.0,20.75,17.3,14.86,17.36,17.02,11.19,15.08,11.44,11.14,11.27,14.17,12.94,13.78,12.34,10.37,8.89,11.57,10.33,11.22,10.21,12.43,10.29,9.67,9.42,9.18,8.95,8.73,8.54,8.35,8.18,8.02,7.86,7.72,7.59,7.47,7.36,7.25,7.15,7.05,6.96,6.87,6.79,6.71,6.64,6.56,6.49,6.42,6.35,6.28,6.21,6.14,6.08,6.01,5.95,5.88,5.82,5.75,5.69,5.63,5.57,5.5,5.44,5.38,5.33,5.27,5.21,5.15,5.1,5.04,4.99,4.93,4.88,4.82,4.77
4,29.54,26.42,28.74,24.04,26.12,25.52,22.71,24.94,22.61,20.92,16.13,21.92,18.51,19.32,15.61,15.09,16.04,16.94,16.49,12.79,12.4,13.14,14.84,13.11,9.95,10.83,10.82,11.4,10.51,7.77,11.86,8.15,9.77,11.49,8.02,8.63,5.8,10.74,8.49,10.57,8.35,7.72,7.53,7.34,7.15,6.97,6.81,6.66,6.52,6.38,6.26,6.15,6.04,5.94,5.85,5.76,5.68,5.6,5.53,5.46,5.4,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.33,4.28,4.23,4.19,4.14,4.09,4.05,4.01,3.96,3.92,3.88,3.83,3.79,3.75
5,25.48,24.4,22.12,27.97,22.6,23.92,21.16,17.34,11.6,16.65,15.5,18.02,15.72,12.77,10.52,13.17,12.43,14.58,8.2,11.41,12.02,12.42,15.51,12.45,9.94,11.41,10.79,9.61,9.3,7.45,10.42,10.68,8.35,8.86,6.86,5.96,8.69,11.06,11.26,7.81,6.77,6.61,6.45,6.29,6.14,5.99,5.85,5.73,5.61,5.5,5.4,5.31,5.22,5.14,5.06,4.99,4.92,4.86,4.8,4.74,4.68,4.63,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26
6,23.16,22.41,21.09,23.66,19.7,16.69,17.75,16.42,16.77,12.99,15.79,15.02,12.01,18.42,13.41,12.13,13.63,10.96,15.05,9.04,12.31,9.64,9.09,9.17,9.29,9.23,7.47,11.02,8.97,6.0,6.75,7.88,11.24,6.22,6.27,7.9,7.31,9.36,7.02,6.32,6.16,6.02,5.88,5.74,5.61,5.48,5.37,5.26,5.15,5.06,4.97,4.89,4.81,4.74,4.67,4.61,4.55,4.49,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.41,3.37,3.33,3.3,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02
7,22.83,26.68,15.82,20.67,20.65,14.5,16.49,13.97,11.27,11.17,16.67,13.81,12.95,13.47,12.07,9.83,10.09,8.36,9.13,9.66,10.9,7.55,7.06,8.51,7.32,10.73,8.64,9.53,7.21,8.55,8.16,5.91,7.22,8.3,8.21,5.15,10.88,7.23,6.1,5.94,5.8,5.68,5.56,5.43,5.31,5.2,5.1,5.0,4.91,4.82,4.75,4.67,4.6,4.54,4.48,4.42,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.24,3.2,3.17,3.13,3.1,3.06,3.03,3.0,2.96,2.93,2.9
8,19.87,21.06,19.73,15.41,16.51,19.85,15.54,12.74,17.66,12.96,11.88,13.22,11.42,9.67,11.7,11.35,8.49,12.5,12.65,11.6,11.18,10.27,9.74,10.08,6.33,7.03,6.54,5.47,8.06,6.55,5.06,8.46,6.65,7.87,8.89,8.41,6.6,6.06,5.89,5.74,5.62,5.5,5.39,5.28,5.17,5.07,4.98,4.89,4.81,4.73,4.66,4.59,4.53,4.47,4.41,4.35,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.94,3.89,3.85,3.81,3.77,3.72,3.68,3.64,3.6,3.56,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.92,2.89,2.86
9,19.54,19.71,15.14,14.09,15.53,17.0,16.75,13.65,12.47,13.54,10.68,7.82,13.54,12.72,10.39,8.48,14.73,11.16,9.04,6.92,11.12,11.27,7.68,7.42,11.0,8.23,7.71,9.49,4.6,4.83,9.56,5.36,8.81,7.71,10.13,7.08,6.13,5.95,5.79,5.66,5.55,5.44,5.34,5.24,5.14,5.05,4.96,4.88,4.8,4.73,4.66,4.6,4.54,4.48,4.43,4.37,4.32,4.27,4.23,4.18,4.13,4.09,4.04,4.0,3.96,3.91,3.87,3.83,3.79,3.74,3.7,3.66,3.62,3.58,3.54,3.51,3.47,3.43,3.39,3.35,3.32,3.28,3.25,3.21,3.18,3.14,3.11,3.07,3.04,3.01,2.97,2.94,2.91,2.88
