age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1467.78,1489.82,1409.77,1151.6,1063.39,1121.35,958.25,967.02,745.37,819.9,835.64,637.91,791.54,654.3,752.65,682.71,551.54,609.46,686.42,543.64,700.6,479.6,662.54,558.07,711.29,585.17,563.01,481.16,537.18,591.05,505.78,376.67,516.36,606.92,558.74,433.68,375.98,412.0,403.07,399.61,390.34,381.52,373.13,365.14,357.54,350.31,343.43,336.88,330.65,324.71,319.06,313.67,308.55,303.66,299.01,294.57,290.35,286.31,282.46,278.79,275.27,271.89,268.61,265.39,262.21,259.07,255.96,252.89,249.86,246.87,243.91,240.98,238.09,235.24,232.42,229.63,226.88,224.16,221.48,218.82,216.2,213.61,211.04,208.51,206.01,203.55,201.1,198.69
1,65.11,88.14,94.79,58.02,28.49,63.79,70.75,50.51,29.65,59.79,37.57,38.13,79.52,72.79,16.2,32.41,64.63,41.22,25.33,26.13,54.13,36.84,36.6,35.19,17.22,67.58,72.36,30.85,38.33,31.06,0.0,15.39,31.56,23.92,31.78,31.44,8.11,43.13,42.79,41.83,40.91,40.04,39.21,38.41,37.66,36.94,36.25,35.59,34.97,34.37,33.8,33.26,32.74,32.25,31.77,31.32,30.89,30.48,30.08,29.7,29.34,28.99,28.64,28.29,27.95,27.62,27.29,26.96,26.64,26.32,26.0,25.69,25.38,25.08,24.78,24.48,24.18,23.89,23.61,23.32,23.04,22.77,22.5,22.23,21.96,21.7,21.43,21.18
2,14.48,51.54,58.54,7.26,35.83,50.06,78.48,50.78,51.86,44.7,89.8,45.61,31.73,16.07,32.23,32.32,16.16,24.69,25.11,43.36,26.93,18.32,9.08,69.84,34.18,8.39,24.04,38.39,30.53,23.25,15.38,30.57,23.51,31.63,15.79,7.8,14.15,14.01,13.66,13.33,13.02,12.72,12.44,12.18,11.92,11.68,11.46,11.24,11.04,10.84,10.66,10.49,10.32,10.16,10.01,9.87,9.74,9.61,9.49,9.37,9.26,9.14,9.03,8.93,8.82,8.71,8.61,8.51,8.4,8.3,8.2,8.1,8.01,7.91,7.82,7.72,7.63,7.54,7.45,7.36,7.27,7.18,7.1,7.01,6.93,6.84,6.76,6.68
3,29.01,88.73,51.44,72.99,36.18,57.79,21.61,36.4,29.53,14.89,7.48,30.45,0.0,8.02,0.0,48.43,40.32,8.29,33.39,25.9,35.76,27.31,26.99,17.38,8.5,25.12,16.0,22.99,0.0,23.21,15.34,7.6,0.0,7.88,15.69,10.69,10.54,10.24,9.96,9.7,9.45,9.21,8.99,8.78,8.58,8.4,8.23,8.06,7.91,7.76,7.63,7.5,7.38,7.26,7.15,7.05,6.96,6.87,6.78,6.7,6.62,6.54,6.46,6.38,6.31,6.23,6.16,6.08,6.01,5.94,5.87,5.8,5.73,5.66,5.59,5.52,5.46,5.39,5.33,5.26,5.2,5.14,5.08,5.01,4.95,4.9,4.84,4.78
4,36.36,14.86,7.4,51.47,36.51,36.47,21.73,43.58,22.1,44.69,14.98,22.74,23.65,8.02,56.36,8.06,0.0,33.06,8.33,25.78,8.89,18.07,8.92,17.3,0.0,0.0,15.98,0.0,15.2,7.71,15.29,7.56,38.85,7.82,10.56,10.38,10.05,9.74,9.46,9.19,8.94,8.7,8.48,8.27,8.08,7.9,7.73,7.57,7.42,7.28,7.15,7.03,6.92,6.81,6.71,6.62,6.53,6.45,6.37,6.3,6.22,6.15,6.07,6.0,5.93,5.86,5.79,5.72,5.65,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.55,4.49
5,21.83,37.31,37.21,44.31,29.38,14.63,28.94,7.26,29.49,37.29,29.89,22.74,15.76,32.12,24.19,0.0,16.19,33.0,33.27,8.53,17.71,0.0,17.78,0.0,0.0,0.0,16.0,0.0,15.22,7.69,0.0,22.61,7.74,9.92,9.73,9.41,9.11,8.83,8.57,8.32,8.1,7.88,7.68,7.5,7.32,7.16,7.01,6.87,6.74,6.61,6.5,6.39,6.29,6.2,6.11,6.03,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57,4.51,4.46,4.4,4.35,4.3,4.25,4.2,4.15,4.1
6,14.61,52.58,22.48,29.68,29.49,29.15,7.21,14.53,7.37,7.44,7.46,7.57,31.52,0.0,16.12,0.0,8.09,24.71,16.56,0.0,0.0,53.62,35.62,34.71,0.0,16.73,7.98,22.97,7.58,15.34,7.6,15.04,9.21,9.03,8.74,8.46,8.2,7.96,7.73,7.52,7.32,7.14,6.96,6.8,6.65,6.51,6.38,6.26,6.14,6.04,5.94,5.85,5.76,5.68,5.6,5.53,5.47,5.4,5.34,5.27,5.21,5.15,5.08,5.02,4.96,4.9,4.84,4.79,4.73,4.67,4.62,4.56,4.51,4.45,4.4,4.35,4.29,4.24,4.19,4.14,4.09,4.04,3.99,3.95,3.9,3.85,3.81,3.76
7,44.0,37.77,15.06,7.43,14.71,7.28,28.85,29.04,7.36,14.89,22.41,15.17,23.67,24.26,8.05,32.26,8.08,8.19,8.25,8.44,0.0,17.85,8.9,0.0,8.56,16.72,7.96,15.25,0.0,0.0,7.57,8.24,8.1,7.84,7.6,7.37,7.16,6.96,6.77,6.6,6.44,6.29,6.14,6.01,5.89,5.77,5.66,5.56,5.47,5.38,5.3,5.22,5.15,5.08,5.01,4.95,4.89,4.84,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37
8,22.08,15.17,15.09,22.27,22.01,14.55,21.6,7.25,14.72,14.89,37.35,15.21,15.8,24.18,8.03,16.14,8.06,8.15,8.2,16.81,0.0,8.91,8.92,26.1,0.0,0.0,23.79,7.6,7.55,22.82,7.3,7.18,6.96,6.75,6.56,6.38,6.21,6.05,5.9,5.76,5.63,5.5,5.39,5.28,5.18,5.08,4.99,4.91,4.83,4.76,4.69,4.63,4.57,4.51,4.45,4.4,4.35,4.3,4.24,4.19,4.14,4.09,4.04,4.0,3.95,3.9,3.85,3.81,3.76,3.72,3.67,3.63,3.58,3.54,3.5,3.46,3.41,3.37,3.33,3.29,3.25,3.21,3.18,3.14,3.1,3.06,3.03,2.99
9,0.0,22.76,22.56,29.71,14.67,14.52,7.19,21.77,7.35,7.47,29.91,30.3,23.72,0.0,8.02,32.17,32.12,24.33,16.36,25.16,0.0,8.92,17.83,8.68,0.0,0.0,0.0,7.58,0.0,6.75,6.65,6.45,6.27,6.09,5.93,5.77,5.63,5.49,5.37,5.25,5.13,5.03,4.93,4.83,4.75,4.67,4.59,4.52,4.45,4.38,4.32,4.27,4.22,4.16,4.11,4.06,4.02,3.97,3.92,3.87,3.83,3.78,3.74,3.69,3.65,3.6,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.12,3.08,3.04,3.01,2.97,2.93,2.9,2.86,2.83,2.8,2.76
