age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1485.86,1499.05,1407.84,1156.21,1067.0,1121.18,962.74,970.58,742.05,818.88,839.18,639.83,788.97,655.13,751.31,682.88,551.68,609.62,686.12,543.24,703.49,479.03,659.59,557.75,710.86,581.97,563.5,481.13,538.22,586.57,506.16,377.4,517.83,606.87,558.73,433.68,375.95,411.96,531.43,456.25,483.81,462.68,480.93,501.93,350.86,310.58,303.07,295.99,289.33,283.06,277.18,271.66,266.47,261.61,257.04,252.76,248.72,244.93,241.35,237.97,234.77,231.73,228.84,226.07,223.41,220.85,218.37,215.95,213.58,211.25,208.94,206.66,204.4,202.16,199.96,197.77,195.61,193.47,191.36,189.27,187.2,185.15,183.13,181.13,179.15,177.19,175.25,173.34,171.44,169.57,167.72,165.88,164.07,162.28
1,65.11,88.14,94.79,58.02,28.49,63.79,70.75,50.51,29.65,59.79,37.57,38.13,79.52,72.79,16.2,32.41,64.63,41.22,25.33,26.13,54.13,36.84,36.6,35.19,17.22,67.58,72.36,30.85,38.33,31.06,0.0,15.46,31.72,24.04,31.99,31.73,8.18,16.88,8.61,17.66,0.0,0.0,9.52,17.25,19.92,19.44,19.0,18.58,18.18,17.81,17.46,17.13,16.82,16.53,16.26,16.0,15.76,15.53,15.31,15.11,14.91,14.73,14.55,14.38,14.22,14.06,13.9,13.75,13.6,13.45,13.3,13.16,13.01,12.87,12.73,12.59,12.45,12.32,12.18,12.05,11.92,11.79,11.66,11.53,11.4,11.28,11.15,11.03,10.91,10.79,10.67,10.56,10.44,10.33
2,14.48,51.54,58.54,7.26,35.83,50.06,78.48,50.78,51.86,44.7,89.8,45.61,31.73,16.07,32.23,32.32,16.16,24.69,25.11,43.36,26.93,18.32,9.08,69.84,34.18,8.39,24.04,38.39,30.53,23.29,15.42,30.76,23.68,31.9,15.95,7.9,8.15,16.92,8.58,17.42,17.62,8.98,11.47,12.4,12.09,11.79,11.51,11.25,11.01,10.78,10.56,10.36,10.17,10.0,9.83,9.68,9.54,9.4,9.27,9.15,9.03,8.92,8.82,8.72,8.62,8.52,8.43,8.34,8.24,8.15,8.06,7.98,7.89,7.8,7.72,7.63,7.55,7.47,7.39,7.3,7.22,7.15,7.07,6.99,6.91,6.84,6.76,6.69,6.62,6.54,6.47,6.4,6.33,6.26
3,29.01,88.73,51.44,72.99,36.18,57.79,21.61,36.4,29.53,14.89,7.48,30.45,0.0,8.02,0.0,48.43,40.32,8.29,33.39,25.9,35.76,27.31,26.99,17.38,8.5,25.12,16.0,22.99,0.0,23.29,15.41,7.66,0.0,7.97,15.89,0.0,16.34,25.4,8.49,0.0,17.48,11.3,9.47,9.23,8.99,8.76,8.56,8.36,8.18,8.01,7.85,7.7,7.57,7.44,7.32,7.2,7.1,7.0,6.91,6.82,6.73,6.65,6.58,6.5,6.43,6.36,6.29,6.22,6.15,6.09,6.02,5.95,5.89,5.82,5.76,5.7,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.73,4.67
4,36.36,14.86,7.4,51.47,36.51,36.47,21.73,43.58,22.1,44.69,14.98,22.74,23.65,8.02,56.36,8.06,0.0,33.06,8.33,25.78,8.89,18.07,8.92,17.3,0.0,0.0,15.98,0.0,15.29,7.75,15.37,7.64,39.31,7.92,15.84,7.91,8.17,0.0,0.0,8.51,8.28,8.32,8.12,7.91,7.71,7.52,7.34,7.18,7.02,6.88,6.75,6.63,6.51,6.4,6.3,6.21,6.12,6.04,5.96,5.89,5.82,5.75,5.69,5.62,5.56,5.5,5.44,5.38,5.32,5.26,5.2,5.15,5.09,5.04,4.98,4.93,4.87,4.82,4.77,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.32,4.27,4.22,4.18,4.13,4.09,4.04
5,21.83,37.31,37.21,44.31,29.38,14.63,28.94,7.26,29.49,37.29,29.89,22.74,15.76,32.12,24.19,0.0,16.19,33.0,33.27,8.53,17.71,0.0,17.78,0.0,0.0,0.0,16.04,0.0,15.35,7.74,0.0,22.89,7.84,7.92,7.95,15.82,16.17,8.28,0.0,5.65,7.51,7.33,7.16,6.98,6.81,6.65,6.5,6.36,6.23,6.11,5.99,5.89,5.79,5.7,5.61,5.53,5.46,5.39,5.32,5.26,5.2,5.14,5.08,5.02,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.78,3.73,3.69,3.65,3.61
6,14.61,52.58,22.48,29.68,29.49,29.15,7.21,14.53,7.37,7.44,7.46,7.57,31.52,0.0,16.12,0.0,8.09,24.71,16.56,0.0,0.0,53.62,35.62,34.71,0.0,16.76,8.03,23.14,7.67,15.47,7.66,15.25,7.83,15.9,0.0,7.84,8.01,8.21,6.97,6.64,6.48,6.33,6.18,6.04,5.89,5.76,5.64,5.52,5.42,5.32,5.23,5.14,5.06,4.98,4.91,4.85,4.78,4.72,4.67,4.61,4.56,4.51,4.46,4.41,4.36,4.32,4.27,4.22,4.18,4.13,4.08,4.04,4.0,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.43,3.39,3.35,3.31,3.28,3.24,3.21,3.17
7,44.0,37.77,15.06,7.43,14.71,7.28,28.85,29.04,7.36,14.89,22.41,15.17,23.67,24.26,8.05,32.26,8.08,8.19,8.25,8.44,0.0,17.85,8.9,0.0,8.56,16.79,8.02,15.39,0.0,0.0,7.64,0.0,0.0,7.96,7.89,7.78,7.95,6.53,6.14,5.98,5.84,5.71,5.59,5.47,5.35,5.23,5.13,5.03,4.94,4.86,4.78,4.7,4.63,4.57,4.51,4.45,4.39,4.34,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02,2.98,2.95,2.92
8,22.08,15.17,15.09,22.27,22.01,14.55,21.6,7.25,14.72,14.89,37.35,15.21,15.8,24.18,8.03,16.14,8.06,8.15,8.2,16.81,0.0,8.91,8.92,26.07,0.0,0.0,24.03,7.68,7.67,23.07,0.0,15.18,7.84,0.0,15.64,0.0,5.17,6.85,6.65,6.49,6.35,6.22,6.1,5.97,5.85,5.73,5.63,5.53,5.43,5.35,5.27,5.19,5.12,5.05,4.98,4.92,4.86,4.81,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26,4.21,4.16,4.12,4.07,4.03,3.99,3.94,3.9,3.86,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.42,3.38,3.34,3.31,3.27,3.23
9,0.0,22.76,22.56,29.71,14.67,14.52,7.19,21.77,7.35,7.47,29.91,30.3,23.72,0.0,8.02,32.17,32.12,24.33,16.36,25.16,0.0,8.92,17.81,8.66,0.0,0.0,0.0,7.68,0.0,15.34,7.61,7.59,15.56,7.83,23.26,10.61,6.67,6.47,6.3,6.16,6.03,5.92,5.81,5.7,5.59,5.49,5.39,5.31,5.22,5.14,5.07,5.0,4.93,4.87,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26,4.21,4.16,4.12,4.07,4.03,3.98,3.94,3.9,3.85,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.41,3.38,3.34,3.3,3.27,3.23,3.2,3.16,3.13
