,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,1224.84,1280.69,1124.77,1174.88,1007.87,985.51,973.37,947.16,1011.35,882.46,871.45,786.87,736.01,671.84,638.29,679.41,608.13,616.74,565.03,631.77,578.64,637.89,544.25,577.47,566.44,509.75,521.49,460.37,469.46,398.7,460.96,445.24,339.16,379.5,348.61,331.45,373.37,309.4,311.13,306.43,299.32,292.55,286.12,280.0,274.17,268.63,263.35,258.33,253.55,248.99,244.66,240.53,236.6,232.85,229.29,225.89,222.64,219.55,216.6,213.78,211.08,208.49,205.97,203.51,201.07,198.66,196.28,193.92,191.6,189.3,187.03,184.79,182.58,180.39,178.23,176.09,173.98,171.89,169.83,167.8,165.78,163.8,161.83,159.89,157.98,156.08,154.21,152.36
1,112.14,76.98,120.67,70.66,81.35,62.35,63.05,67.9,91.15,86.15,65.82,41.63,58.17,43.99,52.09,29.93,46.16,44.27,35.08,14.6,41.44,49.6,56.27,28.84,39.14,17.55,37.35,36.31,19.79,40.41,26.05,26.59,20.45,27.47,27.58,17.39,28.79,39.79,39.22,38.34,37.5,36.7,35.94,35.21,34.52,33.86,33.23,32.63,32.05,31.51,30.99,30.49,30.01,29.56,29.13,28.71,28.32,27.94,27.58,27.23,26.89,26.57,26.25,25.94,25.63,25.32,25.01,24.71,24.42,24.12,23.83,23.55,23.27,22.99,22.71,22.44,22.17,21.9,21.64,21.38,21.12,20.87,20.62,20.37,20.13,19.89,19.65,19.41
2,43.41,53.56,36.52,40.18,36.46,44.95,45.0,44.26,39.66,33.92,44.95,20.82,30.72,44.19,26.15,33.29,19.84,34.22,14.04,29.02,22.55,26.64,59.81,18.05,17.67,24.48,17.01,19.89,13.3,13.45,16.25,23.12,16.9,40.86,17.15,10.38,12.26,12.06,11.76,11.47,11.2,10.95,10.71,10.48,10.26,10.06,9.86,9.68,9.5,9.33,9.17,9.02,8.88,8.75,8.62,8.5,8.38,8.27,8.16,8.06,7.97,7.87,7.78,7.68,7.59,7.5,7.41,7.32,7.23,7.15,7.06,6.97,6.89,6.81,6.73,6.65,6.57,6.49,6.41,6.33,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75
3,46.47,26.96,33.61,24.9,52.13,41.88,29.94,32.54,33.59,30.78,32.93,26.8,12.32,25.39,22.91,23.32,9.96,17.15,20.97,36.15,7.47,22.71,7.46,43.08,10.55,7.0,27.33,6.65,6.64,6.7,9.71,16.41,3.36,10.17,6.83,9.63,9.43,9.16,8.91,8.67,8.45,8.24,8.04,7.85,7.68,7.51,7.36,7.21,7.07,6.94,6.82,6.7,6.6,6.49,6.4,6.31,6.22,6.14,6.07,5.99,5.92,5.85,5.78,5.71,5.64,5.57,5.51,5.44,5.38,5.31,5.25,5.18,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.71,4.65,4.59,4.54,4.48,4.43,4.38,4.33,4.27
4,37.95,45.02,39.93,34.51,30.64,20.91,21.01,20.74,33.55,15.35,11.98,20.92,21.66,19.09,16.38,33.43,29.91,30.75,20.91,17.97,11.11,11.3,11.14,3.58,10.54,10.52,3.43,19.94,19.86,6.68,12.88,6.52,16.68,6.75,9.7,9.46,9.16,8.89,8.62,8.38,8.15,7.93,7.73,7.54,7.37,7.2,7.05,6.9,6.77,6.64,6.52,6.41,6.31,6.21,6.12,6.04,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57,4.51,4.46,4.4,4.35,4.3,4.25,4.2,4.15,4.1
5,38.09,30.15,30.93,12.52,24.48,23.93,27.03,8.89,21.31,18.42,23.99,6.0,24.83,15.95,29.6,23.41,16.57,10.22,17.35,10.7,7.37,11.23,7.41,7.15,10.55,14.03,17.11,0.0,16.5,6.65,16.01,0.0,3.32,9.4,9.16,8.86,8.58,8.32,8.07,7.84,7.62,7.42,7.23,7.06,6.9,6.74,6.6,6.47,6.34,6.23,6.12,6.02,5.92,5.84,5.76,5.68,5.61,5.54,5.47,5.41,5.34,5.28,5.22,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.74,4.68,4.62,4.57,4.51,4.46,4.41,4.35,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.9,3.86
6,38.23,18.18,9.27,28.12,27.55,20.97,12.0,17.74,24.4,18.44,6.0,15.03,24.87,12.82,16.47,6.66,16.53,6.77,13.78,24.81,7.31,18.64,18.51,14.32,21.09,10.5,6.83,13.23,13.15,16.54,6.38,19.37,9.03,8.8,8.51,8.24,7.98,7.75,7.53,7.32,7.13,6.95,6.78,6.62,6.48,6.34,6.21,6.09,5.98,5.88,5.78,5.69,5.61,5.53,5.46,5.39,5.32,5.26,5.2,5.13,5.07,5.01,4.95,4.89,4.83,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.94,3.89,3.84,3.8,3.75,3.71,3.66
7,32.49,18.16,18.49,28.11,12.25,23.93,11.97,5.92,3.05,21.47,21.02,15.06,6.24,16.06,9.84,6.63,9.88,6.73,10.29,10.55,18.19,7.44,14.81,10.74,7.02,3.5,10.22,6.59,16.36,6.59,6.36,7.89,7.7,7.45,7.22,7.01,6.81,6.62,6.44,6.28,6.12,5.98,5.84,5.72,5.6,5.49,5.39,5.29,5.2,5.11,5.04,4.96,4.89,4.83,4.77,4.71,4.65,4.6,4.54,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.88,3.84,3.79,3.75,3.7,3.66,3.61,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2
8,14.74,12.07,27.73,15.63,27.49,14.91,17.94,5.93,18.33,18.39,9.01,3.02,15.62,6.4,3.27,19.75,16.35,10.06,13.62,14.01,14.5,11.15,7.41,14.31,10.53,6.97,6.79,6.56,9.77,6.57,6.82,6.66,6.46,6.27,6.09,5.92,5.76,5.61,5.47,5.34,5.22,5.11,5.0,4.9,4.8,4.72,4.63,4.56,4.48,4.42,4.35,4.29,4.24,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.02,2.98,2.95,2.91,2.88,2.84,2.81,2.77
9,11.76,21.13,9.28,46.88,15.21,23.84,17.97,14.86,24.47,6.12,24.04,15.13,15.61,12.77,16.26,16.34,9.77,3.33,10.17,3.49,14.46,7.43,18.5,10.72,7.0,6.95,6.75,0.0,0.0,5.69,5.56,5.4,5.24,5.09,4.96,4.83,4.71,4.59,4.49,4.39,4.29,4.2,4.12,4.04,3.97,3.9,3.84,3.78,3.72,3.67,3.62,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.09,3.05,3.01,2.98,2.94,2.91,2.87,2.84,2.8,2.77,2.74,2.7,2.67,2.64,2.61,2.58,2.54,2.51,2.48,2.45,2.42,2.4,2.37,2.34,2.31
