age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1226.95,1281.14,1126.95,1172.95,1006.89,984.82,974.08,947.17,1010.33,882.06,871.55,788.24,736.93,672.25,638.26,679.36,608.82,617.43,565.87,631.74,579.87,637.88,543.79,576.14,566.43,509.21,521.44,460.66,469.25,398.34,460.94,446.13,339.06,379.6,348.57,331.28,373.11,310.17,403.94,321.88,367.0,370.63,486.54,390.33,327.1,306.21,298.18,290.64,283.57,276.96,270.78,265.01,259.62,254.58,249.88,245.49,241.38,237.54,233.93,230.54,227.35,224.34,221.48,218.76,216.16,213.67,211.26,208.91,206.62,204.36,202.12,199.92,197.73,195.57,193.43,191.32,189.23,187.16,185.11,183.09,181.09,179.11,177.15,175.22,173.3,171.41,169.53,167.68,165.85,164.03,162.24,160.47,158.71,156.98
1,112.14,76.98,120.67,70.66,81.35,62.35,63.05,67.9,91.15,86.15,65.82,41.63,58.17,43.99,52.09,29.93,46.16,44.27,35.08,14.6,41.44,49.6,56.27,28.84,39.14,17.55,37.35,36.31,19.79,39.78,26.57,26.89,20.66,27.84,27.95,17.64,29.41,33.88,7.67,40.12,36.76,36.13,24.49,21.75,20.7,20.16,19.65,19.17,18.73,18.31,17.92,17.56,17.22,16.9,16.6,16.32,16.06,15.82,15.59,15.38,15.17,14.98,14.79,14.62,14.45,14.29,14.13,13.97,13.82,13.67,13.52,13.37,13.23,13.08,12.94,12.8,12.66,12.52,12.38,12.25,12.11,11.98,11.85,11.72,11.59,11.46,11.34,11.21,11.09,10.97,10.85,10.73,10.61,10.5
2,43.41,53.56,36.52,40.18,36.46,44.95,45.0,44.26,39.66,33.92,44.95,20.82,30.72,44.19,26.15,33.29,19.84,34.22,14.04,29.02,22.55,26.64,59.81,18.05,17.67,24.48,17.01,19.89,13.25,13.27,16.61,23.44,17.14,41.49,17.43,10.58,14.64,15.08,15.27,19.79,0.0,19.59,15.4,13.97,13.6,13.26,12.93,12.63,12.35,12.08,11.83,11.6,11.39,11.19,11.0,10.82,10.66,10.5,10.36,10.22,10.09,9.97,9.85,9.73,9.62,9.52,9.41,9.31,9.21,9.11,9.01,8.91,8.81,8.72,8.62,8.53,8.43,8.34,8.25,8.16,8.07,7.98,7.89,7.81,7.72,7.64,7.55,7.47,7.39,7.31,7.23,7.15,7.07,6.99
3,46.47,26.96,33.61,24.9,52.13,41.88,29.94,32.54,33.59,30.78,32.93,26.8,12.32,25.39,22.91,23.32,9.96,17.15,20.97,36.15,7.47,22.71,7.46,43.08,10.55,7.0,27.33,6.65,6.64,6.64,9.96,16.71,3.41,10.36,6.97,3.51,22.0,7.55,0.0,3.85,11.61,10.85,10.54,10.28,10.02,9.77,9.54,9.33,9.13,8.94,8.76,8.6,8.45,8.31,8.17,8.05,7.93,7.82,7.72,7.62,7.52,7.44,7.35,7.27,7.19,7.11,7.03,6.95,6.88,6.8,6.73,6.65,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.09,6.03,5.96,5.89,5.83,5.77,5.7,5.64,5.58,5.52,5.46,5.4,5.34,5.28,5.22
4,37.95,45.02,39.93,34.51,30.64,20.91,21.01,20.74,33.55,15.35,11.98,20.92,21.66,19.09,16.38,33.43,29.91,30.75,20.91,17.97,11.11,11.3,11.14,3.58,10.54,10.52,3.43,20.02,19.94,6.64,13.26,6.65,17.02,6.91,3.47,7.03,3.67,11.25,3.66,11.28,9.54,8.93,8.73,8.52,8.31,8.12,7.94,7.76,7.61,7.46,7.32,7.19,7.07,6.95,6.85,6.75,6.65,6.56,6.48,6.4,6.33,6.25,6.18,6.11,6.05,5.98,5.91,5.85,5.79,5.72,5.66,5.6,5.54,5.48,5.42,5.36,5.3,5.24,5.18,5.13,5.07,5.01,4.96,4.91,4.85,4.8,4.75,4.69,4.64,4.59,4.54,4.49,4.44,4.39
5,38.09,30.15,30.93,12.52,24.48,23.93,27.03,8.89,21.31,18.42,23.99,6.0,24.83,15.95,29.6,23.41,16.57,10.22,17.35,10.7,7.37,11.23,7.41,7.15,10.55,14.03,17.16,0.0,16.62,6.64,16.5,0.0,3.4,10.33,3.48,10.54,0.0,10.92,3.59,6.92,8.0,7.83,7.67,7.49,7.32,7.15,7.0,6.86,6.72,6.6,6.48,6.37,6.27,6.17,6.08,6.0,5.92,5.84,5.77,5.7,5.64,5.57,5.51,5.45,5.39,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.33,4.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,3.92
6,38.23,18.18,9.27,28.12,27.55,20.97,12.0,17.74,24.4,18.44,6.0,15.03,24.87,12.82,16.47,6.66,16.53,6.77,13.78,24.81,7.31,18.64,18.51,14.32,21.09,10.52,6.86,13.36,13.29,16.54,6.58,19.84,0.0,0.0,10.41,10.44,7.08,7.15,7.34,7.37,7.22,7.08,6.94,6.78,6.63,6.49,6.36,6.24,6.12,6.01,5.91,5.82,5.73,5.65,5.57,5.5,5.43,5.36,5.29,5.23,5.17,5.12,5.06,5.01,4.95,4.9,4.84,4.79,4.74,4.69,4.63,4.58,4.53,4.48,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6
7,32.49,18.16,18.49,28.11,12.25,23.93,11.97,5.92,3.05,21.47,21.02,15.06,6.24,16.06,9.84,6.63,9.88,6.73,10.29,10.55,18.19,7.44,14.81,10.74,7.05,3.5,10.27,6.67,16.56,6.61,6.58,3.29,6.76,13.73,6.87,6.79,13.91,8.66,6.92,6.77,6.64,6.52,6.39,6.26,6.13,6.01,5.89,5.78,5.68,5.59,5.5,5.42,5.34,5.26,5.19,5.13,5.07,5.01,4.95,4.89,4.84,4.78,4.73,4.68,4.63,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37
8,14.74,12.07,27.73,15.63,27.49,14.91,17.94,5.93,18.33,18.39,9.01,3.02,15.62,6.4,3.27,19.75,16.35,10.06,13.62,14.01,14.5,11.15,7.41,14.3,10.61,6.99,6.83,6.65,9.9,6.6,6.54,13.15,6.74,0.0,10.07,3.34,5.89,6.7,6.56,6.44,6.32,6.21,6.09,5.98,5.86,5.75,5.64,5.55,5.46,5.37,5.29,5.21,5.14,5.08,5.01,4.95,4.89,4.84,4.78,4.73,4.68,4.62,4.57,4.52,4.47,4.43,4.38,4.33,4.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,3.92,3.88,3.84,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47,3.44,3.4,3.36,3.32,3.29,3.25
9,11.76,21.13,9.28,46.88,15.21,23.84,17.97,14.86,24.47,6.12,24.04,15.13,15.61,12.77,16.26,16.34,9.77,3.33,10.17,3.49,14.46,7.43,18.4,10.7,7.07,6.98,6.8,0.0,0.0,6.57,3.27,3.27,3.34,6.65,9.91,7.6,6.82,6.68,6.55,6.43,6.32,6.21,6.11,5.99,5.88,5.78,5.68,5.59,5.5,5.42,5.35,5.27,5.2,5.14,5.08,5.02,4.96,4.9,4.85,4.8,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.49,3.45,3.41,3.37,3.34,3.3
