age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
0,1402.18,1129.87,1086.57,971.66,1190.87,1130.36,1097.67,905.12,868.5,817.73,762.04,623.38,646.71,677.88,676.94,607.12,659.6,606.04,716.18,590.94,612.05,508.15,466.61,545.27,500.24,447.7,649.64,474.52,514.48,435.46,466.66,481.15,343.55,451.54,458.27,362.71,406.3,392.52,380.43,479.95,484.19,433.81,442.17,377.37,361.02,362.64,353.87,345.6,337.82,330.51,323.64,317.19,311.14,305.46,300.13,295.12,290.41,285.98,281.8,277.85,274.12,270.57,267.19,263.96,260.86,257.87,254.98,252.15,249.38,246.66,243.96,241.3,238.66,236.05,233.47,230.92,228.4,225.9,223.43,220.99,218.57,216.19,213.82,211.49,209.18,206.89,204.63,202.39,200.18,197.99,195.83,193.69,191.57,189.48
1,120.58,67.15,55.47,83.11,48.28,57.74,62.06,65.92,71.52,72.24,66.42,67.74,32.01,49.19,62.03,33.86,50.03,46.08,53.47,54.53,49.03,50.41,43.37,30.49,29.83,28.89,22.67,38.55,11.01,21.79,37.68,44.05,22.6,40.41,40.72,23.4,24.2,30.81,25.49,26.48,6.69,13.11,40.9,29.36,26.07,25.45,24.87,24.32,23.8,23.31,22.85,22.42,22.02,21.64,21.28,20.95,20.63,20.33,20.05,19.78,19.52,19.28,19.05,18.82,18.61,18.4,18.2,18.0,17.8,17.6,17.41,17.22,17.03,16.85,16.66,16.48,16.3,16.12,15.94,15.77,15.6,15.43,15.26,15.09,14.93,14.76,14.6,14.44,14.28,14.13,13.97,13.82,13.67,13.52
2,32.91,55.97,49.65,66.06,53.26,41.53,35.92,55.65,56.68,30.98,45.9,41.56,21.36,32.75,39.3,5.6,33.16,28.6,17.62,36.02,18.17,6.23,30.9,24.38,17.75,5.75,16.95,5.47,21.86,27.21,21.49,16.47,11.27,28.65,11.56,5.82,24.05,6.13,19.0,6.46,6.51,32.09,19.29,15.57,15.17,14.8,14.45,14.12,13.81,13.52,13.26,13.0,12.77,12.55,12.34,12.15,11.97,11.8,11.63,11.48,11.34,11.2,11.06,10.94,10.81,10.69,10.58,10.46,10.35,10.23,10.12,10.01,9.9,9.79,9.69,9.58,9.47,9.37,9.27,9.17,9.07,8.97,8.87,8.77,8.68,8.58,8.49,8.39,8.3,8.21,8.12,8.03,7.95,7.86
3,43.83,39.11,71.36,32.88,26.43,51.65,35.9,30.13,41.14,46.33,25.42,25.93,42.59,21.75,27.91,27.7,16.49,17.02,11.67,11.86,23.98,43.47,24.67,18.15,17.67,5.73,5.62,10.88,10.9,5.43,5.36,5.48,11.22,5.72,23.02,17.36,11.93,24.4,37.25,25.21,19.15,12.91,11.06,10.78,10.5,10.24,10.0,9.77,9.56,9.36,9.17,9.0,8.84,8.69,8.55,8.42,8.29,8.18,8.07,7.97,7.87,7.77,7.68,7.6,7.51,7.43,7.35,7.27,7.19,7.11,7.03,6.96,6.88,6.8,6.73,6.66,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.1,6.03,5.96,5.9,5.83,5.77,5.71,5.64,5.58,5.52,5.46
4,32.83,22.25,27.34,27.21,26.32,36.11,10.17,30.13,15.33,25.61,10.13,20.62,42.3,10.8,33.23,27.44,16.42,11.27,11.53,0.0,0.0,6.18,18.39,12.05,0.0,5.71,5.57,5.43,0.0,0.0,5.35,10.92,16.77,11.41,0.0,0.0,5.94,11.96,24.25,18.57,10.94,8.67,8.46,8.24,8.03,7.83,7.65,7.48,7.32,7.17,7.03,6.9,6.78,6.67,6.57,6.47,6.38,6.29,6.21,6.14,6.06,5.99,5.92,5.86,5.79,5.73,5.67,5.6,5.54,5.48,5.42,5.36,5.3,5.25,5.19,5.13,5.08,5.02,4.97,4.91,4.86,4.8,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26,4.21
5,5.48,16.7,32.69,21.68,31.42,20.36,20.29,39.99,25.41,20.41,10.08,5.13,5.25,26.86,16.48,5.44,10.86,0.0,11.42,11.73,23.76,6.14,0.0,6.01,23.49,17.02,5.57,16.27,0.0,10.81,16.0,0.0,11.15,0.0,5.7,11.42,5.83,5.87,5.97,6.94,7.33,7.16,6.99,6.82,6.65,6.49,6.34,6.21,6.08,5.96,5.85,5.75,5.65,5.57,5.48,5.4,5.33,5.26,5.2,5.13,5.07,5.02,4.96,4.91,4.85,4.8,4.75,4.7,4.64,4.59,4.54,4.49,4.44,4.4,4.35,4.3,4.25,4.21,4.16,4.11,4.07,4.03,3.98,3.94,3.89,3.85,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53
6,10.89,16.52,43.14,26.87,10.3,35.63,20.24,24.96,20.23,10.14,20.02,10.18,10.46,16.02,10.91,16.19,21.53,16.6,0.0,11.66,5.91,18.33,6.1,18.03,5.87,5.66,5.57,5.41,0.0,10.78,21.29,27.1,5.57,16.97,5.68,0.0,0.0,11.58,7.75,6.63,6.47,6.32,6.18,6.03,5.89,5.76,5.63,5.52,5.41,5.31,5.22,5.13,5.05,4.98,4.91,4.84,4.78,4.72,4.66,4.61,4.56,4.5,4.46,4.41,4.36,4.31,4.26,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.9,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.38,3.35,3.31,3.27,3.24,3.2,3.17
7,21.47,21.75,16.02,21.28,15.39,15.24,10.08,19.91,5.02,20.15,24.84,5.08,10.41,0.0,5.42,10.71,10.67,16.51,11.29,5.8,5.88,0.0,0.0,6.01,5.82,28.27,5.57,10.8,5.39,5.38,5.31,0.0,22.14,0.0,5.59,5.51,5.65,6.12,6.33,6.16,6.02,5.89,5.76,5.63,5.51,5.39,5.29,5.18,5.09,5.0,4.92,4.84,4.77,4.71,4.64,4.58,4.53,4.47,4.42,4.37,4.32,4.27,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.91,3.87,3.83,3.79,3.75,3.7,3.66,3.62,3.58,3.55,3.51,3.47,3.43,3.39,3.36,3.32,3.28,3.25,3.21,3.18,3.14,3.11,3.07,3.04,3.01
8,15.95,10.79,21.35,15.95,10.23,15.22,20.15,9.96,20.01,15.05,4.96,0.0,0.0,5.27,0.0,15.95,5.31,16.43,11.22,11.55,0.0,24.3,12.19,5.97,28.99,5.64,11.12,10.78,5.37,16.11,5.3,5.38,5.52,5.55,5.5,5.45,6.09,6.36,6.18,6.03,5.9,5.78,5.66,5.55,5.43,5.33,5.23,5.14,5.05,4.97,4.89,4.82,4.75,4.69,4.63,4.57,4.52,4.47,4.42,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.24,3.21,3.17,3.14,3.1,3.07,3.04,3.0
9,10.57,31.98,32.06,10.61,10.22,10.17,10.07,9.95,9.97,5.0,24.67,0.0,5.16,0.0,21.31,0.0,0.0,10.9,27.99,22.99,17.56,6.06,6.06,5.95,11.54,11.27,5.55,0.0,5.35,10.74,0.0,5.37,5.44,5.46,27.14,11.49,6.62,6.42,6.25,6.11,5.99,5.88,5.77,5.66,5.55,5.45,5.35,5.27,5.18,5.11,5.03,4.96,4.9,4.84,4.78,4.72,4.67,4.61,4.56,4.51,4.46,4.41,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.24,3.21,3.17,3.14,3.1
10,0.0,16.04,10.71,26.57,20.46,15.29,20.14,19.92,4.95,14.93,4.91,15.05,15.35,5.18,5.3,10.6,0.0,5.43,5.57,17.2,23.36,0.0,12.07,0.0,0.0,5.63,5.55,26.8,5.34,10.68,5.25,10.61,5.36,10.78,7.96,7.12,6.9,6.71,6.55,6.41,6.29,6.18,6.08,5.97,5.87,5.77,5.67,5.59,5.51,5.43,5.35,5.28,5.22,5.16,5.09,5.04,4.98,4.92,4.87,4.82,4.76,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.31,4.27,4.22,4.17,4.13,4.08,4.04,4.0,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31
11,31.51,16.02,5.35,10.62,15.32,15.28,15.09,14.87,4.93,4.96,0.0,5.0,10.2,10.3,15.85,5.28,10.48,10.83,16.66,5.71,5.84,0.0,5.99,17.7,11.41,11.23,5.53,21.38,10.64,15.97,5.18,10.46,0.0,5.97,7.91,7.66,7.44,7.25,7.09,6.95,6.83,6.72,6.62,6.51,6.4,6.3,6.21,6.12,6.04,5.95,5.88,5.81,5.74,5.67,5.6,5.54,5.48,5.42,5.36,5.3,5.24,5.19,5.13,5.07,5.02,4.96,4.91,4.86,4.8,4.75,4.7,4.65,4.6,4.54,4.5,4.45,4.4,4.35,4.3,4.25,4.21,4.16,4.12,4.07,4.03,3.98,3.94,3.9,3.85,3.81,3.77,3.73,3.69,3.65
