,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205
0,924.8,935.62,881.95,841.87,828.19,809.25,798.63,784.16,728.28,695.61,646.61,572.79,567.13,540.15,530.87,542.93,529.88,497.19,510.02,509.05,498.86,463.85,498.44,470.73,440.31,467.54,432.93,428.38,452.3,445.43,440.73,436.09,431.5,426.97,422.5,418.08,413.72,409.41,405.15,400.95,396.8,392.7,388.65,384.65,380.7,376.8,372.96,369.16,365.41,361.71,358.06,354.46,350.92,347.42,343.95,340.51,337.12,333.75,330.42,327.12,323.85,320.62,317.42,314.25,311.11,308.01,304.93,301.88,298.87,295.89,292.93,290.01,287.11,284.24,281.41,278.59,275.81,273.06,270.33,267.63,264.96,262.31,259.69,257.1,254.53,251.99,249.47,246.98,244.51,242.07,239.65,237.26,234.89,232.54,230.22,227.92,225.65,223.39,221.16,218.95,216.76,214.6,212.45,210.33,208.23,206.15,204.09,202.05,200.03,198.04,196.06,194.1,192.16,190.24,188.34,186.46,184.59,182.75,180.92,179.12,177.33,175.56,173.8,172.06,170.35,168.64,166.96,165.29,163.64,162.0,160.38,158.78,157.2,155.63,154.07,152.53,151.01,149.5,148.0,146.53,145.06,143.61,142.18,140.76,139.35,137.96,136.58,135.21,133.86,132.53,131.2,129.89,128.59,127.31,126.04,124.78,123.53,122.3,121.07,119.86,118.67,117.48,116.31,115.14,113.99,112.86,111.73,110.61,109.51,108.41,107.33,106.26,105.19,104.14,103.1,102.07,101.05,100.04,99.04,98.05,97.07,96.1,95.14,94.19,93.25,92.32,91.4,90.48,89.58,88.69,87.8,86.92,86.05,85.19,84.34,83.5,82.67,81.84,81.02,80.21,79.41,78.62,77.83,77.05,76.28,75.52,74.77,74.02,73.28,72.55,71.82,71.11,70.4,69.69,69.0,68.31,67.62,66.95,66.28,65.62,64.96,64.31,63.67,63.03,62.4
1,71.74,67.72,63.83,64.6,76.97,65.73,66.39,61.71,54.43,61.22,56.22,47.59,45.42,48.67,47.72,43.62,38.35,43.74,38.67,32.41,35.15,36.17,39.79,36.39,38.18,39.47,31.3,33.22,29.98,29.06,28.32,27.61,26.94,26.29,25.67,25.08,24.52,23.98,23.47,22.99,22.52,22.08,21.66,21.27,20.89,20.54,20.2,19.89,19.6,19.33,19.08,18.86,18.66,18.47,18.29,18.11,17.93,17.75,17.57,17.39,17.22,17.05,16.88,16.71,16.54,16.38,16.21,16.05,15.89,15.73,15.57,15.42,15.26,15.11,14.96,14.81,14.66,14.52,14.37,14.23,14.08,13.94,13.8,13.67,13.53,13.39,13.26,13.13,13.0,12.87,12.74,12.61,12.48,12.36,12.24,12.11,11.99,11.87,11.75,11.64,11.52,11.4,11.29,11.18,11.07,10.95,10.85,10.74,10.63,10.52,10.42,10.31,10.21,10.11,10.01,9.91,9.81,9.71,9.61,9.52,9.42,9.33,9.23,9.14,9.05,8.96,8.87,8.78,8.69,8.61,8.52,8.44,8.35,8.27,8.19,8.1,8.02,7.94,7.86,7.78,7.71,7.63,7.55,7.48,7.4,7.33,7.26,7.18,7.11,7.04,6.97,6.9,6.83,6.76,6.69,6.63,6.56,6.5,6.43,6.37,6.3,6.24,6.18,6.12,6.05,5.99,5.93,5.87,5.82,5.76,5.7,5.64,5.59,5.53,5.48,5.42,5.37,5.31,5.26,5.21,5.16,5.1,5.05,5.0,4.95,4.9,4.85,4.81,4.76,4.71,4.66,4.62,4.57,4.52,4.48,4.43,4.39,4.35,4.3,4.26,4.22,4.17,4.13,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.78,3.74,3.7,3.66,3.63,3.59,3.55,3.52,3.48,3.45,3.41,3.38,3.35,3.31
2,44.79,44.4,42.9,33.98,36.66,36.72,37.88,40.17,35.58,26.44,35.03,28.13,26.48,29.67,23.36,28.49,24.86,26.12,31.57,16.43,21.36,17.54,24.84,20.49,17.46,21.69,17.89,21.44,18.96,18.44,18.02,17.62,17.24,16.87,16.52,16.18,15.86,15.55,15.25,14.97,14.7,14.44,14.19,13.95,13.73,13.51,13.31,13.12,12.94,12.77,12.61,12.47,12.34,12.22,12.09,11.97,11.85,11.74,11.62,11.5,11.39,11.27,11.16,11.05,10.94,10.83,10.72,10.61,10.51,10.4,10.3,10.2,10.09,9.99,9.89,9.79,9.7,9.6,9.5,9.41,9.31,9.22,9.13,9.04,8.95,8.86,8.77,8.68,8.59,8.51,8.42,8.34,8.26,8.17,8.09,8.01,7.93,7.85,7.77,7.69,7.62,7.54,7.47,7.39,7.32,7.24,7.17,7.1,7.03,6.96,6.89,6.82,6.75,6.68,6.62,6.55,6.49,6.42,6.36,6.29,6.23,6.17,6.11,6.05,5.98,5.93,5.87,5.81,5.75,5.69,5.63,5.58,5.52,5.47,5.41,5.36,5.31,5.25,5.2,5.15,5.1,5.05,4.99,4.94,4.9,4.85,4.8,4.75,4.7,4.66,4.61,4.56,4.52,4.47,4.43,4.38,4.34,4.3,4.25,4.21,4.17,4.13,4.09,4.04,4.0,3.96,3.92,3.88,3.85,3.81,3.77,3.73,3.69,3.66,3.62,3.58,3.55,3.51,3.48,3.44,3.41,3.38,3.34,3.31,3.27,3.24,3.21,3.18,3.15,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.82,2.79,2.76,2.73,2.71,2.68,2.65,2.63,2.6,2.57,2.55,2.52,2.5,2.47,2.45,2.42,2.4,2.37,2.35,2.33,2.3,2.28,2.26,2.24,2.21,2.19
3,35.52,25.31,25.85,25.56,27.59,25.37,29.0,32.42,27.13,26.04,19.36,22.6,22.76,18.07,17.99,15.9,17.38,16.46,17.92,21.82,19.91,12.23,17.89,15.36,13.15,15.32,16.52,16.88,13.72,13.41,13.16,12.93,12.7,12.49,12.27,12.07,11.87,11.68,11.5,11.32,11.15,10.98,10.82,10.67,10.52,10.38,10.24,10.11,9.98,9.86,9.75,9.64,9.55,9.45,9.36,9.26,9.17,9.08,8.99,8.9,8.81,8.72,8.63,8.55,8.46,8.38,8.29,8.21,8.13,8.05,7.97,7.89,7.81,7.73,7.65,7.58,7.5,7.43,7.35,7.28,7.2,7.13,7.06,6.99,6.92,6.85,6.78,6.72,6.65,6.58,6.52,6.45,6.39,6.32,6.26,6.2,6.13,6.07,6.01,5.95,5.89,5.83,5.78,5.72,5.66,5.6,5.55,5.49,5.44,5.38,5.33,5.28,5.22,5.17,5.12,5.07,5.02,4.97,4.92,4.87,4.82,4.77,4.72,4.68,4.63,4.58,4.54,4.49,4.45,4.4,4.36,4.32,4.27,4.23,4.19,4.15,4.1,4.06,4.02,3.98,3.94,3.9,3.86,3.83,3.79,3.75,3.71,3.67,3.64,3.6,3.57,3.53,3.49,3.46,3.42,3.39,3.36,3.32,3.29,3.26,3.22,3.19,3.16,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.83,2.8,2.77,2.75,2.72,2.69,2.66,2.64,2.61,2.58,2.56,2.53,2.51,2.48,2.46,2.43,2.41,2.39,2.36,2.34,2.31,2.29,2.27,2.25,2.22,2.2,2.18,2.16,2.14,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.86,1.84,1.82,1.8,1.78,1.76,1.75,1.73,1.71,1.69
4,26.55,20.7,26.43,23.07,20.64,27.76,22.54,23.1,25.04,18.49,20.46,14.29,15.61,13.59,14.33,12.62,12.0,10.83,10.4,13.85,14.47,15.75,13.61,13.24,7.3,12.42,9.27,12.74,11.69,11.47,11.31,11.16,11.01,10.86,10.72,10.57,10.44,10.3,10.17,10.04,9.92,9.79,9.68,9.56,9.45,9.34,9.23,9.12,9.02,8.92,8.83,8.74,8.65,8.56,8.48,8.39,8.31,8.22,8.14,8.06,7.98,7.9,7.82,7.74,7.67,7.59,7.51,7.44,7.36,7.29,7.22,7.15,7.07,7.0,6.93,6.86,6.79,6.73,6.66,6.59,6.53,6.46,6.4,6.33,6.27,6.21,6.15,6.08,6.02,5.96,5.9,5.84,5.79,5.73,5.67,5.61,5.56,5.5,5.45,5.39,5.34,5.29,5.23,5.18,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.78,4.73,4.68,4.64,4.59,4.55,4.5,4.46,4.41,4.37,4.32,4.28,4.24,4.19,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.76,3.72,3.68,3.64,3.61,3.57,3.54,3.5,3.47,3.43,3.4,3.36,3.33,3.3,3.26,3.23,3.2,3.17,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.83,2.81,2.78,2.75,2.72,2.7,2.67,2.64,2.62,2.59,2.56,2.54,2.51,2.49,2.46,2.44,2.41,2.39,2.37,2.34,2.32,2.3,2.27,2.25,2.23,2.2,2.18,2.16,2.14,2.12,2.1,2.08,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.92,1.9,1.88,1.86,1.84,1.82,1.8,1.79,1.77,1.75,1.73,1.71,1.7,1.68,1.66,1.65,1.63,1.61,1.6,1.58,1.57,1.55,1.54
5,23.72,18.39,21.48,22.11,17.49,17.11,19.05,15.94,21.01,14.0,18.13,12.02,13.35,14.66,16.12,11.21,10.74,12.66,10.84,12.11,12.48,12.44,12.98,9.41,8.24,10.97,9.13,9.62,10.29,10.13,10.02,9.91,9.81,9.7,9.6,9.5,9.4,9.3,9.2,9.11,9.01,8.92,8.83,8.74,8.65,8.56,8.47,8.38,8.3,8.21,8.13,8.05,7.97,7.89,7.81,7.73,7.65,7.58,7.5,7.43,7.35,7.28,7.21,7.13,7.06,6.99,6.92,6.85,6.78,6.72,6.65,6.58,6.52,6.45,6.39,6.32,6.26,6.2,6.14,6.07,6.01,5.95,5.89,5.83,5.78,5.72,5.66,5.6,5.55,5.49,5.44,5.38,5.33,5.28,5.22,5.17,5.12,5.07,5.02,4.97,4.92,4.87,4.82,4.77,4.72,4.68,4.63,4.58,4.54,4.49,4.45,4.4,4.36,4.32,4.27,4.23,4.19,4.15,4.1,4.06,4.02,3.98,3.94,3.9,3.86,3.83,3.79,3.75,3.71,3.67,3.64,3.6,3.57,3.53,3.49,3.46,3.43,3.39,3.36,3.32,3.29,3.26,3.22,3.19,3.16,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.83,2.8,2.77,2.75,2.72,2.69,2.66,2.64,2.61,2.58,2.56,2.53,2.51,2.48,2.46,2.43,2.41,2.39,2.36,2.34,2.31,2.29,2.27,2.25,2.22,2.2,2.18,2.16,2.14,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.86,1.84,1.82,1.8,1.78,1.76,1.75,1.73,1.71,1.69,1.68,1.66,1.64,1.63,1.61,1.6,1.58,1.56,1.55,1.53,1.52,1.5,1.49,1.47,1.46,1.44,1.43,1.41
6,21.7,18.48,22.71,17.23,19.91,20.49,17.08,15.91,16.94,14.78,14.64,14.83,13.32,13.34,13.05,14.2,10.59,12.94,11.01,8.89,14.13,10.12,10.74,11.95,10.82,10.41,9.14,8.76,9.54,9.41,9.32,9.24,9.15,9.07,8.99,8.9,8.82,8.74,8.66,8.57,8.49,8.41,8.33,8.25,8.18,8.1,8.02,7.94,7.86,7.79,7.71,7.63,7.56,7.48,7.41,7.33,7.26,7.19,7.12,7.04,6.97,6.9,6.84,6.77,6.7,6.63,6.57,6.5,6.44,6.37,6.31,6.24,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.7,5.65,5.59,5.53,5.48,5.42,5.37,5.32,5.26,5.21,5.16,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.76,4.71,4.67,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.31,4.26,4.22,4.18,4.14,4.09,4.05,4.01,3.97,3.93,3.89,3.85,3.82,3.78,3.74,3.7,3.67,3.63,3.59,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.32,3.28,3.25,3.22,3.18,3.15,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.79,2.77,2.74,2.71,2.68,2.66,2.63,2.6,2.58,2.55,2.53,2.5,2.48,2.45,2.43,2.4,2.38,2.36,2.33,2.31,2.29,2.26,2.24,2.22,2.2,2.17,2.15,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.83,1.81,1.8,1.78,1.76,1.74,1.73,1.71,1.69,1.67,1.66,1.64,1.62,1.61,1.59,1.58,1.56,1.54,1.53,1.51,1.5,1.48,1.47,1.45,1.44,1.43,1.41,1.4,1.38,1.37,1.36,1.34
7,20.83,17.39,16.98,19.94,14.13,17.01,14.66,17.75,14.86,13.47,16.81,12.98,12.2,9.74,11.75,8.91,11.68,11.84,8.83,8.11,10.87,9.75,8.41,8.71,10.6,6.64,8.61,8.03,9.08,8.96,8.88,8.81,8.73,8.66,8.58,8.51,8.43,8.36,8.29,8.21,8.14,8.06,7.99,7.92,7.85,7.77,7.7,7.63,7.55,7.48,7.41,7.34,7.26,7.19,7.12,7.05,6.98,6.91,6.84,6.77,6.7,6.64,6.57,6.5,6.44,6.37,6.31,6.25,6.18,6.12,6.06,6.0,5.94,5.88,5.82,5.76,5.71,5.65,5.59,5.54,5.48,5.43,5.37,5.32,5.27,5.21,5.16,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.76,4.71,4.67,4.62,4.57,4.53,4.48,4.44,4.39,4.35,4.31,4.26,4.22,4.18,4.14,4.1,4.06,4.01,3.97,3.93,3.9,3.86,3.82,3.78,3.74,3.7,3.67,3.63,3.59,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.32,3.28,3.25,3.22,3.19,3.15,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.8,2.77,2.74,2.71,2.69,2.66,2.63,2.61,2.58,2.55,2.53,2.5,2.48,2.45,2.43,2.4,2.38,2.36,2.33,2.31,2.29,2.26,2.24,2.22,2.2,2.17,2.15,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.83,1.81,1.8,1.78,1.76,1.74,1.73,1.71,1.69,1.67,1.66,1.64,1.62,1.61,1.59,1.58,1.56,1.55,1.53,1.51,1.5,1.48,1.47,1.45,1.44,1.43,1.41,1.4,1.38,1.37,1.36,1.34,1.33,1.32,1.3,1.29
8,16.25,18.77,17.75,15.06,15.97,13.7,10.97,14.99,12.26,13.46,14.13,14.06,9.31,10.54,9.08,8.89,10.18,8.52,10.57,10.42,14.26,9.22,9.06,8.07,6.71,11.98,6.64,9.32,8.68,8.57,8.49,8.42,8.35,8.28,8.21,8.14,8.07,8.0,7.92,7.85,7.78,7.71,7.64,7.57,7.5,7.43,7.36,7.3,7.23,7.16,7.09,7.02,6.95,6.88,6.81,6.74,6.67,6.61,6.54,6.48,6.41,6.35,6.28,6.22,6.16,6.1,6.04,5.98,5.92,5.86,5.8,5.74,5.68,5.63,5.57,5.51,5.46,5.4,5.35,5.3,5.24,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.84,4.79,4.74,4.69,4.65,4.6,4.56,4.51,4.46,4.42,4.38,4.33,4.29,4.25,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.73,3.69,3.65,3.62,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.34,3.3,3.27,3.24,3.2,3.17,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.78,2.76,2.73,2.7,2.67,2.65,2.62,2.59,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.39,2.37,2.35,2.32,2.3,2.28,2.25,2.23,2.21,2.19,2.17,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.59,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.41,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.25,1.23
9,17.07,11.72,16.69,18.44,22.52,17.08,16.71,10.96,13.62,14.29,15.5,14.82,9.25,12.63,8.89,11.99,11.43,9.86,9.13,8.71,10.1,8.42,9.53,6.71,8.41,4.37,7.87,10.48,8.4,8.29,8.22,8.14,8.07,8.0,7.92,7.85,7.78,7.71,7.64,7.56,7.49,7.42,7.35,7.28,7.22,7.15,7.08,7.01,6.94,6.87,6.81,6.74,6.67,6.61,6.54,6.47,6.41,6.35,6.28,6.22,6.16,6.1,6.03,5.97,5.91,5.85,5.8,5.74,5.68,5.62,5.57,5.51,5.46,5.4,5.35,5.3,5.24,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.84,4.79,4.74,4.69,4.65,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.29,4.24,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.72,3.69,3.65,3.61,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.34,3.3,3.27,3.24,3.2,3.17,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.78,2.76,2.73,2.7,2.67,2.65,2.62,2.59,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.39,2.37,2.35,2.32,2.3,2.28,2.25,2.23,2.21,2.19,2.16,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.82,1.81,1.79,1.77,1.75,1.74,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.59,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.41,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.25,1.23,1.22,1.21,1.2,1.18
