age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,924.8,935.62,881.95,841.87,828.19,809.25,798.63,784.16,728.28,695.61,646.61,572.79,567.13,540.15,530.87,542.93,529.88,497.19,510.02,509.05,498.86,463.85,498.44,470.73,440.31,467.54,437.47,423.69,423.39,406.41,373.75,369.68,345.83,367.13,338.58,359.67,362.5,355.17,309.84,310.31,303.34,296.7,290.37,284.33,278.58,273.1,267.87,262.89,258.14,253.6,249.28,245.15,241.21,237.46,233.87,230.44,227.17,224.05,221.06,218.19,215.44,212.8,210.24,207.72,205.23,202.77,200.34,197.93,195.56,193.22,190.9,188.61,186.35,184.12,181.91,179.73,177.57,175.44,173.34,171.26,169.21,167.18,165.18,163.19,161.24,159.3,157.39,155.51,153.64529587373042,151.8029343476031,149.982648279301,148.18417346436365,146.40724894010285,144.6516168842977,142.91702251388907,141.203213983674,139.50994269022226,137.836962765349,136.18403148133663,134.55090884571308,132.93735780386265,131.34314403641514,129.76803626316217,128.21180563522472,126.6742263428855,125.15507490645125,123.65413098669579,122.171176574417,120.70599619304748,119.25837710126548,117.82810919168935,116.41498458565607,115.01879813974821,113.63934704057229,112.2764308047589,110.92985158287877,109.5994136529158,108.28492382548873,106.98619113993496,105.70302686431036,104.43524459669494,103.18266006258182,101.94509141879358,100.72235864564979,99.51428418519112,98.3206924650438,97.14141000985576,95.97626545142695,94.82508945779584,93.68771471297805,92.56397591696656,91.45370973507895,90.35675477769622,89.27295161039353,88.20214268302632,87.14417233986077,86.09888677905172,85.06613404251223,84.04576399565234,83.03762827672641,82.04158033735537,81.0574753412212,80.08517021471977,79.12452356591635,78.17539573519845,77.23764869397041,76.3111460851755,75.39575318277373,74.49133686135042,73.5977656062465,72.71490945277544,71.84264001661481,70.98083043302303,70.12935535683943,69.2880909523536,68.4569148527834,67.63570616027478,66.82434543577138,66.02271465849229,65.23069720567099,64.44817788294702,63.67504285345214,62.91117963781034,62.15647713439895,61.41082552817376,60.674116341321735,59.946242412999936,59.22709782842171,58.516577959378886,57.81457943385016
1,71.74,67.72,63.83,64.6,76.97,65.73,66.39,61.71,54.43,61.22,56.22,47.59,45.42,48.67,47.72,43.62,38.35,43.74,38.67,32.41,35.15,36.06,39.72,36.37,38.17,39.41,31.05,33.03,24.96,31.47,30.53,26.33,30.04,22.56,27.19,28.17,17.42,23.06,30.87,30.92,30.23,29.57,28.95,28.35,27.78,27.23,26.71,26.22,25.75,25.3,24.87,24.45,24.06,23.69,23.33,22.99,22.66,22.35,22.05,21.77,21.49,21.23,20.97,20.72,20.47,20.23,19.99,19.75,19.51,19.28,19.04,18.82,18.59,18.37,18.15,17.93,17.71,17.5,17.29,17.08,16.88,16.68,16.48,16.28,16.08,15.89,15.7,15.51,15.323893977104492,15.140020896008467,14.95835397189578,14.778866725945901,14.60153301593348,14.426327015828628,14.25322318519737,14.082196320200906,13.913221482196631,13.746274079336976,13.581329774770715,13.418364537642233,13.25735462269183,13.098276590655415,12.941107236865538,12.785823683050063,12.632403305933218,12.480823737235557,12.331062904473404,12.183098990159428,12.036910431802644,11.89247592190841,11.749774438577997,11.608785163909745,11.469487575797762,11.331861366333078,11.195886492802929,11.06154314709119,10.928811735278659,10.797672938842195,10.668107643255729,10.540096958389977,10.413622259311854,10.288665094485793,10.165207263292627,10.043230781350095,9.92271787439292,9.803650982352757,9.686012757318217,9.569786056394983,9.454953946805718,9.341499694670237,9.22940677010543,9.118658840085367,9.009239766401329,8.901133606681787,8.794324608272493,8.68879720823648,8.584536029274126,8.481525880743124,8.379751750498617,8.279198811013101,8.17985240917657,8.081698069356476,7.984721488297801,7.888908536143041,7.7942452503122945,7.70071783856322,7.608312670831151,7.51701628330904,7.4268153713075575,7.337696793335033,7.2496475608976105,7.162654844619145,7.076705968121305,6.991788407003579,6.907889787823292,6.824997884015662,6.743100615893808,6.662186051668722,6.582242398269415,6.503258007462817,6.425221369733872,6.348121112245566,6.271946001898882,6.196684936152931,6.122326948124879,6.048861203529996,5.976276995581721,5.904563747031638,5.8337110081295025,5.7637084545832735
2,44.79,44.4,42.9,33.98,36.66,36.72,37.88,40.17,35.58,26.44,35.03,28.13,26.48,29.67,23.36,28.49,24.86,26.12,31.57,16.43,21.36,17.47,24.68,20.43,17.44,21.68,17.84,21.18,19.03,13.26,16.34,11.22,13.09,14.31,11.91,16.02,13.97,8.48,10.22,10.22,9.97,9.74,9.51,9.3,9.1,8.91,8.73,8.56,8.4,8.24,8.1,7.96,7.82,7.7,7.58,7.46,7.35,7.25,7.15,7.06,6.97,6.88,6.8,6.72,6.64,6.56,6.48,6.4,6.32,6.25,6.17,6.1,6.03,5.95,5.88,5.81,5.74,5.67,5.6,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.969641476201128,4.910007220676312,4.851088541657888,4.792876852991444,4.735363671089285,4.6785406159459475,4.622399407076148,4.566931861483758,4.512129896708347,4.457985525747612,4.404490860103926,4.351638101660227,4.299419549788616,4.247827594241764,4.196854717183941,4.146493488113449,4.096736569955705,4.0475767109391345,3.9990067466262005,3.951019599913403,3.9036082759537174,3.856765866218646,3.810485543420652,3.764760564559701,3.719584265845699,3.6749500616829796,3.6308514497478646,3.5872820018490557,3.544235369005195,3.5017052773828166,3.45968553032737,3.4181700022701498,3.377152644821366,3.336627478646047,3.296588598541604,3.257030170391288,3.2179464271021483,3.1793316746981026,3.1411802841958374,3.1034866966823724,3.0662454192530118,3.029451022980317,2.993098145960646,2.9571814912831296,2.92169582398313,2.886635972057761,2.851996827481393,2.817773340112585,2.783960523787154,2.750553449209594,2.717547250046144,2.6849371137851827,2.652718289861325,2.620886080515811,2.589435848920605,2.5583630100387866,2.527663035702108,2.497331452579976,2.4673638391329087,2.437755828659076,2.4085031052322523,2.3796014067483484,2.351046520863367,2.3228342849934007,2.294960588345658,2.267421368871925,2.2402126122530546,2.21333035392999,2.186770676057229,2.160529706487312,2.134603622832871,2.1089886453580418,2.0836810410405167,2.058677122556029,2.0339732442163077,2.009565807046636,1.9854512526927774,1.961626067483028,1.9380867793816767,1.9148299579890073,1.8918522125102737,1.869150194802235
3,35.52,25.31,25.85,25.56,27.59,25.37,29.0,32.42,27.13,26.04,19.36,22.6,22.76,18.07,17.99,15.9,17.38,16.46,17.92,21.82,19.91,12.18,17.75,15.21,13.09,15.29,16.51,16.82,15.58,13.3,10.77,11.95,12.68,12.4,11.58,9.45,9.31,9.94,7.42,7.39,7.2,7.01,6.83,6.67,6.51,6.36,6.22,6.09,5.96,5.85,5.73,5.63,5.53,5.44,5.35,5.26,5.18,5.11,5.04,4.97,4.91,4.84,4.79,4.73,4.67,4.62,4.56,4.51,4.45,4.4,4.35,4.29,4.24,4.19,4.14,4.09,4.04,3.99,3.95,3.9,3.85,3.81,3.76,3.71,3.67,3.63,3.58,3.54,3.4975207503824,3.4555512334641914,3.414085333407591,3.3731170076539594,3.3326402849432846,3.292649266304441,3.25313812406493,3.214101099870361,3.1755325056747132,3.1374267187890403,3.0997781878230226,3.0625814247628975,3.0258310089324953,2.9895215850127217,2.953647861061037,2.9182046085114624,2.883186663164832,2.8485889212277637,2.814406339312655,2.780633937408461,2.747266792939142,2.7143000437344407,2.6817288840688427,2.649548567632361,2.6177544055500093,2.5863417624207745,2.5553060622591643,2.524642780573141,2.4943474483251515,2.464415651932134,2.43484302732396,2.405625265884988,2.3767581095027728,2.3482373495778037,2.3200588319747983,2.292218448110375,2.2647121408946065,2.2375359027504986,2.2106857716529595,2.1841578350898323,2.1579482261008605,2.132053126248463,2.106468760666445,2.081191401030768,2.0562173635790377,2.0315430091105005,2.0071647400152672,1.9830790042353528,1.9592822913036338,1.9357711333341145,1.9125421040316641,1.8895918177017572,1.866916930240736,1.8445141351747734,1.8223801696014246,1.800511806267559,1.7789058585206525,1.7575591773380128,1.7364686523170365,1.7156312096946926,1.6950438113572635,1.674703456820863,1.654607183231435,1.6347520614037205,1.6151351968115142,1.5957537305779248,1.5766048384851163,1.5576857289937895,1.5389936452237,1.520525862973141,1.5022796917092014,1.4842524706067322,1.466441572509379,1.448844401949068,1.4314583951460023,1.4142810170378886,1.3973097642507122,1.3805421641084779,1.363975772652693,1.3476081746423683,1.3314369855345334,1.3154598475232033
4,26.55,20.7,26.43,23.07,20.64,27.76,22.54,23.1,25.04,18.49,20.46,14.29,15.61,13.59,14.33,12.62,12.0,10.83,10.4,13.85,14.47,15.69,13.49,13.08,7.2,12.34,9.24,12.73,14.12,10.04,10.41,9.19,9.15,8.09,7.62,8.91,8.21,4.17,7.1,7.06,6.86,6.67,6.49,6.32,6.16,6.0,5.86,5.73,5.61,5.49,5.38,5.27,5.17,5.08,5.0,4.91,4.84,4.77,4.7,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.96,3.91,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.55,3.51,3.46,3.42,3.38,3.34,3.3,3.2604006621947548,3.221276500293508,3.182621813554292,3.1444309675341717,3.1066983970142066,3.069418603074489,3.0325861530941456,2.99619567782638,2.9602418752984168,2.9247195059365705,2.8896233915912615,2.8549484194369597,2.8206895331973096,2.7868417428949908,2.753400114126874,2.7203597739139345,2.6877159068013103,2.6554637548583018,2.623598618653356,2.5921158533541253,2.5610108716524254,2.5302791398642897,2.4999161798799423,2.469917565263855,2.4402789261296753,2.4109959403653565,2.382064342408026,2.3534799154441024,2.325238493359266,2.297335960738459,2.2697682499409257,2.2425313440251746,2.215621273824017,2.1890341169695815,2.162765998868304,2.1368130907509495,2.1111716116225896,2.0858378233876698,2.060808033774969,2.0360785953626115,2.011645904603084,1.987506399873262,1.9636565634243823,1.9400929184570843,1.9168120330213554,1.8938105122166424,1.8710850040417681,1.8486321964699721,1.8264488174489126,1.8045316349006653,1.7828774528217801,1.7614831171331966,1.740345507880358,1.7194615460581097,1.6988281877607867,1.6784424251571992,1.6583012874656162,1.6384018390037964,1.6187411801639733,1.599316445462883,1.580124803541765,1.5611634571663604,1.5424296442019008,1.5239206327381767,1.5056337269394535,1.4875662602195698,1.4697155991418827,1.4520791434192655,1.434654322014165,1.4174385950885755,1.400429454004035,1.3836244203466417,1.3670210430020966,1.3506169040056182,1.3344096126920262,1.3183968056957438,1.302576148900767,1.2869453384156533,1.2715020956985896,1.2562441685323793,1.2411693349243864,1.2262753962816337
5,23.72,18.39,21.48,22.11,17.49,17.11,19.05,15.94,21.01,14.0,18.13,12.02,13.35,14.66,16.12,11.21,10.74,12.66,10.84,12.11,12.48,12.39,12.88,9.28,8.11,10.78,9.05,9.58,11.34,7.71,7.75,10.05,9.15,6.67,6.85,4.95,6.28,10.49,6.98,6.93,6.73,6.53,6.35,6.18,6.02,5.86,5.72,5.59,5.46,5.34,5.23,5.13,5.03,4.94,4.86,4.78,4.7,4.63,4.56,4.5,4.44,4.39,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.89,3.84,3.79,3.75,3.7,3.66,3.62,3.57,3.53,3.49,3.45,3.4,3.36,3.32,3.28,3.24,3.2,3.161600617677389,3.123662012898361,3.0861786561789604,3.049145086883306,3.0125559063387852,2.976405781770227,2.9406894462999036,2.905401695013355,2.8705373829923015,2.8360914312159045,2.802058818692419,2.768434586393367,2.73521383331936,2.7023917174836485,2.669963457879205,2.637924325626829,2.606269652827045,2.574994826658837,2.5440952883961043,2.513566535374751,2.4834041170585084,2.4536036399566554,2.4241607587721252,2.395071184269853,2.366330675408427,2.3379350452413505,2.309880154032237,2.2821619131889825,2.254776284280225,2.227719275101165,2.2009869436077447,2.1745753920153827,2.1484807727002386,2.1226992813144028,2.097227161703619,2.072060700989565,2.047196230553394,2.0226301289863673,1.9983588142215045,1.9743787484513018,1.950686439111274,1.927278431011608,1.9041513132219654,1.8813017161208532,1.8587263094285362,1.8364218012234916,1.814384942860129,1.7926125220839848,1.7711013659823505,1.7498483380336443,1.7288503430251294,1.708104319184561,1.687607243097909,1.6673561277422686,1.6473480215023149,1.6275800091538497,1.6080492089131675,1.5887527744041448,1.5696878926911506,1.5508517862461366,1.5322417099980035,1.5138549513326007,1.4956888300927287,1.4777406985781365,1.4600079415455232,1.4424879752249933,1.4251782443694254,1.408076228155735,1.3911794333000684,1.3744853960248888,1.3579916859931538,1.3416958964728745,1.325595654172556,1.3096886123563891,1.2939724528113383,1.2784448838800548,1.2631036434115073,1.2479464958103499,1.232971232036924,1.2181756686237115,1.2035576506259698,1.1891150457204653
6,21.7,18.48,22.71,17.23,19.91,20.49,17.08,15.91,16.94,14.78,14.64,14.83,13.32,13.34,13.05,14.2,10.59,12.94,11.01,8.89,14.13,10.08,10.65,11.8,10.63,10.19,8.93,8.67,8.15,9.25,8.05,9.33,7.82,8.49,7.23,6.81,7.24,7.11,6.64,6.6,6.4,6.22,6.04,5.88,5.73,5.58,5.45,5.32,5.2,5.09,4.99,4.89,4.79,4.71,4.63,4.55,4.48,4.41,4.35,4.29,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.89,3.84,3.79,3.75,3.7,3.66,3.62,3.57,3.53,3.49,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.17,3.13,3.09,3.05,3.0134005568044695,2.977240294880208,2.9415139423942493,2.90621629378245,2.8713422048040487,2.8368865925416715,2.8028444354013295,2.7692107731124183,2.7359807037604593,2.703149383787098,2.670712028979192,2.6386639124906353,2.6070003628641887,2.5757167650205615,2.544808562236589,2.5142712472434496,2.4841003711284464,2.454291536411399,2.424840399022817,2.3957426663257273,2.3669940990938474,2.3385905055770633,2.3105277474359527,2.2828017338072613,2.2554084252602524,2.228343829840358,2.201604001091006,2.175185043988141,2.14908310702753,2.1232943861811084,2.0978151239078935,2.072641606186726,2.047770164494442,2.0231971738276986,1.9989190527029739,1.9749322631565707,1.951233309755524,1.9278187386085184,1.9046851363767994,1.8818291322523475,1.859247394990617,1.8369366338996254,1.8148935958726882,1.7931150703338579,1.771597882314313,1.7503388954196204,1.72933501281882,1.7085831713099064,1.6880803482434352,1.667823555588001,1.6478098389411526,1.628036283463913,1.608500006957172,1.5891981618398587,1.57012793613803,1.551286548539435,1.5326712543280363,1.5142793394494896,1.4961081254565776,1.478154961596515,1.460417232723644,1.4428923543539982,1.425577770687131,1.4084709595515492,1.3915694264701912,1.3748707096058623,1.3583723738267122,1.3420720166407578,1.3259672602831873,1.3100557586399684,1.2943351923024133,1.2788032705453545,1.2634577293489688,1.2482963323878655,1.233316869052912,1.2185171584075813,1.2038950412752578,1.1894483871628447,1.1751750912935037,1.1610730736175672,1.1471402768343668,1.1333746733158385
7,20.83,17.39,16.98,19.94,14.13,17.01,14.66,17.75,14.86,13.47,16.81,12.98,12.2,9.74,11.75,8.91,11.68,11.84,8.83,8.11,10.87,9.71,8.35,8.6,10.42,6.49,8.38,7.83,6.84,8.83,4.8,8.01,6.41,9.96,8.44,5.99,7.37,5.48,6.03,6.0,5.83,5.66,5.51,5.36,5.23,5.1,4.98,4.86,4.76,4.66,4.56,4.47,4.39,4.31,4.24,4.17,4.1,4.04,3.99,3.93,3.88,3.83,3.79,3.74,3.7,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.08,3.05,3.01,2.97,2.94,2.9,2.87,2.83,2.8,2.7664004649639526,2.7332041131034677,2.7004061060444267,2.668001665417347,2.635986066856925,2.6043546460024953,2.5731027924975685,2.542225950989909,2.5117196231316874,2.4815793615790205,2.4518007739922765,2.4223795210359214,2.3933113153784453,2.3645919186921245,2.3362171466534116,2.3081828649426277,2.2804849862437253,2.253119474244604,2.2260823416369493,2.1993696471160065,2.172977498380808,2.146902048133869,2.1211394970814124,2.0956860899330665,2.070538117402016,2.045691914204849,2.0211438590615534,1.9968903746955227,1.9729279268334736,1.9492530222052948,1.9258622115442756,1.9027520845867232,1.8799192740722688,1.8573604517435587,1.835072331346489,1.8130516626297388,1.7912952373452344,1.769799885247841,1.7485624720952084,1.7275799036480781,1.706849121669977,1.6863671049272924,1.6661308681891958,1.6461374622276417,1.6263839738173698,1.6068675227356704,1.5875852657626959,1.5685343916810732,1.5497121252762123,1.531115721335844,1.5127424716505595,1.4945896980132707,1.4766547542193629,1.4589350260666976,1.4414279323556862,1.4241309198889074,1.4070414694715674,1.3901570889109611,1.3734753180168577,1.3569937266013468,1.3407099104785276,1.3246214984650522,1.308726144379505,1.2930215320427914,1.2775053732779809,1.2621754049100768,1.2470293947664797,1.2320651346764457,1.217280442471242,1.2026731649843778,1.1882411730512188,1.1739823625090633,1.159894656197298,1.1459759999570882,1.1322243656316089,1.1186377490658925,1.105214170106826,1.0919516726031528,1.0788483234053952,1.0659022123658535,1.0531114533386843,1.0404741811796678
8,16.25,18.77,17.75,15.06,15.97,13.7,10.97,14.99,12.26,13.46,14.13,14.06,9.31,10.54,9.08,8.89,10.18,8.52,10.57,10.42,14.26,9.18,8.99,7.97,6.6,11.73,6.45,9.03,6.72,11.84,4.95,6.15,7.65,6.37,8.05,3.6,7.76,6.16,5.61,5.59,5.43,5.28,5.14,5.01,4.89,4.77,4.67,4.56,4.46,4.37,4.29,4.21,4.13,4.06,3.99,3.93,3.86,3.81,3.75,3.7,3.66,3.61,3.57,3.52,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.09,3.05,3.01,2.98,2.94,2.91,2.87,2.84,2.8,2.77,2.73,2.7,2.67,2.64,2.6083203972584177,2.577020939777469,2.5460970671714196,2.5155442711018523,2.485358100482393,2.4555341552330394,2.4260680883620482,2.396955607006885,2.3681924661885443,2.3397744760981745,2.311697494810455,2.283957429324539,2.256550236605004,2.229471923581848,2.2027185440276553,2.176286197516644,2.15017103254751,2.124369243420586,2.098877070237843,2.0736907957800472,2.0488067517524446,2.024221309416238,1.9999308868752137,1.9759319438710115,1.9522209828240682,1.9287945488336191,1.9056492255139126,1.8827816422808343,1.860188463942444,1.8378663990265454,1.8158121945759562,1.794022636148507,1.7724945478170404,1.7512247921694133,1.7302102692675487,1.7094479166474366,1.688934708278187,1.668667654562031,1.648643801293373,1.6288602296587926,1.6093140583189358,1.590002437162837,1.570922551471705,1.5520716219189232,1.533446899365317,1.515045671104833,1.496865253577913,1.4789029975762285,1.4611562861607836,1.4436225325800283,1.4262991813107986,1.4091837070173745,1.3922736155924254,1.3755664420751161,1.3590597527330013,1.3427511408982382,1.3266382300904274,1.3107186708937741,1.2949901451208705,1.2794503585260755,1.2640970480921363,1.248927973702618,1.2339409275104216,1.2191337224873744,1.2045042028336919,1.1900502346094626,1.1757697130212705,1.1616605551355728,1.1477207050834297,1.1339481319786129,1.1203408278357128,1.1068968086110844,1.0936141173256866,1.0804908157375117,1.0675249926691555,1.05471475776214,1.042058243558806,1.0295536065432584,1.0171990240185291,1.0049926941065752,0.9929328399120652,0.9810177011948084
9,17.07,11.72,16.69,18.44,22.52,17.08,16.71,10.96,13.62,14.29,15.5,14.82,9.25,12.63,8.89,11.99,11.43,9.86,9.13,8.71,10.1,8.39,9.45,6.63,8.27,4.27,7.66,10.13,11.06,7.74,6.45,7.03,6.8,7.61,6.98,7.4,4.19,7.43,5.24,5.22,5.08,4.95,4.82,4.7,4.59,4.48,4.38,4.29,4.2,4.12,4.04,3.96,3.89,3.83,3.76,3.7,3.65,3.6,3.55,3.5,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.1,3.06,3.02,2.99,2.95,2.91,2.88,2.84,2.81,2.78,2.74,2.71,2.68,2.65,2.61,2.58,2.55,2.52,2.49,2.4601203549436472,2.4305992571440207,2.401432404617569,2.372615546077519,2.344144481968498,2.3160150634319137,2.2882231902366885,2.2607648118138965,2.2336359262221297,2.2068325811821277,2.1803508699382665,2.1541869312585566,2.1283369546077857,2.1027971698012347,2.0775638573509623,2.05263333811952,2.0280019795277253,2.0036661914161455,1.9796224270797267,1.955867183267796,1.932396996045546,1.9092084459671774,1.8862981529027576,1.8636627791421052,1.841299025256278,1.8192036311322002,1.7973733770072922,1.7758050814002118,1.7544956011108568,1.733441830185736,1.7126407009525952,1.6920891798819095,1.6717842737946476,1.651723022619876,1.6319025035332735,1.612319825783989,1.5929721369024095,1.5738566164923935,1.5549704793351529,1.5363109722853714,1.5178753753058298,1.4996610025020376,1.481665200052972,1.4638853431071985,1.4463188419906368,1.4289631359987922,1.4118156944313844,1.3948740207308603,1.3781356442053685,1.3615981252018996,1.3452590540716587,1.3291160491008094,1.313166757545101,1.2974088556298686,1.2818400454461505,1.2664580590891985,1.2512606545199665,1.2362456155651098,1.221410756055499,1.2067539125838216,1.1922729486430959,1.1779657546266693,1.1638302457589638,1.149864360026219,1.1360660633496327,1.1224333444122194,1.1089642167280696,1.0956567165730893,1.0825089050542598,1.0695188650057514,1.0566847040928085,1.0440045517078655,1.0314765600051738,1.019098901831547,1.006869774864872,0.9947873954063418,0.9828500035535943,0.971055859062202,0.9594032423802982,0.947890456717834,0.9365158218388101,0.9252776823383007
