age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,924.8,935.62,881.95,841.87,828.19,809.25,798.63,784.16,728.28,695.61,646.61,572.79,567.13,540.15,530.87,542.93,529.88,497.19,510.02,509.05,498.86,463.85,498.44,470.73,440.31,467.54,437.47,423.69,423.39,406.41,373.75,369.68,345.83,367.13,338.58,359.67,362.5,355.17,354.85,346.83,360.38,348.06,366.03,389.52,296.73,269.8,262.94,256.49,250.44,244.76,239.44,234.47,229.82,225.46,221.39,217.57,214.0,210.64,207.49,204.52,201.72,199.07,196.56,194.16,191.86,189.66,187.52,185.44,183.4,181.4,179.41,177.45,175.51,173.59,171.7,169.82,167.96,166.13,164.31,162.52,160.74,158.98,157.24,155.53,153.83,152.14,150.48,148.84,147.21,145.6,144.01,142.43,140.88,139.34,137.79360932655104,136.26438044522874,134.7521228950364,133.25664832870706,131.77777048924543,130.31530518673023,128.86907027537373,127.43888563083608,126.02457312779134,124.62595661774253,123.24286190708276,121.87511673540003,120.52255075402265,119.18499550480274,117.86228439913543,116.55425269721056,115.26073748749491,113.98157766644199,112.71661391842719,111.46568869590527,110.22864619978849,109.00533236004213,107.7955948164956,106.5992828998664,105.41624761299471,104.24634161228622,103.08941918936091,101.94533625290549,100.81395031072728,99.6951204520072,98.58870732974975,97.49457314342769,96.41258162181951,95.34259800603712,94.28448903274209,93.23812291754808,92.20336933860747,91.18009942038017,90.16818571758252,89.16750219931437,88.17792423336232,87.19932857067708,86.23159333002323,85.27459798279925,84.32822333802595,83.39235152750175,82.46686599112233,81.55165146236364,80.64659395392557,79.75158074353534,78.86650035990813,77.99124256886377,77.12569835959732,76.26975993110214,75.42332067874354,74.58627518098152,73.75851918624085,72.93994959992672,72.13046447158479,71.32996298220341,70.53834543165699,69.75551322628858,68.98136886663035,68.21581593526031,67.45875908479384,66.7101040260084,65.96975751610005,65.23762734707043,64.51362233424246,63.79765230490357,63.08962808707493,62.38946149840537,61.69706533518851,61.012353361501795,60.33524029846607,59.66564181362432,59.00347451043834,58.348655917901915,57.701104480269315,57.06073954689776,56.4274813622026,55.801251055724016,55.18197063230393,54.5695629623719,53.9639517723389,53.36506163509766
1,71.74,67.72,63.83,64.6,76.97,65.73,66.39,61.71,54.43,61.22,56.22,47.59,45.42,48.67,47.72,43.62,38.35,43.74,38.67,32.41,35.15,36.06,39.72,36.37,38.17,39.41,31.05,33.03,24.96,31.47,30.53,26.4,30.32,22.79,27.53,28.59,17.7,23.53,24.16,16.72,20.14,25.45,21.56,15.88,17.7,18.31,17.78,17.29,16.84,16.41,16.01,15.64,15.3,14.99,14.69,14.42,14.16,13.92,13.7,13.5,13.3,13.12,12.95,12.79,12.63,12.49,12.35,12.21,12.07,11.94,11.81,11.68,11.55,11.43,11.3,11.18,11.06,10.94,10.82,10.7,10.58,10.47,10.35,10.24,10.13,10.01,9.91,9.8,9.69,9.58,9.48,9.37,9.27,9.17,8.993382005147168,8.820165745965637,8.650285703618627,8.483677621189265,8.320278479375492,8.160026472653087,8.002860985897794,7.848722571457747,7.69755292666745,7.549294871794871,7.4038923284132805,7.261290298189658,7.121434842081634,6.984273059935117,6.849753070474878,6.717823991680516,6.588435921540399,6.461539919176294,6.337087986331535,6.215033049215738,6.09532894069921,5.977930382850276,5.862792969808963,5.749873150990539,5.639128214612558,5.530516271539177,5.423996239436646,5.319527827233964,5.217071519882828,5.116588563411125,5.018040950264275,4.921391404928935,4.826603369833569,4.733640991520599,4.642469107084881,4.5530532308733696,4.465359541440975,4.3793548687576305,4.2950066816617785,4.2122830755554945,4.131152760336614,4.051585048563289,3.973549843846499,3.8970176294661334,3.8219594572063245,3.748346936405823,3.676152223219263,3.6053480100852644,3.5359075153973794,3.467804473373983,3.4010131241232746,3.33550820389963,3.2712649355476207,3.208259019130085,3.1464666227367077,3.085864373469628,3.026429348602671,2.9681390669108536,2.9109714801668893,2.8549049648014746,2.799918313724197,2.745990728301984,2.6931018104920423,2.641231555126324,2.5903603423445967,2.5404689301732555,2.4915384472470703,2.4435503856711143,2.3964865940201765,2.350329270473008,2.3050609560788025,2.2606645281533733,2.2171231938025144,2.1744204835701146,2.132540245208601,2.0914666375693742,2.051184124610912,2.0116774695222817,1.9729317289598338,1.9349322473949027,1.8976646515703692,1.8611148450639943,1.8252690029564653,1.7901135666021362,1.755635238500487,1.7218209772663615
2,44.79,44.4,42.9,33.98,36.66,36.72,37.88,40.17,35.58,26.44,35.03,28.13,26.48,29.67,23.36,28.49,24.86,26.12,31.57,16.43,21.36,17.47,24.68,20.43,17.44,21.68,17.84,21.18,19.03,13.26,16.34,11.24,13.15,14.52,12.13,16.37,14.31,8.71,15.61,10.81,14.03,13.35,15.35,13.11,11.56,11.13,10.81,10.51,10.24,9.98,9.74,9.52,9.31,9.12,8.94,8.78,8.62,8.48,8.35,8.22,8.1,7.99,7.89,7.79,7.7,7.61,7.52,7.44,7.36,7.28,7.2,7.12,7.04,6.96,6.89,6.81,6.74,6.66,6.59,6.52,6.45,6.38,6.31,6.24,6.17,6.1,6.04,5.97,5.9,5.84,5.78,5.71,5.65,5.59,5.520361427945835,5.4515903926926965,5.383676086722871,5.316607837155511,5.250375104069377,5.184967478846455,5.120374682536232,5.056586564240324,4.993593099517252,4.9313843888070705,4.869950655875634,4.809282246278242,4.749369625842417,4.690203379169591,4.631774208155461,4.57407293052876,4.517090478408253,4.460817896877695,4.405246342578549,4.350367082320229,4.296171491707667,4.242651053785961,4.189797357701926,4.137602097382306,4.086057070228456,4.035154175827286,3.9848854146782684,3.935242886936289,3.8862187911701787,3.8378054231366985,3.7899951745697984,3.742780531984965,3.69615407549846,3.6501084776612696,3.6046365023075784,3.5597310034175926,3.515384923994526,3.4715912949555783,3.4283432340367272,3.385633944711168,3.343456715121222,3.3018049170235564,3.260672004747538,3.22005151416657,3.1799370616822387,3.140322343221117,3.1012011332440674,3.062567283767882,3.0244147233991163,2.986737456379956,2.949529561645968,2.9127851918955976,2.8764985726712458,2.8406640014518056,2.805275846756497,2.770328547259867,2.7358166109178157,2.701734614104509,2.6680772007600457,2.6348390815487392,2.6020150330278873,2.5695998968268974,2.5375885788366372,2.5059760484088835,2.474757337565747,2.4439275402189407,2.4134818113987806,2.3834153664927857,2.353723480493767,2.324401487257283,2.295444778768343,2.266848804417249,2.2386090702844563,2.210721138434347,2.1831806262177946,2.1559832055834254,2.129124602397452,2.1026005957719867,2.076407017401719,2.0505397509088557,2.0249947311962266,1.9997679438084424,1.974855424301016,1.9502532576173408,1.9259575774734308,1.9019645657503272
3,35.52,25.31,25.85,25.56,27.59,25.37,29.0,32.42,27.13,26.04,19.36,22.6,22.76,18.07,17.99,15.9,17.38,16.46,17.92,21.82,19.91,12.18,17.75,15.21,13.09,15.29,16.51,16.82,15.58,13.3,10.77,11.97,12.71,12.51,11.83,9.69,9.59,10.29,10.6,8.0,8.86,9.48,11.02,9.43,8.47,8.16,7.92,7.71,7.51,7.32,7.15,6.99,6.84,6.7,6.57,6.45,6.34,6.23,6.13,6.04,5.96,5.88,5.8,5.73,5.66,5.59,5.53,5.47,5.41,5.35,5.29,5.23,5.18,5.12,5.06,5.01,4.95,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.29,4.25,4.2,4.15,4.11,4.068884590825401,4.028180489892065,3.987883582575507,3.947989795412913,3.908495095691369,3.8693954910402093,3.830687029027443,3.7923657967602176,3.7544279204892796,3.7168695652173924,3.6796869343116674,3.642876269119781,3.6064338485900245,3.5703559888951566,3.534639043060021,3.4992794005928856,3.4642734871204706,3.429617764026632,3.395308728094654,3.3613429111531206,3.3277168797253345,3.2944272346822374,3.261470610898805,3.2288436769138813,3.196543134593411,3.164565718797045,3.1329081970480783,3.1015673692066943,3.0705400671464704,3.039823154434127,3.009413526012477,2.9793081078865455,2.949503856812833,2.919997759991685,2.890786834762738,2.861868128303415,2.8332387173304365,2.804895707804315,2.776836234636808,2.7490574614012977,2.721556580046067,2.6943308106104418,2.66737740094378,2.640693626427263,2.614276789698476,2.588124220378741,2.562233274803178,2.5366013357534682,2.511225812193288,2.486104139006392,2.4612337767373127,2.4366122113346607,2.412236953896984,2.3881055404211775,2.364215531553405,2.3405645123425143,2.317150091995918,2.2939699036379193,2.271021604070452,2.2483028735362156,2.225811415484179,2.203544956337433,2.18150124526336,2.159678053946109,2.1380731763613405,2.1166844285532305,2.0955096484137,2.074546695463858,2.0537934506376265,2.0332478160675347,2.0129077148726493,1.9927710909486354,1.9728359087599086,1.953100153133873,1.9335618290572127,1.914218961474226,1.8950695950871725,1.8761117941586198,1.8573436423157672,1.838763242356727,1.820368716058744,1.8021582039883315,1.7841298653133089,1.76628187761672,1.7486124367126101,1.7311197564636482
4,26.55,20.7,26.43,23.07,20.64,27.76,22.54,23.1,25.04,18.49,20.46,14.29,15.61,13.59,14.33,12.62,12.0,10.83,10.4,13.85,14.47,15.69,13.49,13.08,7.2,12.34,9.24,12.73,14.12,10.04,10.41,9.2,9.17,8.15,7.73,9.16,8.48,4.34,7.18,7.5,4.16,7.72,8.58,7.9,6.92,6.63,6.43,6.26,6.1,5.95,5.81,5.68,5.56,5.45,5.34,5.25,5.16,5.07,4.99,4.92,4.85,4.78,4.72,4.66,4.61,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.78,3.73,3.69,3.65,3.61,3.57,3.53,3.5,3.46,3.42,3.38,3.34,3.317487326097748,3.295126394856044,3.2729161834805662,3.2508556760709553,3.2289438635743477,3.2071797437392204,3.185562321069547,3.164090606779266,3.1427636187470505,3.1215803814713876,3.1005399260259594,3.0796412900153203,3.058883517530882,3.0382656591071857,3.017786771678476,2.9974459185355635,2.977242169282981,2.957174599796424,2.937242292180484,2.9174443347266634,2.8977798218716715,2.8782478541560064,2.8588475381828116,2.839577986577014,2.820438317944732,2.8014276568329644,2.7825451336895424,2.7637898848233595,2.7451610523648653,2.7266577842268256,2.708279234065348,2.6900245612411706,2.6718929307812096,2.653883513340369,2.6359954851636043,2.618228028048246,2.6005803293065735,2.583051581728643,2.5656409835453635,2.548347738391828,2.5311710552708826,2.5141101485169512,2.4971642377600936,2.480332547890316,2.463614309022114,2.4470087564592586,2.430515130659821,2.4141326772014278,2.3978606467467554,2.381698295009255,2.3656448827191077,2.349699675589411,2.333861944282593,2.3181309643770516,2.302506016334018,2.2869863854646466,2.2715713618973243,2.256260240545202,2.241052321073942,2.225946907869684,2.21094331000723,2.1960408412184402,2.1812388198608423,2.166536568886453,2.151933415810811,2.1374286926822164,2.123021736051177,2.1087118869400654,2.0944984908129745,2.08038089754578,2.0663584613964017,2.0524305409752714,2.0385964992159904,2.024855703346194,2.0112075248586043,1.9976513394822881,1.9841865271540964,1.9708124719903055,1.9575285622584466,1.9443341903493245,1.931228752749225,1.9182116500123099,1.9052822867332,1.8924400715197385,1.8796844169659426,1.867014739625135
5,23.72,18.39,21.48,22.11,17.49,17.11,19.05,15.94,21.01,14.0,18.13,12.02,13.35,14.66,16.12,11.21,10.74,12.66,10.84,12.11,12.48,12.39,12.88,9.28,8.11,10.78,9.05,9.58,11.34,7.71,7.75,10.07,9.16,6.7,6.92,5.04,6.5,10.92,9.3,4.38,5.32,10.99,5.01,5.28,5.75,5.91,5.74,5.58,5.44,5.31,5.18,5.07,4.96,4.86,4.77,4.69,4.61,4.53,4.46,4.4,4.33,4.28,4.22,4.17,4.12,4.07,4.02,3.98,3.94,3.89,3.85,3.81,3.77,3.73,3.68,3.64,3.6,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.9674375124824914,2.9450452810997576,2.9228220211019944,2.900766457434097,2.878877324662503,2.857153366902591,2.8355933377466216,2.814196000192227,2.792960126571437,2.771884498480244,2.750967906708693,2.730209151171508,2.7096070408392356,2.6891603936699076,2.6688680365412263,2.6487288051832536,2.62874154411161,2.6089051065611835,2.58921835442033,2.5696801581655766,2.5502893967968134,2.5310449577729797,2.511945736948228,2.492990638508578,2.4741785749090406,2.4555084668112235,2.436979243021402,2.4185898404290613,2.400339203945899,2.3822262864452917,2.3642500487022136,2.346409459333614,2.3287034947392393,2.311131139042907,2.2936913840342172,2.276383229110709,2.259205681220449,2.2421577548050573,2.2252384717431593,2.208446861294268,2.191781960043086,2.1752428118442317,2.15882846776738,2.142537986042817,2.1263704320074055,2.1103248780509616,2.094400403563031,2.078596094880069,2.0629110452330206,2.0473443546952943,2.0318951301311285,2.016562485144349,2.001345540027511,1.9862434217114264,1.9712552637150724,1.9563802060958768,1.9416173954003786,1.9269659846152618,1.912425133118758,1.897994006632416,1.8836717771732352,1.86945762300616,1.8553507285969333,1.8413502845653045,1.8274554876385936,1.8136655406056004,1.799979652270868,1.7863970374092855,1.7729169167210375,1.7595385167868907,1.7462610700238201,1.7330838146409695,1.7200059945959414,1.7070268595514224,1.6941456648321311,1.6813616713820918,1.6686741457222336,1.6560823599083048,1.6435855914891082,1.631183123465051,1.618874244247007,1.6066582476154887,1.5945344326801285,1.582502103839465,1.5705605707410337,1.5587091482417574
6,21.7,18.48,22.71,17.23,19.91,20.49,17.08,15.91,16.94,14.78,14.64,14.83,13.32,13.34,13.05,14.2,10.59,12.94,11.01,8.89,14.13,10.08,10.65,11.8,10.63,10.19,8.93,8.67,8.15,9.25,8.05,9.34,7.85,8.53,7.29,6.9,7.41,7.4,9.71,4.66,6.26,7.06,7.35,8.28,6.23,5.58,5.42,5.27,5.13,5.01,4.89,4.79,4.69,4.6,4.51,4.43,4.36,4.29,4.22,4.16,4.1,4.05,3.99,3.95,3.9,3.85,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.27,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.93,2.89,2.86,2.83,2.810018643379894,2.7901783661281208,2.770478172146739,2.7509170723708087,2.7314940847187312,2.712208234042945,2.6930585520809665,2.6740440774067773,2.6551638553825563,2.6364169381107487,2.617802384386481,2.5993192596503008,2.580966635941261,2.5627435918503294,2.5446492124741273,2.5266825893689977,2.508842820505395,2.4911290102226,2.473540269183749,2.456075714331186,2.4387344688421284,2.4215156620846447,2.4044184295739432,2.387441912928971,2.370585259829317,2.353847623972421,2.3372281650310844,2.3207260486112817,2.3043404462102672,2.2880705351749806,2.2719154986607446,2.255874525590255,2.2399468106128593,2.224131554064123,2.2084279619256826,2.192835245785382,2.1773526227976876,2.161979315644386,2.146714552495558,2.1315575669708284,2.116507598100889,2.1015638902892926,2.08672569327452,2.071992262092309,2.0573628570382576,2.0428367436306814,2.0284131925737414,2.0140914797208285,1.9998708860382068,1.9857506975689152,1.971730205396919,1.9578087056115232,1.943985499272028,1.9302598923726397,1.9166311958076276,1.9030987253367257,1.8896618015507816,1.8763197498376447,1.8630719003482967,1.8499175879632235,1.836856152259019,1.82388693747523,1.811009292481433,1.7982225707445438,1.7855261302963563,1.7729193337013143,1.7604015480245063,1.7479721447998902,1.7356304999987389,1.7233759939983122,1.711208011550747,1.6991259417521682,1.6871291780120188,1.6752171180226039,1.6633891637288527,1.6516447212982925,1.6399832010912336,1.6284040176311678,1.616906589575372,1.6054903396857239,1.5941546947997185,1.5828990858016943,1.5717229475942585,1.5606257190699175,1.5496068430829049,1.5386657664212104
7,20.83,17.39,16.98,19.94,14.13,17.01,14.66,17.75,14.86,13.47,16.81,12.98,12.2,9.74,11.75,8.91,11.68,11.84,8.83,8.11,10.87,9.71,8.35,8.6,10.42,6.49,8.38,7.83,6.84,8.83,4.8,8.01,6.43,10.03,8.5,6.05,7.49,5.63,5.62,4.55,6.21,5.84,5.7,8.1,6.0,5.34,5.19,5.05,4.92,4.8,4.69,4.59,4.5,4.41,4.33,4.26,4.19,4.12,4.06,4.0,3.94,3.89,3.84,3.79,3.75,3.71,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.25,3.21,3.17,3.14,3.11,3.07,3.04,3.0,2.97,2.94,2.91,2.88,2.84,2.81,2.78,2.75,2.72,2.703392640588111,2.6868866798477784,2.670481498674525,2.654176481743904,2.6379710174884243,2.6218644980746086,2.605856319380198,2.589945880971488,2.574132586080813,2.5584158415841585,2.5427950579789163,2.527269649361772,2.5118390334067313,2.496502631343276,2.4812598679346562,2.466110171456315,2.4510529736744435,2.4360877098246667,2.421213818590864,2.4064307420841096,2.3917379258217526,2.377134818706617,2.3626208730063314,2.348195544332784,2.3338582916217065,2.3196085771123753,2.305445866327447,2.291369628052905,2.277379334318139,2.2634744603761425,2.249654484683827,2.2359188888824617,2.2222671577782327,2.208698779322916,2.195213244594674,2.181810047778967,2.1684886861495785,2.155248660049762,2.142089472873497,2.129010631046867,2.1160116440095402,2.103092024196375,2.0902512870191297,2.077488950848287,2.064804536994991,2.052197569693088,2.039667576081287,2.0272140861854195,2.0148366329008143,2.0025347519747756,1.9903079819891711,1.978155864343125,1.966077943235815,1.954073765649379,1.9421428813319221,1.9302848427806274,1.9184992052249727,1.906785526610048,1.8951433675799738,1.8835722914614228,1.8720718642472403,1.860641654580167,1.8492812337366578,1.8379901756108021,1.8267680566983426,1.8156144560807879,1.804528955409628,1.793511138890639,1.7825605932682924,1.771676907810249,1.7608596742919589,1.750108486981345,1.7394229426235888,1.728802640426002,1.7182471820429954,1.7077561715611371,1.6973292154843034,1.686965922718918,1.6766659045592849,1.6664287746730067,1.656254149086496,1.6461416461705722,1.6360908866261479,1.6261014934700018,1.6161730920206392,1.6063053098842381
8,16.25,18.77,17.75,15.06,15.97,13.7,10.97,14.99,12.26,13.46,14.13,14.06,9.31,10.54,9.08,8.89,10.18,8.52,10.57,10.42,14.26,9.18,8.99,7.97,6.6,11.73,6.45,9.03,6.72,11.84,4.95,6.14,7.63,6.42,8.13,3.63,7.85,6.29,5.32,4.74,7.28,5.19,6.61,7.65,5.8,5.24,5.09,4.96,4.83,4.71,4.61,4.51,4.42,4.34,4.26,4.18,4.11,4.05,3.99,3.93,3.88,3.83,3.78,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.09,3.06,3.02,2.99,2.96,2.92,2.89,2.86,2.83,2.8,2.77,2.74,2.71,2.68,2.6662416551741943,2.6525539417112043,2.638936497010043,2.6253889603312115,2.6119109727871446,2.5985021773327,2.5851622187557037,2.5718907436675376,2.5586874004937776,2.545551839464883,2.5324837126069273,2.5194826737323814,2.5065483784309435,2.493680484060415,2.480878649737622,2.4681425363293874,2.4554718064435446,2.442866124420002,2.430325156321849,2.417848569926511,2.4054360347169474,2.3930872218728974,2.3808018042621675,2.368579456431966,2.3564198546002832,2.344322676647311,2.332287602106912,2.320314312158129,2.308402489616739,2.296551818926853,2.284761986152552,2.2730326789695745,2.261363586657042,2.249754400089225,2.238204811727359,2.2267145156114925,2.2152832073523845,2.2039105841234403,2.192596344652689,2.181340189214804,2.1701418196231597,2.159000939221937,2.1479172528782606,2.136890466974381,2.1259202893999,2.1150064295440263,2.1041485982878836,2.0933465079968463,2.082599872512922,2.071908407147171,2.061271828672165,2.050689855314482,2.040162206747244,2.02968860408269,2.0192687698647878,2.0089024280618846,1.9985893040593943,1.9883291246525225,1.9781216180390295,1.9679665138120288,1.9578635429528257,1.9478124378237889,1.9378129321612618,1.927864761068508,1.9179676610086944,1.9081213697979102,1.8983256265982207,1.888580171910757,1.878884747568844,1.8692390967311578,1.8596429638749246,1.8500960947891505,1.8405982365678875,1.8311491376035327,1.8217485475801647,1.8123962174669115,1.8030918995113534,1.7938353472329602,1.784626315416561,1.775464560105849,1.7663498385969183,1.7572819094318353,1.7482605323922407,1.7392854684929875,1.7303564799758087,1.7214733303030196
9,17.07,11.72,16.69,18.44,22.52,17.08,16.71,10.96,13.62,14.29,15.5,14.82,9.25,12.63,8.89,11.99,11.43,9.86,9.13,8.71,10.1,8.39,9.45,6.63,8.27,4.27,7.66,10.13,11.06,7.74,6.45,7.02,6.78,7.59,7.04,7.49,4.23,7.54,5.38,4.14,5.62,7.46,5.38,5.6,5.38,5.32,5.17,5.04,4.91,4.79,4.69,4.59,4.5,4.41,4.33,4.26,4.19,4.13,4.07,4.01,3.95,3.9,3.85,3.81,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02,2.98,2.95,2.92,2.89,2.85,2.82,2.79,2.76,2.73,2.7177240416835735,2.7055032845219413,2.69333748029273,2.681226381889748,2.6691697433179598,2.6571673196884955,2.6452188672136727,2.6333241432020467,2.62148290605348,2.6096949152542357,2.597959931372093,2.586277716051481,2.5746480320086422,2.5630706430268084,2.5515453139514044,2.5400718106852724,2.5286499001839164,2.5172793504507687,2.505959930532478,2.4946914105142173,2.4834735615150163,2.4723061556831096,2.4611889661913113,2.4501217672324054,2.4391043340145617,2.4281364427567675,2.417217870684285,2.406348396024123,2.3955277980005367,2.3847558568305387,2.374032353719438,2.363357070856395,2.3527297914099976,2.3421502995238574,2.3316183803122237,2.3211338198556204,2.3106964051965018,2.3003059243349235,2.289962166224241,2.2796649207668187,2.2694139788097667,2.2592091321406884,2.2490501734834547,2.2389368964939913,2.2288690957560906,2.218846566777236,2.2088691059844514,2.1989365107201633,2.1890485792380865,2.1792051106991277,2.169405905167301,2.159650763605674,2.149939487872318,2.1402718807162886,2.1306477457736177,2.1210668875633227,2.1115291114834407,2.10203422380707,2.0925820316784414,2.0831723431089952,2.073804966973487,2.0644797130061003,2.0551963917965876,2.0459548147864175,2.0367547942649487,2.027596143365616,2.018478676062135,2.0094022071647237,2.000366552316339,1.9913715279889368,1.982416951479739,1.9735026409075256,1.9646284152089404,1.9557940941348115,1.9469994982464924,1.938244448912215,1.9295287683034639,1.9208522793913618,1.912214805943076,1.903616172518237,1.8950562044653765,1.8865347279183797,1.8780515697929523,1.869606557783107,1.8611995203576628,1.8528302867567605
