age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,934.54,938.92,891.07,838.46,825.01,806.83,798.73,773.96,728.25,688.23,640.57,572.51,561.96,537.28,531.25,541.57,528.77,498.15,512.69,505.65,498.06,462.2,491.16,471.33,435.65,462.48,436.01,419.86,423.93,404.47,370.85,368.26,347.3,362.81,335.54,354.33,358.5,352.54,306.36,306.59,299.75,293.39,287.09,281.14,275.44,269.74,264.55,259.73,255.18,250.92,246.58,242.33,238.42,234.73,231.22,227.84,224.53,221.41,218.68,215.93,213.15,210.52,208.15,205.67,203.13,200.68,198.29,196.09,193.67,191.3,189.08,186.63,184.27,182.3,180.17,177.86,175.74,173.65,171.58,169.55,167.4,165.32,163.52,161.67,159.77,157.85,155.75,153.84,151.99532066886175,150.1727440038278,148.37200573138492,146.5928444843271,144.8350021024077,143.09822353212246,141.3822567264915,139.68685254484222,138.01176505346146,136.35675102450833,134.721570336884,133.10598557536173,131.509762231022,129.93266850081736,128.374475588225,126.83495710194182,125.3138896571893,123.81105217419112,122.32622667991308,120.85919750632314,119.40975149082648,117.97767817670042,116.56276971287693,115.16482045307266,113.7836274568765,112.41899008887944,111.07071001867475,109.73859152151033,108.42244097720125,107.12206727099986,105.83728149294319,104.56789693785292,103.31372920555303,102.07459600043462,100.85031743210858,99.64071541410048,98.4456142952209,97.26484038854312,96.09822208164242,94.94558984661774,93.80677616993964,92.68161553240657,91.56994440914498,90.47160121950064,89.38642630699496,88.31426194934694,87.25495228832082,86.20834333974781,85.17428295343912,84.15262080316433,83.14320836660765,82.14589887525942,81.16054735450294,80.18701052339703,79.22514684478483,78.27481644511975,77.33588116457418,76.40820445682212,75.4916514291261,74.58608880225009,73.69138488039451,72.80740956121768,71.93403427570559,71.07113201823692,70.21857728645273,69.37624608125637,68.5440158967917,67.72176568035623,66.90937583240095,66.10672819650871,65.31370601930715,64.53019393042523,63.756077972558494,62.991245531316814,62.23558533522438,61.488987475763196,60.751343317177366,60.0225455465818,59.30248815391879,58.59106636180565,57.88817666562182,57.19371680344357
1,73.08,68.44,65.51,66.2,77.87,67.38,66.72,60.96,56.16,60.2,56.1,49.09,44.7,49.38,47.31,44.44,38.86,43.61,38.86,31.35,34.65,35.87,39.06,37.21,36.89,39.63,30.72,32.86,24.57,31.35,30.73,25.86,30.25,21.76,26.75,27.11,17.45,24.03,30.54,30.45,29.88,29.25,28.8,28.23,27.73,27.26,26.63,26.18,25.58,25.1,24.85,24.47,24.18,23.75,23.22,23.17,22.73,22.17,21.8,21.53,21.4,21.05,20.75,20.65,20.43,20.31,20.26,19.96,19.81,19.39,18.95,18.57,18.14,18.14,18.15,17.85,17.72,17.51,17.24,17.2,17.14,17.01,16.76,16.49,16.22,15.93,15.69,15.4,15.215213877976092,15.032644861285002,14.852266355073827,14.67405206831508,14.497976044189272,14.324012639829844,14.152136495940653,13.982322587433522,13.814546152535662,13.648782773809764,13.485008287006384,13.323198831701509,13.163330831041533,13.005381011998285,12.84932633447642,12.695144082461058,12.542811793125182,12.39230725682963,12.243608557633166,12.09669403278241,11.951542272711846,11.808132121043812,11.666442704971061,11.526453354236628,11.388143692281467,11.251493555224332,11.116483042499363,10.98309248647352,10.851302432191577,10.721093698141187,10.592447305360299,10.465344497692175,10.339766782295458,10.215695838496533,10.093113594758638,9.97200219424832,9.852343988758927,9.734121542761603,9.617317631379791,9.501915233299984,9.387897535835465,9.27524792378605,9.163949984501846,9.053987500793982,8.945344448909122,8.8380049995422,8.731953511759922,8.62717453300076,8.523652795023954,8.421373214922252,8.320320887019903,8.220481088949178,8.121839271522836,8.024381061772388,7.928092257884342,7.832958830212949,7.738966915203696,7.646102818431566,7.554353006499015,7.46370411108699,7.37414292186566,7.285656390545424,7.198231620749401,7.111855874089931,7.026516564092077,6.9422012551808585,6.858897661668517,6.776593643703495,6.695277207270448,6.614936505202987,6.535559828068923,6.457135610246769,6.379652423849234,6.303098976697725,6.227464115360592,6.152736816038371,6.07890618962754,6.0059614786822655,5.933892052350646,5.862687408400208,5.792337171192415,5.722831089657151
2,44.65,45.4,42.43,34.05,36.87,37.59,37.93,39.44,34.46,25.84,35.19,28.97,26.49,29.22,23.3,30.04,25.1,25.35,31.45,16.52,21.87,17.21,24.05,20.06,17.22,20.57,18.2,20.41,18.96,12.58,16.39,11.23,13.84,14.16,12.47,15.83,14.46,8.64,14.64,14.6,14.33,13.99,13.73,13.41,12.97,12.67,12.44,12.21,12.05,11.81,11.56,11.45,11.25,11.04,10.9,10.75,10.67,10.5,10.32,10.15,9.98,9.9,9.83,9.71,9.6,9.51,9.36,9.23,9.18,9.13,8.95,8.85,8.82,8.71,8.6,8.48,8.36,8.23,8.09,7.95,7.87,7.78,7.69,7.67,7.57,7.4,7.3,7.26,7.172882130660076,7.086809626662032,7.001769942830271,6.917750686425026,6.83473961274517,6.752724626593952,6.6716937764160695,6.5916352513662195,6.512537385706281,6.434388651476673,6.357177662893538,6.280893164622912,6.205524042040825,6.1310593109732014,6.057488120627317,5.984799746263148,5.912983597987757,5.842029209029446,5.771926238669227,5.702664472240816,5.634233813801985,5.566624291997488,5.499826052730404,5.4338293635593296,5.368624606369736,5.304202275908237,5.240552987111231,5.177667461913348,5.115536536576086,5.0541511558249,4.993502375780657,4.933581355165265,4.874379364096047,4.8158877723599005,4.758098056741957,4.70100179662838,4.644590668143458,4.588856452943981,4.533791026493395,4.479386365390462,4.4256345415063345,4.372527719053101,4.320058158980972,4.268218216046822,4.217000334417002,4.166397049133071,4.116400987577517,4.067004860679397,4.018201471708696,3.9699837060162326,3.9223445398280323,3.8752770270537624,3.828774311012568,3.782829611241508,3.73743623522139,3.6925875651852063,3.64827706544678,3.6044982794693095,3.561244825468174,3.5185104008081294,3.476288776140388,3.4345737997998027,3.3933593919419565,3.352639544543159,3.312408324331904,3.272659868391685,3.233388382695263,3.194588145036128,3.1562535006313084,3.1183788606556435,3.0809587081047,3.0439875875346685,3.0074601109252783,2.9713709562140695,2.935714861433478,2.900486632039478,2.865681132117209,2.831293290243893,2.7973180950916445,2.763750595427474,2.730585897181826,2.6978191678457706
3,34.94,25.25,26.31,26.39,28.34,25.89,28.98,32.45,28.07,27.0,19.75,21.94,22.4,17.95,18.78,15.63,17.67,16.2,17.6,20.63,19.15,12.18,16.8,14.39,13.1,14.84,15.99,16.9,15.4,13.82,11.09,11.93,12.04,12.33,11.29,9.27,9.14,10.32,8.17,8.02,7.72,7.58,7.4,7.19,6.99,6.86,6.71,6.56,6.56,6.4,6.25,6.24,6.07,5.89,5.87,5.83,5.79,5.6,5.4,5.35,5.3,5.25,5.21,5.17,5.14,5.12,5.04,4.96,4.9,4.84,4.78,4.72,4.75,4.7,4.57,4.52,4.54,4.55,4.41,4.27,4.27,4.27,4.27,4.26,4.17,4.01,3.93,3.91,3.863080828812199,3.8167246674703357,3.770924760910644,3.7256744350076216,3.680967094386509,3.6367962235170523,3.593155385619739,3.5500382204782803,3.50743844553337,3.4653498504138835,3.4237663034994403,3.382681743170319,3.342090182182502,3.3019857054801527,3.2623624680080945,3.223214694711813,3.1845366816312133,3.1463227915255807,3.108567453873582,3.071265168154543,3.0344104972858887,2.9979980709044245,2.9620225809912926,2.9264787851532574,2.8913615044351797,2.8566656189449797,2.8223860744161957,2.7885178734579044,2.7550560799297577,2.72199581894199,2.6893322702928484,2.657060675031159,2.625176329987526,2.5936745866805686,2.5625508567857236,2.531800602291403,2.501419342061557,2.47140264964815,2.4417461489161223,2.412445518418431,2.3834964870210067,2.354894837184037,2.3266363994931636,2.2987170559407635,2.2711327377384287,2.2438794253169654,2.2169531450451117,2.1903499736045844,2.164066033615031,2.1380974947277935,2.1124405725321487,2.0870915274615456,2.0620466658873666,2.037302335743888,2.012854933090839,1.9887008933633208,1.964836696840608,1.9412588653648675,1.9179639634349188,1.8949485960187142,1.8722094074595763,1.8497430836637216,1.8275463521002573,1.8056159774261433,1.7839487625799493,1.7625415498756176,1.741391219908702,1.7204946893688466,1.6998489132273074,1.6794508825494299,1.6592976255884118,1.6393862034102606,1.6197137142688338,1.600277291418321,1.5810741031132398,1.5621013493271596,1.5433562650339787,1.5248361191141662,1.5065382121672402,1.4884598765117683,1.4705984783728885,1.452951413507267
4,26.84,21.69,26.99,22.39,19.8,27.51,21.91,23.09,26.11,18.68,20.81,14.98,15.64,13.44,13.83,12.81,12.87,10.55,10.78,14.69,14.31,15.47,14.72,13.71,6.82,12.39,10.11,13.71,13.7,10.14,10.18,9.3,8.69,7.69,7.23,9.29,8.37,4.82,7.24,7.11,6.8,6.69,6.53,6.35,6.22,6.1,5.96,5.81,5.74,5.66,5.51,5.43,5.34,5.18,5.08,5.06,5.03,4.92,4.81,4.77,4.73,4.61,4.49,4.46,4.42,4.4,4.38,4.37,4.3,4.23,4.17,4.11,4.13,4.07,4.02,3.97,3.91,3.92,3.86,3.8,3.8,3.73,3.66,3.65,3.65,3.57,3.48,3.47,3.4283606963078186,3.387221047278325,3.346575058494968,3.3064168052556298,3.266740435648272,3.2275401674752966,3.1888102882535416,3.1505451521386485,3.1127391840259113,3.0753868744242125,3.038482778430812,3.0020215198321973,2.9659977818771712,2.930406317528975,2.8952419381879557,2.8604995198428345,2.826173998969863,2.792260372532821,2.758753699008226,2.7256490942844898,2.6929417347375506,2.660626853130026,2.6286997406616366,2.597155742868357,2.565990264748477,2.5351987615356935,2.5047767479260155,2.4747197898760716,2.4450235066535315,2.415683570837107,2.386695705240913,2.358055685990108,2.3297593394452543,2.3018025411771057,2.2741812169918227,2.2468913408805444,2.219928937069814,2.1932900748955197,2.166970871878528,2.1409674926994735,2.1152761481735465,2.0898930932000668,2.0648146288129112,2.0400370991048735,2.0155568953285163,1.9913704476944698,1.9674742315227078,1.9438647641669105,1.9205386050144628,1.8974923554864571,1.8747226549368416,1.8522261868036949,1.829999670407528,1.80803986812777,1.7863435792514941,1.7649076409986308,1.7437289295471783,1.72280435798278,1.7021308773239359,1.6817054744715771,1.6615251722090683,1.6415870292022032,1.621888141024423,1.6024256350307495,1.5831966765090617,1.5641984615036084,1.5454282209158585,1.5268832205045004,1.5085607567845918,1.490458159077987,1.4725727895133338,1.4549020420008627,1.4374433391567503,1.4201941384543926,1.4031519260731307,1.3863142168982518,1.369678556571413,1.3532425225158538,1.3370037188103352,1.3209597772143506,1.305108361268976,1.2894471591203847
5,22.35,19.16,21.35,22.24,18.1,17.44,18.95,15.68,20.78,13.51,17.7,11.64,14.39,14.44,16.42,11.18,11.63,12.87,11.17,11.76,12.75,12.02,12.81,10.08,7.67,10.54,9.26,9.76,11.4,8.26,7.35,10.14,8.97,6.91,6.78,5.53,7.06,10.26,6.82,6.77,6.58,6.47,6.36,6.19,6.01,5.88,5.75,5.62,5.47,5.4,5.32,5.17,5.09,5.01,4.92,4.83,4.73,4.7,4.67,4.64,4.6,4.48,4.37,4.33,4.29,4.26,4.24,4.22,4.14,4.07,4.0,3.94,3.95,3.89,3.84,3.78,3.73,3.74,3.76,3.7,3.63,3.57,3.49,3.42,3.34,3.34,3.26,3.17,3.1319606118866634,3.0943776815274386,3.0572457312772823,3.020559351693775,2.984313194716859,2.948501977566131,2.9131204827408417,2.878163554122605,2.8436260950267487,2.809503074048255,2.775789517267177,2.742480512145929,2.7095712036319908,2.677056795132239,2.6449325504615873,2.613193785074077,2.5818358748317913,2.55085425015891,2.5202443950673907,2.4900018491056124,2.4601222034610846,2.4306011058320616,2.401434251658636,2.372617391917323,2.3441463253264727,2.316016904192213,2.2882250275881844,2.260766645252836,2.2336377566150976,2.2068344068970913,2.180352691011422,2.1541887477152386,2.1283387654561734,2.10279897555208,2.0775656570626477,2.052635131917788,2.0280037658919556,2.00366797152712,1.9796242003381779,1.9558689476845708,1.9323987537446057,1.9092101957208742,1.8862998946605092,1.86366451253222,1.8413007502776435,1.8192053468370213,1.7973750840208151,1.7758067796894472,1.7544972906762657,1.7334435098645786,1.7126423710592686,1.6920908411922055,1.671785925193866,1.6517246640446848,1.6319041338007305,1.6123214465680322,1.5929737475796064,1.5738582171441058,1.554972068697171,1.536312550750079,1.5178769439667719,1.4996625611638574,1.4816667473106093,1.4638868795289663,1.4463203670935336,1.4289646504572588,1.411817198328462,1.394875513516775,1.37813712611288,1.3615995954371554,1.3452605139369678,1.3291174974434412,1.313168194914688,1.2974102816155477,1.2818414610662319,1.2664594630936792,1.2512620467545241,1.2362469974121277,1.2214121267365778,1.2067552717303642,1.1922742976513512,1.177967092166836
6,22.15,19.55,23.23,17.35,19.48,19.96,17.08,16.64,16.94,16.2,15.98,15.53,14.08,12.58,12.32,14.01,10.59,12.51,11.62,8.71,13.34,10.79,10.69,11.47,10.37,10.3,9.13,9.24,8.06,8.78,7.95,9.46,8.02,8.34,6.87,7.03,7.43,6.76,6.47,6.43,6.25,6.12,6.01,5.89,5.71,5.6,5.47,5.35,5.21,5.06,5.06,4.91,4.76,4.76,4.75,4.59,4.42,4.4,4.38,4.35,4.32,4.28,4.24,4.2,4.16,4.13,4.1,4.08,3.99,3.84,3.77,3.77,3.78,3.72,3.59,3.47,3.41,3.43,3.44,3.38,3.32,3.26,3.19,3.12,3.04,3.04,2.96,2.88,2.845440525769466,2.811295753854098,2.7775607062607994,2.744230467571625,2.711300180273987,2.6787650447606604,2.6466203193297804,2.6148613201848407,2.5834834186328273,2.5524820410842106,2.521852669986909,2.49159084195837,2.46169214591766,2.4321522240194153,2.402966773521763,2.3741315383807002,2.3456423176557135,2.317494958972075,2.289685360388759,2.262209468530523,2.23506328045583,2.208242838053096,2.1817442336444404,2.1555636043819386,2.129697135983452,2.104141058996797,2.0788916469318353,2.053945221864212,2.0292981469637006,2.00494683023003,1.980887723558929,1.9571173199402532,1.9336321553258993,1.9104288067618922,1.887503892388382,1.864854071439647,1.8424760433101341,1.8203665466205026,1.7985223582836665,1.7769402953727085,1.7556172123190088,1.7345500018462037,1.7137355921683088,1.6931709516595117,1.672853082316466,1.6527790225601662,1.6329458481699022,1.6133506666795183,1.5939906239151127,1.5748628983912927,1.5559647003772195,1.5372932775003507,1.5188459082087395,1.5006199036389487,1.4826126085500086,1.4648213966536303,1.447243676217949,1.4298768844637804,1.4127184922344078,1.3957659965239224,1.3790169279488835,1.3624688460785295,1.3461193375668647,1.3299660208224466,1.3140065404046395,1.2982385716934044,1.2826598152855513,1.2672680025984862,1.2520608883985507,1.2370362573387241,1.2221919192888362,1.2075257112034823,1.1930354952541082,1.178719159762968,1.1645746173352085,1.1505998085946998,1.1367926947123748,1.123151263943932,1.1096735288279642,1.096357525251998,1.0832013105845824,1.0702029702129885
7,20.93,16.38,16.71,19.14,14.77,16.07,14.13,17.7,14.33,13.34,15.84,12.22,11.49,9.79,11.68,8.71,11.03,11.47,8.33,8.88,11.2,9.49,8.51,8.75,10.17,6.78,8.26,7.74,7.16,8.71,4.88,7.91,6.08,9.45,8.3,5.69,7.28,6.02,6.03,6.03,5.85,5.66,5.54,5.42,5.28,5.17,5.05,4.99,4.87,4.73,4.74,4.58,4.43,4.43,4.43,4.35,4.11,3.95,3.93,3.91,3.88,3.85,3.82,3.79,3.75,3.72,3.69,3.66,3.64,3.56,3.41,3.34,3.34,3.35,3.29,3.16,3.1,3.04,2.99,3.0,3.01,2.95,2.88,2.81,2.74,2.74,2.74,2.73,2.697240453339854,2.664874010275881,2.6328959533933163,2.6013016237819135,2.570086415185502,2.539245779852433,2.5087752226851294,2.478670302215161,2.448926632553395,2.419539877539545,2.3905057546424695,2.3618200330100234,2.333478532493984,2.3054771207248215,2.2778117179870763,2.250478293319062,2.2234728615876325,2.196791487388489,2.170430283096026,2.1443854059381064,2.118653060921288,2.0932294969305225,2.0681110096543773,2.04329393768474,2.018774664466966,1.9945496163497276,1.9706152625850146,1.9469681153281346,1.9236047286626368,1.9005216966501626,1.877715656255669,1.8551832824720553,1.832921292220462,1.8109264404499699,1.789195523062827,1.7677253710639955,1.7465128564116037,1.725554888116645,1.7048484102928283,1.6843904060568762,1.6641778936282277,1.6442079273041101,1.6244775964844658,1.6049840256719508,1.5857243744719356,1.5666958346672788,1.5478956341186285,1.5293210318890464,1.510969322144307,1.492837828302448,1.4749239098592957,1.4572249555629389,1.439738385363879,1.4224616504150303,1.4053922340467941,1.3885276468916847,1.3718654327347783,1.3554031616881872,1.3391384350664364,1.3230688834363131,1.3071921627165646,1.2915059610034259,1.2760079907700175,1.2606959937417217,1.2455677389460313,1.230621019787325,1.2158536598973178,1.2012635063095347,1.186848431409461,1.1726063358597683,1.1585351437249383,1.1446328034463367,1.1308972897923657,1.117326599958161,1.1039187564908188,1.0906718053392452,1.0775838158541555,1.0646528807880742,1.0518771153202604,1.0392546570567072,1.0267836670052173,1.0144623266501762
8,15.92,18.99,17.75,14.55,16.14,14.0,11.36,14.75,11.88,13.33,13.96,13.24,10.33,10.87,9.17,8.68,9.61,8.34,10.57,10.72,14.07,9.59,8.8,7.84,6.54,11.4,6.1,8.55,6.36,11.56,5.03,6.48,7.57,6.65,7.94,3.7,7.37,6.41,5.58,5.6,5.46,5.27,5.15,5.1,4.97,4.82,4.63,4.51,4.45,4.32,4.26,4.18,4.03,3.96,3.96,3.96,3.8,3.64,3.55,3.46,3.44,3.42,3.4,3.37,3.34,3.31,3.28,3.25,3.23,3.21,3.13,3.05,3.05,2.98,2.92,2.93,2.94,2.88,2.82,2.83,2.78,2.71,2.72,2.66,2.59,2.59,2.59,2.59,2.558920389734584,2.528213725008956,2.4978755318083246,2.4679013871794684,2.438286924336893,2.4090278265354437,2.380119829112767,2.351558720510542,2.3233403361470946,2.2954605655660116,2.267915345287529,2.2407006598297556,2.213812542729909,2.187247076544313,2.1610003897847068,2.1350686558970104,2.109448096325019,2.0841349774467113,2.059125610574247,2.034416348890274,2.010003593575315,1.9858837846166875,1.9620534079571224,1.9385089903886057,1.9152471005736122,1.8922643490451034,1.8695573841216035,1.8471228990558182,1.8249576218223216,1.803058323287406,1.7814218121029266,1.7600449347063003,1.7389245753205054,1.7180576559540832,1.6974411353799055,1.6770720091351743,1.6569473085001907,1.637064100498356,1.6174194868749379,1.598010604097073,1.5788346253962287,1.5598887546408133,1.5411702304211043,1.5226763260492464,1.504404344453095,1.486351624303605,1.46851553286621,1.4508934711069814,1.4334828716501626,1.4162811967357094,1.3992859392405181,1.3824946216571967,1.365904797115296,1.349514047338845,1.3333199846888155,1.3173202480781956,1.3015125060356845,1.2858944536419978,1.2704638166147932,1.2552183441600513,1.240155816120694,1.2252740348067348,1.2105708341863606,1.196044068652386,1.1816916232345689,1.1675114044085257,1.1535013472443525,1.139659408258005,1.1259835705174555,1.11247184160023,1.0991222515509453,1.085932853902541,1.072901728739973,1.0600269745303617,1.0473067162928456,1.0347390994711902,1.0223222919762527,1.010054485207212,0.9979338909878751,0.9859587415666778,0.9741272937016093,0.9624378204903611
9,16.66,12.26,15.72,18.06,21.59,16.45,17.19,10.68,14.1,14.43,15.57,14.92,10.0,11.89,8.38,11.6,11.67,10.2,8.91,8.81,10.12,8.22,9.23,6.25,8.13,4.96,7.24,10.22,10.79,7.33,6.11,6.67,6.45,7.22,6.92,7.31,4.26,7.34,5.27,5.29,5.17,5.03,4.91,4.86,4.8,4.67,4.44,4.31,4.27,4.13,4.08,4.01,3.79,3.64,3.64,3.64,3.57,3.49,3.4,3.32,3.3,3.28,3.26,3.24,3.21,3.18,3.15,3.12,3.1,3.08,3.06,2.98,2.9,2.83,2.76,2.77,2.78,2.79,2.8,2.74,2.61,2.55,2.56,2.57,2.58,2.58,2.51,2.44,2.410720347816264,2.3817920431451443,2.3532108703883003,2.3249726636261627,2.297073307631781,2.269508736856975,2.2422749334046266,2.2153679280425327,2.1887837991895567,2.1625186739294744,2.13656872395557,2.110930165570634,2.0855992647562234,2.0605723270341416,2.0358457076049588,2.0114158012094894,1.9872790482119074,1.963431930544335,1.9398709727206958,1.9165927418367155,1.8935938435145108,1.8708709269718522,1.8484206799529028,1.8262398317697737,1.8043251492471155,1.782673437735971,1.7612815421276273,1.74014634482591,1.7192647657471847,1.6986337613065041,1.6782503254314585,1.6581114855067707,1.6382143084574055,1.6185558936516051,1.5991333769563,1.5799439256678447,1.560984744595132,1.5422530699764818,1.5237461725211938,1.5054613543679942,1.4873959500988854,1.4695473277530005,1.4519128867988962,1.4344900550929975,1.4172762949627122,1.4002690971233143,1.3834659816917982,1.3668645022422887,1.3504622376952202,1.3342567973866004,1.3182458200541554,1.3024269718096282,1.2867979471526287,1.271356468970634,1.2561002854974324,1.2410271743685317,1.2261349385657503,1.211421406417216,1.196884435652778,1.1825219063070378,1.1683317247747604,1.1543118238108725,1.1404601605027596,1.12677471424256,1.113253491796427,1.0998945222352672,1.0866958589624456,1.0736555776860792,1.0607717784467443,1.048042582575917,1.0354661357375312,1.0230406048864225,1.0107641792821782,0.9986350684614355,0.986651506293288,0.9748117448961742,0.9631140597071365,0.9515567454264148,0.940138117031296,0.9288565118038211,0.9177102832476692,0.9066978091989772
