age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,943.12,942.29,886.38,843.21,828.98,803.61,791.63,765.74,727.14,686.52,631.56,572.2,561.1,539.15,537.42,542.57,522.01,497.45,505.43,505.72,500.16,458.21,489.29,466.25,438.69,456.12,434.91,417.21,415.98,399.72,369.06,362.86,345.47,361.98,331.73,352.58,353.36,350.36,303.37,303.48,296.68,290.33,283.99,278.14,272.55,266.97,261.87,257.11,252.61,248.37,244.05,239.8,236.03,232.46,228.86,225.55,222.44,219.34,216.6,213.87,211.11,208.51,206.16,203.72,201.24,198.86,196.38,194.25,191.91,189.46,187.3,184.92,182.61,180.66,178.56,176.28,174.16,172.06,169.99,168.11,165.94,163.85,162.01,160.12,158.35,156.56,154.44,152.5,150.67138846854795,148.86468708127754,147.07963386658997,145.31596973387857,143.5734387715625,141.8517881477423,140.15076801085513,138.47013139033047,136.80963449462345,135.16903621449248,133.54809852037707,131.94658606501991,130.36426638215585,128.80090968782272,127.25628917839516,125.73018043451721,124.22236201716957,122.73261477225783,121.26072262536884,119.8064717870143,118.3696509513198,116.95005149471409,115.54746737658431,114.16169474189796,112.79253241792556,111.43978151686241,110.10324543582878,108.7827301549033,107.47804374040035,106.1889967422483,104.91540189595577,103.65707412261162,102.41383062822956,101.18549070505902,99.97187602961881,98.77281006662976,97.58811869488551,96.41762974033298,95.26117308535146,94.11858067868697,92.9896864659113,91.87432636955279,90.77233828909652,89.68356205131207,88.60783939038437,87.54501395784847,86.49493125304812,85.45743863307034,84.43238527300745,83.41962215602287,82.41900205348198,81.4303794752799,80.45361070957942,79.48855372346624,78.53506821262147,77.59301552184583,76.66225869473195,75.7426623743199,74.83409284283495,73.93641798194967,73.04950724298077,72.1732316568233,71.30746377434414,70.45207769618519,69.6069490131568,68.77195480623762,67.94697363664025,67.13188550607336,66.32657185674172,65.53091556141172,64.74480088367356,63.96811345807233,63.200740319911404,62.442569835711225,61.6934917032093,60.95339697122911,60.22217795027007,59.499728262179694,58.78594282028481,58.080717759850245,57.38395047781674,56.69553960299756
1,72.85,67.39,64.57,66.52,77.51,68.1,66.03,58.34,57.0,58.31,58.15,49.97,45.12,48.96,46.06,42.99,38.54,42.59,38.31,31.2,34.36,36.43,39.11,36.44,38.2,40.65,32.34,31.97,24.0,30.78,30.79,26.23,29.83,20.94,26.38,27.25,17.0,24.23,30.05,30.07,29.64,28.92,28.38,27.96,27.6,26.97,26.2,25.89,25.44,24.81,24.4,24.16,23.95,23.61,23.22,22.95,22.25,21.78,21.49,21.28,21.2,20.92,20.68,20.63,20.21,19.87,19.93,19.71,19.61,19.33,18.98,18.4,17.78,17.84,17.91,17.68,17.62,17.48,17.28,16.97,16.68,16.61,16.43,16.23,15.97,15.71,15.54,15.31,15.126293796871037,14.944791741965805,14.765467395855861,14.58829462116259,14.413247612762191,14.24030087764902,14.06942920473061,13.9006077151693,13.73381179190396,13.569017160196589,13.406199797017386,13.24533598138637,13.086402274236745,12.929375538551541,12.774232868885324,12.620951681979141,12.469509646282242,12.319884681952056,12.172055001127518,12.02599906765576,11.8816955970921,11.73912355670005,11.598262195656295,11.459090964504076,11.321589605768134,11.185738073408087,11.05151658316008,10.918905582331792,10.787885729665783,10.658437955749454,10.530543392536766,10.404183393484884,10.279339573827498,10.155993719959865,10.0341278659581,9.91372425934687,9.794765355058388,9.67723381945975,9.56111252833926,9.446384559858622,9.333033199587076,9.221041929426264,9.110394432644368,9.001074586828302,8.893066461870042,8.786354320973448,8.680922614613273,8.576755980535172,8.473839239728362,8.372157397432446,8.271695635082775,8.172439316351424,8.07437397707887,7.977485328294498,7.88175925118242,7.787181798088327,7.6937391864784805,7.6014178019602126,7.5102041902272685,7.420085061087131,7.331047281413198,7.243077879172106,7.15616403335541,7.070293080020575,6.98545250624998,6.901629949144088,6.81881319481461,6.736990174357175,6.656148963851335,6.576277785367385,6.497364997904883,6.419399103433639,6.342368740852713,6.266262683976764,6.191069844556536,6.116779263217367,6.043380114493353,5.970861703806849,5.899213462434311,5.828424949519947,5.758485850062069,5.689385972899415
2,44.09,45.2,41.87,36.45,37.0,37.7,38.22,38.71,36.43,25.76,34.63,31.69,27.17,28.28,22.65,28.87,24.42,25.28,30.58,16.93,21.3,18.93,23.67,18.76,16.78,20.76,17.95,20.25,19.98,13.76,15.92,11.18,14.34,13.89,12.34,15.46,14.19,8.02,14.55,14.46,14.15,13.84,13.6,13.3,12.9,12.62,12.41,12.19,12.05,11.83,11.53,11.36,11.18,10.98,10.85,10.71,10.64,10.48,10.24,10.01,9.85,9.78,9.71,9.6,9.5,9.41,9.28,9.16,9.11,9.08,8.91,8.82,8.72,8.56,8.46,8.35,8.24,8.12,7.99,7.86,7.79,7.71,7.63,7.61,7.51,7.35,7.25,7.23,7.143242121855696,7.057525289361776,6.9728370091822125,6.889164939786907,6.80649688707267,6.724820805822903,6.644124793868896,6.564397089170492,6.485626074195099,6.407800268619331,6.330908333708029,6.254939060636867,6.1798813807100785,6.105724355142734,6.032457177980097,5.960069168799252,5.888549781467146,5.817888592463209,5.748075303798694,5.67909974301668,5.610951855893713,5.543621712278491,5.4770994987935016,5.411375523214043,5.346440207169862,5.282284084685476,5.218897809478541,5.1562721418227975,5.094397955846433,5.033266233693392,4.972868068442721,4.913194655350534,4.854237300608047,4.795987409664199,4.738436494524016,4.681576169369585,4.625398144721379,4.569894236196278,4.5150563528302,4.460876504376452,4.407346795467053,4.354459422693378,4.302206678985184,4.2505809506912575,4.199574713200404,4.149180532401116,4.099391066141247,4.050199055469978,4.00159733339585,3.9535788146690583,3.906136504539487,3.8592634856196564,3.812952929562103,3.7671980839223287,3.721992283836178,3.6773289388827886,3.6332015403829505,3.589603658479767,3.546528937759628,3.5039711016312367,3.4619239464869156,3.420381346081622,3.3793372456942627,3.3387856621276915,3.2987206866280534,3.259136480505769,3.2200272736758615,3.1813873675773015,3.1432111307939894,3.105492997595083,3.068227473773689,3.0314091264291534,2.9950325898057524,2.95909256383302,2.923583808287059,2.888501150088902,2.8538394745464775,2.8195937311932986,2.7857589294094476,2.7523301384215753,2.7193024843835545,2.686671154755499
3,33.23,25.92,26.76,26.21,30.11,26.76,28.42,31.83,28.65,27.11,21.03,22.26,22.68,18.02,18.77,16.23,17.29,16.87,18.18,19.51,18.46,12.69,16.99,15.42,12.67,14.59,15.93,17.04,15.63,13.58,11.03,11.8,11.65,11.65,10.72,9.88,9.26,10.89,8.12,7.99,7.73,7.6,7.43,7.24,7.06,6.94,6.8,6.66,6.66,6.52,6.37,6.3,6.07,5.91,5.88,5.85,5.82,5.63,5.38,5.26,5.21,5.17,5.13,5.09,5.07,5.05,4.97,4.9,4.84,4.79,4.73,4.69,4.71,4.66,4.55,4.5,4.52,4.53,4.41,4.28,4.28,4.28,4.27,4.27,4.19,4.04,3.96,3.94,3.892720835171372,3.8460089999573204,3.7998576874649457,3.7542601723606213,3.7092098086656895,3.664700030858615,3.6207243527728314,3.5772763653924358,3.534349737954342,3.4919382124375193,3.4500356101759064,3.408635823041191,3.3677328178514214,3.327320634166701,3.287393382084883,3.247945242241571,3.208970466912271,3.170463375603782,3.1324183550541975,3.09482986253936,3.0576924192599493,3.0210006136479364,2.9847490969579775,2.9489325865738705,2.9135458638042477,2.8785837694739693,2.844041210537036,2.8099131512593716,2.7761946176274286,2.7428806973481943,2.7099665332362717,2.6774473298267942,2.6453183478646682,2.613574903202414,2.5822123723109334,2.551226182360135,2.5206118178318504,2.490364818315527,2.4604807740996217,2.430955330580209,2.40178418385237,2.372963084016651,2.344487829668303,2.316354271203736,2.288558308616217,2.261095891495868,2.2339630157232073,2.2071557278777654,2.1806701208294683,2.154502334840794,2.1286485564646203,2.103105017442069,2.077867995804661,2.0529338114657083,2.028298832833224,2.003959467992707,1.9799121702179014,1.9561534346643419,1.9326797994715037,1.9094878435584997,1.886574185521926,1.8639354858401695,1.841568446873405,1.8194698084549883,1.7976363489936062,1.7760648865754303,1.7547522778619657,1.7336954158857432,1.7128912322546268,1.6923366949475072,1.672028809416456,1.6519646141781141,1.6321411852223031,1.6125556338077198,1.5932051064619346,1.5740867816749382,1.5551978732055949,1.5365356289794923,1.5180973288846358,1.4998802847714494,1.4818818426570795,1.4640993783167857
4,26.24,21.91,27.81,24.09,19.38,25.79,21.37,22.49,25.48,17.84,21.47,14.76,17.05,13.11,13.99,12.78,12.87,10.5,11.04,14.64,14.58,15.97,14.72,13.84,8.76,12.33,10.54,12.92,12.92,9.64,10.22,9.11,9.08,7.36,7.71,9.37,8.01,4.73,7.24,7.13,6.85,6.77,6.63,6.46,6.34,6.23,6.03,5.82,5.75,5.68,5.54,5.4,5.25,5.1,5.01,4.99,4.96,4.86,4.76,4.72,4.68,4.57,4.46,4.43,4.4,4.37,4.36,4.35,4.28,4.22,4.16,4.11,4.13,4.08,4.03,3.98,3.93,3.95,3.89,3.83,3.84,3.77,3.7,3.7,3.69,3.62,3.54,3.53,3.4876407083477226,3.445789710920025,3.4044409096505,3.3635882773926142,3.32322586104853,3.283347778440287,3.2439482183097983,3.2050214371900365,3.1665617635767913,3.128563592713968,3.0910213855506528,3.053929672912869,3.017283046117122,2.981076167399793,2.9453037584448074,2.909960606641269,2.875041560911705,2.8405415317120624,2.8064554920746505,2.7727784734363827,2.7395055687675947,2.7066319284002858,2.674152762113999,2.642063334964063,2.610358972496289,2.579035051360518,2.5480870086970704,2.5175103337932367,2.4873005701691544,2.4574533155778058,2.4279642188762023,2.398828983154202,2.3700433626056907,2.341603161485643,2.3135042351530646,2.2857424879851065,2.258313875462952,2.2312143989571136,2.204440108856254,2.1779871035242477,2.1518515282572386,2.126029573197762,2.1005174754206273,2.075311515804093,2.0504080232016317,2.0258033660984087,2.0014939588689216,1.9774762586481824,1.9537467653317158,1.93030202157556,1.9071386086245101,1.8842531525697528,1.8616423160053526,1.8393028053288265,1.8172313644835083,1.7954247760014888,1.773879862046553,1.7525934823283036,1.7315625351450987,1.710783955298175,1.6902547140916455,1.6699718193325006,1.6499323163735482,1.6301332828987163,1.6105718351806881,1.5912451207803278,1.572150322718438,1.5532846594757597,1.5346453808212128,1.5162297698977791,1.4980351432224979,1.4800588496435287,1.4622982672113336,1.4447508094363128,1.4274139190311674,1.4102850679109016,1.3933617592786993,1.3766415286688656,1.3601219387321277,1.3438005802785755,1.3276750764494194,1.311743075416414
5,22.69,20.64,22.58,21.68,18.46,16.96,19.24,16.02,20.09,14.01,17.23,12.56,16.96,14.02,16.12,15.33,12.79,12.6,11.64,11.64,12.57,11.9,12.94,10.15,8.27,10.61,9.14,9.29,11.1,8.49,7.35,10.73,8.27,6.9,6.53,6.38,7.8,9.76,6.84,6.8,6.63,6.54,6.38,6.17,6.0,5.88,5.69,5.5,5.36,5.29,5.22,5.08,5.01,4.93,4.85,4.77,4.68,4.65,4.63,4.6,4.56,4.45,4.34,4.3,4.27,4.24,4.22,4.2,4.13,4.06,4.0,3.94,3.96,3.91,3.86,3.81,3.76,3.77,3.79,3.73,3.68,3.61,3.55,3.48,3.41,3.4,3.33,3.25,3.2110006273285983,3.1724692318498975,3.134400197681756,3.0967879788658577,3.0596270923753286,3.022912122110387,2.9866377188983395,2.950798596497939,2.915389529601556,2.8804053598286528,2.845840987734488,2.8116913768057628,2.7779515494649747,2.7446165880693303,2.7116816369085672,2.679141893214748,2.6469926161524677,2.615229120825381,2.5838467772772935,2.5528410124899814,2.522207306387547,2.491941196830978,2.46203827062794,2.4324941715240693,2.4033045922116836,2.3744652803232467,2.3459720314389902,2.3178206930825604,2.290007163722103,2.2625273887746205,2.2353773646016157,2.208553132515623,2.1820507847736796,2.15586645758494,2.129996336105238,2.1044366494425266,2.0791836716557905,2.0542337247517795,2.0295831706937153,2.005228416395853,1.9811659147223875,1.9573921564961645,1.9339036774910585,1.9106970554352414,1.887768908013357,1.8651158918676085,1.8427347075923184,1.8206220927415468,1.7987748248258246,1.77718971831542,1.7558636296348968,1.7347934491718195,1.7139761062713137,1.6934085672382415,1.6730878343382884,1.6530109467968785,1.6331749778024356,1.6135770365042093,1.5942142660144498,1.5750838454062324,1.556182986716722,1.5375089349471727,1.5190589680629274,1.5008303969934198,1.4828205656321718,1.4650268498378838,1.4474466544376976,1.4300774192206684,1.412916611945382,1.3959617303377776,1.3792103060867966,1.362659894855263,1.346308086269002,1.3301524969244576,1.3141907723865154,1.2984205851906805,1.282839637839812,1.2674456598073867,1.252236407537501,1.237209663445957,1.2223632389170005,1.2076949683098475
6,22.11,19.85,22.65,19.61,20.1,18.69,16.64,16.86,16.27,15.62,15.68,15.54,14.22,12.85,12.63,13.1,11.84,13.88,11.74,9.1,13.09,11.64,10.09,11.4,9.52,11.0,9.31,8.81,8.03,8.38,7.91,9.01,7.4,8.23,6.6,6.76,7.12,7.76,6.51,6.42,6.18,6.08,5.92,5.74,5.59,5.48,5.36,5.24,5.12,4.98,4.98,4.84,4.7,4.7,4.7,4.55,4.39,4.37,4.35,4.33,4.3,4.26,4.23,4.19,4.15,4.12,4.09,4.07,3.99,3.85,3.78,3.79,3.8,3.74,3.63,3.51,3.46,3.48,3.49,3.44,3.38,3.32,3.26,3.19,3.12,3.12,3.05,2.97,2.9343605421997623,2.8991487461620387,2.86435947833145,2.8299876696832387,2.796028310907549,2.7624764524094316,2.729327204308836,2.6965757364406175,2.6642172754651035,2.6322471048680924,2.600660565924,2.5694530557695696,2.538620025477587,2.5081569810200226,2.478059485194318,2.4483231489550974,2.4189436400824547,2.389916676439953,2.3612380279009075,2.332903514422102,2.3049090079700747,2.2772504267422553,2.2499237409458295,2.222924967018874,2.1962501714829346,2.1698954670904476,2.143857010898455,2.1181310100474686,2.0927137140563166,2.0676014186747187,2.0427904649201456,2.018277236188386,1.9940581601798337,1.9701297069732016,1.9464883890255191,1.9231307611721364,1.9000534196635759,1.8772530012023936,1.8547261819800311,1.8324696796031057,1.810480250203978,1.7887546894038977,1.7672898294235686,1.7460825438988716,1.7251297411388558,1.7044283670151714,1.6839754059252119,1.6637678750132534,1.6438028309124602,1.6240773639660209,1.6045885972640077,1.5853336924222368,1.5663098428402629,1.5475142756276659,1.5289442525671968,1.5105970652990564,1.49247004109976,1.4745605371032735,1.4568659451167332,1.4393836839152951,1.4221112069472863,1.4050459975184837,1.3881855668658294,1.371527458973148,1.3550692447922847,1.3388085270588235,1.3227429345132249,1.306870127679689,1.2911877911610057,1.2756936403805594,1.2603854167666124,1.2452608896785913,1.2303178544807993,1.2155541335055609,1.2009675741269341,1.1865560526132841,1.1723174664221365,1.1582497409421801,1.1443508266038382,1.130618697916123,1.1170513515403508,1.1036468130321446
7,20.66,16.62,16.66,18.97,15.32,15.49,13.4,16.62,13.88,12.71,15.88,12.83,11.87,9.2,10.93,8.51,11.19,11.57,9.24,8.4,11.38,8.98,8.39,8.03,9.91,6.23,7.89,8.65,7.52,8.01,4.5,8.17,6.73,9.0,7.92,5.51,6.73,5.82,5.96,5.91,5.68,5.51,5.4,5.3,5.17,5.08,4.97,4.91,4.8,4.67,4.68,4.54,4.4,4.4,4.4,4.32,4.1,3.95,3.94,3.92,3.89,3.87,3.84,3.8,3.77,3.73,3.71,3.68,3.66,3.58,3.45,3.38,3.38,3.39,3.34,3.22,3.17,3.11,3.06,3.01,2.95,2.9,2.83,2.77,2.71,2.71,2.7,2.7,2.6676004483580975,2.63558968049263,2.6039630308285546,2.572715891652442,2.5418437073263207,2.5113419800738352,2.481206264194084,2.4514321670259838,2.4220153508769844,2.392951527236913,2.36423646063541,2.33586596671321,2.307835911257787,2.2801422073102633,2.2527808199872186,2.2257477626232482,2.1990390938778783,2.172650921593011,2.1465794008642014,2.1208207311475777,2.0953711591529225,2.070226974986231,2.045384515042791,2.020840158149743,1.9965903274948016,1.972631488697533,1.9489601498093552,1.9255728613135399,1.9024662151608498,1.87963684284082,1.8570814182748376,1.8347966529943405,1.8127792999982593,1.7910261498955746,1.7695340337984002,1.7482998175358198,1.7273204074400477,1.7065927464889896,1.6861138123775226,1.6658806213749326,1.645890224467478,1.6261397083227465,1.606626194325296,1.5873468385766547,1.568298831895321,1.5494793969236824,1.5308857919854568,1.5125153062638923,1.4943652636592049,1.4764330170024211,1.4587159548058968,1.4412114945127967,1.4239170844258144,1.406830203707173,1.3899483633429834,1.3732691013214466,1.3567899884190116,1.3405086214498556,1.3244226280876843,1.3085296649370133,1.2928274136757234,1.2773135878055861,1.2619859249373802,1.246842191612692,1.231880181375196,1.2170977118775743,1.2024926306676769,1.1880628084380014,1.173806140954412,1.1597205519492215,1.1458039882993896,1.1320544209908825,1.1184698470473946,1.1050482856729065,1.0917877811447658,1.078686400884968,1.0657422354601538,1.052953398581612,1.0403180261409168,1.0278342762099304,1.01550033000516,1.0033143889946798
8,16.03,18.92,17.85,15.04,16.59,14.3,11.82,15.43,12.51,13.26,14.15,12.93,10.54,9.88,8.91,9.02,9.89,8.73,10.48,10.07,13.7,9.63,9.5,8.34,6.86,10.75,6.19,8.45,6.46,10.62,6.17,6.87,6.97,6.42,7.33,3.68,7.06,6.69,5.41,5.43,5.31,5.14,5.04,4.99,4.88,4.75,4.57,4.46,4.41,4.29,4.23,4.17,4.03,3.96,3.96,3.96,3.81,3.67,3.58,3.5,3.48,3.46,3.44,3.41,3.38,3.35,3.32,3.3,3.28,3.26,3.12,2.98,2.98,2.92,2.86,2.87,2.88,2.83,2.77,2.72,2.6,2.54,2.55,2.49,2.42,2.43,2.43,2.42,2.3909603641535493,2.362269194796013,2.3339223115738013,2.3059155818433643,2.2782449254421935,2.250906308963619,2.223895747665211,2.1972093064229776,2.1708430940061656,2.1447932697566596,2.1190560369095834,2.0936276435474936,2.0685043835545867,2.043682596616694,2.0191586653586837,1.994929014390257,1.9709901131685508,1.947338473135537,1.9239706477180225,1.9008832294650433,1.8780728557730741,1.8555362002982176,1.8332699796356124,1.811270948548427,1.7895359009220624,1.7680616697641507,1.746845123387753,1.7258831720907646,1.7051727586139067,1.6847108657743333,1.6644945116946266,1.644520749802798,1.624786668832287,1.605289392821962,1.5860260801619195,1.5669939235934833,1.5481901492550045,1.5296120166818616,1.5112568178522585,1.4931218771872266,1.4752045534590243,1.4575022340659338,1.4400123388490629,1.422732320092346,1.4056596577515406,1.3887918651794302,1.37212648244642,1.3556610811115426,1.3393932623140516,1.3233206548650258,1.3074409162015652,1.291751731432593,1.2762508142930566,1.2609359052355231,1.2458047733385844,1.2308552124900516,1.2160850442495583,1.2014921149859594,1.1870742996941313,1.1728294953155691,1.1587556274177915,1.144850642560733,1.131112516884553,1.1175392456134263,1.1041288525975508,1.0908793817253406,1.0777889036028314,1.064855508874275,1.0520773129931438,1.0394524543137285,1.0269790921827366,1.014655407893494,1.002479607548546,0.9904499144260522,0.9785645766133924,0.9668218612819617,0.955220056595572,0.9437574726646536,0.9324324386836517,0.9212433029310272,0.9101884365860596,0.8992662260952409
9,17.08,12.73,16.27,17.52,22.65,15.55,16.55,9.99,14.83,13.36,15.29,14.15,10.87,11.38,8.75,11.97,11.75,11.53,8.71,8.33,10.06,8.08,10.14,7.16,8.03,5.12,7.51,9.96,10.51,7.34,5.93,6.45,6.24,6.94,6.39,7.29,4.71,7.03,5.12,5.15,5.04,4.92,4.8,4.76,4.72,4.6,4.39,4.28,4.24,4.11,4.06,4.0,3.8,3.66,3.66,3.66,3.59,3.52,3.44,3.36,3.35,3.33,3.31,3.29,3.26,3.24,3.21,3.18,3.15,3.13,3.05,2.91,2.84,2.78,2.71,2.72,2.73,2.67,2.62,2.57,2.45,2.39,2.4,2.41,2.41,2.42,2.35,2.28,2.2526403250086404,2.225608958348741,2.1989019608546414,2.172515439781824,2.146445549754287,2.1206884918171736,2.095240511542028,2.07009789997417,2.045256992685323,2.020714170720984,1.9964658568109424,1.9725085153692805,1.948838657231225,1.9254528301794436,1.902347628417748,1.8795196830973917,1.8569656680012903,1.8346822957545426,1.8126663187717975,1.7909145292572586,1.7694237554151984,1.7481908661868126,1.727212766513368,1.7064864001783129,1.6860087460177964,1.6657768188680384,1.645787670512701,1.6260383877881452,1.6065260925834348,1.5872479408929627,1.5682011237638218,1.5493828635063267,1.5307904193782311,1.512421080953139,1.4942721719099852,1.4763410452961825,1.4586250892118446,1.441121721125565,1.4238283907165252,1.406742577032388,1.3898617894366632,1.3731835685560823,1.3567054843858537,1.340425133447555,1.324340144473354,1.3084481727217854,1.292746900925123,1.2772340430788598,1.2619073368627467,1.2467645483776428,1.2318034711981452,1.2170219244778493,1.2024177538967187,1.1879888316610843,1.1737330536615351,1.1596483432623985,1.1457326475122582,1.1319839371439557,1.1184002103640711,1.1049794862213305,1.0917198083960875,1.0786192452003236,1.0656758876829064,1.0528878477348511,1.0402532628261694,1.02777029126902,1.015437114112449,1.0032519332476477,0.9912129733026954,0.979318478800447,0.9675667170006438,0.9559559750578045,0.9444845609685928,0.933150801677079,0.92195304686422,0.9108896632636381,0.8999590393984718,0.8891595817918957,0.8784897159144897,0.8679478880789804,0.8575325597560187,0.8472422151531427
