age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1152.43,1234.88,1011.68,957.72,847.71,925.93,771.51,816.49,627.03,683.38,644.12,555.75,627.83,554.35,657.36,486.16,578.75,511.33,589.85,458.33,518.58,458.06,393.19,538.95,536.23,455.7,447.21,487.06,501.88,566.97,360.77,332.38,406.54,354.64,461.3,496.99,380.11,436.54,382.89,382.91,374.31,366.11,358.3,350.86,343.76,336.99,330.54,324.39,318.53,312.93,307.6,302.51,297.65,293.01,288.59,284.36,280.32,276.46,272.77,269.24,265.85,262.59,259.42,256.31,253.24,250.21,247.21,244.24,241.31,238.42,235.56,232.74,229.95,227.19,224.47,221.78,219.12,216.49,213.9,211.33,208.8,206.29,203.82,201.38,198.96,196.58,194.22,191.89,189.58906710314534,187.31570363295964,185.0695799518685,182.85037004743577,180.65775190737787,178.49140739455913,176.35102212198683,174.23628532780663,172.1468902503167,170.082533502944,168.0429155742633,166.02774032797817,164.03671525293038,162.0695512130905,160.12596282257212,158.20566769560332,156.3083871965552,154.43384556490855,152.58177091529197,150.75189423744376,148.94394964622134,147.15767463161103,145.39280993372302,143.64909904277243,141.92628882410315,140.2241290181687,138.54237224053236,136.88077435688126,135.23909385800278,133.61709235980345,132.01453422829476,130.43118657959306,128.8668194049244,127.32120532061491,125.79411994310526,124.28534113892186,122.79464981220708,121.32182931719669,119.86666559572518,118.42894718972617,117.0084651537293,115.6050130298589,114.21838684783431,112.84838506246734,111.49480852866135,110.15746051391174,108.83614661080266,107.53067474950731,106.24085514778622,104.96650029848674,103.707424944542,102.4634460164686,101.23438268236849,100.02005622292417,98.82029009390119,97.63490982614422,96.46374308807943,95.3066195607098,94.16337098761704,93.03383112495949,91.91783570397101,90.81522244346112,89.72583097481242,88.6495028794818,87.58608161399775,86.53541250996024,85.49734276154031,84.47172137547814,83.45839917108307,82.45722876773307,81.46806453487291,80.4907625670131,79.52518072123146,78.57117852966968,77.62861719953331,76.6973596380928,75.77727034017917,74.86821545068631,73.97006273957017,73.08268151434532,72.20594267008691,71.33971865192919
1,66.64,67.52,91.72,77.08,76.64,38.0,37.63,22.52,75.93,117.45,63.33,71.2,32.12,16.53,33.44,25.67,60.67,33.7,60.8,62.16,27.88,38.34,38.47,38.58,28.04,36.3,44.41,42.54,56.75,16.16,24.26,32.06,24.13,24.66,16.72,8.38,8.44,17.22,27.28,27.29,26.68,26.09,25.54,25.01,24.51,24.03,23.57,23.13,22.72,22.32,21.94,21.58,21.23,20.9,20.59,20.29,20.0,19.72,19.46,19.21,18.97,18.73,18.51,18.29,18.07,17.85,17.63,17.42,17.21,17.01,16.8,16.6,16.4,16.21,16.01,15.82,15.63,15.44,15.26,15.07,14.89,14.71,14.54,14.36,14.19,14.02,13.85,13.69,13.525732336980045,13.363435594220238,13.20308612993251,13.044660572417756,12.888135847074748,12.733489158394192,12.58069796294984,12.429740014413307,12.280593300533324,12.133236115159457,11.987646977215414,11.843804675713873,11.701688251750557,11.561277016510163,11.422550488245596,11.285488473304666,11.150071003109332,11.016278334155691,10.884090984025848,10.753489695376052,10.6244554359367,10.496969398512324,10.371013027990507,10.246567949318145,10.123616048528135,10.002139400715656,9.882120315053005,9.763541307780681,9.646385084201473,9.530634592698236,9.41627296171315,9.303283517753629,9.191649821404209,9.08135558629984,8.972384747548425,8.864721431120747,8.758349948448682,8.653254800026385,8.549420673609696,8.446832437914077,8.345475147116073,8.245334030950067,8.146394499209757,8.048642135446078,7.952062695166615,7.85664210673589,7.762366465973593,7.669222036154572,7.577195244407658,7.486272682615949,7.396441100214447,7.307687409591835,7.219998677087507,7.133362125692467,7.047765130547833,6.963195219845147,6.8796400694245845,6.797087505475853,6.715525497335813,6.634942161089668,6.555325753268888,6.476664674452393,6.3989474602635905,6.322162786772153,6.246299465092242,6.171346440482204,6.097292791444286,6.024127726123431,5.951840582307301,5.88042082832655,5.809858054952178,5.74014198079729,5.671262446915326,5.603209414999471,5.535972970083539,5.4695433124393045,5.403910762077988,5.339065756049364,5.274998843940281,5.21170068967525,5.149162069715854,5.087373871260156
2,53.17,67.1,22.59,38.37,46.45,69.17,30.64,53.18,22.74,45.96,54.73,23.79,31.56,40.11,16.53,24.87,34.21,43.27,8.46,8.7,8.87,18.51,9.56,28.73,0.0,9.28,0.0,8.81,16.92,16.12,0.0,8.06,15.98,8.0,8.14,8.3,24.98,16.74,8.07,8.05,7.86,7.67,7.5,7.33,7.17,7.02,6.88,6.75,6.62,6.5,6.38,6.27,6.17,6.07,5.97,5.88,5.8,5.71,5.64,5.56,5.49,5.42,5.36,5.29,5.23,5.17,5.11,5.04,4.98,4.92,4.87,4.81,4.75,4.69,4.64,4.58,4.53,4.47,4.42,4.36,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96,3.9124811621782234,3.865532523633836,3.819147241543784,3.7733185562318323,3.7280397887700927,3.683304341778519,3.639105696226947,3.5954374098361197,3.5522931194761536,3.5096665371690943,3.4675514524873847,3.425941726157952,3.384831295658632,3.3442141696217464,3.304084429433082,3.2644362252344448,3.2252637807205944,3.1865613867433344,3.1483234029104876,3.1105442575858993,3.073218443891992,3.036340522907721,2.9999051196711295,2.963906925577816,2.928340694383493,2.8932012414044928,2.858483447515217,2.8241822519527355,2.7902926563142287,2.756809721359036,2.723728568607631,2.6910443755446902,2.6587523804160256,2.626847875832673,2.5953262127683403,2.5641827981609344,2.5334130917146136,2.5030126106967168,2.472976923541852,2.4433016538493426,2.4139824771852734,2.38501511948351,2.3563953594441664,2.3281190269346306,2.3001820005910925,2.2725802086180384,2.245309629587737,2.2183662876433075,2.191746257295652,2.165445657827036,2.1394606580880176,2.113787469302052,2.088422351461401,2.0633616061317315,2.038601582848031,2.0141386719192034,1.9899693084255163,1.9660899706196233,1.942497177528095,1.9191874913498888,1.8961575142583935,1.8734038907998924,1.8509233046956128,1.828712478841723,1.8067681769083113,1.785087200940919,1.7636663905610528,1.7425026245651607,1.7215928185261682,1.7009339239939874,1.6805229316934727,1.660356865928001,1.6404327877774245,1.6207477942985835,1.6012990153273516,1.582083617476079,1.5630987993366596,1.5443417946784872,1.5258098700499878,1.507500324778622,1.4894104893719053,1.4715377279158748
3,23.73,15.31,52.35,15.08,15.39,46.54,30.86,54.06,45.96,7.64,15.37,31.21,55.34,31.54,24.05,16.41,8.3,17.08,8.64,0.0,8.72,8.82,18.45,9.52,28.56,37.93,0.0,26.98,8.79,8.44,8.06,8.03,0.0,0.0,0.0,8.09,0.0,0.0,6.08,6.05,5.89,5.74,5.59,5.46,5.33,5.21,5.09,4.98,4.88,4.78,4.69,4.61,4.52,4.45,4.37,4.31,4.24,4.18,4.12,4.07,4.01,3.96,3.92,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.56,3.51,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.11,3.08,3.04,3.0,2.97,2.93,2.9,2.8652006147200453,2.830818807075185,2.796849566915823,2.7632879441232996,2.7301290469874364,2.6973680430177622,2.6650001581322873,2.6330206750350413,2.6014249340273077,2.5702083289514737,2.5393663120584082,2.508894387517628,2.4787881146622137,2.4490431063663536,2.419655027422883,2.390619594543288,2.3619325771689303,2.333589794226134,2.305587114126186,2.2779204571990217,2.250585790825851,2.223579131872847,2.1968965434462273,2.1705341373259452,2.144488072343228,2.1187545511356625,2.0933298250145698,2.068210187475172,2.0433919774415084,2.0188715792664373,1.9946454178642608,1.9707099635780971,1.9470617281237403,1.9236972637784266,1.9006131674369815,1.8778060733107593,1.8552726577950167,1.8330096378464538,1.8110137677383003,1.7892818423052297,1.7678106936984448,1.7465971938193623,1.7256382502634717,1.704930808754019,1.6844718515195505,1.6642583972939127,1.6442874988825638,1.6245562464074923,1.6050617640622988,1.5858012109234272,1.5667717801389338,1.5479706981172587,1.529395225338456,1.5110426531092775,1.4929103084305455,1.4749955475073222,1.4572957598050542,1.4398083656158862,1.4225308168698885,1.4054605955126012,1.3885952126938035,1.3719322103899725,1.3554691614042829,1.3392036661216917,1.323133353320167,1.3072558809819157,1.2915689354821576,1.2760702299666637,1.2607575059742175,1.2456285318141551,1.2306811033775944,1.2159130408925205,1.2013221921687003,1.186906430975225,1.1726636570405102,1.1585917936186092,1.1446887899228997,1.1309526203148548,1.1173812826815848,1.1039727984358383,1.0907252141384596,1.0776365982534717
4,40.7,47.77,38.41,29.97,30.18,0.0,31.14,31.0,31.11,7.71,15.31,15.34,15.57,47.45,15.75,23.85,8.18,8.31,25.59,25.89,16.98,8.66,0.0,9.2,9.45,9.44,0.0,0.0,27.12,17.59,8.43,8.06,24.07,8.03,15.85,0.0,8.07,8.23,8.93,8.87,8.61,8.37,8.14,7.93,7.73,7.54,7.36,7.19,7.04,6.89,6.75,6.62,6.5,6.38,6.27,6.17,6.07,5.98,5.9,5.82,5.74,5.67,5.6,5.54,5.47,5.4,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.56,4.51,4.45,4.4,4.35,4.3,4.24,4.19,4.14,4.09032083075342,4.04123779127731,3.992743729731748,3.944831577451961,3.897494352617823,3.850725156584359,3.8045171738817465,3.758863668545822,3.713757989010741,3.6691935619931524,3.6251638912690374,3.5816625625663674,3.538683232556625,3.496219641086443,3.4542655977228054,3.412814989092027,3.3718617739870984,3.3313999833676875,3.2914237215833007,3.25192716148063,3.212904548073043,3.174350193647927,3.1362584802130185,3.098623854603745,3.061440834599047,3.024703997912902,2.9884079932027965,2.952547530284419,2.917117382577988,2.8821123871082484,2.8475274408349796,2.8133575043224917,2.7795975980701297,2.746242801289111,2.71328825312569,2.6807291502148276,2.6485607491265215,2.616778360249986,2.5853773514631424,2.554353146909458,2.5237012257747784,2.493417119841001,2.463496415932407,2.4339347522461603,2.404727823244973,2.375871369871788,2.347361186888764,2.3191931192077835,2.291363061890454,2.263866960148107,2.2367008044491423,2.2098606378580103,2.1833425462499036,2.1571426668729012,2.131257181008987,2.1056823151972135,2.080414342456864,2.0554495798411265,2.0307843896602575,2.006415177035253,1.9823383898978506,1.9585505189905248,1.9350480990896572,1.9118277028897126,1.8888859483422233,1.8662194900936422,1.8438250243779981,1.8216992890168966,1.7998390585268615,1.7782411465656673,1.7569024059323346,1.7358197273439686,1.7149900357662666,1.6944102977525028,1.6740775141045419,1.653988719872842,1.6341409868027805,1.6145314245578197,1.595157174603685,1.5760154114315306,1.5571033474505938,1.5384182244260494
5,8.15,32.75,23.96,23.11,30.05,37.78,7.75,31.31,0.0,31.3,7.73,15.26,15.32,15.58,7.9,7.83,31.82,8.18,16.64,34.13,8.76,0.0,0.0,8.78,9.15,0.0,0.0,9.35,18.46,0.0,26.47,16.88,0.0,16.0,0.0,15.81,7.89,16.09,10.2,10.12,9.81,9.53,9.26,9.01,8.78,8.56,8.35,8.15,7.97,7.8,7.64,7.49,7.34,7.21,7.09,6.97,6.86,6.76,6.66,6.57,6.48,6.4,6.32,6.25,6.17,6.1,6.03,5.95,5.88,5.81,5.74,5.67,5.6,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.623840903353181,4.568355693863852,4.513536284661729,4.459374689566834,4.405863013020473,4.3529934558389565,4.300758315213608,4.249149978957032,4.198160922626241,4.14778371815326,4.098011022337662,4.048835582600298,4.000250231229563,3.9522478868198356,3.9048215571483365,3.857964326229237,3.811669367259553,3.7659299339885486,3.7207393592793023,3.676091057985573,3.631978521198068,3.588395323436608,3.545335109704233,3.5027916069946596,3.460758612784824,3.419230003665475,3.378199725272146,3.3376617980388867,3.297610315759828,3.258039439835453,3.2189434050263266,3.180316510822497,3.1421531300740986,3.1044476989223138,3.067194723991543,3.0303887751972383,2.9940244871843382,2.9580965636425622,2.92259976579895,2.8875289196100287,2.852878917200238,2.8186447053544765,2.784821295587124,2.7514037598267476,2.718387227539234,2.685766884289356,2.6535379789329383,2.621695813547827,2.5902357477491873,2.5591531943742045,2.5284436266742514,2.49810256680742,2.468125593030692,2.4385083368230673,2.409246481447135,2.380335763387505,2.351771968035507,2.3235509325660613,2.2956685430608075,2.2681207373849746,2.2409035008720797,2.2140128663239285,2.1874449140106154,2.1611957716705246,2.1352616145103274,2.1096386637665523,2.0843231823902846,2.0593114836777624,2.03459992120135,2.0101848916863996,1.9860628407649872,1.9622302485915788,1.9386836442273627,1.9154195955712188,1.892434712236582,1.8697256426745799,1.847289078489329,1.8251217501226367,1.803220426854001,1.781581915362178,1.7602030640404804,1.7390807543661804
6,32.01,8.22,32.96,24.1,31.01,22.67,0.0,0.0,15.79,7.83,15.74,23.07,30.47,7.67,23.37,23.58,7.84,15.94,24.52,25.02,8.56,17.49,16.96,17.31,34.97,0.0,9.34,9.35,0.0,9.23,0.0,0.0,8.44,8.03,15.99,15.99,31.47,0.0,10.88,10.8,10.47,10.17,9.89,9.62,9.37,9.13,8.91,8.71,8.51,8.33,8.16,7.99,7.84,7.7,7.57,7.44,7.33,7.22,7.11,7.01,6.92,6.84,6.75,6.67,6.59,6.51,6.44,6.36,6.28,6.21,6.13,6.06,5.99,5.91,5.84,5.77,5.7,5.64,5.57,5.5,5.44,5.37,5.31,5.24,5.18,5.12,5.06,4.99,4.930120910968625,4.870960351295816,4.812509695917149,4.754760428188336,4.697704131794165,4.641332490748506,4.585637289394307,4.530610412403596,4.476243839922851,4.42252964757299,4.3694600080675965,4.317027187976482,4.265223544489279,4.214041527033641,4.163473680511666,4.113512630736005,4.064151098993754,4.015381890718978,3.9671978987291343,3.9195920999886495,3.8725575588453442,3.826087417321163,3.780174904821444,3.7348133284256506,3.689996079360217,3.645716626525701,3.6019685132603674,3.558745367049451,3.5160408865794675,3.4738488482110594,3.4321631043607836,3.3909775786464804,3.3502862691236936,3.310083245049251,3.270362646881259,3.2311186862791113,3.1923456444852674,3.1540378707070515,3.116189780498436,3.0787958589964637,3.0418506560666163,3.0053487879210268,2.969284932263841,2.933653836382279,2.898450305819155,2.8636692092275102,2.829305479988824,2.795354106503749,2.761810143519588,2.7286687024210248,2.6959249496119186,2.663574116224566,2.631611486792226,2.6000324024855397,2.5688322627307447,2.5380065171186166,2.5075506751137384,2.477460296345231,2.4477309986978106,2.4183584453661022,2.3893383578003227,2.36066650761523,2.3323387133536997,2.304350848577781,2.2766988321594277,2.2493786363715587,2.222386277178785,2.1957178239466826,2.1693693864961,2.143337126430637,2.117617249045588,2.0922060065643673,2.0670996949020837,2.042294655283754,2.017787271007879,1.9935739739192888,1.9696512314634549,1.9460155580139658,1.9226635100178964,1.899591684377594,1.8767967152142593,1.8542752851954212
7,30.89,40.24,24.72,33.02,16.11,7.77,22.75,15.27,7.86,31.67,15.66,15.64,15.34,15.22,15.33,7.76,15.7,15.67,16.0,8.18,8.31,17.09,0.0,8.46,17.24,17.39,9.05,37.09,0.0,9.36,0.0,9.11,8.81,0.0,16.02,0.0,7.95,7.85,9.06,9.0,8.74,8.49,8.26,8.04,7.84,7.65,7.47,7.3,7.14,6.99,6.84,6.71,6.59,6.47,6.36,6.25,6.16,6.07,5.98,5.9,5.82,5.75,5.68,5.61,5.54,5.48,5.41,5.35,5.28,5.22,5.16,5.09,5.03,4.97,4.91,4.85,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.35,4.3,4.25,4.2,4.149600697445929,4.099806169655202,4.05060915906664,4.002002498126021,3.953979100285388,3.906531969003743,3.859654188746353,3.8133389264848634,3.7675794346975313,3.722369042368531,3.677701160988415,3.6335692815538825,3.589966973067668,3.546887878038187,3.5043257199801174,3.4622742974139418,3.4207274793655884,3.379679211366906,3.3391235124554246,3.29905447067401,3.2594662475712126,3.220353072200804,3.1817092456221188,3.1435291348996,3.1058071761030246,3.0685378713072735,3.0317157885923303,2.995335562043284,2.9593918902502105,2.9238795333079426,2.8887933173164138,2.854128126880085,2.8198789111084035,2.7860406776153384,2.7526084970197338,2.7195774939446085,2.686942856017852,2.6546998278717617,2.622843708142813,2.5913698554721174,2.560273682504966,2.5295506573909385,2.4991963022837935,2.4692061933414626,2.4395759607260548,2.410301284103506,2.381377898644044,2.35280158752161,2.3245681879143185,2.2966735820037663,2.2691137074758396,2.241884547019906,2.2149821313290445,2.188402539100047,2.16214189853353,2.136196379833361,2.1105622042073513,2.085235633366442,2.060212977025287,2.0354905899020204,2.011064865717792,1.9869322476975784,1.963089216569258,1.9395322980641874,1.9162580599169714,1.8932631073651154,1.8705440921497196,1.848097702014669,1.825920663706863,1.8040097474765668,1.7823617595768282,1.7609735437635952,1.7398419842959472,1.7189639999356323,1.6983365484474136,1.6779566235988388,1.6578212551602394,1.6379275089047296,1.618272485108093,1.5988533185487805,1.5796671800080266,1.560711271769502
8,22.52,31.1,24.22,0.0,16.54,8.07,15.6,22.84,15.32,15.78,15.83,23.4,0.0,15.32,15.22,7.63,15.51,7.84,0.0,8.01,0.0,8.3,8.53,0.0,0.0,17.15,17.29,18.02,18.52,0.0,18.72,18.48,0.0,17.56,16.75,7.99,7.93,15.84,7.02,6.98,6.79,6.6,6.43,6.27,6.11,5.97,5.83,5.7,5.58,5.47,5.36,5.26,5.16,5.07,4.99,4.91,4.83,4.76,4.69,4.63,4.57,4.51,4.46,4.41,4.35,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.9,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.54,3.5,3.46,3.42,3.38,3.34,3.3,3.260400496573022,3.221276174721836,3.1826213339642746,3.144430338877315,3.106697625602991,3.0694176940412987,3.03258511045256,2.996194508758606,2.96024058273568,2.9247180951227176,2.889621868513068,2.8549467866556735,2.8206877957562546,2.78683990447731,2.753398180034569,2.7203577468958047,2.6877137906843873,2.6554615542757323,2.6235963377973035,2.592113494725059,2.5610084396905557,2.5302766367702967,2.499913608594017,2.469914929838764,2.440276228530085,2.4109931860420235,2.3820615318923903,2.3534770528510425,2.3252355799280546,2.2973329987831814,2.269765243219945,2.2425282951856333,2.2156181847713006,2.189030990211766,2.1627628365844354,2.1368098958092956,2.1111683853477334,2.0858345682025385,2.060804751616716,2.0360752870734906,2.0116425728986695,1.9875030464535461,1.963653189339631,1.9400895273986538,1.9168086242066462,1.893807088881041,1.871081566972391,1.8486287469702853,1.8264453577009796,1.8045281657250352,1.782873976638498,1.7614796337717178,1.7403420194905317,1.7194580525938952,1.6988246909162514,1.6784389261227977,1.658297787613034,1.6383983386172174,1.6187376814010879,1.5993129481575943,1.58012131011517,1.5611599671282723,1.5424261593880269,1.5239171531092177,1.5056302535421147,1.487562793261828,1.4697121412765881,1.452075693919466,1.4346508813542869,1.4174351649732662,1.400426034794641,1.3836210107638554,1.3670176466571082,1.3506135196718894,1.334406240836444,1.318393447202675,1.3025728044485072,1.286942008179073,1.2714987800231614,1.2562408676332188,1.2411660498900814,1.2262721264935104
9,21.96,15.12,23.44,16.18,41.31,8.28,8.09,7.83,15.28,15.35,23.68,15.77,23.31,0.0,30.53,15.15,7.64,15.51,0.0,15.73,8.01,8.22,16.58,8.5,8.61,8.42,8.52,17.23,27.01,18.52,0.0,0.0,18.45,9.07,0.0,8.34,0.0,0.0,5.57,5.55,5.4,5.26,5.12,5.0,4.88,4.77,4.66,4.56,4.47,4.38,4.29,4.21,4.14,4.07,4.0,3.94,3.88,3.82,3.77,3.72,3.67,3.62,3.58,3.54,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.78,2.75,2.71,2.68,2.65,2.6182003777512706,2.586782341940423,2.555741314151228,2.525072769921857,2.4947722398459917,2.4648353084717147,2.435257612099287,2.406034839882259,2.3771627327263625,2.3486370843906177,2.3204537370828935,2.2926085814599095,2.2650975621327833,2.237916666655932,2.2110619365381723,2.1845294562316178,2.1583153597383418,2.132415826205938,2.1068270810286247,2.0815453958472525,2.056567084144858,2.0318885067522165,2.007506066342292,1.9834162107335656,1.9596154284855967,1.9361002500001325,1.9128672486222182,1.889913038437976,1.8672342742746064,1.844827650599277,1.8226899026202317,1.8008178018823535,1.7792081628738214,1.7578578353183416,1.7367637085795882,1.7159227061556508,1.6953317922856965,1.6749879653433102,1.6548882611398212,1.6350297496209774,1.6154095359680516,1.5960247616989554,1.5768726024660142,1.5579502647526409,1.5392549924799948,1.5207840604003207,1.5025347751980596,1.4845044798942888,1.4666905450378418,1.449090374210857,1.4317014029276687,1.414521096432588,1.3975469508010108,1.3807764929394182,1.3642072772820475,1.3478368901953317,1.331662945573458,1.3156830848383698,1.2998949813442056,1.2842963326695287,1.2688848650217683,1.2536583332372182,1.2386145185788167,1.2237512265339279,1.20906629231989,1.1945575753784663,1.1802229615780657,1.1660603610115206,1.1520677101983083,1.1382429687812212,1.1245841228296958,1.1110891815364834,1.0977561783187593,1.0845831686159033,1.0715682342939399,1.0587094770388776,1.046005023862259,1.033453022696721,1.0210516434971042,1.0087990804426745,0.9966935453304604,0.9847332763841351
