age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1171.36,1248.72,1020.75,970.83,855.97,934.06,779.77,828.43,630.74,689.86,651.38,562.54,631.44,557.63,661.23,490.59,583.64,515.53,591.7,457.58,519.33,458.36,392.72,537.21,535.73,454.09,446.27,488.96,501.37,563.68,361.72,333.01,405.25,354.64,461.3,496.99,380.11,436.44,463.21,403.75,434.07,394.86,319.03,403.41,282.44,248.7,242.38,236.43,230.85,225.62,220.72,216.13,211.84,207.83,204.07,200.56,197.26,194.17,191.26,188.53,185.95,183.51,181.19,178.98,176.86,174.82,172.85,170.94,169.06,167.21,165.38,163.57,161.79,160.02,158.27,156.54,154.83,153.14,151.46,149.81,148.17,146.55,144.95,143.36,141.8,140.25,138.71,137.2,135.7,134.21,132.75,131.29,129.86,128.44,127.0145771630703,125.60497362125146,124.2110138125339,122.8325241232893,121.46933286664765,120.12127026111403,118.78816840942301,117.46986127762729,116.16618467441883,114.87697623067928,113.60207537925727,112.34132333497043,111.09456307482895,109.86163931847899,108.64239850886288,107.43668879309404,106.24436000354417,105.0652636391403,103.89925284686943,102.74618240348839,101.60590869743672,100.47828971095026,99.36318500237329,98.26045568866685,97.16996442811138,96.0915754032011,95.02515430372839,93.97056831005584,92.92768607657392,91.89637771534235,90.87651477991285,89.8679702493315,88.87061851231877,87.88433535162486,86.90899792855888,85.94448476768964,84.99067574171626,84.04745205650659,83.11469623630184,82.19229210908524,81.28012479211321,80.37808067760703,79.48604741860329,78.6039139149615,77.73157029952671,76.86890792444613,76.01581934763709,75.17219831940567,74.33793976921343,73.51293979259135,72.69709563819866,71.89030569502556,71.09246947973791,70.30348762416219,69.52326186290958,68.75169502113725,67.98869100244562,67.23415477690963,66.48799236924322,65.75011084709492,65.0204183094734,64.29882387530145,63.58523767209704,62.87957082477992,62.181735444602566,61.4916446182038,60.80921239678405,60.134353785400634,59.46698473238195,58.80702211885901,58.15438374841326,57.50898833683928,56.87075550202104,56.23960575392056,55.615460484677634,54.998241958819484,54.38787330357901,53.78427849932052,53.187382370071695,52.597110574160666,52.013389594956955,51.436146731715176,50.865310090520424,50.300808575334045,49.74257187913886,49.1905304751826
1,66.64,67.52,91.72,77.08,76.64,38.0,37.63,22.52,75.93,117.45,63.33,71.2,32.12,16.53,33.44,25.67,60.67,33.7,60.8,62.16,27.88,38.34,38.47,38.58,28.04,36.3,44.41,42.54,56.75,16.16,24.26,32.12,24.26,24.78,16.8,8.42,8.49,17.34,8.84,9.1,18.77,0.0,0.0,20.03,14.9,13.22,12.84,12.49,12.16,11.85,11.56,11.3,11.05,10.82,10.61,10.41,10.23,10.06,9.9,9.75,9.61,9.48,9.35,9.24,9.12,9.02,8.92,8.82,8.72,8.62,8.53,8.44,8.34,8.25,8.16,8.07,7.98,7.9,7.81,7.73,7.64,7.56,7.47,7.39,7.31,7.23,7.15,7.07,7.0,6.92,6.84,6.77,6.7,6.62,6.492496060422492,6.367447899486643,6.244808217879532,6.124530627292577,6.006569632875219,5.890880616026546,5.777419817518364,5.666144320943325,5.557012036481845,5.449981684981684,5.345012782344156,5.242065624211072,5.14110127094661,5.042081532908449,4.944968956002584,4.849726807516359,4.756319062224367,4.664710388761949,4.574866136261152,4.486752321244078,4.400335614768678,4.315583329822118,4.232463408956961,4.1509444121654715,4.070995504987474,3.992586446847258,3.9156875796151143,3.8402698163891866,3.766304630493383,3.693764044687202,3.6226206205833704,3.5528474482693073,3.484418136128487,3.417306800857837,3.3514880576774164,3.2869370107286486,3.2236292436574976,3.161540810379009,3.1006482260197354,3.0409284580346103,2.982358917494917,2.9249174505440534,2.868582330017865,2.813332247226369,2.7591463038937696,2.706004004253713,2.6538852472967855,2.602770319167334,2.552639885706723,2.5034749851402145,2.4552570209046976,2.407967754614564,2.3615892991630587,2.3161041119565065,2.2714949882788447,2.227745054783963,2.1848377631133786,2.142756883636843,2.101486499313501,2.0610109996712933,2.02131507490231,1.9823837100718795,1.9442021794391844,1.90675604088727,1.8700311304603305,1.8340135570062106,1.7986896969220945,1.7640461890013932,1.7300699293798876,1.6967480665792054,1.6640679966457659,1.6320173583833513,1.6005840286774968,1.569756117909941,1.5395219654613892,1.5098701353009003,1.480789411660222,1.4522687947914399,1.424297496806336,1.396864937595884,1.3699607408283363,1.3435747300243885,1.3176969247079389,1.292317536630986,1.267426966071235,1.2430157982010157
2,53.17,67.1,22.59,38.37,46.45,69.17,30.64,53.18,22.74,45.96,54.73,23.79,31.56,40.11,16.53,24.87,34.21,43.27,8.46,8.7,8.87,18.51,9.56,28.73,0.0,9.28,0.0,8.81,16.92,16.12,0.0,8.07,16.05,8.06,8.2,8.37,25.15,16.88,8.61,0.0,18.08,18.5,0.0,0.0,5.27,6.97,6.77,6.58,6.41,6.25,6.1,5.96,5.83,5.71,5.6,5.5,5.4,5.31,5.23,5.15,5.08,5.01,4.94,4.88,4.82,4.77,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.31,4.27,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.91,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.456398031808662,3.4133392440830836,3.370816870041154,3.3288242271993367,3.287354716322508,3.2464018203868683,3.20595910355578,3.16602021016836,3.1265788637406766,3.087628865979382,3.0491640958076425,3.0111785084031926,2.9736661342483823,2.9366210781920516,2.900037518523097,2.863909706055574,2.828231963225203,2.792998683197126,2.75820432898478,2.7238434325797503,2.689910594092457,2.6564004809035535,2.623307826825893,2.590627431276936,2.558354158461466,2.526482936564491,2.495008756954193,2.463926673394814,2.4332318012693426,2.4029193168118863,2.3729844563496054,2.3434225155540926,2.314228848702077,2.285398867945339,2.2569280425897182,2.2288118983831082,2.201046016812315,2.1736260344086804,2.1465476420623517,2.1198065843450964,2.0933986588415525,2.06731971548881,2.041565655924219,2.016132432841323,1.991016049353817,1.966212558367426,1.941718061959613,1.9175287107670103,1.8936407033804845,1.8700502857477361,1.8467537505833431,1.8237474367861526,1.8010277288639285,1.7785910563651735,1.7564338933180212,1.7345527576761242,1.712944210771441,1.691604856773843,1.6705313421574528,1.6497203551736295,1.6291686253305198,1.608872922879095,1.5888300583055868,1.5690368818302491,1.5494902829123638,1.5301871897614119,1.5111245688543349,1.4922994244588104,1.4737087981624661,1.455349768407959,1.4372194500338462,1.4193149938211755,1.401633586045724,1.3841724480358166,1.3669288357356497,1.349900039274059,1.333083382538655,1.316476222755269,1.3000759500726324,1.2838799871522353,1.2678857887632904,1.2520908413827456,1.2364926628002784,1.2210888017282098,1.2058768374162805,1.1908543792712245
3,23.73,15.31,52.35,15.08,15.39,46.54,30.86,54.06,45.96,7.64,15.37,31.21,55.34,31.54,24.05,16.41,8.3,17.08,8.64,0.0,8.72,8.82,18.45,9.52,28.56,37.93,0.0,26.98,8.79,8.44,8.06,8.05,0.0,0.0,0.0,8.17,0.0,0.0,8.41,8.61,0.0,0.0,0.0,9.33,6.12,5.07,4.93,4.79,4.67,4.55,4.44,4.34,4.25,4.16,4.08,4.01,3.94,3.87,3.81,3.76,3.7,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.36,3.32,3.29,3.25,3.22,3.18,3.15,3.11,3.08,3.04,3.01,2.98,2.95,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.524490439563204,2.499236070370989,2.474234339554146,2.449482719781734,2.4249787090055936,2.4007198302074286,2.376703631148413,2.3529276841213025,2.329389585705027,2.3060869565217397,2.2830174409962893,2.260178707118112,2.237568446205489,2.2151843726721774,2.193024223796363,2.171085759491936,2.1493667620820434,2.1278650360749176,2.1065784079419383,2.085504725897921,2.064641859683601,2.043987700350293,2.0235401600467036,2.0032971718078825,1.9832566893462766,1.9634166868448817,1.9437751587524572,1.9243301195807954,1.9050796037040143,1.8860216651598596,1.8671543774529964,1.848475833360265,1.8299841447378888,1.8116774423306072,1.7935538755827203,1.7756116124510235,1.7578488392196137,1.7402637603165456,1.722854598132326,1.7056195928402211,1.6885570022183625,1.6716651014736315,1.6549421830673086,1.6383865565424625,1.621996548353069,1.6057705016948391,1.589706776337738,1.5738037484601808,1.5580598104848866,1.542473370916374,1.5270428541800845,1.5117667004631106,1.4966433655565228,1.4816713206992704,1.4668490524236453,1.4521750624022896,1.4376478672967372,1.423265998607468,1.409028002525463,1.394932439785243,1.3809778855193808,1.3671629291144656,1.353486174068508,1.3399462378497755,1.326541751757036,1.3132713607812012,1.3001337234683539,1.2871275117841452,1.2742514109795493,1.2615041194579593,1.2488843486436143,1.236390822851343,1.2240222791576074,1.2117774672728407,1.199655149415059,1.1876541001847387,1.1757731064409462,1.1640109671787056,1.1523664934075926,1.140838508031546,1.1294258457298776,1.1181273528394755,1.1069418872381842,1.0958683182293516,1.0849055264275316,1.0740524036453292
4,40.7,47.77,38.41,29.97,30.18,0.0,31.14,31.0,31.11,7.71,15.31,15.34,15.57,47.45,15.75,23.85,8.18,8.31,25.59,25.89,16.98,8.66,0.0,9.2,9.45,9.44,0.0,0.0,27.12,17.59,8.43,8.08,24.17,8.08,15.97,0.0,8.17,8.33,8.32,0.0,17.23,8.69,0.0,0.0,4.33,5.72,5.55,5.4,5.26,5.13,5.01,4.9,4.8,4.7,4.61,4.53,4.45,4.38,4.31,4.24,4.18,4.13,4.07,4.02,3.98,3.93,3.88,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.02,2.98,2.95,2.92,2.89,2.8705204707851775,2.8511722398604697,2.8319544222331845,2.812866138875767,2.7939065166855883,2.775074688445014,2.756369792781734,2.737790974129365,2.7193373826883165,2.7010081743869194,2.682802510842821,2.6647195593246336,2.646758492713847,2.6289184894669964,2.6111987335780826,2.5935984145412516,2.5761167273137175,2.5587528722789417,2.54150605521006,2.5243754872335504,2.507360384793153,2.4904599696140295,2.4736734686671635,2.4570001141340034,2.4404391433713406,2.4239897988764274,2.407651328252329,2.3914229841735057,2.3753040243516352,2.3592937115016546,2.343391313308041,2.3275961023913125,2.3119073562747596,2.296324357351397,2.2808463928511427,2.265472754808213,2.2502027400287417,2.235035650058616,2.2199707911515274,2.2050074742372403,2.190145014890075,2.1753827332976017,2.1607199542295423,2.14615600700689,2.1316902254712304,2.117321947954269,2.1030505172475698,2.088875280572493,2.0747955895503365,2.060810800172679,2.0469202727719225,2.0331233719920356,2.0194194667594894,2.005807930254395,1.99228813988183,1.978859477243362,1.965521328108763,1.9522730823879146,1.939114134102902,1.9260438813602954,1.9130617263236214,1.9001670751860156,1.8873593381430642,1.8746379293658233,1.8620022669740255,1.8494517730094628,1.8369858734095514,1.8246039979810746,1.8123055803741008,1.800090058056079,1.7879568722861083,1.7759054680893818,1.7639352942318,1.7520458031947606,1.7402364511501098,1.7285066979352735,1.7168560070285446,1.705283845524546,1.6937896841098536,1.682372997038787,1.6710332621093593,1.659769960639394,1.648582577442799,1.6374706008060014,1.6264335224645434,1.6154708375798326
5,8.15,32.75,23.96,23.11,30.05,37.78,7.75,31.31,0.0,31.3,7.73,15.26,15.32,15.58,7.9,7.83,31.82,8.18,16.64,34.13,8.76,0.0,0.0,8.78,9.15,0.0,0.0,9.35,18.46,0.0,26.47,16.91,0.0,16.09,0.0,15.95,8.01,16.32,0.0,8.33,0.0,25.6,8.6,0.0,5.3,7.0,6.8,6.61,6.44,6.29,6.14,6.01,5.88,5.76,5.65,5.55,5.46,5.37,5.29,5.21,5.13,5.07,5.0,4.94,4.88,4.82,4.77,4.72,4.66,4.61,4.56,4.51,4.46,4.41,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.513287222136461,3.4867760184258,3.4604648677929966,3.4343522606410373,3.4084366987643007,3.382716695262599,3.3571907744558662,3.3318574717994927,3.306715333800297,3.2817629179331314,3.256998792558118,3.232421536838508,3.2080297406591614,3.183822004545643,3.1597969395839267,3.1359531673407077,3.1122893197843142,3.088804039206217,3.065495978143133,3.042363799299712,3.0194061754718122,2.99662178947035,2.9740093340457276,2.951567511812831,2.9292950351765894,2.9071906262581035,2.8852530168213253,2.863480948200293,2.841873171226917,2.8204284461593083,2.7991455426106473,2.7780232394785926,2.7570603248752197,2.736255596057488,2.715607859358237,2.6951159301176957,2.674778632615515,2.654594800003312,2.63456327423772,2.614682906013949,2.594952554699841,2.5753710882704284,2.555937383242985,2.5366503246125656,2.5175088057880317,2.498511728528563,2.479658002880645,2.4609465471155327,2.442376287667188,2.423946159070683,2.4056551039010685,2.3875020727127074,2.36948602397906,2.3516059240329263,2.3338607470071424,2.31624947477572,2.2987710968954316,2.281424610547835,2.26420902048174,2.2471233389561043,2.230166585683362,2.2133377877731792,2.1966359796766364,2.1800602031308287,2.1636095071038866,2.14728294774041,2.131079588307315,2.1149984991400905,2.099038757589456,2.0831994479684255,2.0674796614997737,2.0518784962638903,2.036395057147034,2.0210284557899785,2.005777810537038,1.9906422463854867,1.9756208949353533,1.9607128943395982,1.945917389254663,1.931233530791398,1.916660476466356,1.9021973901534546,1.8878434420360048,1.873597808559099,1.8594596723823609,1.8454282223330505
6,32.01,8.22,32.96,24.1,31.01,22.67,0.0,0.0,15.79,7.83,15.74,23.07,30.47,7.67,23.37,23.58,7.84,15.94,24.52,25.02,8.56,17.49,16.96,17.31,34.97,0.0,9.34,9.35,0.0,9.23,0.0,0.0,8.48,8.08,16.11,16.14,31.81,0.0,8.15,8.32,8.32,8.33,8.47,8.55,7.62,7.34,7.13,6.93,6.75,6.59,6.44,6.3,6.17,6.05,5.93,5.83,5.73,5.64,5.55,5.47,5.39,5.32,5.25,5.19,5.13,5.07,5.01,4.96,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.76,3.72,3.6937347538421226,3.66765495476912,3.6417592934225684,3.616046469688837,3.5905151926338092,3.5651641804380763,3.539992160332578,3.514997868534704,3.490180050184844,3.465537459283387,3.441068858628166,3.416773019752339,3.392648722862718,3.3686947567785253,3.3449099188705844,3.321293015000944,3.2978428594629228,3.2745582749215805,3.25143809235461,3.2284811509936437,3.205686298265978,3.1830523897367065,3.1605782890512613,3.138262867878365,3.116105005853378,3.0941035905220513,3.072257517284677,3.0505656893406248,3.0290270176332843,3.007640420795381,2.9864048250946893,2.9653191643801233,2.9443823800282107,2.9235934208899423,2.902951243238,2.882454810714354,2.8621030942782326,2.841895072154458,2.8218297297821473,2.801906059763775,2.782123061814596,2.7624797427124275,2.742975116247779,2.7236082031743427,2.70437803115983,2.68528363473715,2.6663240552559424,2.647498340834446,2.628805546311707,2.610244733200129,2.591814969638353,2.5735153303444758,2.5553448965695917,2.537302756051668,2.5193880029697437,2.5015997378984522,2.4839370677628647,2.466399105793653,2.4489849714825667,2.43169379053823,2.4145246948422443,2.397476822405603,2.3805493173254173,2.3637413297419445,2.347052015795917,2.3304805375861797,2.3140260631276197,2.297687766309396,2.281464826853466,2.2653564302734,2.249361767833491,2.233480036508151,2.2177104389415936,2.2020521834078046,2.186504483770789,2.1710665594451055,2.1557376353566746,2.140516941903867,2.1254037149188636,2.110397195629291,2.095496630620125,2.0807012717958666,2.066010376342983,2.0514232066926126,2.036939030483536,2.0225571205254074
7,30.89,40.24,24.72,33.02,16.11,7.77,22.75,15.27,7.86,31.67,15.66,15.64,15.34,15.22,15.33,7.76,15.7,15.67,16.0,8.18,8.31,17.09,0.0,8.46,17.24,17.39,9.05,37.09,0.0,9.36,0.0,9.1,8.84,0.0,16.15,0.0,8.04,7.94,7.98,0.0,8.32,0.0,0.0,16.81,8.81,6.24,6.06,5.9,5.75,5.61,5.48,5.36,5.25,5.15,5.06,4.97,4.89,4.81,4.74,4.67,4.6,4.54,4.48,4.43,4.38,4.33,4.28,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47,3.43,3.39,3.36,3.32,3.28,3.25,3.21,3.18,3.1605840430405117,3.1412866330573292,3.1221070462444813,3.1030445632152994,3.084098468975437,3.06526805289605,3.046552608687143,3.027951434371078,3.0094638322562446,2.991089108910891,2.9728265751371152,2.9546755459450127,2.9366353405269874,2.9187052822322124,2.900884698541253,2.8831729210408388,2.8655692853987977,2.8480731313391328,2.83068380261726,2.813400646995393,2.7962230162180783,2.7791502659878833,2.7621817559412256,2.7453168496243583,2.7285549144694947,2.711895321771086,2.6953374466622355,2.6788806680912636,2.6625243687984126,2.646267935292696,2.6301107578288856,2.614052230384643,2.5980917506377867,2.582228719943703,2.566462543312891,2.550792629388645,2.5352183904248746,2.5197392422640594,2.504354604315339,2.489063899532734,2.4738665543935063,2.458761998876644,2.4437496664414824,2.4288289940064534,2.4139994219279672,2.399260393979419,2.3846113573303276,2.3700517625256006,2.3555810634649226,2.341198717382275,2.326904184825575,2.3126969296364477,2.2985764189301072,2.284542123075377,2.2705935156748205,2.256730073544998,2.242951276696843,2.229256608316159,2.215645554744234,2.202117605458575,2.188672253053759,2.175308993222401,2.1620273247362394,2.148826749427335,2.1357067721693856,2.1226669008591563,2.109706646398021,2.0968255226736146,2.0840230465416063,2.0712987378075702,2.0586521192089813,2.046082716397308,2.033590057920225,2.021173675203929,2.0088331025355606,1.9965678770457411,1.9843775386912075,1.9722616302375584,1.9602196972421049,1.948251288036824,1.9363559537114179,1.9245332480964779,1.9127827277467462,1.9011039519244872,1.8894964825829532,1.8779598843499548
8,22.52,31.1,24.22,0.0,16.54,8.07,15.6,22.84,15.32,15.78,15.83,23.4,0.0,15.32,15.22,7.63,15.51,7.84,0.0,8.01,0.0,8.3,8.53,0.0,0.0,17.15,17.29,18.02,18.52,0.0,18.72,18.44,0.0,17.61,16.9,8.07,8.02,16.04,7.91,7.98,0.0,0.0,0.0,8.2,5.6,4.78,4.64,4.52,4.41,4.3,4.2,4.11,4.03,3.95,3.88,3.82,3.75,3.69,3.64,3.59,3.54,3.49,3.45,3.4,3.36,3.33,3.29,3.25,3.22,3.18,3.15,3.11,3.08,3.04,3.01,2.98,2.94,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.52,2.5,2.47,2.44,2.4274737457556097,2.4150117976773653,2.402613825636009,2.390279501197073,2.378008497612176,2.3658004898103684,2.353655154389521,2.341572169607758,2.3295512153749316,2.3175919732441472,2.3056941264033215,2.293857359666795,2.282081359466978,2.270365813846049,2.2587104124476856,2.247114846508845,2.235578808851585,2.224101993874927,2.212684097546758,2.2013248173957782,2.190023852503489,2.17878090349622,2.167595672537197,2.1564678633186554,2.145397181053989,2.1343833324699397,2.12342602579883,2.1125249707708336,2.101679878606285,2.0908904620080304,2.0801564351538158,2.069477513688717,2.058853414717605,2.0482838567976525,2.0377685599308792,2.027307245556732,2.016899636544708,2.0065454571870123,1.9962444331912539,1.9859962916731795,1.975800761149444,1.96565757153042,1.9555664541130429,1.94552714157369,1.9355393679611026,1.9256028686893374,1.9157173805307595,1.9058826416090686,1.8960983913923615,1.8863643706862303,1.8766803216268966,1.867045987674379,1.8574611136056995,1.8479254455081204,1.8384387307724184,1.8290007180861931,1.8196111574272096,1.810269800056774,1.8009763985131462,1.7917307066049812,1.7825324794048114,1.773381473242554,1.764277445699059,1.7552201555996862,1.7462093630079158,1.7372448292189928,1.7283263167536038,1.7194535893515848,1.7106264119656638,1.701844550755233,1.6931077730801551,1.6844158474945996,1.6757685437409124,1.6671656327435147,1.6586068866028365,1.6500920785892774,1.6416209831372022,1.6331933758389636,1.6248090334389582,1.6164677338277131,1.6081692560360001,1.5999133802289842,1.591699887700398,1.5835285608667495,1.575399183261557,1.5673115395296147
9,21.96,15.12,23.44,16.18,41.31,8.28,8.09,7.83,15.28,15.35,23.68,15.77,23.31,0.0,30.53,15.15,7.64,15.51,0.0,15.73,8.01,8.22,16.58,8.5,8.61,8.42,8.52,17.23,27.01,18.52,0.0,0.0,18.37,9.02,0.0,8.43,0.0,0.0,0.0,0.0,0.0,8.09,0.0,0.0,2.54,3.36,3.27,3.18,3.1,3.03,2.96,2.9,2.84,2.79,2.74,2.69,2.65,2.61,2.57,2.53,2.5,2.46,2.43,2.4,2.38,2.35,2.32,2.3,2.27,2.25,2.22,2.2,2.17,2.15,2.13,2.1,2.08,2.06,2.03,2.01,1.99,1.97,1.95,1.93,1.9,1.88,1.86,1.84,1.82,1.8,1.78,1.76,1.74,1.72,1.7122656965918486,1.7045661719332377,1.6969012696349801,1.689270834011123,1.6816747100757843,1.6741127435400047,1.6665847808086143,1.6590906689771137,1.651630255828566,1.6442033898305075,1.636809920131868,1.6294496965599077,1.6221225696171666,1.6148283904784286,1.607567010987698,1.60033828365519,1.5931420616543357,1.5859781988187995,1.5788465496395099,1.5717469692617048,1.564679313481988,1.5576434387454023,1.550639202142511,1.5436664614064972,1.5367250749102732,1.5298149016636045,1.5229358013102454,1.5160876341250886,1.509270261011327,1.502483543497629,1.4957273437353236,1.489001524495604,1.4823059491667385,1.475640481751295,1.469004986863379,1.4623993297258855,1.4558233761677595,1.4492769926212705,1.442760046119302,1.4362724042926478,1.4298139353673256,1.423384508161899,1.416983992084814,1.4106122571317457,1.4042691738829582,1.3979546135006762,1.3916684477264674,1.3854105488786377,1.3791807898496369,1.3729790441034797,1.3668051856731713,1.3606590891581534,1.3545406297217535,1.3484496830886508,1.3423861255423526,1.3363498339226796,1.3303406856232667,1.3243585585890698,1.3184033313138896,1.3124748828379018,1.3065730927452004,1.3006978411613528,1.2948490087509636,1.289026476715252,1.283230126789638,1.2774598412413405,1.2717155028669862,1.2659969949902288,1.2603042014593784,1.2546370066450445,1.248995295437784,1.243378953245767,1.237787865992446,1.2322219201142401,1.2266810025582295,1.2211650007798571,1.215673802740644,1.210207296905913,1.204765372242524,1.1993479182166182,1.1939548247913727,1.1885859824247667,1.1832412820673546,1.1779206151600528,1.172623873631934,1.1673509498980323
