age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1021.52,974.35,841.47,889.18,868.22,771.75,718.83,679.37,715.32,668.21,536.57,569.01,552.11,559.11,603.71,553.32,448.29,489.8,424.17,506.44,523.86,411.78,467.36,406.02,474.9,379.88,421.75,386.05,321.52,342.14,347.04,295.22,322.5,352.06,283.38,330.03,287.1,322.59,264.92,263.44,257.52,251.88,246.51,241.39,236.51,231.85,227.41,223.18,219.15,215.3,211.63,208.12,204.78,201.59,198.55,195.64,192.86,190.21,187.67,185.24,182.9,180.66,178.48,176.34,174.23,172.14,170.08,168.04,166.02,164.03,162.07,160.12,158.2,156.31,154.43,152.58,150.75,148.95,147.16,145.4,143.65,141.93,140.23,138.55,136.89,135.24,133.62,132.02,130.4369620040505,128.87289172767387,127.32756238076858,125.8007496673223,124.29223204342087,122.8017906312455,121.32920913306948,119.87427374525527,118.43677341626355,117.01649941663801,115.6132456830176,114.22680847412414,112.85698654276862,111.50358096384497,110.16639539233923,108.84523554731123,107.53990972791297,106.25022821136709,104.97600394099145,103.71705183817461,102.47318897438191,101.24423474316167,100.03001077414204,98.83034058901882,97.6450500315707,96.47396692364707,95.31692106516797,94.17374449213334,93.04427104660758,91.92833672073195,90.8257793987153,89.73643885683401,88.6601568494352,87.59677693693045,86.54614474380509,85.50810744259975,84.48251429572974,83.46921625127057,82.46806603756131,81.47891817180495,80.5016288998663,79.53605617907121,78.58205967820672,77.63950073451947,76.70824233651506,75.7881491325584,74.87908737067157,73.98092490713408,73.0935311720816,72.21677716090583,71.35053541705372,70.49467998902593,69.64908646477821,68.81363188571812,67.9881947897068,67.1726551422563,66.36689437953123,65.57079532234566,64.7842422105644,64.00712066870162,63.239317680120145,62.480721595631564,61.731222081894515,60.99071014721554,60.25907808994729,59.53621949848847,58.822029242683584,58.116403439421674,57.41923945263635,56.730435884705415,56.04989254204973,55.37751041793252,54.713191718260354,54.05683980138096,53.408359178083224,52.767655528797825,52.134635626194466,51.50920737818337,50.891279810714764,50.28076300757659,49.67756814479584,49.08160746483763
1,70.69,57.7,55.73,69.61,74.03,75.27,59.13,31.47,65.75,38.28,80.12,59.33,49.47,44.59,32.81,27.35,34.98,31.37,32.19,29.53,31.04,42.82,39.61,27.44,53.59,52.73,51.53,21.43,17.22,24.02,31.5,30.72,24.52,10.7,21.76,29.11,11.16,26.86,25.91,25.77,25.19,24.65,24.12,23.62,23.15,22.69,22.26,21.85,21.45,21.08,20.72,20.38,20.05,19.74,19.44,19.16,18.89,18.63,18.38,18.14,17.91,17.69,17.48,17.27,17.06,16.86,16.66,16.46,16.26,16.06,15.87,15.68,15.49,15.31,15.12,14.94,14.76,14.58,14.41,14.24,14.07,13.9,13.73,13.57,13.4,13.24,13.08,12.93,12.774851652092913,12.621564808858121,12.470117140980815,12.320486574241167,12.172651315023849,12.02658983331168,11.882280837176145,11.73970331529321,11.598836477421175,11.459659822425989,11.322153061752761,11.186296161941591,11.052069327621235,10.919453018515442,10.788427889920786,10.65897486923516,10.531075096435622,10.404709924078384,10.279860951311484,10.156509989862114,10.034639064036634,9.91423041072055,9.79526650488804,9.677729991576596,9.561603762415542,9.446870887600689,9.333514658410179,9.221518561694975,9.110866262872538,9.001541656945815,8.893528808981081,8.786811971114274,8.681375616563654,8.577204363101309,8.47428303767722,8.372596647508493,8.272130374977461,8.172869581032955,8.074799803489656,7.977906751075896,7.882176307685231,7.787594523022964,7.694147616857718,7.6018219730692325,7.510604137947723,7.4204808210441975,7.331438890068558,7.2434653708895995,7.156547444133749,7.0706724460353705,6.9858278616342435,6.90200132987746,6.8191806351162505,6.737353709656946,6.656508629509386,6.5766336152372356,6.49771702685609,6.419747366384425,6.342713271041056,6.2666035166464145,6.191407011670323,6.117112800633268,6.04371005560323,5.971188081297585,5.899536309981205,5.828744300616136,5.758801738011294,5.689698429421181,5.621424304545902,5.553969416381468,5.487323933566959,5.42147814548641,5.3564224571669214,5.292147387578025,5.2286435721826265,5.165901755284164,5.1039127942781874,5.042667657101409,4.98215741798012,4.922373259130824,4.863306469059605,4.804948440861492
2,38.68,43.28,36.63,59.01,38.27,38.83,41.04,31.38,56.48,25.01,28.75,61.03,34.34,18.57,15.95,16.49,17.16,24.51,21.01,21.56,14.85,38.56,19.38,3.94,11.71,22.95,14.97,18.35,32.15,27.64,10.33,10.48,20.41,10.44,10.62,10.78,10.88,0.0,9.53,9.46,9.23,9.02,8.81,8.62,8.43,8.25,8.09,7.93,7.78,7.63,7.5,7.37,7.24,7.13,7.02,6.91,6.81,6.71,6.62,6.54,6.45,6.37,6.3,6.22,6.15,6.07,6.0,5.93,5.86,5.79,5.72,5.65,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.604081367613769,4.548833727306484,4.494249026665161,4.440319311121298,4.3870367211284425,4.334393493103005,4.282381955661004,4.230994527736444,4.180223721403757,4.1300621371737325,4.080502466815963,4.031537485832337,3.9831600600427337,3.9353631389993278,3.888139757868223,3.8414830327253817,3.795386166201508,3.74984243995554,3.704845216556281,3.660387939482397,3.6164641284183543,3.573067383017672,3.5301913781988543,3.487829866967834,3.4459766757139083,3.4046257032689233,3.3637709256113415,3.323406387398926,3.283526206672805,3.2441245710942197,3.2051957398261517,3.1667340378884488,3.1287338618026967,3.0911896720657213,3.054095997853653,3.0174474341994837,2.981238638229823,2.9454643348097727,2.910119309016422,2.8751984108429136,2.8406965514351956,2.806608701210393,2.7729298926792465,2.7396552185644896,2.706779828978407,2.6742989323636515,2.642207796434054,2.6105017425297508,2.5791761512620552,2.5482264559277747,2.5176481481540818,2.487436769431203,2.457587918638921,2.42809724357926,2.398960448502986,2.370173285642295,2.3417315599148756,2.3136311270422842,2.2858678907275056,2.2584378054773944,2.2313368728394227,2.2045611442241158,2.178106717141807,2.1519697352026337,2.1261463899981643,2.1006329182789605,2.075425601013764,2.0505207652711235,2.025914781396956,2.0016040620737328,1.977585066083733,1.9538542917233548,1.9304082805663632,1.9072436165230806,1.884356922077136,1.8617448629895275,1.839404142653746,1.8173315058590278,1.795523735967915,1.7739776549162574,1.7526901213315855,1.7316580333555498
3,17.02,32.37,31.05,24.49,46.9,35.26,22.8,25.49,34.46,28.18,34.41,25.61,25.67,18.72,18.61,22.43,13.24,24.1,24.55,7.04,10.82,18.46,19.17,26.97,7.84,11.69,15.22,18.67,18.32,10.74,10.37,10.29,6.96,3.39,3.46,17.56,10.74,18.05,8.3,8.21,8.0,7.79,7.59,7.41,7.23,7.07,6.91,6.77,6.63,6.5,6.37,6.25,6.14,6.04,5.94,5.85,5.76,5.68,5.6,5.52,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.55,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.8828408330516475,3.8362475557949924,3.790213378613512,3.744731593242955,3.6997955705726295,3.655398761744761,3.6115346970551343,3.568196983754384,3.5253793071473516,3.483075425096308,3.4412791746170845,3.3999844630842335,3.3591852726284483,3.318875657937852,3.2790497440592867,3.239701726398318,3.200825871818585,3.1624165142443816,3.1244680546606594,3.086974964411088,3.049931778601929,3.0133330994000995,2.9771735916357494,2.941447986100333,2.9061510773478916,2.8712777192976398,2.8368228318300894,2.802781391992216,2.7691484383948715,2.735919071212793,2.7030884455884636,2.6706517782282493,2.6386043419056207,2.606941464361799,2.5756585338025304,2.5447509890038913,2.5142143259084193,2.4840440954264014,2.4542358990384554,2.4247853931929493,2.3956882849085823,2.3669403350724463,2.3385373529432565,2.310475199449412,2.282749784990288,2.2553570694362337,2.2282930588305088,2.2015538097867053,2.1751354250913226,2.1490340548031273,2.1232458951537967,2.0977671874485613,2.072594219165563,2.047723319558435,2.023150866252429,1.9988732764495782,1.9748870124254703,1.951188578231184,1.9277745207926422,1.9046414277119046,1.8817859261678096,1.859204685114687,1.8368944152823559,1.8148518647787066,1.793073820189054,1.7715571076754928,1.7502985918775447,1.7292951737134443,1.7085437925788536,1.688041424148148,1.6677850814737747,1.6477718105888297,1.62799869490448,1.6084628530112535,1.5891614386790365,1.570091637559012,1.5512506704817228,1.532635792357717,1.5142442899788373,1.4960734820182224,1.478120721229016,1.460383390046946
4,20.66,23.92,35.71,40.52,15.4,9.4,16.08,16.4,19.1,9.38,28.19,12.53,32.03,9.61,15.63,12.46,12.88,9.97,13.8,14.07,17.67,21.53,14.7,15.22,30.59,11.72,15.5,3.8,3.72,3.66,10.75,6.9,13.71,3.47,13.48,10.31,3.5,3.57,7.7,7.61,7.39,7.18,6.98,6.8,6.63,6.47,6.31,6.17,6.04,5.91,5.79,5.68,5.57,5.47,5.38,5.29,5.21,5.13,5.06,4.99,4.93,4.87,4.81,4.75,4.69,4.64,4.58,4.52,4.47,4.42,4.36,4.31,4.26,4.21,4.16,4.11,4.06,4.01,3.96,3.91,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.55,3.5074007123610245,3.4653125988005917,3.423729526702344,3.382645434771609,3.3420543361819495,3.301950315428617,3.2623275283285507,3.223180198873833,3.184502623427085,3.14628916547722,3.1085342545906,3.0712323906064265,3.0343781341971057,2.9979661173567322,2.9619910318637586,2.926447635574081,2.891330748225652,2.856635251438476,2.8223560897634585,2.788488266487014,2.7550268467776093,2.721966953490372,2.6893037692647863,2.6570325323292985,2.62514854174556,2.5936471479687926,2.562523762287422,2.531773848432292,2.501392924674362,2.471376563824706,2.4417203900879656,2.4124200822088997,2.383471370325836,2.354870034921823,2.3266119078734784,2.2986928703532943,2.2711088549273315,2.243855840310978,2.2169298545154965,2.1903269737991726,2.164043321618469,2.138075066530327,2.112418424289866,2.087069654703833,2.0620250658260035,2.0372810055663884,2.0128338679843263,1.98868009014194,1.9648161521041334,1.9412385769385943,1.9179439265203997,1.8949288078251054,1.8721898645379609,1.8497237843958454,1.8275272928941797,1.805597154335775,1.783930172879678,1.7625231904434782,1.7413730877521532,1.7204767822403741,1.6998312280525048,1.6794334160425997,1.6592803748232567,1.6393691655213718,1.6196968880712301,1.6002606738725675,1.5810576899859645,1.562085139132846,1.5433402555000866,1.52482030683771,1.506522594458886,1.4884444521910842,1.4705832432295283,1.4529363664302863,1.4355012500171795,1.418275351581785,1.4012561601811282,1.3844411973865363,1.3678280120393917,1.3514141812999838,1.3351973148429004,1.3191750475150907
5,25.75,34.53,34.22,16.25,21.9,12.36,22.03,19.4,13.11,19.05,12.5,21.95,43.84,9.6,12.82,59.47,25.03,9.7,16.67,10.38,10.56,10.56,14.33,10.97,15.13,11.44,7.78,3.87,7.59,11.15,7.31,17.89,0.0,6.83,3.45,16.74,17.12,3.49,6.78,6.69,6.49,6.3,6.12,5.96,5.8,5.66,5.52,5.39,5.27,5.16,5.05,4.95,4.85,4.77,4.68,4.61,4.53,4.47,4.4,4.34,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.94,3.89,3.84,3.8,3.75,3.7,3.66,3.62,3.57,3.53,3.49,3.45,3.4,3.36,3.32,3.28,3.24,3.2,3.17,3.13,3.09,3.0529205964447286,3.0162861312049793,2.980091264872808,2.9443307245216923,2.908999297058389,2.8740918330218754,2.8396032465833443,2.805528511747271,2.771862660451941,2.7386007882678576,2.7057380467998664,2.6732696474860944,2.6411908577990064,2.609497002195148,2.578183464014607,2.5472456769334064,2.5166791335111154,2.4864793794924394,2.456642012857488,2.427162685721244,2.398037100534622,2.369261014833145,2.340830232689333,2.3127406123105767,2.284988058441262,2.257568528061179,2.2304780237373785,2.2037125974231113,2.177268349508092,2.151141425019562,2.1253280174212286,2.099824362914854,2.0746267461386676,2.04973149351922,2.0251349780200574,2.0008336143930485,1.976823860128121,1.953102218302461,1.9296652299826402,1.9065094789732882,1.8836315927668237,1.861028234945584,1.83869611182996,1.8166319696291988,1.7948325925419302,1.7732948018064338,1.752015460449312,1.7309914666373476,1.710219756526707,1.6896973014137375,1.6694211124836404,1.6493882332125915,1.6295957441164182,1.610040760851128,1.5907204332631726,1.571631946339186,1.5527725173567772,1.534139397784002,1.5157298713798921,1.4975412560939256,1.4795709012168219,1.4618161873805424,1.444274526558291,1.4269433620645129,1.4098201685548957,1.3929024510766341,1.3761877422192264,1.3596736078128815,1.3433576402803784,1.3272374605365331,1.311310721787139,1.2955751000316194,1.2800283035603741,1.264668066306638,1.2494921497459484,1.2344983409966777,1.2196844556692366,1.205048335016869,1.1905878459356547,1.1763008800147714,1.1621853563857019,1.1482392160238242
6,21.83,22.61,17.29,41.08,26.07,6.27,12.41,18.98,9.68,9.81,12.71,15.64,15.67,15.64,16.0,3.21,25.12,28.2,12.96,13.39,10.4,21.09,3.5,10.67,0.0,18.82,11.36,3.87,7.73,3.79,7.43,3.65,0.0,6.85,3.4,3.43,3.34,20.46,5.74,5.67,5.5,5.34,5.19,5.05,4.92,4.79,4.68,4.57,4.47,4.37,4.28,4.2,4.12,4.04,3.97,3.91,3.84,3.79,3.73,3.68,3.63,3.59,3.54,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.1,3.07,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.69,2.65,2.62,2.5885604783041676,2.557498220520048,2.5268086980567,2.496487439249187,2.4665300251103632,2.436932089330879,2.4076893182791754,2.3787974510014873,2.3502522766729195,2.3220496345974415,2.2941854150575356,2.2666555576149063,2.239456049411205,2.212582926017663,2.1860322731343818,2.1598002189435537,2.1338829417562395,2.1082766640648742,2.0829776542425513,2.05798222484374,2.0332867343035677,2.008887581839969,1.9847812125515398,1.9609641123196804,1.937432811207168,1.9141838800595865,1.8912139288060448,1.8685196115570264,1.8460976198072554,1.8239446858342636,1.802057581848748,1.780433117445647,1.7590681413034224,1.737959539484777,1.7171042354366532,1.6964991899902346,1.6761414005113027,1.6560279000505962,1.636155756494169,1.6165220742626725,1.5971239917624318,1.5779586822350882,1.55902335120867,1.5403152407458058,1.5218316234962297,1.5035698052457067,1.485527125765675,1.4677009537153953,1.450088692589443,1.4326877756198566,1.4154956649264985,1.3985098566149026,1.381727874828784,1.3651472734493215,1.3487656369447998,1.3325805761223999,1.316589733226051,1.300790776838578,1.2851814061299127,1.2697593440599573,1.2545223441757205,1.2394681863631067,1.224594675147634,1.2098996439426426,1.195380949951443,1.1810364784155276,1.1668641375167168,1.1528618634750118,1.1390276137514594,1.125359372995645,1.111855148797483,1.0985129733865013,1.085330901932557,1.072307013395478,1.0594394088257801,1.046726214763234,1.0341655764397297,1.0217556637267715,1.009494668586551,0.9973808042223038,0.98541230337903,0.9735874242909827
7,18.2,18.75,16.16,17.3,20.59,9.8,6.29,6.23,9.45,6.44,16.36,19.04,15.63,3.13,3.13,6.42,12.87,12.58,18.83,3.25,13.41,3.46,7.0,0.0,7.07,0.0,3.73,18.81,11.59,0.0,0.0,11.14,14.55,3.56,3.41,3.38,0.0,3.33,4.86,4.8,4.66,4.53,4.41,4.29,4.18,4.08,3.98,3.89,3.81,3.73,3.65,3.58,3.51,3.45,3.39,3.34,3.28,3.23,3.19,3.15,3.1,3.07,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.68,2.65,2.62,2.59,2.56,2.53,2.5,2.47,2.44,2.41,2.38,2.35,2.32,2.29,2.27,2.24,2.2131203719711623,2.1865632904827748,2.160324884835542,2.1344013323338777,2.10878885348554,2.0834837168019966,2.058482233998055,2.0337807607919274,2.00937569850535,1.9852634892632166,1.9614406191938214,1.9379036168287374,1.9146490523027564,1.8916735349537,1.8689737173227294,1.8465462919541022,1.8243879889949806,1.8024955793956832,1.78086587330956,1.7594957176928052,1.738381998704647,1.7175216385070955,1.6969115976651301,1.6765488719464534,1.6564304939216132,1.6365535313638793,1.6169150872492428,1.5975122997564184,1.5783423414667792,1.559402417764236,1.540689769235421,1.5222016676693788,1.5039354192578152,1.4858883613948473,1.4680578650771914,1.4504413301037913,1.4330361898761879,1.4158399081982729,1.398849977676167,1.3820639229184628,1.365479297335982,1.3490936839418342,1.3329046945513567,1.3169099697821136,1.301107179053896,1.2854940181885366,1.2700682126101568,1.2548275133448588,1.23976970022097,1.2248925770686754,1.2101939773204478,1.1956717584106167,1.1813238033754905,1.1671480208533582,1.1531423458845493,1.1393047359111261,1.125633175577254,1.1121256711287693,1.0987802544134864,1.0855949812810777,1.0725679283828222,1.0596971987720418,1.0469809155036043,1.0344172256342332,1.022004298622385,1.0097403239280616,0.9976235158131838,0.9856521077411567,0.9738243539769937,0.9621385319875023,0.9505929384409751,0.9391858900072507,0.9279157249578386,0.9167807999656706,0.9057794925052873,0.8949101992527141,0.8841713360854611,0.8735613380825225,0.8630786587243163,0.852721769892683,0.8424891626709476,0.8323793449437343
8,17.02,18.26,18.8,19.44,20.84,17.21,16.37,22.1,18.64,12.58,16.11,9.81,12.66,0.0,6.26,12.57,12.87,12.88,9.44,3.15,9.78,10.03,17.21,13.92,10.38,3.52,7.18,7.42,7.5,0.0,19.3,11.36,0.0,3.63,0.0,3.4,3.37,10.22,3.26,3.22,3.13,3.05,2.97,2.89,2.82,2.75,2.69,2.63,2.58,2.52,2.47,2.43,2.38,2.34,2.3,2.26,2.23,2.2,2.17,2.14,2.11,2.08,2.06,2.03,2.01,1.98,1.96,1.94,1.91,1.89,1.87,1.85,1.82,1.8,1.78,1.76,1.74,1.72,1.7,1.68,1.66,1.64,1.62,1.6,1.58,1.56,1.54,1.52,1.5017602287245435,1.4837393289627852,1.4659346750380902,1.4483436712404603,1.430963754823196,1.4137923924069014,1.396827081178149,1.3800653494888124,1.3635047532600708,1.3471428801777368,1.3309773454969285,1.3150057926414012,1.299225893802881,1.283635349941064,1.2682318889856197,1.2530132652368555,1.2379772611637179,1.2231216856057918,1.2084443737733035,1.1939431854491183,1.179616008584741,1.1654607539063186,1.1514753591099716,1.1376577858651278,1.1240060204138573,1.1105180735708715,1.097191978326192,1.0840257940404803,1.07101760045171,1.058165502469829,1.045467627180096,1.0329221238430797,1.0205271638946596,1.0082809409460258,0.9961816701843461,0.9842275883727665,0.9724169532510772,0.9607480435357147,0.9492191583204269,0.9378286170762745,0.9265747608502963,0.9154559486695122,0.9044705599382543,0.8936169944381679,0.8828936693315461,0.8722990227573281,0.861831509635768,0.8514896046651012,0.8412718011228755,0.8311766096672889,0.8212025589365204,0.8113481949493974,0.8016120817047298,0.7919927999826426,0.7824889485432431,0.7730991417292886,0.7638220112641855,0.7546562044539912,0.7456003865847436,0.7366532367271343,0.727813451931836,0.7190797424348406,0.7104508370514548,0.7019254765836398,0.6935024198133377,0.6851804381084784,0.6769583196183073,0.668834865078057,0.660808890805611,0.6528792275028378,0.6450447190569255,0.6373042231397152,0.6296566130056984,0.6221007726973552,0.6146356018398167,0.6072600120448685,0.5999729281096154,0.5927732886158155,0.5856600441318804,0.5786321572128766,0.5716886047978557,0.5648283734151927
9,20.96,17.05,21.35,12.55,32.45,6.97,10.34,3.29,22.04,3.1,12.58,6.45,19.59,6.3,12.47,15.67,12.59,25.78,6.44,3.15,9.46,6.49,20.0,17.14,6.92,6.88,10.48,7.14,7.38,7.47,3.85,3.86,3.78,3.69,0.0,7.05,10.16,3.36,3.57,3.53,3.43,3.34,3.26,3.18,3.1,3.03,2.97,2.9,2.84,2.79,2.73,2.68,2.63,2.59,2.55,2.51,2.47,2.43,2.4,2.37,2.34,2.31,2.28,2.25,2.22,2.2,2.17,2.14,2.12,2.09,2.07,2.04,2.02,1.99,1.97,1.95,1.92,1.9,1.88,1.86,1.83,1.81,1.79,1.77,1.75,1.73,1.71,1.68,1.6598402394800509,1.6399223903622304,1.62024355010342,1.6008008503655546,1.5815914577136854,1.5626125729179172,1.5438614295572837,1.5253352947178094,1.5070314682944488,1.4889472836891462,1.471080105018589,1.4534273271142066,1.4359863790124816,1.4187547169743269,1.4017298314657092,1.3849092401770255,1.3682904922114771,1.3518711652928208,1.3356488664634298,1.319621232084296,1.303785925042778,1.2881406382429146,1.2726830911151135,1.257411031710336,1.2423222339078501,1.2274144981132915,1.212685651956727,1.1981335488965281,1.183756068219373,1.169551114342183,1.1555166175101845,1.1416505310046619,1.1279508353313283,1.114415533333892,1.1010426529863049,1.0878302439024503,1.074776381524517,1.0618791629346267,1.0491367089490187,1.0365471620238649,1.024108686953331,1.0118194715676396,0.9996777253369449,0.9876816772771458,0.9758295801382608,0.9641197062160524,0.9525503480500905,0.941119821216002,0.9298264587409714,0.9186686145940527,0.907644662988107,0.8967529969836785,0.8859920291870559,0.8753601917502727,0.8648559342769206,0.8544777266143989,0.8442240560616641,0.8340934273692306,0.824084365531421,0.8141954108999276,0.8044251219760645,0.7947720754107647,0.7852348646084574,0.7758120983309429,0.7665024041877038,0.7573044251455937,0.7482168209249624,0.73923826660353,0.7303674540125125,0.7216030896424346,0.7129438967373165,0.7043886132004875,0.6959359922926474,0.6875848012357425,0.6793338240052147,0.671181857141628,0.6631277132409792,0.6551702181624495,0.6473082117264661,0.6395405491108277,0.6318660966623296,0.624283737481263
