age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1021.96,975.93,841.75,888.91,868.16,771.09,719.51,678.65,715.01,667.78,536.58,569.97,553.16,558.73,603.83,553.99,448.78,490.37,424.64,506.36,525.0,411.65,467.25,405.21,474.77,379.64,421.29,386.5,321.02,342.14,347.04,295.94,322.61,351.76,283.2,330.13,286.78,323.1,251.99,286.74,412.29,329.88,308.99,297.98,261.76,251.09,244.57,238.44,232.69,227.32,222.29,217.58,213.19,209.09,205.25,201.66,198.31,195.16,192.21,189.44,186.82,184.35,182.01,179.78,177.65,175.6,173.62,171.69,169.81,167.95,166.11,164.3,162.5,160.73,158.97,157.23,155.51,153.81,152.13,150.47,148.82,147.2,145.59,144.0,142.42,140.86,139.32,137.8,136.29,134.8,133.33,131.87,130.43,129.01,127.578251322078,126.16239214323926,124.76224612235283,123.37763887531574,122.00839795333394,120.65435282144442,119.31533483727547,117.9911772300428,116.68171507977867,115.38678529679174,114.10622660135456,112.83987950361674,111.58758628374092,110.34919097225922,109.12453933064778,107.91347883211664,106.71585864261316,105.53152960203589,104.36034420565731,103.20215658575239,102.05682249343126,100.92419928067342,99.80414588256133,98.69652279971123,97.60119208089885,96.51801730587803,95.4468635683899,94.38759745936082,93.34008705028653,92.30420187680097,91.27981292242725,90.26679260250901,89.26501474832018,88.274354591351,87.29468874776845,86.32589520304921,85.36785329678304,84.42044370764494,83.48354843853394,82.55705080187703,81.64083540509596,80.73478813623547,79.83879614975095,78.95274785245392,78.07653288961336,77.21004213121142,76.35316765835145,75.50580274981722,74.66784186878094,73.83918064965906,73.01971588511374,72.20934551319874,71.40796860464799,70.61548535030491,69.83179704869171,69.05680609371626,68.29041596251564,67.53253120343437,66.7830574241363,66.0419012798483,65.30897046173438,64.58417368539894,63.86742067951758,63.15862217459403,62.45768989184192,61.76453653218991,61.079075765408824,60.40122221935951,59.730891469359975,59.068000027670514,58.41246533309556,57.76420574070099,57.123140511645396,56.48918980312435,55.8622746584262,55.242316997098264,54.62923960522211,54.02296612579679,53.423421049228814,52.83052970392765,52.24421824700558,51.66441365508077,51.0910437151825,50.52403701575712,49.96332293777409,49.40883164593045
1,70.69,57.7,55.73,69.61,74.03,75.27,59.13,31.47,65.75,38.28,80.12,59.33,49.47,44.59,32.81,27.35,34.98,31.37,32.19,29.53,31.04,42.82,39.61,27.44,53.59,52.73,51.53,21.43,17.22,24.02,31.03,31.35,24.81,10.81,22.07,29.55,11.3,27.27,27.76,28.47,25.33,12.91,34.07,17.18,18.09,18.3,17.81,17.35,16.92,16.52,16.14,15.79,15.47,15.16,14.88,14.61,14.36,14.13,13.92,13.71,13.52,13.34,13.17,13.01,12.85,12.7,12.56,12.42,12.28,12.15,12.02,11.88,11.75,11.63,11.5,11.37,11.25,11.12,11.0,10.88,10.76,10.65,10.53,10.41,10.3,10.19,10.08,9.97,9.86,9.75,9.64,9.54,9.43,9.33,9.150300338933814,8.974061767705496,8.801217624292452,8.631702530610234,8.465452367783353,8.302404251892398,8.142496510188268,7.985668657764535,7.831861374679096,7.6810164835164825,7.533076927382323,7.387986748321647,7.245691066152851,7.10613605770934,6.969268936480983,6.835037932647679,6.703392273497484,6.574282164221901,6.447658769081049,6.323474192931608,6.201681463110538,6.082234511667729,5.965088157940853,5.850198091465837,5.737520855216485,5.627013829166906,5.518635214170546,5.4123440161497145,5.3081000305896175,5.205863827331057,5.105596735656019,5.007260829660519,4.910818913909181,4.816234509366105,4.723471839596722,4.632495817235391,4.543272030713664,4.455766731244132,4.369946820055004,4.285779835870531,4.203233942632564,4.1222779174586135,4.0428811388318255,3.9650135750184323,3.888645772708289,3.8137488458741906,3.7402944648457717,3.6682548455938404,3.5976027392211067,3.5283114216553173,3.4603546835409107,3.3937068203253595,3.328342622536456,3.2642373662468587,3.2013668037222995,3.1397071542499053,3.0792350951431757,3.019927752920203,2.961762694651808,2.9047179194763095,2.8487718502777275,2.793903325524265,2.7400915912639863,2.687316293274657,2.635557469364786,2.5847955418229525,2.535011310012559,2.486185943109214,2.4383009729779985,2.391338287187913,2.3452801221608754,2.3001090564526687,2.2558080041633,2.212360208474282,2.1697492353103867,2.127958967123474,2.0869735967960534,2.046777621662256,2.007355837643975,1.9686933334999392,1.9307754851855556,1.8935879503213815,1.8571166627681375,1.8213478273062083,1.7862679144176166,1.751863655168501
2,38.68,43.28,36.63,59.01,38.27,38.83,41.04,31.38,56.48,25.01,28.75,61.03,34.34,18.57,15.95,16.49,17.16,24.51,21.01,21.56,14.85,38.56,19.38,3.94,11.71,22.95,14.97,18.35,32.15,27.64,10.29,10.36,20.9,10.6,10.77,10.95,11.07,0.0,23.26,15.91,8.08,8.33,16.68,29.11,17.02,13.09,12.75,12.43,12.13,11.85,11.59,11.34,11.11,10.9,10.7,10.51,10.33,10.17,10.02,9.87,9.73,9.61,9.48,9.37,9.26,9.15,9.05,8.94,8.85,8.75,8.65,8.56,8.47,8.37,8.28,8.19,8.1,8.01,7.92,7.84,7.75,7.67,7.58,7.5,7.42,7.34,7.26,7.18,7.1,7.02,6.94,6.87,6.79,6.72,6.636284221072631,6.553611348639521,6.471968390479015,6.391342516222726,6.311721055339215,6.233091495142787,6.155441478827098,6.078758803523251,6.003031418382099,5.928247422680413,5.854395063950673,5.78146273613413,5.709438977756894,5.6383124701287395,5.568072035564346,5.498706635626702,5.4302053693923895,5.362557471738482,5.295752311650777,5.22977939055312,5.164628340657517,5.100288923334823,5.036751027505715,4.974004668051717,4.9120399842460145,4.850847238203823,4.79041681335205,4.730739212918043,4.671805058437138,4.613605088278821,4.556130156191243,4.499371229863858,4.443319389507987,4.3879658264550505,4.333301841772259,4.279318844895568,4.226008352279645,4.173361986064666,4.121371472759715,4.070028641942585,4.01932542497578,3.9692538537385147,3.9198060593745,3.87097427105534,3.822750814759328,3.7751281120654574,3.7280986789624566,3.6816551246726594,3.63579015049053,3.5904965486356533,3.545767201120019,3.5015950786294128,3.4579732394187426,3.414894828221133,3.372353075170601,3.3303412947381585,3.2888528846811664,3.2478813250057783,3.207420176942309,3.1674630819333682,3.128003760634598,3.0890360119278624,3.0505537119467268,3.0125508131140784,2.9750213431917385,2.937959404341911,2.9013591722003227,2.8652148949609155,2.8295208924719346,2.7942715553432813,2.759461344064985,2.7250847881366567,2.69113648520779,2.657611100228768,2.624503364612447,2.591808075406193,2.5595200944742174,2.5276343476901166,2.4961458241394543,2.4650495753322916,2.434340714425517,2.4040144154548715,2.374065912576534,2.344490499318163,2.3152835278392585,2.2864404082007512
3,17.02,32.37,31.05,24.49,46.9,35.26,22.8,25.49,34.46,28.18,34.41,25.61,25.67,18.72,18.61,22.43,13.24,24.1,24.55,7.04,10.82,18.46,19.17,26.97,7.84,11.69,15.22,18.67,18.32,10.74,10.37,10.3,6.91,3.48,3.53,17.84,10.95,18.45,14.97,7.77,3.98,3.99,24.24,8.15,9.48,9.94,9.72,9.48,9.26,9.05,8.85,8.67,8.5,8.34,8.19,8.05,7.92,7.79,7.68,7.57,7.46,7.37,7.27,7.18,7.1,7.02,6.94,6.86,6.79,6.71,6.64,6.56,6.49,6.42,6.35,6.28,6.21,6.15,6.08,6.01,5.95,5.88,5.82,5.75,5.69,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.21,5.15,5.098480691666865,5.047476769572782,4.996983077923081,4.946994512500366,4.897506020148552,4.8485125982620625,4.800009294280129,4.751991205186161,4.704453477012114,4.657391304347827,4.610799929855252,4.56467464378756,4.519010783513047,4.47380373304381,4.429048922569127,4.384741827993518,4.340877970479422,4.297452915994442,4.254462274863131,4.211901701323253,4.169766893086489,4.128053590903534,4.08675757813354,4.045874680317881,4.005400764758167,3.965331740098487,3.9256635559118256,3.8863922022906263,3.847513709441441,3.8090241472836386,3.7709196250521306,3.7331962909040652,3.6958503315294626,3.6588779717657367,3.6222754742160825,3.5860391388716755,3.5501653027376516,3.5146503394628277,3.4794906589731296,3.444682707108682,3.4102229652645364,3.376107950034982,3.3423342128614273,3.308898339683797,3.275796950595414,3.243026699501342,3.210584273780138,3.178466393948993,3.146669813332222,3.11519131773307,3.084027725108798,3.0531758852490274,3.0226326794572915,2.992395020235782,2.9624598509732447,2.932824145635997,2.903484908462038,2.87443917365822,2.845684005100445,2.8172164960368637,2.7890337687940443,2.761132974486078,2.733511292726595,2.706165931343665,2.6790941260975436,2.65229314040125,2.6257602650439305,2.5994928179169996,2.5734881437430115,2.5477436138072513,2.522256625692006,2.497024603013497,2.4720449951614425,2.4473152770412274,2.4228329488186486,2.3985955356672175,2.37460058751799,2.3508456788118957,2.3273284082545502,2.3040463985735147,2.280997296277988,2.258178771420902,2.235588517363392,2.213224250541632,2.1910837102359957,2.1691646583425275
4,20.66,23.92,35.71,40.52,15.4,9.4,16.08,16.4,19.1,9.38,28.19,12.53,32.03,9.61,15.63,12.46,12.88,9.97,13.8,14.07,17.67,21.53,14.7,15.22,30.59,11.72,15.5,3.8,3.72,3.66,10.75,6.92,13.79,3.45,13.9,10.53,3.56,3.65,3.68,3.75,7.76,19.78,15.5,3.96,7.0,8.03,7.91,7.74,7.57,7.4,7.25,7.1,6.96,6.83,6.71,6.6,6.5,6.4,6.3,6.21,6.13,6.05,5.97,5.9,5.83,5.76,5.7,5.64,5.57,5.51,5.45,5.39,5.33,5.28,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.73,4.67,4.62,4.57,4.52,4.47,4.42,4.38,4.33,4.28,4.23,4.201488439938166,4.173169056958404,4.145040555725388,4.117101649634773,4.089351060754339,4.06178751976554,4.034409765905445,4.007216546909071,3.9802066189521037,3.953378746594004,3.9267317027215,3.900264268492457,3.8739752332801296,3.8478633946177836,3.821927558143699,3.796166537546538,3.7705791545110814,3.745164238664334,3.7199206275219914,3.6948471664352662,3.6699427085380756,3.6452061146945836,3.6206362534470946,3.5962320009643025,3.571992240989886,3.5479158647914493,3.52400177110981,3.5002488661086266,3.476656063324366,3.453222283616609,3.42994645511869,3.4068275131886687,3.3838644003606344,3.3610560662963356,3.33840146773714,3.315899568456312,3.293549339211619,3.2713497576982515,3.249299808502063,3.2273984830531237,3.2056447795795915,3.184037703061888,3.162576265187185,3.1412594843042028,3.1200863853783063,3.0990559999469056,3.0781673660751627,3.0574195283119883,3.0368115376463405,3.016342451463817,2.996011333503541,2.9758172538153325,2.955759288717177,2.935836520752973,2.916048038650568,2.8963929372800767,2.87687031761248,2.857479286678505,2.838218957527777,2.8190884491882526,2.800086886625923,2.7812134007047913,2.762467128147115,2.7438472114939216,2.725352799065788,2.706983044923885,2.6887371088312815,2.6706141562145143,2.6526133581254143,2.6347338912031883,2.6169749376367606,2.5993356851273655,2.5818153268513893,2.5644130614234735,2.5471280928598494,2.5299596305419403,2.5129068891801882,2.495969088778142,2.4791454545967757,2.4624352171190553,2.445837612014737,2.429351880105411,2.4129772673297714,2.3967130247091304,2.3805584083131555,2.364512679225845
5,25.75,34.53,34.22,16.25,21.9,12.36,22.03,19.4,13.11,19.05,12.5,21.95,43.84,9.6,12.82,59.47,25.03,9.7,16.67,10.38,10.56,10.56,14.33,10.97,15.13,11.44,7.78,3.87,7.59,11.15,7.31,17.95,0.0,6.9,3.45,17.31,17.52,3.56,3.64,3.68,3.74,3.85,7.7,7.61,6.97,6.82,6.74,6.65,6.52,6.38,6.25,6.13,6.01,5.9,5.8,5.71,5.62,5.53,5.45,5.38,5.3,5.24,5.17,5.11,5.05,4.99,4.93,4.88,4.83,4.77,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.32,4.28,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.6423062444183083,3.6148214654301367,3.587544086101779,3.5604725413990415,3.5336052780974527,3.5069407546931464,3.480477441314415,3.454213819633937,3.428148382781664,3.4022796352583593,3.3766060928498005,3.3511262825416166,3.3258387424347804,3.300742021661726,3.2758346803031104,3.251115289305197,3.2265824303978623,3.202234696013225,3.1780706892048864,3.1540890235677805,3.1302883231586303,3.106667222417001,3.083224366086955,3.059958409139291,3.036868016694374,3.013951863945548,2.9912086360831256,2.968637028218948,2.9462357453115215,2.924003502091712,2.9019390229890045,2.880041042058315,2.85830830290736,2.836739558624571,2.8153335717075505,2.794089113992074,2.773004966581621,2.7520799197774446,2.731312773009162,2.7107023347658736,2.690247422527801,2.6699468626984384,2.649799490537219,2.629804150092688,2.60995969413618,2.590264984095996,2.570718889992081,2.551320290371188,2.5320680722425366,2.5129611310139564,2.4939983704285087,2.475178702501592,2.4565010474585165,2.437964333672553,2.41956749760345,2.4013094837364104,2.383189244521535,2.3652057403137157,2.3473579393129906,2.32964481750534,2.3120653586039372,2.2946185539908384,2.2773034026591117,2.260118911155407,2.2430640935229555,2.226137971245001,2.209339573188657,2.19266793554919,2.176122101794718,2.1597011226113336,2.1434040558486354,2.1272299664656713,2.1111779264772923,2.0952470149009095,2.0794363177036526,2.063744927749925,2.048171944749363,2.0327164752051763,2.017377632362885,2.0021545361594435,1.9870463131727474,1.9720520965715194,1.9571710260655755,1.9424022478564669,1.9277449145884926,1.9131981853000835
6,21.83,22.61,17.29,41.08,26.07,6.27,12.41,18.98,9.68,9.81,12.71,15.64,15.67,15.64,16.0,3.21,25.12,28.2,12.96,13.39,10.4,21.09,3.5,10.67,0.0,18.82,11.36,3.87,7.73,3.79,7.43,3.66,0.0,6.92,3.45,3.44,3.46,21.0,10.63,3.64,3.67,3.7,3.75,11.34,7.35,6.09,6.02,5.95,5.87,5.77,5.65,5.54,5.44,5.35,5.26,5.17,5.09,5.02,4.95,4.88,4.81,4.75,4.69,4.64,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.306488368358674,3.2831427417691312,3.259961948144396,3.236944823673072,3.21409021276091,3.191396967972794,3.1688639499751305,3.146490027478646,3.1242740771815942,3.102214983713355,3.0803116395784387,3.058562945100884,3.0369678083690457,3.0155251451807765,2.994233878988991,2.9730929408476188,2.952101269357939,2.9312578106152856,2.910561518156143,2.8900113529056006,2.86960628312519,2.849345284361084,2.829227339392661,2.8092514381814397,2.7894165778203623,2.769721762483449,2.7501660033757993,2.7307483186839465,2.711467733526569,2.6923232799055428,2.6733139966573427,2.6544389294047877,2.635697130509124,2.6170876590224483,2.5986095806404674,2.580261967655591,2.5620438989103533,2.543954459751168,2.5259927419824058,2.5081578438207983,2.490448869850163,2.472864930976447,2.4554051443830924,2.43806863348671,2.4208545278930735,2.403761963353417,2.3867900817210455,2.369938030908254,2.353204964843544,2.3365900434291476,2.320092432498848,2.3037113037761032,2.287445834832457,2.271295209046251,2.255258615561625,2.239335249247808,2.2235243106586937,2.2078250059927056,2.192236547052943,2.176758151207609,2.1613890413507186,2.14612844586308,2.130975598573559,2.1159297387206117,2.100990110914087,2.0861559650973063,2.0714265565094014,2.056801145647927,2.0422789982317315,2.027859385164092,2.0135415824961087,1.9993248713903606,1.9852085380848137,1.9711918738569862,1.9572741749883673,1.9434547427290862,1.9297328832628295,1.91610790767201,1.9025791319031764,1.8891458767326716,1.875807467732531,1.8625632352366224,1.849412514307025,1.8363546447006451,1.8233889708360684,1.810514841760647
7,18.2,18.75,16.16,17.3,20.59,9.8,6.29,6.23,9.45,6.44,16.36,19.04,15.63,3.13,3.13,6.42,12.87,12.58,18.83,3.25,13.41,3.46,7.0,0.0,7.07,0.0,3.73,18.81,11.59,0.0,0.0,11.18,14.63,3.59,3.46,3.44,0.0,3.45,10.45,10.63,3.63,3.63,3.61,3.68,5.17,5.69,5.63,5.58,5.52,5.45,5.36,5.26,5.17,5.08,4.99,4.92,4.84,4.77,4.7,4.64,4.58,4.52,4.47,4.41,4.36,4.31,4.26,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.9,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.38,3.35,3.31,3.27,3.24,3.2,3.17,3.1506450995089375,3.1314083732049474,3.1122890995581773,3.093286561444182,3.0744000461170233,3.05562884518254,3.0369722545717743,3.018429574514565,3.0000001095133,2.9816831683168314,2.9634780638945455,2.9453841134105945,2.9274006381982858,2.9095269637346264,2.8917624196150222,2.8741063395281317,2.856558061230877,2.8391169265236007,2.8217822812253814,2.804553475149495,2.7874298620790277,2.7704107997426384,2.7534956497904672,2.7366837777701933,2.7199745531032384,2.703367349061114,2.6868615427419136,2.6704565150469515,2.654151650657537,2.6379463380119015,2.6218399692822536,2.6058319403519863,2.5899216507930136,2.574108503843251,2.558391906384234,2.5427712689188695,2.527246005549325,2.511815533955053,2.496479275370951,2.4812366545656497,2.4660870998199416,2.4510300429053338,2.4360649190627353,2.421191166981276,2.40640822877725,2.391715549973194,2.3771125794770875,2.3625987695616835,2.3481735758439637,2.33383645726472,2.3195868760682616,2.3054242977822446,2.2913481911976223,2.2773580283487247,2.263453284493453,2.2496334380935985,2.23589797079528,2.2222463674095043,2.208678115892837,2.1951927073282023,2.181789635905791,2.1684683989040914,2.155228496671031,2.1420694326052363,2.1289907131374064,2.1159918477118005,2.103072348767838,2.090231731721811,2.077469514948708,2.06478521976415,2.052178370406437,2.0396484940187,2.0271951206311676,2.0148177831435388,2.002516017307461,1.990289361709119,1.9781373577519268,1.966059549639327,1.9540554843576956,1.9421247116593494,1.9302667840456587,1.9184812567502623,1.9067676877223854,1.8951256376102592,1.883554669744642,1.8720543501224391
8,17.02,18.26,18.8,19.44,20.84,17.21,16.37,22.1,18.64,12.58,16.11,9.81,12.66,0.0,6.26,12.57,12.87,12.88,9.44,3.15,9.78,10.03,17.21,13.92,10.38,3.52,7.18,7.42,7.5,0.0,19.3,11.36,0.0,3.65,0.0,3.44,3.43,10.27,3.43,17.4,7.06,3.58,3.54,3.55,5.07,5.61,5.55,5.5,5.44,5.39,5.33,5.24,5.15,5.07,4.99,4.91,4.84,4.77,4.7,4.64,4.58,4.52,4.47,4.42,4.37,4.32,4.27,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31,3.28,3.24,3.21,3.17,3.1537261369038045,3.137535819113626,3.121428617732028,3.1054041060634106,3.089461859602704,3.073601456024126,3.0578224751699925,3.042124499039587,3.0265071117780873,3.010969899665552,2.995512451105955,2.980134356616287,2.9648352088157055,2.9496146024147443,2.934472134204575,2.919407403046327,2.904420009860461,2.889509557616196,2.874675651320993,2.859917898010089,2.8452359067360904,2.8306292885586135,2.816097656533981,2.8016406257049744,2.7872578130906334,2.7729488376761102,2.7587133204025784,2.7445508841571895,2.730461153763083,2.716443755969449,2.702498319441638,2.688624474751325,2.6748218543667246,2.661090092642852,2.647428825811839,2.633837691973295,2.620316331084723,2.6068643849519795,2.5934814972197846,2.580167313362286,2.5669214806736624,2.5537436482587834,2.540633467023912,2.527590589667458,2.5146146706707766,2.5017053662890163,2.488862334542011,2.4760852352052245,2.463373729800732,2.4507274815882583,2.4381461555562547,2.425629418413025,2.4131769385778963,2.4007883861724353,2.3884634330117076,2.376201752595587,2.364003020100104,2.3518669123688416,2.339793107904374,2.3277812868597505,2.3158311310300213,2.3039423238438097,2.292114550354925,2.2803474972340187,2.268640852760284,2.2569943068131995,2.245407550864313,2.233880277969067,2.22241218275867,2.2110029614320035,2.1996523117475784,2.188359933015525,2.177125526089628,2.1659487933594024,2.1548294387422096,2.1437671676754135,2.1327616871085784,2.1218127054957026,2.1109199327874992,2.100083080423709,2.0893018613254593,2.0785759898876557,2.067905181971419,2.057289154896556,2.046727627434072,2.036220319798721
9,20.96,17.05,21.35,12.55,32.45,6.97,10.34,3.29,22.04,3.1,12.58,6.45,19.59,6.3,12.47,15.67,12.59,25.78,6.44,3.15,9.46,6.49,20.0,17.14,6.92,6.88,10.48,7.14,7.38,7.47,3.85,3.84,3.79,3.73,0.0,7.13,10.3,3.43,0.0,6.86,0.0,3.49,7.01,3.49,5.21,5.81,5.75,5.69,5.64,5.59,5.54,5.48,5.4,5.31,5.23,5.15,5.08,5.01,4.94,4.88,4.81,4.76,4.7,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.29,4.25,4.2,4.15,4.11,4.06,4.02,3.98,3.93,3.89,3.85,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.45,3.41,3.37,3.33,3.315026028866777,3.3001193910102797,3.28527978365377,3.270506905382,3.255800456135094,3.241160137202451,3.226585651216678,3.2120767021475514,3.197632995296003,3.183254237288134,3.1689401360692564,3.154690400897961,3.1405047423402124,3.1263828722634694,3.112324503830834,3.0983293514952224,3.0843971309935685,3.070527559341048,3.0567203548253303,3.0429752370008587,3.0292919266831517,3.015670145943134,3.0021096181014895,2.988610067723044,2.9751712206111685,2.961792803802211,2.948474545559952,2.9352161753700847,2.922017423934721,2.9088780231669213,2.8957977061852485,2.88277620730835,2.869813262049558,2.8569086071115186,2.8440619803808445,2.83127312092279,2.818541768975953,2.8058676659469945,2.7932505544053927,2.7806901780782076,2.7681862818448804,2.7557386117320486,2.7433469149083898,2.7310109396794844,2.718730435482704,2.7065051528821233,2.6943348435634515,2.6822192603289903,2.670158157092611,2.6581512888747603,2.646198411797477,2.6342992830794483,2.622453661031069,2.6106613050495393,2.5989219756139734,2.587235434280537,2.5756014436776034,2.5640197675009317,2.552490170508868,2.5410124185175658,2.529586278396231,2.5182115180623863,2.5068879064771563,2.495615213640575,2.4843932105869153,2.4732216693800373,2.462100363108758,2.451029065882245,2.4400075528254246,2.4290356000744175,2.418112984771989,2.407239485063026,2.3964148800900262,2.3856389499886164,2.374911475883084,2.364232239881933,2.353601025073456,2.3430176155213314,2.3324817962602356,2.321993353291476,2.311552073578646,2.3011577450432985,2.2908101565606342,2.2805090979552185,2.2702543599967098,2.260045734395609
