age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,951.6,953.93,891.41,847.91,829.97,808.33,791.25,767.84,723.87,686.61,632.2,571.97,563.5,539.7,541.39,540.93,524.09,498.1,508.3,504.19,500.89,458.21,486.25,468.39,441.7,456.04,435.24,419.53,418.63,404.91,368.83,361.99,347.34,361.73,335.72,357.05,354.16,353.11,354.02,344.75,364.56,346.77,361.26,381.8,292.96,266.72,259.84,253.85,248.19,242.33,236.95,231.97,227.34,223.18,219.25,215.19,211.48,208.36,205.35,202.35,199.61,197.0,194.59,192.12,189.62,187.57,185.52,183.66,181.51,179.33,177.55,175.68,173.69,171.94,170.11,168.13,166.18,164.28,162.6,160.93,159.03,157.35,155.74,153.98,152.49,150.63,148.65,147.22,145.74,144.2,142.85,141.48,139.7,137.72,136.19158803252913,134.6801383301055,133.1854626460773,131.7073748229477,130.24569076918962,128.80022843631755,127.3708077962141,125.9572508187078,124.55938144940019,123.17702558773863,121.81001106533255,120.4581676245105,119.12132689711495,117.7993223835326,116.49198943195731,115.19916521788315,113.92068872382517,112.65640071926505,111.40614374081952,110.16976207262863,108.94710172696189,107.73801042503949,106.5423375780664,105.3599342684771,104.1906532313882,103.03434883625705,101.89087706874396,100.76009551277554,99.64186333280723,98.5360412562827,97.44249155628775,96.36107803439688,95.29166600371023,94.2341222720786,93.18831512551486,92.1541143117893,91.13139102420712,90.12001788556593,89.11986893229125,88.1308195987482,87.15274670172712,86.18552842510154,85.22904430465623,84.28317521308391,83.34780334514808,82.4228122030109,81.5080865817236,80.60351255487814,79.7089774604179,78.82436988660605,77.94957965814947,77.0844978224768,76.22901663616868,75.38302955153858,74.54643120336272,73.71911739575695,72.90098508919971,72.09193238769849,71.29185852609916,70.50066385753591,69.71824984102054,68.94451902916938,68.17937505606668,67.42272262526231,66.67446749790302,65.93451648099523,65.20277741579802,64.47915916634518,63.76357160809438,63.05592561670245,62.35613305692521,61.6641067716405,60.97976057099298,60.303009221659444,59.63376843623329,58.97195486272672,58.31748607418952,57.670280558443025,57.030257707928016,56.397337809665274,55.77144203532756,55.152492431421784,54.54041190958014,53.93512423695893,53.33655402674403,52.74462672876166
1,72.62,67.4,65.59,66.92,77.48,67.01,64.99,57.05,57.65,60.32,58.32,50.67,44.7,47.9,45.65,42.42,39.26,42.29,39.05,32.22,34.15,36.49,39.09,36.51,37.88,40.52,32.71,32.31,25.05,30.3,30.55,26.52,29.92,21.25,26.4,27.05,16.99,24.48,24.01,16.88,19.89,23.63,22.01,16.33,17.52,18.29,17.76,17.35,16.47,15.88,15.65,15.52,15.56,15.04,14.03,13.91,13.9,13.62,13.58,13.5,13.03,12.54,12.68,12.91,12.94,12.64,12.44,12.57,12.54,12.3,11.41,10.62,10.87,11.09,11.02,10.96,10.84,10.65,10.68,10.64,10.6,10.77,10.85,10.92,10.86,10.48,10.09,9.85,9.96,9.69,8.99,9.01,9.15,8.99,8.81684887963719,8.647032721508296,8.480487292860573,8.317149598090674,8.15695785491665,7.99985147100886,7.845771021071011,7.6946582243626125,7.546455922654348,7.401108058608058,7.258559654573107,7.11875679179117,6.981646590001515,6.847177187439118,6.71529772121801,6.585958308092458,6.4591100255886795,6.334704893499988,6.212695855738332,6.0930367625353865,5.9756823529864675,5.860588237930641,5.747710883160586,5.637007592955829,5.528436493933141,5.421956519207983,5.317527392861009,5.215109614703745,5.1146644453376915,5.016153891501201,4.919540691698565,4.824788302105902,4.731860882748504,4.640723283944404,4.551341033009059,4.463680321216096,4.3777079910092,4.293391523460316,4.210699025969399,4.129599220201079,4.050061430253671,3.972055571056049,3.8955521369880075,3.8205221907197973,3.746937352266615,3.674769788253909,3.6039922013894414,3.5345778201381166,3.466500388595686,3.3997341565574817,3.3342538697784336,3.270034760420684,3.2070525376851813,3.145283378623715,3.0847039191279175,3.0252912450918164,2.9670228837446038,2.909876795150335,2.853831363871356,2.7988653907922854,2.7449580851014757,2.692089056426918,2.6402383071236053,2.58938622470945,2.539513574446884,2.4906014920673467,2.4426314766358956,2.3955853835532515,2.349445417692627,2.30419412666874,2.2598143942364706,2.216289433816666,2.173602782146631,2.131738293052926,2.090680131344092,2.0504127668210113,2.010920968402628,1.9721897983648102,1.9342046066901752,1.8969510255267368,1.8604149637532845,1.824582601649434,1.789440385668334,1.754975023310055,1.7211734780937162,1.6880229646264548
2,44.44,46.03,41.14,36.52,37.35,38.87,37.94,39.24,35.94,26.46,35.31,31.43,27.31,28.67,22.45,28.74,24.75,25.87,29.84,16.66,20.88,18.92,23.22,19.08,16.25,20.4,17.38,19.89,19.89,13.84,15.4,11.09,14.49,13.9,12.41,15.54,14.86,8.51,15.8,11.19,13.14,12.89,14.92,13.54,12.44,12.17,11.92,11.61,11.19,10.79,10.46,10.2,10.08,9.95,9.74,9.59,9.43,9.34,9.15,8.96,8.92,8.8,8.61,8.42,8.31,8.3,8.22,8.15,8.17,8.04,7.92,7.9,7.81,7.72,7.64,7.39,7.22,7.22,7.12,7.02,7.0,7.05,6.92,6.79,6.82,6.76,6.69,6.62,6.44,6.27,6.09,6.0,6.0,5.99,5.9153783458668245,5.841686306302193,5.76891230044186,5.697044891692579,5.626072785934807,5.555984829747812,5.486770008656893,5.418417445402422,5.350916398230472,5.284256259204714,5.218426552539365,5.153416932952893,5.089217184042232,5.025817216677255,4.963207067415244,4.901376896935111,4.840316988491133,4.780017746385939,4.720469694462524,4.661663474615058,4.603589845318234,4.5462396801749385,4.489603966482028,4.4336738038139565,4.378440402624052,4.3238950828632285,4.270029272615891,4.216834506752839,4.164302425600961,4.112424773629486,4.061193398152611,4.0106002480482905,3.9606373724929833,3.9112969197121656,3.8625711357464034,3.8144523632328053,3.766933040201648,3.720005698887999,3.673662964558139,3.627897554350608,3.5827022761316853,3.538070027365135,3.49399379399602,3.4504666493484355,3.407481753036961,3.3650323498916803,3.3231117688965948,3.2817134221412547,3.2408308037854576,3.20045748903684,3.1605871331412074,3.121213470385444,3.0823303131128377,3.0439315507506826,3.006011148849985,2.9685631481371386,2.931581663577409,2.8950608834500913,2.8589950684351835,2.82337855071144,2.788205733065661,2.7534710880130797,2.7191691569287046,2.6852945491894835,2.65184194132716,2.6188060761916736,2.58618176212499,2.5539638721452214,2.5221473431409063,2.4907271750753357,2.4596984302007825,2.429056232282526,2.3987957658325394,2.3689122753527263,2.3394010645875833,2.3102574957861752,2.2814769889732984,2.253055021229732,2.2249871259814484,2.1972688922976826,2.1698959641977456,2.1428640399664705,2.1161688714781905,2.089806263529136,2.0637720731781486,2.03806220909561
3,32.85,25.51,27.72,25.79,29.56,27.49,28.51,32.62,29.27,26.42,20.84,22.56,23.77,18.47,18.94,16.23,16.99,16.88,17.86,18.86,18.14,12.56,17.04,15.23,13.18,15.33,15.43,17.36,15.41,13.42,10.94,11.7,11.3,11.4,10.6,10.06,9.23,10.9,10.38,8.19,7.85,8.39,11.68,9.51,8.93,8.58,8.48,8.17,7.84,7.56,7.38,7.26,7.14,7.01,6.87,6.81,6.66,6.58,6.49,6.4,6.3,6.11,6.0,5.9,5.8,5.78,5.77,5.77,5.78,5.63,5.5,5.52,5.48,5.45,5.34,5.15,5.13,5.18,4.99,4.78,4.83,4.88,4.74,4.6,4.62,4.65,4.67,4.59,4.33,4.16,4.16,4.16,4.16,4.16,4.118384403365855,4.077185118722868,4.036397981390294,3.9960188683498097,3.956043697828733,3.9164684288874136,3.877289061010745,3.838501633703772,3.800102226091339,3.76208695652174,3.7244519821743394,3.687193498671116,3.6503077396920927,3.6137909765946112,3.5776395180364204,3.5418497096025314,3.5064179334358045,3.4713406078712383,3.4366141870739075,3.402235160680531,3.3682000534446206,3.334505424885184,3.3011478689389366,3.2681240136159966,3.2354305206590244,3.203064085205768,3.171021435454989,3.1392993323357294,3.1078945691798823,3.0768039713980455,3.046024396158614,3.0155527320700797,2.985385898866517,2.9555208470962064,2.925954557813379,2.8966840422730424,2.8677063416288604,2.8390185266340513,2.810617697345285,2.7825009828295375,2.754665540873878,2.72710855769816,2.69982724767059,2.672818853026135,2.646080643587752,2.6196099164904045,2.5934039959078397,2.5674602327820994,2.5417760045557367,2.5163487149067127,2.491175793485942,2.466254695657467,2.4415829022412296,2.417157919258418,2.3929772776793587,2.3690385331739314,2.3453392658644816,2.3218770800812027,2.298649604119971,2.2756544900025926,2.2528894132394606,2.230352072594579,2.2080401898529387,2.185951509590222,2.164083798944812,2.1424348473920776,2.1210024665209226,2.0997844898125666,2.0787787724215394,2.057983190958867,2.037395643277426,2.017014048259446,1.996836345606136,1.9768604956294187,1.9570844790457431,1.937506296771966,1.9181239697232695,1.8989355386131042,1.8799390637551316,1.8611326248671496,1.842514320876977,1.8240822697302819,1.805834608200332,1.7877694916996485,1.769885094093542,1.7521796075155174
4,26.81,22.93,28.21,24.32,19.79,24.84,21.73,22.8,25.68,17.48,21.25,14.78,17.0,14.26,14.04,13.15,12.72,10.43,11.52,15.01,14.66,15.73,14.23,13.69,8.78,12.24,10.2,12.51,13.36,9.88,10.17,9.09,9.59,7.43,8.09,9.32,8.26,5.02,7.71,7.2,4.92,8.52,8.71,7.06,7.09,7.0,6.87,6.71,6.53,6.42,6.29,6.02,5.75,5.62,5.56,5.5,5.35,5.28,5.28,5.2,5.02,4.85,4.75,4.73,4.71,4.69,4.67,4.66,4.66,4.51,4.37,4.38,4.41,4.44,4.31,4.11,4.08,4.12,4.0,3.79,3.75,3.78,3.73,3.67,3.7,3.63,3.56,3.58,3.5,3.42,3.42,3.42,3.43,3.43,3.4068806971602625,3.3839172258551593,3.3611085357300428,3.338453583509993,3.3159513329520998,3.293600754798062,3.2714008267271097,3.2493505333092463,3.227448865958798,3.205694822888282,3.1840874090625872,3.1626256361534577,3.141308522494289,3.120135093035224,3.099104379298555,3.0782154193344264,3.057467257676834,3.0368589452999206,3.0163895395745697,2.9960581042252863,2.9758637092873754,2.955805431064402,2.9358823520859416,2.9160935610656162,2.8964381528594108,2.876915228424272,2.8575238947769854,2.8382632649533304,2.8191324579675117,2.8001305987718603,2.78125681821681,2.7625102530111425,2.7438900456825,2.7253953445381636,2.7070253036260965,2.6887790826962528,2.67065584716214,2.652654768062648,2.6347750220241313,2.6170157912227454,2.5993762633470445,2.5818556315608214,2.564453094466204,2.5471678560670012,2.529999125732291,2.5129461181602566,2.4960080533422713,2.479184156527215,2.4624736581860396,2.4458757939765703,2.4293898047085447,2.4130149363088864,2.396750439787214,2.3805955712015834,2.364549591624456,2.348611767108904,2.332781368655037,2.31705767217666,2.30143995846815,2.2859275131715617,2.270519626743952,2.255215594424925,2.240014716204398,2.224916296790579,2.2099196455781684,2.1950240766167672,2.1802289085795024,2.1655334647318636,2.1509370729007493,2.13643906544372,2.1220387792184607,2.1077355555524497,2.0935287402128284,2.0794176833764806,2.0654017396003037,2.0514802677916912,2.0376526311792067,2.0239181972834577,2.0102763378881656,1.9967264290114324,1.9832678508771981,1.9698999878868932,1.9566222285912802,1.9434339656624862,1.9303345958662228,1.9173235200341956
5,22.14,21.11,22.64,21.73,18.89,17.74,18.82,16.58,19.36,14.62,16.9,12.65,16.9,14.08,15.84,15.08,13.42,12.45,11.8,12.39,12.45,11.51,12.51,10.11,8.3,10.27,8.84,9.29,11.33,8.23,7.94,10.95,8.03,7.23,6.39,6.81,8.06,10.33,8.45,4.26,5.07,10.46,5.09,5.59,6.46,6.31,6.14,6.05,5.87,5.75,5.63,5.42,5.15,5.02,5.05,4.91,4.69,4.62,4.63,4.47,4.3,4.29,4.28,4.26,4.24,4.22,4.21,4.19,4.11,3.95,3.8,3.73,3.75,3.77,3.71,3.58,3.46,3.41,3.45,3.4,3.36,3.31,3.26,3.29,3.31,3.25,3.18,3.19,3.12,3.04,3.05,3.05,3.05,3.05,3.0269847535356513,3.0041431797171434,2.9814739680137397,2.9589758177839447,2.9366474382008803,2.9144875481782275,2.8924948762967206,2.870668160731201,2.849006149178222,2.827507598784195,2.806171276074085,2.784995956880635,2.763980426274136,2.743123478492715,2.722423916873157,2.701880553782248,2.681492210548632,2.661257717395187,2.6411759133719084,2.6212456462893,2.6014657726522676,2.5818351575945107,2.5623526748134093,2.543017206505405,2.5238276433018636,2.504782884205428,2.485881836526848,2.467123415822286,2.448506545831101,2.4300301584140933,2.411693193492224,2.393494598985793,2.375433330754073,2.3575083525354064,2.3397186358877464,2.3220631601296526,2.3045409122817286,2.287150887008503,2.2698920865607475,2.252763520718233,2.2357642067329135,2.218893169272544,2.202149440364719,2.1855320593413348,2.1690400727834738,2.1526725344666997,2.13642850530677,2.1203070533057558,2.1043072534985656,2.088428187899882,2.0726689454514853,2.0570286219699883,2.0415063200949524,2.026101149237408,2.0108122255287526,1.9956386717700412,1.9805796173816568,1.9656341983533605,1.9508015571947195,1.936080842885909,1.9214712108288852,1.9069718227989254,1.892581846896537,1.878300457499725,1.8641268352166251,1.8500601668384886,1.8360996452930256,1.8222444695981004,1.8084938448157737,1.7948469820066941,1.781303098184833,1.7678614162725608,1.7545211650560604,1.741281579141083,1.7281418989090298,1.715101370473371,1.7021592456363919,1.6893147818462637,1.676567242154441,1.6639158951733795,1.651360015034572,1.638898881346903,1.6265317791553147,1.6142579988997885,1.602076836374633,1.5899875926880802
6,22.48,19.42,23.06,19.79,20.51,18.83,16.03,16.25,16.26,15.34,15.69,15.8,14.8,12.67,13.0,13.45,11.7,13.94,12.16,9.63,12.94,11.83,10.32,11.6,10.36,10.64,9.31,8.82,7.78,8.41,7.66,8.75,7.47,8.26,6.95,7.13,8.06,7.81,9.56,4.76,6.39,6.55,7.07,8.92,6.38,5.83,5.6,5.49,5.37,5.25,5.12,5.08,5.02,4.9,4.77,4.64,4.5,4.36,4.21,4.06,3.98,3.97,3.96,3.87,3.78,3.76,3.74,3.73,3.64,3.55,3.48,3.4,3.41,3.42,3.36,3.31,3.25,3.2,3.24,3.27,3.23,3.1,3.04,3.07,3.1,3.13,3.06,2.99,2.92,2.84,2.85,2.86,2.86,2.86,2.839806826878621,2.819756228666581,2.799847198706598,2.780078737448944,2.760449852401262,2.740959558078736,2.7216068759546164,2.7023908344110894,2.683310468690498,2.664364820846905,2.645552939697998,2.6268738807773357,2.608326706286928,2.589910485050156,2.571624292465019,2.5534672104577147,2.5354383274365477,2.5175367382461613,2.4997615441220926,2.4821118526456507,2.464586777699112,2.447185439421231,2.429906964163066,2.412750484444119,2.3957151389087796,2.378800072283082,2.3620044353317673,2.3453273848156417,2.3287680834492455,2.3123256998588144,2.2959994085405406,2.2797883898191267,2.263691829806635,2.2477089203616223,2.2318388590485694,2.2160808490975943,2.2004340993644473,2.184897824290793,2.169471243864769,2.154153583581827,2.1389440744058454,2.1238419527305217,2.108846460341034,2.093956844375973,2.079172357289546,2.0644922568140456,2.0499158059225793,2.035442272792074,2.021070930766527,2.006801058320529,1.9926319390230347,1.978562861501398,1.9645931194056536,1.9507220113730563,1.9369488409928672,1.9232729167713905,1.9096935520972562,1.8962100652069482,1.8828217791505755,1.8695280217578865,1.856328125604521,1.8432214279785009,1.8302072708469603,1.8172850008231076,1.80445396913342,1.7917135315850736,1.7790630485336,1.766501884850772,1.7540294098927183,1.7416449974682588,1.7293480258074687,1.7171378775304598,1.7050139396163864,1.6929756033726668,1.6810222644044235,1.66915332258414,1.6573681820215291,1.6456662510336182,1.6340469421150403,1.6225096719085406,1.611053861175687,1.5996789347677898,1.5883843215970244,1.577169454607761,1.5660337707480947,1.5549767109415766
7,21.04,17.49,16.96,19.51,15.35,15.2,13.75,16.57,13.66,13.39,15.88,12.93,11.99,9.41,11.08,8.49,11.34,11.7,9.46,8.39,11.28,9.25,8.12,8.04,10.15,6.59,7.93,9.57,7.28,8.06,4.35,8.2,6.82,8.78,8.24,5.39,6.87,6.04,6.3,4.65,6.08,5.76,5.12,7.7,6.15,5.64,5.34,5.17,5.12,4.99,4.79,4.72,4.68,4.54,4.34,4.21,4.15,4.01,3.87,3.8,3.81,3.73,3.64,3.56,3.46,3.45,3.44,3.42,3.41,3.4,3.39,3.39,3.32,3.25,3.18,3.12,3.14,3.16,3.19,3.15,3.02,2.97,3.0,3.03,3.06,3.0,2.86,2.79,2.81,2.82,2.83,2.84,2.85,2.85,2.8325989064985717,2.8153040579287385,2.798114805596469,2.7810305047684287,2.7640505146477974,2.7471741983502334,2.7304009228799866,2.7137300591061546,2.697160981739087,2.6806930693069306,2.6643257041323203,2.6480582723092096,2.6318901636798473,2.6158207718118884,2.599849493975651,2.5839757311215066,2.568198887857413,2.552518372426581,2.53693359668528,2.5214439760807767,2.5060489296294097,2.490747879894801,2.475540252966193,2.4604254784369246,2.445402989383038,2.430472222342011,2.4156326172916263,2.4008836176289625,2.3862246701495207,2.371655225026473,2.3571747357900388,2.3427826593069914,2.3284784557602802,2.3142615886287903,2.3001315246672136,2.28608773388605,2.2721296895317273,2.258256868066846,2.2444687491505393,2.2307648156189597,2.2171445534658782,2.2036074518234074,2.190153002942838,2.176780702175595,2.16349004795431,2.1502805417740074,2.137151688173407,2.12410299471634,2.11113397197328,2.098244133502982,2.0854329958342417,2.0727000784477596,2.060044903758115,2.0474669970958566,2.034965886689698,2.022541103648819,2.0101921819452837,1.9979186583965576,1.9857200726481343,1.9735959671562702,1.9615458871708216,1.9495693807181895,1.9376659985843656,1.925835294298083,1.9140768241140722,1.9023901469964137,1.8907748246019997,1.8792304212640887,1.867756503975968,1.8563526423747092,1.8450184087250303,1.8337533779032476,1.8225571273813337,1.8114292372110683,1.8003692900082855,1.7893768709372209,1.77845156769495,1.767592970495925,1.7568006720566034,1.7460742675801724,1.735413354741365,1.7248175336713716,1.7142864069428385,1.7038195795549649,1.6934166589186845,1.6830772548419406
8,16.26,19.37,18.08,14.47,16.59,14.06,11.96,15.7,12.61,13.35,14.21,13.31,10.17,10.08,9.13,8.97,10.08,8.7,10.13,10.0,13.25,9.59,9.47,8.07,6.63,10.96,6.55,8.76,6.84,10.28,6.57,7.22,6.75,6.81,7.7,3.85,7.18,7.11,5.28,5.54,6.71,4.94,5.89,7.29,5.7,5.48,5.23,4.99,4.88,4.76,4.62,4.55,4.4,4.2,4.07,4.02,3.89,3.75,3.77,3.78,3.79,3.64,3.48,3.47,3.47,3.45,3.44,3.42,3.41,3.4,3.39,3.38,3.3,3.15,3.08,3.09,3.11,3.13,3.15,3.1,2.97,2.93,2.96,2.99,3.02,2.97,2.82,2.76,2.78,2.8,2.81,2.82,2.83,2.84,2.8254202614532504,2.810915371067097,2.796484944592732,2.78212859975397,2.7678459562371227,2.7536366356809205,2.7395002616664916,2.72543645970739,2.7114448572396745,2.69752508361204,2.6836767700759974,2.6698995497761056,2.6561930577402535,2.6425569308699917,2.6289908079309123,2.6154943295430817,2.6020671381715172,2.5887088781167185,2.575419195505243,2.5621977382803323,2.549044156192586,2.535958100790682,2.522939225412147,2.5099871851741726,2.4971016369644787,2.4842822394322246,2.471528652978966,2.4588405397496587,2.4462175636237085,2.433659390206068,2.4211656868183757,2.408736122490146,2.3963703679499995,2.3840680956169398,2.371828979591679,2.3596526956479993,2.347538921224168,2.3354873354143915,2.323497618960312,2.311569454242553,2.2997025252723033,2.287896517682948,2.2761511187217383,2.2644660172415083,2.2528409036924306,2.241275470113819,2.2297694101259657,2.2183224189220305,2.2069341932599618,2.195604431454465,2.1843328333690106,2.1731191004078836,2.161962935508273,2.1508640431324024,2.1398221292597,2.1288369013790116,2.1179080684808502,2.107035341049688,2.096218431056285,2.08545705195006,2.074750918651502,2.064099747544612,2.0535032564693965,2.042961164714389,2.0324731930092135,2.0220390635171883,2.011658499827965,2.0013312269502053,1.9910569713042972,1.9808354607151073,1.9706664244047707,1.9605495929855177,1.9504846984525372,1.9404714741768778,1.9305096548983833,1.920598976718667,1.9107391770941207,1.9009299948289575,1.8911711700682956,1.8814624442912726,1.8718035603041967,1.8621942622337357,1.8526342955201354,1.843123406910479,1.833661344451976,1.8242478574852892
9,17.25,12.81,16.53,17.47,23.35,15.27,16.22,9.91,14.85,13.44,15.59,14.21,11.32,10.98,9.53,12.08,11.61,11.66,8.41,8.58,9.99,8.08,10.35,7.21,8.05,5.23,7.54,10.2,11.04,7.7,5.74,6.23,6.6,7.0,6.25,7.41,4.61,6.91,4.56,4.27,5.03,7.11,5.35,5.54,5.6,5.36,5.21,5.08,4.98,4.8,4.67,4.6,4.46,4.31,4.19,4.06,3.93,3.87,3.82,3.75,3.77,3.7,3.62,3.62,3.54,3.45,3.44,3.43,3.41,3.4,3.39,3.38,3.37,3.29,3.22,3.23,3.16,3.1,3.12,3.14,3.09,3.05,3.0,2.95,2.98,3.01,2.96,2.9,2.84,2.77,2.79,2.8,2.81,2.82,2.807319339761054,2.794695700495192,2.7821288257968857,2.7696184604135854,2.75716435024053,2.7447662423155887,2.7324238848141236,2.7201370270438723,2.707905419439858,2.6957288135593203,2.6836069620766674,2.671539618778453,2.659526538558378,2.6475674774123075,2.635662192433319,2.6238104418067647,2.6120119848053642,2.6002665817843105,2.5885739941764054,2.5769339844872134,2.565346316290236,2.553810754222113,2.542327063977838,2.530895012306001,2.5195143670040525,2.508184896913584,2.496906371915635,2.4856785629260174,2.4745012418906644,2.463374181780996,2.4522971565893092,2.441269941324188,2.4302923120059314,2.4193640456620065,2.4084849203225165,2.3976547150156957,2.3868732097634195,2.376140185576734,2.3654554244514134,2.354818709363527,2.3442298242650335,2.333688554079392,2.323194684697195,2.3127480029718153,2.3023482967150826,2.2919953546929692,2.281688966621301,2.271428923161487,2.261215015916265,2.2510470374254723,2.2409247811618274,2.2308480415267398,2.2208166138461305,2.2108302943662763,2.200888880249671,2.190992169570905,2.181139961312565,2.1713320553611495,2.161568252503005,2.151848354420281,2.1421721636868982,2.1325394837645435,2.122950118998673,2.113403874614541,2.1039005567132434,2.094439972267779,2.0850219291191285,2.0756462359723518,2.0663127023927017,2.0570211388017587,2.0477713564735764,2.0385631675308504,2.029396384941103,2.0202708225128823,2.011186294891981,2.0021426175576726,1.9931396068189626,1.9841770798108571,1.9752548544906496,1.9663727496342227,1.9575305848323667,1.9487281804871173,1.9399653578081044,1.9312419388089237,1.9225577463035197,1.9139126039025878
