age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1096.69,993.54,1041.97,781.23,771.61,765.87,800.61,601.82,728.29,561.64,536.03,567.84,471.61,486.81,537.57,517.36,509.2,515.28,561.41,442.7,483.22,431.3,354.59,482.77,347.68,366.9,408.18,347.24,434.25,367.54,315.15,340.48,376.45,277.02,275.36,247.56,278.67,300.11,237.52,235.87,230.57,225.52,220.71,216.13,211.76,207.59,203.62,199.83,196.21,192.77,189.48,186.34,183.35,180.49,177.77,175.17,172.68,170.3,168.03,165.85,163.76,161.75,159.81,157.89,156.0,154.13,152.28,150.45,148.65,146.87,145.11,143.37,141.65,139.95,138.27,136.61,134.98,133.36,131.76,130.18,128.62,127.08,125.55,124.05,122.56,121.09,119.64,118.2,116.78267617693356,115.38233451152135,113.9987719543012,112.63178768881605,111.28118336261436,109.9467630102501,108.62833297628248,107.3257018382758,106.03868063779996,104.76708249542958,103.51072291874473,102.2694194943302,101.04299204177588,99.83126245967637,98.63405495663153,97.45119558924547,96.2825127241275,95.12783649889099,93.98699943815474,92.85983583754158,91.7461819176787,90.64587597819806,89.55875832073617,88.48467094093337,87.42345791343476,86.37496508388944,85.33904006895057,84.31553248727587,83.30429357452671,82.30517649136885,81.31803609247196,80.34272892650947,79.37911331315892,78.42704918910148,77.48639833902259,76.55702393361075,75.6387910146588,74.73156613316301,73.83521743402322,72.94961466374295,72.07462911652928,71.21013361889271,70.35600252964728,69.5121117014104,68.67833846520284,67.85456163814878,67.04066146957567,66.2365196487142,65.44201927389824,64.65704484486494,63.881482247354555,63.1152187146104,62.35814285817894,61.61014459090958,60.8711151654548,60.14094711267001,59.419534280113545,58.70677175504664,58.00255589523339,57.30678429814067,56.61935577783821,55.940170372698454,55.26912929919657,54.60613497501043,53.95109097282055,53.30390202031008,52.66447399246477,52.032713880772924,51.408529793225384,50.791830946615505,50.18252763573911,49.58053121799442,48.98575413648215,48.39810986610536,47.81751291356944,47.24387883278217,46.67712415555359,46.117166430096,45.563924205624026,45.01731697845442,44.47726522280615,43.943690367700405
1,94.8,80.36,93.66,92.87,92.98,94.89,72.26,48.68,84.94,43.02,54.02,74.87,32.42,61.55,40.05,58.9,48.06,41.39,42.21,12.42,25.61,32.51,26.87,52.9,12.85,43.67,24.45,29.73,17.31,29.19,34.46,16.9,34.42,5.92,18.14,6.06,18.18,43.38,27.47,27.29,26.68,26.09,25.54,25.01,24.51,24.03,23.57,23.13,22.72,22.32,21.94,21.58,21.23,20.9,20.59,20.29,20.0,19.72,19.46,19.21,18.97,18.73,18.51,18.29,18.07,17.85,17.63,17.42,17.21,17.01,16.8,16.6,16.4,16.21,16.01,15.82,15.63,15.44,15.26,15.07,14.89,14.71,14.54,14.36,14.19,14.02,13.85,13.69,13.525732336980045,13.363435594220238,13.20308612993251,13.044660572417756,12.888135847074748,12.733489158394192,12.58069796294984,12.429740014413307,12.280593300533324,12.133236115159457,11.987646977215414,11.843804675713873,11.701688251750557,11.561277016510163,11.422550488245596,11.285488473304666,11.150071003109332,11.016278334155691,10.884090984025848,10.753489695376052,10.6244554359367,10.496969398512324,10.371013027990507,10.246567949318145,10.123616048528135,10.002139400715656,9.882120315053005,9.763541307780681,9.646385084201473,9.530634592698236,9.41627296171315,9.303283517753629,9.191649821404209,9.08135558629984,8.972384747548425,8.864721431120747,8.758349948448682,8.653254800026385,8.549420673609696,8.446832437914077,8.345475147116073,8.245334030950067,8.146394499209757,8.048642135446078,7.952062695166615,7.85664210673589,7.762366465973593,7.669222036154572,7.577195244407658,7.486272682615949,7.396441100214447,7.307687409591835,7.219998677087507,7.133362125692467,7.047765130547833,6.963195219845147,6.8796400694245845,6.797087505475853,6.715525497335813,6.634942161089668,6.555325753268888,6.476664674452393,6.3989474602635905,6.322162786772153,6.246299465092242,6.171346440482204,6.097292791444286,6.024127726123431,5.951840582307301,5.88042082832655,5.809858054952178,5.74014198079729,5.671262446915326,5.603209414999471,5.535972970083539,5.4695433124393045,5.403910762077988,5.339065756049364,5.274998843940281,5.21170068967525,5.149162069715854,5.087373871260156
2,42.24,61.75,34.6,35.12,40.39,52.08,38.77,27.45,16.08,15.86,37.78,43.14,26.67,21.52,22.3,56.87,29.26,11.92,29.34,17.95,30.79,12.65,12.9,13.32,13.17,0.0,24.83,6.06,17.73,0.0,17.46,11.43,28.01,11.39,23.47,12.0,23.95,11.97,9.65,9.56,9.33,9.11,8.91,8.71,8.52,8.34,8.17,8.01,7.86,7.71,7.58,7.45,7.32,7.2,7.09,6.98,6.88,6.79,6.69,6.61,6.52,6.44,6.36,6.29,6.21,6.14,6.06,5.99,5.92,5.85,5.78,5.71,5.64,5.57,5.51,5.44,5.37,5.31,5.25,5.18,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.71,4.653481382287736,4.597640956140244,4.542470582745259,4.487962222184831,4.43410793058261,4.380899861054754,4.328330259906293,4.276391464729324,4.225075907255728,4.174376108602635,4.124284682125147,4.074794325809079,4.025897828927312,3.977588065383441,3.92985799561359,3.882700661831877,3.836109193735859,3.7900768008992687,3.7445967746738376,3.6996624881892894,3.6552673915988088,3.6114050158826685,3.5680689680936917,3.5252529342099783,3.4829506743803664,3.4411560219735255,3.399862888332493,3.359065254216511,3.31875717455556,3.2789327746467323,3.239586252056046,3.200711870913003,3.1623039676160305,3.1243569432252247,3.0868652682168896,3.0498234796308084,3.0132261772666236,2.977068029389277,2.9413437651217484,2.906048179199597,2.871176128167333,2.836722528476599,2.802682359338895,2.769050660823765,2.7358225310060718,2.7029931269169096,2.670557665494505,2.6385114178787825,2.606849715116798,2.575567941506399,2.5446615403016577,2.5141260051547136,2.48395688772303,2.4541497891112263,2.42470036747834,2.3956043294796587,2.366857435021258,2.3384554953581884,2.3103943702417493,2.2826699707722162,2.2552782555952104,2.2282152337544177,2.201476960887964,2.175059539228413,2.1489591195045823,2.1231718980888203,2.0976941160461005,2.0725220610358353,2.0476520644591547,2.023080500508,1.9988037899687516,1.9748183935658798,1.951120815765573,1.9277076038248304,1.9045753439878348,1.881720666240488,1.8591402386049665,1.836830770943352,1.8147890121049097,1.7930117499260885,1.7714958093287054,1.7502380551726693
3,25.4,24.21,33.73,40.32,40.89,34.5,28.77,32.94,43.64,42.79,26.24,10.79,16.19,16.0,32.23,11.11,22.72,11.66,11.84,0.0,5.94,12.19,0.0,0.0,13.27,6.55,6.35,18.53,12.04,23.5,17.14,11.56,0.0,11.14,5.65,5.82,5.94,17.76,8.69,8.59,8.36,8.14,7.94,7.75,7.56,7.39,7.23,7.07,6.93,6.79,6.66,6.54,6.42,6.31,6.21,6.11,6.02,5.93,5.85,5.77,5.7,5.63,5.56,5.49,5.43,5.36,5.3,5.23,5.17,5.11,5.05,4.99,4.93,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.47,4.42,4.37,4.31,4.26,4.21,4.16,4.11,4.060680871206685,4.011953550716901,3.963810937939322,3.916246017360953,3.869251856247712,3.8228216057941395,3.7769484999736904,3.731625853239318,3.6868470616731845,3.6426055972381235,3.5988950146758825,3.555708942309466,3.5130410866419655,3.470885230057143,3.429235228520018,3.3880850115768673,3.3474285835049327,3.30726001871359,3.267573461744354,3.228363130719993,3.1896233104462923,3.1513483558611726,3.11353268743586,3.076170794624012,3.039257233562299,3.0027866224715773,2.9667536485551316,2.9311530588010197,2.8959796645808966,2.8612283416500204,2.8268940232490043,2.7929717070020623,2.7594564491684737,2.726343363492874,2.6936276269537913,2.6613044694162835,2.6293691805301793,2.597817107430664,2.5666436501394534,2.535844266163619,2.5054144658967616,2.475349816068131,2.445645933994093,2.4162984910272476,2.3873032102570186,2.358655866509649,2.330352282899082,2.302388335425791,2.274759948377948,2.2474630954811334,2.220493798748627,2.193848127331701,2.1675221986693294,2.141512173889356,2.115814264706739,2.090424724225895,2.0653398526892324,2.0405559940280322,2.0160695370121524,1.9918769129506178,1.9679745945419078,1.944359098173375,1.9210269839212424,1.8979748509517773,1.8751993386709953,1.8526971278743705,1.8304649395971269,1.8084995328148237,1.7867977067427707,1.7653562985366131,1.744172184442039,1.7232422751959517,1.702563520625296,1.682132907347647,1.6619474587712062,1.6420042316456844,1.62230031951142,1.6028328515496735,1.5835989902832117,1.564595931576309,1.5458209069341617,1.5272711789040583
4,31.44,38.32,36.37,11.25,5.75,23.22,11.45,22.83,43.7,21.77,26.53,26.28,16.16,10.78,5.33,16.03,27.65,5.66,17.33,29.26,11.56,11.76,36.17,24.81,0.0,13.15,26.1,31.7,6.16,11.97,5.86,11.36,0.0,0.0,0.0,16.8,11.52,17.63,9.18,9.05,8.79,8.55,8.31,8.1,7.89,7.7,7.52,7.35,7.19,7.04,6.89,6.76,6.63,6.52,6.4,6.3,6.2,6.11,6.02,5.94,5.86,5.79,5.72,5.65,5.59,5.52,5.45,5.39,5.32,5.26,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.72,4.66,4.6,4.55,4.49,4.44,4.39,4.33,4.28,4.23,4.1792408488132775,4.1290907867398605,4.079542506465048,4.030588785657439,3.982222490718211,3.934436573031846,3.887224068966133,3.840578096122906,3.794491858337062,3.7489586394277867,3.7039718019487995,3.6595247921873764,3.615611128916552,3.5722244158926704,3.5293583281080845,3.48700661928968,3.445163116899862,3.4038217221365508,3.3629764111829386,3.3226212302084703,3.2827502991181094,3.243357806553317,3.204438012391563,3.1659852427473054,3.127993896220766,3.090458432650139,3.0533733843593795,3.016733346160168,2.980532977851423,2.9447670042192975,2.9094302112879142,2.8745174500686335,2.8400236328107855,2.8059437317519187,2.7722727803675533,2.7390058708716722,2.706138156716229,2.673664846342377,2.641581206929733,2.6098825631466203,2.578564295900317,2.547621839837545,2.5170506858439814,2.4868463772949903,2.457004515054647,2.4275207474776965,2.398390777908085,2.369610360929692,2.341175302366334,2.313081459281762,2.285324734980646,2.257901086507098,2.230806514646641,2.2040370726744865,2.1775888588570087,2.151458017701501,2.1256407412059266,2.1001332663594123,2.0749318763920024,2.0500328982751506,2.025432702721717,2.001127704185971,1.9771143621133458,1.9533891746916632,1.9299486863496633,1.9067894790087216,1.883908177081868,1.861301447473786,1.8389659945817936,1.816898562795356,1.7950959364960812,1.773554938807968,1.7522724278481423,1.7312453042253837,1.7104705035415975,1.6899449963918172,1.669665790863711,1.6496299337873377,1.6298345044863742,1.6102766160278683,1.5909534202212592,1.5718620988700942
5,0.0,31.51,19.18,24.38,28.15,22.97,17.41,11.4,17.05,5.44,10.8,5.32,31.56,10.76,21.58,10.62,26.64,16.54,16.87,5.72,17.32,5.73,11.66,23.91,0.0,6.34,13.07,13.02,12.65,18.43,0.0,11.66,5.66,11.43,5.61,16.51,22.25,5.72,7.86,7.74,7.51,7.29,7.09,6.9,6.72,6.55,6.39,6.24,6.1,5.97,5.85,5.73,5.62,5.52,5.42,5.33,5.25,5.17,5.1,5.03,4.96,4.9,4.84,4.78,4.72,4.67,4.61,4.56,4.5,4.45,4.39,4.34,4.29,4.24,4.19,4.14,4.09,4.04,3.99,3.94,3.89,3.85,3.8,3.76,3.71,3.67,3.62,3.58,3.5370406910265793,3.494596876930041,3.4526623716002116,3.4112310659506986,3.370296920216516,3.3298539683554416,3.289896318048017,3.250418146296191,3.2114136972226373,3.172877288672793,3.1348033034121436,3.0971861935275786,3.060020476026034,3.023300733934832,2.9870216185023604,2.9511778392950148,2.9157641741002567,2.880775462324574,2.8462066038931417,2.8120525614505025,2.778308355959206,2.744969072201508,2.7120298488763153,2.679485887401898,2.6473324431131773,2.615564831863761,2.5841784223235647,2.553168640380174,2.5225309680385015,2.492260939019428,2.4623541431611646,2.4328062198172096,2.403612864458392,2.374769820970488,2.346272887155924,2.318117909232076,2.2903007829316095,2.2628174568034987,2.235663923410308,2.208836224829894,2.1823304537557378,2.1561427446942365,2.130269281667074,2.1047062949102044,2.079450058673175,2.0544968901187812,2.029843154824769,2.005485259081458,1.9814196531927546,1.9576428281751395,1.9341513212593635,1.9109417070877275,1.8880106032157857,1.865354667911663,1.8429705990557148,1.8208551352408693,1.7990050524716061,1.7774171663646368,1.7560883299482248,1.7350154358628653,1.7141954130602661,1.6936252268033472,1.6733018786662401,1.6532224065342902,1.6333838846040538,1.6137834222829612,1.5944181608882946,1.5752852802492285,1.5563819910044514,1.5377055368028443,1.5192531987048408,1.5010222841790284,1.483010138105547,1.4652141350737102,1.4476316815826846,1.4302602138408111,1.4130972010666236,1.396140142187829,1.3793865658413087,1.3628340292727772,1.3464801216378035,1.3303224573997705
6,29.31,37.09,31.66,19.19,12.14,11.23,17.11,28.69,16.91,39.44,37.41,26.98,26.58,0.0,0.0,10.75,10.6,5.31,21.91,5.59,0.0,22.95,11.36,5.79,5.95,12.28,12.6,19.49,6.5,0.0,6.13,11.89,11.62,5.62,0.0,11.17,10.96,0.0,6.77,6.67,6.47,6.28,6.1,5.94,5.78,5.64,5.5,5.37,5.25,5.14,5.04,4.94,4.84,4.75,4.67,4.6,4.52,4.45,4.39,4.33,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.93,3.88,3.83,3.79,3.74,3.7,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.08,3.043040562281235,3.0065246256495217,2.9704468664177996,2.934802027819655,2.899584915015236,2.864790395091262,2.8304133970610152,2.796448911864344,2.762891989371218,2.729737738381725,2.696981327624889,2.664617983761035,2.6326429893841645,2.601051684020764,2.569839466127441,2.539001784101582,2.5085341452706937,2.4784321089006918,2.4486912881935337,2.4193073482895873,2.3902760082652623,2.3615930351401166,2.333254249869749,2.3052555213529065,2.277592770426747,2.250261965871575,2.223259122413213,2.1965803067158935,2.1702216293917354,2.1441792489960045,2.118449371028299,2.093028244936104,2.06791216611242,2.043097473898135,2.0185805515820197,1.994357826400734,1.9704257685400046,1.9467808901358155,1.9234197442755878,1.9003389269958133,1.8775350742856067,1.8550048630855234,1.832745008291108,1.8107522677469778,1.7890234352551098,1.767555343571289,1.7463448654039233,1.7253889074211517,1.704684417242551,1.6842283774462437,1.664017804570082,1.6440497551045419,1.6243213185010132,1.6048296191694313,1.5855718174770927,1.5665451047545769,1.5477467092886399,1.5291738903293206,1.5108239430840196,1.4926941907269728,1.4747819923897785,1.4570847381673162,1.4395998471201192,1.42232477226845,1.4052569945994062,1.388394028061002,1.37173341356927,1.355272725001159,1.3390095612040058,1.3229415529872468,1.3070663581283388,1.291381663370391,1.2758851824245325,1.2605746569687297,1.2454478546501537,1.2305025730804429,1.2157366318451786,1.201147879495594,1.1867341905521285,1.172493464505609,1.158423623819623,1.144522620922224
7,22.58,0.0,12.37,6.31,25.46,0.0,5.56,16.87,5.67,11.16,0.0,0.0,0.0,10.62,10.5,5.34,0.0,5.28,0.0,21.79,16.72,5.64,11.4,11.26,5.77,11.81,6.11,6.29,12.96,6.49,6.31,6.11,0.0,0.0,5.6,0.0,5.55,16.34,5.78,5.7,5.53,5.38,5.23,5.09,4.97,4.84,4.73,4.62,4.52,4.42,4.33,4.25,4.17,4.1,4.03,3.96,3.9,3.84,3.79,3.74,3.69,3.64,3.6,3.55,3.51,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.11,3.07,3.04,3.0,2.97,2.93,2.89,2.86,2.83,2.79,2.76,2.72,2.69,2.66,2.6280804417157553,2.5965439074482948,2.5653858007422055,2.53460158214648,2.504186763514079,2.4741369137023708,2.4444476528726904,2.4151146534404133,2.3861336419751034,2.35750039350007,2.329210735292663,2.3012605449841255,2.273645749609523,2.2463623227575185,2.2194062893207414,2.1927737216954966,2.166460736931539,2.1404635005323738,2.1147782245551023,2.0894011647602064,2.064328623461768,2.039556945727176,2.015082522227342,1.9909017854364133,1.9670112115319156,1.9434073184946066,1.920086666108476,1.8970458559607468,1.8742815304918001,1.8517903710950303,1.829569100967062,1.8076144803573873,1.7859233103686554,1.764492429156381,1.7433187147791647,1.722399079498252,1.701730475477973,1.6813098909854491,1.6611343484904482,1.6412009084656745,1.6215066655864785,1.602048749680928,1.582824324779736,1.5638305891162598,1.5450647751265014,1.526524146598887,1.5082060024745612,1.4901076720970197,1.4722265190124018,1.454559935269052,1.4371053480680316,1.4198602131126072,1.4028220165083949,1.385988274763363,1.369356535737902,1.352924373894462,1.336689395997989,1.3206492344654133,1.304801552116015,1.2891440402712797,1.2736744149546015,1.2583904235417998,1.24328983716053,1.228370455440652,1.213630104614082,1.199066634664573,1.1846779250281558,1.1704618779426237,1.1564164203476799,1.142539506735159,1.128829114398658,1.1152832443836103,1.1018999233874331,1.0886771999592337,1.0756131473500286,1.062705861612598,1.049953461601485,1.0373540889729955,1.0249059072351256,1.012607101747561,1.0004558806717503,0.9884504721206845
8,10.56,22.61,17.69,6.19,18.92,19.06,17.98,11.0,5.57,11.25,11.12,0.0,26.66,16.14,10.61,5.23,0.0,5.34,10.54,15.76,10.84,16.58,5.61,5.65,5.6,5.74,0.0,0.0,0.0,6.47,6.48,12.58,6.08,11.81,5.76,5.58,0.0,11.02,3.81,3.76,3.65,3.56,3.46,3.37,3.29,3.21,3.14,3.07,3.01,2.94,2.89,2.83,2.78,2.73,2.69,2.64,2.6,2.56,2.53,2.49,2.46,2.43,2.4,2.37,2.34,2.32,2.29,2.26,2.23,2.21,2.18,2.15,2.13,2.1,2.08,2.05,2.03,2.0,1.98,1.96,1.93,1.91,1.89,1.86,1.84,1.82,1.8,1.78,1.7586402678484785,1.737536845759051,1.7166866589261844,1.696086667636855,1.6757338707797953,1.6556253016343976,1.6357580292744112,1.6161291592697935,1.5967358294756093,1.577575214944981,1.5586445230161399,1.5399409940142723,1.5214619019533737,1.503204554536246,1.4851662910489494,1.4673444816589494,1.4497365295206697,1.4323398686699405,1.415151964024,1.398170309275941,1.381392431105815,1.3648158828639785,1.3484382494840457,1.3322571439736366,1.3162702081162279,1.3004751124711522,1.2848695535661987,1.2694512588105624,1.2542179794763446,1.2391674963133525,1.2242976160398493,1.2096061713425539,1.195091020876641,1.1807500492657408,1.1665811664000896,1.1525823074365291,1.1387514320966563,1.1250865246668238,1.1115855932962895,1.0982466699972162,1.0850678120483734,1.072047097784034,1.0591826294013769,1.046472532960486,1.0339149548751,1.021508066123713,1.0092500573366232,0.9971391423051843,0.9851735565781041,0.9733515560577463,0.9616714177019778,0.9501314388223207,0.9387299377858019,0.9274652526112526,0.9163357423730084,0.905339784393509,0.8944757763488488,0.8837421341632264,0.8731372948163445,0.86265971143046,0.8523078581833342,0.8420802246934318,0.8319753223365721,0.8219916765255781,0.8121278337287771,0.8023823551533498,0.7927538216582809,0.7832408288414089,0.773841990548676,0.7645559374704284,0.7553813157377155,0.7463167876241402,0.7373610336514099,0.7285127469745344,0.7197706389966275,0.7111334351578066,0.7025998763388919,0.6941687195632577,0.685838735891281,0.6776087104203423,0.6694774450922257,0.6614437530783177
9,9.99,21.15,0.0,11.82,6.19,6.27,25.22,5.93,21.81,16.61,16.62,16.64,22.2,0.0,0.0,5.29,15.68,15.93,5.34,10.5,10.44,5.39,5.48,0.0,5.64,16.72,0.0,11.68,6.05,0.0,0.0,0.0,0.0,0.0,5.88,5.75,5.56,5.6,4.08,4.03,3.93,3.82,3.73,3.63,3.55,3.47,3.39,3.32,3.25,3.18,3.12,3.06,3.01,2.96,2.91,2.86,2.82,2.78,2.74,2.7,2.67,2.64,2.6,2.57,2.54,2.51,2.48,2.45,2.42,2.39,2.36,2.34,2.31,2.28,2.25,2.23,2.2,2.17,2.15,2.12,2.1,2.07,2.05,2.02,2.0,1.97,1.95,1.93,1.906840275116963,1.88395846035661,1.8613512212497623,1.8390152626223337,1.8169473293972693,1.7951442057926075,1.7736027137175938,1.7523197135746262,1.7312921034573132,1.710516819952412,1.6899908349320698,1.6697111555538209,1.6496748282702913,1.629878930809792,1.6103205801957254,1.590996924727178,1.571905148790566,1.5530424696518716,1.5344061382585832,1.5159934392396972,1.4978016876979532,1.479828233219539,1.4620704558643862,1.444525768571993,1.4271916139536611,1.4100654650944362,1.3931448263550494,1.3764272317680355,1.3599102450377323,1.3435914587383413,1.3274684951158668,1.3115390028803555,1.2958006620175377,1.280251178175245,1.2648882858711716,1.2497097444831722,1.2347133430609036,1.2198968955141845,1.2052582430188132,1.1907952516107496,1.1765058129880528,1.162387845312824,1.1484392916073236,1.1346581173481498,1.121042315277883,1.107589900593441,1.0942989117480206,1.0811674136588594,1.068193491291711,1.0553752536705485,1.042710833075623,1.030198383439583,1.0178360811494154,1.005622125046444,0.9935547340205101,0.9816321502177321,0.9698526358327451,0.9582144731086994,0.9467159675450252,0.9353554422838455,0.9241312413177408,0.9130417294897476,0.9020852908894779,0.891260327249238,0.8805652619537312,0.8699985360303547,0.8595586097530818,0.8492439610385791,0.8390530870500887,0.8289845017916064,0.819036738513703,0.809208347307703,0.7994978959076247,0.7899039680862994,0.7804251668631336,0.7710601096924656,0.7618074324732678,0.7526657863413855,0.743633838471476,0.7347102736808914,0.7258937896180334,0.7171831031778796
