age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1096.69,993.54,1041.97,781.23,771.61,765.87,800.61,601.82,728.29,561.64,536.03,567.84,471.61,486.81,537.57,517.36,509.2,515.28,561.41,442.7,483.22,431.3,354.59,482.77,347.68,366.9,408.18,347.24,434.25,367.54,315.15,340.48,376.45,277.02,275.36,247.56,278.67,300.11,425.59,355.15,318.07,312.4,381.22,346.63,271.1,246.78,240.51,234.6,229.06,223.87,219.01,214.46,210.2,206.22,202.49,199.0,195.73,192.67,189.78,187.07,184.51,182.09,179.78,177.59,175.49,173.47,171.52,169.61,167.75,165.92,164.1,162.31,160.53,158.78,157.04,155.33,153.63,151.95,150.29,148.65,147.02,145.41,143.83,142.25,140.7,139.16,137.64,136.13,134.65,133.17,131.72,130.28,128.85,127.45,126.03556415005691,124.6368256620095,123.25361032705891,121.88574586976972,120.53306192661354,119.19539002475074,117.87256356104768,116.56441778132668,115.27078975984647,113.99151837901023,112.72644430929881,111.47540998942682,110.23825960671871,109.0148390777028,107.8049960289207,106.60857977794952,105.4254413146349,104.25543328253217,103.09840996055364,101.95422724481935,100.82274263070937,99.70381519511533,98.59730557888878,97.50307596948451,96.4209900837963,95.35091315118329,94.29271189668471,93.24625452442088,92.21141070117835,91.18805154017738,90.17604958501941,89.17527879381268,88.18561452347421,87.20693351420576,86.23911387414223,85.2820350641704,84.33557788291604,83.39962445189789,82.47405820084607,81.55876385318369,80.65362741166949,79.75853614419975,78.87337856976791,77.9980444445799,77.13242474832357,76.27641167059062,75.42989859744898,74.59278009816454,73.76495191206986,72.946310935579,72.13675520934615,71.33618390556687,70.5444973154204,69.76159683665112,68.98738496128796,68.22176526350003,67.46464238758716,66.71592203610349,65.97551095811312,65.2433169375759,64.51924878186223,63.803216310395285,63.09513034341924,62.39490269089225,61.70244614150263,61.01767445180687,60.340502335488374,59.67084545273522,59.00862039973591,58.35374469829166,57.70613678554399,57.065716003816306,56.432402590568216,55.80611766846135,55.18678323553539,54.57432215549318,53.968658148093624,53.3697157796512,52.77742045364091,52.191698401407486,51.61247667297776,51.039683127974925,50.47324642663367,49.91309602091501,49.35916214571977,48.811375810199486
1,94.8,80.36,93.66,92.87,92.98,94.89,72.26,48.68,84.94,43.02,54.02,74.87,32.42,61.55,40.05,58.9,48.06,41.39,42.21,12.42,25.61,32.51,26.87,52.9,12.85,43.67,24.45,29.73,17.31,29.19,34.46,16.96,34.61,5.95,18.28,6.11,18.31,43.94,25.89,6.74,6.91,21.42,27.89,21.66,18.28,16.98,16.49,16.03,15.61,15.21,14.85,14.51,14.19,13.89,13.62,13.37,13.13,12.91,12.7,12.51,12.33,12.17,12.01,11.86,11.71,11.58,11.45,11.32,11.19,11.07,10.95,10.83,10.71,10.6,10.48,10.36,10.25,10.14,10.03,9.92,9.81,9.7,9.6,9.49,9.39,9.29,9.18,9.08,8.98,8.89,8.79,8.69,8.6,8.5,8.336286482415586,8.17572615492998,8.018258285796982,7.863823312988958,7.712362821667577,7.563819522088465,7.418137227931434,7.275260835048076,7.135136300618683,6.997710622710621,6.862931820230412,6.730748913261951,6.601111903783412,6.473971756755561,6.349280381574315,6.226990613880521,6.107056197720109,5.98943176804782,5.874072833567944,5.7609357599055375,5.649977753101776,5.541156843427191,5.434431869506672,5.329762462750227,5.227109032083614,5.126432748973065,5.02769553273844,4.930860036149258,4.8358896312981505,4.742748395746408,4.6514010989363515,4.5618131888654245,4.473950779016939,4.38778063554254,4.303270164691547,4.220387400482403,4.13910099261159,4.059380194595405,3.9811948521401432,3.904515391736282,3.829312809472325,3.755558660064117,3.6832250460954463,3.612284607465882,3.5427105110418493,3.474476440507033,3.4075565864082593,3.3419256363931025,3.2775587656355207,3.2144316274458946,3.152520344061923,3.091801497616887,3.032252121281873,2.9738496905785956,2.916572114859544,2.860397728952218,2.8053052849643083,2.7512739442467016,2.6982832695112933,2.6463132171006034,2.5953441294062896,2.545356727433682,2.4963321035095265,2.4482517141301803,2.401097372947554,2.3548512438901494,2.3094958344165866,2.26501398889907,2.221388882134297,2.1786040129793425,2.1366431981101224,2.0954905659000733,2.0551305504167257,2.015547885533912,1.9767275991573727,1.938655007561579,1.9013157098356326,1.8646955824361386,1.8287807738449933,1.7935576993300626,1.7590130358067764,1.7251337167986862,1.6919069274950878,1.659320099903834,1.627360908097507,1.5960172635511531
2,42.24,61.75,34.6,35.12,40.39,52.08,38.77,27.45,16.08,15.86,37.78,43.14,26.67,21.52,22.3,56.87,29.26,11.92,29.34,17.95,30.79,12.65,12.9,13.32,13.17,0.0,24.83,6.06,17.73,0.0,17.46,11.45,28.25,11.47,23.63,12.13,24.28,12.14,12.54,19.27,0.0,6.75,13.88,6.83,9.76,10.64,10.34,10.05,9.79,9.54,9.32,9.1,8.91,8.72,8.55,8.39,8.25,8.11,7.98,7.86,7.75,7.64,7.55,7.45,7.36,7.28,7.19,7.11,7.03,6.96,6.88,6.81,6.73,6.66,6.59,6.51,6.44,6.37,6.3,6.23,6.16,6.1,6.03,5.96,5.9,5.84,5.77,5.71,5.65,5.58,5.52,5.46,5.4,5.34,5.273475854245216,5.207780446686762,5.142903453148503,5.078834678069845,5.015564052903484,4.953081634533108,4.8913776037108185,4.830442263514012,4.770266037821489,4.710839469808543,4.652153220460803,4.594198067106586,4.536964901967532,4.480444730727302,4.424628671118096,4.36950795152479,4.315073909606452,4.261317990935043,4.208231747651064,4.1558068371359616,4.104035020701063,4.05290816229285,4.0024182272143625,3.952557280862525,3.903317487481208,3.8546911089298233,3.8066705034672546,3.759248124550945,3.71241651965094,3.6661683290787064,3.6204962848305406,3.5753932094453873,3.530852014876883,3.4868657013794597,3.4434273564083124,3.4005301535330847,3.3581673513650747,3.3163322924978154,3.275018402460845,3.2342191886865184,3.193928239489683,3.1541392230600698,3.1148458864672364,3.076042054677904,3.037721629585538,2.9998785890520154,2.962506985961238,2.9256009472845244,2.889154673157653,2.853162435969403,2.8176185794614437,2.782517517839444,2.747853734895251,2.7136217831400073,2.679816282948067,2.646431921711572,2.61346345300557,2.5809056957635206,2.548753533463085,2.517001913322052,2.485645845504279,2.4546804023355335,2.4241007175290954,2.3939019854210084,2.364079460214864,2.3346284552359826,2.3055443421948993,2.2768225504600133,2.248458566339305,2.2204479323710005,2.192786246623068,2.1654691620014503,2.138492385566905,2.1118516778603604,2.085542852236677,2.0595617742067067,2.033904360787548,2.0085665798608963,1.983544449539388,1.9588340375408388,1.9344314605702773,1.9103328837096747,1.8865345198152819,1.8630326289224686,1.8398235176579822,1.8169035386595254
3,25.4,24.21,33.73,40.32,40.89,34.5,28.77,32.94,43.64,42.79,26.24,10.79,16.19,16.0,32.23,11.11,22.72,11.66,11.84,0.0,5.94,12.19,0.0,0.0,13.27,6.55,6.35,18.53,12.04,23.5,17.14,11.58,0.0,11.27,5.7,5.88,6.03,18.16,0.0,12.45,0.0,0.0,13.15,13.62,9.63,8.18,7.95,7.74,7.54,7.35,7.18,7.01,6.86,6.72,6.59,6.47,6.36,6.25,6.16,6.06,5.98,5.9,5.82,5.75,5.68,5.61,5.55,5.49,5.43,5.37,5.31,5.25,5.19,5.14,5.08,5.02,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.078784553333492,4.037981415658225,3.997586462338464,3.9575956100002925,3.9180048161188417,3.87881007860965,3.8400074354241034,3.801592964148928,3.7635627816096915,3.7259130434782617,3.6886399438842017,3.6517397150300477,3.6152086268104378,3.5790429864350473,3.543239138055301,3.5077934623948144,3.472702376383537,3.437962332795553,3.4035698198905044,3.3695213610586023,3.3358135144691916,3.3024428727228266,3.2694060625068313,3.236699744254304,3.2043206118065335,3.1722653920787893,3.14053084472946,3.109113761832501,3.0780109675531526,3.0472193178269107,3.0167357000417043,2.986557032723252,2.9566802652235697,2.9271023774125893,2.897820379372866,2.8688313110973405,2.840132242190121,2.811720271570262,2.7835925271785036,2.7557461656869457,2.728178372211629,2.7008863600279853,2.6738673702891416,2.6471186717470374,2.620637560476331,2.5944213596010735,2.56846741902411,2.5427731151591946,2.517335850665778,2.492153054186456,2.4672221800870386,2.4425407081992216,2.4181061435658333,2.3939160161886255,2.3699678807785958,2.3462593165087977,2.3227879267696308,2.299551338926576,2.2765472040803556,2.2537731968294907,2.2312270150352354,2.2089063795888624,2.186809034181276,2.164932745074932,2.1432753008780345,2.1218345123209996,2.1006082120351444,2.0795942543335997,2.058790514994409,2.038194891045801,2.0178053005536047,1.9976196824107975,1.977635996129154,1.957852221632982,1.9382663590549187,1.918876428533774,1.8996804700143919,1.8806765430495165,1.86186272660364,1.8432371188588115,1.8247978370223905,1.8065430171367214,1.7884708138907135,1.7705794004333058,1.7528669681887965,1.735331726674022
4,31.44,38.32,36.37,11.25,5.75,23.22,11.45,22.83,43.7,21.77,26.53,26.28,16.16,10.78,5.33,16.03,27.65,5.66,17.33,29.26,11.56,11.76,36.17,24.81,0.0,13.15,26.1,31.7,6.16,11.97,5.86,11.37,0.0,0.0,0.0,17.05,11.69,18.01,24.15,12.0,6.19,6.27,6.38,0.0,5.31,6.97,6.77,6.59,6.42,6.26,6.12,5.98,5.85,5.74,5.63,5.52,5.43,5.34,5.25,5.18,5.1,5.03,4.97,4.91,4.85,4.79,4.74,4.69,4.63,4.58,4.53,4.48,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.496274068222777,3.472708056854274,3.449300887979519,3.4260514909490305,3.4029588023298514,3.380021765856903,3.357239332384672,3.3346104598392268,3.3121341131705444,3.2898092643051755,3.2676348920992146,3.245609982291595,3.223733527457696,3.2020045269632615,3.1804219869186334,3.158984920133289,3.1376923460706867,3.116543290803417,3.0955367869686543,3.074671873723909,3.0539475967030794,3.033363007972797,3.012917165989071,2.9926091355542184,2.9724379877740894,2.9524028000155793,2.932502655864428,2.912736645083301,2.8931038635701576,2.873603413316894,2.8542344023682715,2.8349959447811144,2.8158871605837903,2.796907175735958,2.7780551220885887,2.7593301373442594,2.740731365017706,2.7222579543966536,2.703909060502898,2.685683844053663,2.667581471423206,2.649601114604691,2.6317419511723146,2.6140031642436865,2.5963839424424675,2.5788834798612545,2.5615009760247216,2.544235635853002,2.5270866696253234,2.5100532929438852,2.4931347266979818,2.4763301970283615,2.4596389352918346,2.4430601780261143,2.426593166914893,2.410237148753161,2.393991375412749,2.3778551038081175,2.361827595862358,2.345908118473439,2.3300959434806736,2.31439034763141,2.2987906125479536,2.283296024694705,2.2679058753455257,2.2526194605513177,2.2374360811078273,2.222355042523662,2.207375654988524,2.19249723334166,2.1777190970405194,2.1630405701296276,2.1484609812096664,2.1339796634067674,2.119595954342002,2.105309196101094,2.0911187352043172,2.0770239225766094,2.063024113517884,2.04911866767354,2.035306949005171,2.0215883257614764,2.0079621704493604,1.9944278598052334,1.9809847747665026,1.967632300443256
5,0.0,31.51,19.18,24.38,28.15,22.97,17.41,11.4,17.05,5.44,10.8,5.32,31.56,10.76,21.58,10.62,26.64,16.54,16.87,5.72,17.32,5.73,11.66,23.91,0.0,6.34,13.07,13.02,12.65,18.43,0.0,11.69,5.68,11.5,5.67,16.85,22.64,5.83,5.99,0.0,5.97,0.0,0.0,12.57,7.84,6.2,6.02,5.86,5.71,5.57,5.44,5.32,5.21,5.11,5.01,4.92,4.83,4.76,4.68,4.61,4.55,4.49,4.43,4.38,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.43,3.39,3.35,3.32,3.28,3.24,3.21,3.17,3.14,3.116305615115392,3.0927900276432236,3.0694518883813586,3.046289858308717,3.023302608508448,3.0004888200916837,2.97784718412187,2.955376401539663,2.933075183088399,2.9109422492401222,2.8889763301221727,2.8671761654443264,2.845540504426488,2.8240681057269263,2.8027577373710537,2.781608176680741,2.7606182102041656,2.739786633646193,2.7191122517992765,2.698593878474886,2.6782303364354494,2.6580204573268076,2.6379630816111823,2.618057058500647,2.5983012458910992,2.578694510296736,2.5592357267850177,2.5399237789121245,2.520757558658904,2.501735966367296,2.482857910677241,2.4641223084640624,2.445528084776325,2.4270741727741565,2.408759513668041,2.390583056658069,2.3725437588736487,2.354640585313672,2.3368725087871303,2.3192385098541806,2.3017375767676556,2.284368705415013,2.267130899260727,2.250023169289112,2.2330445339475764,2.2161940190903073,2.1994706579223804,2.1828734909442864,2.1664015658968845,2.150053937706764,2.1338296684320213,2.117727827208447,2.1017474901961153,2.0858877405263807,2.070147668249273,2.0545263702812884,2.0390229503535746,2.023636518960509,2.008366193308662,1.9932110972661492,1.9781703613123607,1.9632431224880744,1.9484285243459432,1.9337257169013566,1.9191338565836733,1.9046521061878212,1.8902796348262625,1.8760156178813232,1.8618592369578788,1.8478096798364,1.833866140426353,1.820027818719948,1.8062939207462394,1.792663658525574,1.7791362500243784,1.7657109191102904,1.7523868955076298,1.739163414753203,1.7260397181524412,1.7130150527358727,1.7000886712159202,1.6872598319440248,1.6745277988680947,1.6618918414902744,1.649351234825032,1.6369052593575646
6,29.31,37.09,31.66,19.19,12.14,11.23,17.11,28.69,16.91,39.44,37.41,26.98,26.58,0.0,0.0,10.75,10.6,5.31,21.91,5.59,0.0,22.95,11.36,5.79,5.95,12.28,12.6,19.49,6.5,0.0,6.13,11.92,11.69,5.65,0.0,11.32,11.21,0.0,5.82,5.96,11.99,0.0,5.98,18.07,8.62,5.5,5.34,5.2,5.06,4.94,4.83,4.72,4.63,4.53,4.45,4.37,4.3,4.23,4.16,4.1,4.04,3.99,3.94,3.89,3.85,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.12,3.08,3.05,3.01,2.98,2.95,2.92,2.89,2.85,2.82,2.79,2.770301065381592,2.7507412160768396,2.7313194700669263,2.7120348522666275,2.692886394475357,2.673873135328557,2.6549941202494334,2.6362484014010277,2.617635037638633,2.5991530944625403,2.580801643971124,2.562579764814254,2.5444865421470384,2.526521067583894,2.508682439152938,2.4909697612507076,2.473382144597192,2.455918706191185,2.4385785692659576,2.4213608632452326,2.4042647236994834,2.3872892923025297,2.3704337167884457,2.353697150908774,2.3370787543900335,2.3205776928915385,2.3041931379635074,2.2879242670054687,2.2717702632249632,2.255730315596536,2.239803618821017,2.223989373285092,2.208286785021158,2.1926950656674564,2.1772134324284997,2.161841108035765,2.146577320708674,2.131421304115843,2.11637229733661,2.101429544822831,2.086592296360947,2.0718598070343206,2.057231337185834,2.0427061523807573,2.0282835233698724,2.0139627260528625,1.9997430414419568,1.9856237556258345,1.97160415973378,1.9576835499000966,1.9438612272287648,1.9301364977583568,1.9165086724271938,1.902977067038751,1.8895410022273078,1.8761998034238392,1.8629528008221485,1.8497993293452397,1.836738728611925,1.8237703429036727,1.810893521131683,1.798107616804202,1.7854119879940629,1.7728059973064583,1.7602890118469379,1.7478604031896348,1.7355195473457148,1.7232658247320471,1.7110986201400995,1.69901732270505,1.687021325875118,1.675110027381113,1.6632828292061952,1.6515391375558535,1.6398783628280915,1.628299919583829,1.6168032265175059,1.6053877064279003,1.5940527861891478,1.582797896721968,1.5716224729650934,1.5605259538468998,1.5495077822572372,1.5385674050194593,1.5277042728626518,1.5169178403940555
7,22.58,0.0,12.37,6.31,25.46,0.0,5.56,16.87,5.67,11.16,0.0,0.0,0.0,10.62,10.5,5.34,0.0,5.28,0.0,21.79,16.72,5.64,11.4,11.26,5.77,11.81,6.11,6.29,12.96,6.49,6.31,6.11,0.0,0.0,5.65,0.0,5.64,16.79,11.27,0.0,5.94,11.8,0.0,0.0,3.68,4.83,4.7,4.57,4.45,4.34,4.24,4.15,4.07,3.99,3.92,3.85,3.78,3.72,3.67,3.61,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.28,3.24,3.2,3.17,3.13,3.1,3.07,3.03,3.0,2.97,2.93,2.9,2.87,2.84,2.81,2.78,2.75,2.72,2.69,2.66,2.63,2.6,2.57,2.54,2.52,2.49,2.46,2.4449801087671883,2.430051923685858,2.415214884830636,2.400468435694854,2.3858120231696778,2.371245097523359,2.35676711238062,2.3423775247021545,2.3280757947642647,2.3138613861386137,2.2997337656721077,2.285692403466897,2.2717367728604994,2.2578663504060508,2.244080615852667,2.2303790521259317,2.216761145308504,2.203226384620838,2.189774262402031,2.1764042740907756,2.163115918206438,2.1499086963302494,2.1367821130866087,2.1237356761245034,2.110768896099043,2.097881286653104,2.0850723643990876,2.072341648900789,2.059688662655376,2.047112931075482,2.034613982471402,2.022191348033403,2.0098445618141367,1.9975731607111664,1.985376684449595,1.9732546755648008,1.9612066793852805,1.9492322440155931,1.937330920319413,1.9255022619026807,1.9137458250968633,1.9020611689423095,1.8904478551717125,1.8789054481936713,1.8674335150763517,1.8560316255312483,1.8446993518970458,1.8334362691235777,1.8222419547558835,1.8111159889183632,1.8000579542990298,1.7890674361338554,1.7781440221912148,1.7672873027564235,1.7564968706163706,1.7457723210442437,1.7351132517843502,1.7245192630370285,1.7139899574436526,1.7035249400717278,1.6931238184000774,1.6827862023041213,1.6725117040412418,1.66229993823624,1.6521505218668833,1.642063074249536,1.632037217024884,1.6220725741437396,1.6121687718529407,1.602325438681328,1.5925422054258156,1.5828187051375397,1.5731545731080985,1.5635494468558693,1.5540029661124148,1.5445147728089694,1.5350845110630094,1.5257118271649035,1.5163963695646472,1.507137788858675,1.497935737776757,1.4887898711689733,1.479699845992766,1.4706653213000749,1.4616859582245487,1.4527614199688328
8,10.56,22.61,17.69,6.19,18.92,19.06,17.98,11.0,5.57,11.25,11.12,0.0,26.66,16.14,10.61,5.23,0.0,5.34,10.54,15.76,10.84,16.58,5.61,5.65,5.6,5.74,0.0,0.0,0.0,6.47,6.48,12.56,6.09,11.95,5.84,5.63,0.0,11.25,5.59,0.0,0.0,5.85,0.0,5.68,4.77,4.44,4.31,4.2,4.09,3.99,3.9,3.82,3.74,3.67,3.61,3.55,3.49,3.43,3.38,3.33,3.29,3.24,3.2,3.16,3.13,3.09,3.05,3.02,2.99,2.96,2.92,2.89,2.86,2.83,2.8,2.77,2.74,2.71,2.68,2.65,2.62,2.59,2.56,2.53,2.51,2.48,2.45,2.42,2.4,2.37,2.35,2.32,2.29,2.27,2.2583464765841126,2.246752778986729,2.235218600079402,2.223743634310392,2.212327577696574,2.200970127815384,2.1896709837968085,2.178429846315414,2.167246417582416,2.156120401337793,2.1450515028424344,2.134039428870338,2.1230838877008367,2.112184589110874,2.101341244367314,2.0905535662192944,2.079821268890614,2.0691440680721658,2.058521680914402,2.0479538260198433,2.0374402234356235,2.0269805946460733,2.016574662565343,2.0062221515300607,1.9959227872920307,1.9856762970109685,1.9754824092472723,1.965340853954833,1.9552513624738799,1.9452136675238643,1.935227503196378,1.9252926049481096,1.9154087095938375,1.9055755552994555,1.8957928815750393,1.8860604292679433,1.8763779405559375,1.8667451589403765,1.8571618292394043,1.8476276975811956,1.8381425113972285,1.828706019415596,1.8193179716543473,1.8099781194148676,1.800686215275288,1.7914420130839328,1.7822452679527967,1.7730957362510598,1.7639931755986313,1.7549373448597307,1.745928004136498,1.7369649147626394,1.7280478392971057,1.7191765415178006,1.7103507864153238,1.7015703401867452,1.692834970229412,1.6841444451347858,1.6754985346823124,1.666897009833323,1.658339642724968,1.6498262066641793,1.6413564761216657,1.6329302267259376,1.6245472352573642,1.6162072796422597,1.6079101389470003,1.599655593372171,1.5914434242467446,1.5832734140222866,1.5751453462671934,1.5670590056609595,1.5590141779884719,1.5510106501343355,1.543048210077229,1.5351266468842868,1.527245750705512,1.519405312768216,1.51160512537149,1.5038449818807005,1.4961246767220164,1.488444005376965,1.4808027643770099,1.4732007512981646,1.465637764755629,1.458113604398453
9,9.99,21.15,0.0,11.82,6.19,6.27,25.22,5.93,21.81,16.61,16.62,16.64,22.2,0.0,0.0,5.29,15.68,15.93,5.34,10.5,10.44,5.39,5.48,0.0,5.64,16.72,0.0,11.68,6.05,0.0,0.0,0.0,0.0,0.0,5.97,5.85,5.61,5.68,0.0,5.56,5.58,5.67,5.75,11.44,6.18,4.4,4.28,4.17,4.07,3.97,3.88,3.8,3.72,3.65,3.59,3.53,3.47,3.42,3.37,3.32,3.27,3.23,3.19,3.15,3.12,3.08,3.04,3.01,2.98,2.95,2.91,2.88,2.85,2.82,2.79,2.76,2.73,2.7,2.67,2.64,2.61,2.58,2.55,2.52,2.5,2.47,2.44,2.42,2.39,2.36,2.34,2.31,2.29,2.26,2.249837485056731,2.239720667772742,2.2296493426599158,2.21962330515415,2.2096423516112047,2.199706279302564,2.1898148864113187,2.179967972028068,2.1701653361468365,2.1604067796610154,2.150692104359315,2.141021112921739,2.1313936089155794,2.1218093967914236,2.1122682818791847,2.1027700703841448,2.0933145693830224,2.0839015868200503,2.0745309315030767,2.0652024130996818,2.05591584213331,2.0466710299794237,2.0374677888616715,2.0283059318480716,2.0191852728472193,2.010105626604503,2.001066808698346,1.9920686355364536,1.9831109243520926,1.9741934932003726,1.9653161609545529,1.9564787473023635,1.9476810727423424,1.9389229585801895,1.9302042269251374,1.9215247006863378,1.912884203569265,1.9042825600721343,1.8957195954823385,1.8871951358728973,1.8787090080989277,1.8702610397941228,1.8618510593672553,1.8534788959986888,1.84514437963691,1.8368473409950745,1.8285876115475674,1.8203650235265818,1.812179409918709,1.8040306044615486,1.7959184416403298,1.7878427566845503,1.7798033855646294,1.771800164988576,1.7638329323986723,1.755901525968172,1.748005784598013,1.740145547913545,1.7323206562612736,1.724530950705615,1.7167762730256704,1.7090564657120098,1.7013713719634753,1.6937208356839937,1.686104701479408,1.6785228146543194,1.670975021208947,1.663461167835998,1.6559811019175552,1.6485346715219769,1.6411217254008093,1.633742112985717,1.626395684385423,1.6190822903826643,1.611801782431162,1.6045540126526028,1.5973388338336367,1.5901560994228854,1.5830056635279675,1.575887380912533,1.5688011069933152,1.5617466978371932,1.554724010158268,1.547732901314953,1.540773229307076,1.5338448527729958
