age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1250.92,1223.08,1133.52,1064.97,1035.76,1100.49,1044.12,1034.61,962.52,896.01,828.98,739.24,703.15,686.34,685.41,693.06,651.97,631.77,646.16,613.06,593.81,605.19,582.5,554.33,571.84,551.76,530.09,532.32,513.96,466.92,498.1,460.87,443.24,406.75,441.86,423.68,436.07,426.73,383.32,378.69,369.91,361.55,353.6,346.03,338.83,331.98,325.46,319.25,313.34,307.72,302.36,297.26,292.4,287.77,283.36,279.16,275.15,271.33,267.68,264.2,260.86,257.66,254.55,251.5,248.48,245.51,242.56,239.66,236.78,233.95,231.14,228.37,225.63,222.93,220.26,217.62,215.01,212.43,209.88,207.37,204.88,202.43,200.0,197.6,195.23,192.89,190.58,188.29,186.03259399378103,183.8022272923606,181.59857683193368,179.42132299633136,177.2701502254276,175.14474660953485,173.04480399080506,170.97001796322976,168.92008756843677,166.89471559989354,164.8936081973027,162.9164753536075,160.9630302051844,159.03298923464504,157.12607277784178,155.24200390845573,153.3805095534086,151.5413194788522,149.72416689857448,147.92878806839553,146.1549224889697,144.4023128043844,142.67070470075907,140.9598468048443,139.2694907854225,137.5993913533084,135.9493059571454,134.3189952904112,132.70822258161022,131.11675389847676,129.54435835077715,127.99080758330453,126.45587597868087,124.93934065735696,123.44098157901352,121.96058093415486,120.49792385391619,119.05279800445949,117.6249933841713,116.21430262786598,114.82052080398348,113.4434456173916,112.08287690238058,110.73861702826733,109.41047079799444,108.09824524532804,106.80174963485773,105.52079576619987,104.25519736559109,103.00477069429473,101.76933383879344,100.548707562558,99.342714312317,98.15117888730376,96.97392811477307,95.8107909209817,94.66159825006787,93.52618309447122,92.40438042395233,91.2960271855926,90.20096227337396,89.11902651803872,88.0500626465292,86.9939152718476,85.95043084235546,84.91945767219397,83.90084588044338,82.89444737084274,81.90011583178992,80.91770667550088,79.94707708871037,78.98808591099056,78.04059372601198,77.10446273986223,76.1795568317466,75.26574150328743,74.3628838683841,73.47085262279265,72.58951803398568,71.71875194115232,70.85842768421757,70.00842014440268
1,82.33,87.25,72.69,82.77,77.73,68.69,70.51,74.31,70.65,68.78,65.77,53.18,57.36,53.08,45.0,51.91,55.39,50.91,53.47,44.47,43.39,47.16,37.5,41.81,41.24,41.18,42.44,36.31,30.89,34.15,35.86,33.92,32.78,36.56,29.33,26.75,24.68,25.75,35.25,34.86,34.07,33.33,32.62,31.94,31.29,30.68,30.09,29.53,28.99,28.48,28.0,27.54,27.09,26.67,26.27,25.88,25.51,25.16,24.83,24.51,24.2,23.9,23.61,23.33,23.05,22.77,22.5,22.23,21.96,21.7,21.44,21.18,20.93,20.68,20.43,20.18,19.94,19.7,19.46,19.23,19.0,18.77,18.55,18.32,18.1,17.89,17.67,17.46,17.250498493768646,17.04351055978876,16.839006051615524,16.63695517470813,16.437328496204913,16.240096935148227,16.045231772259566,15.85270460106401,15.662487386540871,15.474552416248166,15.288872310097709,15.10542002035511,14.924168821864676,14.745092302274292,14.56816438158564,14.393359273053758,14.220651532062599,14.050015977924131,13.881427752529019,13.7148623105715,13.55029537067383,13.387702964261845,13.227061396464515,13.068347265664157,12.911537453721333,12.756609116199744,12.60353968236621,12.45230683564046,12.302888562470697,12.15526307413269,12.009408875155563,11.865304714446236,11.722929604839646,11.582262783998303,11.443283763287848,11.30597229845172,11.170308379836035,11.036272251939824,10.903844364539458,10.773005450889555,10.643736420196747,10.516018455370794,10.389832934823692,10.265161491120347,10.14198594255279,10.020288351790837,9.900050977006556,9.781256310974685,9.663887037084654,9.547926056710876,9.433356472595076,9.320161591778804,9.208324920715908,9.09783016331748,8.988661220951876,8.880802186579645,8.774237343776015,8.66895116379836,8.564928307541223,8.462153616738716,8.360612115919544,8.260289010451979,8.16116967970128,8.06323968289477,7.96648474934671,7.870890781390846,7.776443849492846,7.6831301902952776,7.590936207595118,7.4998484684337186,7.409853697231723,7.320938782631661,7.233090767722821,7.146296851996288,7.060544386457374,6.975820877535671,6.892113977309942,6.809411490350683,6.727701364922545,6.646971692984318,6.567210712143954,6.488406799793512
2,52.26,46.86,48.81,43.32,52.18,43.64,46.02,43.67,46.54,43.29,36.95,33.97,36.49,31.28,29.93,30.45,30.6,33.8,33.29,27.46,26.99,26.57,26.07,23.91,22.95,22.31,29.54,19.0,18.76,19.11,20.33,17.96,17.84,16.12,16.13,12.37,14.13,12.37,11.47,11.31,11.03,10.76,10.51,10.27,10.05,9.83,9.63,9.43,9.25,9.08,8.91,8.75,8.61,8.47,8.33,8.2,8.08,7.97,7.86,7.76,7.66,7.56,7.47,7.38,7.29,7.21,7.12,7.03,6.95,6.87,6.78,6.7,6.62,6.54,6.46,6.39,6.31,6.23,6.16,6.09,6.01,5.94,5.87,5.8,5.73,5.66,5.59,5.53,5.463641839264219,5.398079931457324,5.333304725132492,5.269306778267053,5.206076767134711,5.143605475461719,5.081883801327495,5.020902748292395,4.960653431312532,4.901127069839155,4.842314989790254,4.784208619607348,4.726799493212892,4.670079242123856,4.61403960333815,4.558672408490784,4.503969588782885,4.449923173995905,4.396525286576784,4.343768145581177,4.291644061744431,4.240145441424799,4.18926477674541,4.1389946544664955,4.089327749084771,4.0402568218476285,3.9917747217389374,3.9438743835074486,3.896548825695178,3.8497911526090167,3.803594550377519,3.757952285965098,3.712857707172026,3.6683042436202364,3.624285401824312,3.580794767163085,3.5378260009222346,3.4953728422658865,3.4534291023217984,3.4119886700961786,3.371045506558864,3.3305936436575205,3.290627187275051,3.25114031230058,3.2121272636152556,3.173582357078054,3.1354999745967618,3.097874566099586,3.060700648549346,3.0239728039718727,2.987685680441806,2.95183398912519,2.916412505265272,2.8814160662109014,2.8468395724023274,2.812677985399598,2.778926324925143,2.7455796737927995,2.712633171007182,2.6800820157068976,2.647921463221335,2.6161468270422685,2.584753476852253,2.5537368365530155,2.52309238722287,2.492815661201891,2.462902247020935,2.4333477844726232,2.40414796756875,2.3752985396112676,2.3467952961496965,2.3186340839953203,2.2908107982637786,2.2633213843466713,2.2361618349541517,2.209328194058135,2.182816549005878,2.1566230374205966,2.130743840300846,2.105175186949539,2.079913352016529,2.054954651555407
3,36.51,38.88,37.08,41.84,39.54,35.75,30.32,34.43,34.07,33.03,33.42,25.03,26.39,21.23,24.65,22.51,21.16,22.96,21.21,18.59,17.35,15.27,21.0,20.75,17.3,14.86,17.36,17.02,11.19,15.08,11.44,11.13,11.23,14.05,12.69,13.47,11.99,10.01,8.59,8.44,8.2,7.98,7.76,7.56,7.38,7.2,7.03,6.87,6.73,6.59,6.46,6.33,6.22,6.11,6.0,5.91,5.81,5.73,5.65,5.57,5.5,5.43,5.37,5.3,5.24,5.17,5.11,5.05,4.99,4.93,4.87,4.81,4.76,4.7,4.64,4.59,4.53,4.48,4.42,4.37,4.32,4.27,4.21,4.16,4.11,4.06,4.02,3.97,3.9223609480072366,3.8752935420679124,3.8287909223347665,3.7828463127374095,3.7374530180254926,3.692604421797484,3.6482939884718917,3.604515261316044,3.561261859489257,3.5185274800140562,3.4763058948193435,3.434590951726011,3.393376569518887,3.352656742874789,3.31242553842008,3.2726770917738417,3.233405610504703,3.194605372159619,3.1562707213070413,3.1183960724937476,3.0809759043311824,3.0440047644235078,3.0074772644395478,2.971388081098406,2.9357319551838486,2.9005036905586996,2.865698152193615,2.831310268138309,2.7973350275503286,2.7637674777382255,2.7306027271183857,2.6978359432438097,2.6654623488616727,2.6334772288125925,2.601875919188922,2.5706538152196257,2.539806366342233,2.509329078174057,2.4792175075841416,2.449467267621316,2.4200740216005308,2.3910334850740793,2.362341426817207,2.333993665871283,2.305986069572577,2.278314556509092,2.250975093563732,2.2239636978855226,2.197276430975951,2.1709094036170167,2.1448587748856194,2.1191207462399015,2.093691567432904,2.0685675315845207,2.043744979123936,2.0192202908903547,1.994989892075441,1.9710502532089307,1.9473978832593601,1.924029336533335,1.9009412077474812,1.8781301300572242,1.8555927809704504,1.8333258744626242,1.811326165904841,1.789590450092605,1.7681155573033887,1.7468983582246858,1.725935761982788,1.7052247112147354,1.6847621899531984,1.6645452147559854,1.6445708386484827,1.6248361511236564,1.605338276170831,1.586074371290078,1.5670416304490489,1.548237279154922,1.5296585754400145,1.511302813804221,1.493167317330134,1.4752494435967045
4,37.68,33.0,33.55,23.61,29.54,26.42,28.74,24.04,26.12,25.52,22.71,24.94,22.61,20.92,16.13,21.92,18.51,19.32,15.61,15.09,16.04,16.94,16.49,12.79,12.4,13.14,14.84,13.11,9.95,10.83,10.82,11.38,10.48,7.72,11.73,7.94,9.48,11.05,8.31,8.14,7.88,7.64,7.41,7.2,7.01,6.82,6.65,6.49,6.33,6.19,6.06,5.93,5.82,5.71,5.61,5.51,5.42,5.34,5.26,5.19,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.7,4.65,4.59,4.54,4.48,4.43,4.38,4.32,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.92,3.88,3.83,3.79,3.74,3.69,3.6457208248880715,3.6019729798176563,3.558750090390292,3.51604585659018,3.4738540547416217,3.4321685365303014,3.3909832280245653,3.3502921257605474,3.310089300657042,3.2703688921431926,3.231125113052086,3.1923522447271555,3.154044635064744,3.116196701450262,3.078802929779465,3.041857868586142,3.00535613393571,2.9692924074677753,2.933661432481256,2.8984580168705425,2.863677029210617,2.8293134016932138,2.795362126211941,2.7618182533835607,2.7286768964628676,2.6959332254703736,2.6635824662135863,2.631619907138046,2.6000408875826944,2.568840805609626,2.5380151160466538,2.507559324614991,2.477468993801567,2.4477397379654318,2.418367223337756,2.3893471709579854,2.360675350801531,2.3323475847159236,2.304359742505936,2.276707747805901,2.249387568292516,2.222395224493319,2.1957267809782137,2.1693783512530667,2.143346095802267,2.1176262211100108,2.092214977702858,2.0671086630858935,2.042303618806568,2.0177962275185424,1.9935829198327175,1.9696601655087662,1.946024478348728,1.9226724142395681,1.899600569195742,1.8768055803379144,1.8542841268716763,1.8320329251939504,1.8100487337865878,1.7883283473440512,1.7668686006882923,1.7456663668113137,1.7247185549177306,1.7040221123822084,1.6835740227920244,1.6633713069257878,1.6434110188385624,1.6236902497767431,1.6042061262206175,1.5849558089056472,1.5659364908650288,1.547145402323291,1.5285798018878194,1.5102369863360519,1.4921142798495635,1.4742090438012623,1.4565186669681942,1.43904057140386,1.4217722095020575,1.4047110659543192,1.3878546528563165,1.3712005136227372
5,28.21,27.03,27.59,24.71,25.48,25.48,24.4,22.12,27.97,22.6,23.92,21.16,17.34,11.6,16.65,15.5,18.02,15.72,12.77,10.52,13.17,12.43,14.58,8.2,11.41,12.02,12.42,15.51,12.45,9.94,11.41,10.77,9.58,9.25,7.39,10.27,10.35,8.03,8.15,7.97,7.71,7.46,7.23,7.02,6.82,6.63,6.45,6.29,6.14,6.0,5.86,5.74,5.62,5.51,5.41,5.32,5.23,5.15,5.08,5.0,4.94,4.88,4.82,4.76,4.7,4.65,4.59,4.54,4.48,4.43,4.37,4.32,4.27,4.22,4.17,4.12,4.07,4.02,3.97,3.92,3.88,3.83,3.78,3.74,3.69,3.65,3.61,3.56,3.5172807648327815,3.4750741431441905,3.433373982669183,3.3921742067450786,3.351468810384163,3.311251863219237,3.271517502630674,3.2322599386556656,3.193473450060821,3.155152384342174,3.117291156743328,3.07988425025546,3.042926211689925,3.0064116565874976,2.970335262345431,2.934691771163006,2.8994759900415272,2.8646827858750816,2.8303070883960837,2.796343886247881,2.762788231893997,2.7296352337633416,2.6968800611594546,2.664517939351262,2.6325441535004703,2.6009540417886265,2.569743001308208,2.538906484135232,2.508439995365552,2.4783390960604095,2.4485993973553377,2.4192165663512544,2.390186321205222,2.3615044301485923,2.3331667134507086,2.305169041455207,2.2775073345800165,2.2501775593899622,2.2231757344878607,2.196497923641575,2.170140239711414,2.1440988417045816,2.1183699328114827,2.092949764333117,2.0678346317536813,2.043020874740574,2.0185048761625444,1.9942830640533873,1.9703519067027035,1.94670791854699,1.923347652314851,1.9002677039362394,1.8774647095969135,1.8549353457384345,1.8326763290581676,1.8106844165092826,1.788956401373356,1.7674891171877702,1.7462794367638608,1.7253242672776747,1.7046205561610632,1.6841652852105873,1.6639554725512165,1.6439881746000262,1.6242604791932571,1.6047695124592543,1.5855124339092255,1.5664864364372397,1.5476887473020768,1.5291166271453787,1.5107673690097996,1.4926382983390063,1.4747267729776794,1.4570301831715113,1.4395459496035103,1.4222715233939998,1.4052043870824662,1.3883420536457123,1.3716820655160058,1.355221993599233,1.3389594412022918,1.3228920361783036
6,32.91,26.11,27.79,24.66,17.55,20.51,23.16,22.41,21.09,23.66,19.7,16.69,17.75,16.42,16.77,12.99,15.79,15.02,12.01,18.42,13.41,12.13,13.63,10.96,15.05,9.04,12.31,9.64,9.09,9.17,9.29,9.21,7.44,10.97,8.91,5.93,6.63,7.59,7.91,7.74,7.48,7.24,7.02,6.81,6.62,6.44,6.27,6.11,5.96,5.83,5.7,5.58,5.46,5.36,5.26,5.17,5.09,5.01,4.93,4.86,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.91,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.55,3.5,3.46,3.418480721385867,3.377459656345737,3.3369308269624525,3.2968883281602603,3.257326322783103,3.2182390455319836,3.1796208009962856,3.1414659597163945,3.1037689631054186,3.0665243155744406,3.029726590438577,2.993370424010919,2.9574505185555617,2.921961639334574,2.886898613623658,2.8522563316964886,2.818029745840371,2.7842138674032126,2.750803767777865,2.7177945784021236,2.6851814878056977,2.6529597445632422,2.6211246513882953,2.5896715690706524,2.558595914507681,2.5278931577512878,2.497558824960952,2.4675884944663498,2.437977798736041,2.4087224233931264,2.379818104262219,2.351260627369441,2.3230458328797994,2.2951696082067814,2.267627889981042,2.240416665034748,2.213531967448545,2.186969878551561,2.160726527905748,2.134798091337194,2.1091807879830955,2.08387088718216,2.058864697646828,2.0341585763223655,2.0097489224808003,1.9856321787052706,1.9618048308900191,1.9382634043030238,1.9150044694920567,1.892024636378624,1.869320557210995,1.846888920658144,1.8247264587001513,1.80282994170649,1.7811961784360213,1.7598220150526553,1.7387043380783789,1.7178400675028531,1.6972261646581588,1.6768596243440521,1.6567374777809916,1.6368567935944842,1.6172146728933667,1.597808255175867,1.5786347094705129,1.5596912431952235,1.540975094282561,1.5224835361014488,1.5042138735197972,1.4861634429045032,1.468329615074482,1.4507097893946053,1.4333013986974188,1.4161019053457684,1.3991088032014873,1.38231961565671,1.3657318956338698,1.3493432255857023,1.3331512165108985,1.3171535089384514,1.301347770958967,1.285731699209008
7,26.96,25.41,25.05,21.85,26.4,23.56,15.28,22.83,26.68,15.82,20.67,20.65,14.5,16.49,13.97,11.27,11.17,16.67,13.81,12.95,13.47,12.07,9.83,10.09,8.36,9.13,9.66,10.9,7.55,7.06,8.51,7.34,10.7,8.59,9.47,7.15,8.44,7.98,7.28,7.12,6.9,6.68,6.48,6.3,6.12,5.96,5.81,5.67,5.53,5.41,5.29,5.18,5.08,4.98,4.89,4.81,4.73,4.66,4.59,4.53,4.47,4.41,4.36,4.31,4.26,4.2,4.15,4.1,4.05,4.01,3.96,3.91,3.86,3.82,3.77,3.73,3.68,3.64,3.59,3.55,3.51,3.47,3.42,3.38,3.34,3.3,3.26,3.22,3.1813606218924706,3.1431849010133552,3.1054672745439733,3.068202244936051,3.0313843828785565,2.9950083203750832,2.9590687586554094,2.92356045828605,2.888478245103922,2.8538170062605692,2.819571690222156,2.785737306769473,2.7523089240310976,2.719281671450229,2.686650734839963,2.6544113583611844,2.622558844522563,2.5910885502247742,2.55999589071628,2.529276332670712,2.498925400120541,2.4689386695123527,2.4393117706957943,2.410040385934622,2.381120249906711,2.3525471467372094,2.3243169129653816,2.296425433588823,2.2688686440413512,2.2416425292040616,2.21474312043849,2.188166496575558,2.161908785893464,2.1359661601840116,2.1103348396973343,2.085011089186117,2.059991216916646,2.0352715766467058,2.010848565647681,1.9867186256935092,1.9628782381159473,1.9393239307271941,1.9160522689193782,1.893059861598232,1.8703433582162565,1.8478994477837734,1.8257248588689252,1.8038163605866233,1.7821707586427644,1.760784900278956,1.739655667349901,1.7187799802791788,1.698154798059244,1.6777771133067008,1.6576439562180822,1.6377523935809084,1.618099525806847,1.5986824889096045,1.579498451538092,1.5605446199211501,1.541818230944931,1.523316554130791,1.5050368946021246,1.4869765881396393,1.4691330011813535,1.45150353477838,1.434085618661253,1.4168767142067624,1.399874314437957,1.3830759400683605,1.3664791434577541,1.3500815056453388,1.3338806363497369,1.3178741759468833,1.3020597895363504,1.286435173863968,1.2709980503992062,1.255746171268844,1.2406773113454104,1.2257892761587452,1.2110798949733814,1.1965470237553815
8,24.86,27.0,24.05,22.52,19.56,20.19,19.16,28.27,19.87,21.06,19.73,15.41,16.51,19.85,15.54,12.74,17.66,12.96,11.88,13.22,11.42,9.67,11.7,11.35,8.49,12.5,12.65,11.6,11.18,10.27,9.74,10.11,6.35,7.0,6.48,5.43,7.97,6.44,6.57,6.43,6.24,6.05,5.88,5.72,5.56,5.42,5.29,5.16,5.04,4.93,4.83,4.73,4.64,4.56,4.48,4.4,4.33,4.27,4.2,4.15,4.09,4.04,3.99,3.94,3.9,3.85,3.8,3.76,3.71,3.67,3.62,3.58,3.54,3.5,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.14,3.1,3.06,3.02,2.99,2.95,2.9146005184471715,2.8796258185984,2.8450708027630207,2.8109304358902185,2.7771997415918954,2.7438738051255203,2.7109477684227112,2.6784168330720886,2.646276259324988,2.614521361124045,2.583147512068897,2.552150140444763,2.5215247272338797,2.49126680909835,2.461371977385862,2.431835875146836,2.4026541971344253,2.3738226907988005,2.3453371542985835,2.3171934365008444,2.2893874359868214,2.2619150990633528,2.2347724227457264,2.20795545177483,2.1814602766285867,2.1552830374990832,2.129419917332594,2.103867148789556,2.078621007284592,2.0536778129750743,2.0290339297668436,2.0046857682970534,1.980629778974195,1.9568624549609408,1.9333803341627143,1.910179993261988,1.8872580507011356,1.8646111666824308,1.8422360401851967,1.8201294099600906,1.798288054529103,1.7767087901969911,1.755388473039845,1.7343239949279565,1.7135122865086658,1.6929503142235147,1.6726350813025266,1.6525636267699266,1.632733026438423,1.6131403889320737,1.59378285966342,1.574657616856354,1.5557618735346832,1.537092874539284,1.5186479014995142,1.500424263884666,1.482419306958232,1.4646304068064873,1.4470549693442074,1.4296904342918018,1.4125342711981796,1.3955839794407499,1.3788370872311386,1.3622911555923225,1.345943772392927,1.329792555330079,1.3138351499408376,1.2980692305964796,1.2824925005024983,1.2671026887157535,1.2518975521330382,1.2368748754910799,1.222032467389405,1.207368167250324,1.1928798363703803,1.1785653628917678,1.1644226618023301,1.150449669964145,1.136644353073506,1.123004697706657,1.1095287162912093,1.0962144451175735
9,23.66,21.83,25.7,21.96,17.11,16.19,16.56,21.5,18.85,19.54,19.71,15.14,14.09,15.53,17.0,16.75,13.65,12.47,13.54,10.68,7.82,13.54,12.72,10.39,8.48,14.73,11.16,9.04,6.92,11.12,11.27,7.69,7.47,11.06,8.17,7.61,9.38,4.53,6.19,6.08,5.89,5.72,5.57,5.42,5.27,5.14,5.02,4.9,4.79,4.69,4.59,4.5,4.42,4.34,4.26,4.19,4.13,4.06,4.01,3.95,3.9,3.85,3.8,3.76,3.71,3.67,3.63,3.58,3.54,3.5,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.14,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.776280466643934,2.7429655567184867,2.710050413782848,2.6775302426287158,2.6454003032574325,2.613655912887604,2.5822924449512885,2.5513053300978097,2.5206900501708853,2.4904421452353103,2.4605572055464617,2.4310308765693587,2.4018588549634137,2.3730368895862464,2.3445607794860606,2.3164263749054523,2.28862957527379,2.261166329207216,2.2340326355124507,2.2072245381677424,2.180738131341923,2.1545695553791577,2.128714994791329,2.103170682273274,2.0779328946875473,2.052997955072038,2.0283622286247245,2.0040221247112986,1.979974096865166,1.9562146387721977,1.9327402892897898,1.9095476264239934,1.8866332703409483,1.8639938813592627,1.841626159950009,1.8195268467367276,1.7976927194839893,1.7761205981164552,1.7548073366883823,1.7337498304103067,1.712945010629983,1.692389843828575,1.672081334632089,1.6520165238037507,1.632192486236383,1.61260633396384,1.5932552111419482,1.574136299067567,1.5552468101557158,1.5365839909510113,1.5181451221276667,1.4999275174856794,1.481928519935585,1.4641455075213274,1.446575887397389,1.4292171008478483,1.4120666162596984,1.395121934141906,1.3783805861215987,1.3618401309288195,1.345498159415584,1.3293522885330116,1.3134001653465706,1.2976394650284566,1.2820678908575915,1.2666831732158117,1.2514830695878687,1.2364653655652404,1.2216278718346962,1.2069684251821085,1.1924848905000767,1.1781751557688678,1.1640371350678522,1.150068769579315,1.1362680225693984,1.122632882399535,1.1091613625264503,1.0958514984907248,1.0827013519320434,1.0697090045663233,1.056872564208586,1.0441901597538965
