age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1250.92,1223.08,1133.52,1064.97,1035.76,1100.49,1044.12,1034.61,962.52,896.01,828.98,739.24,703.15,686.34,685.41,693.06,651.97,631.77,646.16,613.06,593.81,605.19,582.5,554.33,571.84,551.76,530.09,532.32,513.96,466.92,498.1,460.87,443.24,406.75,441.86,423.68,436.07,426.73,437.02,417.78,442.81,443.79,478.49,473.58,369.64,341.06,332.82,325.04,317.72,310.84,304.38,298.32,292.63,287.29,282.27,277.56,273.13,268.96,265.04,261.32,257.81,254.47,251.29,248.26,245.34,242.53,239.8,237.15,234.55,231.98,229.45,226.94,224.46,222.01,219.58,217.18,214.81,212.46,210.14,207.84,205.57,203.32,201.1,198.9,196.73,194.58,192.45,190.35,188.27,186.21,184.18,182.16,180.17,178.2,176.2676125796752,174.35617982344823,172.4654745005149,170.59527184414486,168.74534952496128,166.9154876245104,165.1054686091177,163.31507730402743,161.54410086782275,159.7923287671232,158.05955275155648,156.34556682900165,154.65016724110092,152.9731524390368,151.31432305957202,149.67348190134936,148.05043390144826,146.4449861121958,144.85694767822923,143.2861298138069,141.7323457803657,140.19541086432136,138.6751423551099,137.17135952346703,135.6838835999429,134.2125377536503,132.7571470712428,131.31753853612113,129.89354100786517,128.4849852018885,127.09170366931417,125.71353077706821,124.3503026881893,123.00185734235185,121.6680344366002,120.34867540629195,119.04362340624778,117.75272329210573,116.47582160187761,115.21276653770555,113.96340794781621,112.72759730867085,111.50518770730882,110.29603382388258,109.09999191438209,107.91691979354657,106.74667681796157,105.58912386933919,104.4441233379799,103.31153910641333,102.19123653321678,101.08308243700901,99.98694508061772,98.90269415541856,97.83020076584415,96.76933741406094,95.71997798481236,94.68199773042619,93.65527325598457,92.63968250465491,91.63510474317972,90.64142054752394,89.65851178867767,88.68626161861323,87.72455445639415,86.77327597443492,85.83231308490984,84.90155392630906,83.98088785014056,83.07020540777627,82.1693983374408,81.27835955134131,80.396983122937,79.5251642743465,78.6627993638919,77.80978587377788,76.96602239790441,76.13140862981155,75.30584535075513,74.48923441791158,73.68147875271069,72.88248232929506,72.09215016310442,71.31038829958393,70.53710380301496,69.77220474546675
1,82.33,87.25,72.69,82.77,77.73,68.69,70.51,74.31,70.65,68.78,65.77,53.18,57.36,53.08,45.0,51.91,55.39,50.91,53.47,44.47,43.39,47.16,37.5,41.81,41.24,41.18,42.44,36.31,30.89,34.15,35.86,33.96,33.06,36.88,29.65,27.09,25.04,26.26,22.92,21.58,21.82,24.31,27.31,23.63,23.56,23.73,23.17,22.63,22.13,21.66,21.22,20.8,20.41,20.04,19.7,19.37,19.06,18.78,18.5,18.25,18.0,17.77,17.55,17.34,17.13,16.94,16.75,16.56,16.38,16.2,16.02,15.85,15.67,15.5,15.33,15.17,15.0,14.84,14.67,14.51,14.35,14.2,14.04,13.89,13.74,13.59,13.44,13.29,13.15,13.0,12.86,12.72,12.58,12.44,12.353600210182798,12.267800494616436,12.182596685592786,12.097984644349783,12.013960260870398,11.930519453682985,11.84765816966303,11.765372383836267,11.683658099183168,11.602511346444784,11.521928183929951,11.441904697323807,11.362436999497662,11.283521230320188,11.205153556469899,11.12733017124896,11.050047294398276,10.97330117191386,10.897088075864485,10.82140430421061,10.746246180624535,10.671610054311845,10.597492299834057,10.523889316932523,10.450797530353547,10.378213389674716,10.306133369132436,10.234553967450676,10.16347170767089,10.09288313698312,10.022784826558288,9.953173371381626,9.884045390087289,9.815397524794106,9.747226440942459,9.679528827132323,9.612301394962405,9.545540878870415,9.47924403597444,9.413407645915425,9.348028510700736,9.283103454548828,9.218629323734973,9.154602986438077,9.091021332588545,9.027881273717213,8.965179742805333,8.902913694135572,8.841080103144094,8.779675966273619,8.718698300827544,8.658144144825044,8.598010556857206,8.538294615944139,8.4789934213931,8.420104092657587,8.361623769197411,8.303549610339761,8.245878795141204,8.188608522250664,8.131736009773348,8.075258495135616,8.019173234950786,7.963477504885876,7.908168599529272,7.85324383225931,7.7987005351137775,7.74453605866031,7.690747771867706,7.637333061978118,7.584289334380137,7.531614012482767,7.4793045375902585,7.427358368777829,7.375772982768227,7.324545873809178,7.273674553551658,7.223156550929021,7.172989412036978,7.12317070001439,7.073697994924896,7.024568893639376,6.975781009719207,6.927331973300352,6.879219430978235,6.831441045693435
2,52.26,46.86,48.81,43.32,52.18,43.64,46.02,43.67,46.54,43.29,36.95,33.97,36.49,31.28,29.93,30.45,30.6,33.8,33.29,27.46,26.99,26.57,26.07,23.91,22.95,22.31,29.54,19.0,18.76,19.11,20.33,17.98,17.91,16.34,16.38,12.6,14.46,12.7,13.63,13.39,13.68,16.89,21.04,17.21,14.47,13.75,13.4,13.07,12.76,12.47,12.2,11.95,11.71,11.49,11.28,11.08,10.9,10.73,10.57,10.42,10.28,10.14,10.01,9.89,9.77,9.66,9.55,9.45,9.34,9.24,9.14,9.04,8.94,8.84,8.75,8.65,8.55,8.46,8.37,8.28,8.19,8.1,8.01,7.92,7.83,7.75,7.66,7.58,7.5,7.41,7.33,7.25,7.17,7.1,7.038637674616602,6.977805678103129,6.917499427049343,6.857714377657502,6.798446025400007,6.739689904679998,6.681441588494904,6.623696688102877,6.566450852692131,6.509699769053119,6.453439161253561,6.397664790316266,6.3423724538997455,6.287557985981592,6.23321725654458,6.179346171265497,6.125940671206646,6.07299673251003,6.020510366094173,5.968477617353554,5.916894565860657,5.865757325070573,5.815062042028175,5.764804897077812,5.714982103575518,5.665589907603701,5.616624587688312,5.568082454518435,5.5199598506683305,5.472253150321852,5.4249587589992645,5.3780731132864155,5.331592680566249,5.285513958752637,5.239833476026515,5.194547790574296,5.149653490328546,5.105147192710899,5.061025544377201,5.0172852209648395,4.973922926842283,4.930935394860757,4.888319386108087,4.84607168966466,4.804189122361494,4.762668528540407,4.721506779816243,4.680700774841172,4.640247439071014,4.600143724533584,4.560386609599046,4.5209730987522425,4.481900222367,4.443165036482379,4.404764622580863,4.3666960873684575,4.328956562556695,4.291543204646526,4.254453194714072,4.21768373819823,4.1812320646901195,4.1450954277243435,4.109271104572055,4.073756396035809,4.038548626246197,4.003645142460226,3.9690433148614517,3.9347405363618275,3.900734222405282,3.867021810772974,3.833600761390249,3.800468556135254,3.7676226986492054,3.735060714148306,3.7027801492372765,3.670778571724504,3.6390535704387914,3.6076027550476817,3.576423755877361,3.5455142237341133,3.5148718297273196,3.4844942650939865,3.4543792410247924,3.424524488491635,3.394927758076672,3.3655868198028376
3,36.51,38.88,37.08,41.84,39.54,35.75,30.32,34.43,34.07,33.03,33.42,25.03,26.39,21.23,24.65,22.51,21.16,22.96,21.21,18.59,17.35,15.27,21.0,20.75,17.3,14.86,17.36,17.02,11.19,15.08,11.44,11.14,11.27,14.17,12.94,13.78,12.34,10.37,8.89,11.57,10.33,11.22,10.21,12.43,10.29,9.67,9.42,9.18,8.95,8.73,8.54,8.35,8.18,8.02,7.86,7.72,7.59,7.47,7.36,7.25,7.15,7.05,6.96,6.87,6.79,6.71,6.64,6.56,6.49,6.42,6.35,6.28,6.21,6.14,6.08,6.01,5.95,5.88,5.82,5.75,5.69,5.63,5.57,5.5,5.44,5.38,5.33,5.27,5.21,5.15,5.1,5.04,4.99,4.93,4.8793731422415245,4.829266178748059,4.779673770652868,4.730590633914782,4.682011538755193,4.633931309100811,4.5863448220321725,4.539247007237782,4.492632846473885,4.4464973730297706,4.400835671198571,4.355642875753501,4.310914171429467,4.266644792410004,4.22283002181948,4.17946519122052,4.136545680116581,4.094066915459645,4.052024371162959,4.010413567618793,3.9692300712211264,3.928469493893261,3.8881274926202707,3.8481997689862535,3.808682068716342,3.7695701812234095,3.7308599391594366,3.6925472179714816,3.6546279354622127,3.6170980513549518,3.579953566863186,3.543190524264499,3.506805006478877,3.4707931366513485,3.4351510777389063,3.3998750321016726,3.364961241098264,3.3304059846853105,3.2962055810210833,3.262356386073204,3.228854793230368,3.1956972329180666,3.16288017221825,3.1304001144928963,3.0982535990114464,3.0664372005820684,3.0349475291866996,3.0037812296198494,2.972934981131099,2.942405497071277,2.9121895245422746,2.8822838440504444,2.8526852691635693,2.82339064617135,2.7943968537493773,2.7657008026265575,2.737299435255954,2.7091897254890047,2.6813686782530914,2.6538333292324117,2.6265807445521383,2.599608020465811,2.5729122830459503,2.5464906878778364,2.5203404197564425,2.4944586923864738,2.4688427480854918,2.4434898574900825,2.4183973192650465,2.393562459815572,2.3689826330023656,2.3446552198597064,2.320577628316399,2.296747292919589,2.273161674561414,2.249818260208465,2.226714562634024,2.2038481201530504,2.1812164963598923,2.158817279868685,2.136648084056423,2.114706546808666,2.0929903302678547,2.0714971205842168,2.0502246276692255,2.029170584951592
4,37.68,33.0,33.55,23.61,29.54,26.42,28.74,24.04,26.12,25.52,22.71,24.94,22.61,20.92,16.13,21.92,18.51,19.32,15.61,15.09,16.04,16.94,16.49,12.79,12.4,13.14,14.84,13.11,9.95,10.83,10.82,11.4,10.51,7.77,11.86,8.15,9.77,11.49,8.02,8.63,5.8,10.74,8.49,10.57,8.35,7.72,7.53,7.34,7.15,6.97,6.81,6.66,6.52,6.38,6.26,6.15,6.04,5.94,5.85,5.76,5.68,5.6,5.53,5.46,5.4,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.33,4.28,4.23,4.19,4.14,4.09,4.05,4.01,3.96,3.92,3.8555859935781656,3.79223044741738,3.7299159687456918,3.6686254505916898,3.6083420670881905,3.54904926885309,3.4907307784461237,3.4333705859002754,3.3769529443266233,3.3214623655913966,3.266883616064079,3.213201712435371,3.160401917603876,3.108469736630377,3.057390912758595,3.0071514235013272,2.957737476790908,2.909135507192921,2.861332172182127,2.8143143484795914,2.768069128449993,2.7225838165581413,2.6778459258837133,2.633843174693265,2.590563483068572,2.547994969590371,2.5061259480765967,2.4649449243742163,2.4244405932037805,2.3846018350558253,2.345417713138273,2.3068774703739945,2.268970526447705,2.2316864749013896,2.1950150802774564,2.1589462753088298,2.1234701581552233,2.088576989684819,2.054257190800622,2.0205013398107416,1.987300169841891,1.9546445662953842,1.9225255643449366,1.8909343464755857,1.8598622400630485,1.8293007149928575,1.7992413813186188,1.7696759869587495,1.740596415431064,1.7119946836245847,1.6838629396079676,1.6561934604739377,1.6289786502191501,1.602211037658883,1.5758832743760018,1.5499881327036251,1.5245185037409368,1.4994673954016067,1.4748279304942775,1.4505933448345942,1.426756985388256,1.4033123084445835,1.3802528778200966,1.357572363091612,1.3352645378583754,1.3133232780327486,1.291742560158987,1.2705164597596406,1.2496391497091293,1.229104898634043,1.2089080693397263,1.1890431172627218,1.1695045889486406,1.1502871205550431,1.1313854363789242,1.112794347408393,1.094508749898152,1.0765236239683833,1.05883403222666,1.0414351184125004,1.0243221060641978,1.0074902972075535,0.9909350710661597,0.974651882792875,0.958636262222142,0.9428838126428103
5,28.21,27.03,27.59,24.71,25.48,25.48,24.4,22.12,27.97,22.6,23.92,21.16,17.34,11.6,16.65,15.5,18.02,15.72,12.77,10.52,13.17,12.43,14.58,8.2,11.41,12.02,12.42,15.51,12.45,9.94,11.41,10.79,9.61,9.3,7.45,10.42,10.68,8.35,8.86,6.86,5.96,8.69,11.06,11.26,7.81,6.77,6.61,6.45,6.29,6.14,5.99,5.85,5.73,5.61,5.5,5.4,5.31,5.22,5.14,5.06,4.99,4.92,4.86,4.8,4.74,4.68,4.63,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.3816030673720254,3.3241974724592707,3.267766386458896,3.212293266251338,3.1577618495505893,3.1041561501368116,3.051460453169878,2.9996593105824676,2.9487375365513744,2.8986802030456853,2.8494726354505393,2.8011004082651723,2.753549340873994,2.7068054933894525,2.660855162565471,2.6156848777802577,2.5712813970873083,2.52763170333345,2.484723000342783,2.4425427091653997,2.4010784643897947,2.360318110517861,2.3202496984014367,2.280861481739336,2.242141913633849,2.2040796432056995,2.1666635122664633,2.129882552047476,2.093725979984274,2.0581831965556168,2.023243782176172,1.988897494141954,1.9551342636276068,1.921944192734669,1.889317551589944,1.8572447754931276,1.8257164621128574,1.7947233687303605,1.7642564095298958,1.7343066529351896,1.7048653189910894,1.675923776789667,1.6474735419400137,1.61950627408099,1.5920137744361966,1.5649879834104528,1.5384209782270777,1.5123049706052787,1.4866323044769683,1.4613954537423426,1.4365870200635578,1.4121997306958616,1.3882264363555448,1.364660109124083,1.3414938403878611,1.318720838812869,1.2963344283537814,1.2743280462968338,1.2526952413359227,1.2314296716813649,1.2105251032007645,1.1899754075914366,1.16977456058386,1.1499166401756233,1.1303958248953552,1.1112063920961233,1.0923427162778057,1.0737992674379413,1.0555706094505746,1.0376513984726223,1.020036381377294,1.002720394214104,0.9856983606950295,0.968965290706363,0.9525162788458323,0.9363465029845505,0.9204512228533795,0.9048257786532907,0.8894655896893167,0.8743661530276919,0.8595230421757909,0.8449319057844736,0.8305884663724613,0.8164885190723667,0.8026279303980111,0.789002637032667
6,32.91,26.11,27.79,24.66,17.55,20.51,23.16,22.41,21.09,23.66,19.7,16.69,17.75,16.42,16.77,12.99,15.79,15.02,12.01,18.42,13.41,12.13,13.63,10.96,15.05,9.04,12.31,9.64,9.09,9.17,9.29,9.23,7.47,11.02,8.97,6.0,6.75,7.88,11.24,6.22,6.27,7.9,7.31,9.36,7.02,6.32,6.16,6.02,5.88,5.74,5.61,5.48,5.37,5.26,5.15,5.06,4.97,4.89,4.81,4.74,4.67,4.61,4.55,4.49,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.41,3.37,3.33,3.3,3.26,3.22,3.1870649349403513,3.1544667389833365,3.1222019665370895,3.090267207252225,3.0586590856613705,3.0273742608223815,2.99640942596521,2.965761308142381,2.9354266678830454,2.9054022988505745,2.87568502750365,2.846271712760826,2.8171592456685226,2.7883445490724097,2.7598245772921555,2.7315963157995045,2.703656780899643,2.6760030194158255,2.6486321083772304,2.6215411547100005,2.5947272949314537,2.5681876948474116,2.5419195492526323,2.5159200816343,2.4901865438785533,2.4647162159800127,2.4395064057542752,2.4145544485533597,2.3898577069840523,2.365413570629138,2.3412194557714834,2.3172728051209397,2.2935710875440414,2.2701117977964658,2.2468924562582346,2.22391060867162,2.2011638258817303,2.1786497035797554,2.1563658620488284,2.1343099459124977,2.112479623885763,2.0908725885286636,2.0694865560023814,2.048319265827845,2.0273684806467975,2.006631985985312,1.986107590019722,1.965793123344951,1.9456864387452066,1.9257854109670234,1.9060879364946253,1.8865919333275871,1.867295340760769,1.8481961191665035,1.8292922497790065,1.8105817344809993,1.7920625955925076,1.7737328756618231,1.7555906372586056,1.7376339627690953,1.719860954193426,1.7022697329450065,1.684858439651958,1.6676252339605804,1.6505682943408275,1.6336858178937748,1.6169760201610552,1.6004371349362427,1.584067414078167,1.5678651273261377,1.5518285621170564,1.535956023404402,1.5202458334790654,1.5046963317920177,1.4893058747787924,1.4740728356857622,1.4589956043981933,1.4440725872700577,1.4293022069555872,1.4146829022425491,1.4002131278872287,1.385891354451098,1.3717160681391565,1.3576857706399237,1.343798978967071,1.3300542253026704
7,26.96,25.41,25.05,21.85,26.4,23.56,15.28,22.83,26.68,15.82,20.67,20.65,14.5,16.49,13.97,11.27,11.17,16.67,13.81,12.95,13.47,12.07,9.83,10.09,8.36,9.13,9.66,10.9,7.55,7.06,8.51,7.32,10.73,8.64,9.53,7.21,8.55,8.16,5.91,7.22,8.3,8.21,5.15,10.88,7.23,6.1,5.94,5.8,5.68,5.56,5.43,5.31,5.2,5.1,5.0,4.91,4.82,4.75,4.67,4.6,4.54,4.48,4.42,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.24,3.2,3.17,3.13,3.0997539008281714,3.0698000784982318,3.0401357086541605,3.0107579942325082,2.9816641651986644,2.9528514782856656,2.924317216735535,2.8960586900431173,2.868073233702389,2.840358208955223,2.8129110025425783,2.785729026458096,2.758809717704073,2.7321505380497975,2.7057489737922196,2.679602535518931,2.65370875787344,2.628065199322708,2.6026694419269427,2.577519091111604,2.552611775441622,2.5279451463977938,2.5035168781553367,2.4793246673645917,2.455366232933834,2.4316393158141936,2.408141678786643,2.3848711062510537,2.3618254040172846,2.3390023990982907,2.316399939505233,2.2940158940445645,2.271848152117081,2.249894623518912,2.2281532382444342,2.2066219462910883,2.1852987174660874,2.1641815411949854,2.1432684263321025,2.122557400972777,2.1020465122674343,2.0817338262374547,2.0616174275928127,2.0416954195514894,2.02196592366062,2.0024270796193746,1.983077045103553,1.9639139955918667,1.9449361241939072,1.9261416414797727,1.9075287753113428,1.8890957706751819,1.8708408895170594,1.8527624105780673,1.834858629232323,1.8171278573262382,1.7995684230193432,1.7821786706266483,1.7649569604625297,1.7479016686861213,1.7310111871482028,1.7142839232395677,1.6977182997408533,1.6813127546738278,1.6650657411541074,1.648975727245302,1.6330411958145674,1.617260644389555,1.6016325850167428,1.5861555441211364,1.5708280623673236,1.5556486945218757,1.5406160093170722,1.5257285893159507,1.510985030778652,1.4963839435300645,1.4819239508287412,1.467603689237088,1.4534218084928052,1.439376971381568,1.4254678536109442,1.4116931436855225,1.3980515427832532,1.3845417646329816,1.3711625353931645,1.3579125935317595
8,24.86,27.0,24.05,22.52,19.56,20.19,19.16,28.27,19.87,21.06,19.73,15.41,16.51,19.85,15.54,12.74,17.66,12.96,11.88,13.22,11.42,9.67,11.7,11.35,8.49,12.5,12.65,11.6,11.18,10.27,9.74,10.08,6.33,7.03,6.54,5.47,8.06,6.55,5.06,8.46,6.65,7.87,8.89,8.41,6.6,6.06,5.89,5.74,5.62,5.5,5.39,5.28,5.17,5.07,4.98,4.89,4.81,4.73,4.66,4.59,4.53,4.47,4.41,4.35,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.94,3.89,3.85,3.81,3.77,3.72,3.68,3.64,3.6,3.56,3.53,3.49,3.45,3.41,3.37,3.34,3.3,3.26,3.23,3.19,3.16,3.12,3.0841487668653222,3.048709492357977,3.01367744275207,2.9790479387159086,2.944816354686971,2.9109781182540564,2.877528709546533,2.84446366063061,2.8117785549125376,2.7794690265486732,2.747530759862323,2.715959488767284,2.6847509961980096,2.653901113546326,2.6234057201046177,2.5932607425154135,2.5634621542272957,2.5340059749570627,2.504888270158072,2.4761051504946883,2.447652771322778,2.419527332176165,2.391725076258994,2.364242289943925,2.3370753022760904,2.310220484482758,2.2836742494886235,2.2574330514366756,2.231493385214566,2.205851785986419,2.180504828730027,2.1554491277793564,2.13068133637232,2.1061981462037327,2.08199628698342,2.0580725259993895,2.034423667686031,2.011046553197275,1.9879380599846577,1.9650951013802318,1.9425146261842716,1.920193618257716,1.8981290961192938,1.8763181125472785,1.8547577541858198,1.8334451411557986,1.8123774266701516,1.7915517966536196,1.7709654693668637,1.750615695034897,1.7304997554797938,1.7106149637576116,1.6909586637994891,1.6715282300568677,1.6523210671507897,1.6333346095252248,1.614566321104383,1.5960136949539623,1.5776742529462915,1.5595455454293186,1.5416251508994037,1.5239106756778724,1.5063997535912854,1.489090045655381,1.4719792397626505,1.4550650503735043,1.4383452182109844,1.4218175099589874,1.4054797179639533,1.3893296599399831,1.373365178677345,1.357584141754329,1.3419844412524138,1.3265639934747053,1.311320738667612,1.2962526407457178,1.2813576870198151,1.2666338879280654,1.2520792767702476,1.237691909445059,1.2234698641904374,1.2094112413268656,1.1955141630036255,1.1817767729479676,1.1681972362171649,1.1547737389534125
9,23.66,21.83,25.7,21.96,17.11,16.19,16.56,21.5,18.85,19.54,19.71,15.14,14.09,15.53,17.0,16.75,13.65,12.47,13.54,10.68,7.82,13.54,12.72,10.39,8.48,14.73,11.16,9.04,6.92,11.12,11.27,7.68,7.42,11.0,8.23,7.71,9.49,4.6,4.83,9.56,5.36,8.81,7.71,10.13,7.08,6.13,5.95,5.79,5.66,5.55,5.44,5.34,5.24,5.14,5.05,4.96,4.88,4.8,4.73,4.66,4.6,4.54,4.48,4.43,4.37,4.32,4.27,4.23,4.18,4.13,4.09,4.04,4.0,3.96,3.91,3.87,3.83,3.79,3.74,3.7,3.66,3.62,3.58,3.54,3.51,3.47,3.43,3.39,3.35,3.32,3.28,3.25,3.21,3.18,3.1478958665763184,3.116115844908261,3.0846566628804046,3.0535150814114234,3.0226878941205877,2.9921719269976332,2.961964038075958,2.9320611171091224,2.902460085250613,2.8731578947368406,2.8441515285733385,2.815438000224129,2.7870143533042238,2.7588776612752315,2.7310250271440384,2.703453583164527,2.6761604905423115,2.6491429391424512,2.622398147200114,2.595923361034161,2.5697158547636287,2.5437729300270626,2.5180919157046917,2.4926701676434093,2.4675050683845243,2.442594026894264,2.4179344782969996,2.3935238836111608,2.3693597294878206,2.3454395279519162,2.3217608161460843,2.2983211560770815,2.2751181343647637,2.2521493619936055,2.229412474066718,2.20690512956236,2.1846250110929017,2.162569824666223,2.140737299449521,2.119125187535502,2.0977312637109344,2.076553325227537,2.05558919157518,2.034836704257379,2.014293726569051,1.993958143376517,1.9738278608997257,1.9539008064966739,1.9341749284500045,1.9146481957557595,1.8953185979142644,1.8761841447231244,1.8572428660723106,1.8384928117413153,1.8199320511983519,1.8015586734015887,1.7833707866023825,1.7653665181505025,1.747544014301319,1.7299014400249395,1.712436978817273,1.6951488325129975,1.6780352211004201,1.6610943825382045,1.6443245725739486,1.6277240645645925,1.611291149298643,1.59502413482019,1.5789213462546994,1.5629811256365673,1.5472018317384124,1.5315818399020933,1.5161195418714313,1.5008133456266226,1.485661675220321,1.4706629706153767,1.4558156875242116,1.4411182972498198,1.426569286528368,1.4121671573733887,1.3979104269215472,1.3837976272799606,1.3698273053750645,1.3559980228030004,1.3423083556815174,1.3287568945033656
