,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205
0,1259.45,1217.86,1130.81,1059.73,1044.46,1102.18,1047.13,1027.39,957.29,891.7,825.29,732.97,700.09,685.9,684.96,688.42,652.39,630.45,649.79,611.9,594.76,600.25,576.62,553.88,568.21,546.52,536.05,529.41,542.62,533.69,531.11,528.18,525.25,522.21,519.0,515.69,512.27,508.45,504.6,500.84,496.91,492.83,488.62,484.46,480.22,475.84,471.39,466.83,462.4,458.15,453.68,449.07,444.59,440.08,435.78,431.49,427.01,422.78,418.61,414.46,410.38,406.27,402.11,398.08,394.14,390.13,386.29,382.47,378.63,374.9,371.11,367.4,363.72,360.23,356.61,352.84,349.35,345.96,342.53,339.04,335.77,332.44,329.03,325.69,322.44,319.43,316.24,313.02,309.8,306.6,303.7,300.71,297.63,294.76,291.81,288.79,285.85,282.97,280.29,277.53,274.68,271.87,269.22,266.6,263.85,261.24,258.64,256.03,253.55,251.06,248.55,246.03,243.5,241.09,238.67,236.25,233.95,231.79,229.37,226.96,224.82,222.57,220.33,218.12,215.8,213.63,211.61,209.5,207.41,205.33,203.28,201.25,199.24,197.25,195.28,193.33,191.4,189.49,187.59,185.72,183.86,182.03,180.21,178.41,176.63,174.86,173.12,171.39,169.67,167.98,166.3,164.64,163.0,161.37,159.75,158.16,156.58,155.01,153.47,151.93,150.42,148.91,147.43,145.95,144.49,143.05,141.62,140.21,138.81,137.42,136.05,134.69,133.34,132.01,130.69,129.39,128.09,126.81,125.55,124.29,123.05,121.82,120.61,119.4,118.21,117.03,115.86,114.7,113.56,112.42,111.3,110.19,109.09,108.0,106.92,105.85,104.79,103.74,102.71,101.68,100.67,99.66,98.67,97.68,96.7,95.74,94.78,93.83,92.9,91.97,91.05,90.14,89.24,88.35,87.47,86.59,85.73,84.87,84.02,83.18,82.35,81.53,80.72,79.91,79.11
1,83.36,89.14,72.38,81.22,78.03,67.55,69.79,73.62,70.39,68.93,66.12,53.91,57.92,51.93,45.22,52.45,54.23,50.86,53.07,44.94,43.98,47.45,38.29,41.92,40.68,40.65,42.06,35.78,36.31,34.81,33.74,33.19,32.56,31.88,31.16,30.61,30.27,29.97,29.4,28.8,28.24,27.68,27.33,27.08,26.93,26.59,25.99,25.68,25.56,25.32,25.04,24.67,24.37,24.18,24.02,23.97,23.87,23.63,23.35,23.08,22.59,22.2,22.17,21.94,21.52,21.46,21.43,21.21,21.04,20.89,20.54,20.2,20.13,19.76,19.45,19.44,19.34,19.21,18.83,18.45,18.23,18.25,18.28,18.0,17.93,17.76,17.63,17.49,17.34,16.95,16.47,16.51,16.36,16.16,16.0,15.89,15.78,15.68,15.54,15.45,15.4,14.89,14.58,14.5,14.47,14.4,14.11,14.04,13.94,13.83,13.73,13.62,13.52,13.14,12.99,12.84,12.65,12.65,12.5,12.34,12.33,12.37,12.17,11.98,12.05,12.08,11.85,11.73,11.61,11.5,11.38,11.27,11.16,11.04,10.93,10.82,10.72,10.61,10.5,10.4,10.29,10.19,10.09,9.99,9.89,9.79,9.69,9.59,9.5,9.4,9.31,9.22,9.12,9.03,8.94,8.85,8.76,8.68,8.59,8.5,8.42,8.34,8.25,8.17,8.09,8.01,7.93,7.85,7.77,7.69,7.61,7.54,7.46,7.39,7.31,7.24,7.17,7.1,7.03,6.96,6.89,6.82,6.75,6.68,6.62,6.55,6.48,6.42,6.35,6.29,6.23,6.17,6.1,6.04,5.98,5.92,5.86,5.8,5.75,5.69,5.63,5.58,5.52,5.47,5.41,5.36,5.3,5.25,5.2,5.15,5.09,5.04,4.99,4.94,4.89,4.84,4.8,4.75,4.7,4.65,4.61,4.56,4.52,4.47,4.43
2,52.81,45.97,47.91,44.03,52.04,44.91,46.43,43.54,45.93,43.99,38.06,33.8,37.01,31.84,29.46,30.58,31.07,32.27,33.28,27.52,26.48,27.2,25.84,23.09,23.38,22.4,29.03,18.51,24.31,23.35,22.73,22.16,21.51,20.96,20.5,20.07,19.68,19.26,18.92,18.54,18.13,17.87,17.65,17.37,17.17,16.99,16.74,16.49,16.24,16.06,15.93,15.8,15.59,15.43,15.4,15.27,15.06,14.91,14.75,14.59,14.49,14.4,14.18,13.97,13.91,13.78,13.67,13.56,13.39,13.3,13.21,13.06,12.91,12.83,12.69,12.49,12.41,12.27,12.13,12.05,11.91,11.83,11.68,11.54,11.38,11.17,11.08,10.98,10.82,10.67,10.57,10.53,10.43,10.28,10.18,10.09,10.0,9.97,9.83,9.69,9.67,9.59,9.45,9.32,9.24,9.23,9.1,8.97,8.89,8.82,8.75,8.61,8.54,8.52,8.45,8.32,8.24,8.16,8.09,8.07,7.94,7.8,7.78,7.71,7.64,7.56,7.49,7.41,7.34,7.27,7.19,7.12,7.05,6.98,6.91,6.84,6.77,6.7,6.64,6.57,6.51,6.44,6.38,6.31,6.25,6.19,6.12,6.06,6.0,5.94,5.88,5.82,5.77,5.71,5.65,5.59,5.54,5.48,5.43,5.37,5.32,5.27,5.21,5.16,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.76,4.72,4.67,4.62,4.58,4.53,4.49,4.44,4.4,4.35,4.31,4.27,4.22,4.18,4.14,4.1,4.06,4.02,3.98,3.94,3.9,3.86,3.82,3.78,3.74,3.71,3.67,3.63,3.6,3.56,3.52,3.49,3.45,3.42,3.39,3.35,3.32,3.28,3.25,3.22,3.19,3.16,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.8
3,36.16,38.61,36.46,41.95,39.51,37.77,30.46,33.97,35.08,33.19,33.24,25.94,27.5,21.46,24.72,23.61,21.19,23.22,21.57,18.47,17.33,15.15,20.69,21.18,18.81,15.4,17.41,17.11,17.27,16.41,15.85,15.44,15.04,14.6,14.25,13.94,13.61,13.33,13.09,12.8,12.45,12.26,12.09,11.87,11.73,11.6,11.41,11.29,11.17,11.05,10.99,10.87,10.74,10.66,10.58,10.49,10.38,10.27,10.14,9.95,9.81,9.75,9.62,9.5,9.45,9.4,9.29,9.13,9.04,9.01,8.99,8.85,8.7,8.69,8.61,8.48,8.41,8.33,8.26,8.19,8.05,7.98,7.97,7.95,7.81,7.61,7.53,7.51,7.42,7.28,7.19,7.17,7.14,7.06,6.97,6.89,6.81,6.79,6.71,6.63,6.61,6.54,6.41,6.34,6.33,6.32,6.19,6.06,6.05,6.04,5.97,5.91,5.84,5.77,5.76,5.69,5.62,5.61,5.54,5.47,5.4,5.33,5.31,5.3,5.23,5.11,5.04,4.99,4.94,4.89,4.84,4.79,4.74,4.7,4.65,4.6,4.56,4.51,4.47,4.42,4.38,4.33,4.29,4.25,4.21,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.77,3.73,3.69,3.65,3.62,3.58,3.55,3.51,3.47,3.44,3.41,3.37,3.34,3.3,3.27,3.24,3.21,3.17,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81,2.79,2.76,2.73,2.7,2.68,2.65,2.62,2.6,2.57,2.54,2.52,2.49,2.47,2.44,2.42,2.4,2.37,2.35,2.32,2.3,2.28,2.26,2.23,2.21,2.19,2.17,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88
4,37.54,32.51,32.62,23.46,29.73,26.19,28.66,24.22,26.13,26.13,21.98,25.24,22.2,21.18,15.79,21.85,19.82,18.85,16.57,15.77,16.06,16.71,16.37,12.26,11.91,12.89,15.07,13.06,14.1,13.39,12.96,12.62,12.36,12.08,11.84,11.56,11.33,11.15,10.95,10.8,10.59,10.4,10.29,10.12,9.97,9.9,9.77,9.64,9.52,9.39,9.41,9.21,9.02,9.02,8.88,8.74,8.71,8.68,8.58,8.33,8.14,8.09,8.03,7.98,7.93,7.89,7.79,7.69,7.6,7.51,7.49,7.4,7.33,7.25,7.18,7.1,7.03,6.96,6.89,6.82,6.75,6.74,6.67,6.6,6.52,6.45,6.43,6.35,6.27,6.19,6.11,6.09,6.07,6.05,5.97,5.83,5.75,5.73,5.71,5.7,5.62,5.49,5.42,5.41,5.4,5.39,5.26,5.14,5.13,5.12,5.11,5.1,4.98,4.85,4.84,4.84,4.83,4.81,4.75,4.62,4.55,4.54,4.53,4.52,4.45,4.39,4.32,4.28,4.23,4.19,4.15,4.11,4.07,4.03,3.99,3.95,3.91,3.87,3.83,3.79,3.75,3.72,3.68,3.64,3.61,3.57,3.53,3.5,3.46,3.43,3.39,3.36,3.33,3.29,3.26,3.23,3.2,3.16,3.13,3.1,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.86,2.83,2.8,2.78,2.75,2.72,2.69,2.67,2.64,2.61,2.59,2.56,2.54,2.51,2.49,2.46,2.44,2.41,2.39,2.36,2.34,2.32,2.29,2.27,2.25,2.23,2.2,2.18,2.16,2.14,2.12,2.1,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.9,1.88,1.86,1.84,1.82,1.8,1.78,1.77,1.75,1.73,1.71,1.7,1.68,1.66,1.65,1.63,1.61
5,29.25,26.83,27.07,25.56,25.54,24.36,23.97,22.72,27.61,23.1,23.72,21.11,18.64,12.39,16.86,15.19,17.31,15.14,13.54,10.85,12.73,12.4,13.9,8.49,11.63,12.92,12.22,14.75,12.38,11.9,11.62,11.39,11.16,10.97,10.82,10.57,10.37,10.21,10.11,9.98,9.77,9.63,9.58,9.4,9.24,9.23,9.02,8.82,8.76,8.64,8.58,8.46,8.26,8.2,8.14,8.0,7.92,7.9,7.87,7.77,7.66,7.61,7.49,7.38,7.33,7.29,7.25,7.21,7.11,7.02,6.94,6.85,6.84,6.76,6.68,6.61,6.54,6.47,6.4,6.39,6.32,6.25,6.18,6.11,6.1,6.03,5.95,5.88,5.8,5.78,5.77,5.69,5.61,5.59,5.51,5.43,5.41,5.39,5.37,5.3,5.16,5.09,5.08,5.07,5.06,4.99,4.86,4.8,4.79,4.78,4.77,4.76,4.64,4.52,4.51,4.5,4.49,4.48,4.47,4.35,4.22,4.21,4.2,4.19,4.18,4.17,4.05,4.01,3.97,3.93,3.89,3.85,3.81,3.78,3.74,3.7,3.66,3.63,3.59,3.55,3.52,3.48,3.45,3.41,3.38,3.35,3.31,3.28,3.25,3.21,3.18,3.15,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.79,2.76,2.74,2.71,2.68,2.66,2.63,2.6,2.58,2.55,2.53,2.5,2.48,2.45,2.43,2.4,2.38,2.35,2.33,2.31,2.28,2.26,2.24,2.22,2.19,2.17,2.15,2.13,2.11,2.09,2.07,2.05,2.02,2.0,1.98,1.96,1.94,1.93,1.91,1.89,1.87,1.85,1.83,1.81,1.79,1.78,1.76,1.74,1.72,1.71,1.69,1.67,1.66,1.64,1.62,1.61,1.59,1.57,1.56,1.54,1.53,1.51
6,31.96,25.26,27.2,23.96,17.84,20.24,22.47,22.08,22.36,23.84,19.16,17.8,17.89,16.91,16.97,12.83,16.02,14.75,11.92,18.29,13.27,12.42,14.2,11.42,14.5,9.39,12.25,10.24,11.14,10.67,10.53,10.35,10.09,9.97,9.86,9.64,9.45,9.32,9.23,9.06,8.94,8.88,8.75,8.56,8.45,8.43,8.22,8.01,8.01,7.95,7.83,7.77,7.71,7.58,7.52,7.46,7.39,7.31,7.22,7.2,7.17,7.13,7.01,6.9,6.86,6.81,6.71,6.6,6.57,6.54,6.45,6.37,6.35,6.27,6.2,6.12,6.05,6.04,6.03,5.96,5.83,5.76,5.75,5.75,5.68,5.54,5.47,5.46,5.45,5.43,5.42,5.28,5.14,5.12,5.1,5.09,5.07,5.05,5.03,4.9,4.76,4.75,4.74,4.73,4.72,4.65,4.52,4.45,4.45,4.44,4.43,4.43,4.36,4.24,4.17,4.16,4.16,4.15,4.14,4.07,4.01,3.94,3.87,3.87,3.86,3.85,3.78,3.74,3.71,3.67,3.63,3.6,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.32,3.28,3.25,3.22,3.19,3.16,3.12,3.09,3.06,3.03,3.0,2.97,2.94,2.91,2.88,2.85,2.82,2.8,2.77,2.74,2.71,2.69,2.66,2.63,2.61,2.58,2.55,2.53,2.5,2.48,2.45,2.43,2.41,2.38,2.36,2.33,2.31,2.29,2.26,2.24,2.22,2.2,2.18,2.15,2.13,2.11,2.09,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.89,1.87,1.85,1.83,1.82,1.8,1.78,1.76,1.74,1.73,1.71,1.69,1.68,1.66,1.64,1.63,1.61,1.59,1.58,1.56,1.55,1.53,1.51,1.5,1.48,1.47,1.46,1.44,1.43,1.41
7,27.57,24.91,25.95,20.9,26.96,23.5,15.0,22.75,26.4,15.83,20.7,20.34,14.54,16.12,14.32,10.91,11.68,17.13,13.32,12.81,12.72,11.75,9.98,10.26,8.97,9.47,9.71,10.92,9.63,9.22,9.04,8.85,8.64,8.58,8.43,8.25,8.16,8.05,7.91,7.76,7.73,7.68,7.49,7.3,7.26,7.23,7.14,7.06,6.99,6.93,6.87,6.81,6.75,6.62,6.56,6.57,6.5,6.36,6.29,6.27,6.25,6.22,6.19,6.15,6.04,5.94,5.83,5.73,5.7,5.67,5.65,5.62,5.61,5.53,5.39,5.31,5.3,5.29,5.29,5.22,5.15,5.08,5.01,5.01,4.94,4.87,4.86,4.85,4.78,4.71,4.69,4.62,4.54,4.53,4.51,4.5,4.48,4.41,4.33,4.26,4.18,4.17,4.16,4.15,4.14,4.13,4.0,3.88,3.87,3.86,3.86,3.85,3.84,3.78,3.72,3.65,3.59,3.52,3.46,3.45,3.44,3.38,3.31,3.31,3.3,3.23,3.17,3.14,3.11,3.07,3.04,3.01,2.98,2.95,2.92,2.89,2.87,2.84,2.81,2.78,2.75,2.73,2.7,2.67,2.64,2.62,2.59,2.57,2.54,2.51,2.49,2.46,2.44,2.42,2.39,2.37,2.34,2.32,2.3,2.27,2.25,2.23,2.21,2.18,2.16,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.82,1.8,1.79,1.77,1.75,1.73,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.58,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.4,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.24,1.23,1.22,1.21,1.2,1.18
8,24.87,26.38,24.6,23.9,19.45,20.08,19.34,27.52,19.64,20.47,19.82,15.44,16.14,19.58,15.81,12.58,17.79,13.08,11.49,12.48,10.78,9.45,11.13,11.78,8.47,13.0,12.93,11.96,8.82,8.47,8.26,8.11,7.94,7.83,7.65,7.52,7.41,7.24,7.13,6.99,6.91,6.88,6.78,6.59,6.47,6.44,6.41,6.39,6.31,6.18,6.11,6.12,6.06,5.93,5.87,5.88,5.81,5.75,5.68,5.6,5.59,5.57,5.54,5.51,5.41,5.31,5.27,5.24,5.14,5.05,5.03,5.0,4.98,4.97,4.89,4.81,4.8,4.73,4.66,4.66,4.65,4.58,4.51,4.51,4.44,4.37,4.37,4.36,4.29,4.22,4.21,4.14,4.06,4.05,4.04,4.02,4.01,3.94,3.86,3.85,3.84,3.76,3.69,3.68,3.67,3.66,3.6,3.53,3.46,3.4,3.39,3.33,3.27,3.26,3.26,3.19,3.13,3.07,3.0,3.0,2.93,2.87,2.86,2.86,2.85,2.79,2.72,2.69,2.67,2.64,2.61,2.59,2.56,2.54,2.51,2.49,2.46,2.44,2.41,2.39,2.36,2.34,2.32,2.29,2.27,2.25,2.23,2.2,2.18,2.16,2.14,2.12,2.1,2.07,2.05,2.03,2.01,1.99,1.97,1.95,1.93,1.91,1.9,1.88,1.86,1.84,1.82,1.8,1.78,1.77,1.75,1.73,1.71,1.7,1.68,1.66,1.65,1.63,1.61,1.6,1.58,1.57,1.55,1.53,1.52,1.5,1.49,1.47,1.46,1.45,1.43,1.42,1.4,1.39,1.37,1.36,1.35,1.33,1.32,1.31,1.29,1.28,1.27,1.26,1.24,1.23,1.22,1.21,1.19,1.18,1.17,1.16,1.15,1.14,1.12,1.11,1.1,1.09,1.08,1.07,1.06,1.05,1.04,1.03,1.02
9,23.37,22.31,25.15,21.66,18.13,16.27,16.65,20.91,18.64,19.02,20.43,16.12,13.89,15.22,16.6,16.37,13.43,12.33,13.06,11.48,7.38,13.09,12.09,11.12,8.17,14.23,11.45,10.4,8.72,8.4,8.29,8.17,7.94,7.77,7.59,7.42,7.29,7.12,7.02,6.9,6.77,6.76,6.66,6.49,6.37,6.33,6.29,6.27,6.25,6.1,5.96,5.97,5.97,5.84,5.72,5.72,5.73,5.74,5.6,5.47,5.46,5.45,5.43,5.4,5.37,5.27,5.17,5.14,5.04,4.94,4.91,4.89,4.87,4.85,4.83,4.82,4.75,4.61,4.54,4.53,4.52,4.52,4.51,4.45,4.32,4.25,4.24,4.24,4.23,4.22,4.21,4.08,3.95,3.94,3.92,3.91,3.9,3.88,3.87,3.86,3.84,3.71,3.58,3.57,3.56,3.55,3.54,3.53,3.47,3.34,3.22,3.1,3.03,3.03,3.02,3.02,3.01,3.01,3.0,2.94,2.82,2.76,2.75,2.74,2.74,2.73,2.73,2.7,2.67,2.64,2.62,2.59,2.57,2.54,2.51,2.49,2.46,2.44,2.42,2.39,2.37,2.34,2.32,2.3,2.27,2.25,2.23,2.21,2.18,2.16,2.14,2.12,2.1,2.08,2.06,2.04,2.02,2.0,1.98,1.96,1.94,1.92,1.9,1.88,1.86,1.84,1.82,1.8,1.79,1.77,1.75,1.73,1.72,1.7,1.68,1.67,1.65,1.63,1.62,1.6,1.58,1.57,1.55,1.54,1.52,1.51,1.49,1.48,1.46,1.45,1.43,1.42,1.4,1.39,1.38,1.36,1.35,1.34,1.32,1.31,1.3,1.28,1.27,1.26,1.24,1.23,1.22,1.21,1.2,1.18,1.17,1.16,1.15,1.14,1.13,1.11,1.1,1.09,1.08,1.07,1.06,1.05,1.04,1.03,1.02
