age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1259.45,1217.86,1130.81,1059.73,1044.46,1102.18,1047.13,1027.39,957.29,891.7,825.29,732.97,700.09,685.9,684.96,688.42,652.39,630.45,649.79,611.9,594.76,600.25,576.62,553.88,568.21,546.52,536.05,529.41,514.0,465.36,496.57,461.84,438.41,408.91,442.63,420.81,434.66,425.11,382.39,377.55,368.99,360.8,352.79,345.17,337.99,331.16,324.62,318.39,312.52,306.84,301.38,296.45,291.62,286.96,282.58,278.45,274.52,270.61,267.13,263.72,260.37,257.09,253.84,250.91,247.85,244.78,241.99,239.27,236.38,233.38,230.68,227.91,225.04,222.34,219.78,217.17,214.52,212.03,209.53,206.85,204.35,202.08,199.71,197.27,194.78,192.43,190.08,187.75,185.49906804574002,183.2750978498099,181.07776727492458,178.90675762154768,176.76175423455325,174.6424460987847,172.54852594016492,170.47969022569646,168.4356388601307,166.41607548929852,164.42070709566934,162.44924450390255,160.5014016730754,158.57689589890387,156.67544831929362,154.79678280212738,152.94062705747763,151.10671162650434,149.294770488116,147.50454065452897,145.73576237348806,143.98817902715584,142.2615370310028,140.55558573269698,138.87007751321406,137.2047677868376,135.5594146978281,133.93377962597432,132.3276264788216,130.74072199500245,129.1728359464571,127.6237406328824,126.09321108395206,124.58102505931686,123.08696314971476,121.61080817030951,120.1523458684623,118.71136451929083,117.28765472344874,115.88100971045641,114.49122513648044,113.11809928655411,111.76143256902625,110.42102792000208,109.09669070223303,107.78822850289629,106.49545113359466,105.21817093368753,103.95620216362913,102.70936161163013,101.47746788588597,100.26034226390283,99.05780770161728,97.8696895007238,96.69581498512213,95.53601357169428,94.39011668941654,93.25795780969234,92.13937237557519,91.03419780176861,89.94227344429318,88.86344059037532,87.79754241800339,86.7444239858165,85.70393218254947,84.67591575736587,83.66022525919192,82.65671301649438,81.66523313728057,80.68564144843215,79.71779554626042,78.76155467517383,77.8167798186773,76.88333357803991,75.96108022284999,75.04988564046002,74.1496173258756,73.26014435142238,72.38133735663504,71.5130685482572,70.65521162946439,69.80764184030805
1,83.36,89.14,72.38,81.22,78.03,67.55,69.79,73.62,70.39,68.93,66.12,53.91,57.92,51.93,45.22,52.45,54.23,50.86,53.07,44.94,43.98,47.26,38.17,41.89,40.69,40.6,41.75,35.62,31.28,32.98,35.14,34.1,33.32,35.88,29.85,27.4,24.61,25.66,35.7,35.5,34.34,33.32,32.72,32.2,31.65,30.72,29.99,29.76,29.33,28.7,28.19,27.69,27.33,26.81,26.44,26.2,25.8,25.33,24.74,24.52,24.43,24.19,23.82,23.55,23.51,23.06,22.37,22.05,21.86,21.77,21.61,21.47,21.33,20.81,20.47,20.36,20.17,19.85,19.47,19.36,19.12,18.76,18.67,18.56,18.44,17.98,17.51,17.31,17.102298334887468,16.89708864776308,16.69434105117209,16.494026006540533,16.29611433386638,16.100577202028393,15.907386138477266,15.716512980779953,15.527929934766464,15.34160952607421,15.157524609839136,14.9756483706957,14.795954313085769,14.618416251567467,14.443008330197445,14.269704983766353,14.098480986254499,13.929311373302788,13.762171500359523,13.597037032989268,13.43388389841718,13.27268833398468,13.113426848384922,12.956076241045047,12.800613592435067,12.64701625437672,12.495261850043473,12.345328254578256,12.197193643549127,12.050836415420209,11.90623525938962,11.763369106933808,11.622217151189819,11.482758808190756,11.344973765321457,11.20884195224509,11.074343531212014,10.941458916442057,10.810168725668841,10.680453857668853,10.552295385658972,10.425674654207812,10.30057320170665,10.17697281851622,10.054855479128795,9.93420340031497,9.814998992668011,9.697224899368372,9.580863952573615,9.465899200553565,9.352313891215392,9.240091475010944,9.1292156000912,9.019670110368017,8.911439045514145,8.804506635148549,8.698857297867285,8.594475638336174,8.491346449229013,8.389454702505565,8.288785551349788,8.189324328231601,8.09105653812309,7.993967864313198,7.898044158716583,7.803271444780958,7.709635912641533,7.617123917182774,7.52572197900753,7.435416780560576,7.346195160313925,7.2580441195506324,7.170950812673656,7.084902549144085,6.999886788635575,6.915891144910794,6.832903376130302,6.750911391636329,6.66990324323077,6.589867125175173,6.510791376128971,6.432664473334804
2,52.81,45.97,47.91,44.03,52.04,44.91,46.43,43.54,45.93,43.99,38.06,33.8,37.01,31.84,29.46,30.58,31.07,32.27,33.28,27.52,26.48,27.08,25.65,22.98,23.36,22.41,28.94,18.32,18.67,18.41,20.41,18.43,18.02,16.13,15.89,13.14,14.0,12.05,16.65,16.56,16.3,15.93,15.47,15.03,14.69,14.4,14.03,13.74,13.51,13.28,13.04,12.78,12.66,12.45,12.23,12.08,11.91,11.81,11.69,11.51,11.26,11.1,11.02,10.89,10.78,10.7,10.56,10.43,10.25,10.07,9.98,9.88,9.79,9.63,9.46,9.42,9.31,9.19,9.13,8.99,8.84,8.76,8.67,8.58,8.55,8.45,8.34,8.24,8.141122740603464,8.043431941267333,7.946913369817674,7.851552957128483,7.757336810341775,7.664251196709686,7.572282553876774,7.4814174766599155,7.391642725861711,7.30294521798818,7.215312028186563,7.128730384369719,7.043187671622826,6.958671420452184,6.875169318536411,6.792669194568545,6.711159025600538,6.6306269355743686,6.551061186508626,6.4724501843741225,6.394782471749386,6.3180467336962645,6.242231783070919,6.167326573743929,6.093320190317995,6.020201846659034,5.947960887365071,5.876586784828459,5.806069136298059,5.736397666817052,5.667562223347334,5.599552773300616,5.5323594045384255,5.465972326841004,5.400381864562808,5.3355784595703115,5.2715526668353005,5.208295157372677,5.145796709427056,5.084048217286168,5.023040682467457,4.96276521224918,4.903213024077111,4.844375438220032,4.786243879238645,4.72880987745446,4.672065061605301,4.616001161783108,4.560610007965029,4.505883527075629,4.451813744455783,4.398392779455979,4.345612846905215,4.293466254173206,4.2419454026392724,4.191042784754554,4.140750979635294,4.091062660407355,4.041970583923902,3.9934675966410196,3.9455466287420973,3.8982006970756404,3.8514229022174615,3.8052064255328837,3.759544533583444,3.7144305693134863,3.6698579593946663,3.6258202068814493,3.582310895617812,3.539323682892739,3.4968523038469255,3.454890570003877,3.413432364863207,3.3724716468384397,3.3320024448503096,3.292018864202357,3.2525150748297347,3.2134853215815036,3.1749239139383314,3.136825233356998,3.099183728863689,3.0619939111784
3,36.16,38.61,36.46,41.95,39.51,37.77,30.46,33.97,35.08,33.19,33.24,25.94,27.5,21.46,24.72,23.61,21.19,23.22,21.57,18.47,17.33,15.08,20.51,20.93,18.68,15.37,17.4,17.05,10.91,14.6,11.41,11.12,10.94,13.61,12.33,13.35,11.68,10.62,9.34,9.15,8.92,8.68,8.3,8.03,7.85,7.66,7.51,7.37,7.22,7.07,6.92,6.84,6.75,6.58,6.48,6.37,6.25,6.2,6.15,6.02,5.89,5.84,5.79,5.75,5.72,5.69,5.55,5.41,5.41,5.42,5.37,5.26,5.21,5.17,5.05,5.0,4.95,4.9,4.91,4.84,4.71,4.63,4.63,4.62,4.61,4.52,4.44,4.35,4.297801038748483,4.246228440301112,4.195274688200563,4.144932357785322,4.095194112949847,4.046052703984648,3.997500969736203,3.9495318354470506,3.9021383095159363,3.8553134856577183,3.809050539663512,3.7633427304806415,3.718183394812886,3.673565952520234,3.6294839022990795,3.58593081844237,3.5429003540794604,3.5003862390162066,3.45838227649512,3.416882346435214,3.3758803989523027,3.335370459758755,3.2953466247637357,3.255803061153165,3.2167340063097583,3.1781337667330836,3.139996715879654,3.1023172963228323,3.065090017592929,3.02830945293735,2.991970242560447,2.95606709146362,2.92059476512551,2.8855480970616565,2.85092197694504,2.816711359245685,2.78291125783091,2.749516748125226,2.716522961710583,2.6839250917261266,2.651718386388491,2.6198981511516988,2.588459749787116,2.557398601143597,2.526710176987584,2.4963900052429593,2.466433666751192,2.4368367974312397,2.4075950817998453,2.3787042583712896,2.3501601185774414,2.321958500288053,2.294095294290461,2.2665664388898397,2.239367924228998,2.2124957847287257,2.185946103407599,2.1597150129619265,2.1337986882060997,2.108193353632243,2.082895278010464,2.0579007722289484,2.0332061957736673,2.0088079480887693,1.9847024739763368,1.9608862614364813,1.9373558373475415,1.9141077728658393,1.891138681265775,1.868445212540075,1.8460240620393986,1.8238719607527796,1.8019856796274305,1.780362029568742,1.7589978592803814,1.7378900541843423,1.7170355396607964,1.69643127564834,1.6760742577239451,1.655961521422761,1.6360901335985094,1.61645719890319
4,37.54,32.51,32.62,23.46,29.73,26.19,28.66,24.22,26.13,26.13,21.98,25.24,22.2,21.18,15.79,21.85,19.82,18.85,16.57,15.77,16.06,16.63,16.23,12.1,11.72,12.77,15.03,13.06,9.44,10.57,10.55,11.08,9.95,7.33,11.4,8.08,9.82,11.05,8.44,8.12,7.84,7.64,7.39,7.23,7.03,6.84,6.72,6.51,6.36,6.21,6.07,6.07,5.91,5.75,5.73,5.63,5.45,5.35,5.31,5.26,5.21,5.16,5.11,5.07,5.04,5.01,4.92,4.77,4.7,4.71,4.72,4.66,4.54,4.5,4.45,4.4,4.35,4.3,4.31,4.25,4.19,4.12,4.05,4.04,4.03,3.96,3.87,3.86,3.813680862891045,3.7679175344434017,3.7227033465871346,3.6780317090618144,3.6338961114641353,3.590290122224109,3.5472073875812526,3.504641627489353,3.462586639711702,3.421036293678245,3.379984535604621,3.3394253833731216,3.2993529244850714,3.2597613191322523,3.220644799173099,3.18199766198984,3.1438142756075447,3.1060890766465072,3.0688165662270053,3.0319913130407303,2.9956079492555507,2.959661173586939,2.924145747202735,2.8890564926993343,2.854388298196929,2.8201361111966508,2.7862949375567596,2.752859848659311,2.7198259691244444,2.6871884850008554,2.6549426417181796,2.6230837379441367,2.5916071317273843,2.5605082353784736,2.5297825154698472,2.499425495907269,2.4694327517869676,2.439799912467064,2.410522657472334,2.381596722637067,2.353017889866968,2.324781996353445,2.2968849253593238,2.269322611337896,2.2420910378852983,2.215186236716705,2.1886042856187076,2.162341311520745,2.136393487423673,2.1107570293283398,2.0854282034022464,2.060403316765268,2.0356787226086963,2.011250818147624,1.9871160425733236,1.9632708780770596,1.9397118508738944,1.9164355260836448,1.8934385128499267,1.8707174581973003,1.8482690511265063,1.8260900205668484,1.8041771333285745,1.7825271961504943,1.7611370536523614,1.7400035893586832,1.7191237216034827,1.6984944076255362,1.6781126415207543,1.6579754532183735,1.6380799064333362,1.6184231037853396,1.599002177584548,1.5798143000696911,1.5608566721461559,1.5421265336240846,1.523621152980279,1.5053378335010568,1.4872739102108243,1.4694267519196942,1.4517937561044394,1.4343723530037304
5,29.25,26.83,27.07,25.56,25.54,24.36,23.97,22.72,27.61,23.1,23.72,21.11,18.64,12.39,16.86,15.19,17.31,15.14,13.54,10.85,12.73,12.35,13.78,8.38,11.43,12.67,12.09,14.7,12.12,10.64,11.7,10.5,9.92,8.78,7.55,10.54,9.85,8.17,8.09,7.78,7.6,7.39,7.18,6.99,6.75,6.63,6.44,6.24,6.1,5.96,5.88,5.81,5.66,5.51,5.43,5.41,5.31,5.21,5.17,5.06,4.95,4.91,4.86,4.81,4.77,4.74,4.71,4.63,4.55,4.55,4.48,4.42,4.37,4.32,4.27,4.22,4.17,4.12,4.14,4.08,4.02,3.96,3.89,3.89,3.88,3.81,3.73,3.72,3.6753607992072888,3.631257250701233,3.587682925710495,3.5446314744639587,3.502096622086822,3.4600721716785285,3.4185519971309293,3.3775300482581674,3.337000346692768,3.2969569858856422,3.257394130080107,3.2183060143118856,3.179686940305203,3.141531281602666,3.103833476383428,3.066588030541119,3.0297895176838434,2.9934325740042986,2.9575119013577056,2.9220222631578987,2.8869584895072102,2.8523154689886603,2.8180881537958347,2.7842715546030044,2.750860744669031,2.717850852655531,2.6852370687827345,2.6530146407255795,2.6211788715617566,2.5897251228496416,2.5586488084724315,2.5279454007940076,2.4976104255290523,2.467639460717068,2.4380281387743357,2.4087721444419583,2.37986721478586,2.3513091350928823,2.3230937450266413,2.295216931445691,2.2676746325074326,2.240462834590181,2.2135775702412124,2.187014922280673,2.160771019697667,2.134842037650263,2.109224196439513,2.0839137635614047,2.0589070485769825,2.034200409268203,2.009790243430125,1.9856729940007896,1.9618451459832917,1.9383032264457798,1.9150438045214562,1.892063491408576,1.8693589362665406,1.8469268303198048,1.8247639058318996,1.8028669309755478,1.7812327159885268,1.7598581070178048,1.7387399881714958,1.717875283570814,1.6972609501682352,1.6768939849293332,1.6567714197028987,1.636890321220936,1.6172477921246422,1.5978409699384295,1.578667026043948,1.5597231656800852,1.5410066279429684,1.5225146857859613,1.5042446439677133,1.4861938390521572,1.4683596404344872,1.4507394493151824,1.4333306976740285,1.4161308472441423,1.3991373936158782,1.382347858029014
6,31.96,25.26,27.2,23.96,17.84,20.24,22.47,22.08,22.36,23.84,19.16,17.8,17.89,16.91,16.97,12.83,16.02,14.75,11.92,18.29,13.27,12.35,14.07,11.27,14.23,9.18,11.96,10.1,8.93,9.63,9.11,9.03,7.35,10.69,8.46,6.17,7.35,8.51,7.67,7.45,7.28,7.1,6.88,6.65,6.52,6.36,6.16,6.05,5.92,5.78,5.71,5.56,5.42,5.34,5.19,5.11,5.09,5.07,5.04,4.94,4.76,4.65,4.6,4.56,4.52,4.48,4.45,4.42,4.41,4.4,4.33,4.26,4.21,4.15,4.1,4.05,4.0,3.95,3.97,3.91,3.86,3.8,3.73,3.73,3.73,3.66,3.58,3.57,3.527160744320099,3.4848355413740695,3.4430182231953625,3.401702696974604,3.3608829399814097,3.320553003626931,3.280707011432584,3.2413391549674935,3.202443698926689,3.164014973005998,3.1260473779958726,3.0885353796875665,3.0514735119200447,3.014856373533072,2.9786786273515777,2.94293500120129,2.907620286893099,2.872729337176147,2.838257066753462,2.80419845228196,2.770548529325532,2.737302395401958,2.7044552038890792,2.6720021680873494,2.6399385591885607,2.6082597032289296,2.576960984136011,2.546037839666147,2.5154857634357417,2.4853003039056247,2.4554770613341392,2.4260116877771405,2.3968998911505444,2.36813742812087,2.3397201061365087,2.311643784443367,2.2839043710379494,2.256497822667362,2.229420145844948,2.202667394819012,2.1762356685259103,2.150121117699512,2.1243199336991836,2.098828357650533,2.0736426743515772,2.048759213288386,2.024174348635077,1.9998844951912702,1.9758861144759081,1.9521757086334357,1.9287498234807086,1.9056050424131716,1.8827379935143178,1.8601453444775053,1.8378238026059526,1.8157701137971038,1.7939810655895412,1.7724534800535217,1.7511842219160771,1.730170190435915,1.7094083224503294,1.6888955933908405,1.6686290122050056,1.648605627450244,1.6288225181531013,1.6092768029499847,1.5899656319620645,1.5708861918734602,1.5520357018686923,1.533411413632681,1.5150106143976592,1.4968306208493471,1.4788687842051402,1.4611224861515586,1.443589140875523,1.426266193033079,1.4091511177493974,1.3922414206187737,1.3755346366889907,1.3590283314769571,1.342720098937431,1.3266075624786584
7,27.57,24.91,25.95,20.9,26.96,23.5,15.0,22.75,26.4,15.83,20.7,20.34,14.54,16.12,14.32,10.91,11.68,17.13,13.32,12.81,12.72,11.7,9.88,10.12,8.81,9.25,9.45,10.62,7.15,6.69,8.38,7.26,11.6,8.43,9.54,7.06,8.28,7.84,7.1,6.98,6.75,6.58,6.4,6.24,6.14,6.0,5.83,5.7,5.59,5.46,5.32,5.18,5.1,5.03,4.89,4.81,4.8,4.78,4.69,4.59,4.49,4.38,4.35,4.31,4.27,4.23,4.19,4.16,4.14,4.12,4.12,4.05,3.92,3.86,3.87,3.88,3.83,3.71,3.66,3.68,3.69,3.63,3.44,3.3,3.31,3.3,3.3,3.29,3.2505206354118723,3.2115150075571237,3.1729774326862334,3.1349022937390085,3.0972840433759163,3.060117196904976,3.0233963403653097,2.9871161204227032,2.9512712504322685,2.9158565063966684,2.880866726966116,2.8462968134383746,2.8121417267274254,2.778396490394799,2.7450561855973534,2.7121159531081664,2.679570993316532,2.6474165621861823,2.6156479752970685,2.5842606007722493,2.553249865340552,2.5226112492843606,2.4923402874500504,2.4624325682375487,2.432883733600335,2.403689476014105,2.3748455415081073,2.3463477256233625,2.3181918754335546,2.290373888534585,2.2628897100132397,2.235735333457635,2.2089068029781047,2.1824002071445334,2.1562116840385803,2.130337417211902,2.1047736346757033,2.079516610921634,2.0545626649008915,2.029908161034672,2.005549504161946,1.9814831466125677,1.9577055791132776,1.9342133368503673,1.911002996438349,1.8880711749095074,1.8654145297139018,1.8430297597298109,1.8209136012219547,1.7990628328937157,1.7774742688140295,1.7561447624591608,1.7350712067127059,1.714250528813368,1.6936796943967363,1.6733557064848412,1.6532756024548219,1.6334364560598134,1.6138353743976157,1.5944695029629141,1.5753360185741687,1.5564321313945038,1.5377550879630404,1.5193021661426749,1.5010706751200784,1.4830579594474753,1.4652613929799756,1.4476783819069095,1.4303063647518257,1.4131428083307163,1.396185211793792,1.3794311035941504,1.3628780414877746,1.3465236145544242,1.3303654371349665,1.3144011559044892,1.2986284427991888,1.2830450010790364,1.2676485572442235,1.252436869118718,1.2374077187771504,1.2225589155761505
8,24.87,26.38,24.6,23.9,19.45,20.08,19.34,27.52,19.64,20.47,19.82,15.44,16.14,19.58,15.81,12.58,17.79,13.08,11.49,12.48,10.78,9.42,11.05,11.61,8.32,12.71,12.57,11.6,10.57,11.02,9.87,9.89,7.53,6.92,6.71,5.69,7.83,6.91,6.56,6.43,6.23,6.07,5.89,5.78,5.68,5.56,5.41,5.3,5.18,5.06,4.93,4.79,4.79,4.65,4.5,4.5,4.5,4.49,4.33,4.17,4.14,4.12,4.09,4.05,4.01,3.98,3.94,3.91,3.88,3.86,3.84,3.77,3.63,3.57,3.58,3.59,3.6,3.48,3.3,3.24,3.26,3.27,3.14,3.01,2.95,2.88,2.88,2.88,2.8454405061450347,2.8112957144282684,2.7775606481211863,2.7442303916487556,2.7113000867066637,2.6787649351733887,2.6466201942567484,2.614861179405971,2.5834832633410048,2.5524818711990678,2.5218524863587874,2.4915906455867516,2.461691937096126,2.432152003458728,2.402966540634333,2.3741312950586053,2.3456420636431,2.3174946947459474,2.2896850862304814,2.262209185465231,2.2350629883532354,2.208242537390663,2.1817439245788783,2.155563288512376,2.1296968124373996,2.1041407281346984,2.0788913091247014,2.053944877462346,2.0292977969422457,2.0049464750400725,1.9808873619418672,1.9571169534561064,1.9336317842188748,1.9104284306059354,1.8875035126741073,1.8648536883371272,1.8424756562777187,1.8203661559475932,1.7985219646553783,1.7769398985373088,1.7556168125572258,1.734549598565198,1.7137351872388995,1.6931705442008522,1.672852672930494,1.652778611852109,1.6329454353055173,1.613350252575386,1.593990208861918,1.574862481398092,1.5559642833324234,1.537292859846203,1.518845490094877,1.5006194842959788,1.4826121885825765,1.4648209762670639,1.4472432556066805,1.429876464950062,1.4127180717665482,1.3957655765289454,1.379016508830765,1.3624684273862235,1.3461189190595522,1.3299656027477589,1.3140061235564846,1.298238155712077,1.2826594006202074,1.267267587836563,1.2520604750668456,1.2370358452547017,1.2221915085231017,1.2075253021743424,1.1930350868072834,1.1787187531121806,1.164574213134473,1.1505994051282342,1.136792293556173,1.123150864236182,1.1096731311361683,1.096357128608533,1.0832009162436214,1.070202576928343
9,23.37,22.31,25.15,21.66,18.13,16.27,16.65,20.91,18.64,19.02,20.43,16.12,13.89,15.22,16.6,16.37,13.43,12.33,13.06,11.48,7.38,13.07,12.01,11.0,8.01,13.91,11.14,10.07,7.79,11.47,10.99,7.61,7.39,11.09,8.32,7.51,8.9,4.57,6.21,6.08,5.95,5.82,5.65,5.47,5.36,5.25,5.12,5.03,4.93,4.87,4.75,4.62,4.63,4.48,4.34,4.34,4.34,4.26,4.11,4.02,4.01,3.98,3.96,3.93,3.9,3.86,3.83,3.79,3.76,3.73,3.71,3.63,3.49,3.42,3.43,3.43,3.38,3.19,3.0,2.95,2.96,2.97,2.99,2.93,2.8,2.73,2.73,2.73,2.6972404533586976,2.6648740106197395,2.6328959536039767,2.6013016236214925,2.57008641562021,2.5392457801363553,2.508775222319223,2.478670302906413,2.448926632372426,2.4195398777553017,2.3905057548547473,2.3618200331083092,2.333478531690434,2.3054771204877054,2.277811718148379,2.25047829305761,2.223472861386992,2.1967914870945546,2.1704302828999964,2.1443854054085185,2.1186530599869924,2.0932294968630254,2.0681110091744936,2.043293936870476,2.018774662810322,1.9945496147141148,1.9706152612617427,1.9469681140433612,1.923604727559396,1.9005216953196085,1.8777156547192617,1.8551832811877231,1.8329212911141597,1.8109264398970772,1.7891955219443147,1.7677253706730485,1.7465128555840892,1.7255548871380506,1.7048484089534817,1.6843904046335008,1.6641778928896276,1.6442079265665515,1.6244775955678301,1.6049840249054232,1.585724372749226,1.5666958333527696,1.547895632177053,1.5293210307667109,1.5109693208986135,1.492837827507566,1.4749239086863095,1.4572249547102865,1.439738384136707,1.4224616496559515,1.405392232240168,1.3885276460194398,1.371865431455152,1.3554031602161578,1.3391384342035462,1.3230688816497072,1.3071921619944997,1.291505960033851,1.2760079898206895,1.2606959927144792,1.2455677373812188,1.2306210188182085,1.2158536583540505,1.2012635046238813,1.1868484306436726,1.172606334785465,1.1585351427278325,1.1446328025797186,1.130897287806134,1.1173265982033915,1.1039187550229388,1.0906718038970573,1.0775838148388646,1.0646528793166117,1.0518771141546188,1.039254655681873,1.0267836655834306,1.0144623260242482
