age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1256.05,1223.84,1130.24,1070.39,1041.11,1091.54,1040.54,1020.36,961.92,890.9,829.32,737.63,703.21,684.72,681.01,687.66,648.63,629.31,642.88,613.5,593.46,603.24,574.08,555.73,568.07,543.68,534.92,524.07,510.54,460.37,493.9,460.6,431.04,406.7,435.72,414.25,430.21,416.72,377.22,372.29,363.92,355.91,348.0,340.46,333.35,326.59,320.11,314.08,308.37,302.69,297.19,292.35,287.74,283.29,278.91,274.75,270.91,267.08,263.66,260.32,257.04,253.84,250.68,247.85,244.75,241.66,238.99,236.39,233.48,230.47,227.89,225.23,222.31,219.7,217.2,214.5,211.91,209.45,206.98,204.34,201.87,199.76,197.4,194.98,192.51,190.16,187.97,185.64,183.4143648043205,181.21538836132467,179.04275215401861,176.89614106452254,174.7752439739146,172.67975336233494,170.60936540895986,168.56377999200154,166.54270038878647,164.54583357567708,162.57288982817607,160.6235832207961,158.69763092724216,156.79475342035957,154.91467497200355,153.05712255332583,151.22182693448812,149.40852168492282,147.6169437731763,145.84683316701336,144.09793303336522,142.3699896383553,140.66275224732547,138.97597302486213,137.30940713476994,135.66281274007207,134.0359507030882,132.42858508530426,130.84048244755496,129.27141214994543,127.72114655179918,126.18946051178848,124.67613158788207,123.1809400373453,121.70366891671395,120.24410348195076,118.80203188826279,117.37724479020585,115.96953514173647,114.57869849613382,113.2045328060518,111.84683862346687,110.50541859980842,109.18007788585452,107.87062403175786,106.57686678709808,105.29861810088155,104.0356924214634,102.78790609670365,101.555077973811,100.33702869952528,99.13358155989837,97.94456150054982,96.76979578649461,95.60911368222673,94.4623465217008,93.32932762835306,92.2098923450934,91.10387796432371,90.01112372793781,88.93147079732934,87.86476224339427,86.8108430065414,85.76955988669492,84.74076149330749,83.72429827535233,82.72002246133894,81.72778803931833,80.74745075688288,79.77886806118212,78.82189914890962,77.87640484633431,76.94224769927699,76.01929185314157,75.10740310290211,74.20644884311582,73.31629805792568,72.43682129106818,71.56789063587605,70.7093797352781,69.86116371181768,69.023119207642
1,81.82,91.38,72.82,84.94,77.35,68.8,69.11,72.67,70.17,70.86,67.83,54.93,56.5,52.47,45.12,52.42,52.19,50.47,52.34,44.13,41.59,46.79,39.08,43.02,39.75,40.48,39.87,35.75,31.67,31.95,35.54,33.49,32.82,34.74,29.67,27.41,24.08,25.89,35.94,35.72,34.72,33.65,32.99,32.38,31.73,31.01,30.21,29.82,29.53,29.1,28.5,27.86,27.58,27.16,26.64,26.24,25.91,25.52,25.01,24.84,24.8,24.35,23.79,23.58,23.63,23.3,22.71,22.2,21.87,21.89,21.8,21.72,21.43,20.74,20.49,20.48,20.36,20.12,19.81,19.49,19.06,18.72,18.68,18.63,18.57,18.18,17.74,17.6,17.38881864205774,17.180171011012725,16.974026718696063,16.770355731664555,16.56912838105421,16.370315352726735,16.173887697123046,15.979816779995796,15.788074341530317,15.59863244707719,15.41146349700571,15.226540226703891,15.04383569672499,14.863323282933996,14.68497669621462,14.508769943055334,14.334677374816824,14.16267360890405,13.992733587887212,13.824832569648247,13.658946078113368,13.495049952520532,13.333120308005467,13.173133555308658,13.015066390921849,12.858895787234564,12.704598992534095,12.552153511298517,12.401537153464163,12.252727955597672,12.105704249870442,11.960444614791166,11.816927894912817,11.67513316141868,11.535039761389815,11.396627288244575,11.259875571885122,11.124764698404405,10.991274960818696,10.859386937895541,10.729081385765335,10.60033933645624,10.473142019066266,10.3474709188842,10.223307708415183,10.100634306501647,9.979432829055865,9.85968562847391,9.741375249294954,9.624484455791032,9.508996215216113,9.39489370076214,9.282160286632301,9.170779546070312,9.060735251360425,8.952011367915336,8.844592053290828,8.738461654229733,8.63360470863262,8.530005936689657,8.427650242851318,8.326522713857665,8.226608611840923,8.127893380237568,8.030362633934828,7.934002162226742,7.838797923887405,7.74473604520028,7.651802820943533,7.559984710448651,7.469268331688335,7.379640468173954,7.291088059102043,7.20359820132501,7.117158144424386,7.031755294652224,6.947377205077604,6.864011582484079,6.781646278501535,6.700269289606185,6.619868759091271,6.5404329711549725
2,52.7,46.64,47.47,44.94,50.59,44.47,45.53,43.67,45.85,44.01,38.19,33.81,37.69,30.88,29.57,31.74,30.66,32.35,32.15,28.08,25.46,27.24,25.4,23.27,26.23,22.06,28.04,18.8,18.54,18.52,19.85,18.05,17.88,16.65,15.97,15.2,14.24,11.93,16.75,16.71,16.49,16.08,15.58,15.18,14.8,14.46,14.12,13.85,13.58,13.3,13.07,12.84,12.73,12.53,12.33,12.18,12.03,11.93,11.82,11.65,11.41,11.26,11.12,10.94,10.83,10.75,10.63,10.51,10.34,10.19,10.1,10.02,9.94,9.79,9.57,9.48,9.31,9.13,9.08,8.95,8.81,8.74,8.65,8.57,8.54,8.45,8.35,8.25,8.151002743929439,8.053193387797997,7.956557682159685,7.861081540814318,7.766751054043645,7.673552472433848,7.5814722171703135,7.490496866801493,7.400613166063,7.311808015582826,7.224068474822712,7.13738175619541,7.051735229476737,6.967116410040111,6.8835129706220135,6.800912725144478,6.7193036360685,6.638673812923366,6.5590115034825445,6.480305099646421,6.402543130088888,6.3257142661400705,6.249807307079499,6.174811193372259,6.100714996374206,6.02750791686129,5.955179286500223,5.8837185649071335,5.813115336706187,5.743359314470956,5.674440332841687,5.606348347054621,5.539073432941992,5.472605788402704,5.406935726048928,5.34205367614746,5.2779501822076735,5.214615903922887,5.152041608346264,5.090218178714913,5.029136605625791,4.968787985565017,4.909163525319922,4.850254534625639,4.792052427635779,4.734548724393118,4.677735043476181,4.621603104940611,4.5661447288484815,4.511351832326935,4.4572164310388604,4.403730634770852,4.350886648903887,4.29867677147196,4.247093394632767,4.196129001726344,4.145776162863007,4.09602754227678,4.046875888030606,3.9983140378990787,3.950334913485716,3.9029315231643245,3.856096959137628,3.8098243944959087,3.764107087629055,3.718938373402459,3.6743116705104364,3.6302204741228103,3.5866583602969597,3.5436189786244046,3.501096056642856,3.4590833983655322,3.417574879869109,3.376564452235088,3.3360461371377492,3.2960140327268745,3.256462301862295,3.2173851824086657,3.1787769769406835,3.140632060096509,3.1029448741657077,3.065709923206529
3,37.98,39.29,36.65,42.39,38.32,37.39,29.96,35.6,35.7,32.9,33.17,26.6,27.78,22.45,24.9,22.63,21.55,23.2,21.72,17.76,17.32,15.57,21.78,19.84,19.0,14.75,19.45,16.53,10.6,15.59,11.04,10.77,10.62,13.32,12.64,12.62,11.57,10.34,9.42,9.26,9.0,8.73,8.38,8.13,7.9,7.65,7.52,7.38,7.25,7.11,6.98,6.9,6.82,6.66,6.56,6.46,6.36,6.31,6.26,6.14,6.02,5.96,5.92,5.88,5.85,5.76,5.56,5.43,5.44,5.45,5.4,5.3,5.26,5.22,5.05,4.94,4.89,4.85,4.86,4.8,4.67,4.6,4.6,4.59,4.58,4.5,4.42,4.34,4.287921036360555,4.2364669956107655,4.185630378572515,4.135403777652483,4.085779873609733,4.0367514334007755,3.9883113123345106,3.940452451917287,3.8931678766204976,3.846450696035517,3.800294101641297,3.7546913678818354,3.7096358467788337,3.665120973319038,3.6211402611443693,3.5776872993195146,3.534755755564335,3.492339374098928,3.4504319724112236,3.409027444489386,3.3681197543570103,3.327702941460459,3.2877711152815206,3.2483184564148817,3.2093392154906555,3.1708277120969157,3.132778332624758,3.0951855324232396,3.0580438336444398,3.0213478220110574,2.985092150048814,2.94927153493152,2.9138807541711986,2.8789146531603653,2.8443681333198794,2.810236160718684,2.776513760686471,2.7431960199686163,2.7102780813388345,2.6777551489865266,2.6456224820519654,2.613875396781235,2.582509267603697,2.551519523899589,2.520901647845084,2.4906511776446996,2.4607637042988904,2.431234873758984,2.402060380462374,2.3732359727198618,2.3447574516381833,2.316620664655207,2.288821512004736,2.2613559413291733,2.234219951989391,2.207409587522453,2.1809209399514895,2.1547501508631632,2.128893403865396,2.1033469321296403,2.0781070130035433,2.053169965856008,2.0285321585420037,2.0041899987828184,1.9801399395534027,1.956378476927432,1.9329021457674325,1.9097075251121247,1.8867912360214858,1.8641499361894083,1.841780328563446,1.819679151647601,1.797843183812195,1.7762692432938711,1.7549541860406566,1.7338949046344934,1.7130883315236451,1.6925314336353554,1.6722212134533154,1.6521547133275363,1.632329006854605,1.612741205342493
4,38.31,30.97,33.31,24.89,30.52,27.96,29.7,25.15,26.53,25.66,21.9,24.84,23.18,20.68,15.46,21.77,19.98,18.87,16.55,17.24,17.21,17.8,16.61,12.58,11.67,12.65,14.72,12.3,9.53,10.57,10.01,11.76,10.71,7.28,11.52,7.96,10.32,10.74,8.57,8.28,7.98,7.68,7.39,7.25,7.06,6.89,6.78,6.58,6.45,6.31,6.18,6.18,6.03,5.89,5.87,5.78,5.61,5.51,5.47,5.43,5.38,5.27,5.16,5.12,5.08,4.99,4.85,4.71,4.65,4.65,4.66,4.61,4.5,4.46,4.42,4.37,4.33,4.28,4.3,4.24,4.18,4.12,4.05,4.05,4.04,3.97,3.89,3.88,3.833440867361983,3.7874404232229013,3.741991964963234,3.6970888681761247,3.652724588725608,3.6088926617174986,3.565586700470275,3.522800392398624,3.4805275031298977,3.438761870329427,3.3974974088460956,3.356728105566765,3.316448017358051,3.276651274153663,3.237332077925291,3.1984846965079217,3.1601034687454077,3.1221828024322407,3.0847171701970932,3.0477011125901643,3.0111292339667193,2.974996205574436,2.939296761436946,2.9040256973247196,2.8691778748715246,2.8347482153997423,2.800731698891251,2.7671233711912246,2.7339183316587676,2.7011117413998234,2.6686988212089475,2.6366748453946247,2.6050351479539513,2.5737751174270667,2.5428901968971522,2.512375887077773,2.4822277401381956,2.4524413627907276,2.423012412174263,2.393936602028969,2.365209692405139,2.3368274989252242,2.3087858835218076,2.2810807595831704,2.2537080898950665,2.22666388561161,2.1999442041970427,2.1735451525130802,2.1474628837315675,2.121693594247139,2.0962335308810145,2.0710789816189736,2.0462262807569283,2.0216718068426895,1.997411980617745,1.9734432660463708,1.9497621713447437,1.9263652438353736,1.9032490750926723,1.8804102947682706,1.8578455747074727,1.835551626891029,1.8135252013769092,1.7917630883585278,1.7702621161065188,1.7490191519978473,1.7280310983993556,1.7072948967842176,1.6868075256737116,1.666565999608106,1.6465673670884313,1.6268087157220512,1.6072871629606338,1.5879998663912958,1.5689440124163432,1.5501168265444167,1.5315155630993478,1.5131375113948446,1.4949799926471499,1.4770403620332677,1.4593160035453951,1.4418043341073767
5,30.88,27.39,28.53,26.05,26.22,25.66,24.55,23.47,26.25,23.23,23.74,21.64,17.78,13.16,17.0,15.95,16.33,15.97,13.75,12.42,13.62,12.7,13.48,9.11,11.37,12.24,12.02,14.12,11.72,10.64,11.88,11.01,9.16,9.38,7.49,10.96,9.12,7.82,8.23,7.96,7.8,7.49,7.18,7.02,6.8,6.69,6.52,6.33,6.2,6.07,6.0,5.94,5.8,5.66,5.58,5.57,5.48,5.38,5.28,5.11,5.01,4.9,4.79,4.75,4.71,4.68,4.65,4.57,4.5,4.5,4.44,4.39,4.34,4.29,4.25,4.21,4.16,4.11,4.13,4.08,4.02,3.96,3.9,3.9,3.9,3.83,3.75,3.74,3.695120803504102,3.6507801391458634,3.606971543590659,3.5636886329288187,3.5209250985496543,3.47867471023594,3.4369313089434614,3.3956888119584803,3.3549412087717614,3.314682561078576,3.274907001747204,3.2356087348189386,3.1967820313821127,3.158421234729562,3.120520753138178,3.083075062963383,3.0460787086391328,3.009526297520451,2.9734125029779084,2.937732060271651,2.9024797717088617,2.867650498391825,2.833239165375382,2.799240756509472,2.765650318565101,2.732462954013894,2.69967382721705,2.667278160299373,2.6352712310862825,2.6036483761982954,2.572404984862068,2.541536505099352,2.511038438569531,2.480906339538128,2.4511358169397894,2.421722532315302,2.3926621998115905,2.363950582055747,2.3355834963439888,2.3075568074212054,2.279866431606935,2.252508333700881,2.2254785249199287,2.1987730670241175,2.1723880681906653,2.146319683013974,2.120564111474134,2.095117600999907,2.069976441311267,2.045136970608355,2.0205955673195346,1.9963486552588583,1.9723927005315889,1.948724211534198,1.9253397389543672,1.9022358757709878,1.8794092531281887,1.8568565444613092,1.8345744644654043,1.812559763937782,1.7908092359669596,1.7693197097437068,1.7480880526240308,1.7271111721921624,1.7063860090401073,1.6859095439880931,1.6656787929271077,1.645690806818898,1.6259426727274628,1.6064315127875608,1.5871544831732163,1.5681087740977202,1.5492916098136296,1.5307002486127674,1.5123319807632385,1.4941841285094268,1.47625404710349,1.4585391237738663,1.4410367766937815,1.423744453949756,1.4066596376675764,1.3897798357603528
6,32.62,26.39,28.04,24.17,19.34,20.02,23.96,21.71,21.17,24.23,19.9,18.08,17.37,16.98,17.61,13.3,15.16,14.77,13.03,17.83,13.54,11.88,14.28,10.9,14.2,10.46,11.59,10.79,9.69,10.0,10.07,9.14,7.31,10.88,8.82,6.95,7.27,9.31,7.83,7.58,7.36,7.14,6.89,6.7,6.59,6.44,6.25,6.15,6.03,5.9,5.84,5.71,5.57,5.5,5.3,5.15,5.14,5.11,5.02,4.86,4.69,4.59,4.55,4.51,4.47,4.43,4.41,4.38,4.37,4.36,4.29,4.23,4.18,4.13,4.09,4.04,4.0,3.95,3.97,3.92,3.87,3.81,3.75,3.76,3.76,3.69,3.62,3.61,3.5666807526598205,3.5238813177480086,3.481595458189148,3.4398170129070924,3.398539891689885,3.3577580792978208,3.3174656334094195,3.277656680513348,3.238325421043515,3.199466121162928,3.1610731189257986,3.1231408181154383,3.085663691325311,3.0486362768779807,3.0120531777980943,2.9759090628393996,2.9401986654577277,2.9049167807299416,2.8700582663809517,2.8356180427837185,2.8015910898781993,2.7679724502524,2.7347572229802735,2.701940567729785,2.669517702708881,2.637483901584436,2.6058344965633053,2.5745648742842553,2.5436704778719963,2.5131468059101696,2.482989409360292,2.4531938915617584,2.423755912339906,2.3946711808169017,2.365935457465769,2.3375445551374106,2.3094943359795512,2.2817807114367445,2.2543996432773845,2.2273471415396733,2.2006192614505706,2.1742121106149126,2.148121837718222,2.1223446417698666,2.0968767659409506,2.071714498591337,2.046854173269644,2.0222921646051777,1.998024894470036,1.9740488258170035,1.9503604657606044,1.9269563594149999,1.9038330970831057,1.880987309121511,1.858415665940473,1.8361148769769033,1.8140816937754183,1.7923129027992195,1.7708053336462293,1.749555850832956,1.7285613568755431,1.7078187933167883,1.687325135591056,1.6670773991863814,1.6470726304013152,1.6273079155880799,1.6077803729364293,1.5884871576087372,1.569425457631927,1.5505924938974731,1.5319855232424509,1.513601832287435,1.4954387425715843,1.4774936064445732,1.4597638091206269,1.4422467666244863,1.4249399257914075,1.4078407642671633,1.3909467894810241,1.3742555396727774,1.3577645818386908,1.3414715127585313
7,26.29,24.52,27.32,23.93,28.13,25.34,16.39,23.67,25.63,16.07,21.37,19.62,15.39,15.75,13.57,10.23,12.51,17.46,13.47,12.25,13.01,11.55,9.61,10.1,8.64,9.34,9.54,11.24,7.17,7.34,8.57,7.24,10.98,8.57,9.31,7.77,8.15,7.72,7.17,7.01,6.75,6.59,6.43,6.3,6.22,6.1,5.94,5.83,5.65,5.47,5.34,5.21,5.14,5.08,4.87,4.73,4.72,4.71,4.63,4.53,4.44,4.35,4.31,4.27,4.24,4.2,4.17,4.14,4.12,4.1,4.09,4.03,3.91,3.86,3.87,3.88,3.84,3.73,3.68,3.7,3.71,3.66,3.48,3.35,3.35,3.35,3.35,3.34,3.2999206450685876,3.2603222265169585,3.2211989742164193,3.182545185741121,3.144355229445459,3.106623537283471,3.069344613015238,3.032513021948884,2.9961233970953725,2.9601704350653106,2.9246488960689443,2.8895536039161613,2.8548794429390885,2.8206213610694917,2.786774364709775,2.753333520784582,2.7202939567407953,2.6876508564443307,2.655399464283346,2.6235350779876327,2.5920530547834177,2.5609488062643657,2.5302177994173762,2.4998555555967816,2.469857650524352,2.4402197112118875,2.4109374190386252,2.3820065056480333,2.353422754999414,2.325182002342101,2.297280131138061,2.26971307408769,2.242476815181419,2.215567383544906,2.188980858568042,2.162713365801748,2.136761075932173,2.1111202068322967,2.085787021510327,2.060757829135503,2.036028979909088,2.0115968722449775,1.9874579435374915,1.9636086763161784,1.940045595168415,1.9167652657136032,1.8937642946031708,1.871039330546373,1.8485870602070908,1.82640421333283,1.8044875555741209,1.7828338925877194,1.761440070036607,1.7403029684609874,1.719419507381489,1.6987866442733646,1.6784013714890895,1.6582607183099622,1.638361747868704,1.6187015622784597,1.5992772954521954,1.5800861151542984,1.5611252260779802,1.5423918647162715,1.5238832993620248,1.5055968342111146,1.4875298032076347,1.4696795731213,1.4520435435474461,1.4346191428038273,1.4174038320338194,1.400395102129016,1.3835904737292302,1.366987499274096,1.350583756848264,1.334376857362004,1.318364437370605,1.3025441652291736,1.286913732886233,1.271470864090127,1.256213307208414,1.2411388383052713
8,24.28,27.18,24.25,24.57,20.1,20.04,19.56,26.37,19.18,19.69,20.54,15.46,17.15,19.15,16.0,12.0,17.84,13.53,11.28,11.67,11.19,9.17,10.4,12.28,8.98,12.49,12.66,11.79,10.89,11.03,9.68,10.25,7.76,6.93,6.72,5.76,7.98,6.89,6.55,6.43,6.26,6.11,5.95,5.85,5.71,5.55,5.42,5.32,5.14,4.96,4.84,4.71,4.71,4.58,4.45,4.45,4.45,4.44,4.29,4.14,4.12,4.09,4.07,4.03,4.0,3.96,3.93,3.9,3.87,3.85,3.84,3.77,3.64,3.59,3.59,3.6,3.62,3.51,3.34,3.29,3.3,3.32,3.2,3.08,3.02,2.96,2.96,2.95,2.9146005184471715,2.8796258185984,2.8450708027630207,2.8109304358902185,2.7771997415918954,2.7438738051255203,2.7109477684227112,2.6784168330720886,2.646276259324988,2.614521361124045,2.583147512068897,2.552150140444763,2.5215247272338797,2.49126680909835,2.461371977385862,2.431835875146836,2.4026541971344253,2.3738226907988005,2.3453371542985835,2.3171934365008444,2.2893874359868214,2.2619150990633528,2.2347724227457264,2.20795545177483,2.1814602766285867,2.1552830374990832,2.129419917332594,2.103867148789556,2.078621007284592,2.0536778129750743,2.0290339297668436,2.0046857682970534,1.980629778974195,1.9568624549609408,1.9333803341627143,1.910179993261988,1.8872580507011356,1.8646111666824308,1.8422360401851967,1.8201294099600906,1.798288054529103,1.7767087901969911,1.755388473039845,1.7343239949279565,1.7135122865086658,1.6929503142235147,1.6726350813025266,1.6525636267699266,1.632733026438423,1.6131403889320737,1.59378285966342,1.574657616856354,1.5557618735346832,1.537092874539284,1.5186479014995142,1.500424263884666,1.482419306958232,1.4646304068064873,1.4470549693442074,1.4296904342918018,1.4125342711981796,1.3955839794407499,1.3788370872311386,1.3622911555923225,1.345943772392927,1.329792555330079,1.3138351499408376,1.2980692305964796,1.2824925005024983,1.2671026887157535,1.2518975521330382,1.2368748754910799,1.222032467389405,1.207368167250324,1.1928798363703803,1.1785653628917678,1.1644226618023301,1.150449669964145,1.136644353073506,1.123004697706657,1.1095287162912093,1.0962144451175735
9,23.54,23.29,25.24,22.18,18.47,16.29,16.94,20.98,18.59,18.33,20.49,15.5,16.85,15.22,17.26,16.51,13.56,13.37,12.47,12.55,8.04,13.29,12.07,11.44,8.7,13.56,10.5,10.08,7.44,11.72,10.71,8.47,7.65,10.76,8.22,7.45,8.22,4.22,6.24,6.1,5.99,5.87,5.66,5.44,5.28,5.12,5.01,4.93,4.84,4.78,4.67,4.56,4.56,4.43,4.3,4.3,4.3,4.23,4.09,4.01,3.99,3.97,3.95,3.92,3.89,3.86,3.82,3.79,3.76,3.73,3.71,3.64,3.51,3.45,3.45,3.46,3.41,3.23,3.06,3.01,3.02,3.04,3.05,3.0,2.87,2.81,2.82,2.82,2.786160468304588,2.7527269999808297,2.7196947213052067,2.6870588200046184,2.654814539212085,2.6229571794815096,2.5914820977802964,2.560384708496734,2.5296604773956926,2.4993049286703113,2.469313636882926,2.4396822320019895,2.410406395372536,2.381481860723564,2.3529044121532703,2.3246698851364322,2.29677416450964,2.2692131844712984,2.2419829295890072,2.2150794297626453,2.188498765261289,2.1622370626936744,2.136290492993433,2.110655275448624,2.0853276736722,2.060303997616778,2.0355805995450966,2.0111538760447907,1.987020268028387,1.9631762567037712,1.9396183686111055,1.916343169578527,1.8933472677442968,1.8706273115420358,1.8481799897007207,1.8260020312446874,1.8040902024714767,1.7824413119887554,1.7610522026552449,1.7399197586324073,1.7190409003475273,1.6984125834863277,1.6780318020151213,1.6578955861660416,1.6380010004222774,1.6183451465402234,1.59892515851256,1.5797382076051738,1.5607814963128532,1.5420522613814418,1.5235477738078362,1.5052653378326035,1.4872022869104444,1.4693559897544992,1.4517238442920415,1.4343032827013993,1.4170917643602667,1.4000867808826245,1.3832858551113554,1.3666865370887085,1.3502864090932194,1.3340830795954066,1.3180741872873056,1.3022573990677038,1.286630410042138,1.2711909425155121,1.255936745992096,1.2408655981829102,1.225975301983574,1.2112636864816888,1.1967286089716072,1.1823679499175115,1.168179615975567,1.1541615410013053,1.1403116810127059,1.1266280172123448,1.1131085559873986,1.099751325887489,1.0865543816542216,1.0735157981768797,1.0606336765367304,1.0479061389701025
