age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1467.78,1489.82,1409.77,1151.6,1063.39,1121.35,958.25,967.02,745.37,819.9,835.64,637.91,791.54,654.3,752.65,682.71,551.54,609.46,686.42,543.64,700.6,479.6,662.54,558.07,711.29,585.17,563.01,481.16,537.18,591.05,505.78,376.67,516.36,606.92,558.74,433.68,375.98,412.0,403.07,399.61,390.34,381.52,373.13,365.14,357.54,350.31,343.43,336.88,330.65,324.71,319.06,313.67,308.55,303.66,299.01,294.57,290.35,286.31,282.46,278.79,275.27,271.89,268.61,265.39,262.21,259.07,255.96,252.89,249.86,246.87,243.91,240.98,238.09,235.24,232.42,229.63,226.88,224.16,221.48,218.82,216.2,213.61,211.04,208.51,206.01,203.55,201.1,198.69,196.30790854864495,193.9543498896337,191.62898311507197,189.33147095512814,187.06148042004466,184.81868237213064,182.6027516327636,180.4133669823895,178.25021083951725,176.1129695817242,174.0013331176487,171.91499542199946,169.8536537865425,167.81700903410498,165.80476605358427,163.81663262292776,161.85232058615304,159.91154478332965,157.99402369258996,156.09947900212177,154.22763582417224,152.37822258804576,150.55097093310226,148.74561560175533,146.96189454647404,145.19954892978302,143.4583228032568,141.7379636425291,140.03822159828,138.3588498172412,136.69960465620008,135.06024514699016,133.44053321049498,131.84023365664802,130.25911429143449,128.6969452748804,127.15349987006537,125.62855401511528,124.12188610919857,122.63327733353174,121.16251143737576,119.70937495203961,118.27365665587124,116.85514800226478,115.45364301265874,114.06893806253242,112.70083188140572,111.34912587384488,110.01362347745125,108.69413080487237,107.39045589478926,106.10240961073158,104.82980459245985,103.57245596217741,102.33018098212472,101.10279912948036,99.89013201075991,98.69200339391622,97.50823913343827,96.33866717035103,95.1831175001151,94.04142216192635,92.91341519591528,91.79893263244676,90.69781243861918,89.60989455036497,88.5350208082495,87.47303493607066,86.42378254085898,85.38711104867635,84.36286975811709,83.35090971190566,82.35108379319837,81.36324659718109,80.38725448457025,79.42296552811186,78.47023950188135,77.52893784918304,76.59892367184989,75.68006173024352,74.77221836835302,73.8752615565955
1,112.82,65.11,88.14,94.79,58.02,28.49,63.79,70.75,50.51,29.65,59.79,37.57,38.13,79.52,72.79,16.2,32.41,64.63,41.22,25.33,26.13,54.13,36.84,36.6,35.19,17.22,67.58,72.36,30.85,38.33,31.06,0.0,15.39,31.56,23.92,31.78,31.44,8.11,43.13,42.79,41.83,40.91,40.04,39.21,38.41,37.66,36.94,36.25,35.59,34.97,34.37,33.8,33.26,32.74,32.25,31.77,31.32,30.89,30.48,30.08,29.7,29.34,28.99,28.64,28.29,27.95,27.62,27.29,26.96,26.64,26.32,26.0,25.69,25.38,25.08,24.78,24.48,24.18,23.89,23.61,23.32,23.04,22.77,22.5,22.23,21.96,21.7,21.43,21.172862698823714,20.918810498068336,20.66780639668503,20.419813825543827,20.174796659431344,19.932719205053065,19.693546213031073,19.457242817915333,19.22377461017015,18.993107576185462,18.765208110274564,18.54004301467411,18.317579487546393,18.09778511098156,17.88062787499314,17.666076129527035,17.454098644450255,17.244664513568964,17.03774322661494,16.833304657247837,16.631319003066444,16.43175684559744,16.234589102304383,16.03978705058321,15.847322315764501,15.657166859115721,15.469292977841228,15.283673281086774,15.100280749928238,14.919088641389665,14.740070572427474,14.563200459941742,14.388452544771685,14.215801343704674,14.045221709464982,13.876688794720524,13.710178040085122,13.545665198113998,13.383126273315037,13.222537618130763,13.063875800963132,12.907117726150979,12.75224053798807,12.599221692709566,12.448038874507803,12.298670067518765,12.151093495833361,12.005287671488402,11.861231340476753,11.718903516341012,11.578283459777346,11.439350682234808,11.302084939916488,11.16646623137993,11.032474797537153,10.900091114456002,10.769295892160365,10.640070071030863,10.512394824204376,10.3862515467761,10.261621858199074,10.138487599884646,10.016830826804034,9.896633814686993,9.777879048024054,9.660549223665855,9.544627244824266,9.43009621867284,9.316939457546585,9.205140474142874,9.094682974322785,8.985550865509536,8.877728244690724,8.771199400817896,8.665948808807647,8.561961134340747,8.459221221864377,8.357714102990558,8.257424985698174,8.158339254332985,8.060442472007155,7.963720373400627
2,80.31,70.92,14.48,51.54,58.54,7.26,35.83,50.06,78.48,50.78,51.86,44.7,89.8,45.61,31.73,16.07,32.23,32.32,16.16,24.69,25.11,43.36,26.93,18.32,9.08,69.84,34.18,8.39,24.04,38.39,30.53,23.25,15.38,30.57,23.51,31.63,15.79,7.8,14.15,14.01,13.66,13.33,13.02,12.72,12.44,12.18,11.92,11.68,11.46,11.24,11.04,10.84,10.66,10.49,10.32,10.16,10.01,9.87,9.74,9.61,9.49,9.37,9.26,9.14,9.03,8.93,8.82,8.71,8.61,8.51,8.4,8.3,8.2,8.1,8.01,7.91,7.82,7.72,7.63,7.54,7.45,7.36,7.27,7.18,7.1,7.01,6.93,6.84,6.757922274966954,6.676829426974338,6.596709641936029,6.517551241111508,6.439342692079823,6.362072595326972,6.285729692781205,6.210302856839055,6.135781097681323,6.062153554737761,5.989409499125739,5.917538328772922,5.846529572075258,5.776372878142347,5.70705802655207,5.638574913937967,5.5709135600858835,5.504064106714645,5.438016810160073,5.372762046252306,5.308290304219151,5.244592191563404,5.181658421869549,5.119479825777727,5.058047342448433,4.997352018343178,4.937385008443821,4.878137573813914,4.819601079160039,4.761766995270466,4.704626894137835,4.648172447739832,4.592395428039178,4.537287708202968,4.4828412565060205,4.42904813876953,4.375900514703089,4.323390640343338,4.271510860737993,4.220253617261819,4.169611440300656,4.119576948032086,4.0701428500834265,4.021301941435075,3.973047103639846,3.9253713060422943,3.8782675996820704,3.8317291197325796,3.78574908428165,3.7403207918928767,3.695437622824946,3.6510930353736524,3.6072805670912227,3.563993832347661,3.5212265235500757,3.4789724087040232,3.4372253277555114,3.395979198687658,3.3552280089853754,3.3149658205126906,3.2751867646354302,3.2358850446598764,3.197054933394106,3.158690770709335,3.1207869671979074,3.083337996857311,3.0463384031868346,3.0097827930909116,2.9736658405371155,2.9379822804595066,2.9027269124166226,2.8678945993721503,2.833480264036934,2.7994788913076367,2.765885524608752,2.7326952707699177,2.6999032902712847,2.6675048057788207,2.635495093609003,2.6038694898254695,2.5726233865810233,2.541752227240322
3,106.19,51.58,42.73,29.01,88.73,51.44,72.99,36.18,57.79,21.61,36.4,29.53,14.89,7.48,30.45,0.0,8.02,0.0,48.43,40.32,8.29,33.39,25.9,35.76,27.31,26.99,17.38,8.5,25.12,16.0,22.99,0.0,23.21,15.34,7.6,0.0,7.88,15.69,10.69,10.54,10.24,9.96,9.7,9.45,9.21,8.99,8.78,8.58,8.4,8.23,8.06,7.91,7.76,7.63,7.5,7.38,7.26,7.15,7.05,6.96,6.87,6.78,6.7,6.62,6.54,6.46,6.38,6.31,6.23,6.16,6.08,6.01,5.94,5.87,5.8,5.73,5.66,5.59,5.52,5.46,5.39,5.33,5.26,5.2,5.14,5.08,5.01,4.95,4.890601182024136,4.8319151217219565,4.773933265883399,4.716647165755712,4.6600484733567225,4.604128939017014,4.5488804138377485,4.494294847232851,4.440364283242273,4.387080862989818,4.334436820996411,4.282424486409006,4.231036276856043,4.180264704591991,4.130102371581712,4.080541965813732,4.031576264986972,3.9831981340529254,3.9354005215289303,3.8881764631848994,3.841519074669862,3.7954215576565145,3.7498771936966655,3.7048793454501534,3.6604214554559324,3.6164970449031646,3.5730997111733993,3.5302231302983955,3.487861054502299,3.4460073085149157,3.4046557932584403,3.363800483389637,3.3234354223842013,3.2835547311391267,3.244152594454701,3.20522327086578,3.166761086497243,3.128760437521809,3.0912157840154912,3.0541216561021445,3.017472646580007,2.9812634133795193,2.9454886807922356,2.9101432357840933,2.875221925537596,2.8407196611385404,2.8066314138892876,2.7729522177665835,2.7396771620480997,2.706801397456985,2.6743201349329513,2.6422286382588194,2.6105222314339733,2.5791962925298177,2.5482462586054115,2.517667617105102,2.4874559107741643,2.4576067388877094,2.4281157486483207,2.398978643788415,2.3701911784257006,2.3417491546053553,2.3136484296734836,2.2858849064458413,2.2584545393523836,2.2313533319794443,2.2045773321540993,2.178122638088714,2.1519853959231234,2.126161793580086,2.100648070596557,2.075440507063508,2.050535428541559,2.025929206060982,2.0016182536638825,1.9775990271752864,1.953868027889872,1.9304217964274217,1.9072569139617308,1.8843700071362453,1.8617577382327868,1.8394168125450094
4,62.01,38.29,29.67,28.59,36.36,14.86,7.4,51.47,36.51,36.47,21.73,43.58,22.1,44.69,14.98,22.74,23.65,8.02,56.36,8.06,0.0,33.06,8.33,25.78,8.89,18.07,8.92,17.3,0.0,0.0,15.98,0.0,15.2,7.71,15.29,7.56,38.85,7.82,10.56,10.38,10.05,9.74,9.46,9.19,8.94,8.7,8.48,8.27,8.08,7.9,7.73,7.57,7.42,7.28,7.15,7.03,6.92,6.81,6.71,6.62,6.53,6.45,6.37,6.3,6.22,6.15,6.07,6.0,5.93,5.86,5.79,5.72,5.65,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.653481052905913,4.597640307572131,4.542469627571348,4.487960971419986,4.434106395076705,4.3808980506931485,4.328328185364689,4.276389136133381,4.225073334985005,4.174373301353506,4.124281648367297,4.0747910766029545,4.025894371586706,3.977584407542204,3.9298541461412686,3.882696629008328,3.8361049839667194,3.7900724225401685,3.74459223495575,3.699657793891668,3.6552625494802187,3.6114000330555656,3.568063852156705,3.5252476892782036,3.4829453068672374,3.4411505398280378,3.3998572942726266,3.3590595562656365,3.318751376833195,3.2789268819570023,3.23958027007581,3.2007058045898664,3.162297821356472,3.1243507224436815,3.0868589761303062,3.0498171206536884,3.0132197567141494,2.9770615512227643,2.9413372323043245,2.906041596792898,2.871169497739228,2.836715855654074,2.8026756472648744,2.7690439117620445,2.7358157483004546,2.7029863147501763,2.6705508251979566,2.638504553695002,2.606842830509197,2.575561038377326,2.5446546212498915,2.514119073047775,2.483949943908539,2.454142837687904,2.424693409461232,2.395597366772785,2.366850470884985,2.3384485305321157,2.3103874081666205,2.282663012463545,2.2552713033175764,2.2282082893445225,2.2014700253827946,2.1750526149919245,2.1489522079540473,2.12316500152316,2.0976872354280838,2.0725151968695013,2.0476452180214384,2.023073674782005,1.998796984274874,1.974811611095583,1.951114056068192,1.9277008687378874,1.9045686336291177,1.8817139827381966,1.8591335830407032,1.836824143987041,1.8147824137546589,1.79300518174657,1.7714892723450544,1.7502315499086971
5,31.02,15.59,61.43,29.75,7.17,21.83,37.31,37.21,44.31,29.38,14.63,28.94,7.26,29.49,37.29,29.89,22.74,15.76,32.12,24.19,0.0,16.19,33.0,33.27,8.53,17.71,0.0,17.78,0.0,0.0,0.0,16.0,0.0,15.22,7.69,0.0,22.61,7.74,9.92,9.73,9.41,9.11,8.83,8.57,8.32,8.1,7.88,7.68,7.5,7.32,7.16,7.01,6.87,6.74,6.61,6.5,6.39,6.29,6.2,6.11,6.03,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57,4.51,4.46,4.4,4.35,4.29780093455691,4.246228236707086,4.195274388935658,4.144931966107047,4.095193630666041,4.046052136236988,3.9975003192256833,3.949531104818018,3.902137502181059,3.855312604463049,3.8090495875936727,3.763341710284059,3.7181823092278576,3.6735648050998915,3.6294826941580407,3.585929551842437,3.5428990327754613,3.500384864763091,3.4583808523940904,3.4168808722410904,3.3758788788592375,3.3353688951883522,3.2953450185515805,3.2558014146567382,3.2167323223952375,3.1781320454439674,3.1399949594636807,3.1023155073000726,3.0650881965843118,3.028307603332242,2.991968364745988,2.956065186412347,2.920592836304133,2.8855461435804424,2.850920000986118,2.8167093624522894,2.7829092430963684,2.749514714423128,2.716520911523088,2.6839230246743964,2.6517163041417553,2.6198960565772276,2.588457642620772,2.5573964816991737,2.5267080472271104,2.496387866607162,2.466431520030075,2.436834642874223,2.4075929197069548,2.378702091482979,2.350157945946517,2.3219563236299554,2.2940931142546552,2.266564256730952,2.239365739158154,2.2124935988245444,2.1859439174084545,2.159712825777191,2.1337965027873014,2.1081911692859228,2.082893095309164,2.057898592883723,2.033204018426346,2.00880577514329,1.9847003046322103,1.9608840952802684,1.937353676265486,1.9141056175567395,1.8911365311134924,1.8684430696860665,1.8460219256159065,1.8238698308355834,1.8019835568687934,1.7803599148303577,1.7589957530267613,1.7378879569561512,1.7170334505080695,1.6964291947637211,1.676072186796243,1.6559594584709727,1.6360880812443734,1.6164551565661855
6,30.29,23.38,62.54,69.37,37.35,28.75,14.61,52.58,22.48,29.68,29.49,29.15,7.21,14.53,7.37,7.44,7.46,7.57,31.52,0.0,16.12,0.0,8.09,24.71,16.56,0.0,0.0,53.62,35.62,34.71,0.0,16.73,7.98,22.97,7.58,15.34,7.6,15.04,9.21,9.03,8.74,8.46,8.2,7.96,7.73,7.52,7.32,7.14,6.96,6.8,6.65,6.51,6.38,6.26,6.14,6.04,5.94,5.85,5.76,5.68,5.6,5.53,5.47,5.4,5.34,5.27,5.21,5.15,5.08,5.02,4.96,4.9,4.84,4.79,4.73,4.67,4.62,4.56,4.51,4.45,4.4,4.35,4.29,4.24,4.19,4.14,4.09,4.04,3.991520842311821,3.9436234137678547,3.896300734372343,3.8495459091813444,3.803352122555993,3.7577126427598886,3.712620819660403,3.6680700801312813,3.6240539337993907,3.5805659638499248,3.5375998339225005,3.495149281215061,3.4532081199319276,3.4117702378357455,3.370829595098144,3.330380225449079,3.290416235027485,3.250931798933231,3.2119211623764667,3.1733786406776243,3.13529861581937,3.0976755398946527,3.060503928210611,3.023778363885964,2.987493495552321,2.951644033906128,2.9162247551567186,2.881230496428917,2.846656158061736,2.8124967024590264,2.7787471506414354,2.7454025822464,2.712458140125546,2.6799090222992477,2.6477504842553206,2.615977840098376,2.5845864591017693,2.5535717657076034,2.5229292406760755,2.492654418786781,2.4627428853906665,2.43319028445547,2.403992305922886,2.375144696052704,2.3466432505267147,2.3184838155980616,2.290662288091236,2.2631746108046866,2.2360167794069103,2.2091848355403587,2.1826748702694854,2.156483017184654,2.1306054604475757,2.1050384290445723,2.079778196786568,2.054821081159748,2.0301634467735985,2.00580169731547,1.9817322847453647,1.9579517001011475,1.9344564769465913,1.9112431925207272,1.8883084619910988,1.8656489453498561,1.843261337069616,1.8211423764476018,1.7992888384108519,1.7776975392629635,1.7563653320866996,1.7352891067439866,1.7144657933239618,1.6938923552468803,1.6735657950108591,1.6534831495944808,1.6336414927554939,1.6140379327321122,1.5946696122430157,1.5755337084873517,1.5566274319953843,1.537948027777845,1.519492773027233,1.5012589782671653
7,21.79,15.23,31.23,23.51,15.47,15.0,36.07,44.0,37.77,15.06,7.43,14.71,7.28,28.85,29.04,7.36,14.89,22.41,15.17,23.67,24.26,8.05,32.26,8.08,8.19,8.25,8.44,0.0,17.85,8.9,0.0,8.56,16.72,7.96,15.25,0.0,0.0,7.57,8.24,8.1,7.84,7.6,7.37,7.16,6.96,6.77,6.6,6.44,6.29,6.14,6.01,5.89,5.77,5.66,5.56,5.47,5.38,5.3,5.22,5.15,5.08,5.01,4.95,4.89,4.84,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.616080706871566,3.5726884278599007,3.5298168400096093,3.4874596945546417,3.445610820290533,3.4042641157058395,3.3634135579747824,3.323053191716442,3.283177135739241,3.243779578544622,3.204854778327047,3.1663970629739975,3.1284008266937318,3.0908605333875268,3.0537707110292747,3.017125953913644,2.980920922656081,2.9451503396964824,2.909808993795523,2.8748917321660885,2.8403934672177575,2.806309170936401,2.7726338760082627,2.739362674695875,2.7064907188380625,2.6740132164776975,2.641925435233943,2.610222697805929,2.578900384220915,2.547953930710207,2.5173788263369175,2.487170614120044,2.457324893282633,2.4278373125072927,2.3987035755565973,2.369919436776766,2.341480699973579,2.3133832206605414,2.285622903810718,2.258195704980821,2.2310976246907974,2.2043247162924007,2.1778730758524607,2.151738848897369,2.125918227040838,2.100407446859817,2.0752027898944925,2.050300583772373,2.025697197711962,2.001389048143161,1.9773725908387074,1.9536443254104952,1.9302007953095754,1.907038582205753,1.8841543104839071,1.8615446461199145,1.8392062933084037,1.8171359967109169,1.7953305380836697,1.7737867418979532,1.7525014674715675,1.731471611216986,1.710694110013595,1.6901659355872918,1.6698840945104825,1.6498456326984072,1.630047628664654,1.6104871968934007,1.5911614878394171,1.572067683431739,1.5532030015699938,1.5345646927521552,1.5161500400745458,1.4979563614799978,1.479981003013367,1.4622213466901004,1.444674802627669,1.4273388157900526,1.4102108569950937,1.3932884319071452,1.3765690731685016,1.3600503437716447
8,42.04,14.62,15.27,23.45,23.56,15.52,45.2,7.25,22.08,15.17,15.09,22.27,22.01,14.55,21.6,7.25,14.72,14.89,37.35,15.21,15.8,24.18,8.03,16.14,8.06,8.15,8.2,16.81,0.0,8.91,8.92,26.1,0.0,0.0,23.79,7.6,7.55,22.82,7.3,7.18,6.96,6.75,6.56,6.38,6.21,6.05,5.9,5.76,5.63,5.5,5.39,5.28,5.18,5.08,4.99,4.91,4.83,4.76,4.69,4.63,4.57,4.51,4.45,4.4,4.35,4.3,4.24,4.19,4.14,4.09,4.04,4.0,3.95,3.9,3.85,3.81,3.76,3.72,3.67,3.63,3.58,3.54,3.5,3.46,3.41,3.37,3.33,3.29,3.2505205782004047,3.2115148959961815,3.1729772681662163,3.134902079348752,3.0972837796058763,3.0601168877501563,3.023395985800244,2.9871157223075158,2.95127081124719,2.9158560264739353,2.8808662083751426,2.8462962583265323,2.8121411364743945,2.7783958650622274,2.7450555273218598,2.71211526414681,2.679570274092291,2.647415814484086,2.615647199200793,2.584259798673823,2.5532490387785227,2.522610398616417,2.4923394138418438,2.4624316733353186,2.4328828169857797,2.403688540126096,2.3748445857709264,2.3463467523788606,2.318190886090274,2.290372882945083,2.262888687773869,2.2357342975245107,2.208905753500034,2.1823991446852524,2.1562106099645186,2.1303363314684547,2.1047725379005886,2.079515504537355,2.0545615499014565,2.0299070368707453,2.00554837267822,1.9814820066942713,1.9577044326444373,1.9342121841738904,1.9110018381740712,1.8880700114560554,1.865413361859428,1.8430285871434098,1.8209124260957328,1.799061654097126,1.777473087556831,1.756143579477086,1.7350700216708839,1.7142493414353368,1.6936785070960683,1.6733545180273055,1.6532744135229096,1.6334352672519805,1.6138341861499805,1.5944683148542467,1.575334831268478,1.5564309465627346,1.537753904064558,1.5193009836944884,1.5010694953127899,1.483056782046088,1.465260218069612,1.4476772097160737,1.4303051954756674,1.4131416426694334,1.3961840496670155,1.379429945886662,1.3628768873597092,1.3465224644927343,1.3303642920876444,1.314400014886073,1.2986273075693782,1.2830438692142498,1.267647431054859,1.252435747611831,1.2374066022366368,1.2225578048938361
9,20.44,21.16,21.99,22.92,39.06,31.41,31.11,7.57,14.54,0.0,22.76,22.56,29.71,14.67,14.52,7.19,21.77,7.35,7.47,29.91,30.3,23.72,0.0,8.02,32.17,32.12,24.33,16.36,25.16,0.0,8.92,17.83,8.68,0.0,0.0,0.0,7.58,0.0,6.75,6.65,6.45,6.27,6.09,5.93,5.77,5.63,5.49,5.37,5.25,5.13,5.03,4.93,4.83,4.75,4.67,4.59,4.52,4.45,4.38,4.32,4.27,4.22,4.16,4.11,4.06,4.02,3.97,3.92,3.87,3.83,3.78,3.74,3.69,3.65,3.6,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.12,3.08,3.0430405114816073,3.006524524801758,2.970446716886538,2.934801831778094,2.8995846740330578,2.864790110923068,2.830413071334508,2.7964485468687736,2.762891585240686,2.7297372979803405,2.696980851630997,2.6646174732504,2.6326424460097204,2.6010511102938216,2.569838861500735,2.5390011511419193,2.5085334846417346,2.4784314213374468,2.448690575579483,2.4193066112301236,2.390275247164812,2.3615922528711053,2.333253446248147,2.3052546980077167,2.2775919272731837,2.2502611037800273,2.223258243474787,2.196579410715587,2.170220718272139,2.1441783229246862,2.118448430965321,2.0930272915964054,2.06791120023136,2.0430964962941385,2.018579563219227,1.9943568284516444,1.970424760146152,1.94677987266857,1.9234187177936717,1.9003378924070267,1.8775340330036825,1.8550038145879042,1.8327439539739623,1.8107512075856058,1.7890223692555371,1.7675542735262018,1.74634379014847,1.7253878295829561,1.7046833363984357,1.6842272925726387,1.6640167174922467,1.6440486668526308,1.6243202282567977,1.604828527816971,1.58557072355301,1.566544010893727,1.5477456149750433,1.5291727961413064,1.5108228488450264,1.4926930972458234,1.4747809007117432,1.4570836472176782,1.4395987577464189,1.4223236840881306,1.4052559088403493,1.3883929443077225,1.3717323325020057,1.3552716462423275,1.3390084858544,1.322940480270781,1.3070652892314008,1.2913805977822466,1.2758841195761512,1.260573597973057,1.2454468005387,1.230501522345398,1.2157355859720522,1.2011468382033568,1.186733154430852,1.172492432051344,1.1584225970684858,1.1445215985914596
