age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1485.86,1499.05,1407.84,1156.21,1067.0,1121.18,962.74,970.58,742.05,818.88,839.18,639.83,788.97,655.13,751.31,682.88,551.68,609.62,686.12,543.24,703.49,479.03,659.59,557.75,710.86,581.97,563.5,481.13,538.22,586.57,506.16,377.4,517.83,606.87,558.73,433.68,375.95,411.96,531.43,456.25,483.81,462.68,480.93,501.93,350.86,310.58,303.07,295.99,289.33,283.06,277.18,271.66,266.47,261.61,257.04,252.76,248.72,244.93,241.35,237.97,234.77,231.73,228.84,226.07,223.41,220.85,218.37,215.95,213.58,211.25,208.94,206.66,204.4,202.16,199.96,197.77,195.61,193.47,191.36,189.27,187.2,185.15,183.13,181.13,179.15,177.19,175.25,173.34,171.44,169.57,167.72,165.88,164.07,162.28,160.52024786436417,158.77957834876085,157.05778452269112,155.354661699595,153.67000741251806,152.00362139004238,150.35530553247824,148.7248638883141,147.11210263092187,145.51683003551491,143.9388564563557,142.37799430421094,140.83405802405082,139.3068640729904,137.79623089847,136.30197891667214,134.82393049117297,133.36190991182457,131.9157433738667,130.4852589572648,129.07028660627242,127.67065810921476,126.2862070784918,124.91676893079814,123.56218086755744,122.22228185556887,120.89691260786353,119.58591556476846,118.28913487517598,117.00641637801608,115.73760758392989,114.48255765714158,113.24111739752729,112.01313922287801,110.79847715135512,109.59698678413613,108.40852528824854,107.23295137958989,106.07012530613187,104.91990883130673,103.78216521757359,102.65675921016334,101.54355702099932,100.44242631279273,99.35323618331047,98.27585714981335,97.21016113366333,96.15602144509745,95.11331276816712,94.0819111458404,93.0616939652661,92.05253994319766,91.05432911157489,90.0669428032622,89.09026363794158,88.1241755081583,87.16856356551824,86.22331420703459,85.28831506162277,84.36345497674186,83.44862400518073,82.54371339198757,81.64861556154104,80.76322410476182,79.88743376646264,79.02114043283558,78.16424111907503,77.31663395713488,76.47821818361847,75.64889412779985,74.82856319977493,74.01712787874112,73.21449170140414,72.42055925051038,71.6352361435038,70.85842902130571,70.09004553721621,69.32999434593614,68.57818509270788,67.83452840257402,67.09893586975248,66.37132004712684,65.65159443585064,64.93967347506442,64.23547253172428,63.538907890540656
1,112.82,65.11,88.14,94.79,58.02,28.49,63.79,70.75,50.51,29.65,59.79,37.57,38.13,79.52,72.79,16.2,32.41,64.63,41.22,25.33,26.13,54.13,36.84,36.6,35.19,17.22,67.58,72.36,30.85,38.33,31.06,0.0,15.46,31.72,24.04,31.99,31.73,8.18,16.88,8.61,17.66,0.0,0.0,9.52,17.25,19.92,19.44,19.0,18.58,18.18,17.81,17.46,17.13,16.82,16.53,16.26,16.0,15.76,15.53,15.31,15.11,14.91,14.73,14.55,14.38,14.22,14.06,13.9,13.75,13.6,13.45,13.3,13.16,13.01,12.87,12.73,12.59,12.45,12.32,12.18,12.05,11.92,11.79,11.66,11.53,11.4,11.28,11.15,11.03,10.91,10.79,10.67,10.56,10.44,10.367490851632509,10.295485302555916,10.22397985511163,10.152971035933419,10.082455395778695,10.012429509360961,9.942889975183443,9.873833415373845,9.80525647552028,9.737155824508324,9.66952815435922,9.602370180069174,9.535678639449808,9.469450292969675,9.403681923596924,9.338370336643019,9.273512359607556,9.209104842024171,9.145144655307494,9.081628692601186,9.018553868627022,8.955917119535021,8.893715402754626,8.831945696846908,8.7706050013578,8.70969033667235,8.649198743869986,8.589127284580792,8.529473040842772,8.470233114960111,8.411404629362423,8.352984726464966,8.294970568529848,8.237359337528172,8.180148235003156,8.123334481934199,8.06691531860189,8.01088800445395,7.95524981797212,7.899998056539955,7.84513003631155,7.790643092081171,7.736534577153787,7.682801863216521,7.629442340210964,7.576453416206408,7.523832517273928,7.471577087361364,7.419684588169159,7.368152499027056,7.316978316771669,7.266159555624877,7.2156937470730895,7.165578439747332,7.115811199304178,7.066389608307492,7.017311266111012,6.96857378874173,6.920174808784097,6.872111975265026,6.824382953539691,6.776985425178121,6.729917087852589,6.683175655225768,6.636758856839679,6.590664438005402,6.544890159693556,6.4994337984255335,6.454293146165503,6.409466010213147,6.364950213097157,6.32074359246946,6.2768440010001845,6.233249306273355,6.189957390683303,6.146966151331818,6.1042734999259896,6.061877362676767,6.019775680198236,5.977966407407575,5.936447513425716,5.895216981478705,5.8542728087997205,5.813613006531807,5.773235599631252,5.733138626771661
2,80.31,70.92,14.48,51.54,58.54,7.26,35.83,50.06,78.48,50.78,51.86,44.7,89.8,45.61,31.73,16.07,32.23,32.32,16.16,24.69,25.11,43.36,26.93,18.32,9.08,69.84,34.18,8.39,24.04,38.39,30.53,23.29,15.42,30.76,23.68,31.9,15.95,7.9,8.15,16.92,8.58,17.42,17.62,8.98,11.47,12.4,12.09,11.79,11.51,11.25,11.01,10.78,10.56,10.36,10.17,10.0,9.83,9.68,9.54,9.4,9.27,9.15,9.03,8.92,8.82,8.72,8.62,8.52,8.43,8.34,8.24,8.15,8.06,7.98,7.89,7.8,7.72,7.63,7.55,7.47,7.39,7.3,7.22,7.15,7.07,6.99,6.91,6.84,6.76,6.69,6.62,6.54,6.47,6.4,6.344687481344543,6.289853005614089,6.235492441283915,6.181601692536341,6.128176698952119,6.075213435204506,6.02270791075597,5.9706561695575235,5.919054289750654,5.867898383371827,5.8171845960595485,5.766909106763958,5.717068127458926,5.6676579028566465,5.618674710124693,5.5701148586055185,5.521974689538386,5.47425057578369,5.426938921549677,5.380036162121514,5.333538763592705,5.287443222598827,5.241746066053566,5.196443850887043,5.151533163786382,5.107010620938548,5.06287286777538,5.019116578720844,4.9757384569404675,4.932735234092938,4.890103670083844,4.847840552821559,4.805942697975212,4.764406948734773,4.723230175573197,4.682409276010634,4.641941174380661,4.6018228215985575,4.562051194931562,4.522623297771124,4.483536159407129,4.444786834804063,4.4063724043791215,4.368289973782229,4.330536673677967,4.293109659529381,4.256006111383656,4.2192232336596485,4.182758254937252,4.146608427748584,4.110771028370972,4.07524335662174,4.0400227356547616,4.005106511758765,3.9704920541573987,3.936176754811004,3.90215802822012,3.868433311230672,3.835000062840854,3.8018557640096726,3.76899791746715,3.736424047526169,3.704131699895937,3.6721184414970676,3.6403818602782625,3.6089195650345705,3.5777291852272244,3.546808370805028,3.516154792027297,3.4857661392883146,3.455640122943324,3.425774473136004,3.396166939627453,3.3668152916266423,3.337717317622334,3.3088708252164545,3.280273640958911,3.2519236101838263,3.223818596847199,3.1959564833659617,3.168335170458429,3.140952576986129,3.113806639796996,3.086895313569925,3.0602165706606623,3.033768400949037
3,106.19,51.58,42.73,29.01,88.73,51.44,72.99,36.18,57.79,21.61,36.4,29.53,14.89,7.48,30.45,0.0,8.02,0.0,48.43,40.32,8.29,33.39,25.9,35.76,27.31,26.99,17.38,8.5,25.12,16.0,22.99,0.0,23.29,15.41,7.66,0.0,7.97,15.89,0.0,16.34,25.4,8.49,0.0,17.48,11.3,9.47,9.23,8.99,8.76,8.56,8.36,8.18,8.01,7.85,7.7,7.57,7.44,7.32,7.2,7.1,7.0,6.91,6.82,6.73,6.65,6.58,6.5,6.43,6.36,6.29,6.22,6.15,6.09,6.02,5.95,5.89,5.82,5.76,5.7,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.780400056192001,4.731309461126394,4.682722984229889,4.634635448642678,4.5870417306668525,4.5399367592204705,4.49331551529724,4.447173031431742,4.401504391170156,4.356304728546408,4.311569227563712,4.267293121681422,4.223471693307166,4.180100273294182,4.137174240443832,4.094689021013208,4.052640088227807,4.011022961799206,3.969833207447687,3.9290664364297707,3.8887183050705967,3.848784514301106,3.809260809199982,3.770142978540285,3.731426854340757,3.6931083114217182,3.6551832669655333,3.6176476800815935,3.5804975513757586,3.5437289225242226,3.507337875851763,3.4713205339143065,3.4356730590857967,3.400391653149293,3.3654725568922754,3.3309120497061016,3.2967064491895774,3.2628521107566026,3.2293454272478366,3.1961828285463647,3.163360781197298,3.1308757880312905,3.0987243877919166,3.0669031547668744,3.0354086984229793,3.004237663044907,2.973386727377639,2.942852604272591,2.912632040337365,2.8827218155891012,2.853118743111397,2.823819668714736,2.794821470600414,2.766121059027915,2.7377153759856983,2.70960139486537,2.6817761201392005,2.6542365870409523,2.6269798612499864,2.6000030385786106,2.5733032446626427,2.546877634655146,2.5207233929233146,2.494837732748469,2.4692178960291313,2.443861152987154,2.4187648018768613,2.3939261686971802,2.3693426069067294,2.3450114971418285,2.320930246937409,2.2970962904507872,2.2735070881882775,2.2501601267346074,2.2270529184851178,2.204183001380707,2.1815479386455046,2.1591453185272282,2.1369727540402192,2.115027882711105,2.0933083663270837,2.0718118906867864,2.0505361653536998,2.0294789234121233,2.0086379212256307,1.9880109381980102
4,62.01,38.29,29.67,28.59,36.36,14.86,7.4,51.47,36.51,36.47,21.73,43.58,22.1,44.69,14.98,22.74,23.65,8.02,56.36,8.06,0.0,33.06,8.33,25.78,8.89,18.07,8.92,17.3,0.0,0.0,15.98,0.0,15.29,7.75,15.37,7.64,39.31,7.92,15.84,7.91,8.17,0.0,0.0,8.51,8.28,8.32,8.12,7.91,7.71,7.52,7.34,7.18,7.02,6.88,6.75,6.63,6.51,6.4,6.3,6.21,6.12,6.04,5.96,5.89,5.82,5.75,5.69,5.62,5.56,5.5,5.44,5.38,5.32,5.26,5.2,5.15,5.09,5.04,4.98,4.93,4.87,4.82,4.77,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.32,4.27,4.22,4.150656350229555,4.082452165331976,4.015368721455821,3.949387602422686,3.88449069467147,3.8206601822857245,3.7578785421027145,3.6961285389028475,3.6353932206781505,3.5756559139784936,3.516900219334289,3.459110006754404,3.40226941129805,3.3463628287194362,3.2913749111839974,3.237290563055,3.184094936749396,3.131773428661767,3.080311675155249,3.0296955486183355,2.979911153586472,2.9309448229273865,2.8827831140890994,2.8354128054095864,2.7888208924870854,2.742994584610042,2.697921301245724,2.6535886685865284,2.609984516153049,2.5670968734529547,2.5249139666947737,2.4834242155556776,2.442616230002376,2.402478807164251,2.3630009282578737,2.3241717555620567,2.2859806294426126,2.248417065426004,2.2114707513210776,2.175131544388094,2.1393894685542807,2.104234711675133,2.0696576228407224,2.035648709726268,2.002198635986241,1.9692982186912904,1.9369384258072884,1.9051103737157966,1.873805324775278,1.8430146849223845,1.8127300013126588,1.7829429600000044,1.7536453836542891,1.7248292293164504,1.6964865861904916,1.6686096734717595,1.6411908382109064,1.6142225532129542,1.5876974149708802,1.56160814163316,1.5359475710047041,1.5107086585806484,1.4858844756124507,1.461468207205766,1.4374531504495776,1.4138327125760712,1.3906004091507462,1.367749862292266,1.3452747989215628,1.3231690490397094,1.3014265440340929,1.28004131501242,1.2590074911640978,1.2383192981485414,1.2179710565099644,1.197957180118219,1.1782721746352556,1.1589106360067798,1.1398672489787003,1.1211367856379468,1.1027141039772743,1.0845941464836417,1.0667719387497943,1.0492425881086562,1.032001282290163,1.015043288100168
5,31.02,15.59,61.43,29.75,7.17,21.83,37.31,37.21,44.31,29.38,14.63,28.94,7.26,29.49,37.29,29.89,22.74,15.76,32.12,24.19,0.0,16.19,33.0,33.27,8.53,17.71,0.0,17.78,0.0,0.0,0.0,16.04,0.0,15.35,7.74,0.0,22.89,7.84,7.92,7.95,15.82,16.17,8.28,0.0,5.65,7.51,7.33,7.16,6.98,6.81,6.65,6.5,6.36,6.23,6.11,5.99,5.89,5.79,5.7,5.61,5.53,5.46,5.39,5.32,5.26,5.2,5.14,5.08,5.02,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.755152243418935,3.6914053327890737,3.6287405803119137,3.567139615430265,3.5065843794428053,3.447057120210064,3.3885403869502713,3.331017025123554,3.27447017140298,3.2188832487309647,3.1642399614596104,3.110524290573534,3.0577204889937954,3.005813076961543,2.954786837500029,2.904626811953658,2.8553182956027667,2.806846833352843,2.7591982154969275,2.71235847354995,2.666313876153784,2.621050925051811,2.576556351131828,2.532817110536123,2.489820380837588,2.447553557280748,2.4060042490865956,2.365160275820162,2.325009663819746,2.2855406426867604,2.246741641835168,2.2086012870994955,2.1711083974004235,2.134251981466987,2.0980212346144147,2.0624055355766706,2.027394443392766,1.9929776943459236,1.9591451989547097,1.9258870390152396,1.8931934646935935,1.8610548916675953,1.8294618983171083,1.7984052229620295,1.7678757611471716,1.7378645629732354,1.7083628304730922,1.6793619150326058,1.650853314855238,1.6228286724696945,1.595279772279881,1.568198538156451,1.5415770310692385,1.515407446759883,1.4896821134539622,1.464393489611965,1.4395341617184434,1.4150968421086934,1.3910743668323327,1.3674596935531436,1.3442458994845696,1.3214261793602582,1.298993843439054,1.2769423155438608,1.2552651311337955,1.233955935409067,1.2130084814480284,1.1924166283758535,1.1721743395643007,1.1522756808620398,1.1327148188550182,1.1134860191563598,1.0945836447252943,1.0760021542146239,1.057736100346244,1.0397801283142392,1.02212897421509,1.0047774635045263,0.9877205094805783,0.9709531117923788,0.9544703549742795,0.9382674070048515,0.9223395178903495,0.9066820182722213,0.8912903180582564,0.8761599050769732
6,30.29,23.38,62.54,69.37,37.35,28.75,14.61,52.58,22.48,29.68,29.49,29.15,7.21,14.53,7.37,7.44,7.46,7.57,31.52,0.0,16.12,0.0,8.09,24.71,16.56,0.0,0.0,53.62,35.62,34.71,0.0,16.76,8.03,23.14,7.67,15.47,7.66,15.25,7.83,15.9,0.0,7.84,8.01,8.21,6.97,6.64,6.48,6.33,6.18,6.04,5.89,5.76,5.64,5.52,5.42,5.32,5.23,5.14,5.06,4.98,4.91,4.85,4.78,4.72,4.67,4.61,4.56,4.51,4.46,4.41,4.36,4.32,4.27,4.22,4.18,4.13,4.08,4.04,4.0,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.43,3.39,3.355326127157699,3.3210069084327674,3.287038716323209,3.2534179604301374,3.220141087078275,3.1872045789403334,3.1546049546652366,3.1223387685101462,3.0904026099762496,3.0587931034482754,3.0275069078376933,2.996540716229565,2.96589125553301,2.9355552861352385,2.9055296015591323,2.875811028124323,2.846396424611736,2.817282681931568,2.7884667227946616,2.7599455013872363,2.7317160030489527,2.7037752439542624,2.6761202707970257,2.648748160478347,2.6216560197976073,2.594840985146659,2.5683002222071405,2.542030925650897,2.5160303188434585,2.490295653550552,2.4648242096476176,2.4396132948322937,2.4146602443398444,2.3899624206614964,2.365517213265657,2.3413220383219846,2.3173743384282814,2.293671582340177,2.27021126470358,2.2469909057898656,2.224008051233769,2.2012602717739655,2.178745162996296,2.1564603450796254,2.134403462544299,2.11257218400317,2.090964201915173,2.0695772323414237,2.0484090147038043,2.0274573115460277,2.0067199082971365,1.9861946130374286,1.9658792562667724,1.945771690675294,1.9258697909164075,1.90617145338217,1.8866745959809317,1.867377157917261,1.848277099474122,1.8293724017972774,1.8106610666818987,1.7921411163613576,1.7738105932981794,1.7556675599771328,1.7377100987004364,1.719936311385061,1.7023443193621046,1.6849322631782182,1.667698302399064,1.6506406154147846,1.6337573992474599,1.6170468693605349,1.6005072594701961,1.584136821358677,1.567933824689474,1.5518965568244516,1.5360233226428184,1.5203124443619551,1.5047622613600746,1.4893711300006962,1.4741374234589149,1.459059531549448,1.444135860556441,1.4293648330650128,1.414744887794525,1.4002744794335567
7,21.79,15.23,31.23,23.51,15.47,15.0,36.07,44.0,37.77,15.06,7.43,14.71,7.28,28.85,29.04,7.36,14.89,22.41,15.17,23.67,24.26,8.05,32.26,8.08,8.19,8.25,8.44,0.0,17.85,8.9,0.0,8.56,16.79,8.02,15.39,0.0,0.0,7.64,0.0,0.0,7.96,7.89,7.78,7.95,6.53,6.14,5.98,5.84,5.71,5.59,5.47,5.35,5.23,5.13,5.03,4.94,4.86,4.78,4.7,4.63,4.57,4.51,4.45,4.39,4.34,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.4,3.37,3.33,3.29,3.26,3.22,3.19,3.15,3.119560635018767,3.089415414463077,3.059561495929906,3.0299960644831954,3.000716332388432,2.9717195388497912,2.9430029497498196,2.9145638573916353,2.886399580243618,2.8585074626865663,2.8308848747632975,2.803529211930672,2.776437894814003,2.7496083689638535,2.7230381046151733,2.6967245964487647,2.6706653633550594,2.6448579482001695,2.6192999175942075,2.5939888616618383,2.5689223938150514,2.5440981505281313,2.519513791114796,2.4951669975074964,2.471055474038843,2.447176947225147,2.4235291655520528,2.4001098992622425,2.3769169401451906,2.353948101328951,2.3312012170739562,2.308674142568811,2.2863647537280527,2.2642709469918763,2.2423906391277852,2.2207217670341626,2.199262287545743,2.1780101772409597,2.1569634322511573,2.1361200680716443,2.1154781193745746,2.0950356398236365,2.0747907018905303,2.0547413966732244,2.0348858337159594,2.0152221408310003,1.9957484639221061,1.976462966809706,1.957363831057766,1.9384492558023272,1.9197174575817029,1.9011666701683139,1.8827951444021525,1.8646011480258506,1.8465829655213475,1.8287388979481312,1.811067262783045,1.7935663937616428,1.7762346407210763,1.7590703694444991,1.7420719615069773,1.7252378141228875,1.7085663399947884,1.6920559671637565,1.6757051388611626,1.6595123133618854,1.6434759638389416,1.62759457821952,1.611866659042409,1.5962907233167987,1.5808653023824504,1.5655889417712168,1.5504602010698971,1.5354776537844232,1.5206398872053528,1.5059455022746657,1.491393113453845,1.4769813485932357,1.4627088488026634,1.4485742683233034,1.4345762744007904,1.4207135471595513,1.4069847794783539,1.3933886768670583,1.3799239573445585,1.366589351317905
8,42.04,14.62,15.27,23.45,23.56,15.52,45.2,7.25,22.08,15.17,15.09,22.27,22.01,14.55,21.6,7.25,14.72,14.89,37.35,15.21,15.8,24.18,8.03,16.14,8.06,8.15,8.2,16.81,0.0,8.91,8.92,26.07,0.0,0.0,24.03,7.68,7.67,23.07,0.0,15.18,7.84,0.0,15.64,0.0,5.17,6.85,6.65,6.49,6.35,6.22,6.1,5.97,5.85,5.73,5.63,5.53,5.43,5.35,5.27,5.19,5.12,5.05,4.98,4.92,4.86,4.81,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26,4.21,4.16,4.12,4.07,4.03,3.99,3.94,3.9,3.86,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.4894375471264705,3.449341188469121,3.409705568241925,3.370525392201012,3.331795426937502,3.2935104991784674,3.255665495095917,3.2182553596237344,3.181275095782454,3.1447197640118,3.1085844815108974,3.0728644215860617,3.037554813006081,3.0026509393649135,2.968148138451699,2.9340418016280156,2.9003273732122925,2.867000349871292,2.834056280018588,2.8014907632199515,2.7692994496055783,2.7374780392890576,2.7060222817930284,2.674927975481428,2.6441909669982686,2.613807150712864,2.583772468171423,2.5540829075549567,2.524734503143403,2.4957233347859162,2.4670455273772416,2.438697250340105,2.4106747171135536,2.3829741846471717,2.3555919529011127,2.328524364351873,2.301767803503746,2.275318696405891,2.2491735101749493,2.223328752523147,2.1977809712918197,2.1725267539903004,2.147562727340098,2.1228855568243246,2.0984919462422895,2.074378637269221,2.0505424090210367,2.026980077624127,2.003688495790073,1.980664552395252,1.9579051720652794,1.9354073147642206,1.9131679753885245,1.8911841833656227,1.8694530022571434,1.8479715293666805,1.8267368953520742,1.805746263842143,1.7849968310578233,1.7644858254376585,1.7442105072675944,1.7241681683150287,1.7043561314670632,1.684771750372915,1.6654124090904348,1.646275521736689,1.6273585321425559,1.60865891351129,1.590174168081011,1.5719018267910705,1.5538394489522525,1.5359846219207631,1.518334960775968,1.50088810800183,1.4836417331720098,1.4665935326385844,1.4497412292243421,1.4330825719186124,1.416615335576594,1.4003373206221337,1.3842463527539242,1.3683402826550755,1.3526169857060248,1.3370743617007455,1.3217103345662153,1.3065228520851109
9,20.44,21.16,21.99,22.92,39.06,31.41,31.11,7.57,14.54,0.0,22.76,22.56,29.71,14.67,14.52,7.19,21.77,7.35,7.47,29.91,30.3,23.72,0.0,8.02,32.17,32.12,24.33,16.36,25.16,0.0,8.92,17.81,8.66,0.0,0.0,0.0,7.68,0.0,15.34,7.61,7.59,15.56,7.83,23.26,10.61,6.67,6.47,6.3,6.16,6.03,5.92,5.81,5.7,5.59,5.49,5.39,5.31,5.22,5.14,5.07,5.0,4.93,4.87,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26,4.21,4.16,4.12,4.07,4.03,3.98,3.94,3.9,3.85,3.81,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.45,3.4151700439271377,3.3806917185325474,3.3465614738796843,3.3127757958708837,3.2793312058855433,3.2462242604219607,3.2134515507427848,3.181009702524048,3.1488953755077405,3.1171052631578933,3.0856360923201316,3.0544846228846683,3.0236476474526954,2.9931219910061473,2.9629045105807963,2.932992094942647,2.9033816642676022,2.874070169824358,2.8450545936605005,2.816331948291779,2.787899276394503,2.7597536505010583,2.7318921726984864,2.704311974330114,2.677010215700191,2.649984085781513,2.62323080192599,2.5967476095781463,2.5705317819915035,2.544580619947834,2.5188914514792424,2.49346163159306,2.468288541999508,2.443369590842119,2.418702212430873,2.3942838669780317,2.3701120403366387,2.3461842437416567,2.3224980135537256,2.2990509110054975,2.2758405219505424,2.252864456614781,2.230120349350431,2.20760585839244,2.1853186656173667,2.1632564763047117,2.1414170189006456,2.1197980447841274,2.0983973280353823,2.07721266520672,2.0562418750956644,2.0354827985203707,2.014933298097318,1.9945912580212382,1.9744545838472685,1.9545212022753087,1.934789060936547,1.915256128182149,1.8959203928740724,1.8767798641780005,1.8578325713583623,1.8390765635754218,1.8205099096844182,1.8021306980367313,1.7839370362830576,1.7659270511785672,1.7480988883900372,1.730450712304923,1.7129807058423625,1.6956870702660871,1.678568024999221,1.6616218074409501,1.6448466727850435,1.6282408938402038,1.6118027608522352,1.595530581328003,1.579422679861173,1.5634773979597103,1.547693093875116,1.5320681424333935,1.5166009348677163,1.5012898786527875,1.486133397340872,1.4711299303994816,1.4562779330507027,1.441575876112142
