age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1224.84,1280.69,1124.77,1174.88,1007.87,985.51,973.37,947.16,1011.35,882.46,871.45,786.87,736.01,671.84,638.29,679.41,608.13,616.74,565.03,631.77,578.64,637.89,544.25,577.47,566.44,509.75,521.49,460.37,469.46,398.7,460.96,445.24,339.16,379.5,348.61,331.45,373.37,309.4,311.13,306.43,299.32,292.55,286.12,280.0,274.17,268.63,263.35,258.33,253.55,248.99,244.66,240.53,236.6,232.85,229.29,225.89,222.64,219.55,216.6,213.78,211.08,208.49,205.97,203.51,201.07,198.66,196.28,193.92,191.6,189.3,187.03,184.79,182.58,180.39,178.23,176.09,173.98,171.89,169.83,167.8,165.78,163.8,161.83,159.89,157.98,156.08,154.21,152.36,150.53335822875607,148.7285960500508,146.9454520479761,145.18366759637286,143.44298735114,141.72315892202843,140.02393295469255,138.34506313069036,136.68630592132897,135.04742083381902,133.4281700830689,131.8283190019419,130.24763546689627,128.68589006208785,127.14285648962758,125.61831066701534,124.11203162970597,122.62380071059495,121.1534020323268,119.70062217908941,118.26525036071713,116.84707833063896,115.44590030382737,114.06151287474681,112.69371509940504,111.34230849535328,110.00709679553177,108.68788635852704,107.38448559421178,106.0967052098992,104.82435837444585,103.56726030799449,102.32522844607689,101.09808243961395,99.88564423696694,98.68773759162907,97.50418863658545,96.33482555610733,95.17947842164928,94.0379794380034,92.9101627791966,91.79586475259327,90.6949233886383,89.60717876906268,88.5324729448321,87.4706497720441,86.42155491192801,85.38503607699938,84.36094253875119,83.34912561996254,82.34943812033869,81.36173500574294,80.38587260409273,79.42170914689895,78.46910450670151,77.52792025450515,76.59801959413852,75.67926738686938,74.77153009396878,73.87467577671087,72.98857407175771,72.11309618295385,71.24811484850598,70.39350433277764,69.54914038526358,68.71490026520513,67.89066269235943,67.076307830589,66.27171728786188,65.47677406702063,64.69136260680818,63.915368683406044,63.148679484280564,62.39118350972124,61.642770613866446,60.90333196367771,60.17276003073453,59.45094856661899,58.737792594710605,58.03318841018625,57.337033522584264,56.64922668862495
1,67.22,112.14,76.98,120.67,70.66,81.35,62.35,63.05,67.9,91.15,86.15,65.82,41.63,58.17,43.99,52.09,29.93,46.16,44.27,35.08,14.6,41.44,49.6,56.27,28.84,39.14,17.55,37.35,36.31,19.79,40.41,26.05,26.59,20.45,27.47,27.58,17.39,28.79,39.79,39.22,38.34,37.5,36.7,35.94,35.21,34.52,33.86,33.23,32.63,32.05,31.51,30.99,30.49,30.01,29.56,29.13,28.71,28.32,27.94,27.58,27.23,26.89,26.57,26.25,25.94,25.63,25.32,25.01,24.71,24.42,24.12,23.83,23.55,23.27,22.99,22.71,22.44,22.17,21.9,21.64,21.38,21.12,20.87,20.62,20.37,20.13,19.89,19.65,19.414220813433783,19.181270475363636,18.951115058089634,18.723721029955026,18.49905526634745,18.277085038697745,18.057778025481127,17.84110225721121,17.6270261824472,17.41551861278788,17.20654873387285,17.00008610538247,16.796100650036703,16.594562642593917,16.395442731853255,16.198711896649847,16.004341500860825,15.812303205395713,15.622569034203618,15.435111363272046,15.24990286562089,15.066916566308432,14.886125798426557,14.70750422510313,14.531025828500812,14.356664898815861,14.18439603427812,14.014194119148627,13.846034378725612,13.6798922913349,13.515743665338302,13.353564584127634,13.193331428127092,13.035020830788467,12.878609733597148,12.724075353068516,12.57139516974674,12.42054695020719,12.271508692050418,12.124258711911782,11.978775524448228,11.83503795235029,11.693025038332506,11.552716111140596,11.414090708543085,11.277128643338484,11.141809948349302,11.008114920426836,10.876024070945785,10.7455181566076,10.616578160738444,10.489185296589547,10.36332100183663,10.238966936379637,10.116104982342746,9.994717237473655,9.874786014043451,9.756293835546263,9.639223438899485,9.523557764542712,9.409279958637974,9.296373370869494,9.184821546742848,9.074608234185693,8.965717372546553,8.858133095895196,8.751839727522016,8.646821777737811,8.543063944973886,8.44055111138159,8.339268336231578,8.23920086361467,8.140334111440632,8.042653673638434,7.9461453146556345,7.850794973858874,7.7565887545326655,7.663512931580235,7.571553941622451,7.480698382997813,7.390933017962697,7.302244766090635
2,51.62,52.93,43.41,53.56,36.52,40.18,36.46,44.95,45.0,44.26,39.66,33.92,44.95,20.82,30.72,44.19,26.15,33.29,19.84,34.22,14.04,29.02,22.55,26.64,59.81,18.05,17.67,24.48,17.01,19.89,13.3,13.45,16.25,23.12,16.9,40.86,17.15,10.38,12.26,12.06,11.76,11.47,11.2,10.95,10.71,10.48,10.26,10.06,9.86,9.68,9.5,9.33,9.17,9.02,8.88,8.75,8.62,8.5,8.38,8.27,8.16,8.06,7.97,7.87,7.78,7.68,7.59,7.5,7.41,7.32,7.23,7.15,7.06,6.97,6.89,6.81,6.73,6.65,6.57,6.49,6.41,6.33,6.26,6.18,6.11,6.03,5.96,5.89,5.819321958999321,5.749492006561235,5.680499969444914,5.612335790957132,5.544989540402069,5.478451401531559,5.412711679894927,5.347760793389186,5.283589278558917,5.220187783246405,5.157547068691608,5.095658005332238,5.034511575953695,4.974098867289243,4.914411078419837,4.85543950922436,4.7971755656295105,4.7396107585598335,4.68273669763784,4.626545095383929,4.571027761966491,4.51617660940182,4.461983641054333,4.4084409610863755,4.355540767108373,4.303275349128848,4.251637090604401,4.200618466339759,4.150212040387811,4.100410468149567,4.051206492174247,4.002592941109299,3.9545627297004033,3.907108859841445,3.8602244153246286,3.8139025639404287,3.76813655432766,3.72291971807343,3.6782454634132717,3.6341072815310107,3.590498740258898,3.54741348302763,3.504845232016284,3.4627877829024256,3.4212350059120893,3.380180846869753,3.339619321948449,3.299544519769721,3.259950600353643,3.220831793018866,3.1821823974325922,3.143996780460645,3.1062693772174415,3.0689946889660416,3.032167284168121,2.99578179638402,2.9598329211228016,2.92431542109215,2.8892241188485173,2.8545539009970393,2.8202997139916204,2.7864565662348935,2.753019525978258,2.7199837192219274,2.6873443328648645,2.655096608404907,2.623235847188663,2.5917574051616183,2.560656696018072,2.5299291859512416,2.4995703968032026,2.469575905014907,2.4399413384762485,2.41066237862602,2.3817347573019805,2.3531542609407623,2.3249167221780507,2.297018027198429,2.2694541083855304,2.242220949571932,2.2153145828892145,2.188731084568055
3,55.3,45.76,38.47,46.47,26.96,33.61,24.9,52.13,41.88,29.94,32.54,33.59,30.78,32.93,26.8,12.32,25.39,22.91,23.32,9.96,17.15,20.97,36.15,7.47,22.71,7.46,43.08,10.55,7.0,27.33,6.65,6.64,6.7,9.71,16.41,3.36,10.17,6.83,9.63,9.43,9.16,8.91,8.67,8.45,8.24,8.04,7.85,7.68,7.51,7.36,7.21,7.07,6.94,6.82,6.7,6.6,6.49,6.4,6.31,6.22,6.14,6.07,5.99,5.92,5.85,5.78,5.71,5.64,5.57,5.51,5.44,5.38,5.31,5.25,5.18,5.12,5.06,5.0,4.94,4.88,4.82,4.76,4.71,4.65,4.59,4.54,4.48,4.43,4.3768410578519035,4.324319997823892,4.27242916522494,4.221160998848041,4.170508027670763,4.12046286865563,4.071018228949742,4.022166903685157,3.9739017726794477,3.9262158026353315,3.8791020438412316,3.83255363127109,3.786563779085307,3.741125786129802,3.6962330315367637,3.6518789714252184,3.6080571422004617,3.5647611583544356,3.521984709166295,3.479721562001839,3.437965555714644,3.3967106061451227,3.35595070062146,3.31567989905943,3.2758923328625813,3.2365822038224277,3.19774378191882,3.159371407519574,3.121459489180845,3.084002500347692,3.046994982653513,3.010431543720422,2.974306852760002,2.938615648271986,2.9033527259463283,2.868512947461698,2.834091234986421,2.8000825733781034,2.766482004684571,2.733284633642929,2.7004856210806927,2.668080186115408,2.636063607254465,2.6044312190956633,2.5731784101275856,2.5423006260290366,2.511793366369605,2.481652186809286,2.4518726924996126,2.4224505435827157,2.3933814540915095,2.364661185350822,2.3362855525762627,2.30825041937517,2.280551702145853,2.2531853623789093,2.2261474110564743,2.1994339097520306,2.1730409629317293,2.146964725653066,2.121201398065829,2.095747223212469,2.070598493626976,2.045751542536379,2.02120274935981,1.9969485375088762,1.972985369988416,1.9493097548955558,1.925918243220088,1.9028074233454098,1.8799739298470197,1.8574144335942102,1.8351256461493144,1.8131043197677073,1.7913472451981816,1.7698512505831347,1.7486132047580065,1.7276300117522176,1.706898611888983,1.686415986184559,1.6661791475497465,1.6461851473887659
4,45.54,16.31,39.88,38.58,37.95,45.02,39.93,34.51,30.64,20.91,21.01,20.74,33.55,15.35,11.98,20.92,21.66,19.09,16.38,33.43,29.91,30.75,20.91,17.97,11.11,11.3,11.14,3.58,10.54,10.52,3.43,19.94,19.86,6.68,12.88,6.52,16.68,6.75,9.7,9.46,9.16,8.89,8.62,8.38,8.15,7.93,7.73,7.54,7.37,7.2,7.05,6.9,6.77,6.64,6.52,6.41,6.31,6.21,6.12,6.04,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57,4.51,4.46,4.4,4.35,4.3,4.248400961251682,4.1974210875923905,4.147052950861316,4.0972892095766325,4.048122611216524,3.999545991078671,3.9515522711397373,3.9041344554933204,3.857285634912,3.8109989800042623,3.765267746917065,3.72008527163327,3.6754449676906233,3.6313403296032862,3.5877649317213276,3.5447124213876453,3.502176524640529,3.4601510439326377,3.4186298535689432,3.3776069031282745,3.337076212901261,3.297031877311875,3.2574680603553783,3.2183789944578076,3.17975898503803,3.141602403664663,3.1039036869155616,3.066657344361409,3.0298579448795624,2.9935001257781546,2.9575785905150704,2.9220881018548672,2.887023488711853,2.852379640447522,2.818151506870555,2.7843341016583567,2.7509224955139793,2.7179118195876617,2.6852972609147763,2.653074069258909,2.6212375457067263,2.589783052932594,2.5587060049339616,2.5280018727339257,2.4976661821002026,2.4676945124046195,2.438082494342084,2.408825813352125,2.379920206197356,2.3513614575419326,2.323145407935145,2.2952679435468006,2.2677250018697914,2.240512569439063,2.2136266795505937,2.187063413401906,2.160818901232577,2.1348893166216767,2.1092708821903328,2.0839598627586504,2.058952569907766,2.034245359698821,2.009834630391935,1.9857168247272345,1.9618884276438222,1.9383459674202947,1.915086011112688,1.8921051691165298,1.8694000928858143,1.8469674737924886,1.8248040408454265,1.8029065663929948,1.7812718558584344,1.7598967591449926,1.7387781580902772,1.7179129778713895,1.6972981755997927,1.6769307471643897,1.6568077238099856,1.6369261744183123,1.6172831998054635,1.5978759372839486
5,45.59,32.58,42.51,30.72,32.77,38.09,30.15,30.93,12.52,24.48,23.93,27.03,8.89,21.31,18.42,23.99,6.0,24.83,15.95,29.6,23.41,16.57,10.22,17.35,10.7,7.37,11.23,7.41,7.15,10.55,14.03,17.11,0.0,16.5,6.65,16.01,0.0,3.32,9.4,9.16,8.86,8.58,8.32,8.07,7.84,7.62,7.42,7.23,7.06,6.9,6.74,6.6,6.47,6.34,6.23,6.12,6.02,5.92,5.84,5.76,5.68,5.61,5.54,5.47,5.41,5.34,5.28,5.22,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.74,4.68,4.62,4.57,4.51,4.46,4.41,4.35,4.3,4.25,4.2,4.15,4.1,4.050800880846742,4.002192131149208,3.9541666654336094,3.906717485296298,3.8598376748806364,3.8135204042693456,3.7677589215690346,3.7225465585641087,3.6778767261936416,3.6337429145513798,3.590138691754956,3.5470577039458946,3.5044936707664864,3.4624403910136907,3.4208917347236705,3.379841646564136,3.339284145834343,3.299213320811189,3.259623332141557,3.220508408319189,3.1818628513385914,3.1436810276487916,3.105957373807237,3.0686863908258912,3.0318626486943616,2.995480778464429,2.9595354790347335,2.9240215126276543,2.8889337025277424,2.8542669364740667,2.8200161598755287,2.7861763825955457,2.7527426732981484,2.7197101583171985,2.6870740239179502,2.654829514035491,2.622971930274738,2.591496627387316,2.560399020056244,2.5296745749804654,2.4993188153979764,2.469327317693479,2.43969570913682,2.410419672406118,2.381494941064633,2.3529172995607732,2.324682582097312,2.296786674892946,2.2692255105283943,2.2419950747310837,2.215091397328901,2.1885105579040958,2.1622486824009393,2.136301943125725,2.110666558746766,2.0853387942943984,2.060314956637854,2.035591399008387,2.0111645198684913,1.9870307572579962,1.9631865955787524,1.9396285588099458,1.9163532127696592,1.8933571673764344,1.8706370687338072,1.8481896070457702,1.8260115109628718,1.8040995475822141,1.7824505235782344,1.7610612840719246,1.73992871150005,1.7190497256151476,1.6984212834855295,1.6780403794952796,1.6579040430826943,1.6380093387402805,1.6183533671455368,1.598933264030174,1.5797461990493324,1.560789374650802,1.5420600305981451,1.5235554349244507
6,38.69,36.57,35.93,26.22,33.83,17.93,38.23,18.18,9.27,28.12,27.55,20.97,12.0,17.74,24.4,18.44,6.0,15.03,24.87,12.82,16.47,6.66,16.53,6.77,13.78,24.81,7.31,18.64,18.51,14.32,21.09,10.5,6.83,13.23,13.15,16.54,6.38,19.37,9.03,8.8,8.51,8.24,7.98,7.75,7.53,7.32,7.13,6.95,6.78,6.62,6.48,6.34,6.21,6.09,5.98,5.88,5.78,5.69,5.61,5.53,5.46,5.39,5.32,5.26,5.2,5.13,5.07,5.01,4.95,4.89,4.83,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.94,3.8927208214625186,3.846008972833007,3.799857646887879,3.754260119350123,3.7092097432848052,3.664699953582663,3.6207242647183135,3.5772762662666455,3.5343496285073264,3.4919380934575996,3.450035481597686,3.4086356851453816,3.3677326714187608,3.3273204794734745,3.2873932189818533,3.2479450713538047,3.2089702886159137,3.170463190048745,3.1324181633077424,3.094829664423228,3.057692214437702,3.0210004027685473,2.984748880482625,2.9489323647798757,2.913545636751521,2.878583538017362,2.844040974088483,2.809912909883647,2.7761943719710986,2.7428804474476642,2.709966280576053,2.6774470727848554,2.6453180871521416,2.613574640559167,2.582212105932169,2.5512259133632678,2.520611546747765,2.4903645437841475,2.4604804970949847,2.430955051985128,2.401783903079016,2.372962802166968,2.3444875458752894,2.3163539857543696,2.288558021553281,2.2610956023406836,2.2339627265048194,2.2071554372699174,2.1806698294215905,2.1545020425814387,2.1286482645697458,2.103104724680083,2.077867701525606,2.0529335174345578,2.028298538450267,2.003959173210249,1.9799118763089054,1.9561531404512258,1.9326795054199843,1.9094875491085448,1.8865738908835568,1.8639351927058576,1.8415681535259725,1.8194695160095131,1.797636056449081,1.7760645948523641,1.7547519859749396,1.7336951249247712,1.712890942678613,1.6923364060820068,1.6720285212119825,1.6519643266516604,1.6321408990947486,1.6125553488619442,1.5932048221427342,1.5740864987535945,1.5551975921379906,1.5365353493663776,1.5180970500153006,1.4998800072882943,1.4818815657740836,1.464099102567483
7,14.39,20.92,39.72,52.37,39.38,43.2,30.01,32.49,18.16,18.49,28.11,12.25,23.93,11.97,5.92,3.05,21.47,21.02,15.06,6.24,16.06,9.84,6.63,9.88,6.73,10.29,10.55,18.19,7.44,14.81,10.74,7.02,3.5,10.22,6.59,16.36,6.59,6.36,7.89,7.7,7.45,7.22,7.01,6.81,6.62,6.44,6.28,6.12,5.98,5.84,5.72,5.6,5.49,5.39,5.29,5.2,5.11,5.04,4.96,4.89,4.83,4.77,4.71,4.65,4.6,4.54,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.88,3.84,3.79,3.75,3.7,3.66,3.61,3.57,3.53,3.48,3.4382406721073906,3.396982439604496,3.35621929050094,3.315945283347036,3.2761545504401792,3.236841290343257,3.1979997764350387,3.1596243462221905,3.121709407752065,3.0842494353375094,3.0472389695568642,3.010672617253965,2.974545048331745,2.9388509989586318,2.9035852662245563,2.8687427102785468,2.834318254328733,2.800306880367147,2.7667036334449238,2.733503614190707,2.7007019852234415,2.668293965808381,2.6362748329258894,2.604639920202635,2.5733846179116004,2.5425043697656795,2.511994676124077,2.4818510897171127,2.4520692177838206,2.4226447210031474,2.3935733102875605,2.364850747851845,2.3364728493507,2.30843547746595,2.280734547250535,2.2533660218533185,2.2263259114502882,2.199610275382154,2.1732152200167483,2.1471368998178297,2.121371512001086,2.0959153040157252,2.0707645639252905,2.0459156268204493,2.0213648716126,1.9971087199650717,1.973143636293124,1.9494661288327482,1.9260727453654718,1.9029600785623497,1.8801247585023775,1.8575634569476838,1.8352728873435307,1.8132497994743224,1.791490983738797,1.7699932700812302,1.7487535247850394,1.72776865261038,1.7070355935877515,1.6865513283619882,1.6663128707106707,1.6463172696817243,1.6265616127998117,1.607043020722343,1.5877586472394751,1.5687056835493052,1.5498813518450807,1.531282908521594,1.5129076441751834,1.4947528793285387,1.4768159687058957,1.4590942980266393,1.4415852840053056,1.424286376489178,1.4071950520454966,1.3903088214430463,1.3736252221705705,1.3571418248495581,1.3408562246838596,1.3247660500100724,1.3088689548159524,1.2931626219468098
8,18.82,34.7,20.99,30.64,26.26,19.71,21.65,15.07,14.74,12.07,27.73,15.63,27.49,14.91,17.94,5.93,18.33,18.39,9.01,3.02,15.62,6.4,3.27,19.75,16.35,10.06,13.62,14.01,14.5,11.15,7.41,14.31,10.53,6.97,6.79,6.56,9.77,6.57,6.82,6.66,6.46,6.27,6.09,5.92,5.76,5.61,5.47,5.34,5.22,5.11,5.0,4.9,4.8,4.72,4.63,4.56,4.48,4.42,4.35,4.29,4.24,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.0232805377790997,2.9870016965800352,2.9511581886287606,2.915744791126803,2.88075634212583,2.846187743621726,2.812033956397795,2.7782900031188444,2.744950967299818,2.7120119881490097,2.6794682667562117,2.6473150609359237,2.615547683164634,2.5841615036748986,2.5531519494239787,2.5225145009997685,2.4922446926207935,2.4623381131675695,2.4327904041198862,2.403597259556808,2.374754425125313,2.346257695977579,2.3181029198650585,2.2902859940444,2.2628028632147372,2.235649523643117,2.2088220159449956,2.1823164323037427,2.1561289092511364,2.130255629730077,2.104692822063234,2.0794367630471133,2.0544837707325545,2.0298302075188066,2.005472482216239,1.9814070438581979,1.9576303847950762,1.934139040694318,1.9109295874463397,1.8879986421958905,1.8653428633420526,1.8429589484755229,1.8208436364413307,1.7989937032134056,1.77740596498865,1.756077275092866,1.7350045250121122,1.7141846433613477,1.6936145969157879,1.673291386485473,1.6532120510407,1.6333736635865908,1.6137733332258068,1.5944082020644774,1.5752754503689874,1.5563722872837553,1.5376959590820982,1.5192437440094408,1.5010129512519574,1.4830009250620044,1.465205040632688,1.4476227040978624,1.4302513515007744,1.4130884529194938,1.3961315062787651,1.3793780404440819,1.3628256131589704,1.3464718120763481,1.3303142547585236,1.3143505855831206,1.2985784778057956,1.2829956335602388,1.2675997797327387,1.252388675181692,1.2373601014553774,1.222511867948749,1.2078418119034338,1.1933477932509435,1.1790277018321789,1.1648794491465662,1.1509009735088476,1.1370902379863643
9,25.17,32.41,26.1,27.02,21.52,16.44,19.76,21.68,18.05,11.76,21.13,9.28,46.88,15.21,23.84,17.97,14.86,24.47,6.12,24.04,15.13,15.61,12.77,16.26,16.34,9.77,3.33,10.17,3.49,14.46,7.43,18.5,10.72,7.0,6.95,6.75,0.0,0.0,5.69,5.56,5.4,5.24,5.09,4.96,4.83,4.71,4.59,4.49,4.39,4.29,4.2,4.12,4.04,3.97,3.9,3.84,3.78,3.72,3.67,3.62,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.09,3.05,3.01,2.98,2.94,2.91,2.87,2.84,2.8,2.77,2.74,2.7,2.67,2.64,2.61,2.58,2.549040428448879,2.5184523616845893,2.4882313407685936,2.4583729629829487,2.4288728763004186,2.3997267812277645,2.370930429884101,2.342479626922544,2.3143702240003146,2.286598126230285,2.2591592848077835,2.2320497016188416,2.205265425553597,2.1788025534279414,2.1526572281402263,2.1268256395929064,2.101304022849245,2.076088658133316,2.051175871751645,2.0265620314849735,2.0022435511964987,1.9782168871452768,1.9544785361429282,1.9310250392402304,1.9078529780405238,1.8849589765430097,1.8623396974561526,1.8399918440409788,1.8179121601110777,1.7960974263460037,1.7745444648995223,1.7532501338697164,1.7322113300639312,1.7114249871554796,1.6908880756836382,1.6705976030536502,1.6505506107717767,1.6307441790535424,1.6111754194505432,1.5918414813019899,1.5727395471264614,1.5538668317002575,1.535220584822345,1.5167980894710593,1.4985966599608072,1.480613644707013,1.4628464216178743,1.445292402702606,1.4279490285415468,1.4108137710511064,1.393884133483765,1.3771576495064246,1.360631879513811,1.3443044161583717,1.3281728788203786,1.3122349182161739,1.296488209946627,1.28093045910538,1.2655593993571974,1.2503727892513716,1.2353684168299668,1.2205440940979253,1.2058976607096625,1.1914269821257717,1.17712994961302,1.1630044793227026,1.149048512290641,1.1352600153588328,1.121636978410504,1.108177415291758,1.0948793656548748,1.0817408903500636,1.0687600741904124,1.0559350268735348,1.0432638783733268,1.0307447817049114,1.0183759129246412,1.0061554683651497,0.9940816683219474,0.9821527515235283,0.970366980661264,0.9587226377811576
