age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1226.95,1281.14,1126.95,1172.95,1006.89,984.82,974.08,947.17,1010.33,882.06,871.55,788.24,736.93,672.25,638.26,679.36,608.82,617.43,565.87,631.74,579.87,637.88,543.79,576.14,566.43,509.21,521.44,460.66,469.25,398.34,460.94,446.13,339.06,379.6,348.57,331.28,373.11,310.17,403.94,321.88,367.0,370.63,486.54,390.33,327.1,306.21,298.18,290.64,283.57,276.96,270.78,265.01,259.62,254.58,249.88,245.49,241.38,237.54,233.93,230.54,227.35,224.34,221.48,218.76,216.16,213.67,211.26,208.91,206.62,204.36,202.12,199.92,197.73,195.57,193.43,191.32,189.23,187.16,185.11,183.09,181.09,179.11,177.15,175.22,173.3,171.41,169.53,167.68,165.85,164.03,162.24,160.47,158.71,156.98,155.27772066642768,153.5939007221375,151.92833999489804,150.28084048313053,148.6512063323705,147.03924381198453,145.4447612921397,143.8675692210226,142.30748010230536,140.76430847285636,139.23787088069213,137.72798586316878,136.23447392540976,134.75715751896743,133.29586102071613,131.85041071197432,130.42063475785267,129.0063631868266,127.60742787052989,126.22366250376773,124.85490258474638,123.5009853955172,122.16174998263273,120.83703713801265,119.52668938001705,118.23055093472516,116.9484677174169,115.68028731425531,114.42585896416763,113.18503354092287,111.9576635354037,110.74360303807053,109.54270772161593,108.35483482380693,107.17984313051346,106.01759295892093,104.86794614092467,103.73076600670458,102.60591736847782,101.49326650442771,100.3926811428069,99.30403044621296,98.22718499603445,97.16201677706559,96.10839916228788,95.06620689781673,94.03531608801127,93.0156041807456,92.00694995283999,91.00923349564964,90.02233620081016,89.04614074613734,88.08053108167996,87.1253924159237,86.18061120214486,85.24607512491181,84.32167308673314,83.40729519485019,82.50283274817316,81.60817822435874,80.7232252670278,79.84786867312181,78.98200438039629,78.12552945504997,77.27834207948794,76.4403415402177,75.61142821587624,74.79150356538719,73.98047011624617,73.17823145293333,72.38469220545149,71.59975803798855,70.82333563770287,70.05533270363027,69.29565793571128,68.54422102393745,67.80093263761523,67.06570441474645,66.3384489515238,65.61907979194028,64.90751141751136,64.20365923710851,63.507439576903096,62.818769670419115,62.1375676486941,61.46375253054641
1,67.22,112.14,76.98,120.67,70.66,81.35,62.35,63.05,67.9,91.15,86.15,65.82,41.63,58.17,43.99,52.09,29.93,46.16,44.27,35.08,14.6,41.44,49.6,56.27,28.84,39.14,17.55,37.35,36.31,19.79,39.78,26.57,26.89,20.66,27.84,27.95,17.64,29.41,33.88,7.67,40.12,36.76,36.13,24.49,21.75,20.7,20.16,19.65,19.17,18.73,18.31,17.92,17.56,17.22,16.9,16.6,16.32,16.06,15.82,15.59,15.38,15.17,14.98,14.79,14.62,14.45,14.29,14.13,13.97,13.82,13.67,13.52,13.37,13.23,13.08,12.94,12.8,12.66,12.52,12.38,12.25,12.11,11.98,11.85,11.72,11.59,11.46,11.34,11.21,11.09,10.97,10.85,10.73,10.61,10.536310147109283,10.463132093881061,10.390462285702528,10.31829719264881,10.24663330931149,10.175467154628334,10.104795271714208,10.034614227693151,9.964920613531623,9.895711043872923,9.826982156872733,9.75873061403582,9.690953100053875,9.623646322644468,9.556807012391127,9.490431922584524,9.424517829064769,9.359061530064794,9.294059846054838,9.229509619587986,9.165407715146811,9.101751018991052,9.038536439006378,8.975760904554186,8.913421366322439,8.85151479617755,8.790038187017295,8.728988552624731,8.668362927523162,8.608158366832066,8.548371946124071,8.489000761282883,8.43004192836223,8.371492583445777,8.313349882507996,8.25561100127604,8.198273135092533,8.14133349877935,8.084789326502317,8.028637871636871,7.972876406634631,7.9175022228909215,7.862512630613188,7.807904958690353,7.753676554563059,7.699824784094826,7.6463470314440976,7.593240698937172,7.540503206942028,7.488131993743014,7.436124515416418,7.384478245706891,7.333190675904739,7.282259314724061,7.2316816881817365,7.1814553394772505,7.131577828873356,7.082046733577562,7.032859647624451,6.9840141817588055,6.9355079633195515,6.8873386361245075,6.8395038603559355,6.792001312446877,6.744828684968294,6.697983686516984,6.6514640416042745,6.605267490545489,6.559391789350189,6.51383470961317,6.46859403840621,6.423667578170591,6.3790531466103415,6.334748576586235,6.290751716010521,6.247060427742394,6.203672589484171,6.160586093678208,6.117798847404529,6.075308772279154,6.033113804353147,5.991211894012362,5.949601005877877,5.908279118707133,5.867244225295746,5.826494332380011
2,51.62,52.93,43.41,53.56,36.52,40.18,36.46,44.95,45.0,44.26,39.66,33.92,44.95,20.82,30.72,44.19,26.15,33.29,19.84,34.22,14.04,29.02,22.55,26.64,59.81,18.05,17.67,24.48,17.01,19.89,13.25,13.27,16.61,23.44,17.14,41.49,17.43,10.58,14.64,15.08,15.27,19.79,0.0,19.59,15.4,13.97,13.6,13.26,12.93,12.63,12.35,12.08,11.83,11.6,11.39,11.19,11.0,10.82,10.66,10.5,10.36,10.22,10.09,9.97,9.85,9.73,9.62,9.52,9.41,9.31,9.21,9.11,9.01,8.91,8.81,8.72,8.62,8.53,8.43,8.34,8.25,8.16,8.07,7.98,7.89,7.81,7.72,7.64,7.55,7.47,7.39,7.31,7.23,7.15,7.088205545564607,7.02694515470949,6.966214211746874,6.906008140880443,6.846322405860571,6.787152509642533,6.728493994047685,6.670342439427546,6.612693464330809,6.555542725173212,6.498885915910277,6.44271876771286,6.387037048645519,6.33183656334766,6.27711315271743,6.222862693598353,6.169081098468665,6.115764315133341,6.062908326418779,6.010509149870129,5.958562837451225,5.907065475247127,5.856013183169218,5.805402114662868,5.7552284564175995,5.705488428079784,5.656178281967807,5.607294302789692,5.558832807363179,5.510790144338204,5.463162693921794,5.415946867605335,5.369139107894181,5.322735888039628,5.276733711773181,5.23112911304313,5.185918655753396,5.141098933504638,5.096666569337604,5.052618215478677,5.008950553087652,4.965660292007664,4.9227441705173,4.880198955084834,4.838021440124604,4.796208447755481,4.754756827561429,4.713663456354139,4.6729252379377115,4.632539102875371,4.592502008258195,4.55281093747585,4.513462899989303,4.4744549311054955,4.435784091753969,4.397447468265418,4.359442172152166,4.321765339890517,4.284414132705017,4.247385736354556,4.210677360920331,4.174286240595642,4.138209633477492,4.102444821360005,4.066989109529621,4.031839826562059,3.9969943241210397,3.962449976758742,3.928204181717996,3.894254358736164,3.8605979498507446,3.827232419206629,3.7941552528650453,3.7613639586141394,3.7288560657812013,3.696629125046508,3.6646807082587833,3.6330084082522434,3.60160983866523,3.5704826337604105,3.5396244482465264,3.509032957101691,3.4787058553982066,3.4486408581289005,3.418835700034959,3.389288135435252
3,55.3,45.76,38.47,46.47,26.96,33.61,24.9,52.13,41.88,29.94,32.54,33.59,30.78,32.93,26.8,12.32,25.39,22.91,23.32,9.96,17.15,20.97,36.15,7.47,22.71,7.46,43.08,10.55,7.0,27.33,6.65,6.64,6.64,9.96,16.71,3.41,10.36,6.97,3.51,22.0,7.55,0.0,3.85,11.61,10.85,10.54,10.28,10.02,9.77,9.54,9.33,9.13,8.94,8.76,8.6,8.45,8.31,8.17,8.05,7.93,7.82,7.72,7.62,7.52,7.44,7.35,7.27,7.19,7.11,7.03,6.95,6.88,6.8,6.73,6.65,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.09,6.03,5.96,5.89,5.83,5.77,5.7,5.64,5.58,5.52,5.46,5.4,5.344546646674287,5.289662751569883,5.23534246684087,5.181580004693677,5.128369636770394,5.075705693538414,5.023582563686356,4.971994693526171,4.9209365864014165,4.870402802101575,4.820387956282411,4.770886719892274,4.721893818604285,4.673404032254366,4.62541219428503,4.577913191194891,4.530901961993822,4.484373497663708,4.4383228406247435,4.392745084207197,4.347635372128618,4.302988897976392,4.258800904695632,4.215066684082307,4.171781576281592,4.128940969291362,4.086540298470783,4.044575046053956,4.00304074066855,3.9619329568593797,3.9212473146168776,3.880979478910405,3.841125159226357,3.8016801091110106,3.762640125718072,3.724001049360859,3.685758763069093,3.647909192150239,3.610448303755345,3.573372106449352,3.536676649785799,3.5003580238859153,3.4644123590220186,3.4288358252052014,3.3936246317772443,3.3587750270067285,3.324283297689286,3.2901457687519655,3.25635880286165,3.2229188000375046,3.1898221972674006,3.157065468128276,3.1246451224104006,3.0925577057454956,3.0607997992386693,3.0293680191041403,2.9982590163046967,2.9674694761948537,2.9369961181676865,2.906835695305279,2.8769849940327683,2.8474408337759396,2.8182000666223392,2.7892595769858657,2.7606162812748054,2.732267127563278,2.704209095266056,2.6764391948167234,2.6489544673491383,2.6217519843821684,2.594828847507662,2.5681821880816256,2.5418091669185716,2.515706973989002,2.4898728281200073,2.4643039766989276,2.4389976953800674,2.4139512877944167,2.389162085262357,2.3646274465093104,2.3403447573843175,2.3163114305815005,2.292524905364385,2.268982647293057,2.2456821479541214,2.2226209246934276
4,45.54,16.31,39.88,38.58,37.95,45.02,39.93,34.51,30.64,20.91,21.01,20.74,33.55,15.35,11.98,20.92,21.66,19.09,16.38,33.43,29.91,30.75,20.91,17.97,11.11,11.3,11.14,3.58,10.54,10.52,3.43,20.02,19.94,6.64,13.26,6.65,17.02,6.91,3.47,7.03,3.67,11.25,3.66,11.28,9.54,8.93,8.73,8.52,8.31,8.12,7.94,7.76,7.61,7.46,7.32,7.19,7.07,6.95,6.85,6.75,6.65,6.56,6.48,6.4,6.33,6.25,6.18,6.11,6.05,5.98,5.91,5.85,5.79,5.72,5.66,5.6,5.54,5.48,5.42,5.36,5.3,5.24,5.18,5.13,5.07,5.01,4.96,4.91,4.85,4.8,4.75,4.69,4.64,4.59,4.51457645676627,4.44039228409331,4.367427116464981,4.295660923014249,4.225074002024182,4.155646975519307,4.087360783945844,4.020196680939353,3.954136228178368,3.8891612903225794,3.825254030034215,3.7623969030812123,3.7005726535208647,3.6397643089626097,3.579955175908661,3.521128835171197,3.4632691373648643,3.406360198473344,3.350386395488766,3.295332362122787,3.2411829845881295,3.187923397449456,3.1355389795424093,3.084015349959716,3.0333383641032516,2.98349410980097,2.9344689034876477,2.886249286448381,2.838822021123814,2.792174087476081,2.746292679414458,2.7011652012797533,2.6567792643864707,2.6131226836217802,2.570183474100389,2.5279498478743694,2.48641021069706,2.4455531588401325,2.405367475962973,2.3658421300334957,2.326966270299561,2.2887292243101562,2.2511204949855252,2.2141297577354435,2.177746857624845,2.1419618065860244,2.106764780676648,2.0721461173828213,2.0380963129664753,2.004606019856338,1.9716660440817784,1.9392673427488198,1.9074010215576271,1.8760583323607838,1.8452306707616961,1.8149095737524588,1.7850867173905356,1.755753914513616,1.7269031124920238,1.698526391018058,1.6706159599316568,1.6431641570817954,1.6161634462230212,1.589606414946556,1.5634857726453937,1.5377943485128358,1.512525089573916,1.4876710587491708,1.4632254329502306,1.4391815012066982,1.415532662823812,1.392272425570381,1.369394403896495,1.3468923171805225,1.324759988004914,1.3029913404603377,1.2815803984776832,1.2605212841874691,1.2398082163062165,1.219435508549331,1.1993975680700684,1.1796888939241506,1.1603040755596106,1.141237791331453,1.1224848070407225,1.1040399744975764
5,45.59,32.58,42.51,30.72,32.77,38.09,30.15,30.93,12.52,24.48,23.93,27.03,8.89,21.31,18.42,23.99,6.0,24.83,15.95,29.6,23.41,16.57,10.22,17.35,10.7,7.37,11.23,7.41,7.15,10.55,14.03,17.16,0.0,16.62,6.64,16.5,0.0,3.4,10.33,3.48,10.54,0.0,10.92,3.59,6.92,8.0,7.83,7.67,7.49,7.32,7.15,7.0,6.86,6.72,6.6,6.48,6.37,6.27,6.17,6.08,6.0,5.92,5.84,5.77,5.7,5.64,5.57,5.51,5.45,5.39,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.33,4.28,4.23,4.19,4.14,4.069719970616332,4.00063300464575,3.9327188488197176,3.865957593686203,3.8003296677730924,3.7358158318506978,3.6723971732916554,3.610055100526574,3.5487713375938053,3.4885279187817257,3.429307183361986,3.371091770412155,3.31386461372626,3.257608936811725,3.2023082479712355,3.1479463354681005,3.094507262773679,3.041975363895489,2.990335238784628,2.93957174882115,2.88967001237609,2.8406154004488213,2.792393532378473,2.7449902716281542,2.698391721640737,2.652584221764999,2.6075543432509174,2.5632888853129505,2.5197748712601435,2.476999544691934,2.434950365758533,2.3936150074847933,2.35298135215648,2.313037487767886,2.273771704529758,2.2351724914364968,2.1972285328916366,2.159928705390608,2.123262074259816,2.087217890451071,2.0517855873904387,2.0169547778805876,1.9827152510557142,1.949056969388168,1.9159700657458876,1.883444840499789,1.851471758680262,1.820041447181934,1.789144692015886,1.758772435608517,1.7289157741462584,1.6995659549653683,1.6707143739860333,1.6423525731900301,1.6144722381412049,1.5870651955480457,1.5601234108676323,1.5336389859502593,1.5076041567240464,1.4820112909188519,1.4568528858288268,1.4321215661129498,1.4078100816329013,1.3839113053276397,1.3604182311240611,1.3373239718831251,1.3146217573808476,1.292304932323569,1.2703669543969123,1.2488013923478651,1.2276019240994176,1.2067623348972065,1.1862765154876225,1.1661384603268437,1.1463422658202749,1.1268821285918718,1.1077523437828463,1.088947303379251,1.0704614945679565,1.0522894981205362,1.0344259868045855,1.0168657238220118,0.9996035612738342,0.982634438651046,0.9659533813510947,0.9495554992195469
6,38.69,36.57,35.93,26.22,33.83,17.93,38.23,18.18,9.27,28.12,27.55,20.97,12.0,17.74,24.4,18.44,6.0,15.03,24.87,12.82,16.47,6.66,16.53,6.77,13.78,24.81,7.31,18.64,18.51,14.32,21.09,10.52,6.86,13.36,13.29,16.54,6.58,19.84,0.0,0.0,10.41,10.44,7.08,7.15,7.34,7.37,7.22,7.08,6.94,6.78,6.63,6.49,6.36,6.24,6.12,6.01,5.91,5.82,5.73,5.65,5.57,5.5,5.43,5.36,5.29,5.23,5.17,5.12,5.06,5.01,4.95,4.9,4.84,4.79,4.74,4.69,4.63,4.58,4.53,4.48,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.800723400674207,3.761848533445966,3.7233712892864665,3.6852876011951996,3.647593443770081,3.61028483278197,3.573357824753542,3.5368085165424663,3.5006330449288487,3.464827586206896,3.4293883557807496,3.394311607764463,3.359593634586064,3.325230766595668,3.291219371677601,3.2575558548664896,3.2242366579672757,3.1912582591791208,3.1586171727231562,3.1263099484740375,3.0943331715952733,3.0626834621782795,3.031357474885126,3.0003518985949413,2.969663456053927,2.9392889035289587,2.909225030464725,2.8794686591443788,2.850016644353652,2.8208658730484126,2.7920132640256194,2.7634557675976423,2.7351903652699123,2.707214069421872,2.6795239229911862,2.652116999161186,2.6249904010515044,2.598141261411882,2.5715667423190993,2.5452640348770155,2.5192303589196676,2.493462962717412,2.4679591226860698,2.4427161430990445,2.417731355802392,2.393002119932794,2.368525821638426,2.3442998738026746,2.320321715770681,2.296588813078686,2.2730986571861367,2.2498487652105386,2.2268366796650163,2.204059968198563,2.181516223338939,2.1592030622382103,2.1371181264208783,2.1152590815345964,2.09362361710343,2.0722094462836416,2.0510143056219734,2.0300359548164053,2.0092721764793535,1.9887207759033005,1.9683795808288127,1.9482464412149363,1.9283192290119413,1.9085958379363885,1.889074183248497,1.8697522015317913,1.850627850474999,1.8316991086561811,1.8129639753290716,1.7944204702115987,1.7760666332765722,1.7579005245445114,1.7399202238785907,1.7221238307816835,1.7045094641954825,1.6870752623016734,1.6698193823251422,1.6527400003391977,1.6358353110727826,1.6191035277196604,1.6025428817495504,1.5861516227211967
7,14.39,20.92,39.72,52.37,39.38,43.2,30.01,32.49,18.16,18.49,28.11,12.25,23.93,11.97,5.92,3.05,21.47,21.02,15.06,6.24,16.06,9.84,6.63,9.88,6.73,10.29,10.55,18.19,7.44,14.81,10.74,7.05,3.5,10.27,6.67,16.56,6.61,6.58,3.29,6.76,13.73,6.87,6.79,13.91,8.66,6.92,6.77,6.64,6.52,6.39,6.26,6.13,6.01,5.89,5.78,5.68,5.59,5.5,5.42,5.34,5.26,5.19,5.13,5.07,5.01,4.95,4.89,4.84,4.78,4.73,4.68,4.63,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24,4.19,4.15,4.1,4.06,4.01,3.97,3.93,3.88,3.84,3.8,3.76,3.72,3.67,3.63,3.594922255593055,3.5601834776193555,3.525780390547796,3.491709750499682,3.4579683449428598,3.424552992388807,3.3914605420926494,3.3586878737560752,3.3262318972331215,3.294089552238805,3.262257808060562,3.2307336632724883,3.1995141454523273,3.1685963109012025,3.1379772443660565,3.107654058764767,3.0776238949139256,3.047883921259243,3.018431333608563,2.9892633548674516,2.960377234777345,2.9317702496562275,2.9034397021418124,2.87538292093721,2.8475972605590476,2.8200801010880263,2.7928288479218892,2.765840931530775,2.7391138072149337,2.712644954864791,2.686431878723321,2.6604721071507247,2.6347631923913752,2.6093027103430195,2.5840882603282096,2.5591174648679393,2.534387969457475,2.509897442344344,2.4856435743084764,2.461624078444466,2.437836689945938,2.414279165892,2.390949285035754,2.3678448475948586,2.3449636750441054,2.32230360991001,2.2998625155673795,2.2776382760378517,2.255628795790378,2.233831999543634,2.212245832070343,2.1908682580034857,2.169697261644385,2.1487308467726467,2.1279670364579335,2.1074038728735607,2.08703941711189,2.0668717490015123,2.0468989669261926,2.0271191876455656,2.007530546117564,1.9881311953225655,1.9689193060892325,1.9498930669220431,1.9310506838304826,1.912390380159887,1.8939103964239232,1.875608990138685,1.857484435658395,1.8395350240126918,1.8217590627454905,1.804154875755402,1.7867208031376909,1.769455201027764,1.7523564414461685,1.7354229121450908,1.7186530164563356,1.7020451731407764,1.6855978162392595,1.6693093949249496,1.6531783733571013,1.6372032305362447,1.6213824601607696,1.6057145704848956,1.590198084178015,1.5748315381853955
8,18.82,34.7,20.99,30.64,26.26,19.71,21.65,15.07,14.74,12.07,27.73,15.63,27.49,14.91,17.94,5.93,18.33,18.39,9.01,3.02,15.62,6.4,3.27,19.75,16.35,10.06,13.62,14.01,14.5,11.15,7.41,14.3,10.61,6.99,6.83,6.65,9.9,6.6,6.54,13.15,6.74,0.0,10.07,3.34,5.89,6.7,6.56,6.44,6.32,6.21,6.09,5.98,5.86,5.75,5.64,5.55,5.46,5.37,5.29,5.21,5.14,5.08,5.01,4.95,4.89,4.84,4.78,4.73,4.68,4.62,4.57,4.52,4.47,4.43,4.38,4.33,4.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,3.92,3.88,3.84,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.509207731529453,3.4688841980355187,3.4290240133877714,3.3896218533466267,3.350672454852162,3.3121706153211212,3.2741111919519845,3.2364891010380332,3.1992993172883035,3.1625368731563426,3.1261968581766815,3.090274418308929,3.0547647552894017,3.0196631259902103,2.9849648417857026,2.9506652679261913,2.916759822918878,2.8832439779158885,2.8501132561093447,2.817363232133379,2.784989531473032,2.7529878298799306,2.7213538527946888,2.69008337477594,2.659172218935936,2.628616256382625,2.598411405668145,2.568553632243653,2.539038947920419,2.509863410337111,2.481023122433203,2.452514231928434,2.424332930808248,2.3964754548151443,2.368938082945878,2.341717136954433,2.314808980860708,2.288210020464848,2.2619167028671585,2.2359255159935327,2.2102329881263345,2.1848356874406702,2.159730221545991,2.134913237032961,2.110381419025532,2.086131490738168,2.062160213038153,2.0384643840129324,2.0150408385424248,1.9918864478762448,1.9689981192157908,1.9463727953011283,1.9240074540026237,1.9018991079172691,1.8800448039696485,1.8584416230174832,1.8370866794617178,1.8159771208610787,1.7951101275510688,1.7744829122673336,1.7540927197733598,1.7339368264924508,1.7140125401439303,1.6943171993835264,1.6748481734478875,1.6556028618031857,1.6365786937977544,1.6177731283187196,1.5991836534525747,1.58080778614966,1.5626430718924917,1.5446870843679064,1.5269374251429708,1.5093917233446166,1.492047635342956,1.4749028444382366,1.4579550605513922,1.4412020199181514,1.4246414847866598,1.4082712431185764,1.3920891082936064,1.3760929188174271,1.3602805380329712,1.344649853835027,1.3291987783881203,1.3139252478476326
9,25.17,32.41,26.1,27.02,21.52,16.44,19.76,21.68,18.05,11.76,21.13,9.28,46.88,15.21,23.84,17.97,14.86,24.47,6.12,24.04,15.13,15.61,12.77,16.26,16.34,9.77,3.33,10.17,3.49,14.46,7.43,18.4,10.7,7.07,6.98,6.8,0.0,0.0,6.57,3.27,3.27,3.34,6.65,9.91,7.6,6.82,6.68,6.55,6.43,6.32,6.21,6.11,5.99,5.88,5.78,5.68,5.59,5.5,5.42,5.35,5.27,5.2,5.14,5.08,5.02,4.96,4.9,4.85,4.8,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.76,3.72,3.68,3.64,3.6032518724332703,3.5668747407126005,3.530864859397696,3.4952185208608744,3.4599320549053267,3.425001828387228,3.390424244841663,3.3561957441123287,3.322312801984978,3.2887719298245597,3.255569674216023,3.222702616608751,3.190167372964583,3.1579605934093844,3.1260789618881444,3.0945191958235463,3.063278045777992,3.0323522951190323,3.0017387596881804,2.9714342874730653,2.941435758282896,2.9117400834272034,2.8823442053978234,2.8532450975540913,2.8244397638112164,2.7959252383317987,2.7676985852204647,2.73975689822158,2.7120973004200213,2.6847169439449607,2.65761300967665,2.630782706956156,2.6042232732980315,2.577931974105888,2.5519061023908343,2.526142978492764,2.5006399498044534,2.4753943904984435,2.4504037012566844,2.425665309002902,2.4011766666376735,2.3769352527761747,2.352938571488571,2.329184152043038,2.3056695486513665,2.2823923402171453,2.2593501300864784,2.236540545801224,2.213961238854722,2.191609884449989,2.169484181260353,2.147581851192507,2.1259006391519533,2.1044383128108137,2.0831926623779875,2.06216150037163,2.041342661393922,2.020734001908122,2.000333400017862,1.9801387552486729,1.9601479883317214,1.9403590409897205,1.9207698757250093,1.9013784756097687,1.8821828440783563,1.8631810047217348,1.8443710010839813,1.8257508964608462,1.8073187737003475,1.7890727350053788,1.7710109017383084,1.7531314142275531,1.7354324315761038,1.7179121314719832,1.700568710000619,1.6834003814591103,1.666405378172368,1.6495819503111144,1.6329283657117166,1.6164429096978412,1.6001238849039094,1.5839696111003323,1.567978425020514,1.5521486801895978,1.5364787467549443,1.5209670113183178
