,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1263.895562,1233.767513,1140.718472,1073.484835,1041.890321,1092.637818,1037.556717,1018.504905,954.5983071,888.5412161,829.5320409,734.3910439,706.0305959,683.7407448,683.3653505,687.4904001,645.4261697,628.6521377,644.3428631,611.2419259,596.9960856,599.2965936,576.864939,555.8037593,572.4532281,545.0006636,530.8056992,527.5210454,543.8665066,534.9865414,532.3543277,529.4655201,526.5007193,523.3581061,520.1350249,516.8247357,513.3595241,392.0351869,382.4589901,373.3533682,364.693594,356.4564348,348.6200461,341.1638723,334.0685534,327.315838,320.8885003,314.7702627,308.9457205,303.400271,298.1200427,293.0918273,288.303009,283.7414931,279.3956278,275.2541177,271.3059194,267.5401082,263.9456903,260.5113043,257.2246622,254.0711771,251.0261529,248.0175777,245.0450163,242.1080387,239.2062198,236.3391399,233.506384,230.7075422,227.9422094,225.2099853,222.5104744,219.843286,217.2080337,214.6043362,212.0318162,209.4901014,206.9788236,204.4976191,202.0461284,199.6239965,197.2308724,194.8664095,192.5302651,190.2221007,187.9415819,185.6883781,183.4621629,181.2626134,179.089411,176.9422405,174.8207907,172.724754,170.6538265,168.607708,166.5861017,164.5887145,162.6152566,160.665442,158.7389878,156.8356144,154.955046,153.0970095,151.2612356,149.4474578,147.655413,145.8848411,144.1354852,142.4070915,140.6994092,139.0121904,137.3451902,135.6981667,134.0708807,132.4630962,130.8745797,129.3051005,127.7544309,126.2223457,124.7086224,123.2130412,121.7353851,120.2754393,118.8329919,117.4078335,115.999757,114.6085579,113.2340341,111.8759861,110.5342165,109.2085304,107.8987353,106.6046409,105.3260591,104.0628043,102.8146928,101.5815434,100.3631767,99.15941594,97.97008602,96.79501416,95.63402958,94.48696357,93.35364941,92.2339224,91.12761979,90.03458078,88.95464649,87.88765995,86.83346606,85.79191158,84.76284508,83.74611697,82.74157944,81.74908644,80.76849368,79.79965857,78.84244027,77.89669957,76.96229898,76.03910261,75.12697622,74.22578717,73.33540441,72.45569845,71.58654135,70.72780672,69.87936965,69.04110675
1,82.99973909,90.40116394,73.39463611,85.30746986,76.62516591,67.30743343,68.91310332,72.60193046,69.47725315,69.4466703,67.55672868,54.35779322,55.90018984,53.34958735,46.00555472,51.22410265,51.52994011,50.9357637,51.97107837,43.51112462,41.08127643,47.20382953,39.10162114,42.82022571,39.58667634,39.78355566,40.98305032,37.05154603,36.61767449,34.99288897,33.84079027,33.27804279,32.6298124,32.1940909,31.65276825,30.99050662,30.29438465,37.37107774,36.48865471,35.64816518,34.84746887,34.08455073,33.3575122,32.66456309,32.00401385,31.37426841,30.7738173,30.20123121,29.65515472,29.13430032,28.63744252,28.16341202,27.71108977,27.2794008,26.8673075,26.47380212,26.09789762,25.73861595,25.39497137,25.06594392,24.75042942,24.44711659,24.15378663,23.86397578,23.57764183,23.29474308,23.01523834,22.73908688,22.46624849,22.19668343,21.93035244,21.66721672,21.40723795,21.15037827,20.89660025,20.64586693,20.3981418,20.15338876,19.91157218,19.67265682,19.43660788,19.20339098,18.97297215,18.74531783,18.52039484,18.29817044,18.07861224,17.86168827,17.64736693,17.43561699,17.22640761,17.01970831,16.81548898,16.61371987,16.4143716,16.21741511,16.02282172,15.83056308,15.64061118,15.45293835,15.26751725,15.08432086,14.9033225,14.72449579,14.5478147,14.37325347,14.20078667,14.03038919,13.86203619,13.69570315,13.53136583,13.36900029,13.20858288,13.05009023,12.89349925,12.73878711,12.58593129,12.4349095,12.28569975,12.1382803,11.99262968,11.84872665,11.70655025,11.56607977,11.42729474,11.29017495,11.1547004,11.02085138,10.88860836,10.75795209,10.62886352,10.50132386,10.37531451,10.25081712,10.12781354,10.00628586,9.886216365,9.767587563,9.650382168,9.534583103,9.420173495,9.307136673,9.195456168,9.085115707,8.976099212,8.868390797,8.76197477,8.656835624,8.552958039,8.45032688,8.34892719,8.248744196,8.149763299,8.051970077,7.95535028,7.859889828,7.765574812,7.67239149,7.580326281,7.489365772,7.399496708,7.310705994,7.22298069,7.136308015,7.050675337,6.96607018,6.882480215,6.79989326,6.718297282,6.637680391
2,53.74768774,47.55563243,46.23926462,45.18864699,50.88710728,43.0781697,45.16871585,43.90513376,47.02704577,44.25033522,38.66394696,34.1834712,39.43164032,31.36412621,29.63894609,31.23073779,30.70858839,32.35247111,31.62341169,27.96466659,25.45592257,27.88999187,25.62670777,23.2084624,25.70126986,23.56506628,28.30292941,18.6311904,24.55962891,23.51465707,22.83431099,22.2237195,21.60353739,21.05033881,20.58450057,20.20522752,19.78549913,12.09444313,11.77773623,11.47764147,11.19322974,10.92363224,10.66803592,10.42567926,10.19584836,9.977873287,9.771124673,9.575010479,9.388972977,9.212485853,9.045051414,8.886197869,8.735476612,8.592459455,8.456735698,8.327908891,8.205593043,8.08940783,7.978971941,7.873892633,7.773746329,7.678031227,7.585898347,7.494870978,7.404935857,7.316079877,7.228290091,7.141553708,7.055858087,6.971190741,6.887539333,6.804891673,6.723235718,6.642559569,6.56285147,6.484099806,6.4062931,6.329420016,6.253469351,6.178430037,6.104291139,6.031041855,5.958671509,5.887169555,5.816525575,5.746729274,5.677770481,5.609639146,5.542325342,5.475819258,5.410111205,5.345191605,5.281051,5.217680041,5.155069495,5.093210236,5.032093251,4.971709633,4.912050583,4.853107406,4.794871514,4.737334418,4.680487736,4.624323182,4.568832571,4.514007818,4.459840932,4.40632402,4.353449282,4.301209015,4.249595603,4.198601526,4.148219353,4.098441741,4.049261436,4.000671271,3.952664164,3.90523312,3.858371227,3.812071655,3.766327656,3.721132565,3.676479795,3.632362839,3.588775267,3.545710728,3.503162944,3.461125716,3.419592918,3.378558496,3.338016471,3.297960934,3.258386047,3.219286044,3.180655226,3.142487963,3.104778693,3.06752192,3.030712215,2.994344213,2.958412614,2.922912181,2.887837741,2.853184183,2.818946455,2.785119569,2.751698594,2.71867866,2.686054954,2.653822722,2.621977267,2.590513947,2.559428178,2.528715428,2.498371222,2.468391137,2.438770805,2.409505908,2.380592181,2.352025411,2.323801434,2.295916137,2.268365455,2.241145375,2.214251928,2.187681196,2.161429305,2.13549243,2.109866792,2.084548654
3,40.64516455,39.74933458,36.87977059,41.88935645,40.1878874,37.90774966,31.56084113,35.61669738,36.49480343,32.49984975,33.28673149,26.69880219,27.33999228,21.94996341,25.08594885,21.89518853,21.10805455,22.42840093,22.60641678,18.51024356,17.01187324,16.23471093,22.1022342,20.58297029,19.38154375,15.14541326,19.3763621,16.31883634,17.3758457,16.55453028,15.94823042,15.45871754,15.0546017,14.66626918,14.36256836,14.0952139,13.73853367,9.099585963,8.824909728,8.566515142,8.323375676,8.094540575,7.879128517,7.676321814,7.485361082,7.305540353,7.136202554,6.976735327,6.826567141,6.685163641,6.552024204,6.426678644,6.308684006,6.197621376,6.093092615,5.994716857,5.902126544,5.814962588,5.732867842,5.655477115,5.582398954,5.513171672,5.447015413,5.381652987,5.317074868,5.253271646,5.190234022,5.127952811,5.066418936,5.00562343,4.945557435,4.886212195,4.827579064,4.769649497,4.712415052,4.655867388,4.599998264,4.544799539,4.490263169,4.436381206,4.383145799,4.330549188,4.278583709,4.22724179,4.176515948,4.126398791,4.076883015,4.027961404,3.979626829,3.931872246,3.884690695,3.838075301,3.792019271,3.746515892,3.701558533,3.657140643,3.613255748,3.569897453,3.527059439,3.484735464,3.442919358,3.401605028,3.360786454,3.320457686,3.280612847,3.241246131,3.2023518,3.163924187,3.12595769,3.088446777,3.051385981,3.014769901,2.978593201,2.942850609,2.907536915,2.872646973,2.838175699,2.804118068,2.770469117,2.737223943,2.704377699,2.671925601,2.639862917,2.608184975,2.576887158,2.545964906,2.515413711,2.485229122,2.455406739,2.425942215,2.396831257,2.368069623,2.33965312,2.311577607,2.283838992,2.256433234,2.229356337,2.202604355,2.176173391,2.150059591,2.12425915,2.098768307,2.073583349,2.048700604,2.024116445,1.999827291,1.9758296,1.952119876,1.928694664,1.905550548,1.882684157,1.860092157,1.837771256,1.815718202,1.793929779,1.772402812,1.751134165,1.730120736,1.709359465,1.688847325,1.668581326,1.648558515,1.628775974,1.609230819,1.589920203,1.570841311,1.551991361,1.533367608,1.514967336,1.496787864
4,39.23564438,31.25873337,33.16956442,25.02864502,30.73459732,27.48222669,28.87684401,26.12122288,26.88987903,26.04649103,21.8907843,25.49476568,23.14536625,21.49869964,15.44826761,21.80382137,20.09565402,18.52191831,17.87226068,16.93660501,16.64169294,18.37654851,16.47760477,13.17369299,11.75340188,12.9304138,14.55913131,12.45327428,14.04581124,13.39376806,12.96640441,12.6307451,12.39435546,12.0976791,11.82674182,11.58456106,11.38369203,8.876016837,8.576818918,8.296976663,8.035155074,7.790127208,7.56076439,7.34602735,7.144958171,6.956672963,6.780355173,6.615249463,6.460656074,6.315925622,6.180454231,6.053678965,5.935073448,5.824143597,5.720423343,5.623470156,5.53286011,5.448182019,5.369029728,5.294990571,5.225624651,5.160415352,5.098491947,5.037311584,4.97686535,4.917144434,4.858140134,4.799843851,4.742247091,4.685341459,4.629118663,4.573570509,4.518688903,4.464465847,4.410893438,4.35796387,4.30566943,4.254002495,4.202955538,4.152521119,4.102691888,4.053460583,4.00482003,3.95676314,3.909282911,3.862372422,3.816024837,3.770233402,3.724991444,3.680292369,3.636129664,3.592496892,3.549387694,3.506795788,3.464714968,3.4231391,3.382062126,3.341478058,3.301380983,3.261765058,3.222624508,3.183953629,3.145746787,3.107998412,3.070703003,3.033855126,2.99744941,2.96148055,2.925943303,2.890832491,2.856142997,2.821869764,2.788007799,2.754552167,2.72149799,2.688840454,2.656574797,2.624696317,2.59320037,2.562082364,2.531337765,2.500962092,2.470950917,2.441299868,2.412004623,2.383060913,2.354464518,2.326211273,2.298297058,2.270717807,2.243469499,2.216548163,2.189949876,2.163670762,2.13770699,2.112054777,2.086710385,2.061670118,2.036930329,2.012487411,1.988337802,1.964477983,1.940904476,1.917613845,1.894602697,1.871867677,1.849405473,1.82721281,1.805286454,1.78362321,1.76221992,1.741073465,1.720180763,1.69953877,1.679144476,1.658994909,1.639087133,1.619418247,1.599985383,1.580785711,1.56181643,1.543074778,1.524558021,1.506263463,1.488188436,1.470330306,1.45268647,1.435254358,1.418031428,1.40101517
5,30.88085453,26.92780587,29.80958013,26.18430898,25.50451111,25.52320899,25.01123977,23.97699299,26.91142472,23.44607978,23.41244898,21.90018924,17.4119035,13.72105913,17.6841584,16.41178665,16.54004241,15.9652781,14.34277338,12.80855184,13.16753437,12.86744256,14.23878302,10.04166594,11.46834611,12.64295916,11.74267541,14.26665302,12.2658396,11.8092589,11.54367161,11.30358503,11.07323705,10.83833994,10.65738018,10.44482922,10.26486722,8.699621561,8.392287658,8.105558036,7.83795729,7.588134,7.354849126,7.136965535,6.93343854,6.743307316,6.565687106,6.399762122,6.244779035,6.100040998,5.964902095,5.838762146,5.721061782,5.611277668,5.508917763,5.413516409,5.324628985,5.241825611,5.164682986,5.092772263,5.025637469,4.962744184,4.903192714,4.844355827,4.786224948,4.728791607,4.672047433,4.615984158,4.560593611,4.505867721,4.451798511,4.398378104,4.345598714,4.293452649,4.24193231,4.191030189,4.140738868,4.091051018,4.041959398,3.993456853,3.945536316,3.898190803,3.851413415,3.805197333,3.759535823,3.714422231,3.669849983,3.625812581,3.582303609,3.539316727,3.496845669,3.454884246,3.413426342,3.372465917,3.331997,3.292013694,3.252510172,3.213480677,3.174919521,3.136821085,3.099179815,3.061990227,3.0252469,2.988944479,2.953077675,2.91764126,2.88263007,2.848039001,2.813863014,2.780097127,2.74673642,2.71377603,2.681211155,2.649037047,2.617249018,2.585842436,2.554812723,2.524155358,2.493865871,2.463939849,2.434372931,2.405160807,2.37629922,2.347783964,2.319610884,2.291775872,2.264274873,2.237103878,2.210258928,2.183736111,2.15753156,2.131641457,2.106062029,2.080789548,2.05582033,2.031150737,2.006777172,1.982696085,1.958903965,1.935397345,1.912172799,1.889226942,1.86655643,1.84415796,1.822028266,1.800164123,1.778562346,1.757219785,1.736133331,1.71529991,1.694716485,1.674380058,1.654287663,1.634436373,1.614823295,1.59544557,1.576300374,1.557384917,1.538696442,1.520232225,1.501989575,1.483965834,1.466158375,1.448564602,1.431181951,1.414007889,1.397039913,1.380275549,1.363712356,1.347347918
6,32.53271764,26.27400651,29.3800284,25.91977012,20.0104499,20.34794994,23.61751964,22.83009618,21.2153542,24.42580695,20.24666752,18.4778963,17.00446399,16.89878322,17.25534131,13.10481807,14.90812403,14.5326394,13.63569852,17.24638022,13.62521118,11.54094806,14.18812788,11.49002744,14.52335467,10.32874457,11.45687789,12.32235727,11.05423996,10.60444235,10.45690224,10.28592566,10.02318838,9.887014935,9.786052875,9.598775133,9.444220563,8.42441199,8.127602232,7.850650802,7.592138759,7.350766146,7.125340876,6.9147687,6.718044135,6.534242242,6.362511148,6.202065237,6.052178911,5.912180845,5.781448665,5.659403959,5.545507542,5.439254868,5.340171469,5.247808237,5.161736265,5.081540795,5.006813336,4.937139981,4.872080571,4.811119163,4.753387106,4.6963478,4.639992934,4.584314295,4.529303769,4.47495334,4.421255087,4.368201185,4.315783902,4.263995599,4.21282873,4.162275837,4.112329554,4.062982602,4.014227789,3.966058011,3.918466247,3.871445563,3.824989104,3.779090102,3.733741868,3.688937792,3.644671345,3.600936076,3.557725612,3.515033655,3.472853984,3.431180451,3.390006983,3.349327581,3.309136315,3.269427328,3.230194834,3.191433114,3.153136521,3.115299472,3.077916454,3.040982018,3.004490782,2.968437428,2.932816701,2.89762341,2.862852427,2.828498684,2.794557174,2.761022951,2.727891127,2.695156875,2.662815423,2.630862058,2.599292124,2.568101019,2.537284198,2.506837169,2.476755495,2.447034793,2.417670731,2.388659028,2.359995458,2.331675843,2.303696055,2.276052017,2.2487397,2.221755123,2.195094354,2.168753508,2.142728744,2.117016272,2.091612342,2.066513253,2.041715347,2.01721501,1.993008672,1.969092803,1.945463919,1.922118576,1.899053373,1.876264946,1.853749975,1.831505179,1.809527316,1.787813182,1.766359614,1.745163483,1.724221702,1.703531218,1.683089015,1.662892115,1.642937573,1.623222483,1.603743969,1.584499194,1.565485352,1.546699673,1.528139419,1.509801884,1.491684397,1.473784316,1.456099033,1.43862597,1.421362581,1.40430635,1.387454791,1.370805448,1.354355894,1.338103732,1.322046593,1.306182137
7,26.12357461,24.17550291,27.46606553,23.9138315,27.64523876,24.95933708,17.11556584,24.41327653,26.06459268,16.03398117,20.86059434,19.44679135,15.09897148,16.21709803,14.11122734,10.13542512,12.59053381,17.62760383,13.52677879,12.61832902,13.36859409,11.47128577,10.45194617,10.16096099,8.764758004,9.502346066,9.745795961,11.1555048,9.724414468,9.340230221,9.151292639,8.964580759,8.761882638,8.671031796,8.514244676,8.357483529,8.222483922,7.699703558,7.437223473,7.191870767,6.962453425,6.747876792,6.547134688,6.359301364,6.183524205,6.019017094,5.865054364,5.720965268,5.586128892,5.45996946,5.341951966,5.231578055,5.128382102,5.031927391,4.941802287,4.857616252,4.778995458,4.705577585,4.637005011,4.572914627,4.512919601,4.456565848,4.403088235,4.350252325,4.298050419,4.246474909,4.195518279,4.145173104,4.095432045,4.046287855,3.997733371,3.949761518,3.902365305,3.855537824,3.809272251,3.763561844,3.718399942,3.673779962,3.629695403,3.586139839,3.543106923,3.500590384,3.458584026,3.417081727,3.376077438,3.335565185,3.295539062,3.255993237,3.216921947,3.178319497,3.140180262,3.102498683,3.06526927,3.028486595,2.9921453,2.956240087,2.920765724,2.885717041,2.85108893,2.816876345,2.783074299,2.749677867,2.716682181,2.684082432,2.65187387,2.6200518,2.588611586,2.557548644,2.526858448,2.496536525,2.466578456,2.436979875,2.407736469,2.378843975,2.350298183,2.322094932,2.294230112,2.266699663,2.239499572,2.212625874,2.186074654,2.159842041,2.133924213,2.108317393,2.083017848,2.058021891,2.033325879,2.008926214,1.984819338,1.96100174,1.937469947,1.91422053,1.891250101,1.868555312,1.846132855,1.823979463,1.802091906,1.780466996,1.75910158,1.737992544,1.717136813,1.696531346,1.67617314,1.656059229,1.636186681,1.6165526,1.597154123,1.577988425,1.559052712,1.540344223,1.521860233,1.503598048,1.485555005,1.467728476,1.450115862,1.432714596,1.415522143,1.398535996,1.38175368,1.365172749,1.348790786,1.332605405,1.316614245,1.300814977,1.285205297,1.269782932,1.254545632,1.239491178,1.224617375,1.209922055
8,24.92234581,26.71918741,23.91662944,24.5268275,20.23459292,19.86823947,20.50082973,25.66863794,19.28634497,19.52615844,20.3467286,15.70469753,17.32406234,18.99023954,16.19725167,11.83114316,17.7294299,13.57855619,12.14221507,11.7832841,11.34376939,9.684846585,10.39017782,12.57930651,9.104937755,12.60677648,12.84379847,12.31741844,8.996461517,8.697097276,8.488438085,8.322493977,8.150808062,8.034817542,7.846518498,7.700766941,7.539826012,6.899761955,6.674405231,6.463275024,6.265414734,6.079943221,5.906048122,5.74297978,5.590045717,5.446605581,5.312066531,5.185878988,5.06753272,4.956553206,4.852498229,4.754954659,4.663535361,4.577876159,4.497632773,4.422477603,4.352096143,4.286182693,4.224434683,4.166544109,4.112182105,4.060961948,4.012231382,3.96408556,3.916517465,3.869520164,3.82308681,3.777210635,3.731884953,3.687103159,3.642858727,3.599145209,3.555956234,3.513285509,3.471126815,3.429474007,3.388321016,3.347661845,3.307490567,3.267801329,3.228588346,3.189845904,3.151568356,3.113750124,3.076385698,3.03946963,3.002996542,2.966961119,2.931358107,2.896182319,2.861428628,2.82709197,2.79316734,2.759649795,2.726534449,2.693816476,2.661491109,2.629553635,2.597999401,2.566823809,2.536022314,2.505590427,2.475523714,2.445817793,2.416468334,2.38747106,2.358821745,2.330516214,2.302550342,2.274920052,2.247621318,2.220650162,2.194002652,2.167674906,2.141663085,2.1159634,2.090572105,2.065485499,2.040699925,2.016211773,1.992017473,1.968113498,1.944496366,1.921162634,1.898108901,1.875331808,1.852828035,1.830594302,1.808627369,1.786924034,1.765481135,1.744295546,1.72336418,1.702683986,1.68225195,1.662065094,1.642120477,1.622415191,1.602946365,1.583711161,1.564706776,1.545930439,1.527379416,1.509051001,1.490942524,1.473051346,1.455374858,1.437910485,1.420655682,1.403607934,1.386764755,1.370123692,1.353682319,1.33743824,1.321389087,1.305532521,1.289866232,1.274387936,1.259095377,1.243986327,1.229058582,1.214309969,1.199738337,1.185341562,1.171117547,1.157064217,1.143179526,1.129461449,1.115907987,1.102517165
9,23.43589794,23.21684534,25.12275199,22.21008633,19.23336815,16.86842889,17.47781761,20.4918813,18.44047685,17.66610066,20.57343719,15.7537579,17.32138924,15.19945518,17.15927545,16.17655555,13.84358697,13.16021742,12.29928168,13.12331896,8.78189199,13.64202929,11.75882647,11.44446441,9.641971502,14.46939522,11.22839305,10.60471652,8.873170478,8.616851685,8.534489969,8.40272949,8.168920112,8.00141681,7.757697263,7.573739952,7.501800243,6.437758358,6.233620715,6.042073262,5.86228951,5.693506581,5.535019701,5.386177169,5.246375771,5.115056579,4.991701093,4.875827691,4.766988337,4.664765518,4.568769367,4.478634928,4.394019516,4.314600122,4.240070765,4.170139702,4.104526295,4.042957233,3.985161498,3.930862734,3.879765421,3.831521644,3.785544255,3.740118573,3.69523798,3.650895933,3.607085972,3.563801712,3.521036844,3.478785137,3.437040433,3.395796648,3.355047772,3.314787866,3.275011063,3.235711566,3.196883648,3.15852165,3.120619981,3.083173119,3.046175605,3.009622048,2.97350712,2.937825559,2.902572164,2.867741797,2.833329383,2.799329906,2.765738412,2.732550005,2.699759847,2.667363161,2.635355225,2.603731374,2.572486999,2.541617548,2.51111852,2.480985472,2.451214011,2.421799799,2.392738549,2.364026026,2.335658045,2.307630472,2.279939222,2.252580259,2.225549597,2.198843295,2.172457462,2.146388253,2.120631867,2.095184551,2.070042596,2.045202339,2.020660159,1.996412479,1.972455766,1.948786527,1.925401314,1.902296718,1.879469372,1.856915949,1.834633162,1.812617764,1.790866545,1.769376337,1.748144006,1.727166459,1.706440639,1.685963524,1.66573213,1.645743509,1.625994747,1.606482967,1.587205324,1.56815901,1.549341248,1.530749295,1.512380442,1.494232013,1.476301361,1.458585874,1.441082969,1.423790097,1.406704736,1.389824396,1.373146618,1.35666897,1.340389052,1.32430449,1.30841294,1.292712086,1.27719964,1.261873341,1.246730955,1.231770276,1.216989123,1.202385341,1.187956803,1.173701405,1.159617069,1.145701744,1.131953401,1.118370036,1.10494967,1.091690346,1.078590133,1.06564712,1.052859422,1.040225175
