age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1264.68,1234.09,1140.89,1073.49,1041.93,1092.57,1037.8,1018.64,954.38,888.47,829.64,734.57,706.04,683.8,683.32,687.49,645.5,628.71,644.41,611.23,597.16,599.28,576.75,555.69,572.44,544.87,535.83,522.72,511.39,464.3,494.27,458.08,433.7,413.01,439.59,414.84,428.51,416.65,435.35,414.95,440.53,438.84,477.62,464.72,365.62,338.4,330.31,322.64,315.41,308.56,302.1,295.96,290.09,284.93,279.87,274.96,270.84,266.88,262.99,259.28,255.68,252.24,249.06,246.26,243.57,240.68,237.84,235.25,232.65,230.14,227.91,225.24,222.5,220.35,218.12,215.69,213.04,210.78,208.47,206.09,204.03,201.91,199.6,197.1,195.21,193.34,191.31,188.95,186.51,184.63,182.7,180.56,178.63,176.74,174.82344471005499,172.92767240177466,171.05245770606626,169.1975776977226,167.36281186892066,165.5479421030077,163.75275264857163,161.97703009379242,160.22056334107182,158.48314358193804,156.76456427222274,155.06462110750704,153.38311199883378,151.7198370486833,150.07459852720967,148.4472008487345,146.8374505484959,145.24515625964924,143.6701286905176,142.11218060208887,140.57112678575666,139.0467840413028,137.53897115511856,136.04750887866197,134.57221990714876,133.1129288584745,131.66946225236507,130.24164848975337,128.82931783237984,127.43230238261377,126.05043606349376,124.6835545989845,123.33149549444771,121.99409801732475,120.67120317802873,119.362653711044,118.06829405623027,116.78797034032979,115.52153035867481,114.26882355709361,113.02970101401256,111.80401542275246,110.59162107401663,109.39237383856907,108.2061311501004,107.03275198827959,105.8720968619895,104.72402779274417,103.58840829828603,102.4651033763608,101.35397948866854,100.25490454498863,99.16774788747686,98.09238027513287,97.028673868436,95.97650221414777,94.93574023027912,93.9062641912207,92.88795171303431,91.8806817389041,90.88433452474516,89.89879162496847,88.92393587840007,87.959651394353,87.00582353885018,86.06233892099681,85.12908537950038,84.20595196933708,83.29282894856254,82.38960776526588,81.49618104466491,80.61244257634155,79.73828730161553,78.873611301055,78.01831178212265,77.1722870669557,76.33543658027848,75.5076608374461,74.68886143261764,73.87894102705776,73.07780333756503,72.28535312502586,71.50149618309246,70.72613932698353,69.95919038240665,69.20055817460042
1,83.0,90.4,73.39,85.31,76.63,67.31,68.91,72.6,69.48,69.45,67.56,54.36,55.9,53.35,46.01,51.22,51.53,50.94,51.97,43.51,41.08,47.03,39.01,42.82,39.6,39.75,40.73,36.92,31.65,32.15,35.36,32.52,32.55,34.94,29.81,27.89,24.65,25.83,23.84,20.35,23.15,23.66,26.48,23.99,23.48,23.16,22.91,22.41,21.71,21.7,21.41,20.58,19.9,19.53,19.3,19.17,18.97,18.62,18.47,18.23,17.96,17.68,17.08,16.76,16.85,16.87,16.99,16.82,16.44,16.16,15.66,15.38,15.48,15.12,14.81,14.83,14.86,15.03,14.81,14.51,14.03,13.79,13.51,13.22,13.38,13.1,12.81,12.9,12.97,12.85,13.07,12.99,12.48,12.33,12.244364195462532,12.159323159053109,12.074872759916323,11.991008895886884,11.907727493290356,11.825024506745274,11.742895918966653,11.661337740570834,11.580346009881708,11.49991679273828,11.420046182303562,11.340730298874803,11.26196528969503,11.18374732876591,11.106072616661885,11.028937380345635,10.952337872984787,10.876270373769927,10.80073118773385,10.725716645572092,10.651223103464673,10.577246942899121,10.50378457049469,10.430832417827816,10.358386941258782,10.286444621759587,10.215001964743001,10.144055499892833,10.073601780995345,10.003637385771855,9.934158915712516,9.865162995911211,9.796646274901631,9.72860542449448,9.661037139615797,9.593938138146425,9.527305160762577,9.461134970777511,9.395424353984314,9.330170118499776,9.265369094609332,9.201018134613108,9.137114112673007,9.073653924660892,9.010634488007778,8.94805274155412,8.885905645401106,8.82419018076299,8.762903349820473,8.702042175575059,8.641603701704472,8.581584992419037,8.52198313231908,8.462795226253315,8.404018399178211,8.345649796018332,8.28768658152766,8.23012594015187,8.172965075891563,8.116201212166454,8.059831591680497,8.003853476287954,7.948264146860385,7.893060903154571,7.838241063681345,7.783801965575346,7.729740964465665,7.676055434347398,7.622742767454085,7.569800374131045,7.517225682709573,7.465016139382036,7.413169208077805,7.361682370340083,7.3105531252035565,7.259778989072924,7.209357495602246,7.159286195575147,7.109562656785847,7.060184463921015,7.0111492184424415,6.962454538470539,6.914098058668636,6.866077430128082,6.818390320254151,6.771034412652737
2,53.75,47.56,46.24,45.19,50.89,43.08,45.17,43.91,47.03,44.25,38.66,34.18,39.43,31.36,29.64,31.23,30.71,32.35,31.62,27.96,25.45,27.77,25.45,23.11,25.69,23.58,28.24,18.47,18.72,19.17,20.2,18.22,17.9,17.31,16.44,16.0,14.6,12.1,13.97,13.31,13.86,16.66,18.87,17.75,15.74,15.19,15.02,14.66,14.29,13.93,13.56,13.25,12.85,12.51,12.32,12.1,11.95,11.86,11.68,11.48,11.36,11.31,11.18,10.99,10.88,10.79,10.64,10.5,10.45,10.42,10.24,10.09,9.94,9.89,9.91,9.79,9.66,9.52,9.3,9.22,9.14,8.97,8.77,8.66,8.61,8.56,8.51,8.35,8.28,8.29,8.2,8.12,8.03,7.94,7.871377906543074,7.803348885089979,7.735907809967857,7.669049599802898,7.602769217137473,7.5370616680505895,7.471922001781625,7.407345310357303,7.343326728221904,7.279861431870672,7.216944639486377,7.154571610579035,7.09273764562873,7.031438085731527,6.9706683122484465,6.910423746457472,6.850699849208559,6.7914921205816405,6.732796099547568,6.674607363632004,6.6169215285822,6.559734248036669,6.503041213197705,6.4468381525067375,6.391120831322481,6.3358850516018865,6.281126651583831,6.226841505475546,6.173025523141767,6.119674649796551,6.066784865697769,6.014352185844246,5.962372659675497,5.910842370774077,5.859757436570497,5.809114008050692,5.7589082694660085,5.709136438045711,5.659794763711969,5.6108795287973,5.562387047764469,5.514313666928791,5.466655764182847,5.419409748723578,5.372572060781728,5.326139171353638,5.280107581935349,5.234473824259001,5.189234460031529,5.144386080675586,5.099925307072737,5.055848789308846,5.012153206421688,4.968835266150718,4.925891704689023,4.883319286437402,4.841114803760586,4.799275076745553,4.757796952961934,4.7166773072245,4.675913041357683,4.635501083962153,4.595438390183396,4.555721941482299,4.516348745407719,4.477315835371014,4.4386202704225255,4.400259135029988,4.362229538858865,4.3245286165545656,4.287153527526561,4.250101455734354,4.2133696094753095,4.176955221174303,4.1408555471752075,4.105067867534164,4.069589485814649,4.03441772888431,3.9995499467135565,3.9649835121758965,3.9307158208499886,3.8967442908234164,3.8630663624981487,3.829679498397688,3.7965811829758844,3.7637689224273987
3,40.65,39.75,36.88,41.89,40.19,37.91,31.56,35.62,36.49,32.5,33.29,26.7,27.34,21.95,25.09,21.9,21.11,22.43,22.61,18.51,17.02,16.16,21.92,20.36,19.27,15.14,19.38,16.28,11.06,15.6,11.43,10.43,11.04,13.51,12.71,12.49,11.77,10.86,8.59,12.48,11.22,11.46,10.09,12.81,11.07,10.17,9.94,9.82,9.59,9.41,9.25,9.0,8.75,8.48,8.35,8.22,8.08,8.09,8.0,7.83,7.72,7.69,7.58,7.47,7.44,7.35,7.18,7.11,7.04,6.99,6.86,6.75,6.72,6.7,6.61,6.45,6.44,6.36,6.18,6.17,6.15,5.95,5.75,5.71,5.74,5.68,5.54,5.47,5.48,5.49,5.5,5.41,5.24,5.15,5.097113931550478,5.044770957515721,4.992965500783422,4.941692041513415,4.890945116549543,4.840719318837562,4.791009296849024,4.741809754011071,4.693115448142091,4.644921190893168,4.597221847195263,4.550012334712076,4.503287623298531,4.457042734464812,4.411272740845908,4.3659727656766085,4.321137982271885,4.276763613512611,4.232844931336561,4.189377256234642,4.146355956752293,4.103776448996004,4.061634196144908,4.019924707967385,3.9786435403426297,3.9377862947871325,3.8973486179860246,3.857326201329236,3.8177147804524134,3.7785101347825565,3.7397080870883186,3.7013045030349234,3.663295290743655,3.6256764003558715,3.588443823601495,3.5515935933719303,3.515121783297376,3.479024507328469,3.4432979193222275,3.4079382126322524,3.372941619703123,3.338304411668975,3.3040228979561843,3.2700934258901455,3.2365123803060754,3.2032761831638243,3.170381293166634,3.137824205383819,3.1056014508773147,3.0737095963320646,3.042145243690206,3.010905029789004,2.9799856260025117,2.9493837378869077,2.9190961048294715,2.889119499701171,2.8594507285128126,2.8300866300747214,2.8010240756599236,2.772259968670775,2.743791244309029,2.715614869249276,2.6877278413157497,2.6601271891624463,2.632809971956527,2.605773279064978,2.5790142297444794,2.552529972834468,2.526317686453345,2.500374577697809,2.4746978823452705,2.449284864559328,2.4241328165982674,2.3992390585265486,2.3746009379292663,2.3502158296295326,2.326081135408768,2.3021942837298606,2.2785527294631738,2.255153953615361,2.2319954630609695,2.2090747902768015,2.186389493078997,2.163937154362823,2.141715381845134,2.119721807809473
4,39.24,31.26,33.17,25.03,30.73,27.48,28.88,26.12,26.89,26.05,21.89,25.49,23.15,21.5,15.45,21.8,20.1,18.52,17.87,16.94,16.64,18.3,16.34,13.01,11.58,12.83,14.53,12.46,9.22,10.23,10.2,11.4,10.89,7.34,11.78,8.14,11.52,11.04,7.59,8.11,5.73,10.49,8.56,10.9,8.87,8.01,7.78,7.67,7.45,7.35,7.23,7.06,6.95,6.84,6.79,6.66,6.53,6.54,6.39,6.15,6.06,6.04,6.01,5.99,5.96,5.86,5.7,5.61,5.46,5.32,5.26,5.2,5.16,5.12,5.01,4.9,4.87,4.77,4.75,4.8,4.77,4.65,4.61,4.65,4.6,4.37,4.23,4.24,4.26,4.27,4.27,4.19,4.02,3.94,3.8752573506882584,3.8115785619450198,3.7489461522597005,3.687342927380423,3.6267519755937427,3.5671566630819327,3.508540629356563,3.4508877827671136,3.394182296083392,3.338408602150537,3.2835513896154263,3.2295955987233067,3.1765264171834873,3.1243292761029813,3.0729898459869553,3.0224940328049055,2.972827974121474,2.923978035290844,2.8759308057136685,2.8286730951555077,2.7821919301257583,2.7364745503160908,2.6915084050974056,2.6472811500743534,2.603780643696473,2.560994943925016,2.5189123049545383,2.4775211739883702,2.436810188067065,2.396768170948967,2.35738413004204,2.3186472533861067,2.2805469066846826,2.2430726303855804,2.206214136809484,2.169961307325712,2.1343041895743826,2.0992329947342316,2.0647380948353193,2.0308100201158985,1.997439456422717,1.964617242654034,1.9323343682446557,1.9005819706922977,1.8693513331245946,1.8386338819060863,1.8084211842845301,1.778704946075886,1.7494770093873449,1.7207293503777714,1.692454077054947,1.664643427109009,1.6372897657814927,1.6103855837693875,1.5839234951636345,1.5578962354215007,1.5322966593722682,1.5071177392556967,1.4823525627927177,1.4579943312878318,1.4340363577626858,1.410472065120321,1.387294984339587,1.3644987526992225,1.3420771120311223,1.3200239070023037,1.2983330834251043,1.2769986865951488,1.256014859656625,1.2353758419944205,1.215075967652684,1.1951096637793686,1.1754714490963378,1.1561559323946098,1.137157811054327,1.118471869589048,1.100092978213959,1.0820160914376098,1.064236246676796,1.0467485628941968,1.029548239258403,1.0126305538259595,0.9959908622450687,0.9796245964805937,0.9635272635600101,0.9476944443399675
5,30.88,26.93,29.81,26.18,25.5,25.52,25.01,23.98,26.91,23.45,23.41,21.9,17.41,13.72,17.68,16.41,16.54,15.97,14.34,12.81,13.17,12.81,14.13,9.91,11.28,12.41,11.63,14.24,11.35,10.3,11.51,11.19,8.89,9.61,7.55,10.79,9.82,8.1,8.55,6.6,6.85,8.19,10.74,10.15,7.77,7.01,6.92,6.78,6.57,6.48,6.37,6.25,6.15,6.11,5.99,5.79,5.73,5.6,5.3,5.15,5.15,5.13,5.04,4.94,4.92,4.9,4.81,4.72,4.64,4.56,4.57,4.5,4.37,4.32,4.35,4.38,4.27,4.16,4.21,4.18,3.98,3.87,3.9,3.94,3.89,3.66,3.52,3.54,3.55,3.56,3.57,3.58,3.49,3.32,3.263640169673001,3.208237095513017,3.1537745357684694,3.100236524405361,3.0476073664267314,2.995871633271574,2.9450141582918588,2.895020032306335,2.845874599229815,2.7975634517766497,2.750072427237148,2.703387603325689,2.65749529409932,2.6123820459456346,2.5680346336387685,2.5244400564623417,2.481585534398216,2.4394585043799575,2.398046616609895,2.3573377309387,2.31731991330643,2.2779814322439824,2.239310755433945,2.201296546329824,2.1639276608326683,2.127193144024105,2.091082226954842,2.0555843234876803,2.0206890271941247,1.9863861083036765,1.9526655107049105,1.9195173489974673,1.8869319055940854,1.8548996278718315,1.8234111253716903,1.792457167045693,1.762028678550781,1.7321167395886037,1.7027125812904806,1.6738075836467528,1.6453932729797722,1.6174613194597949,1.5900035346630366,1.563011869171188,1.536478410211678,1.5103953793379952,1.4847551301493889,1.4595501460492806,1.4347730380417252,1.4104165425652841,1.3864735193636661,1.3629369493925176,1.3397999327617465,1.3170556867127778,1.294697543630145,1.2727189490868387,1.2511134599228355,1.2298747423562466,1.20899657012653,1.1884728226692243,1.168297483321668,1.1484646375591772,1.1289684712611674,1.1098032690067061,1.0909634123990055,1.0724433784183516,1.0542377378029986,1.036341153457548,1.0187483788883451,1.0014542566654376,0.9844537169106441,0.9677417758112865,0.9513135341591563,0.9351641759142805,0.9192889667930707,0.9036832528804383,0.888342459265471,0.8732620887002689,0.8584377202815497,0.8438650081546328,0.8295396802394261,0.8154575369780385,0.8016144501036545,0.7880063614303074,0.7746292816631967,0.7614792892292018
6,32.53,26.27,29.38,25.92,20.01,20.35,23.62,22.83,21.22,24.43,20.25,18.48,17.0,16.9,17.26,13.1,14.91,14.53,13.64,17.25,13.62,11.49,14.07,11.35,14.27,10.12,11.21,12.18,10.52,10.79,9.75,9.39,7.36,11.32,8.84,7.28,7.42,9.83,10.07,6.55,6.35,7.73,7.0,9.26,7.22,6.47,6.39,6.29,6.2,6.12,6.02,5.91,5.72,5.61,5.42,5.15,5.1,4.96,4.75,4.68,4.68,4.68,4.59,4.5,4.48,4.46,4.37,4.28,4.26,4.25,4.25,4.18,4.12,4.13,4.08,4.03,3.99,3.88,3.84,3.73,3.53,3.49,3.53,3.48,3.43,3.38,3.32,3.34,3.35,3.37,3.29,3.22,3.22,3.14,3.107883197426305,3.0760948945365456,3.0446317313436215,3.013490382227325,2.982667555582827,2.9521599934727574,2.9219644712828448,2.8920777973810794,2.862496812780361,2.833218390804597,2.8042394367582175,2.775556887599066,2.747167711614646,2.7190689081016663,2.691257507048872,2.6637305688231194,2.636485183858658,2.609518472349594,2.5828275839454977,2.5564096974501247,2.5302620205232187,2.504381789385364,2.4787662685258587,2.453412750413572,2.428318555210763,2.403481030489826,2.3788975509529267,2.354565518154518,2.3304823602266844,2.306645531607296,2.2830525127709493,2.2597008099626557,2.2365879549342513,2.21371150468351,2.191069041195918,2.168658171189095,2.146476525859824,2.1245217606336744,2.10279155491718,2.0812836118525597,2.0599956580749366,2.038925443472051,2.018070740946422,1.9974293461799482,1.9769990774009143,1.9567777751533786,1.9367633020689214,1.9169535426407287,1.897346402999984,1.8779398106945508,1.858731714469914,1.8397200840523675,1.8209029099344145,1.8022782031623668,1.783843995126112,1.7655983373510367,1.7475393012920726,1.7296649781298525,1.7119734785689507,1.6944629326381861,1.677131489492968,1.6599773172196648,1.6429986026419714,1.6261935511292616,1.6095603864068937,1.5930973503684636,1.576802702889973,1.5606747216459012,1.5447117019271566,1.528911956460892,1.5132738152321605,1.497795625307398,1.4824757506597097,1.4673125719959428,1.4523044865855306,1.437449908091085,1.4227472664007226,1.408195007462106,1.3937915931181812,1.3795355009445975,1.3654252240887883,1.351459271110698,1.33763616582514,1.323954447145764,1.310412668930622,1.297009399829312
7,26.12,24.18,27.47,23.91,27.65,24.96,17.12,24.41,26.06,16.03,20.86,19.45,15.1,16.22,14.11,10.14,12.59,17.63,13.53,12.62,13.37,11.43,10.36,10.04,8.62,9.3,9.5,10.87,7.52,7.39,8.3,7.27,11.19,8.61,9.57,7.58,8.0,7.9,5.27,7.62,8.32,7.99,5.37,10.78,6.98,6.2,6.13,6.04,5.94,5.91,5.82,5.71,5.46,5.26,5.15,4.88,4.76,4.78,4.64,4.51,4.51,4.51,4.51,4.42,4.33,4.31,4.22,4.13,4.11,4.1,4.09,4.09,4.1,4.03,3.9,3.84,3.87,3.75,3.64,3.52,3.4,3.44,3.48,3.35,3.23,3.26,3.28,3.3,3.32,3.26,3.1,3.03,3.04,3.04,3.0106235969704924,2.98153106665643,2.952719665913306,2.9241866781044172,2.8959294128447093,2.8679452057471004,2.8402314181712547,2.8127854369747847,2.7856046742668568,2.7586865671641783,2.7320285775493414,2.7056281918315053,2.679482920709387,2.6535902989365447,2.627947885088929,2.602553261334681,2.5774040332061525,2.552497829374132,2.527832301424251,2.503405123635552,2.4792139927611925,2.4552566278112757,2.4315307698377713,2.4080341817215203,2.3847646479612963,2.361719974464904,2.3388979883422985,2.3162965377007043,2.2939134914417076,2.2717467390603208,2.249794190445977,2.2280537756854555,2.2065234448677082,2.1852011678905727,2.1640849342693547,2.143172752947255,2.1224626521076373,2.1019526789881007,2.081640899696355,2.0615253990278726,2.041604280285304,2.0218756650996363,2.0023376932530836,1.9829885225036832,1.9638263284115927,1.9448493041670605,1.9260556604200645,1.9074436251115894,1.8890114433065424,1.8707573770282777,1.8526797050947228,1.8347767229560872,1.8170467425341408,1.7994880920630432,1.7820991159317132,1.7648781745277202,1.7478236440826849,1.7309339165191728,1.7142073992990705,1.6976425152734214,1.6812377025337177,1.664991414264628,1.6489021185981452,1.6329682984691491,1.61718845147236,1.6015610897206767,1.5860847397048834,1.5707579421547115,1.5555792519012455,1.5405472377406566,1.5256604822992537,1.510917581899841,1.496317146429361,1.4818577992078243,1.4675381768584992,1.45335692917936,1.4393127190157742,1.4254042221344243,1.4116301270984433,1.3979891351437597,1.384479960056636,1.3711013280523925,1.3578519776553002,1.344730659579637,1.3317361366118914,1.3188671834941053
8,24.92,26.72,23.92,24.53,20.23,19.87,20.5,25.67,19.29,19.53,20.35,15.7,17.32,18.99,16.2,11.83,17.73,13.58,12.14,11.78,11.34,9.65,10.32,12.41,8.95,12.35,12.51,11.96,10.53,10.96,9.65,10.72,7.5,6.75,7.32,5.87,8.06,7.51,5.02,8.88,6.64,6.94,9.04,7.66,6.95,6.22,6.12,5.98,5.83,5.79,5.75,5.58,5.33,5.22,5.17,4.98,4.87,4.82,4.61,4.48,4.49,4.5,4.5,4.42,4.26,4.17,4.15,4.13,4.12,4.1,4.09,4.08,4.08,4.01,3.87,3.81,3.83,3.78,3.74,3.62,3.43,3.39,3.43,3.39,3.26,3.21,3.24,3.27,3.29,3.23,3.08,3.01,3.02,3.02,2.9852978448504084,2.950994444525991,2.9170852170228367,2.8835656329878345,2.8504312151136704,2.817677537540785,2.7853002252661954,2.753294953559116,2.7216574473832895,2.6903834808259592,2.6594688765334022,2.628909505152948,2.5987012847814066,2.568840180419841,2.539322203434598,2.5101434110245346,2.4812999056943696,2.45278783473408,2.424603389704288,2.3967428059275506,2.369202361985509,2.3419783792218003,2.315067221250693,2.288465293471363,2.2621690425877543,2.2361749561339517,2.2104795620050135,2.1850794279931924,2.1599711613294836,2.1351514082304437,2.110616853450218,2.0863642198377104,2.0623902678988477,2.0386917953638695,2.0152656367595925,1.9921086629865883,1.969217780901222,1.9465899329024905,1.924222096523611,1.9021112840283012,1.8802545420116987,1.8586489510058661,1.8372916250898292,1.8161797115040963,1.7953103902696075,1.7746808738110613,1.7542884065845696,1.7341302647095933,1.714203755605105,1.6945062176299324,1.6750350197272363,1.6557875610730726,1.6367612707289927,1.6179536072986347,1.5993620585882644,1.5809841412712111,1.5628174005561657,1.5448594098592838,1.5271077704800642,1.509560111280943,1.4922140883705766,1.4750673847907612,1.4581177102069494,1.4413628006023238,1.4248004179753861,1.4084283500410202,1.3922444099349913,1.3762464359218403,1.3604322911061342,1.3447998631470348,1.329347063976148,1.3140718295186133,1.2989721194174004,1.2840459167607725,1.269291227812881,1.2547060817474576,1.2402885303845648,1.226036647930371,1.2119485307199191,1.1980222969628453,1.1842560864920257,1.170648060515107,1.1571964013688938,1.1438993122765584,1.1307550171076404,1.1177617601408032
9,23.44,23.22,25.12,22.21,19.23,16.87,17.48,20.49,18.44,17.67,20.57,15.75,17.32,15.2,17.16,16.18,13.84,13.16,12.3,13.12,8.78,13.63,11.68,11.33,9.47,14.17,10.95,10.29,8.02,11.34,10.65,8.74,7.64,10.38,8.02,7.3,8.3,4.14,5.56,8.6,5.28,8.48,7.53,11.27,6.95,6.33,6.2,6.04,5.9,5.81,5.77,5.66,5.49,5.38,5.28,5.15,5.04,4.85,4.65,4.6,4.61,4.55,4.48,4.48,4.4,4.32,4.3,4.29,4.27,4.18,4.09,4.07,4.07,4.06,4.0,3.93,3.95,3.89,3.84,3.8,3.68,3.65,3.53,3.42,3.38,3.33,3.36,3.31,3.26,3.28,3.22,3.15,3.16,3.09,3.058804474126045,3.0279238870334986,2.997355059213978,2.9670948432582693,2.937140123532269,2.9074878158561903,2.8781348671870157,2.849078255304147,2.820314988498237,2.7918421052631563,2.763656673991074,2.7357557926706155,2.708136588588066,2.6807962180315927,2.653731865998452,2.626940745905153,2.600420099300548,2.5741671955818157,2.548179331713318,2.5224538319482885,2.4969880475533373,2.47177935653573,2.446825163373427,2.422122898747841,2.3976700192793015,2.3734640072651807,2.349502370420669,2.3257826416221654,2.3023023786532595,2.279059163953277,2.256050604368365,2.2332743309050884,2.2107279984865156,2.188409285710767,2.166315894611999,2.1444455504238022,2.122796001344989,2.1013650183077446,2.0801503947481192,2.0591499463788367,2.0383615109643984,2.0177829480984557,1.9974121389834296,1.9772469862123587,1.9572854135529456,1.9375253657337852,1.917964808232752,1.8986017270675224,1.879434128588212,1.8604600392721056,1.8416775055204644,1.8230845934573754,1.8046793887306414,1.7864599963146741,1.7684245403153795,1.7505711637770154,1.7328980284909943,1.7154033148066201,1.6980852214437343,1.6809419653072524,1.6639717813035766,1.6471729221588558,1.6305436582390873,1.614082277372029,1.5977870846709121,1.581656402359934,1.5656885696015115,1.5498819423252788,1.5342348930588114,1.5187458107600604,1.5034131006514762,1.4882351840558075,1.4732104982335605,1.4583374962220954,1.4436146466763495,1.4290404337111677,1.4146133567452244,1.400331930346523,1.3861946840794517,1.372200162353387,1.358346924272824,1.3446335434890182,1.3310586080531286,1.3176207202708399,1.3043184965584553,1.29115056730044
