age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
0,1402.18,1129.87,1086.57,971.66,1190.87,1130.36,1097.67,905.12,868.5,817.73,762.04,623.38,646.71,677.88,676.94,607.12,659.6,606.04,716.18,590.94,612.05,508.15,466.61,545.27,500.24,447.7,649.64,474.52,514.48,435.46,466.66,481.15,343.55,451.54,458.27,362.71,406.3,392.52,366.09,358.53,350.21,342.29,334.77,327.6,320.79,314.3,308.13,302.25,296.65,291.33,286.26,281.43,276.83,272.44,268.27,264.29,260.5,256.88,253.43,250.13,246.97,243.93,240.99,238.11,235.25,232.43,229.65,226.89,224.17,221.49,218.83,216.21,213.62,211.06,208.53,206.03,203.56,201.12,198.71,196.32,193.97,191.65,189.35,187.08,184.84,182.62,180.43,178.27,176.13272362457565,174.02104763614176,171.93466616298699,169.87327659756755,167.83658017253694,165.8242815767262,163.83608905114886,161.87171438900086,159.9308726476458,158.01328243662982,156.11866553366167,154.2467473646376,152.39725633160668,150.5699240047808,148.76448560255912,146.98067893547403,145.21824546224522,143.47692932973064,141.75647794895573,140.0566416110939,138.3771736794765,136.7178304935876,135.07837127305925,133.45855802166653,131.85815562333246,130.27693184212805,128.71465703425733,127.17110462808226,125.64605045208805,124.13927302289794,122.65055373728315,121.17967639213819,119.72642737649073,118.29059567150156,116.87197294646951,115.47035298280201,114.0855323460494,112.71731000188537,111.36548712409699,110.02986738259955,108.71025675142673,107.40646370074036,106.11829871680592,104.8455746860121,103.58810679886595,102.34571235798307,101.11821077808746,99.90542387402651,98.70717528474123,97.52329104929589,96.35359893484363,95.19792924306769,94.05611386933323,92.92798693631974,91.81338448680545,90.71214455087052,89.62410706909341,88.54911392135209,87.48700885962072,86.4376375079696,85.40084733376376,84.37648763806237,83.36440951721686,82.36446585327035,81.37651126595522,80.40040214149461,79.43599657499944,78.4831543512674,77.541736944783,76.61160746211452,75.69263068991661,74.7846729797243,73.88760233435741,73.00128829271465,72.12560197777613,71.26041604860085,70.4056046907262,69.56104358736656,68.72660990981268,67.90218231743175,67.087640890464,66.28286716842459
1,99.97,120.58,67.15,55.47,83.11,48.28,57.74,62.06,65.92,71.52,72.24,66.42,67.74,32.01,49.19,62.03,33.86,50.03,46.08,53.47,54.53,49.03,50.41,43.37,30.49,29.83,28.89,22.67,38.55,11.01,21.79,37.6,43.76,22.48,40.07,40.44,23.28,23.86,40.02,39.22,38.34,37.5,36.7,35.94,35.21,34.52,33.86,33.23,32.63,32.05,31.51,30.99,30.49,30.01,29.56,29.13,28.71,28.32,27.94,27.58,27.23,26.89,26.57,26.25,25.94,25.63,25.32,25.01,24.71,24.42,24.12,23.83,23.55,23.27,22.99,22.71,22.44,22.17,21.9,21.64,21.38,21.12,20.87,20.62,20.37,20.13,19.89,19.65,19.414220813433783,19.181270475363636,18.951115058089634,18.723721029955026,18.49905526634745,18.277085038697745,18.057778025481127,17.84110225721121,17.6270261824472,17.41551861278788,17.20654873387285,17.00008610538247,16.796100650036703,16.594562642593917,16.395442731853255,16.198711896649847,16.004341500860825,15.812303205395713,15.622569034203618,15.435111363272046,15.24990286562089,15.066916566308432,14.886125798426557,14.70750422510313,14.531025828500812,14.356664898815861,14.18439603427812,14.014194119148627,13.846034378725612,13.6798922913349,13.515743665338302,13.353564584127634,13.193331428127092,13.035020830788467,12.878609733597148,12.724075353068516,12.57139516974674,12.42054695020719,12.271508692050418,12.124258711911782,11.978775524448228,11.83503795235029,11.693025038332506,11.552716111140596,11.414090708543085,11.277128643338484,11.141809948349302,11.008114920426836,10.876024070945785,10.7455181566076,10.616578160738444,10.489185296589547,10.36332100183663,10.238966936379637,10.116104982342746,9.994717237473655,9.874786014043451,9.756293835546263,9.639223438899485,9.523557764542712,9.409279958637974,9.296373370869494,9.184821546742848,9.074608234185693,8.965717372546553,8.858133095895196,8.751839727522016,8.646821777737811,8.543063944973886,8.44055111138159,8.339268336231578,8.23920086361467,8.140334111440632,8.042653673638434,7.9461453146556345,7.850794973858874,7.7565887545326655,7.663512931580235,7.571553941622451,7.480698382997813,7.390933017962697,7.302244766090635
2,62.15,31.67,32.91,55.97,49.65,66.06,53.26,41.53,35.92,55.65,56.68,30.98,45.9,41.56,21.36,32.75,39.3,5.6,33.16,28.6,17.62,36.02,18.17,6.23,30.9,24.38,17.75,5.75,16.95,5.47,21.86,27.15,21.37,16.3,11.16,28.28,11.43,5.74,12.04,11.77,11.48,11.2,10.94,10.69,10.45,10.23,10.02,9.82,9.63,9.45,9.27,9.11,8.96,8.81,8.67,8.54,8.41,8.29,8.18,8.07,7.97,7.87,7.78,7.68,7.59,7.5,7.41,7.32,7.23,7.15,7.06,6.98,6.89,6.81,6.73,6.65,6.57,6.49,6.41,6.33,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75,5.68100191243567,5.612831755131936,5.54547959665675,5.478935619355434,5.413190128575875,5.348233541393288,5.28405639378537,5.220649331407101,5.158003115740878,5.096108616921363,5.0349568157855265,4.974538799772558,4.914845765998938,4.85586901305826,4.797599949221404,4.7400300811613025,4.683151019078045,4.626954475673861,4.571432260002985,4.516576281571748,4.462378545213467,4.408831155188534,4.355926304934196,4.303656286289756,4.252013482321416,4.200990366297263,4.150579502712277,4.100773545238305,4.051565234674009,4.002947400994909,3.954912959253297,3.907454908553221,3.860566332050479,3.814240397977642,3.76847035451895,3.723249531860351,3.678571339114439,3.6344292663704967,3.5908168785443655,3.547727821528576,3.505155816042218,3.4630946566059206,3.4215382146169158,3.38048043322393,3.33991532835221,3.299836989728537,3.260239575756126,3.2211173155646686,3.1824645079853053,3.144275519500591,3.1065447852695085,3.069266806052412,3.0324361492360423,2.996047446783487,2.9600953962592014,2.924574758778967,2.889480355934823,2.8548070749201804,2.8205498613546647,2.7867037233842065,2.7532637275809537,2.720225000993317,2.6875827290959227,2.6553321537395727,2.623468576226311,2.5919873511592892,2.56088389156788,2.530153663782565,2.4997921905100022,2.4697950457079183,2.4401578576601723,2.4108763079517344,2.381946128393621,2.3533631030729403,2.325123065277825,2.2972219015975184,2.2696555437222057,2.242419975618161,2.215511226352598,2.188925375218779,2.162658548660948,2.1367069161742474
3,30.3,33.98,26.42,43.83,39.11,71.36,32.88,26.43,51.65,35.9,30.13,41.14,46.33,25.42,25.93,42.59,21.75,27.91,27.7,16.49,17.02,11.67,11.86,23.98,43.47,24.67,18.15,17.67,5.73,5.62,10.88,10.89,5.4,5.31,5.41,11.07,5.61,22.6,8.8,8.57,8.33,8.1,7.88,7.68,7.49,7.31,7.14,6.98,6.83,6.69,6.55,6.43,6.31,6.2,6.09,6.0,5.9,5.82,5.73,5.66,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.54,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.981640962334802,3.933862210209997,3.8866567801030505,3.840017793534449,3.7939384540661805,3.7484120453007206,3.703431932882046,3.658991562494624,3.615084456861891,3.571704217747266,3.5288445229526335,3.4864991273188477,3.444661857723203,3.4033266180819646,3.3624873853483432,3.322138206510978,3.2822732015954545,3.242886561663291,3.203972545810422,3.165525484168716,3.1275397719029385,3.0900098742132838,3.0529303213328407,3.016295709528105,2.980100700098466,2.944340018375708,2.9090084517229897,2.8741008515358657,2.8396121312412657,2.805537263295982,2.771871282188185,2.7386092824364114,2.705746414587542,2.6732778922203395,2.641198980939888,2.609505006381635,2.578191349208866,2.5472534471137154,2.5166867898146323,2.4864869240589176,2.4566494476196823,2.4271700112968615,2.398044319917719,2.3692681293353326,2.3408372444275782,2.31274752209865,2.2849948682775416,2.257575239919057,2.2304846390007764,2.203719117525586,2.17727477652117,2.151147760036978,2.125334261147255,2.0998305169485185,2.0746328125615774,2.0497374741279923,2.0251408728120976,2.000839425801509,1.9768295893035823,1.953107865548952,1.9296707977890049,1.906514968294865,1.8836370043604322,1.8610335702983314,1.8387013724424457,1.816637157146901,1.7948377067840444,1.7732998447469732,1.7520204334485228,1.7309963693187365,1.7102245908089144,1.6897020693870581,1.6694258135398956,1.6493928687728805,1.6296003156091812,1.6100452685891724,1.5907248792719564,1.57163633123283,1.552776841063793,1.5341436623755695,1.515734077793562,1.4975454049608865
4,35.25,24.3,17.04,21.15,32.83,22.25,27.34,27.21,26.32,36.11,10.17,30.13,15.33,25.61,10.13,20.62,42.3,10.8,33.23,27.44,16.42,11.27,11.53,0.0,0.0,6.18,18.39,12.05,0.0,5.71,5.57,5.42,0.0,0.0,5.29,10.74,16.47,11.1,8.64,8.38,8.12,7.87,7.64,7.42,7.22,7.03,6.85,6.68,6.53,6.38,6.24,6.12,6.0,5.88,5.78,5.68,5.59,5.5,5.42,5.35,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.56,4.51,4.46,4.4,4.35,4.3,4.25,4.19,4.14,4.09,4.05,4.0,3.95,3.9,3.85,3.81,3.7642808517137,3.7191103124946534,3.674481800646887,3.63038881127604,3.5868249183104552,3.5437837734906363,3.501259105358698,3.4592447152161747,3.4177344811662143,3.376722352050288,3.3362023525009343,3.296168577889014,3.2566151923026223,3.217536431578726,3.1789266022926186,3.1407800756946345,3.1030912927628878,3.0658547621821746,3.029065056301785,2.992716814167146,2.956804737477629,2.9213235936181965,2.886268211617207,2.8516334811358717,2.8174143565104406,2.7836058506889225,2.7502030342205326,2.7172010423295276,2.6845950627886355,2.652380344003435,2.6205521929912603,2.5891059693179175,2.558037091160968,2.527341030256991,2.4970133119015854,2.4670495179810095,2.4374452809088982,2.408196286657905,2.379298270717511,2.3507470241573123,2.322538383521541,2.2946682399239964,2.2671325299531153,2.239927240724711,2.213048407860877,2.1864921144794423,2.1602544891728694,2.1343317090399063,2.1087199966539365,2.0834156170313403,2.0584148847053263,2.0337141546310025,2.0093098272381176,1.9851983464099605,1.9613761974622703,1.9378399081537816,1.9145860496967715,1.891611231704323,1.8689121072430623,1.8464853667698742,1.8243277421740904,1.8024360047563972,1.7808069632077381,1.7594374656304101,1.7383243975169682,1.717464682760773,1.6968552796138003,1.6764931847288325,1.6563754311383612,1.6364990872440424,1.616861254795599,1.5974590739435606,1.5782897141443337,1.5593503842656795,1.5406383214706876,1.5221508013232545,1.503885127682607,1.4858386387665874,1.4680087041200107,1.4503927266357606,1.4329881375020503,1.415792400244615
5,46.05,23.63,18.24,39.94,26.49,5.48,16.7,32.69,21.68,31.42,20.36,20.29,39.99,25.41,20.41,10.08,5.13,5.25,26.86,16.48,5.44,10.86,0.0,11.42,11.73,23.76,6.14,0.0,6.01,23.49,17.02,5.55,16.19,0.0,10.68,15.77,0.0,10.88,8.41,8.15,7.88,7.63,7.4,7.18,6.97,6.78,6.6,6.43,6.28,6.13,6.0,5.87,5.75,5.64,5.54,5.44,5.35,5.27,5.19,5.12,5.05,4.99,4.93,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.47,4.42,4.37,4.32,4.26,4.21,4.16,4.11,4.06,4.01,3.97,3.92,3.87,3.82,3.78,3.73,3.69,3.64,3.596320782020035,3.553165696922712,3.510528454189839,3.4684028406045186,3.4267827162354925,3.3856620174488827,3.345034749880802,3.3048949934569167,3.2652368983767945,3.2260546851139082,3.1873426434117174,3.149095132283673,3.111306575997564,3.0739714690950817,3.03708436936443,3.0006399008520623,2.964632753862685,2.92905767993969,2.8939094948768944,2.85918307470289,2.8248733607006034,2.7909753513760007,2.757484107477645,2.7243947469771332,2.6917024490847505,2.659402447222079,2.6274900350454713,2.5959605624304056,2.564809433463654,2.5340321094550253,2.5036241029138844,2.473580983572631,2.443898373367137,2.4145719454328303,2.3855974261125223,2.3569705929485827,2.328687274682938,2.3007433472414225,2.273134739757251,2.245857427543633,2.2189074361094234,2.1922808381473815,2.1659737515263475,2.139982343306895,2.1143028257256744,2.0889314561954184,2.0638645363010286,2.039098413807396,2.014629477639843,1.9904541639075966,1.9665689478724881,1.9429703489685144,1.9196549277901025,1.8966192860921072,1.8738600667898118,1.8513739539589293,1.8291576688199485,1.8072079737537876,1.78552167129788,1.7640955991266114,1.742926636074795,1.722011696114196,1.701347730361356,1.68093172908542,1.6607607146807462,1.6408317486942938,1.621141926806062,1.6016883788290879,1.5824682697133594,1.563478798541904,1.5447171975268736,1.5261807320095457,1.507866700460324,1.4897724344787362,1.4718952967856118,1.4542326812230784,1.4367820137584768,1.4195407514804472,1.4025063815950172,1.3856764204216876,1.3690484174090851,1.3526199471036588
6,16.63,11.54,17.75,12.17,22.77,15.83,10.89,16.52,43.14,26.87,10.3,35.63,20.24,24.96,20.23,10.14,20.02,10.18,10.46,16.02,10.91,16.19,21.53,16.6,0.0,11.66,5.91,18.33,6.1,18.03,5.87,5.65,5.54,5.38,0.0,10.63,20.91,26.42,8.11,7.86,7.6,7.35,7.13,6.92,6.72,6.54,6.37,6.2,6.05,5.91,5.78,5.66,5.55,5.44,5.34,5.25,5.16,5.08,5.01,4.94,4.87,4.81,4.75,4.7,4.64,4.58,4.53,4.48,4.42,4.37,4.32,4.26,4.21,4.16,4.11,4.06,4.01,3.97,3.92,3.87,3.83,3.78,3.73,3.69,3.64,3.6,3.56,3.52,3.4777607338954484,3.4360283209066456,3.3947966794531306,3.3540598020589933,3.313811750345816,3.274046659038319,3.2347587339615393,3.1959422480351756,3.157591546280657,3.1197010378098353,3.0822652018334655,3.0452785816527266,3.0087357876634613,2.972631494351937,2.9369604392934328,2.901717424153653,2.8668973136873137,2.8324950327339042,2.7985055672190997,2.764923964154762,2.731745328634698,2.6989648268389055,2.6665776800250867,2.6345791685343056,2.602964629788161,2.571729455284547,2.5408690936018936,2.510379046393512,2.4802548703904232,2.4504921763999437,2.4210866263014483,2.3920339330463682,2.363329864663842,2.3349702372508294,2.306950916974933,2.279267821075813,2.2519169148609475,2.2248942117056347,2.1981957740544025,2.1718177114181856,2.1457561773700857,2.120007376555261,2.0945675536753856,2.069433002501366,2.0446000598648606,2.0200651066596973,1.9958245678418691,1.9718749084238854,1.9482126394832486,1.924834312153976,1.9017365206308388,1.8789158961608863,1.8563691140533332,1.8340928886724985,1.812083973437802,1.7903391598223546,1.7688552803571946,1.7476292016213997,1.726657832253387,1.7059381149396138,1.6854670294188123,1.6652415934834057,1.6452588579724425,1.6255159127800727,1.6060098778428338,1.586737912152366,1.5676972057441085,1.5488849847043642,1.530298507164649,1.5119350633016913,1.4937919783416698,1.4758666065517372,1.458156336247085,1.4406585857852903,1.4233708055691432,1.4062904760438204,1.389415107696885,1.3727422410582866,1.3562694456989488,1.3399943212321819,1.3239144953108564,1.3080276246288174
7,37.57,16.7,40.42,5.9,36.4,22.64,10.46,21.47,21.75,16.02,21.28,15.39,15.24,10.08,19.91,5.02,20.15,24.84,5.08,10.41,0.0,5.42,10.71,10.67,16.51,11.29,5.8,5.88,0.0,0.0,6.01,5.84,28.15,5.52,10.71,5.35,5.28,5.19,7.38,7.16,6.93,6.72,6.52,6.33,6.16,5.99,5.84,5.69,5.56,5.43,5.32,5.21,5.1,5.01,4.92,4.83,4.76,4.68,4.61,4.55,4.49,4.43,4.38,4.33,4.28,4.23,4.17,4.12,4.08,4.03,3.98,3.93,3.88,3.84,3.79,3.74,3.7,3.66,3.61,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.201120625755157,3.1627077885972894,3.1247558911560476,3.087259401736896,3.050212857306374,3.013610856526481,2.977448067715381,2.9417192188965227,2.906419103769164,2.871542577728026,2.8370845578632875,2.803040022960588,2.7694040105157627,2.7361716197201056,2.7033380064849317,2.6708983854317507,2.6388480298922685,2.607182267928034,2.5758964863107914,2.5449861235568654,2.514446675897687,2.484273692304355,2.4544627754827246,2.4250095808783154,2.3959098166763177,2.3671592408163225,2.338753663977589,2.310688945598691,2.282960995867695,2.255565774727068,2.2284992888884188,2.2017575928275797,2.17533679077479,2.1492330307441607,2.1234425095091187,2.0979614686220556,2.0727861934192338,2.047913015010971,2.0233383082914553,1.9990584929338415,1.9750700284148042,1.951369420980158,1.9279532146890637,1.9048179973845565,1.881960397708283,1.8593770841054116,1.837064764824633,1.8150201889132485,1.7932401422368187,1.7717214524546017,1.7504609820539379,1.7294556323306023,1.7087023433888047,1.6881980891657484,1.6679398814119835,1.6479247686963179,1.6281498334205542,1.6086121938096642,1.5893090009265274,1.5702374436473683,1.5513947416961418,1.5327781476347089,1.5143849498481006,1.496212467569078,1.478258050878132,1.4605190846838358,1.4429929827523165,1.4256771906925187,1.4085691859562053,1.3916664738576052,1.374966591553765,1.358467105059285,1.3421656092463192,1.326059729834752,1.3101471174216692,1.2944254544469742,1.2788924482277726,1.263545836928899,1.2483833816022143,1.2334028741473089,1.2186021303458867,1.2039789928470297
8,25.02,16.13,33.44,46.38,17.71,18.16,22.49,15.53,15.95,10.79,21.35,15.95,10.23,15.22,20.15,9.96,20.01,15.05,4.96,0.0,0.0,5.27,0.0,15.95,5.31,16.43,11.22,11.55,0.0,24.3,12.19,5.99,29.14,5.61,10.98,10.66,5.32,15.78,6.59,6.4,6.21,6.02,5.85,5.69,5.54,5.39,5.26,5.14,5.02,4.91,4.81,4.71,4.62,4.53,4.45,4.38,4.31,4.24,4.18,4.13,4.07,4.02,3.97,3.92,3.88,3.83,3.78,3.74,3.69,3.65,3.61,3.56,3.52,3.48,3.44,3.4,3.35,3.31,3.27,3.24,3.2,3.16,3.12,3.08,3.05,3.01,2.97,2.94,2.904720516689723,2.8698643751455237,2.8354264949570442,2.8014018581414377,2.7677855051797193,2.734572537989501,2.7017581149704304,2.669337453976929,2.637305831327276,2.6056585768490486,2.5743910798245957,2.5434987840364753,2.512977185785629,2.4828218368641184,2.453028343564215,2.42359236370566,2.394509606635664,2.3657758342198214,2.337386858860283,2.3093385434957567,2.2816268006105944,2.254247590252968,2.2271969230076047,2.200470857023051,2.1740654960298453,2.1479769933041712,2.122201544731466,2.0967353957428116,2.0715748343785427,2.0467161932700737,2.0221558486489895,1.9978902233197753,1.9739157797234348,1.9502290229102257,1.9268265025214846,1.9037048068441507,1.8808605657835045,1.8582904508631681,1.8359911722523654,1.8139594797568361,1.7921921628188346,1.7706860485353062,1.74943800363971,1.72844493053837,1.7077037702832125,1.6872114995990282,1.6669651318743823,1.6469617161707064,1.627198338213208,1.607672116427219,1.5883802059018488,1.5693197944263322,1.5504881044718537,1.5318823902188117,1.5134999425113802,1.4953380799392944,1.4773941567651532,1.459665557969855,1.4421496982616846,1.424844026039965,1.407746019431406,1.3908531862901032,1.3741630632066262,1.3576732194716705,1.341381251130578,1.3252847839560786,1.3093814714664618,1.2936689959164913,1.278145068297405,1.2628074253641746,1.247653831617333,1.2326820793029745,1.2178899844491018,1.2032753938020178,1.1888361759081076,1.1745702260684057,1.1604754663385932,1.1465498405744359,1.132791321368172,1.1191979021212106,1.1057676019986968,1.0924984639476834
9,18.71,30.16,16.16,16.75,34.73,17.64,18.04,11.13,15.4,10.57,31.98,32.06,10.61,10.22,10.17,10.07,9.95,9.97,5.0,24.67,0.0,5.16,0.0,21.31,0.0,0.0,10.9,27.99,22.99,17.56,6.06,6.07,5.99,11.63,11.18,5.46,0.0,5.28,6.12,5.95,5.78,5.61,5.45,5.31,5.17,5.04,4.92,4.8,4.7,4.6,4.5,4.41,4.33,4.25,4.18,4.11,4.04,3.98,3.93,3.87,3.82,3.77,3.73,3.68,3.64,3.6,3.55,3.51,3.47,3.43,3.39,3.34,3.3,3.27,3.23,3.19,3.15,3.11,3.07,3.04,3.0,2.96,2.93,2.89,2.86,2.82,2.79,2.76,2.726880458340661,2.6941583404067697,2.6618288761710533,2.629887355749201,2.5983291234841683,2.5671495799180732,2.5363441808062475,2.5059084381031864,2.4758379140468483,2.4461282280603047,2.41677504886414,2.3877740994062027,2.359121152917801,2.330812033899658,2.3028426161500093,2.2752088237505506,2.2479066290945413,2.2209320528868024,2.1942811651296665,2.1679500801932274,2.141934961745091,2.116232018806575,2.090837503780807,2.065747716396525,2.040958999764281,2.0164677423483357,1.9922703740228607,1.9683633680438375,1.9447432410490595,1.9214065491143293,1.8983498926832096,1.8755699106513242,1.8530632833242053,1.8308267304453967,1.80885701119645,1.7871509241969281,1.7657053045465516,1.744517028754952,1.7235830068540694,1.7029001892998028,1.6824655620422608,1.66227614553981,1.642328997716927,1.622621211992296,1.6031499153069098,1.583912271081921,1.5649054742888884,1.5461267563795318,1.5275733793700266,1.509242638798858,1.4911318637268185,1.4732384157510587,1.4555596850612862,1.4380930963554674,1.4208361029241257,1.4037861915800929,1.3869408757568567,1.3702977004383134,1.3538542411728158,1.3376081001293743,1.3215569110274061,1.3056983332210361,1.2900300556428947,1.2745497948322206,1.2592552949348585,1.2441443267173096,1.2292146875667322,1.2144642024768908,1.1998907210903065,1.1854921186842062,1.171266298142424,1.1572111850256495,1.1433247305292782,1.1296049124693628,1.1160497303528611,1.1026572083354864,1.0894253952217092,1.0763523615069042,1.0634362033211529,1.0506750365135418,1.0380670025678638,1.0256102636728661
