age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160
0,1402.18,1129.87,1086.57,971.66,1190.87,1130.36,1097.67,905.12,868.5,817.73,762.04,623.38,646.71,677.88,676.94,607.12,659.6,606.04,716.18,590.94,612.05,508.15,466.61,545.27,500.24,447.7,649.64,474.52,514.48,435.46,466.66,481.15,343.55,451.54,458.27,362.71,406.3,392.52,380.43,479.95,484.19,433.81,442.17,377.37,361.02,362.64,353.87,345.6,337.82,330.51,323.64,317.19,311.14,305.46,300.13,295.12,290.41,285.98,281.8,277.85,274.12,270.57,267.19,263.96,260.86,257.87,254.98,252.15,249.38,246.66,243.96,241.3,238.66,236.05,233.47,230.92,228.4,225.9,223.43,220.99,218.57,216.19,213.82,211.49,209.18,206.89,204.63,202.39,200.18,197.99,195.83,193.69,191.57,189.48,187.42529310660413,185.39286730048806,183.38248096721415,181.39389511239378,179.42687333327532,177.48118179064105,175.55658918100798,173.65286670913085,171.7697880608028,169.9071293759512,168.06466922202537,166.24218856767246,164.43947075669922,162.65630148231588,160.89246876165942,159.14776291059303,157.421976518779,155.71490442502167,154.0263436928781,152.35609358653272,150.7039555469343,149.06973316819085,147.45323217422126,145.85426039565954,144.27262774701,142.7081462040497,141.16062978147633,139.62989451079815,138.11575841846403,136.61804150423026,135.13656571976233,133.6711549474685,132.2216349795629,130.78783349735593,129.36958005076883,127.9667060380707,126.57904468583517,125.20643102911444,123.84870189182811,122.50569586736502,121.17725329939515,119.86321626288975,118.56342854534722,117.27773562822262,116.00598466855845,114.74802448081483,113.50370551889651,112.27287985837481,111.05540117890254,109.85112474681931,108.65990739794566,107.4816075205638,106.31608503858274,105.16320139488613,104.02281953486055,102.89480389010251,101.77902036230218,100.67533630730166,99.58362051932635,98.50374321538727,97.43557601985239,96.37899194918538,95.33386539684986,94.3000721183773,93.27748921659688,92.26599512702542,91.26546960341592,90.27579370346264,89.29684977466125,88.32852144032238,87.3706935857367,86.4232523444902,85.48608508492764,84.55908039676305,83.64212807783522,82.73511912100693,81.8379457012061,80.95050116260771,80.07268000595445,79.20437787601506,78.34549154917858,77.49591892118309,76.6555589949777,75.82431186871585,75.00207872387921,74.18876181352996
1,99.97,120.58,67.15,55.47,83.11,48.28,57.74,62.06,65.92,71.52,72.24,66.42,67.74,32.01,49.19,62.03,33.86,50.03,46.08,53.47,54.53,49.03,50.41,43.37,30.49,29.83,28.89,22.67,38.55,11.01,21.79,37.68,44.05,22.6,40.41,40.72,23.4,24.2,30.81,25.49,26.48,6.69,13.11,40.9,29.36,26.07,25.45,24.87,24.32,23.8,23.31,22.85,22.42,22.02,21.64,21.28,20.95,20.63,20.33,20.05,19.78,19.52,19.28,19.05,18.82,18.61,18.4,18.2,18.0,17.8,17.6,17.41,17.22,17.03,16.85,16.66,16.48,16.3,16.12,15.94,15.77,15.6,15.43,15.26,15.09,14.93,14.76,14.6,14.44,14.28,14.13,13.97,13.82,13.67,13.575057465691227,13.480774337733656,13.387146036338697,13.294168013525846,13.201835752901797,13.11014476944103,13.019090609267977,12.928668849440657,12.838875097735844,12.749704992435708,12.661154202115952,12.573218425435405,12.485893390927094,12.399174856790754,12.313058610686777,12.227540469531617,12.14261627929457,12.058281914796018,11.974533279507035,11.891366305350404,11.808776952503006,11.726761209199593,11.645315091537908,11.564434643285177,11.484115935685933,11.404355067271172,11.325148163668842,11.246491377415655,11.168380887770184,11.090812900527272,11.013783647833746,10.937289388005373,10.861326405345118,10.785891009962656,10.71097953759513,10.636588349429168,10.562713831924121,10.489352396636543,10.416500480045869,10.34415454338134,10.272311072450087,10.200966577466438,10.130117592882401,10.059760677219334,9.989892412900756,9.92050940608636,9.851608286507146,9.78318570730171,9.71523834485368,9.647762898630255,9.580756091021907,9.514214667183149,9.448135394874438,9.382515064305176,9.317350487977789,9.252638500532894,9.188375958595548,9.124559740622551,9.061186746750824,8.998253898646832,8.935758139357047,8.873696433159475,8.812065765416177,8.750863142426844,8.690085591283372,8.629730159725465,8.569793915997213,8.510273948704697,8.45116736667456,8.392471298813575,8.334182893969171,8.276299320790951,8.218817767593155,8.161735442218081,8.105049571900455,8.048757403132754,7.992856201531444,7.937343251704157,7.882215857117806,7.827471339967581,7.773107041046892,7.719120319618189,7.665508553284692,7.612269137863008,7.55939948725663,7.5068970333303255
2,62.15,31.67,32.91,55.97,49.65,66.06,53.26,41.53,35.92,55.65,56.68,30.98,45.9,41.56,21.36,32.75,39.3,5.6,33.16,28.6,17.62,36.02,18.17,6.23,30.9,24.38,17.75,5.75,16.95,5.47,21.86,27.21,21.49,16.47,11.27,28.65,11.56,5.82,24.05,6.13,19.0,6.46,6.51,32.09,19.29,15.57,15.17,14.8,14.45,14.12,13.81,13.52,13.26,13.0,12.77,12.55,12.34,12.15,11.97,11.8,11.63,11.48,11.34,11.2,11.06,10.94,10.81,10.69,10.58,10.46,10.35,10.23,10.12,10.01,9.9,9.79,9.69,9.58,9.47,9.37,9.27,9.17,9.07,8.97,8.87,8.77,8.68,8.58,8.49,8.39,8.3,8.21,8.12,8.03,7.960600074249481,7.891799942981426,7.823594422423411,7.755978373604189,7.688946701966486,7.622494356983152,7.55661633177663,7.491307662741704,7.426563429171522,7.362378752886838,7.2987487978684635,7.235668769892903,7.17313391617112,7.111139524990448,7.049680925359574,6.988753486656611,6.928352618280192,6.8684737693035975,6.80911242813186,6.750264122161837,6.691924417445222,6.634088918354465,6.576753267251583,6.519913144159835,6.463564266438226,6.4077023884588336,6.352323301286922,6.297422832363807,6.242996845192492,6.189041239025982,6.135551948558322,6.082524943618298,6.029956228865772,5.977841843490659,5.926177860914494,5.874960388494591,5.824185567230735,5.77384957147444,5.7239486086406925,5.674478918922206,5.625436775006131,5.5768184817932225,5.528620376119428,5.48083882647989,5.433470232755323,5.38651102594077,5.33995766787668,5.293806650982339,5.248054497991583,5.2026977616908,5.157733024659203,5.113156899011339,5.068966026141832,5.025157076472325,4.98172674920061,4.938671772051931,4.895988901032432,4.853674920184733,4.811726641345634,4.770140903905886,4.728914574572064,4.68804454713049,4.647527742213183,4.607361107065851,4.567541615317881,4.528066266754312,4.488932087089783,4.450136127744433,4.411675465621748,4.3735472028883065,4.335748466755451,4.298276409262829,4.26112820706382,4.2243010612128025,4.1877921969542715,4.15159886351377,4.115718333890634,4.080147904652518,4.04488489573172,4.00992665022323,3.97527053418456,3.9409139364372834,3.906854268370293,3.8730889637447645,3.8396154785007997,3.8064312905657443
3,30.3,33.98,26.42,43.83,39.11,71.36,32.88,26.43,51.65,35.9,30.13,41.14,46.33,25.42,25.93,42.59,21.75,27.91,27.7,16.49,17.02,11.67,11.86,23.98,43.47,24.67,18.15,17.67,5.73,5.62,10.88,10.9,5.43,5.36,5.48,11.22,5.72,23.02,17.36,11.93,24.4,37.25,25.21,19.15,12.91,11.06,10.78,10.5,10.24,10.0,9.77,9.56,9.36,9.17,9.0,8.84,8.69,8.55,8.42,8.29,8.18,8.07,7.97,7.87,7.77,7.68,7.6,7.51,7.43,7.35,7.27,7.19,7.11,7.03,6.96,6.88,6.8,6.73,6.66,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.1,6.03,5.96,5.9,5.83,5.77,5.71,5.64,5.582082053193144,5.5247588738618765,5.468024354256019,5.4118724493467285,5.3562971761824105,5.301292613251232,5.246852899850193,5.192972235460667,5.139644879130367,5.086865148861643,5.034627421006073,4.9829261296652625,4.931755766097808,4.881110878132337,4.830986069586586,4.7813759996924405,4.73227538252688,4.683678986448761,4.635581633541398,4.58797819906085,4.540863610889889,4.494232848997564,4.448080944904326,4.402402981152631,4.357194090782996,4.312449456815422,4.26816431173615,4.224333936989686,4.180953662476041,4.138018866053129,4.095524973044294,4.053467455750867,4.01184183296975,3.970643669515944,3.9298685757499863,3.88951220711023,3.8495702636499414,3.810038489579138,3.770912672811138,3.732188644513767,3.6938622786651676,3.655929491614178,3.618386241645219,3.581228528547654,3.5444523931895655,3.508053917095916,3.472029222031032,3.4363744695853855,3.4010858607666123,3.3661596355947268,3.3315920727015067,3.2973794889339767,3.2635182389619737,3.230004714889739,3.1968353458714986,3.1640065977309906,3.1315149725849047,3.09935700847018,3.067529278975139,3.0360283928744023,3.004850993767558,2.973993759721537,2.9434534029166652,2.9132266692963484,2.883310338220352,2.8537012221216456,2.8243961661667694,2.7953920479196888,2.7666857770091,2.7382742947991536,2.7101545740635578,2.6823236186630313,2.654778463226063,2.6275161728329577,2.6005338427031184,2.573828597885546,2.5473975929525143,2.5212380116963904,2.4953470668295723,2.4697219996875015,2.4443600799347314,2.4192586052740115,2.394414901158357,2.369826320506082,2.345490243418749,2.321404076902024
4,35.25,24.3,17.04,21.15,32.83,22.25,27.34,27.21,26.32,36.11,10.17,30.13,15.33,25.61,10.13,20.62,42.3,10.8,33.23,27.44,16.42,11.27,11.53,0.0,0.0,6.18,18.39,12.05,0.0,5.71,5.57,5.43,0.0,0.0,5.35,10.92,16.77,11.41,0.0,0.0,5.94,11.96,24.25,18.57,10.94,8.67,8.46,8.24,8.03,7.83,7.65,7.48,7.32,7.17,7.03,6.9,6.78,6.67,6.57,6.47,6.38,6.29,6.21,6.14,6.06,5.99,5.92,5.86,5.79,5.73,5.67,5.6,5.54,5.48,5.42,5.36,5.3,5.25,5.19,5.13,5.08,5.02,4.97,4.91,4.86,4.8,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.32769856422039,4.256585196080733,4.186640373081899,4.117844893521285,4.050179871221439,3.9836267303453057,3.91816720029667,3.853783310704391,3.7904573864890674,3.728172043010752,3.6669101812964158,3.606654983345825,3.5473899075145545,3.489098683972873,3.4317653102392396,3.3753740467872047,3.319909412724489,3.265356181543075,3.2116993769391224,3.1589242687015826,3.1070163686683596,3.0559614267489343,3.005745427012332,2.9563545838393797,2.9077753381381934,2.8599943536218455,2.8129985131472006,2.7667749151139165,2.7213108699226107,2.676593896491233,2.6326117188286746,2.5893522626646877,2.546803652135179,2.504954206521968,2.4637924370461244,2.4233070437139927,2.3834869122150466,2.3443211108707156,2.3057988876333515,2.2679096671345063,2.2306430477817147,2.1939887989029825,2.157936857938194,2.1224773276766777,2.0876004735401565,2.0532967209103505,2.0195566525004907,1.986371005770025,1.9537306703818067,1.9216266857010647,1.890050238335474,1.8589926597156445,1.8284454237153727,1.7984001443109912,1.7688485732791859,1.7397825979326405,1.7111942388928885,1.6830756478997628,1.6554191056568424,1.6282170197122998,1.6014619223745732,1.5751464686622876,1.5492634342878637,1.5238057136742587,1.4987663180042992,1.474138373302065,1.449915118545802,1.4260899038118415,1.402656188449023,1.3796075392831095,1.3569376288507131,1.334640233662239,1.3127092324933722,1.2911386047046405,1.2699224285885886,1.2490548797441148,1.2285302294775178,1.208342843229818,1.1884871790299245,1.168957785973215,1.1497493027251202,1.1308564560492949,1.1122740593599754,1.093997011298125,1.0760202943309758,1.0583389733745832
5,46.05,23.63,18.24,39.94,26.49,5.48,16.7,32.69,21.68,31.42,20.36,20.29,39.99,25.41,20.41,10.08,5.13,5.25,26.86,16.48,5.44,10.86,0.0,11.42,11.73,23.76,6.14,0.0,6.01,23.49,17.02,5.57,16.27,0.0,10.81,16.0,0.0,11.15,0.0,5.7,11.42,5.83,5.87,5.97,6.94,7.33,7.16,6.99,6.82,6.65,6.49,6.34,6.21,6.08,5.96,5.85,5.75,5.65,5.57,5.48,5.4,5.33,5.26,5.2,5.13,5.07,5.02,4.96,4.91,4.85,4.8,4.75,4.7,4.64,4.59,4.54,4.49,4.44,4.4,4.35,4.3,4.25,4.21,4.16,4.11,4.07,4.03,3.98,3.94,3.89,3.85,3.81,3.77,3.73,3.666680070144667,3.604435050079384,3.543246692294094,3.4830970590457824,3.423968517099912,3.365843732561136,3.3087056657917575,3.252537566416455,3.19732296841181,3.143045685279188,3.0896898052995674,3.037239686868922,2.9856799539127903,2.9349954913786798,2.8851714408050024,2.836193195965221,2.788046398585948,2.7407169341377235,2.694190927697262,2.648454739879925,2.60349496284126,2.559298416346402,2.515852143906209,2.473143408978989,2.4311596912367026,2.389888682894552,2.34931828510288,2.3094366044003154,2.270231949227134,2.231692826497805,2.1938079382317217,2.1565661782411305,2.119956628875283,2.0839685578198592,2.0485914149507245,2.013814829241095,1.979628605721209,1.946022722489606,1.9129873277751486,1.8805127370489119,1.8485894301851058,1.8172080486701914,1.7863593928593755,1.7560344192796782,1.7262242379787829,1.6969201099188922,1.6681134444148256,1.6397957966156074,1.6119588650288057,1.5845944890869006,1.5576946467549624,1.531251452178943,1.50525715337389,1.4797041299514042,1.454584890885675,1.4298920723174422,1.405618435395234,1.381756864153253,1.3583003634252881,1.3352420567940382,1.3125751845752474,1.2902931018360637,1.2683892764470344,1.246857287167173,1.2256908217615334,1.2048836751507384,1.1844297475919232,1.1643230428905584,1.1445576666426287,1.1251278245066514,1.106027820505031,1.0872520553542466,1.0687950248233895,1.0506513181205621,1.0328156163066728,1.015282690736155,0.9980474015241587,0.98110469603976,0.9644496074247532,0.9480772531375845,0.9319828335220058,0.9161616304000252,0.9006090056887445,0.8853204000406768,0.8702913315071457,0.8555173942243743
6,16.63,11.54,17.75,12.17,22.77,15.83,10.89,16.52,43.14,26.87,10.3,35.63,20.24,24.96,20.23,10.14,20.02,10.18,10.46,16.02,10.91,16.19,21.53,16.6,0.0,11.66,5.91,18.33,6.1,18.03,5.87,5.66,5.57,5.41,0.0,10.78,21.29,27.1,5.57,16.97,5.68,0.0,0.0,11.58,7.75,6.63,6.47,6.32,6.18,6.03,5.89,5.76,5.63,5.52,5.41,5.31,5.22,5.13,5.05,4.98,4.91,4.84,4.78,4.72,4.66,4.61,4.56,4.5,4.46,4.41,4.36,4.31,4.26,4.22,4.17,4.13,4.08,4.04,3.99,3.95,3.9,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.38,3.345428409968443,3.3112104278769183,3.2773424369240254,3.243820857302025,3.210642145818457,3.17780279552163,3.1452993353299408,3.1131283296649834,3.081286378088414,3.049770114942528,3.018576208994514,2.987701363084345,2.957142313776275,2.9268958310138955,2.896958717778722,2.8673278097522745,2.8379999749816123,2.808972113548289,2.780241157240695,2.7518040692297516,2.723657843747923,2.695799505771506,2.668226110706179,2.640934744075756,2.6139225212141333,2.5871865869603856,2.560724115356972,2.5345323093510417,2.5086084004987876,2.4829496486728213,2.4575533417725506,2.432416795437508,2.4075373527636206,2.3829123840223767,2.358539286382867,2.334415483636669,2.310538425925543,2.2869055894719166,2.2635144763121238,2.240362614032373,2.217447555507416,2.194766878641889,2.172318186114301,2.150099105123638,2.1281072871385636,2.1063404076491783,2.084796165921323,2.0634722847533955,2.0423665102356514,2.0214766115119684,2.0008003805440473,1.980335631878026,1.960080202413478,1.9400319511747768,1.9201887590847955,1.9005485287409247,1.8811091841933771,1.8618686707257646,1.842824954637915,1.8239760230309137,1.8053198835943414,1.78685456439569,1.768578113671931,1.7504885996232178,1.7325841102086945,1.714862752944397,1.6973226547032192,1.6799619615169255,1.6627788383801876,1.6457714690566287,1.6289380558868478,1.6122768195984094,1.5957859991177765,1.5794638513841677,1.563308651165316,1.5473186908751169,1.5314922803931343,1.5158277468859611,1.5003234346303989,1.484977704838452,1.4697889354841096,1.4547555211318979,1.439875872767189,1.4251484176282427,1.4105715990399688,1.3961438762493867
7,37.57,16.7,40.42,5.9,36.4,22.64,10.46,21.47,21.75,16.02,21.28,15.39,15.24,10.08,19.91,5.02,20.15,24.84,5.08,10.41,0.0,5.42,10.71,10.67,16.51,11.29,5.8,5.88,0.0,0.0,6.01,5.82,28.27,5.57,10.8,5.39,5.38,5.31,0.0,22.14,0.0,5.59,5.51,5.65,6.12,6.33,6.16,6.02,5.89,5.76,5.63,5.51,5.39,5.29,5.18,5.09,5.0,4.92,4.84,4.77,4.71,4.64,4.58,4.53,4.47,4.42,4.37,4.32,4.27,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.91,3.87,3.83,3.79,3.75,3.7,3.66,3.62,3.58,3.55,3.51,3.47,3.43,3.39,3.36,3.32,3.28,3.25,3.2185943059717435,3.1874920942873017,3.156690432308633,3.12618641573663,3.095977168337271,3.0660598416704197,3.0364316148212422,3.007089694134227,2.978031312949765,2.9492537313432825,2.9207542358668945,2.8925301392935503,2.864578780363654,2.8368975235341347,2.8094837587299404,2.782334901097932,2.7554483907631564,2.7288216925874766,2.7024522959305317,2.6763377144130076,2.650475485682196,2.624863171179818,2.599498355912091,2.5743786482220203,2.5495016795638854,2.5248651042799137,2.500466599379102,2.476303864318187,2.4523746207847203,2.428676612482251,2.405207604917574,2.381965385190043,2.3589477617829115,2.3361525643566976,2.3135776435445403,2.2912208707495325,2.2690801379440204,2.2471533574708316,2.2254384618464322,2.203933403565982,2.1826361549102753,2.1615447077545458,2.140657073379119,2.119971282281898,2.099485383992657,2.079197446889127,2.0591055580148714,2.039207822898903,2.0195023653770603,1.9999873274150994,1.980660868933503,1.9615211676339748,1.9425664188276177,1.9237948352647665,1.9052046469664696,1.8867941010575957,1.8685614616015545,1.8505050094366158,1.832623042013809,1.8149138732363879,1.7973758333008496,1.7800072685394872,1.7628065412644642,1.7457720296133996,1.7289021273964376,1.7121952439448025,1.6956498039608128,1.6792642473693462,1.6630370291707395,1.6469666192951098,1.6310515024580838,1.615290178017922,1.5996811598340208,1.584222976126786,1.5689141693388562,1.553753295997671,1.5387389265793638,1.5238696453739733,1.5091440503519542,1.4945607530319798,1.480118378350022,1.4658155645296957,1.4516509629538572,1.4376232380374412,1.4237310671015286,1.4099731402486322
8,25.02,16.13,33.44,46.38,17.71,18.16,22.49,15.53,15.95,10.79,21.35,15.95,10.23,15.22,20.15,9.96,20.01,15.05,4.96,0.0,0.0,5.27,0.0,15.95,5.31,16.43,11.22,11.55,0.0,24.3,12.19,5.97,28.99,5.64,11.12,10.78,5.37,16.11,5.3,5.38,5.52,5.55,5.5,5.45,6.09,6.36,6.18,6.03,5.9,5.78,5.66,5.55,5.43,5.33,5.23,5.14,5.05,4.97,4.89,4.82,4.75,4.69,4.63,4.57,4.52,4.47,4.42,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.242310242089185,3.2050535688891553,3.168225003918842,3.1318196278808266,3.0958325780042513,3.0602590473952898,3.025094284395073,2.990333591945,2.955972326959334,2.922005899705015,2.8884297731885957,2.8552394625502213,2.822430534464574,2.7899986065487012,2.757939346776649,2.726248472900819,2.6949217518799773,2.663954999313835,2.633344078884127,2.603084901802108,2.573173426262407,2.5436056569031473,2.5143776442722756,2.4854854843000234,2.4569253177774284,2.428693329840848,2.4007857494623988,2.3731988489462488,2.3459289434306974,2.3189723903959787,2.2923255891777203,2.2659849804859897,2.2399470459298745,2.214208307547514,2.1887653273415437,2.1636147068198706,2.1387530865417244,2.11417714566893,2.0898836015223323,2.0658692091433206,2.042130760860388,2.018665085860676,1.995469049766437,1.9725395542163695,1.949873536451759,1.9274679689073777,1.905319858807082,1.8834262477640615,1.861784211385677,1.8403908588828404,1.8192433326838857,1.7983388080528735,1.7776744927122834,1.7572476264700403,1.73705548085083,1.7170953587316464,1.6973645939815307,1.6778605511054474,1.658580624892255,1.6395222400667195,1.6206828509455267,1.6020599410972505,1.583651023006223,1.5654536377402721,1.5474653546222736,1.5296837709054787,1.5121065114525731,1.4947312284184224,1.4775556009364634,1.4605773348087,1.44379416219926,1.427203841331474,1.4108041561884348,1.3945929162169979,1.3785679560351818,1.362727135142934,1.3470683376362158,1.3315894719243764,1.316288470450773,1.3011632894166003,1.2862119085078956,1.2714323306256792,1.2568225816191958,1.2423807100222224,1.228104786792404,1.2139929050535874
9,18.71,30.16,16.16,16.75,34.73,17.64,18.04,11.13,15.4,10.57,31.98,32.06,10.61,10.22,10.17,10.07,9.95,9.97,5.0,24.67,0.0,5.16,0.0,21.31,0.0,0.0,10.9,27.99,22.99,17.56,6.06,6.06,5.95,11.54,11.27,5.55,0.0,5.35,10.74,0.0,5.37,5.44,5.46,27.14,11.49,6.62,6.42,6.25,6.11,5.99,5.88,5.77,5.66,5.55,5.45,5.35,5.27,5.18,5.11,5.03,4.96,4.9,4.84,4.78,4.72,4.67,4.61,4.56,4.51,4.46,4.41,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.395371956715966,3.361093505671489,3.3271611175093674,3.293571298503516,3.2603205901992505,3.2274055690571957,3.1948228461007977,3.1625690665673867,3.130640909562768,3.0990350877192965,3.0677483468574063,3.036777465650554,3.0061192552935494,2.9757705591742276,2.945728252548444,2.915989242218342,2.886550466213877,2.8574088934775497,2.828561523552324,2.800005386272696,2.7717375414588825,2.7437550786140954,2.716055116624872,2.6886348034644323,2.6614913158990308,2.634621859197272,2.608023666842361,2.5816940002472584,2.555630148472712,2.529829427948136,2.5042891821953046,2.4790067815548396,2.453979622915453,2.4292051294459327,2.4046807503298244,2.3804039605027967,2.356372260392658,2.332583175661995,2.309034256953414,2.2857230796373496,2.2626472435624234,2.2398043728083183,2.2171921154411534,2.1948081432713242,2.1726501516137877,2.1507158590507713,2.1290030071968737,2.1075093604665383,2.086232705843873,2.065170852654797,2.0443216323414863,2.0236828982390933,2.003252525354725,1.9830284101486513,1.963008470317719,1.943190644580959,1.9235728924673496,1.9041531941057306,1.8849295500168315,1.8658999809074035,1.8470625274664298,1.8284152501633903,1.8099562290485665,1.791683563555359,1.773595372304605,1.7556897929108655,1.7379649817906748,1.7204191139727205,1.703050382909943,1.68585700029353,1.6688371958687906,1.6519892172528867,1.6353113297544055,1.6188018161947533,1.6024589767313526,1.5862811286826233,1.5702666063547315,1.5544137608700888,1.538720959997579,1.5231865879845043,1.5078090453902222,1.492586748921467,1.4775181312693306,1.4626016409478904,1.4478357421344668,1.433218914511492
